1946	Zemřelí muži podle podrobného seznamu příčin smrti a věku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
30a	Příjice: úbyt míchy (tabes dorsalis)	53	-	-	-	-	1	3	13	17	16	3	-	-
30b	Příjice: postupná obrna povšechná (progresivní paralysa)	100	-	-	-	1	5	25	32	28	9	-	-	-
30c	Příjice: výduť srdečnice (aneurysma aorty)	96	-	-	-	1	1	12	27	28	22	5	-	-
30d	Příjice: příjice vrozená	46	44	1	1	-	-	-	-	-	-	-	-	-
30	Příjice: jiné druhy příjice	114	-	-	-	1	1	11	47	36	14	4	-	-
31	Tyf zvratný	-	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekční žloutenka	3	-	-	-	-	-	3	-	-	-	-	-	-
32b	Ostatní nemoci způsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chřipka neboli influenza s onemocněním dýchydel	141	93	5	1	4	1	1	4	5	11	14	2	-
33b	Chřipka neboli influenza bez údaje takového onemocnění	92	53	3	3	-	2	1	4	-	8	15	3	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalničky	79	45	29	5	-	-	-	-	-	-	-	-	-
36	Prudký zánět šedé hmoty míšní nebo mozkové	23	3	5	4	6	3	1	-	1	-	-	-	-
37a	Zánět mozku epidemický (lethargický): prudký	-	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku	33	-	-	2	1	3	8	6	5	6	2	-	-
37c	Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení	4	-	-	1	1	-	2	-	-	-	-	-	-
38a	Jiné nemoci připisované virům: žlutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci připisované virům: vzteklina	1	-	-	1	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci připisované virům: plané neštovice (varicella)	3	2	-	1	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci připisované virům: ostatní nemoci připisované virům	-	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	1	-	-	-	-	1	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel měchožilová (echinococcus)	1	-	-	-	-	-	-	-	1	-	-	-	-
42	Jiné nemoci způsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	1	-	-	-	-	-	-	-	1	-	-	-	-
43b	Jiné mykosy	2	1	-	-	-	-	-	-	1	-	-	-	-
44a	nemoci pohlavní vyjma příjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	66	-	1	3	9	6	12	17	9	5	4	-	-
44c	Epidemický zánět příušnic	3	2	-	-	-	-	-	-	-	-	1	-	-
44d	Ostatní nemoci přenosné	-	-	-	-	-	-	-	-	-	-	-	-	-
														
II	Rakovina a jiné nádory	6200	15	19	29	47	71	329	876	1683	2100	960	71	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů	32	-	-	-	-	-	-	3	4	12	10	3	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	43	-	-	-	-	-	1	7	13	15	7	-	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst	80	-	-	-	1	-	5	11	19	24	19	1	-
46a	Rakovina a jiné zhoubné nádory: jícnu	323	-	-	-	-	1	6	28	76	139	69	4	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	2293	-	-	-	5	10	93	295	641	871	356	22	-
46c	Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku	374	-	1	1	2	9	23	49	86	139	62	2	-
46d	Rakovina a jiné zhoubné nádory: konečníku	395	-	-	-	-	3	20	46	100	147	73	6	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů	478	-	-	-	1	3	20	52	147	169	78	8	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní	154	2	1	4	1	6	13	26	40	42	19	-	-
46g	Rakovina a jiné zhoubné nádory: slinivky břišní	93	-	-	-	2	1	8	19	22	33	7	1	-
46h	Rakovina a jiné zhoubné nádory: pobřišnice	44	-	1	1	-	-	10	4	13	8	7	-	-
46i	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích	22	-	-	1	-	-	1	3	9	5	3	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a průdušnice	146	-	-	-	-	2	8	21	48	55	12	-	-
47b	Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice	495	-	1	1	3	3	31	128	176	125	26	1	-
47c	Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených	3	-	-	-	-	-	-	-	2	-	1	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla děložního	x	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dělohy	-	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsů	3	-	-	-	-	-	-	-	1	2	-	-	-
51a	Rakovina a jiné zhoubné nádory: šourku	5	-	-	-	-	-	-	1	1	2	1	-	-
51b	Rakovina a jiné zhoubné nádory: předstojné žlázy	252	-	-	-	1	2	-	6	54	104	78	7	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských	23	-	-	-	-	2	5	2	5	3	4	2	-
52	Rakovina a jiné zhoubné nádory: ústrojí močového	173	-	1	-	1	-	5	30	45	63	27	1	-
53	Rakovina a jiné zhoubné nádory: kůže	90	-	-	-	3	1	4	8	11	18	39	6	-
54	Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového	28	-	3	-	3	2	1	4	10	4	1	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	44	-	1	-	2	-	3	14	16	6	2	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	77	-	-	-	1	5	10	12	22	18	8	1	-
55c	Rakovina a jiné zhoubné nádory: žlázy štítné	19	-	-	-	-	-	-	5	6	7	1	-	-
55d	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů	148	1	1	4	6	6	12	31	33	31	21	2	-
55	Carcinomatosy, sarkomatosy	19	-	1	-	-	1	3	4	6	2	2	-	-
55f	Metastasy bez udání prvotního místa	2	-	-	-	-	-	-	-	-	2	-	-	-
56a	Nádory nezhoubné: vaječníku	x	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dělohy	x	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jiných pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jiných částí ústrojí nervového	14	-	-	1	-	-	1	6	2	3	1	-	-
56	Nádory nezhoubné: jiných a blíže neoznačených ústrojů	16	3	2	-	1	-	3	3	2	2	-	-	-
57a	Nádory, jejichž zhoubný ráz není rozlišen: vaječníku	x	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejichž zhoubný ráz není rozlišen: dělohy	x	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x	x	x
57d	Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového	137	6	5	13	11	10	28	34	18	9	3	-	-
57	Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů	175	3	1	3	3	4	15	24	55	40	23	4	-
														
III	Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos	553	88	14	24	12	12	21	57	98	148	67	12	-
58a	Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce	21	-	1	15	3	-	1	-	1	-	-	-	-
58b	Horečný rheumatismus kloubový prudký: jiné formy	4	-	-	1	-	-	-	-	-	1	2	-	-
59	Rheumatismus vleklý a jiné formy nemoci rheumatické	58	-	-	-	-	1	3	6	5	20	18	5	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	324	-	-	4	7	8	14	36	79	125	44	7	-
62	Nemoci podvěsku mozkového	1	-	-	-	-	-	-	-	1	-	-	-	-
63a	Nemoci žlázy štítné a žlázek přídatných: vole prosté	3	-	-	-	-	-	1	2	-	-	-	-	-
63b	Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova	21	-	-	1	1	-	2	7	7	1	2	-	-
63c	Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné	7	-	1	-	-	1	-	2	3	-	-	-	-
63d	Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných	-	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	44	34	7	2	1	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)	5	-	-	-	-	-	-	3	1	1	-	-	-
65b	Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: měknutí kostí	1	1	-	-	-	-	-	-	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	5	2	1	-	-	1	-	-	-	-	1	-	-
67	Kurděje	1	-	-	-	-	1	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-	-
70	Křivice	57	51	4	1	-	-	-	1	-	-	-	-	-
71	Jiné avitaminosy	1	-	-	-	-	-	-	-	1	-	-	-	-
														
IV	Nemoci krve a ústrojů krvetvorných	281	14	18	20	16	18	29	43	54	49	19	1	-
72a	Stavy krvácivé: purpury prvotní	9	2	1	-	-	-	1	1	2	2	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	16	2	-	-	2	2	-	1	8	-	1	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	68	1	-	3	-	2	3	6	20	20	12	1	-
73b	Chudokrevnost: jiná anaemie	23	5	2	2	-	1	2	5	-	2	4	-	-
74a	Leukaemie a aleukaemie: bělokrevnost pravá	138	1	13	13	13	11	19	25	18	23	2	-	-
74b	Leukaemie a aleukaemie: aleukaemie	6	-	-	2	1	-	1	1	1	-	-	-	-
75	Nemoci sleziny	10	-	2	-	-	1	2	1	3	1	-	-	-
76a	Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy	2	-	-	-	-	-	1	-	1	-	-	-	-
76b	Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných	9	3	-	-	-	1	-	3	1	1	-	-	-
														
V	Otravy vleklé	48	-	-	-	1	7	10	13	8	4	5	-	-
77a	Alkoholismus prudký	16	-	-	-	1	3	4	6	1	-	1	-	-
77b	Alkoholismus vleklý a bez bližšího označení	32	-	-	-	-	4	6	7	7	4	4	-	-
78a	Otrava olovem: označená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznačená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinými látkami neústrojnými a ústrojnými	-	-	-	-	-	-	-	-	-	-	-	-	-
														
DU		102	1	0	2	6	17	19	19	21	9	7	1	0
														
VI	Nemoci soustavy nervové a smyslových ústrojů	4214	724	85	51	69	84	159	273	680	1054	875	160	-
80a	Zánět mozku (nikoli epidemický): hlíza mozková	21	1	2	1	5	2	3	3	1	2	-	1	-
80b	Zánět mozku (nikoli epidemický): jiné formy	45	14	11	1	3	3	6	4	1	2	-	-	-
81	Zánět plen mozkových prostý	202	75	29	19	20	9	17	15	7	10	1	-	-
82	Nemoci míchy	81	1	-	2	8	6	13	12	12	17	9	1	-
83a	Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové	2597	-	-	2	6	16	62	174	544	908	748	137	-
83b	Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková	48	-	-	-	3	1	2	3	11	9	17	2	-
83c	Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku	75	-	-	-	1	3	1	3	14	27	21	5	-
83d	Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené	132	-	3	5	1	3	3	10	29	29	42	7	-
84a	Duševní nemoci a vady: slabomyslnost	9	1	-	2	-	2	2	1	1	-	-	-	-
84b	Duševní nemoci a vady: schoizophrenie	13	-	-	-	3	5	2	-	2	1	-	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	3	-	-	-	-	-	-	1	1	1	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	29	-	-	-	2	3	5	4	9	3	2	1	-
85	Padoucnice	71	3	1	7	11	15	10	6	8	4	4	2	-
86	Křeče u dětí do 5 let	539	514	25	-	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	1	-	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického	9	-	1	-	-	-	2	2	2	2	-	-	-
87c	Jiné nemoci soustavy nervové: obrna třesavá	22	-	3	1	-	3	1	2	2	2	6	2	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	138	-	-	-	1	7	22	25	30	28	23	2	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	23	3	3	5	1	2	-	3	2	2	2	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní	153	111	7	6	3	4	8	4	4	6	-	-	-
89b	Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha	3	1	-	-	1	-	-	-	-	1	-	-	-
														
VII	Nemoci ústrojí oběhu krevního	12705	91	37	70	129	135	448	1121	2441	3985	3540	707	1
90a	Zánět osrdečníku: rheumatický zánět osrdečníku vleklý	1	-	-	1	-	-	-	-	-	-	-	-	-
90b	Zánět osrdečníku: jiné nemoci osrdečníku	17	4	1	3	-	-	1	6	-	1	1	-	-
91	Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický)	22	1	4	5	5	-	5	-	1	1	-	-	-
92a	Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické	857	-	5	16	40	40	94	145	192	210	108	7	-
92b	Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické	82	-	-	4	14	8	10	16	12	11	7	-	-
93a	Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický)	61	14	1	4	1	3	2	4	8	13	9	2	-
93b	Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický	96	-	-	2	1	-	8	15	17	31	18	4	-
93c	Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický	6639	21	5	6	19	29	148	503	1260	2210	2033	405	-
93d	Nemoci svalu srdečního: zánět svalu srdečního nerozlišený	1193	20	10	8	15	17	38	89	211	396	326	63	-
94a	Nemoci tepen věnčitých	127	-	-	-	1	1	9	23	41	34	15	3	-
94b	Angina srdeční	411	-	-	-	-	2	17	79	141	116	51	5	-
95a	Jiné nemoci srdce: označené jako rheumatické	50	-	-	-	2	3	5	7	12	15	6	-	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1730	21	7	20	24	29	92	189	373	564	367	43	1
96	Výduť, vyjma výduť srdeční a aneurysma aorty	5	-	-	-	2	-	-	1	2	-	-	-	-
97	Zkornatění tepen	1208	-	-	-	-	-	5	28	137	313	561	164	-
98	Sněť	61	1	1	-	-	-	-	6	9	28	10	6	-
99	Jiné nemoci tepen	63	-	-	-	3	1	6	5	11	25	9	3	-
100a	Nemoci žil: městky	37	-	-	-	1	1	3	1	5	9	16	1	-
100b	Nemoci žil: jiné nemoci žil	22	-	1	1	-	1	3	2	6	4	3	1	-
101	Nemoci soustavy mízní	14	9	2	-	1	-	-	1	1	-	-	-	-
102	Essentielní zvýšení tlaku krevního	7	-	-	-	-	-	-	1	2	4	-	-	-
103	Jiné nemoci ústrojí oběhu krevního	2	-	-	-	-	-	2	-	-	-	-	-	-
														
VIII	Nemoci ústrojů dýchacích	6300	2820	234	37	64	55	144	300	581	1012	875	177	1
104	Nemoci dutiny nosní a přídatných útvarů	7	4	-	-	1	1	1	-	-	-	-	-	-
105	Nemoci hrtanu	20	10	5	1	1	-	-	1	-	2	-	-	-
106a	Zánět průdušek: prudký	113	93	4	1	1	1	-	1	1	6	4	1	-
106b	Zánět průdušek: vleklý	214	3	1	-	1	2	6	11	37	72	72	9	-
106c	Zánět průdušek: blíže neoznačený	223	130	9	1	-	-	1	4	11	23	34	10	-
107	Lalůčkový zánět plic (bronchopneumonie)	2984	1902	132	17	20	15	37	71	120	298	301	70	1
108	Lalokový zánět plic	714	169	23	7	9	12	46	56	122	159	94	17	-
109	Zánět plic blíže neoznačený	944	465	49	8	10	12	10	36	75	120	130	29	-
110a	Zánět pohrudnice: empyema thoracis	105	31	3	-	3	4	6	20	14	20	4	-	-
110b	Zánět pohrudnice: jiné formy zánětu pohrudnice	186	12	5	1	8	5	8	16	41	60	26	4	-
111a	Infarkt s krvácením, embolie a trombosa plic	59	1	-	-	1	-	2	9	14	25	6	1	-
111b	Hypostatický zánět a oedem plic	38	-	-	-	3	1	2	4	6	6	12	4	-
112	Záducha (asthma)	232	-	1	-	1	1	5	38	38	77	63	8	-
113	Rozedma plic	370	-	-	-	2	-	4	20	75	121	124	24	-
114a	Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání	22	-	-	-	-	-	2	5	9	5	1	-	-
114b	Jiné nemoci ústrojí dýchacího: sněť a hlíza plic	65	-	1	1	3	-	13	8	17	18	4	-	-
114c	Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání	4	-	1	-	-	1	1	-	1	-	-	-	-
														
IX	Nemoci ústrojí zažívacího	3636	1773	108	44	73	88	186	312	406	403	214	29	-
115a	Nemoci mandlí a hltanu	54	18	11	5	4	3	2	3	4	-	4	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojů	9	2	-	-	1	2	-	1	1	1	1	-	-
116	Nemoci jícnu	9	-	1	-	-	-	3	-	-	4	1	-	-
117a	Vřed žaludeční	382	-	-	-	1	19	45	102	106	89	18	2	-
117b	Vřed dvanáctníkový	107	-	-	-	4	7	24	26	22	20	4	-	-
118	Jiné nemoci žaludku	31	-	-	-	1	1	4	3	4	12	5	1	-
119	Průjem a katar střevní u dětí do 2 let	1731	1686	45	-	-	-	-	-	-	-	-	-	-
120a	Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní	86	-	18	3	2	2	3	5	12	17	22	2	-
120b	Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku)	17	-	-	-	2	2	-	3	3	5	2	-	-
121	Zánět červíkovitého přívěsku	202	1	14	23	39	18	29	24	19	21	13	1	-
122a	Kýla	133	12	2	1	-	3	-	10	20	31	45	9	-
122b	Neprůchodnost střevní	216	25	6	5	5	7	18	27	45	44	28	6	-
123	Ostatní nemoci střevní	10	-	-	-	1	-	1	1	1	4	2	-	-
124a	Svraštění jater: alkoholické	1	-	-	-	-	-	1	-	-	-	-	-	-
124b	Svraštění jater: neoznačené za alkoholické	325	-	-	1	2	7	26	65	91	91	38	4	-
125a	Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního)	60	-	1	1	5	2	7	11	16	13	4	-	-
125b	Jiné nemoci jater: ostatní nemoci jater	30	1	-	1	 	2	4	2	8	4	7	1	-
126	Kaménky žlučové	52	-	-	-	-	-	4	8	20	15	5	-	-
127	Jiné nemoci žlučníku a žlučovodů	43	-	-	-	-	1	4	1	11	17	7	2	-
128	Nemoci slinivky břišní	16	-	-	-	2	1	3	2	6	1	-	1	-
129	Zánět pobřišnice bez udání příčiny	122	28	10	4	4	11	8	18	17	14	8	-	-
														
X	Nemoci ústrojí močového a pohlavního	1631	14	9	14	28	45	94	192	317	497	354	67	-
130	Prudký zánět ledvin	20	-	2	1	1	1	4	6	2	2	1	-	-
131	Vleklý zánět ledvin	777	2	4	9	16	32	64	143	202	219	81	5	-
132	Zánět ledvin nerozlišený	105	3	2	3	8	10	11	16	20	19	9	4	-
133a	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis	48	3	-	-	-	1	3	6	15	10	8	2	-
133b	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí	14	1	1	-	1	-	1	6	3	1	-	-	-
134	Kaménky cest močových	47	-	-	-	-	-	4	4	12	13	13	1	-
135a	Zánět měchýře močového	23	-	-	-	-	-	-	-	3	8	9	3	-
135b	Jiné nemoci močového měchýře a poruchy močení	9	-	-	1	1	-	1	1	2	1	2	-	-
136	Nemoci roury močové	52	2	-	-	1	-	6	6	11	16	9	1	-
137a	Nezhoubné nádory žlázy předstojné	13	-	-	-	-	1	-	-	1	6	3	2	-
137b	Zbytnění žlázy předstojné	508	-	-	-	-	-	-	4	44	198	217	45	-
137c	Ostatní nemoci žlázy předstojné	8	-	-	-	-	-	-	-	1	3	1	3	-
138	Nemoci pohlavních ústrojů mužských neoznačené za venerické	7	3	-	-	-	-	-	-	1	1	1	1	-
139a	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy	x	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů	x	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních	x	x	x	x	x	x	x	x	x	x	x	x	x
														
XI	Nemoci těhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x	x
142	Těhotenství mimoděložní	x	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v těhotenství: lůžko vcestné	x	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu)	x	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v těhotenství: křeče v těhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v těhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a příhody těhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
146a	Krvácení při porodu a poporodní: lůžko vcestné při porodu	x	x	x	x	x	x	x	x	x	x	x	x	x
146b	Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu	x	x	x	x	x	x	x	x	x	x	x	x	x
146c	Krvácení při porodu a poporodní: jiné krvácení při porodu	x	x	x	x	x	x	x	x	x	x	x	x	x
146d	Krvácení při porodu a poporodní: krvácení po porodu	x	x	x	x	x	x	x	x	x	x	x	x	x
147a	Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	x	x	x	x	x	x	x	x	x	x	x	x	x
147b	Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis	x	x	x	x	x	x	x	x	x	x	x	x	x
147c	Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x	x
