1944	Zemřelí muži podle podrobného seznamu příčin smrti a věku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- těno
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	2130	1	-	1	1	9	80	311	585	818	324	-
46c	Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku	334	-	-	3	2	7	19	42	79	117	65	-
46d	Rakovina a jiné zhoubné nádory: konečníku	387	1	-	-	-	9	18	50	99	153	57	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů	402	-	1	1	2	4	12	44	109	154	75	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní	144	2	1	4	9	6	9	20	34	40	19	-
46g	Rakovina a jiné zhoubné nádory: slinivky břišní	55	-	-	-	1	2	7	10	19	12	4	-
46h	Rakovina a jiné zhoubné nádory: pobřišnice	41	-	-	1	-	1	2	5	14	16	2	-
46i	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích	21	-	-	1	-	-	2	2	5	7	4	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a průdušnice	108	-	-	-	1	3	4	19	35	27	19	-
47b	Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice	439	-	-	1	1	8	37	98	169	100	25	-
47c	Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených	6	-	-	-	-	1	-	1	2	1	1	-
48a	Rakovina a jiné zhoubné nádory: hrdla děložního	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dělohy	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsů	6	-	-	-	-	-	-	3	-	3	-	-
51a	Rakovina a jiné zhoubné nádory: šourku	-	-	-	-	-	-	-	-	-	-	-	-
51b	Rakovina a jiné zhoubné nádory: předstojné žlázy	222	-	-	-	1	1	5	8	50	96	61	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských	19	-	-	-	2	1	2	3	3	6	2	-
52	Rakovina a jiné zhoubné nádory: ústrojí močového	158	-	2	-	-	1	3	24	40	54	34	-
53	Rakovina a jiné zhoubné nádory: kůže	79	-	-	-	-	1	2	4	12	24	36	-
54	Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového	27	-	-	3	1	2	5	7	5	4	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	35	1	1	-	-	1	6	4	12	7	3	-
55b	Rakovina a jiné zhoubné nádory: kostí	68	1	-	2	8	5	3	12	15	14	8	-
55c	Rakovina a jiné zhoubné nádory: žlázy štítné	19	-	-	-	-	-	-	3	8	3	5	-
55d	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů	162	-	4	1	9	11	15	22	40	49	11	-
55	Carcinomatosy, sarkomatosy	21	-	1	-	3	3	2	2	5	4	1	-
55f	Metastasy bez udání prvotního místa	5	-	-	-	-	-	-	1	2	1	1	-
56a	Nádory nezhoubné: vaječníku	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dělohy	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jiných pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jiných částí ústrojí nervového	10	-	-	-	2	2	1	2	2	-	1	-
56	Nádory nezhoubné: jiných a blíže neoznačených ústrojů	10	1	-	1	-	2	1	1	-	3	1	-
57a	Nádory, jejichž zhoubný ráz není rozlišen: vaječníku	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejichž zhoubný ráz není rozlišen: dělohy	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x	x
57d	Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového	111	-	3	12	11	12	22	22	23	6	-	-
57	Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů	133	4	-	3	5	4	10	19	34	41	13	-
													
III	Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos	599	60	17	45	33	9	43	59	120	140	73	-
58a	Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce	59	-	4	36	13	3	-	1	-	1	1	-
58b	Horečný rheumatismus kloubový prudký: jiné formy	11	-	1	1	2	-	3	2	-	-	2	-
59	Rheumatismus vleklý a jiné formy nemoci rheumatické	71	-	-	-	1	-	3	2	11	25	29	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	336	-	1	6	16	4	27	35	100	108	39	-
62	Nemoci podvěsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci žlázy štítné a žlázek přídatných: vole prosté	7	1	-	-	-	-	-	3	-	2	1	-
63b	Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova	25	-	-	-	1	-	4	13	5	2	-	-
63c	Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné	2	-	-	-	-	-	1	-	-	1	-	-
63d	Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	36	28	6	1	-	1	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)	13	-	-	-	-	1	5	2	4	1	-	-
65b	Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: měknutí kostí	-	-	-	-	-	-	-	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	3	2	-	-	-	-	-	1	-	-	-	-
67	Kurděje	1	-	-	-	-	-	-	-	-	-	1	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-
70	Křivice	34	28	5	1	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	1	1	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojů krvetvorných	260	9	12	20	18	10	31	32	58	59	11	-
72a	Stavy krvácivé: purpury prvotní	7	-	1	2	-	-	2	-	1	-	1	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	10	2	1	1	3	1	-	1	1	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	49	-	1	1	-	-	2	5	14	20	6	-
73b	Chudokrevnost: jiná anaemie	28	5	1	1	2	1	1	3	6	8	-	-
74a	Leukaemie a aleukaemie: bělokrevnost pravá	139	1	7	14	11	6	22	16	30	28	4	-
74b	Leukaemie a aleukaemie: aleukaemie	7	-	1	-	-	-	1	4	-	1	-	-
75	Nemoci sleziny	9	1	-	1	2	1	-	-	3	1	-	-
76a	Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy	8	-	-	-	-	-	2	3	2	1	-	-
76b	Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných	3	-	-	-	-	1	1	-	1	-	-	-
													
V	Otravy vleklé	14	-	-	-	1	1	1	4	4	2	1	-
77a	Alkoholismus prudký	2	-	-	-	1	-	-	1	-	-	-	-
77b	Alkoholismus vleklý a bez bližšího označení	9	-	-	-	-	-	1	1	4	2	1	-
78a	Otrava olovem: označená jako z povolání	1	-	-	-	-	-	-	1	-	-	-	-
78b	Otrava olovem: neoznačená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinými látkami neústrojnými a ústrojnými	2	-	-	-	-	1	-	1	-	-	-	-
													
DU		57	0	0	2	9	3	9	10	12	9	3	0
													
VI	Nemoci soustavy nervové a smyslových ústrojů	3858	576	79	64	86	63	148	279	616	1008	939	-
80a	Zánět mozku (nikoli epidemický): hlíza mozková	16	2	1	1	3	-	2	3	3	1	-	-
80b	Zánět mozku (nikoli epidemický): jiné formy	36	9	7	7	3	1	3	1	2	1	2	-
81	Zánět plen mozkových prostý	224	71	34	29	21	8	19	20	13	9	-	-
82	Nemoci míchy	106	-	-	1	10	7	15	19	30	17	7	-
83a	Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové	2300	-	2	2	8	12	47	146	463	818	802	-
83b	Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková	52	-	1	-	4	1	2	8	6	9	21	-
83c	Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku	88	-	-	-	1	-	-	4	21	36	26	-
83d	Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené	134	-	-	-	3	3	8	6	19	52	43	-
84a	Duševní nemoci a vady: slabomyslnost	11	-	-	2	2	1	2	1	1	2	-	-
84b	Duševní nemoci a vady: schoizophrenie	11	-	-	-	4	2	1	1	2	1	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	2	-	-	-	-	-	-	-	1	-	1	-
84d	Duševní nemoci a vady: jiné duševní poruchy	22	-	-	-	2	-	5	6	4	4	1	-
85	Padoucnice	72	2	2	6	12	10	11	14	8	6	1	-
86	Křeče u dětí do 5 let	406	394	12	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	3	-	-	2	-	-	-	1	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického	4	-	-	-	1	1	-	-	2	-	-	-
87c	Jiné nemoci soustavy nervové: obrna třesavá	26	-	-	-	-	1	3	5	2	10	5	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	150	-	1	1	4	9	18	29	24	36	28	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	30	1	8	4	2	-	3	3	6	2	1	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní	154	92	10	9	5	6	9	10	8	4	1	-
89b	Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha	11	5	1	-	1	1	-	2	1	-	-	-
													
VII	Nemoci ústrojí oběhu krevního	11206	78	23	85	121	150	382	889	1938	3576	3963	1
90a	Zánět osrdečníku: rheumatický zánět osrdečníku vleklý	-	-	-	-	-	-	-	-	-	-	-	-
90b	Zánět osrdečníku: jiné nemoci osrdečníku	14	-	1	3	-	-	-	2	4	2	2	-
91	Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický)	28	5	3	6	2	4	3	2	1	2	-	-
92a	Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické	760	-	4	26	42	50	71	117	153	177	120	-
92b	Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické	60	-	-	6	5	5	13	12	9	6	4	-
93a	Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický)	60	7	5	3	2	3	3	6	8	13	10	-
93b	Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický	96	-	-	-	2	1	4	7	26	32	24	-
93c	Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický	5607	20	-	8	25	24	118	360	933	1929	2189	1
93d	Nemoci svalu srdečního: zánět svalu srdečního nerozlišený	1251	4	3	7	8	11	31	88	232	426	441	-
94a	Nemoci tepen věnčitých	120	-	-	-	-	-	9	24	32	35	20	-
94b	Angina srdeční	309	-	-	-	-	1	20	56	112	98	22	-
95a	Jiné nemoci srdce: označené jako rheumatické	60	-	-	2	2	5	3	2	11	19	16	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1476	27	6	22	27	40	86	167	292	459	350	-
96	Výduť, vyjma výduť srdeční a aneurysma aorty	8	-	-	-	2	2	-	1	2	1	-	-
97	Zkornatění tepen	1181	-	-	-	-	-	8	26	93	344	710	-
98	Sněť	68	6	-	-	2	-	4	1	6	15	34	-
99	Jiné nemoci tepen	53	-	-	-	2	2	4	13	12	10	10	-
100a	Nemoci žil: městky	17	-	-	-	-	-	1	-	4	3	9	-
100b	Nemoci žil: jiné nemoci žil	15	-	-	2	-	1	2	1	5	3	1	-
101	Nemoci soustavy mízní	15	9	1	-	-	1	1	2	-	1	-	-
102	Essentielní zvýšení tlaku krevního	5	-	-	-	-	-	-	2	2	1	-	-
103	Jiné nemoci ústrojí oběhu krevního	3	-	-	-	-	-	1	-	1	-	1	-
													
VIII	Nemoci ústrojů dýchacích	6987	2693	302	68	80	83	226	347	686	1239	1262	1
104	Nemoci dutiny nosní a přídatných útvarů	7	4	1	-	-	-	-	-	-	2	-	-
105	Nemoci hrtanu	13	7	2	-	-	-	-	1	1	1	1	-
106a	Zánět průdušek: prudký	132	90	9	-	1	3	2	2	1	8	16	-
106b	Zánět průdušek: vleklý	255	6	1	-	1	3	2	17	42	91	92	-
106c	Zánět průdušek: blíže neoznačený	262	115	6	2	1	-	3	2	19	42	71	1
107	Lalůčkový zánět plic (bronchopneumonie)	3300	1873	169	26	26	25	54	82	188	379	478	-
108	Lalokový zánět plic	964	185	43	16	16	23	68	88	160	210	155	-
109	Zánět plic blíže neoznačený	943	357	39	15	12	14	36	40	83	178	169	-
110a	Zánět pohrudnice: empyema thoracis	145	28	20	3	11	5	19	18	16	13	12	-
110b	Zánět pohrudnice: jiné formy zánětu pohrudnice	187	17	8	2	7	2	13	19	31	50	38	-
111a	Infarkt s krvácením, embolie a trombosa plic	48	-	-	-	1	1	1	4	15	16	10	-
111b	Hypostatický zánět a oedem plic	34	6	1	-	1	-	-	3	3	6	14	-
112	Záducha (asthma)	183	-	1	1	-	1	4	12	45	74	45	-
113	Rozedma plic	381	3	1	1	1	-	3	20	46	149	157	-
114a	Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání	20	-	-	-	-	-	2	9	3	5	1	-
114b	Jiné nemoci ústrojí dýchacího: sněť a hlíza plic	111	2	1	2	2	6	18	30	32	15	3	-
114c	Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání	2	-	-	-	-	-	1	-	1	-	-	-
													
IX	Nemoci ústrojí zažívacího	3636	1674	101	68	85	80	230	340	395	422	241	-
115a	Nemoci mandlí a hltanu	72	27	4	5	5	6	3	7	7	6	2	-
115b	Jiné nemoci dutiny ústní a jejích ústrojů	10	5	-	1	1	-	1	-	-	-	2	-
116	Nemoci jícnu	9	-	2	-	-	-	-	-	3	3	1	-
117a	Vřed žaludeční	442	-	-	-	6	20	78	116	109	92	21	-
117b	Vřed dvanáctníkový	113	-	-	-	3	7	29	26	28	17	3	-
118	Jiné nemoci žaludku	34	1	2	-	-	-	5	2	2	9	13	-
119	Průjem a katar střevní u dětí do 2 let	1660	1604	56	-	-	-	-	-	-	-	-	-
120a	Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní	79	-	6	11	5	3	5	6	5	18	20	-
120b	Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku)	12	-	1	-	1	1	2	3	2	2	-	-
121	Zánět červíkovitého přívěsku	181	2	18	30	28	21	18	22	20	14	8	-
122a	Kýla	132	5	3	2	-	2	3	9	19	41	48	-
122b	Neprůchodnost střevní	212	18	4	3	12	3	21	40	33	47	31	-
123	Ostatní nemoci střevní	10	-	-	-	1	-	-	2	1	3	3	-
124a	Svraštění jater: alkoholické	1	-	-	-	-	-	-	-	1	-	-	-
124b	Svraštění jater: neoznačené za alkoholické	369	-	-	4	2	2	29	61	107	115	49	-
125a	Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního)	61	-	2	4	10	4	14	6	8	8	5	-
125b	Jiné nemoci jater: ostatní nemoci jater	41	-	-	1	1	2	6	5	12	6	8	-
126	Kaménky žlučové	31	-	-	-	-	-	3	10	4	10	4	-
127	Jiné nemoci žlučníku a žlučovodů	41	1	-	-	1	-	3	4	13	10	9	-
128	Nemoci slinivky břišní	11	-	-	-	-	-	3	4	2	1	1	-
129	Zánět pobřišnice bez udání příčiny	115	11	3	7	9	9	7	17	19	20	13	-
													
X	Nemoci ústrojí močového a pohlavního	1624	12	13	19	46	42	83	166	274	487	481	1
130	Prudký zánět ledvin	49	3	6	6	9	2	4	4	10	4	1	-
131	Vleklý zánět ledvin	744	1	-	6	21	21	64	129	195	201	105	1
132	Zánět ledvin nerozlišený	99	2	4	3	6	6	7	16	15	21	19	-
133a	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis	63	4	-	1	6	4	3	5	7	17	16	-
133b	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí	12	-	1	3	1	2	2	1	1	1	-	-
134	Kaménky cest močových	21	-	-	-	1	2	1	3	1	8	5	-
135a	Zánět měchýře močového	20	1	-	-	1	1	-	-	1	6	10	-
135b	Jiné nemoci močového měchýře a poruchy močení	5	1	-	-	-	1	-	-	-	-	3	-
136	Nemoci roury močové	51	-	2	-	1	1	2	2	4	14	25	-
137a	Nezhoubné nádory žlázy předstojné	23	-	-	-	-	2	-	2	1	6	12	-
137b	Zbytnění žlázy předstojné	523	-	-	-	-	-	-	3	37	202	281	-
137c	Ostatní nemoci žlázy předstojné	13	-	-	-	-	-	-	1	2	6	4	-
138	Nemoci pohlavních ústrojů mužských neoznačené za venerické	1	-	-	-	-	-	-	-	-	1	-	-
139a	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních	x	x	x	x	x	x	x	x	x	x	x	x
													
XI	Nemoci těhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x
142	Těhotenství mimoděložní	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v těhotenství: lůžko vcestné	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu)	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v těhotenství: křeče v těhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v těhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a příhody těhotenství	x	x	x	x	x	x	x	x	x	x	x	x
146a	Krvácení při porodu a poporodní: lůžko vcestné při porodu	x	x	x	x	x	x	x	x	x	x	x	x
146b	Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu	x	x	x	x	x	x	x	x	x	x	x	x
146c	Krvácení při porodu a poporodní: jiné krvácení při porodu	x	x	x	x	x	x	x	x	x	x	x	x
146d	Krvácení při porodu a poporodní: krvácení po porodu	x	x	x	x	x	x	x	x	x	x	x	x
147a	Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	x	x	x	x	x	x	x	x	x	x	x	x
147b	Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis	x	x	x	x	x	x	x	x	x	x	x	x
147c	Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148a	Toxikosy ve stavu poporodním: eclampsie	x	x	x	x	x	x	x	x	x	x	x	x
148b	Toxikosy ve stavu poporodním: albuminurie a zánět ledvin	x	x	x	x	x	x	x	x	x	x	x	x
148c	Toxikosy ve stavu poporodním: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x
149a	Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení)	x	x	x	x	x	x	x	x	x	x	x	x
149b	Jiné příhody porodu: ostatní příhody	x	x	x	x	x	x	x	x	x	x	x	x
150	Jiné a blíže neoznačené nemoci porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x
													
XII	Nemoci kůže a vaziva podkožního	226	174	7	3	1	3	8	8	5	8	9	-
151	Nežitina (furunculosis)	143	122	3	-	-	-	4	4	3	5	2	-
152	Zánět podkožního vaziva	35	14	4	1	-	2	3	2	1	2	6	-
153	Jiné nemoci kůže a vaziva podkožního	48	38	-	2	1	1	1	2	1	1	1	-
													
