1942	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
20	Tuberkulosa ústrojí moèového a pohlavního	17	-	1	-	6	2	2	2	2	2	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	-	-	-	-	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	3	-	-	-	-	-	-	-	2	1	-	-
22	Tuberkulosa miliární	44	2	8	13	9	4	1	2	2	3	-	-
24a	Otrava krve	163	68	5	6	5	13	17	11	13	17	8	-
24b	Snì plynová	-	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	4	1	-	-	-	-	-	2	-	1	-	-
28	Støídavka (malarie)	-	-	-	-	-	-	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	49	-	-	1	2	3	9	7	10	13	4	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	77	-	-	1	-	7	26	19	15	5	4	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	75	-	-	1	-	1	6	10	14	36	7	-
30d	Pøíjice: pøíjice vrozená	17	12	3	1	-	1	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	94	-	1	1	3	2	16	32	28	8	3	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	-	-	-	-	-	-	-	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	76	37	6	3	-	-	2	1	3	13	11	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	49	19	-	-	2	-	2	3	2	9	12	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	42	15	20	6	1	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	23	1	4	6	5	1	1	1	1	1	2	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	46	-	-	-	1	3	14	7	9	7	5	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	5	-	1	-	-	2	-	-	1	1	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	5	2	3	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	1	-	-	-	-	-	-	1	-	-	-	-
43a	Actinomykosy	-	-	-	-	-	-	-	-	-	-	-	-
43b	Jiné mykosy	2	-	-	-	-	-	-	-	-	1	1	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	57	-	1	2	10	8	13	5	9	6	3	-
44c	Epidemickı zánìt pøíušnic	1	1	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	6012	5	25	25	42	143	489	1015	1540	1763	965	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	9	-	-	-	-	-	-	3	-	2	4	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	14	-	-	-	-	-	1	1	5	4	3	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	36	-	-	1	-	3	3	5	11	9	4	-
46a	Rakovina a jiné zhoubné nádory: jícnu	81	-	-	-	-	2	-	10	21	27	21	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	1718	-	1	-	2	16	66	167	449	685	332	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	342	-	-	-	2	4	17	41	80	130	68	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	204	-	-	-	-	4	14	32	51	62	41	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	592	1	-	-	-	9	22	65	162	213	120	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	138	-	4	4	1	2	12	20	29	42	24	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	45	-	-	-	-	-	-	9	19	12	5	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	62	-	-	-	-	2	5	14	14	18	9	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	3	-	-	-	-	1	-	-	1	-	1	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	35	-	-	-	-	1	7	4	7	13	3	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	127	-	-	-	1	2	20	21	39	34	10	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	-	-	1	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	135	-	-	-	-	9	32	50	24	18	2	-
48b	Rakovina a jiné zhoubné nádory: dìlohy	953	-	-	-	-	27	129	238	279	193	87	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	219	-	-	1	5	10	24	64	55	39	21	-
50	Rakovina a jiné zhoubné nádory: prsù	462	-	-	-	-	13	58	116	134	90	51	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	71	-	1	1	-	-	1	10	21	25	12	-
53	Rakovina a jiné zhoubné nádory: kùe	109	-	-	-	-	2	4	2	10	27	64	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	21	1	2	3	2	2	6	1	2	2	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	16	-	-	-	1	-	2	4	3	3	3	-
55b	Rakovina a jiné zhoubné nádory: kostí	61	-	1	1	4	3	4	14	12	9	13	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	43	-	-	-	1	-	3	4	20	7	8	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	158	-	6	1	7	4	10	26	30	40	34	-
55	Carcinomatosy, sarkomatosy	15	-	1	-	-	-	1	8	3	-	2	-
55f	Metastasy bez udání prvotního místa	7	-	-	-	-	-	-	2	-	5	-	-
56a	Nádory nezhoubné: vajeèníku	24	1	-	-	1	3	5	5	4	4	1	-
56b	Nádory nezhoubné: dìlohy	55	-	-	-	1	2	11	27	6	6	2	-
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	-	-	-	-	-	-	-	-	-	-	-	-
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	2	-	-	-	-	-	1	1	-	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	7	-	-	-	1	-	1	1	2	1	1	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	8	-	-	-	-	3	-	1	-	4	-	-
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	37	-	-	-	-	-	1	8	4	16	8	-
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	6	-	-	-	1	1	1	2	-	1	-	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	116	-	7	11	10	12	19	28	22	6	1	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	80	2	2	2	2	6	9	11	21	16	9	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	961	40	19	40	24	18	51	99	218	304	148	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	52	1	5	30	9	1	1	3	2	-	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	22	-	-	2	-	1	1	4	2	2	10	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	154	-	-	-	-	-	4	11	24	54	61	-
60	Dna	1	-	-	-	-	-	-	-	-	1	-	-
61	Úplavice cukrová	531	-	-	5	5	4	21	53	153	219	71	-
62	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	19	-	-	-	2	4	3	3	4	-	3	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	94	-	-	1	5	2	13	18	29	24	2	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	10	-	-	1	2	1	-	1	2	3	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	14	12	2	-	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	16	-	-	-	1	3	7	3	1	1	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	1	-	-	-	-	-	-	-	1	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	2	-	-	-	-	1	-	1	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	4	-	3	-	-	1	-	-	-	-	-	-
67	Kurdìje	2	-	-	-	-	-	-	1	-	-	1	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	1	-	-	-	-	-	1	-	-	-	-	-
70	Køivice	37	27	8	1	-	-	-	1	-	-	-	-
71	Jiné avitaminosy	1	-	1	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	237	7	9	11	11	16	24	30	68	51	10	-
72a	Stavy krvácivé: purpury prvotní	5	1	-	-	1	1	1	-	1	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	3	2	-	-	-	-	-	-	-	-	1	-
73a	Chudokrevnost: zhoubná chudokrevnost	89	-	-	1	1	6	4	12	29	30	6	-
73b	Chudokrevnost: jiná anaemie	20	3	1	1	3	1	1	3	4	2	1	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	104	1	8	9	5	7	14	12	28	18	2	-
74b	Leukaemie a aleukaemie: aleukaemie	5	-	-	-	1	-	1	1	1	1	-	-
75	Nemoci sleziny	2	-	-	-	-	-	1	1	-	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	6	-	-	-	-	1	1	1	3	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	3	-	-	-	-	-	1	-	2	-	-	-
		-	-	-	-	-	-	-	-	-	-	-	-
V	Otravy vleklé	4	-	-	-	-	-	1	1	-	1	1	-
77a	Alkoholismus prudkı	2	-	-	-	-	-	-	1	-	1	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	1	-	-	-	-	-	-	-	-	-	1	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	1	-	-	-	-	-	1	-	-	-	-	-
													
DU		68	0	2	0	3	6	11	12	13	17	4	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3922	369	49	60	50	63	141	288	642	1117	1143	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	10	-	-	2	3	1	2	-	1	1	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	31	8	1	3	3	2	3	1	6	2	2	-
81	Zánìt plen mozkovıch prostı	145	33	23	30	13	3	13	15	10	2	3	-
82	Nemoci míchy	88	1	-	2	1	8	11	10	28	21	6	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2581	-	1	4	3	10	38	185	486	910	944	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	71	-	-	1	1	1	2	6	13	25	22	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	130	-	-	-	-	1	-	14	10	40	65	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	145	-	1	-	1	3	6	3	31	50	50	-
84a	Duševní nemoci a vady: slabomyslnost	8	-	1	-	-	-	3	2	-	2	-	-
84b	Duševní nemoci a vady: schoizophrenie	17	-	-	-	2	3	2	4	4	2	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	3	-	-	-	-	-	-	1	1	1	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	37	-	1	-	1	3	6	4	8	11	3	-
85	Padoucnice	65	-	3	8	12	8	9	5	12	6	2	-
86	Køeèe u dìtí do 5 let	306	299	7	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	11	-	-	-	1	-	2	-	2	5	1	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	7	-	-	-	-	-	-	1	2	2	2	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	22	-	-	-	-	2	2	4	4	5	5	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	155	-	-	1	4	11	33	29	17	29	31	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	20	-	3	2	4	-	2	2	2	1	4	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	69	28	8	7	1	7	7	1	5	2	3	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	1	-	-	-	-	-	-	1	-	-	-	-
													
VII	Nemoci ústrojí obìhu krevního	12175	26	33	117	110	200	382	724	1709	3849	5024	1
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	2	-	-	1	-	-	1	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	19	-	1	1	-	3	4	1	2	5	2	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	52	2	2	19	11	6	6	2	1	2	1	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	1166	-	4	36	38	65	111	152	212	321	227	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	82	-	-	3	7	4	15	16	21	6	10	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	62	2	4	7	3	2	5	4	8	12	15	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	179	-	-	-	1	3	6	16	24	59	70	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	5503	5	7	5	14	37	90	224	676	1855	2590	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1220	-	4	11	5	17	36	58	176	394	519	-
94a	Nemoci tepen vìnèitıch	49	-	-	-	-	-	1	6	20	12	10	-
94b	Angina srdeèní	145	-	-	-	1	1	4	15	26	65	33	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	80	-	1	3	3	2	3	7	20	19	22	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	2021	8	9	29	24	52	85	187	406	705	516	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	11	-	-	-	-	-	2	3	2	1	3	-
97	Zkornatìní tepen	1362	-	-	-	-	-	1	21	84	345	910	1
98	Snì	97	6	1	-	-	2	5	3	8	15	57	-
99	Jiné nemoci tepen	27	-	-	-	-	2	3	4	5	6	7	-
100a	Nemoci il: mìstky	46	-	-	-	1	-	-	1	5	12	27	-
100b	Nemoci il: jiné nemoci il	40	1	-	1	2	3	3	3	13	11	3	-
101	Nemoci soustavy mízní	8	2	-	1	-	1	-	-	-	3	1	-
102	Essentielní zvıšení tlaku krevního	3	-	-	-	-	-	1	1	-	1	-	-
103	Jiné nemoci ústrojí obìhu krevního	1	-	-	-	-	-	-	-	-	-	1	-
													
VIII	Nemoci ústrojù dıchacích	5578	1546	291	64	85	108	163	224	511	1082	1504	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	5	1	-	-	1	-	-	2	1	-	-	-
105	Nemoci hrtanu	12	5	1	2	-	1	-	1	-	1	1	-
106a	Zánìt prùdušek: prudkı	103	64	5	-	1	-	-	-	1	11	21	-
106b	Zánìt prùdušek: vleklı	189	5	2	-	-	2	4	5	17	62	92	-
106c	Zánìt prùdušek: blíe neoznaèenı	229	61	10	-	-	4	4	4	4	38	104	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2385	1051	153	21	21	28	47	57	131	329	547	-
108	Lalokovı zánìt plic	958	117	37	17	19	36	54	71	162	245	200	-
109	Zánìt plic blíe neoznaèenı	922	212	48	15	21	13	26	38	86	193	270	-
110a	Zánìt pohrudnice: empyema thoracis	92	19	29	4	11	4	4	6	5	7	3	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	136	6	4	3	5	6	7	13	23	37	32	-
111a	Infarkt s krvácením, embolie a trombosa plic	56	-	-	-	2	5	7	11	16	10	5	-
111b	Hypostatickı zánìt a oedem plic	40	1	1	-	-	-	1	2	5	5	25	-
112	Záducha (asthma)	137	1	-	1	-	2	1	7	21	51	53	-
113	Rozedma plic	266	1	-	-	-	1	2	4	26	83	149	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	5	-	-	-	1	1	-	-	1	2	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	36	1	1	-	3	5	6	3	10	6	1	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	7	1	-	1	-	-	-	-	2	2	1	-
													
IX	Nemoci ústrojí zaívacího	2748	1043	114	98	96	86	146	217	316	365	267	-
115a	Nemoci mandlí a hltanu	84	17	13	13	11	7	5	3	7	6	2	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	17	2	1	1	4	-	-	1	2	3	3	-
116	Nemoci jícnu	4	1	-	-	-	-	-	-	2	-	1	-
117a	Vøed aludeèní	117	1	-	-	1	8	7	28	35	30	7	-
117b	Vøed dvanáctníkovı	13	1	-	-	-	-	1	4	4	2	1	-
118	Jiné nemoci aludku	45	-	5	-	1	2	1	4	4	13	15	-
119	Prùjem a katar støevní u dìtí do 2 let	1052	997	55	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	86	-	15	12	1	3	4	6	7	21	17	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	10	-	1	-	-	1	4	1	2	-	1	-
121	Zánìt èervíkovitého pøívìsku	158	-	5	31	34	17	26	14	14	12	5	-
122a	Kıla	195	2	-	-	-	1	7	14	58	58	55	-
122b	Neprùchodnost støevní	229	12	6	6	8	9	15	28	37	43	65	-
123	Ostatní nemoci støevní	12	-	-	-	-	1	1	-	2	2	6	-
124a	Svraštìní jater: alkoholické	-	-	-	-	-	-	-	-	-	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	227	-	-	1	4	7	12	38	54	72	39	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	81	-	3	5	7	6	15	12	15	10	8	-
125b	Jiné nemoci jater: ostatní nemoci jater	28	1	1	2	1	1	3	6	3	4	6	-
126	Kaménky luèové	99	-	-	-	2	8	11	16	28	24	10	-
127	Jiné nemoci luèníku a luèovodù	107	1	-	-	1	2	7	15	26	43	12	-
128	Nemoci slinivky bøišní	18	-	-	-	1	1	2	7	2	1	4	-
129	Zánìt pobøišnice bez udání pøíèiny	166	8	9	27	20	12	25	20	14	21	10	-
													
X	Nemoci ústrojí moèového a pohlavního	1134	14	10	24	31	67	116	178	219	283	192	-
130	Prudkı zánìt ledvin	30	2	3	4	4	2	3	4	4	3	1	-
131	Vleklı zánìt ledvin	775	-	1	7	5	32	55	128	176	230	141	-
132	Zánìt ledvin nerozlišenı	116	4	6	10	3	6	15	17	17	24	14	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	45	5	-	-	4	5	5	8	6	5	7	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	22	1	-	3	2	1	3	4	5	2	1	-
134	Kaménky cest moèovıch	29	-	-	-	-	3	5	4	3	7	7	-
135a	Zánìt mìchıøe moèového	17	2	-	-	-	-	-	1	1	3	10	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	4	-	-	-	-	-	-	-	1	-	3	-
136	Nemoci roury moèové	8	-	-	-	-	1	-	1	2	4	-	-
137a	Nezhoubné nádory lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnìní lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	52	-	-	-	8	12	21	8	1	2	-	-
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	33	-	-	-	4	4	9	3	3	2	8	-
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	2	-	-	-	1	1	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	1	-	-	-	-	-	-	-	-	1	-	-
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	365	-	-	-	74	192	95	4	-	-	-	-
140	Potrat se sepsí	70	-	-	-	15	37	17	1	-	-	-	-
141	Potrat bez zmínky o sepsi	9	-	-	-	4	2	2	1	-	-	-	-
142	Tìhotenství mimodìloní	21	-	-	-	1	10	10	-	-	-	-	-
143a	Krvácení v tìhotenství: lùko vcestné	-	-	-	-	-	-	-	-	-	-	-	-
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	-	-	-	-	-	-	-	-	-	-	-	-
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	2	-	-	-	-	2	-	-	-	-	-	-
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	17	-	-	-	8	6	3	-	-	-	-	-
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	18	-	-	-	-	13	5	-	-	-	-	-
144c	Otrava krve v tìhotenství: jiné toxikosy	2	-	-	-	1	-	1	-	-	-	-	-
145	Jiné nemoci a pøíhody tìhotenství	1	-	-	-	-	-	1	-	-	-	-	-
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	20	-	-	-	4	9	7	-	-	-	-	-
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	-	-	-	-	-	-	-	-	-	-	-	-
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	1	-	-	-	-	1	-	-	-	-	-	-
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	24	-	-	-	3	18	3	-	-	-	-	-
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	110	-	-	-	29	54	26	1	-	-	-	-
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	2	-	-	-	-	-	2	-	-	-	-	-
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	9	-	-	-	1	5	3	-	-	-	-	-
148a	Toxikosy ve stavu poporodním: eclampsie	15	-	-	-	5	5	5	-	-	-	-	-
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	4	-	-	-	2	1	1	-	-	-	-	-
