1932	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
104	Nemoci dutin nosních a adnex	1	-	-	-	-	-	1	-	-	-	-
105	Nemoci hrtanu	37	19	7	3	-	3	2	1	-	2	-
106a	Zánět průdušek prudký	253	172	21	2	1	3	2	3	4	45	-
106b	Zánět průdušek vleklý	402	47	16	1	-	3	6	24	61	244	-
106c	Zánět průdušek nerozlišený	609	231	44	12	2	4	5	14	52	245	-
107	Lalůčkový zánět plic, počítaje v to zánět průdušinek	2540	1178	290	42	24	42	54	82	167	661	-
108	Lalokový zánět plic	1303	189	118	42	53	53	66	120	211	451	-
109	Zánět plic nerozlišený	2035	520	167	50	55	52	90	140	219	742	-
110	Zánět pohrudnice	446	27	49	13	19	28	39	58	80	133	-
111	Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic	186	18	1	-	3	5	6	12	19	122	-
112	Záducha	317	1	1	-	-	-	6	32	70	207	-
113	Rozedma plicní	845	-	1	-	1	3	11	39	142	648	-
114a	Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího	17	1	2	-	-	2	3	2	1	6	-
114b	Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu	89	-	1	1	6	9	15	17	23	17	-
												
IX	Nemoci ústrojí zažívacího	6018	3057	281	177	172	209	293	462	555	812	-
115	Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby	195	33	28	41	22	14	21	13	6	17	-
116	Nemoci požeráku	12	1	1	1	-	-	-	3	2	4	-
117a	Vřed žaludeční	465	2	-	-	24	53	77	105	121	83	-
117b	Vřed dvanáctníkový	98	-	-	-	5	16	23	29	17	8	-
118	Jiné nemoci žaludeční (vyjma rakovinu)	68	2	-	1	-	2	4	5	13	41	-
119	Průjem a katar střevní - u dětí do 2 roků	3106	2948	158	-	-	-	-	-	-	-	-
120a	Průjem, katar střevní (ve věku 2 roků a výše)	165	-	33	26	9	3	7	6	19	62	-
120b	Vředy střevní (ve věku 2 roků a výše)	17	-	1	1	1	3	2	3	3	3	-
121	Zánět červíkovitého přívěsku	395	4	33	65	75	49	32	50	46	41	-
122a	Kýla	248	28	5	4	1	4	11	11	32	152	-
122b	Neprůchodnost střeva	255	18	6	5	11	13	20	34	53	95	-
123	Jiné nemoci střevní	33	1	2	-	2	3	2	4	7	12	-
124a	Svraštění jater alkoholické	49	-	-	-	-	5	4	11	18	11	-
124b	Svraštění jater neoznačené za alkoholické	447	-	-	1	1	15	42	103	139	146	-
125	Jiné nemoci jater (počítaje v to náhlý úbyt jater)	103	2	1	1	5	8	11	25	14	36	-
126	Kaménky žlučové	54	-	-	-	-	2	8	12	12	20	-
127	Jiné nemoci žlučníku a žlučovodů	81	-	-	2	2	3	11	12	16	35	-
128	Nemoci slinivky břišní	30	1	1	-	1	3	2	7	9	6	-
129	Zánět pobřišnice, bez označené příčiny	197	17	12	29	13	13	16	29	28	40	-
												
X	Nemoci ústrojí močového a ústrojí pohlavního	2282	21	36	43	50	113	143	274	422	1180	-
130	Prudký zánět ledvin	117	9	29	24	8	15	10	6	8	8	-
131	Vleklý zánět ledvin	954	1	4	14	20	65	90	188	242	330	-
132	Nerozlišený zánět ledvin	254	-	-	4	15	26	24	48	49	88	-
133a	Zánět pánvice ledvinné	67	3	2	-	4	1	3	4	12	38	-
133b	Jiné nemoci ledvin a močovodů	30	1	-	-	1	1	2	8	9	8	-
134a	Kamének ledvin a horních cest močových	27	-	-	-	-	1	3	7	6	10	-
134b	Kamének měchýře močového	32	-	-	-	-	1	3	-	5	23	-
134c	Kamének bez jiného označení	1	-	-	-	-	-	-	-	-	1	-
135a	Zánět měchýře močového	86	2	-	1	-	2	-	2	13	66	-
135b	Jiné nemoci měchýře močového	16	1	-	-	-	-	1	-	1	13	-
136a	Zúžení roury močové	6	1	-	-	-	-	-	1	3	1	-
136b	Jiné nemoci roury močové, hlíza močová atd.	43	1	-	-	-	-	1	3	8	30	-
137	Nemoci žlázy předstojné (prostaty)	637	-	-	-	2	-	6	6	64	559	-
138	Nemoci pohlavních ústrojů mužských, neoznačené za venerické	12	2	1	-	-	1	-	1	2	5	-
												
139a	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní	-	-	-	-	-	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné	-	-	-	-	-	-	-	-	-	-	-
												
XI	Nemoci těhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x
140	Potrat s hnilobou	x	x	x	x	x	x	x	x	x	x	x
141	Potrat beze zmínky o hnilobě, ale počítaje v to krvácení	x	x	x	x	x	x	x	x	x	x	x
142	Těhotenství mimoděložní	x	x	x	x	x	x	x	x	x	x	x
143	Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení)	x	x	x	x	x	x	x	x	x	x	x
144a	Lůžko vcestné	x	x	x	x	x	x	x	x	x	x	x
144b	Jiná krvácení poporodní	x	x	x	x	x	x	x	x	x	x	x
145a	Otrava krve a hniloba krve poporodní	x	x	x	x	x	x	x	x	x	x	x
145b	Ztrnutí poporodní	x	x	x	x	x	x	x	x	x	x	x
146	Močení bílkoviny a božec	x	x	x	x	x	x	x	x	x	x	x
147	Jiné toxaemie v těhotenství	x	x	x	x	x	x	x	x	x	x	x
148a	Bílý bolestný otok dolních končetin a záhať	x	x	x	x	x	x	x	x	x	x	x
148b	Vmetek nebo náhlá smrt poporodní	x	x	x	x	x	x	x	x	x	x	x
149	Jiné příhody při porodu	x	x	x	x	x	x	x	x	x	x	x
150	Jiné nerozlišené příhody stavu poporodního	x	x	x	x	x	x	x	x	x	x	x
												
XII	Nemoci kůže a vaziva podkožního	428	325	2	5	1	3	5	9	16	62	-
151	Nežitina	230	194	1	1	1	2	3	4	7	17	-
152	Zánět podkožního vaziva, teplá hlíza	60	30	-	2	-	1	2	3	6	16	-
153	Jiné nemoci kůže, jejich adnex a podkožního vaziva	138	101	1	2	-	-	-	2	3	29	-
												
XIII 	Nemoci kostí a ústrojí pohybu	172	10	12	34	15	14	17	14	15	41	-
154	Zánět dřeně kostní	95	2	11	27	11	7	12	7	8	10	-
155	Jiné nemoci kostí, vyjma tuberkulosu	51	4	-	4	1	4	2	4	4	28	-
												
156a	Nemoci kloubů, vyjma tuberkulosu a rheumatismus	26	4	1	3	3	3	3	3	3	3	-
156b	Nemoci jiných orgánů pohybu	-	-	-	-	-	-	-	-	-	-	-
												
XIV	Vrozené vady tvarové	226	205	18	3	-	-	-	-	-	-	-
157a	Vrozená vodnatelnost mozku	38	34	3	1	-	-	-	-	-	-	-
157b	Rozštěp páteře a kýla omozečnicová	43	43	-	-	-	-	-	-	-	-	-
157c	Vrozený nesprávný tvar srdce	77	69	6	2	-	-	-	-	-	-	-
157d	Zrůdnosti	19	18	1	-	-	-	-	-	-	-	-
157	Jiné vrozené vady tvarové 	49	41	8	-	-	-	-	-	-	-	-
												
XV	Zvláštní nemoci útlého věku	3807	3807	-	-	-	-	-	-	-	-	-
158	Vrozená slabost	1722	1722	-	-	-	-	-	-	-	-	-
159	Předčasné narození, nepočítaje v to mrtvě narozené	1313	1313	-	-	-	-	-	-	-	-	-
160a	Následky porodu s řezem císařským	1	1	-	-	-	-	-	-	-	-	-
160b	Následky porodu bez řezu císařského	282	282	-	-	-	-	-	-	-	-	-
												
161a	Bezevzduchost plicní	130	130	-	-	-	-	-	-	-	-	-
161b	Žloutenka novorozenců	86	86	-	-	-	-	-	-	-	-	-
161c	Skloerem a jiné	273	273	-	-	-	-	-	-	-	-	-
												
XVI 	Stařecká sešlost	5508	-	-	-	-	-	-	-	72	5436	-
162a	Stařecká sešlost se zblbělostí starobní	182	-	-	-	-	-	-	-	14	168	-
162b	Stařecká sešlost bez zblbělosti starobní	5326	-	-	-	-	-	-	-	58	5268	-
												
XVII	Smrti násilné a úrazové	5690	50	236	258	1123	1028	683	719	752	840	1
SE		2854	0	0	16	607	540	370	416	425	480	0
163	Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých	139	-	-	-	32	32	18	21	23	13	-
164	Sebevražda jedovatými plyny	31	-	-	-	4	7	6	6	4	4	-
165	Sebevražda oběšením neb uškrcením	1547	-	-	6	189	235	224	264	286	343	-
166	Sebevražda utopením	138	-	-	1	21	19	18	24	26	29	-
167	Sebevražda střelnými zbraněmi	652	-	-	4	225	177	71	68	56	51	-
168	Sebevražda nástroji řeznými nebo bodnými	49	-	-	-	9	9	5	8	7	11	-
169	Sebevražda skokem s vyvýšeného místa	16	-	-	-	3	4	2	1	4	2	-
170	Sebevražda rozdrcením	222	-	-	5	107	48	21	15	10	16	-
171	Jiné sebevraždy	60	-	-	-	17	9	5	9	9	11	-
NA		118	19	8	7	18	20	19	11	9	6	1
172a	Vražda dítěte (dítě do 1 roku): přímo po narození	11	11	-	-	-	-	-	-	-	-	-
172b	Vražda dítěte (dítě do 1 roku): jiná do jednoho roku	8	8	-	-	-	-	-	-	-	-	-
173	Vražda nebo zabití střelnou zbraní (osoby starší 1 roku)	34	-	1	3	10	7	8	2	2	1	-
174	Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku)	31	-	1	1	5	11	7	3	2	1	-
175	Jiné vraždy nebo zabití osob starších 1 roku	34	-	6	3	3	2	4	6	5	4	1
176	Napadení jedovatými zvířaty	1	-	-	-	-	1	-	-	-	-	-
177	Otrava potravinami	19	-	3	1	1	5	3	2	2	2	-
178	Vdechování jedovatých plynů	57	-	3	5	10	11	9	9	5	5	-
179	Jiné nahodilé prudké otravy, vyjma otravy plynem	28	1	3	1	2	3	5	6	2	5	-
180	Následky ohně při požáru	8	-	-	-	1	1	-	1	3	2	-
181	Popálení úrazové (jiné než při požáru)	142	9	74	7	8	11	7	5	7	14	-
182	Nahodilé mechanické zadušení	42	9	5	4	6	3	2	2	6	5	-
183	Nahodilé utopení	452	3	78	72	148	58	16	18	22	37	-
184	Poranění střelnými zbraněmi, vyjma poranění válečná	53	-	1	13	13	14	4	3	2	3	-
185	Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná	24	1	-	1	10	5	3	3	1	-	-
186	Poranění pádem, rozdrcením, sřícením	910	2	33	64	156	195	127	120	107	106	-
187	Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom	-	-	-	-	-	-	-	-	-	-	-
188	Poranění způsobená zvířaty	29	-	1	1	3	7	4	3	7	3	-
189	Hlad a žízeň	1	-	1	-	-	-	-	-	-	-	-
190	Neobvyklá zima	48	-	1	-	3	1	2	12	13	16	-
191	Neobvyklé teplo	1	-	-	-	-	-	-	1	-	-	-
192	Blesk	27	-	1	1	7	6	3	2	5	2	-
193	Úrazy způsobené proudem elektrickým	73	-	-	12	19	20	14	2	6	-	-
194a	Jiné úrazy: cizí tělesa	4	2	-	-	-	1	1	-	-	-	-
194b	Jiné úrazy: jiné	794	4	24	53	111	126	93	100	129	154	-
195	Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma	5	-	-	-	-	-	1	3	1	-	-
	Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:											
A	v dolech a lomech	99	-	-	-	13	39	17	19	9	2	-
B	způsobených stroji	20	-	-	1	2	5	4	4	3	1	-
DN	prostředky dopravními	491	-	24	48	94	102	66	54	49	54	-
a	železnicemi a tramvajemi	116	-	2	6	16	21	19	23	14	15	-
b	automobily a motocykly	269	-	17	38	57	60	31	20	22	24	-
c	jinými pozemními prostředky dopravními	73	-	5	4	7	11	12	8	11	15	-
d	při dopravě po vodě	2	-	-	-	-	-	1	1	-	-	-
e	při dopravě vzduchem	31	-	-	-	14	10	3	2	2	-	-
198	Soudní poprava	-	-	-	-	-	-	-	-	-	-	-
												
XVIII	Neurčité příčiny úmrtí	393	33	27	8	10	23	25	60	75	132	-
199	Náhlá smrt	46	2	-	-	3	10	4	5	8	14	-
200	Nerozlišené nebo nedostatečně určené příčiny	347	31	27	8	7	13	21	55	67	118	-
