21;Pøíjice získaná;9;-;-;-;-;-;-;-;-;-;1;3;3;2;-;-;"";"";"";"";"";"";""
22;Vıdu srdeènice;23;-;-;-;-;-;-;-;-;1;3;8;8;2;1;-;"";"";"";"";"";"";""
23;Ostatní druhy pøíjice soustavy cevní;57;-;-;-;-;-;-;-;-;-;12;23;14;8;-;-;"";"";"";"";"";"";""
24;Úbytì míchy;12;-;-;-;-;-;-;-;-;-;-;3;8;1;-;-;"";"";"";"";"";"";""
25;Progresivní paralysa;15;-;-;-;-;-;-;-;-;2;-;9;2;2;-;-;"";"";"";"";"";"";""
26;Ostatní druhy pøíjice centrálního nervstva;5;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;"";"";"";"";"";"";""
27;Jiné druhy pozdní pøíjice;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;"";"";"";"";"";"";""
28;Latentní pøíjice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
29;Pøíjice blíe neurèená;5;-;-;-;-;-;-;-;-;-;1;-;3;1;-;-;"";"";"";"";"";"";""
30;Kapavka akutní nebo blíe neurèená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
31;Chronická gonokokové onemocnìní ústrojí moèového a pohlavního;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
32;Gonokokové onemocnìní kloubù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
33;Gonokokové onemocnìní oèní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
34;Gonokokové onemocnìní jinıch orgánù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
35;Pozdní následky gonokokové onemocnìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
36;Mìkkı vøed;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
37;Lymphogranuloma venereum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
38;Granuloma venereum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
39;Jiné nebo blíe neurèené pohlavní nemoci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
40;Bøišní tyfus;13;-;-;-;-;-;-;-;-;4;2;2;4;1;-;-;"";"";"";"";"";"";""
41;Paratyfus;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;"";"";"";"";"";"";""
42;Jiné nakalivé nemoci zpùsobené salmonelami;4;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;"";"";"";"";"";"";""
43;Cholera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
44;Horeèka vlnivá;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
45;Úplavice bacilární;17;-;-;1;-;-;1;-;1;-;1;2;4;5;2;-;"";"";"";"";"";"";""
46;Úplavice amoebová;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
47;Jiné úplavice protozoární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
48;Blíe neurèené formy úplavice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
49;Otravy potravinami;4;-;-;-;-;-;-;-;-;-;1;2;-;1;-;-;"";"";"";"";"";"";""
50;Spála;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
51;Angina streptokoková;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;"";"";"";"";"";"";""
52;Rùe;18;-;-;-;-;-;-;-;1;-;1;2;4;7;3;-;"";"";"";"";"";"";""
53;Sepse prostá i s metastasami;7;1;-;-;-;-;1;-;-;-;-;1;4;-;-;-;"";"";"";"";"";"";""
54;Bakteriální otrava krve;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
55;Záškrt;22;-;-;2;-;-;14;-;3;1;2;-;-;-;-;-;"";"";"";"";"";"";""
56;Dávivı kašel;10;4;2;1;2;1;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
57;Meningokokové nákazy;11;5;1;1;-;1;1;-;-;-;-;1;-;1;-;-;"";"";"";"";"";"";""
58;Mor;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
59;Tularemie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
60;Malomocenství;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
61;Ztrnutí;27;-;-;-;-;-;2;-;1;4;6;7;3;3;1;-;"";"";"";"";"";"";""
62;Uhlák;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;"";"";"";"";"";"";""
63;Snì plynatá;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
64;Jiné bakteriální nemoci;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
70;Vincentova angina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
71;Návratná horeèka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
72;Weilova nemoc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
73;Framboesia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
74;Jiná spirochaetová a leptospirová onemocnìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
80;Prudká obrna dìtská;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
81;Pozdní následky prudké dìtské obrny;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;"";"";"";"";"";"";""
82;Prudkı infekèní zánìt mozku;14;-;1;1;-;-;4;1;-;-;3;1;2;-;1;-;"";"";"";"";"";"";""
83;Pozdní následky epidemického zánìtu mozku;8;-;-;-;-;-;-;1;-;-;1;4;2;-;-;-;"";"";"";"";"";"";""
84;Neštovice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
85;Spalnièky;31;9;8;4;1;1;8;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
86;Zardìnky;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
87;Plané neštovice;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
88;Pásovı opar;3;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;"";"";"";"";"";"";""
89;Epidemickı zánìt pøíušnic;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
90;Dengue;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
91;lutá zimnice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
92;Epidemickı zánìt jater;32;1;-;1;-;-;1;1;1;-;9;8;5;5;-;-;"";"";"";"";"";"";""
93;Infekèní mononucleosa;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
94;Vzteklina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
95;Trachom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
96;Ostatní nemoci pøipisované virùm;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
100;Skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
101;Endemická skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
102;Americká skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
103;Mexická skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
104;Rocky-Mountainská skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
105;Skvrnivka pøenášená roztoèi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
106;Volyòská zimnice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
107;Skvrnivka blíe neurèená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
108;Ostatní rickettsiosy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
110;Malarie tøídenní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
111;Malarie ètvrtodenní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
112;Malarie zhoubná;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
113;Malarie zpùsobená plasmodiem ovale;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
114;Smíšené malarické infekce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
115;Biliosní haemoglobinurická horeèka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
116;Jiné a blíe neurèené formy malarie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
117;Recidivující malarie po naoèkování;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
120;Leishmaniosy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
121;Trypanosomiasy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
122;Ostatní nemoci zpùsobené protozoy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
123;Schistosomiasis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
124;Nemoci zpùsobené ostatními trematody;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
125;Mìchoil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
126;Jiné infekce cestody;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
127;Filariasis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
128;Trichinellosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
129;Ankylostomiasis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
130;Onemocnìní jinımi hlísty, smíšená nebo blíe neurèená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
131;Dermatophytosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
132;Actinomycosis;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;"";"";"";"";"";"";""
133;Coccidiodomycosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
134;Ostatní plísòová onemocnìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
135;Svrab;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
136;Zavšivení;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
137;Ostatní nemoci zpùsobené èlenovci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
138;Ostatní pøenosné a cizopasné nemoci;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
II;Novotvary;8 678;3;5;10;8;8;48;42;147;410;1 327;2 189;2 620;1 651;210;-;"";"";"";"";"";"";""
140;Zhoubnı novotvar rtu;3;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;"";"";"";"";"";"";""
141;Zhoubnı novotvar jazyka;15;-;-;-;-;-;-;-;1;1;-;2;6;4;1;-;"";"";"";"";"";"";""
142;Zhoubnı novotvar slinnıch láz;9;-;-;-;-;-;-;-;-;-;2;2;2;3;-;-;"";"";"";"";"";"";""
143;Zhoubnı novotvar spodiny ústní;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
144;Zhoubnı novotvar jinıch èástí úst a zhoubnı novotvar neurèené èásti dutiny ústní;26;-;-;-;-;-;-;-;-;1;2;7;7;6;3;-;"";"";"";"";"";"";""
145;Zhoubnı novotvar ústní èástí hltanu a mandlí;5;-;-;-;-;-;-;-;-;-;1;2;-;2;-;-;"";"";"";"";"";"";""
146;Zhoubnı novotvar nosohltanu;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;"";"";"";"";"";"";""
147;Zhoubnı novotvar hrtanové èásti hltanu;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;"";"";"";"";"";"";""
148;Zhoubnı novotvar neurèené èásti hltanu;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;"";"";"";"";"";"";""
150;Zhoubnı novotvar jícnu;39;-;-;-;-;-;-;-;-;1;2;10;15;9;2;-;"";"";"";"";"";"";""
151;Zhoubnı novotvar aludku;1 893;-;-;-;-;-;-;2;8;41;163;430;718;471;60;-;"";"";"";"";"";"";""
152;Zhoubnı novotvar tenkého støeva a dvanácterníku;16;-;-;-;-;-;-;-;-;-;1;3;7;4;1;-;"";"";"";"";"";"";""
153;Zhoubnı novotvar tlustého støeva vyjma koneèníku;406;-;-;-;1;-;-;-;6;6;37;103;131;105;17;-;"";"";"";"";"";"";""
154;Zhoubnı novotvar koneèníku;376;-;-;-;-;-;-;2;5;14;61;91;115;82;6;-;"";"";"";"";"";"";""
155;Zhoubnı novotvar luèovıch cest a jater (urèenı jako primární);845;-;-;-;-;-;-;-;1;12;78;220;309;202;23;-;"";"";"";"";"";"";""
156;Zhoubnı novotvar jater (sekundární nebo neurèenı);3;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;"";"";"";"";"";"";""
157;Zhoubnı novotvar slinivky bøišní;267;-;-;-;-;-;-;-;2;10;34;67;103;49;2;-;"";"";"";"";"";"";""
158;Zhoubnı novotvar pobøišnice;75;1;-;-;-;-;-;-;-;3;7;21;27;15;1;-;"";"";"";"";"";"";""
159;Zhoubnı novotvar neurèené èásti trávicího ústrojí;179;-;-;1;-;-;-;-;2;4;20;30;59;60;3;-;"";"";"";"";"";"";""
160;Zhoubnı novotvar nosu, dutiny nosní, støedního ucha a vedlejších dutin;12;-;-;-;-;-;-;-;1;1;-;3;3;3;1;-;"";"";"";"";"";"";""
161;Zhoubnı novotvar hrtanu;10;-;-;-;-;-;-;-;-;-;1;3;1;4;1;-;"";"";"";"";"";"";""
162;Zhoubnı novotvar prùdušnice, prùdušek, plic, urèenı jako primární;404;-;-;-;-;-;-;-;5;11;50;101;135;97;5;-;"";"";"";"";"";"";""
163;Zhoubnı novotvar plic a prùdušek, neurèenı jako primární nebo sekundární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
164;Zhoubnı novotvar mezihrudí;21;-;-;1;-;-;1;-;-;1;8;1;6;3;-;-;"";"";"";"";"";"";""
165;Zhoubnı novotvar hrudních orgánù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
170;Zhoubnı novotvar prsù;948;-;-;-;-;-;-;-;11;81;244;275;209;112;16;-;"";"";"";"";"";"";""
171;Zhoubnı novotvar hrdla dìloního;390;-;-;-;-;-;-;-;16;56;103;109;70;32;4;-;"";"";"";"";"";"";""
172;Zhoubnı novotvar tìla dìloního;66;-;-;-;-;-;-;-;-;5;6;21;21;11;2;-;"";"";"";"";"";"";""
173;Zhoubnı novotvar jinıch èástí dìlohy a chorioepitheliom;7;-;-;-;-;-;-;-;-;1;2;-;1;2;1;-;"";"";"";"";"";"";""
174;Zhoubnı novotvar neurèené èásti dìlohy;488;-;-;-;-;-;-;1;12;28;110;135;122;71;9;-;"";"";"";"";"";"";""
175;Zhoubnı novotvar vajeèníku, vejcovodu, širokého vazu;519;1;-;-;-;-;2;1;10;19;147;178;118;41;2;-;"";"";"";"";"";"";""
176;Zhoubnı novotvar jinıch nebo blíe neurèenıch enskıch orgánù pohlavních;119;-;-;-;-;-;-;1;-;4;11;29;42;30;2;-;"";"";"";"";"";"";""
177;Zhoubnı novotvar pøedstojné lázy;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
178;Zhoubnı novotvar varlat;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
179;Zhoubnı novotvar jinıch nebo blíe neurèenıch muskıch pohlavních orgánù;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
180;Zhoubnı novotvar ledvin;145;-;-;1;2;-;3;-;2;10;22;40;46;15;4;-;"";"";"";"";"";"";""
181;Zhoubnı novotvar moèového mìchıøe a ostatních moèovıch orgánù;76;-;1;-;-;-;1;-;-;1;10;17;29;15;2;-;"";"";"";"";"";"";""
190;Zhoubnı melanom kùe;27;-;-;-;-;-;-;-;1;3;5;5;2;8;3;-;"";"";"";"";"";"";""
191;Ostatní zhoubné novotvary kùe;103;-;-;-;-;-;-;-;-;-;5;10;26;41;21;-;"";"";"";"";"";"";""
192;Zhoubnı novotvar oka;13;-;-;-;1;-;-;-;-;2;-;2;5;2;1;-;"";"";"";"";"";"";""
193;Zhoubnı novotvar mozku a jinıch èástí ústrojí nervového;188;-;2;1;-;6;11;8;9;19;53;49;20;8;2;-;"";"";"";"";"";"";""
194;Zhoubnı novotvar štítné lázy;68;-;-;-;-;-;-;-;-;2;7;18;23;17;1;-;"";"";"";"";"";"";""
195;Zhoubnı novotvar ostatních láz s vnitøní sekrecí;18;-;-;-;-;-;-;-;1;2;1;8;6;-;-;-;"";"";"";"";"";"";""
196;Zhoubnı novotvar kostí (i èelistí);103;-;-;1;-;-;7;3;1;5;13;19;33;17;4;-;"";"";"";"";"";"";""
197;Zhoubnı novotvar pojiva;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
198;Zsekundární nebo blíe neurèené zhoubné novotvary mízních uzlin;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
199;Zhoubnı novotvar jiného nebo blíe neurèeného umístìní;210;-;1;-;1;-;2;2;8;13;27;41;64;47;4;-;"";"";"";"";"";"";""
200;Lymfosarkom a retikulosarkom;76;-;-;1;-;-;2;2;7;5;6;26;16;10;1;-;"";"";"";"";"";"";""
201;Hodgkinova nemoc;75;-;-;-;-;-;1;5;15;11;19;10;8;6;-;-;"";"";"";"";"";"";""
202;Jiné druhy lymfomù;6;-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;"";"";"";"";"";"";""
203;Mnohoèetnı myelom;45;-;-;-;-;-;-;-;-;2;6;20;12;5;-;-;"";"";"";"";"";"";""
204;Leukaemie a aleukie;231;-;1;4;2;2;15;13;16;21;27;51;55;22;2;-;"";"";"";"";"";"";""
205;Mycosis fungoides;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
210;Nezhoubnı novotvar dutiny ústní a hltanu;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
211;Nezhoubnı novotvar ostatních èástí trávicího ústrojí;9;-;-;-;-;-;-;-;-;-;1;2;5;1;-;-;"";"";"";"";"";"";""
212;Nezhoubnı novotvar dıchacího ústrojí;2;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;"";"";"";"";"";"";""
213;Nezhoubnı novotvar prsù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
214;Fibromyom dìlohy;17;-;-;-;-;-;-;-;-;4;11;2;-;-;-;-;"";"";"";"";"";"";""
215;Ostatní nezhoubné novotvary dìlohy;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;"";"";"";"";"";"";""
216;Nezhoubnı novotvar vajeèníku;11;-;-;-;-;-;-;-;1;1;1;1;4;1;2;-;"";"";"";"";"";"";""
217;Nezhoubnı novotvar ostatních enskıch pohlavních orgánù;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;"";"";"";"";"";"";""
218;Nezhoubnı novotvar muskıch pohlavních orgánù;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
219;Nezhoubnı novotvar ledvin a moèovıch cest;3;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;"";"";"";"";"";"";""
220;Nezhoubnı melanom kùe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
221;Pilonidální cysta;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;"";"";"";"";"";"";""
222;Ostatní nezhoubné novotvary kùe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
223;Nezhoubnı novotvar mozku a jinıch èástí ústrojí nervového;34;-;-;-;1;-;1;-;2;3;8;3;9;6;1;-;"";"";"";"";"";"";""
224;Nezhoubnı novotvar láz s vnitøní sekrecí;3;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;"";"";"";"";"";"";""
225;Nezhoubnı novotvar kostí a chrupek;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
226;Lipom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
227;Jiné nezhoubné novotvary svalù a vaziva;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
228;Haemangiom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
229;Nezhoubné novotvary ostatních nebo blíe neurèenıch orgánù a tkání;4;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;"";"";"";"";"";"";""
230;Novotvar neurèené povahy trávicího ústrojí;12;-;-;-;-;-;-;-;-;1;-;4;4;3;-;-;"";"";"";"";"";"";""
231;Novotvar neurèené povahy dıchacího ústrojí;3;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;"";"";"";"";"";"";""
232;Novotvar neurèené povahy prsù;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;"";"";"";"";"";"";""
233;Novotvar neurèené povahy dìlohy;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;"";"";"";"";"";"";""
234;Novotvar neurèené povahy vajeèníkù;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;"";"";"";"";"";"";""
235;Novotvar neurèené povahy ostatních enskıch pohlavních orgánù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
236;Novotvar neurèené povahy jinıch pohlavních a moèovıch orgánù;2;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;"";"";"";"";"";"";""
237;Novotvar neurèené povahy mozku a jinıch èástí ústrojí nervového;23;1;-;-;-;-;1;1;1;2;7;5;5;-;-;-;"";"";"";"";"";"";""
238;Novotvar neurèené povahy kùe,soustavy svalové a kosterní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
239;Novotvar neurèené povahy ostatních nebo blíe neurèenıch orgánù;9;-;-;-;-;-;1;-;1;-;-;4;1;2;-;-;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
III;Nemoci allergické, láz s vnitøní sekrecí, vımìny látkové a vıivy;1 171;8;1;2;-;-;3;5;16;22;72;272;511;241;18;-;"";"";"";"";"";"";""
