1956	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
E900	Pád na schodech 	25	-	-	-	-	-	-	-	1	3	5	4	5	7	-	-
E901	Pád se žebøíku 	14	-	-	-	-	-	-	1	1	-	1	1	8	1	1	-
E902	Jiný pád do hloubky	177	1	4	3	2	1	11	14	11	22	29	38	25	15	1	-
E903	Pád na rovinì	49	-	-	-	-	-	1	2	2	1	2	5	10	18	8	-
E904	Neurèený pád 	215	-	-	-	1	-	3	3	3	7	6	13	41	99	39	-
																	
	Jiné náhodné úrazy	1361	169	39	30	20	22	128	176	169	134	201	125	85	56	5	2
E910	Náhodný úraz zpùsobený padajícími pøedmìty	80	-	1	-	1	-	4	4	18	16	18	13	4	1	-	-
E911	Náhodný úraz zpùsobený vozidly	33	-	-	1	1	1	2	5	2	3	4	7	7	-	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	31	-	-	-	-	-	1	8	4	3	7	4	4	-	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	3	-	-	-	-	-	-	-	-	-	1	-	-	2	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	78	-	1	-	1	1	8	15	27	10	9	4	2	-	-	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	53	4	-	2	2	1	2	5	7	2	10	4	4	10	-	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	24	-	2	4	5	4	-	-	-	1	-	-	2	6	-	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	62	-	-	1	-	-	19	23	5	6	3	1	2	-	-	2
E920	Cizí tìleso vniklé do oka a jeho adnexù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E921	Vdechnutí nebo vniknutí potravy do hrtanu a jiných cest dýchacích pùsobící ucpání nebo udušení	176	135	10	1	-	1	1	1	-	5	9	8	3	2	-	-
E922	Vdechnutí nebo vniknutí jiných pøedmìtù do hrtanu pùsobící ucpání nebo udušení	10	3	-	1	-	1	1	-	1	1	-	-	-	1	1	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	10	7	3	-	-	-	-	-	-	-	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	19	8	1	1	-	-	3	1	1	1	3	-	-	-	-	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	11	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Náhodný úraz zpùsobený kousnutím nebo uštknutím  jedovatými  živoèichy a hmyzem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	34	-	-	-	-	-	2	2	2	3	4	10	10	1	-	-
E929	Náhodné tonutí	269	-	21	19	9	12	79	55	14	8	15	12	17	8	-	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E932	Nadmìrný chlad	28	-	-	-	1	-	1	-	1	3	3	7	4	7	1	-
E933	Hlad, žízeò a  jiné strádání 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	9	-	-	-	-	-	-	-	-	-	4	4	1	-	-	-
E936	Jiný a neurèený náhodný úraz	212	1	-	-	-	1	5	22	32	20	53	35	23	17	3	-
E937	Úraz v dolech, v lomech	217	-	-	-	-	-	-	35	54	51	58	16	2	1	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku (encephalitis) povakcinaèní	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování po neštovicích	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Žloutenka a hepatitis po profylaktické injekci sera a podobné imunisaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii v pøípadech neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace zpùsobené neléèebnými lékaøskými zákroky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	5	-	-	-	-	-	-	1	1	-	-	2	1	-	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E954	Léèebná nehoda pøi anestesii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E956	Pozdní komplikace chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E959	Pozdní komplikace jiných druhù léèení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Pozdní následky otrav a úrazù	2	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následky úrazù zpùsobených úmyslnì jinou osobou (ne ve válce)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následky úrazù vzniklých váleènými operacemi	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	1571	-	-	-	-	-	9	115	197	225	369	305	207	120	24	-
E970	Sebevražda a sebepoškození otravou analgetiky a uspávacími prostøedky	15	-	-	-	-	-	-	2	3	3	2	3	2	-	-	-
E971	Sebevražda a sebepoškození otravou jinými pevnými látkami a tekutinami	40	-	-	-	-	-	-	8	8	5	8	8	1	2	-	-
E972	Sebevražda a sebepoškození otravou plyny v domácím používání	96	-	-	-	-	-	1	8	22	19	18	15	8	5	-	-
E973	Sebevražda a sebepoškození otravou jinými plyny	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	1085	-	-	-	-	-	7	44	110	144	280	222	157	98	23	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	48	-	-	-	-	-	-	1	5	6	8	11	9	7	1	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	141	-	-	-	-	-	-	42	26	24	24	17	7	1	-	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	33	-	-	-	-	-	-	-	-	8	9	10	4	2	-	-
E978	Sebevražda a sebepoškození  skokem s vysokého místa	35	-	-	-	-	-	-	2	3	7	4	6	10	3	-	-
E979	Sebevražda a sebepoškození  jinými a blíže neurèenými prostøedky 	17	-	-	-	-	-	1	1	5	3	4	3	-	-	-	-
E97a	Sebevražda vlakem	61	-	-	-	-	-	-	7	15	6	12	10	9	2	-	-
																	
NA	Usmrcení nebo poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	66	9	2	1	1	1	7	14	10	6	4	5	3	2	-	1
E980	Úmyslné otrávení	2	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	16	-	-	-	-	-	2	8	2	2	1	1	-	-	-	-
E982	Napadení  nástroji øeznými a bodnými	9	-	-	-	-	-	-	3	2	1	1	2	-	-	-	-
E983	Napadení  jinými prostøedky	36	8	2	1	1	1	5	2	5	2	2	1	3	2	-	1
E984	Zranìní zpùsobená zákrokem policie	3	-	-	-	-	-	-	1	-	1	-	1	-	-	-	-
E985	Poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
