1941	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	88	-	-	-	2	6	21	34	14	8	3	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	60	-	-	-	-	3	3	3	18	21	12	-
30d	Pøíjice: pøíjice vrozená	32	27	1	2	1	1	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	96	-	-	-	2	8	20	27	25	9	5	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	-	-	-	-	-	-	-	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	345	96	13	2	2	6	6	13	33	73	101	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	183	38	2	2	2	2	-	7	12	38	80	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	82	26	38	17	1	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	25	-	7	4	6	4	1	2	1	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	1	-	-	1	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	34	-	-	-	2	3	9	8	4	5	3	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	7	-	-	2	-	2	2	-	1	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	5	5	-	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	1	-	-	-	-	-	-	-	-	-	1	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	1	-	-	-	-	-	-	-	1	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	2	-	-	-	-	-	1	1	-	-	-	-
43b	Jiné mykosy	-	-	-	-	-	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	39	-	1	1	1	9	8	6	8	4	1	-
44c	Epidemickı zánìt pøíušnic	3	1	2	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	6079	5	9	23	26	150	499	1008	1518	1771	1070	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	14	-	-	-	-	-	2	-	-	3	9	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	10	-	-	-	-	-	-	1	5	2	2	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	35	-	-	-	-	1	3	5	11	10	5	-
46a	Rakovina a jiné zhoubné nádory: jícnu	71	-	-	-	-	1	1	7	18	28	16	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	1810	-	-	1	-	15	67	203	437	685	402	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	326	-	-	-	-	11	18	39	77	95	86	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	226	-	-	-	-	7	14	34	51	76	44	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	599	-	-	1	-	4	25	65	161	214	129	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	125	-	-	2	2	3	11	15	29	36	27	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	56	-	-	-	-	1	4	7	17	19	8	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	75	-	-	-	-	2	8	9	24	23	9	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	10	-	-	-	-	-	-	1	3	3	3	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	30	-	-	-	-	-	3	3	8	9	7	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	124	-	1	-	-	5	7	23	42	36	10	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	1	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	103	-	-	-	-	5	22	43	17	12	4	-
48b	Rakovina a jiné zhoubné nádory: dìlohy	907	-	-	-	2	29	118	227	264	199	68	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	208	1	-	1	3	12	25	45	62	34	25	-
50	Rakovina a jiné zhoubné nádory: prsù	502	-	-	-	1	10	58	130	143	104	56	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	72	-	-	1	-	1	5	10	20	26	9	-
53	Rakovina a jiné zhoubné nádory: kùe	107	-	-	-	-	2	3	2	5	23	72	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	23	-	-	1	-	5	4	3	3	4	3	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	14	-	-	-	-	-	1	2	3	6	2	-
55b	Rakovina a jiné zhoubné nádory: kostí	51	-	1	1	2	2	9	7	14	12	3	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	51	-	-	-	1	-	4	12	12	14	8	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	144	1	1	4	5	8	11	29	33	32	20	-
55	Carcinomatosy, sarkomatosy	23	-	-	-	-	1	1	10	4	5	2	-
55f	Metastasy bez udání prvotního místa	15	-	-	-	-	-	2	2	1	7	3	-
56a	Nádory nezhoubné: vajeèníku	33	-	-	-	2	3	11	4	5	5	3	-
56b	Nádory nezhoubné: dìlohy	42	-	-	-	-	1	19	17	3	1	1	-
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	2	-	-	-	-	-	1	1	-	-	-	-
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	6	-	-	-	-	1	1	2	1	-	1	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	7	2	-	-	-	-	-	1	3	1	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	6	-	-	-	-	-	-	2	-	2	2	-
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	38	-	-	-	-	-	3	3	7	13	12	-
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	-	-	-	-	-	-	-	-	-	-	-	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	128	-	5	9	8	15	31	33	15	9	3	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	85	1	1	2	-	5	7	11	19	23	16	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	961	50	12	31	28	22	51	94	207	296	170	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	46	-	1	16	8	5	4	2	1	6	3	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	18	-	-	2	2	-	-	2	1	2	9	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	121	-	-	-	-	-	2	7	20	38	54	-
60	Dna	2	-	-	-	-	-	-	-	-	2	-	-
61	Úplavice cukrová	590	-	5	10	9	8	17	54	151	235	101	-
62	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	15	-	-	-	1	1	4	1	5	1	2	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	84	-	-	-	5	7	17	23	23	8	1	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	10	1	-	1	1	-	3	-	3	1	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	2	2	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	22	21	1	-	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	13	-	-	-	1	1	3	4	2	2	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	1	-	1	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	2	-	-	-	-	-	-	-	1	1	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	2	-	-	1	-	-	1	-	-	-	-	-
67	Kurdìje	2	-	-	-	1	-	-	1	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	30	25	4	1	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	1	1	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	234	5	10	17	16	12	26	32	55	51	10	-
72a	Stavy krvácivé: purpury prvotní	8	1	2	1	2	-	-	-	2	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	1	1	-	-	-	-	-	-	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	86	1	1	3	4	3	8	7	22	29	8	-
73b	Chudokrevnost: jiná anaemie	16	1	1	1	3	-	2	2	4	2	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	97	1	6	8	4	7	13	16	21	19	2	-
74b	Leukaemie a aleukaemie: aleukaemie	9	-	-	2	1	-	1	3	1	1	-	-
75	Nemoci sleziny	4	-	-	-	-	-	1	2	1	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	8	-	-	1	1	1	1	1	3	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	5	-	-	1	1	1	-	1	1	-	-	-
													
V	Otravy vleklé	12	-	-	-	-	-	1	1	3	4	3	-
77a	Alkoholismus prudkı	7	-	-	-	-	-	-	1	1	3	2	-
77b	Alkoholismus vleklı a bez blišího oznaèení	5	-	-	-	-	-	1	-	2	1	1	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	-	-	-	-	-	-	-	-	-	-	-	-
													
DU		74	0	1	2	6	6	8	13	16	16	6	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3950	343	74	57	48	81	128	322	616	1110	1171	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	4	-	3	-	-	-	1	-	-	-	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	28	5	3	5	4	2	-	4	1	2	2	-
81	Zánìt plen mozkovıch prostı	151	31	27	27	13	12	10	12	14	3	2	-
82	Nemoci míchy	96	-	1	7	4	10	12	17	20	20	5	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2595	-	5	-	3	14	45	199	470	897	962	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	51	-	1	2	1	2	3	6	7	10	19	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	130	-	-	-	-	-	2	6	10	51	61	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	180	-	2	-	-	1	6	13	26	62	70	-
84a	Duševní nemoci a vady: slabomyslnost	9	-	1	2	2	1	1	1	-	1	-	-
84b	Duševní nemoci a vady: schoizophrenie	14	-	-	-	3	1	2	4	2	2	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	-	-	-	-	-	-	-	-	-	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	39	-	-	-	1	4	4	7	11	9	3	-
85	Padoucnice	75	1	2	6	9	14	12	13	11	2	5	-
86	Køeèe u dìtí do 5 let	287	267	20	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	-	-	-	1	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	4	-	-	-	-	-	-	1	2	1	-	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	29	-	-	-	-	2	3	2	9	11	2	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	154	-	-	-	3	11	23	27	24	33	33	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	18	1	3	4	-	1	1	2	2	1	3	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	81	37	6	4	5	4	3	8	6	5	3	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	4	1	-	-	-	2	-	-	1	-	-	-
													
VII	Nemoci ústrojí obìhu krevního	11931	15	28	58	86	199	363	695	1765	3847	4875	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	1	-	-	1	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	16	3	1	1	-	1	1	-	2	4	3	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	35	2	2	11	6	5	3	3	-	2	1	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	82	-	-	1	1	4	10	13	21	18	14	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	1115	-	3	18	32	72	110	138	197	335	210	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	49	3	1	4	2	-	5	5	3	12	14	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	164	-	-	-	-	3	5	6	33	61	56	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	5256	2	4	4	14	32	70	206	737	1744	2443	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1167	1	4	2	6	16	22	68	145	409	494	-
94a	Nemoci tepen vìnèitıch	61	-	-	-	-	-	1	4	8	31	17	-
94b	Angina srdeèní	124	-	-	-	-	-	1	13	32	51	27	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	97	-	-	-	-	-	6	12	29	27	23	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	2176	1	10	15	21	57	112	187	421	739	613	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	16	-	-	-	1	1	-	2	7	2	3	-
97	Zkornatìní tepen	1311	-	-	-	-	-	4	19	80	358	850	-
98	Snì	94	2	-	-	-	1	2	3	11	16	59	-
99	Jiné nemoci tepen	31	-	-	-	2	1	-	5	10	7	6	-
100a	Nemoci il: mìstky	57	-	-	-	-	1	2	2	9	12	31	-
100b	Nemoci il: jiné nemoci il	62	-	-	-	1	5	7	8	20	13	8	-
101	Nemoci soustavy mízní	9	1	3	-	-	-	1	-	-	3	1	-
102	Essentielní zvıšení tlaku krevního	3	-	-	1	-	-	-	-	-	2	-	-
103	Jiné nemoci ústrojí obìhu krevního	5	-	-	-	-	-	1	1	-	1	2	-
													
VIII	Nemoci ústrojù dıchacích	5887	1548	315	87	61	104	154	266	536	1176	1640	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	2	1	-	-	-	-	-	-	-	-	1	-
105	Nemoci hrtanu	5	3	-	1	-	1	-	-	-	-	-	-
106a	Zánìt prùdušek: prudkı	135	77	5	2	-	1	-	4	2	11	33	-
106b	Zánìt prùdušek: vleklı	205	3	5	1	2	1	1	5	18	66	103	-
106c	Zánìt prùdušek: blíe neoznaèenı	281	90	10	2	-	1	4	2	15	34	123	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2464	1009	160	26	15	28	45	78	142	368	593	-
108	Lalokovı zánìt plic	1049	111	55	24	15	30	52	83	166	271	242	-
109	Zánìt plic blíe neoznaèenı	944	219	57	19	17	16	22	45	91	202	256	-
110a	Zánìt pohrudnice: empyema thoracis	73	16	16	7	2	7	5	2	7	6	5	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	163	16	6	5	4	6	11	18	23	44	30	-
111a	Infarkt s krvácením, embolie a trombosa plic	50	1	-	-	-	4	4	10	15	13	3	-
111b	Hypostatickı zánìt a oedem plic	23	1	-	-	-	-	1	1	-	5	15	-
112	Záducha (asthma)	138	-	-	-	-	1	1	4	11	61	60	-
113	Rozedma plic	305	-	-	-	-	1	4	6	30	91	173	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	4	-	-	-	1	1	1	1	-	-	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	44	1	1	-	5	5	3	7	15	4	3	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	2	-	-	-	-	1	-	-	1	-	-	-
													
IX	Nemoci ústrojí zaívacího	2412	897	74	70	69	75	152	185	276	349	265	-
115a	Nemoci mandlí a hltanu	75	12	4	10	12	5	6	8	9	5	4	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	9	3	-	-	2	1	1	2	-	-	-	-
116	Nemoci jícnu	5	-	-	-	-	1	-	1	2	-	1	-
117a	Vøed aludeèní	98	-	-	1	-	6	6	10	29	37	9	-
117b	Vøed dvanáctníkovı	19	-	-	-	1	2	4	1	5	3	3	-
118	Jiné nemoci aludku	32	-	2	-	1	-	-	1	3	11	14	-
119	Prùjem a katar støevní u dìtí do 2 let	897	863	34	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	66	-	7	2	2	3	4	7	3	12	26	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	9	-	-	-	3	-	3	-	1	1	1	-
121	Zánìt èervíkovitého pøívìsku	161	1	12	33	20	16	18	17	23	16	5	-
122a	Kıla	184	-	-	-	1	2	3	12	41	64	61	-
122b	Neprùchodnost støevní	191	7	2	3	5	7	20	19	26	48	54	-
123	Ostatní nemoci støevní	7	-	-	-	-	1	1	-	2	-	3	-
124a	Svraštìní jater: alkoholické	2	-	-	-	-	-	-	1	-	-	1	-
124b	Svraštìní jater: neoznaèené za alkoholické	230	1	-	-	4	7	19	34	54	79	32	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	55	-	2	2	3	3	10	11	11	8	5	-
125b	Jiné nemoci jater: ostatní nemoci jater	35	-	1	1	2	1	5	4	7	10	4	-
126	Kaménky luèové	88	-	-	-	1	1	16	20	21	19	10	-
127	Jiné nemoci luèníku a luèovodù	86	-	-	-	1	4	4	13	18	25	21	-
128	Nemoci slinivky bøišní	18	-	-	1	-	1	4	5	3	2	2	-
129	Zánìt pobøišnice bez udání pøíèiny	145	10	10	17	11	14	28	19	18	9	9	-
													
X	Nemoci ústrojí moèového a pohlavního	1186	7	16	21	28	70	125	176	265	300	178	-
130	Prudkı zánìt ledvin	39	2	5	2	3	6	6	1	6	4	4	-
131	Vleklı zánìt ledvin	790	-	1	7	10	36	63	127	206	222	118	-
132	Zánìt ledvin nerozlišenı	118	-	7	4	4	8	14	20	21	24	16	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	66	4	2	3	3	1	9	4	14	17	9	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	22	-	1	-	-	1	5	4	4	7	-	-
134	Kaménky cest moèovıch	29	-	-	1	-	1	-	6	6	8	7	-
135a	Zánìt mìchıøe moèového	13	1	-	-	-	-	-	-	2	4	6	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	3	-	-	-	-	-	-	-	-	2	1	-
136	Nemoci roury moèové	22	-	-	2	-	-	2	2	2	5	9	-
137a	Nezhoubné nádory lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnìní lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	44	-	-	1	5	10	17	8	3	-	-	-
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	39	-	-	1	3	6	9	4	1	7	8	-
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	1	-	-	-	-	1	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	-	-	-	-	-	-	-	-	-	-	-	-
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	342	-	-	-	67	167	103	5	-	-	-	-
140	Potrat se sepsí	74	-	-	-	14	30	29	1	-	-	-	-
141	Potrat bez zmínky o sepsi	10	-	-	-	2	4	4	-	-	-	-	-
142	Tìhotenství mimodìloní	23	-	-	-	3	12	7	1	-	-	-	-
143a	Krvácení v tìhotenství: lùko vcestné	3	-	-	-	-	1	2	-	-	-	-	-
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	-	-	-	-	-	-	-	-	-	-	-	-
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	1	-	-	-	-	1	-	-	-	-	-	-
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	26	-	-	-	8	10	7	1	-	-	-	-
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	10	-	-	-	2	6	1	1	-	-	-	-
144c	Otrava krve v tìhotenství: jiné toxikosy	3	-	-	-	1	2	-	-	-	-	-	-
145	Jiné nemoci a pøíhody tìhotenství	2	-	-	-	-	1	1	-	-	-	-	-
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	17	-	-	-	-	10	7	-	-	-	-	-
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	1	-	-	-	-	-	1	-	-	-	-	-
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	3	-	-	-	-	2	1	-	-	-	-	-
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	19	-	-	-	1	11	7	-	-	-	-	-
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	83	-	-	-	24	43	16	-	-	-	-	-
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	3	-	-	-	-	2	1	-	-	-	-	-
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	10	-	-	-	3	5	2	-	-	-	-	-
148a	Toxikosy ve stavu poporodním: eclampsie	16	-	-	-	2	7	6	1	-	-	-	-
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	3	-	-	-	-	2	1	-	-	-	-	-
