1941	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
28	Støídavka (malarie)	5	-	-	-	-	-	2	-	-	3	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	94	-	-	-	-	-	8	18	33	29	6	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	226	-	-	-	2	9	58	85	49	19	4	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	109	-	-	-	1	5	13	24	36	21	9	-
30d	Pøíjice: pøíjice vrozená	39	35	1	1	1	-	1	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	159	-	-	-	2	7	20	49	49	27	5	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	2	-	-	-	-	-	-	1	1	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	356	124	20	5	5	7	12	20	30	67	66	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	181	37	3	2	5	3	10	6	17	27	71	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	65	24	35	6	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	16	1	1	2	5	2	1	1	2	1	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	46	-	-	-	1	12	11	5	10	5	2	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	17	-	1	1	-	1	2	4	6	2	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	1	-	1	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	3	1	2	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	1	-	-	-	-	-	1	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	5	-	-	-	1	2	1	-	1	-	-	-
43b	Jiné mykosy	1	-	-	-	-	-	-	-	-	1	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	52	-	1	-	4	6	12	10	8	10	1	-
44c	Epidemickı zánìt pøíušnic	-	-	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	5507	7	17	26	37	85	313	743	1495	1949	835	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	39	-	-	-	-	-	1	1	4	14	19	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	44	-	-	-	-	-	2	4	11	16	11	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	77	-	-	1	-	2	4	11	16	27	16	-
46a	Rakovina a jiné zhoubné nádory: jícnu	328	-	-	-	-	-	6	32	82	153	55	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2252	-	-	-	-	16	98	277	620	912	329	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	315	-	-	1	4	9	18	42	72	119	50	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	314	-	-	-	1	3	13	41	87	121	48	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	364	-	-	-	-	2	16	51	90	135	70	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	125	2	1	2	1	7	14	20	27	31	20	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	81	-	-	1	-	2	8	16	35	16	3	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	35	-	-	-	-	1	2	6	10	15	1	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	36	-	-	-	-	2	2	3	6	15	8	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	119	-	-	-	2	1	8	23	30	36	19	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	386	-	1	-	4	11	29	83	163	69	26	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	-	-	-	-	-	-	-	-	-	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dìlohy	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	4	-	-	-	-	-	-	1	1	1	1	-
51a	Rakovina a jiné zhoubné nádory: šourku	1	-	-	-	-	-	-	-	1	-	-	-
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	187	-	-	-	1	-	-	8	35	86	57	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	20	-	-	-	-	3	4	2	4	3	4	-
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	149	-	3	-	-	1	8	21	46	43	27	-
53	Rakovina a jiné zhoubné nádory: kùe	80	-	-	-	1	-	7	5	14	21	32	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	30	-	-	2	1	-	11	12	3	1	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	23	-	1	-	-	-	1	3	8	9	1	-
55b	Rakovina a jiné zhoubné nádory: kostí	47	-	4	1	3	1	3	7	15	10	3	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	23	-	-	-	1	1	3	1	8	6	3	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	147	1	3	1	7	7	19	23	30	40	16	-
55	Carcinomatosy, sarkomatosy	20	-	-	-	-	1	3	4	6	3	3	-
55f	Metastasy bez udání prvotního místa	14	-	-	-	-	-	3	2	3	6	-	-
56a	Nádory nezhoubné: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	2	-	-	-	-	1	-	-	1	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	5	-	-	-	-	-	-	2	2	-	1	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	99	1	2	14	6	11	17	18	24	6	-	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	141	3	2	3	5	3	13	24	41	35	12	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	695	57	19	29	22	21	32	60	165	201	89	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	42	1	3	18	10	5	2	-	1	2	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	10	-	-	1	4	-	2	1	1	-	1	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	61	-	-	2	-	-	4	4	10	16	25	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	460	-	1	8	5	9	14	43	138	181	61	-
62	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	3	-	-	-	-	-	1	2	-	-	-	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	25	-	-	-	-	5	4	6	9	1	-	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	11	-	1	-	1	-	2	3	3	-	1	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	3	2	-	-	-	-	-	-	-	-	1	-
64	Nemoci brzlíku	28	23	5	-	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	8	-	-	-	1	2	2	-	2	1	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	1	-	1	-	-	-	-	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	3	1	-	-	-	-	1	-	1	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	1	-	-	-	-	-	-	1	-	-	-	-
70	Køivice	39	30	8	-	1	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	192	4	9	15	11	16	17	23	41	43	13	-
72a	Stavy krvácivé: purpury prvotní	8	-	2	1	1	-	-	1	1	1	1	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	5	2	-	1	-	-	1	1	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	45	-	1	2	2	3	1	6	13	14	3	-
73b	Chudokrevnost: jiná anaemie	9	1	1	-	-	-	2	-	2	2	1	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	111	-	5	10	7	12	11	13	23	22	8	-
74b	Leukaemie a aleukaemie: aleukaemie	7	1	-	1	-	-	2	1	1	1	-	-
75	Nemoci sleziny	4	-	-	-	-	1	-	1	-	2	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	3	-	-	-	1	-	-	-	1	1	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	-	-	-	-	-	-	-	-	-	-	-	-
													
V	Otravy vleklé	50	-	-	-	2	5	6	10	9	15	3	-
77a	Alkoholismus prudkı	8	-	-	-	1	4	1	-	-	2	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	39	-	-	-	1	1	4	8	9	13	3	-
78a	Otrava olovem: oznaèená jako z povolání	2	-	-	-	-	-	1	1	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	1	-	-	-	-	-	-	1	-	-	-	-
													
DU		107	0	1	4	8	17	12	18	22	19	6	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3889	442	68	79	65	113	154	284	681	1111	892	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	17	-	-	-	2	4	4	4	2	1	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	35	8	2	5	3	7	6	-	4	-	-	-
81	Zánìt plen mozkovıch prostı	176	44	23	36	9	19	15	12	7	10	1	-
82	Nemoci míchy	88	-	6	3	6	8	10	10	18	20	7	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2435	-	2	2	3	12	54	180	522	913	747	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	41	-	-	-	-	1	5	5	5	14	11	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	97	-	-	-	-	-	-	1	24	29	43	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	145	-	4	-	2	2	4	8	36	53	36	-
84a	Duševní nemoci a vady: slabomyslnost	11	-	1	4	-	2	-	1	2	1	-	-
84b	Duševní nemoci a vady: schoizophrenie	17	-	-	-	3	6	4	3	-	1	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	1	-	-	-	-	-	1	-	-	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	31	-	-	-	3	4	2	6	11	2	3	-
85	Padoucnice	109	-	2	8	19	25	17	12	12	9	5	-
86	Køeèe u dìtí do 5 let	349	336	13	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	3	-	-	-	-	-	-	1	-	1	1	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	13	-	-	-	-	-	1	4	1	4	3	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	25	-	-	2	-	2	3	2	3	7	6	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	134	-	-	-	2	9	16	21	25	40	21	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	31	2	6	7	3	1	-	5	2	3	2	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	128	51	9	12	9	11	12	8	7	3	6	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	3	1	-	-	1	-	-	1	-	-	-	-
													
VII	Nemoci ústrojí obìhu krevního	10768	15	26	51	89	146	416	956	2000	3422	3647	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	-	-	-	-	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	12	1	-	1	2	1	1	3	-	2	1	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	26	-	4	3	2	2	3	6	2	3	1	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	43	-	-	1	2	7	6	6	10	7	4	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	873	-	1	17	30	47	100	116	197	234	131	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	61	6	4	5	3	4	2	9	13	8	7	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	70	-	-	1	-	-	3	7	18	22	19	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	4919	-	1	5	15	37	127	382	884	1614	1854	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1071	-	7	6	6	5	20	95	179	380	373	-
94a	Nemoci tepen vìnèitıch	144	-	-	-	-	1	16	25	48	36	18	-
94b	Angina srdeèní	342	-	-	-	-	1	16	60	126	105	34	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	38	-	-	2	-	-	3	4	9	13	7	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1737	-	6	9	27	36	101	192	353	593	420	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	12	-	-	-	-	2	2	3	3	2	-	-
97	Zkornatìní tepen	1218	-	-	-	-	-	2	27	111	362	716	-
98	Snì	95	4	1	-	1	-	3	9	22	17	38	-
99	Jiné nemoci tepen	25	1	-	-	-	1	4	2	6	10	1	-
100a	Nemoci il: mìstky	26	-	-	-	-	1	-	4	4	3	14	-
100b	Nemoci il: jiné nemoci il	32	-	-	-	1	1	3	2	10	11	4	-
101	Nemoci soustavy mízní	15	3	1	1	-	-	2	1	4	-	3	-
102	Essentielní zvıšení tlaku krevního	6	-	-	-	-	-	1	3	-	-	2	-
103	Jiné nemoci ústrojí obìhu krevního	3	-	1	-	-	-	1	-	1	-	-	-
													
VIII	Nemoci ústrojù dıchacích	6809	1942	356	86	91	129	259	419	815	1289	1423	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	3	1	-	-	-	1	-	1	-	-	-	-
105	Nemoci hrtanu	17	8	5	-	-	1	-	1	-	2	-	-
106a	Zánìt prùdušek: prudkı	125	81	4	1	-	-	-	3	1	10	25	-
106b	Zánìt prùdušek: vleklı	295	5	-	-	2	3	7	14	64	90	110	-
106c	Zánìt prùdušek: blíe neoznaèenı	302	104	18	2	3	2	2	7	23	56	85	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2664	1274	171	29	17	30	63	102	189	328	461	-
108	Lalokovı zánìt plic	1221	163	67	23	29	45	93	110	215	266	210	-
109	Zánìt plic blíe neoznaèenı	1016	262	56	14	20	22	33	62	110	212	225	-
110a	Zánìt pohrudnice: empyema thoracis	139	25	22	11	8	9	11	14	17	16	6	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	191	17	11	5	8	6	10	22	40	42	30	-
111a	Infarkt s krvácením, embolie a trombosa plic	51	-	-	-	1	4	4	6	14	15	7	-
111b	Hypostatickı zánìt a oedem plic	32	-	1	-	-	-	1	-	3	11	16	-
112	Záducha (asthma)	218	-	-	-	-	-	9	22	40	77	70	-
113	Rozedma plic	418	-	-	-	-	1	6	17	69	149	176	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	8	-	-	-	-	1	-	6	1	-	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	101	2	1	1	2	3	19	31	27	14	1	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	8	-	-	-	1	1	1	1	2	1	1	-
													
IX	Nemoci ústrojí zaívacího	3335	1231	91	91	84	130	250	368	424	431	235	-
115a	Nemoci mandlí a hltanu	76	17	9	17	6	7	7	4	5	4	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	13	2	-	2	2	3	1	2	1	-	-	-
116	Nemoci jícnu	10	-	-	-	-	-	-	1	2	3	4	-
117a	Vøed aludeèní	469	-	-	-	6	26	78	128	122	84	25	-
117b	Vøed dvanáctníkovı	129	-	-	-	8	12	21	40	32	12	4	-
118	Jiné nemoci aludku	45	-	-	-	1	2	2	8	5	21	6	-
119	Prùjem a katar støevní u dìtí do 2 let	1212	1171	41	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	86	-	8	3	6	7	6	9	10	16	21	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	14	-	-	-	1	-	7	2	1	3	-	-
121	Zánìt èervíkovitého pøívìsku	241	3	15	43	33	40	30	32	17	25	3	-
122a	Kıla	172	11	2	2	-	1	6	10	29	48	63	-
122b	Neprùchodnost støevní	201	16	4	10	8	7	16	23	39	45	33	-
123	Ostatní nemoci støevní	22	1	2	-	1	2	2	2	4	5	3	-
124a	Svraštìní jater: alkoholické	14	-	-	-	-	-	1	2	7	3	1	-
124b	Svraštìní jater: neoznaèené za alkoholické	371	-	-	4	3	11	42	63	94	108	46	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	48	-	2	1	-	2	10	7	12	9	5	-
125b	Jiné nemoci jater: ostatní nemoci jater	32	-	2	1	1	2	2	5	8	5	6	-
126	Kaménky luèové	27	-	-	-	-	-	1	8	7	8	3	-
127	Jiné nemoci luèníku a luèovodù	43	-	-	1	1	-	6	9	6	15	5	-
128	Nemoci slinivky bøišní	8	-	-	1	-	-	2	-	1	2	2	-
129	Zánìt pobøišnice bez udání pøíèiny	102	10	6	6	7	8	10	13	22	15	5	-
													
X	Nemoci ústrojí moèového a pohlavního	1669	12	17	15	23	60	108	209	319	462	444	-
130	Prudkı zánìt ledvin	49	4	8	7	5	6	4	7	4	3	1	-
131	Vleklı zánìt ledvin	843	-	-	2	15	43	77	164	224	219	99	-
132	Zánìt ledvin nerozlišenı	94	3	5	4	1	6	9	8	20	23	15	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	45	4	2	-	-	3	5	7	2	10	12	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	15	-	1	1	1	1	3	2	1	4	1	-
134	Kaménky cest moèovıch	49	-	-	-	-	-	4	10	19	10	6	-
135a	Zánìt mìchıøe moèového	36	1	-	-	-	-	2	1	5	8	19	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	12	-	-	-	-	-	-	-	1	3	8	-
136	Nemoci roury moèové	42	-	1	1	1	1	2	3	4	14	15	-
137a	Nezhoubné nádory lázy pøedstojné	6	-	-	-	-	-	-	-	1	3	2	-
137b	Zbytnìní lázy pøedstojné	458	-	-	-	-	-	1	7	34	157	259	-
137c	Ostatní nemoci lázy pøedstojné	16	-	-	-	-	-	1	-	2	8	5	-
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	4	-	-	-	-	-	-	-	2	-	2	-
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	x	x	x	x	x	x	x	x	x	x	x	x
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x
142	Tìhotenství mimodìloní	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v tìhotenství: lùko vcestné	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v tìhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a pøíhody tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	x	x	x	x	x	x	x	x	x	x	x	x
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	x	x	x	x	x	x	x	x	x	x	x	x
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	x	x	x	x	x	x	x	x	x	x	x	x
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148a	Toxikosy ve stavu poporodním: eclampsie	x	x	x	x	x	x	x	x	x	x	x	x
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	x	x	x	x	x	x	x	x	x	x	x	x
