1947	Zemřelé ženy podle podrobného seznamu příčin smrti a věku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- těno
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských	x	x	x	x	x	x	x	x	x	x	x	x	-
52	Rakovina a jiné zhoubné nádory: ústrojí močového	75	-	1	4	-	1	5	14	10	22	14	4	-
53	Rakovina a jiné zhoubné nádory: kůže	108	-	-	1	1	-	3	2	14	21	46	20	-
54	Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového	27	-	-	-	2	3	1	7	7	4	2	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	29	-	-	-	-	1	5	8	10	5	-	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	97	-	2	5	-	8	10	19	22	17	12	2	-
55c	Rakovina a jiné zhoubné nádory: žlázy štítné	49	-	-	-	-	2	2	5	14	17	8	1	-
55d	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů	170	2	3	1	-	6	16	30	41	42	26	3	-
55	Carcinomatosy, sarkomatosy	36	1	-	-	-	1	2	7	9	13	3	-	-
55f	Metastasy bez udání prvotního místa	1	-	-	-	-	-	-	1	-	-	-	-	-
56a	Nádory nezhoubné: vaječníku	17	-	-	-	1	1	7	3	4	1	-	-	-
56b	Nádory nezhoubné: dělohy	46	-	-	-	-	3	15	17	6	4	1	-	-
56c	Nádory nezhoubné: jiných pohlavních ústrojů ženských	1	-	-	-	-	-	-	1	-	-	-	-	-
56d	Nádory nezhoubné: mozku a jiných částí ústrojí nervového	7	-	-	1	-	2	-	4	-	-	-	-	-
56	Nádory nezhoubné: jiných a blíže neoznačených ústrojů	11	-	1	-	1	1	3	4	-	-	1	-	-
57a	Nádory, jejichž zhoubný ráz není rozlišen: vaječníku	13	-	-	-	-	2	6	1	3	1	-	-	-
57b	Nádory, jejichž zhoubný ráz není rozlišen: dělohy	44	-	-	-	-	-	1	7	9	16	10	1	-
57c	Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských	1	-	-	-	1	-	-	-	-	-	-	-	-
57d	Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového	109	-	1	7	7	4	23	43	14	9	1	-	-
57	Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů	87	1	2	1	3	3	10	8	16	27	14	2	-
														
III	Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos	914	65	12	30	19	15	42	76	198	299	145	13	-
58a	Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce	30	-	5	9	3	3	3	1	2	4	-	-	-
58b	Horečný rheumatismus kloubový prudký: jiné formy	1	-	-	-	1	-	-	-	-	-	-	-	-
59	Rheumatismus vleklý a jiné formy nemoci rheumatické	120	-	-	-	2	-	3	4	19	39	41	12	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	570	-	-	9	11	7	20	48	141	234	99	1	-
62	Nemoci podvěsku mozkového	2	-	-	-	-	1	1	-	-	-	-	-	-
63a	Nemoci žlázy štítné a žlázek přídatných: vole prosté	25	-	-	2	1	-	3	3	7	6	3	-	-
63b	Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova	58	-	-	1	1	1	8	17	19	10	1	-	-
63c	Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné	16	4	1	1	-	2	3	-	2	3	-	-	-
63d	Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných	1	-	-	-	-	-	-	-	1	-	-	-	-
64	Nemoci brzlíku	32	23	2	7	-	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)	12	-	-	-	-	1	1	2	6	2	-	-	-
65b	Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek	1	-	-	-	-	-	-	1	-	-	-	-	-
66a	Jiné nemoci celkové: měknutí kostí	2	-	-	-	-	-	-	-	1	-	1	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	5	3	1	-	-	-	-	-	-	1	-	-	-
67	Kurděje	1	1	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-	-
70	Křivice	38	34	3	1	-	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-	-
														
IV	Nemoci krve a ústrojů krvetvorných	297	18	7	21	13	16	24	48	63	61	25	1	-
72a	Stavy krvácivé: purpury prvotní	12	1	-	-	2	-	3	3	1	2	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	9	5	-	2	-	-	1	-	1	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	85	1	-	-	-	-	5	12	18	34	15	-	-
73b	Chudokrevnost: jiná anaemie	33	6	-	1	1	3	1	2	5	10	3	1	-
74a	Leukaemie a aleukaemie: bělokrevnost pravá	127	3	7	15	9	12	9	21	32	12	7	-	-
74b	Leukaemie a aleukaemie: aleukaemie	11	-	-	2	1	1	-	7	-	-	-	-	-
75	Nemoci sleziny	4	-	-	-	-	-	-	-	3	1	-	-	-
76a	Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy	9	1	-	-	-	-	3	1	2	2	-	-	-
76b	Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných	7	1	-	1	-	-	2	2	1	-	-	-	-
														
V	Otravy vleklé	6	-	-	-	-	-	1	2	3	-	-	-	-
77a	Alkoholismus prudký	2	-	-	-	-	-	1	1	-	-	-	-	-
77b	Alkoholismus vleklý a bez bližšího označení	4	-	-	-	-	-	-	1	3	-	-	-	-
78a	Otrava olovem: označená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznačená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinými látkami neústrojnými a ústrojnými	-	-	-	-	-	-	-	-	-	-	-	-	-
														
DU		78	0	0	0	6	5	11	19	13	13	10	0	1
														
VI	Nemoci soustavy nervové a smyslových ústrojů	4603	456	62	42	57	55	131	351	706	1382	1143	215	3
80a	Zánět mozku (nikoli epidemický): hlíza mozková	14	2	1	-	3	-	6	1	1	-	-	-	-
80b	Zánět mozku (nikoli epidemický): jiné formy	56	16	11	3	1	3	5	3	7	5	2	-	-
81	Zánět plen mozkových prostý	167	65	22	21	13	3	11	10	8	8	4	1	1
82	Nemoci míchy	69	-	2	-	3	6	7	13	8	25	5	-	-
83a	Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové	3161	-	1	-	7	9	45	216	558	1163	980	181	1
83b	Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková	83	-	1	-	-	1	5	18	16	21	16	5	-
83c	Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku	81	-	-	-	2	1	1	1	14	31	25	6	-
83d	Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené	193	-	-	3	3	1	6	15	27	69	54	15	-
84a	Duševní nemoci a vady: slabomyslnost	16	-	-	-	4	-	3	3	1	2	2	-	1
84b	Duševní nemoci a vady: schoizophrenie	18	-	-	-	1	2	4	7	1	3	-	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	2	-	-	-	-	-	-	-	-	2	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	36	-	-	-	1	3	3	7	8	6	8	-	-
85	Padoucnice	72	1	2	8	8	12	9	14	11	2	3	2	-
86	Křeče u dětí do 5 let	308	294	14	-	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	-	-	-	1	-	-
87b	Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického	12	-	-	-	1	-	2	4	3	-	2	-	-
87c	Jiné nemoci soustavy nervové: obrna třesavá	17	-	-	1	-	-	1	2	3	7	2	1	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	176	-	-	-	5	13	20	35	32	33	34	4	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	23	-	2	3	4	-	1	-	7	3	3	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní	97	78	6	3	1	-	2	2	1	2	2	-	-
89b	Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha	1	-	-	-	-	1	-	-	-	-	-	-	-
														
VII	Nemoci ústrojí oběhu krevního	14672	32	22	55	98	157	419	897	1991	4671	4998	1332	-
90a	Zánět osrdečníku: rheumatický zánět osrdečníku vleklý	1	-	-	-	-	1	-	-	-	-	-	-	-
90b	Zánět osrdečníku: jiné nemoci osrdečníku	8	-	1	-	-	1	1	1	1	3	-	-	-
91	Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický)	19	2	5	5	4	1	-	2	-	-	-	-	-
92a	Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické	1245	-	2	11	36	66	121	201	224	351	201	32	-
92b	Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické	108	-	1	1	4	11	16	18	19	24	11	3	-
93a	Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický)	54	1	1	4	1	-	3	4	8	17	12	3	-
93b	Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický	194	-	-	1	-	3	3	16	28	77	57	9	-
93c	Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický	7811	6	1	5	21	24	96	330	987	2620	2943	778	-
93d	Nemoci svalu srdečního: zánět svalu srdečního nerozlišený	1214	2	6	1	5	9	40	56	131	386	456	122	-
94a	Nemoci tepen věnčitých	65	-	-	-	-	-	2	8	12	26	16	1	-
94b	Angina srdeční	163	-	-	-	-	1	2	20	38	71	26	5	-
95a	Jiné nemoci srdce: označené jako rheumatické	80	-	-	2	5	2	7	10	23	20	11	-	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1994	11	5	24	20	30	105	191	372	671	471	94	-
96	Výduť, vyjma výduť srdeční a aneurysma aorty	7	-	-	-	-	-	2	2	-	3	-	-	-
97	Zkornatění tepen	1435	-	-	-	-	-	4	19	93	336	715	268	-
98	Sněť	85	1	-	-	-	2	1	-	15	16	40	10	-
99	Jiné nemoci tepen	57	-	-	1	-	4	7	6	9	17	10	3	-
100a	Nemoci žil: městky	31	-	-	-	-	-	-	-	4	10	15	2	-
100b	Nemoci žil: jiné nemoci žil	73	-	-	-	1	2	8	11	23	17	10	1	-
101	Nemoci soustavy mízní	14	9	-	-	-	-	-	-	1	3	1	-	-
102	Essentielní zvýšení tlaku krevního	12	-	-	-	-	-	1	2	3	3	2	1	-
103	Jiné nemoci ústrojí oběhu krevního	2	-	-	-	1	-	-	-	-	-	1	-	-
														
VIII	Nemoci ústrojů dýchacích	4730	1811	143	21	33	61	90	163	369	806	993	240	-
104	Nemoci dutiny nosní a přídatných útvarů	2	2	-	-	-	-	-	-	-	-	-	-	-
105	Nemoci hrtanu	7	2	3	-	-	-	-	-	1	1	-	-	-
106a	Zánět průdušek: prudký	73	48	2	-	-	-	1	-	1	4	15	2	-
106b	Zánět průdušek: vleklý	147	5	-	-	1	-	-	6	10	44	68	13	-
106c	Zánět průdušek: blíže neoznačený	191	88	8	3	-	3	2	4	4	26	41	12	-
107	Lalůčkový zánět plic (bronchopneumonie)	2423	1291	96	10	15	23	33	50	128	281	394	102	-
108	Lalokový zánět plic	549	104	13	4	5	9	20	28	83	155	108	20	-
109	Zánět plic blíže neoznačený	670	248	17	1	4	11	9	23	42	121	150	44	-
110a	Zánět pohrudnice: empyema thoracis	41	10	-	1	3	1	1	6	6	9	3	1	-
110b	Zánět pohrudnice: jiné formy zánětu pohrudnice	104	9	3	-	2	4	5	9	19	31	16	6	-
111a	Infarkt s krvácením, embolie a trombosa plic	101	-	-	-	3	5	13	19	30	20	10	1	-
111b	Hypostatický zánět a oedem plic	43	-	-	1	-	3	1	3	3	4	20	8	-
112	Záducha (asthma)	107	-	1	-	-	1	2	6	15	31	47	4	-
113	Rozedma plic	246	-	-	1	-	-	-	7	22	73	116	27	-
114a	Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání	2	-	-	-	-	-	-	-	-	1	1	-	-
114b	Jiné nemoci ústrojí dýchacího: sněť a hlíza plic	22	4	-	-	-	1	2	2	5	4	4	-	-
114c	Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání	2	-	-	-	-	-	1	-	-	1	-	-	-
														
IX	Nemoci ústrojí zažívacího	2797	1265	68	45	64	54	121	256	303	361	227	33	-
115a	Nemoci mandlí a hltanu	44	24	4	2	2	2	-	3	3	2	2	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojů	8	1	-	-	-	-	-	-	1	3	3	-	-
116	Nemoci jícnu	4	-	-	-	1	-	-	1	1	-	1	-	-
117a	Vřed žaludeční	86	-	-	1	1	2	8	14	29	21	9	1	-
117b	Vřed dvanáctníkový	16	-	-	-	1	-	1	5	3	4	1	1	-
118	Jiné nemoci žaludku	26	-	-	-	1	-	1	1	4	10	6	3	-
119	Průjem a katar střevní u dětí do 2 let	1260	1219	41	-	-	-	-	-	-	-	-	-	-
120a	Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní	73	-	6	6	3	4	-	11	6	11	18	8	-
120b	Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku)	11	-	-	-	1	-	3	2	1	3	1	-	-
121	Zánět červíkovitého přívěsku	160	-	7	24	18	10	17	16	25	28	14	1	-
122a	Kýla	140	-	1	1	-	2	5	15	29	47	36	4	-
122b	Neprůchodnost střevní	200	10	5	2	5	4	19	30	30	47	44	4	-
123	Ostatní nemoci střevní	12	-	-	-	1	1	-	2	4	2	1	1	-
124a	Svraštění jater: alkoholické	1	-	-	-	-	-	1	-	-	-	-	-	-
124b	Svraštění jater: neoznačené za alkoholické	228	-	-	1	6	6	17	39	54	71	32	2	-
125a	Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního)	85	-	-	2	8	5	7	21	18	14	7	3	-
125b	Jiné nemoci jater: ostatní nemoci jater	42	1	-	-	2	1	1	7	7	17	6	-	-
126	Kaménky žlučové	142	-	-	-	-	6	15	32	40	32	16	1	-
127	Jiné nemoci žlučníku a žlučovodů	104	-	-	-	-	1	9	20	21	29	21	3	-
128	Nemoci slinivky břišní	40	1	-	-	3	-	2	14	14	5	1	-	-
129	Zánět pobřišnice bez udání příčiny	115	9	4	6	11	10	15	23	13	15	8	1	-
														
X	Nemoci ústrojí močového a pohlavního	1017	7	9	8	30	36	114	158	217	276	141	21	-
130	Prudký zánět ledvin	22	-	3	-	3	1	1	4	5	2	3	-	-
131	Vleklý zánět ledvin	754	-	1	6	11	17	84	116	179	218	105	17	-
132	Zánět ledvin nerozlišený	61	3	2	-	3	3	6	10	11	16	6	1	-
133a	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis	49	2	2	-	4	1	2	7	5	17	8	1	-
133b	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí	13	-	1	1	2	2	-	2	2	1	1	1	-
134	Kaménky cest močových	27	-	-	1	-	1	-	6	6	10	3	-	-
135a	Zánět měchýře močového	8	1	-	-	1	-	1	-	-	3	2	-	-
135b	Jiné nemoci močového měchýře a poruchy močení	2	-	-	-	-	-	-	1	-	-	1	-	-
136	Nemoci roury močové	9	1	-	-	-	-	1	2	-	1	3	1	-
137a	Nezhoubné nádory žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnění žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojů mužských neoznačené za venerické	x	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria	45	-	-	-	5	9	16	7	5	2	1	-	-
139b	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy	24	-	-	-	-	2	3	3	4	6	6	-	-
139c	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů	2	-	-	-	-	-	-	-	-	-	2	-	-
139d	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních	1	-	-	-	1	-	-	-	-	-	-	-	-
														
XI	Nemoci těhotenství, porodu a stavu poporodního	305	-	-	1	71	116	115	2	-	-	-	-	-
140	Potrat se sepsí	35	-	-	-	7	16	12	-	-	-	-	-	-
141	Potrat bez zmínky o sepsi	6	-	-	-	1	1	4	-	-	-	-	-	-
142	Těhotenství mimoděložní	27	-	-	-	4	8	15	-	-	-	-	-	-
143a	Krvácení v těhotenství: lůžko vcestné	-	-	-	-	-	-	-	-	-	-	-	-	-
143b	Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu)	1	-	-	-	-	-	1	-	-	-	-	-	-
143c	Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství	1	-	-	-	1	-	-	-	-	-	-	-	-
144a	Otrava krve v těhotenství: křeče v těhotenství	16	-	-	1	6	3	5	1	-	-	-	-	-
144b	Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství	10	-	-	-	2	4	4	-	-	-	-	-	-
144c	Otrava krve v těhotenství: jiné toxikosy	1	-	-	-	-	1	-	-	-	-	-	-	-
145	Jiné nemoci a příhody těhotenství	7	-	-	-	2	3	2	-	-	-	-	-	-
146a	Krvácení při porodu a poporodní: lůžko vcestné při porodu	19	-	-	-	-	9	10	-	-	-	-	-	-
146b	Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu	-	-	-	-	-	-	-	-	-	-	-	-	-
146c	Krvácení při porodu a poporodní: jiné krvácení při porodu	4	-	-	-	-	2	2	-	-	-	-	-	-
146d	Krvácení při porodu a poporodní: krvácení po porodu	30	-	-	-	12	10	8	-	-	-	-	-	-
147a	Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	42	-	-	-	13	16	13	-	-	-	-	-	-
147b	Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis	2	-	-	-	1	-	1	-	-	-	-	-	-
147c	Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální	25	-	-	-	4	10	11	-	-	-	-	-	-
