1922	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	598	2	-	-	-	2	5	14	189	371	15	-
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kùe	71	-	-	-	-	-	1	1	17	41	11	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	1107	2	3	6	8	9	28	49	363	595	44	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	22	2	3	2	-	-	1	-	6	7	1	-
51	Prudkı horeèatı hostec kloubní	13	2	-	2	4	-	2	-	1	1	1	-
52	Vleklı hostec, dna	141	-	1	7	4	14	11	6	37	59	2	-
53	Kurdìje	6	-	1	1	-	-	1	-	2	1	-	-
56	Køivice	245	146	96	3	-	-	-	-	-	-	-	-
57	Cukrovka	316	-	1	2	10	8	20	25	107	138	5	-
58a	Nedokrevnost zhoubná	90	7	5	1	-	2	6	7	46	16	-	-
58b	Jiné nedokrevnosti a blednièka	21	4	5	1	-	-	1	1	6	2	1	-
59	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	25	-	-	-	-	2	5	2	14	2	-	-
60b	Jiná onemocnìní štítné lázy	-	-	-	-	-	-	-	-	-	-	-	-
61	Nemoci lázek pøištítnıch	13	13	-	-	-	-	-	-	-	-	-	-
62	Nemoci brzlíku	13	10	2	1	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	6	-	-	-	-	-	1	-	4	1	-	-
64	Nemoci sleziny	-	-	-	-	-	-	-	-	-	-	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	61	3	3	4	2	4	8	10	14	12	1	-
66	Alkoholismus	193	-	-	-	-	2	8	18	109	55	1	-
67	Vleklé otravy nerostnımi látkami	2	-	-	-	-	1	-	-	1	-	-	-
68	Vleklé otravy ústrojnımi látkami	2	-	-	-	-	-	-	-	2	-	-	-
69	Ostatní celkové nemoci	12	2	-	1	1	1	1	1	3	2	-	-
													
IV	Choroby systému nervového a smyslovıch orgánù	9679	3921	538	176	144	137	289	389	1571	2265	246	3
70	Zánìt mozku	221	26	29	16	10	15	26	24	53	22	-	-
71	Zánìt mozkovıch blan	1112	315	259	125	88	62	76	64	81	42	-	-
72	Úbytì míchy	156	-	-	-	-	4	5	7	81	59	-	-
73	Jiné choroby míchy	210	7	-	1	7	9	23	28	78	56	1	-
74a	Vılev krevní do mozku	2986	-	-	-	-	2	33	85	813	1821	230	2
74b	Záha il mozkovıch	40	9	1	2	2	2	1	2	11	9	1	-
75a	Jednostranná obrna tìla	43	-	-	-	-	-	1	-	17	23	2	-
75b	Paralysis progressiva	177	-	-	-	-	-	3	33	110	30	1	-
75c	Jiné obrny	47	-	2	-	-	1	5	8	16	15	-	-
76	Ochrnutí spojené s duševní chorobou	-	-	-	-	-	-	-	-	-	-	-	-
77	Jiné duševní choroby	37	-	-	4	-	2	5	3	21	2	-	-
78	Padoucnice	222	6	8	11	19	13	60	41	39	24	1	-
79	Boec nepuerperální	6	-	-	3	-	-	-	-	1	2	-	-
80	Køeèe u dìtí	3743	3527	216	-	-	-	-	-	-	-	-	-
81	Posunèina	6	-	-	-	3	1	-	-	-	2	-	-
82b	Zánìt nervù	13	1	-	1	-	-	-	-	5	5	1	-
83	Zmìknutí mozku	123	-	-	1	-	-	5	5	29	78	5	-
84	Ostatní choroby systému nervového	489	18	19	10	11	20	40	85	208	73	4	1
86	Choroby ucha nebo dutin mastoideu	48	12	4	2	4	6	6	4	8	2	-	-
													
V	Choroby obìhu krevního	7420	113	37	59	97	133	312	392	2011	3867	397	2
87	Zánìt osrdce	25	1	1	2	3	2	1	4	4	7	-	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1210	5	3	8	12	22	46	39	304	692	78	1
89	Srdeèní angina	27	-	-	-	-	-	-	1	13	12	1	-
90	Jiné nemoci srdce	4082	99	28	48	82	104	255	328	1347	1670	120	1
91a	Vıdu	102	-	-	-	-	1	1	4	53	41	2	-
91b	Zkornatìní a jiné choroby tepen	1880	-	-	-	-	-	3	7	259	1417	194	-
92	Záha (nikoliv mozkovı)	37	1	1	-	-	1	4	1	17	11	1	-
93	Choroby il	16	1	-	-	-	1	1	1	4	7	1	-
94	Choroby systému mízního	15	5	3	1	-	1	-	2	2	1	-	-
95	Ostatní choroby obìhu krevního	26	1	1	-	-	1	1	5	8	9	-	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	12492	4380	1167	121	81	122	244	265	1730	4006	374	2
97	Choroby dutin nosních a jejich adnex	1	1	-	-	-	-	-	-	-	-	-	-
98	Choroby hrtanu	33	18	7	2	-	-	-	1	1	4	-	-
99a	Zánìt prùdušek prudkı	1744	1478	197	3	-	2	4	1	11	44	4	-
99b	Zánìt prùdušek vleklı	265	41	27	-	2	3	5	4	40	132	11	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	119	48	71	-	-	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	312	-	-	7	5	3	4	6	62	196	29	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1286	715	177	14	6	8	14	17	80	226	29	-
101a	Zánìt plic lalokovı	337	62	30	4	3	5	20	19	73	112	9	-
101b	Zánìt plic bez blišího oznaèení	5416	1944	615	76	46	81	121	143	819	1433	137	1
102	Zánìt pohrudnice	466	36	25	12	12	15	48	30	128	149	11	-
103	Pøekrvení nebo krvácení parenchymatosní plic	190	17	9	3	2	-	6	13	43	81	16	-
104	Snì plicní	58	1	-	-	2	2	4	4	22	21	2	-
105	Záducha	405	-	-	-	-	-	3	2	96	273	31	-
106	Rozedma plic	1731	4	3	-	1	1	5	20	327	1275	94	1
107	Ostatní choroby ústrojí dıchacího	129	15	6	-	2	2	10	5	28	60	1	-
													
VII	Choroby ústrojí zaívacího	7663	5118	385	79	69	79	169	196	742	757	67	2
108b	Choroby ústní dutiny a jejich adnex	4	1	1	1	-	-	-	-	1	-	-	-
109	Choroby hltanu nebo mandlí	74	40	4	4	3	3	7	3	5	5	-	-
110	Choroby jícnu	9	-	1	-	-	-	-	-	2	5	1	-
111a	Vøed aludeèní	309	8	-	2	1	5	24	40	159	69	1	-
111b	Vøed dvanácterníku	27	2	-	-	-	1	3	7	11	3	-	-
112	Jiné choroby aludeèní	63	3	-	1	-	-	4	3	19	31	2	-
113	Prùjem a zánìt støev (pod 2 roky)	5258	4993	265	-	-	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	332	-	66	19	10	10	14	14	57	122	20	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	159	1	4	10	16	17	35	24	38	12	1	1
118a	Kıla 	181	13	5	1	1	3	6	5	37	87	23	-
118b	Záha støevní	238	15	4	5	4	11	6	9	61	111	12	-
119b	Jiné choroby støev	41	6	3	1	-	1	2	1	11	15	1	-
120	Prudká atrofie jater	8	-	-	-	1	-	-	1	3	3	-	-
121	Hydativní nádor jater	2	-	-	-	-	1	-	-	-	1	-	-
122a	Svraštìní jater alkoholické	5	-	-	-	-	1	1	-	2	1	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	236	-	2	1	1	-	3	15	105	108	1	-
123	luèové kaménky	33	-	-	-	-	-	1	2	17	11	1	1
124	Jiné choroby jater	198	9	5	5	2	2	9	10	79	76	1	-
125	Choroby mikteru	9	-	-	-	-	-	-	-	9	-	-	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	477	27	25	29	30	24	54	62	126	97	3	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	2060	44	44	27	44	41	126	174	630	855	74	1
128	Prudkı zánìt ledvin	133	25	25	16	14	6	11	10	18	8	-	-
129	Vleklı zánìt ledvin	1415	14	19	10	28	33	108	155	536	496	15	1
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	92	2	-	1	2	1	4	6	30	39	7	-
132	Moèové kaménky	10	-	-	-	-	-	-	2	2	6	-	-
133	Choroby mìchıøe	178	2	-	-	-	-	1	-	20	135	20	-
134	Choroby moèové roury	41	1	-	-	-	1	1	1	8	24	5	-
135	Choroby lázy pøedstojné	191	-	-	-	-	-	1	-	16	147	27	-
136	Nevenerické choroby muskıch pohlavních orgánù	-	-	-	-	-	-	-	-	-	-	-	-
137	Boubel a jiné nezhoubné nádory vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
138	Zánìt vejcovodu nebo vøed v pánvi	x	x	x	x	x	x	x	x	x	x	x	x
139	Nádory dìloní	x	x	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x	x	x
143b	Mimodìloní tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody tìhotenské	x	x	x	x	x	x	x	x	x	x	x	x
144	Krvácení tìhotnıch a v šestinedìlí	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146	Horeèka omladnic	x	x	x	x	x	x	x	x	x	x	x	x
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148	Albuminurie nebo boec v šestinedìlí	x	x	x	x	x	x	x	x	x	x	x	x
149	Následky porodu (bez blišího oznaèení)	x	x	x	x	x	x	x	x	x	x	x	x
150	Puerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
X	Choroby kùe a vaziva	618	408	16	4	5	4	10	11	37	106	17	-
151	Snì	107	1	-	-	1	-	2	4	11	71	17	-
152	Neit	190	165	3	-	-	1	1	-	7	13	-	-
153	Zánìt podkoního vaziva, horeènatı vøed	212	145	10	4	4	1	5	6	16	21	-	-
155	Ostatní choroby kùe neb jejich adnex	109	97	3	-	-	2	2	1	3	1	-	-
													
XI	Choroby kostí a ústrojí pohybového	123	8	11	16	15	17	13	9	19	14	1	-
156	Choroby kostí	103	6	11	14	11	15	13	8	14	11	-	-
157	Choroby kloubù	13	2	-	2	4	2	-	-	-	2	1	-
158	Ostatní choroby kostí nebo ústrojí pohybového	7	-	-	-	-	-	-	1	5	1	-	-
													
XII	Zrùdnost vrozená	127	127	-	-	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	127	127	-	-	-	-	-	-	-	-	-	-
													
XIII	Ranı vìk	6313	6313	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	4613	4613	-	-	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1688	1688	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	12	12	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péèe	-	-	-	-	-	-	-	-	-	-	-	-
													
XIV		9745	2	0	1	1	2	1	1	22	5798	3916	1
164	Stáøí	9729	-	-	-	-	-	-	-	16	5796	3916	1
													
XV	Zevní pøíèiny 	4183	42	182	65	136	393	879	506	1136	750	81	13
SE		2169	0	0	0	17	203	549	255	630	457	52	6
165	Sebevrada otravou jedy	97	-	-	-	-	10	29	13	31	13	-	1
166	Sebevrada otravou poitím íravin	1	-	-	-	-	-	-	1	-	-	-	-
167	Sebevrada vdechováním jedovatıch plynù	5	-	-	-	-	-	2	1	-	2	-	-
168	Sebevrada obìšením neb uškrcením	1171	-	-	-	14	78	164	141	390	340	43	1
169	Sebevrada utopením	141	-	-	-	-	10	31	15	43	35	4	3
170	Sebevrada zastøelením	557	-	-	-	2	77	264	64	113	35	1	1
171	Sebevrada nástroji øeznımi neb bodnımi	36	-	-	-	-	-	7	6	13	9	1	-
172	Sebevrada skokem s vıše	7	-	-	-	-	-	3	-	3	-	1	-
173	Sebevrada rozdrcením	92	-	-	-	1	25	27	7	19	11	2	-
174	Sebevrada jinım zpùsobem	62	-	-	-	-	3	22	7	18	12	-	-
175	Otrava potravinami	16	4	1	2	-	-	3	-	4	2	-	-
176	Uštknutí neb štípnutí	-	-	-	-	-	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	28	1	6	2	4	-	3	2	8	2	-	-
178	Úraz pøi poáru	5	-	-	-	-	-	-	-	1	3	1	-
179	Náhodné popálení (vyjma pøi poáru)	121	11	71	1	1	2	5	11	12	3	3	1
180	Náhodné mechanické udušení (vyjma pøi poáru)	46	5	5	4	5	3	5	5	13	-	1	-
181	Vdechování plynù nedıchatelnıch neb jedovatıch	34	-	2	1	1	5	3	4	15	2	1	-
182	Náhodné utopení	370	7	64	34	44	48	55	30	48	37	2	1
183	Poranìní støelnou zbraní	98	-	1	-	14	21	28	14	17	3	-	-
184	Poranìní nástroji øeznımi neb bodnımi	15	-	1	-	3	1	4	4	1	1	-	-
185	Poranìní pádem	100	-	1	1	5	9	10	13	33	27	1	-
186	Poranìní v dolech neb lomech	27	-	-	-	-	2	7	7	11	-	-	-
187	Poranìní stroji	7	-	-	-	-	2	1	3	1	-	-	-
188	Poranìním pohmodìním jiného druhu	852	4	22	15	34	74	157	116	240	165	20	5
189	Poranìní zpùsobená zvíøaty	22	-	1	1	-	2	1	1	14	2	-	-
190	Zranìní váleèná	-	-	-	-	-	-	-	-	-	-	-	-
192b	Hlad nebo ízeò	3	-	1	-	-	-	-	-	1	1	-	-
193	Pøílišnı chlad	72	-	1	-	1	-	5	9	35	21	-	-
194	Pøílišnı ár	3	-	2	-	-	-	-	-	1	-	-	-
195	Blesk	45	-	1	2	5	5	7	8	12	5	-	-
196	Jiné úrazy elektrickım proudem	34	-	-	1	1	5	14	5	7	1	-	-
NA		104	10	2	0	1	10	20	17	30	14	0	0
197	Zabití støelnou zbraní	45	-	-	-	-	4	10	9	16	6	-	-
198	Zabití nástroji øeznımi neb bodnımi	22	1	1	-	-	3	7	4	5	1	-	-
199	Zabití jinımi prostøedky	37	9	1	-	1	3	3	4	9	7	-	-
201c	Zlomeniny (bez blišího oznaèení)	12	-	-	1	-	1	2	2	2	4	-	-
202a	Ostatní násilná zevní poranìní	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé pøíèiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XVI	Nemoci špatnì definované	1332	148	71	20	12	16	42	48	303	629	40	3
204	Náhlé úmrtí	1	-	-	-	-	-	-	-	-	1	-	-
205	Nemoci nespecifikované nebo špatnì definované	1331	148	71	20	12	16	42	48	303	628	40	3
