1949	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
E819	Dopravní úraz motorovými vozidly pøi srážce s pøedmìty pevnými nebo blíže neurèenými	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E820	Dopravní úraz motorovými vozidly bìhem sestupování a nastupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E821	Dopravní úraz motorovými vozidly zpùsobený øidièi motocyklu, nejde-li o srážku	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E822	Dopravní úraz motorovými vozidly pøi pøevrhnutí na silnici	2	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-
E823	Dopravní úraz motorovými vozidly pøi vyboèení ze silnice	3	-	-	-	-	-	-	1	1	1	-	-	-	-	-	-
E824	Jiný dopravní úraz motorovými vozidly bez srážky	14	-	-	-	-	-	-	5	-	3	4	-	1	1	-	-
E825	Dopravní úraz motorovými vozidly neurèené povahy	49	-	1	1	1	1	3	11	9	6	6	4	3	3	-	-
																	
D3	Úrazy motorovými vozidly nedopravní	3	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-
E830	Nedopravní úraz motorovými vozidly  zpùsobený chodcùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E831	Nedopravní úraz motorovými vozidly  zpùsobený cyklistùm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E832	Nedopravní úraz motorovými vozidly  zpùsobený øidièùm nebo spolujezdcùm na motocyklech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E833	Jiný nedopravní úraz motorovými vozidly, jde-li o dvì motorová vozidla nebo nìkolik vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz motorovými vozidly  pøi nastupování a sestupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz motorovými vozidly  jiné nebo neurèené povahy	3	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-
E836	Úraz motorovými vozidly nedopravní zpùsobený	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	26	-	-	1	3	-	2	7	1	1	3	3	1	4	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	6	-	-	-	1	-	-	3	-	-	-	-	-	2	-	-
E841	Ostatní druhy úrazu vozy poulièní dopravy , vyjma srážku s motorovým vozidlem 	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E843	Úraz zpùsobený cyklistùm, ne však pøi srážce  s motorovým  vozidlem 	5	-	-	-	-	-	-	2	1	1	-	1	-	-	-	-
E844	Úraz zpùsobený chodcùm jinými nemotorovými silnièními vozidly 	7	-	-	1	-	-	1	1	-	-	2	-	-	2	-	-
E845	Jiný druh úrazu nemotorovými silnièními vozidly 	5	-	-	-	2	-	1	-	-	-	1	-	1	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících na malých èlunech zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní druhy úrazu pøi vodní dopravì zpùsobený potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný oznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenské letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E861	Poranìní zpùsobené cestujícím pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní zpùsobené cestujícím pøi nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz zpùsobený jinde než na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	25	-	2	2	1	-	2	2	2	2	3	4	3	2	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	2	-	-	1	-	-	-	1	-	-	-	-	-	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E878	Náhodná otrava jinými a neurèenými léèivy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	4	-	-	-	1	-	1	-	-	-	1	-	1	-	-	-
E880	Náhodná otrava alkoholem	3	-	-	-	-	-	1	-	-	-	-	1	-	1	-	-
E881	Náhodná otrava naftovými produkty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	2	-	1	-	-	-	-	-	-	-	-	-	-	1	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	10	-	1	-	-	-	-	-	2	1	2	2	2	-	-	-
																	
	Náhodné otravy plynem a parami	42	-	1	-	-	1	-	6	5	8	3	9	4	3	2	-
E890	Náhodná otrava svítiplynem	19	-	-	-	-	1	-	3	3	1	2	5	3	1	-	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	23	-	1	-	-	-	-	3	2	7	1	4	1	2	2	-
E893	Náhodná otrava kyanovodíkem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny a parami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E895	Náhodná otrava neurèenými plyny a parami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné pády	77	3	-	-	-	-	1	-	1	5	10	16	20	15	6	-
E900	Pád na schodech 	4	-	-	-	-	-	-	-	-	-	-	-	1	2	1	-
E901	Pád se žebøíku 	6	-	-	-	-	-	-	-	1	-	2	1	2	-	-	-
E902	Jiný pád do hloubky	34	-	-	-	-	-	-	-	-	4	7	9	7	4	3	-
E903	Pád na rovinì	20	1	-	-	-	-	-	-	-	-	-	3	7	8	1	-
E904	Neurèený pád 	13	2	-	-	-	-	1	-	-	1	1	3	3	1	1	-
																	
	Jiné náhodné úrazy	484	18	50	34	18	13	39	29	29	34	48	49	52	53	18	-
E910	Náhodný úraz zpùsobený padajícími pøedmìty	8	-	-	2	1	-	-	1	-	-	1	-	1	2	-	-
E911	Náhodný úraz zpùsobený vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	6	-	-	-	-	-	-	-	1	-	2	-	3	-	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	15	-	1	1	-	-	1	2	3	2	5	-	-	-	-	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	52	1	3	2	2	1	2	2	4	6	3	3	11	7	5	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	42	4	14	10	4	1	4	-	-	-	1	1	1	1	1	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	11	-	-	-	1	1	3	-	1	2	-	2	1	-	-	-
E920	Cizí tìleso vniklé do oka a jeho adnexù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E921	Vdechnutí nebo vniknutí potravy do hrtanu a jiných cest dýchacích pùsobící ucpání nebo udušení	4	3	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E922	Vdechnutí nebo vniknutí jiných pøedmìtù do hrtanu pùsobící ucpání nebo udušení	4	1	-	-	-	-	-	-	-	-	-	1	2	-	-	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	3	2	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	17	4	3	2	1	1	2	-	1	-	1	2	-	-	-	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Náhodný úraz zpùsobený kousnutím nebo uštknutím  jedovatými  živoèichy a hmyzem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	7	-	1	-	-	-	-	-	2	1	1	1	-	1	-	-
E929	Náhodné tonutí	99	2	27	13	5	5	14	7	2	5	2	6	6	5	-	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E932	Nadmìrný chlad	3	-	-	-	-	-	-	-	-	-	-	1	-	2	-	-
E933	Hlad, žízeò a  jiné strádání 	2	-	-	-	-	-	-	1	-	-	1	-	-	-	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	8	-	-	-	1	-	1	1	-	2	1	1	1	-	-	-
E936	Jiný a neurèený náhodný úraz	198	1	-	4	3	4	12	14	15	15	27	30	26	35	12	-
E937	Úraz v dolech, v lomech	4	-	-	-	-	-	-	-	-	1	2	1	-	-	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku (encephalitis) povakcinaèní	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování po neštovicích	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Žloutenka a hepatitis po profylaktické injekci sera a podobné imunisaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii v pøípadech neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace zpùsobené neléèebnými lékaøskými zákroky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E954	Léèebná nehoda pøi anestesii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E956	Pozdní komplikace chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E959	Pozdní komplikace jiných druhù léèení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Pozdní následky otrav a úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následky úrazù zpùsobených úmyslnì jinou osobou (ne ve válce)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následky úrazù vzniklých váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	666	-	-	-	-	-	1	73	75	132	152	118	71	36	8	-
E970	Sebevražda a sebepoškození otravou analgetiky a uspávacími prostøedky	27	-	-	-	-	-	-	9	6	5	4	2	1	-	-	-
E971	Sebevražda a sebepoškození otravou jinými pevnými látkami a tekutinami	41	-	-	-	-	-	-	8	9	4	12	6	2	-	-	-
E972	Sebevražda a sebepoškození otravou plyny v domácím používání	83	-	-	-	-	-	-	11	9	24	21	10	6	1	1	-
E973	Sebevražda a sebepoškození otravou jinými plyny	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	313	-	-	-	-	-	1	16	28	66	74	61	42	20	5	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	79	-	-	-	-	-	-	4	6	14	16	17	16	6	-	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	23	-	-	-	-	-	-	9	6	5	2	-	-	-	1	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	17	-	-	-	-	-	-	-	-	2	9	4	1	1	-	-
E978	Sebevražda a sebepoškození  skokem s vysokého místa	33	-	-	-	-	-	-	4	2	6	6	6	3	5	1	-
E979	Sebevražda a sebepoškození  jinými a blíže neurèenými prostøedky 	50	-	-	-	-	-	-	12	9	6	8	12	-	3	-	-
E97a	Sebevražda vlakem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
NA	Usmrcení nebo poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	72	4	2	2	4	-	6	8	14	11	9	5	3	4	-	-
E980	Úmyslné otrávení	3	1	-	-	1	-	1	-	-	-	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	26	-	-	1	-	-	1	5	7	6	3	1	1	1	-	-
E982	Napadení  nástroji øeznými a bodnými	10	-	-	1	-	-	-	-	4	1	2	1	-	1	-	-
E983	Napadení  jinými prostøedky	32	3	2	-	3	-	4	3	3	4	4	2	2	2	-	-
E984	Zranìní zpùsobená zákrokem policie	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E985	Poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
