1943	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	60	1	4	38	7	4	2	3	1	-	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	13	-	1	1	2	2	-	1	1	4	1	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	57	-	1	-	1	2	1	4	6	20	22	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	328	1	1	8	6	10	8	44	100	113	37	-
62	Nemoci podvìsku mozkového	1	-	-	-	-	-	-	-	1	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	4	-	-	-	1	1	-	1	1	-	-	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	23	-	-	-	3	1	3	7	3	5	1	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	9	-	1	2	1	1	-	2	1	1	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	40	32	5	3	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	7	-	-	-	1	1	4	1	-	-	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	2	1	-	-	-	-	1	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	20	2	6	8	1	-	2	1	-	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	31	18	11	2	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	195	4	4	9	15	14	25	32	44	41	7	-
72a	Stavy krvácivé: purpury prvotní	5	-	-	-	1	-	-	-	-	3	1	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	4	2	-	1	1	-	-	-	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	44	-	1	-	-	-	1	7	12	18	5	-
73b	Chudokrevnost: jiná anaemie	11	-	-	-	1	-	1	4	1	4	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	114	1	3	7	9	13	21	15	29	15	1	-
74b	Leukaemie a aleukaemie: aleukaemie	6	1	-	-	1	-	2	2	-	-	-	-
75	Nemoci sleziny	3	-	-	-	1	1	-	1	-	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	5	-	-	-	-	-	-	3	1	1	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	3	-	-	1	1	-	-	-	1	-	-	-
													
V	Otravy vleklé	16	-	-	-	2	-	1	2	2	6	3	-
77a	Alkoholismus prudkı	7	-	-	-	2	-	-	1	2	1	1	-
77b	Alkoholismus vleklı a bez blišího oznaèení	9	-	-	-	-	-	1	1	-	5	2	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	-	-	-	-	-	-	-	-	-	-	-	-
													
DU		86	2	0	6	10	6	12	17	15	14	4	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3623	543	82	82	91	83	166	260	599	892	825	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	16	1	-	1	-	4	4	2	1	3	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	49	8	5	8	3	3	9	4	5	2	2	-
81	Zánìt plen mozkovıch prostı	193	52	32	31	26	8	14	15	6	8	1	-
82	Nemoci míchy	99	1	2	2	8	8	15	15	20	18	10	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2119	-	2	2	5	10	50	151	457	734	708	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	52	-	-	-	-	4	4	4	16	15	9	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	69	-	-	-	-	-	-	3	14	20	32	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	134	-	-	2	-	2	5	9	29	47	40	-
84a	Duševní nemoci a vady: slabomyslnost	17	2	-	5	2	-	2	3	1	2	-	-
84b	Duševní nemoci a vady: schoizophrenie	18	-	-	1	1	1	5	6	2	2	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	-	-	-	-	-	-	-	-	-	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	35	-	-	-	5	5	4	6	10	4	1	-
85	Padoucnice	64	-	1	8	19	11	12	4	4	2	3	-
86	Køeèe u dìtí do 5 let	416	397	19	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	-	-	-	-	-	-	-	-	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	7	-	-	-	-	1	-	2	-	3	1	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	26	-	-	-	-	-	10	3	3	5	5	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	112	-	-	-	4	12	22	18	19	25	12	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	30	1	5	5	2	4	3	5	5	-	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	150	71	14	16	16	8	7	9	7	1	1	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	17	10	2	1	-	2	-	1	-	1	-	-
													
VII	Nemoci ústrojí obìhu krevního	10753	34	32	98	140	145	451	848	1929	3312	3764	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	2	-	-	-	1	-	-	-	1	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	15	1	-	1	4	1	-	3	3	2	-	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	32	1	5	10	9	4	1	1	-	1	-	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	860	-	6	32	45	47	112	131	166	200	121	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	54	-	1	6	12	5	12	2	6	5	5	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	37	3	1	1	3	2	2	5	5	8	7	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	93	-	-	1	-	2	3	11	24	33	19	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	5117	4	2	6	25	33	162	328	890	1713	1954	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1191	4	9	7	9	14	35	72	214	368	459	-
94a	Nemoci tepen vìnèitıch	95	-	-	-	-	-	8	23	29	21	14	-
94b	Angina srdeèní	310	-	-	-	-	1	15	53	104	91	46	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	46	-	-	1	4	2	4	3	10	11	11	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1495	9	7	31	25	25	80	164	301	490	363	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	2	-	-	-	-	1	-	1	-	-	-	-
97	Zkornatìní tepen	1202	-	-	-	-	5	4	33	133	316	711	-
98	Snì	86	6	-	1	1	2	3	4	21	18	30	-
99	Jiné nemoci tepen	40	-	-	1	-	1	6	4	10	13	5	-
100a	Nemoci il: mìstky	29	-	-	-	1	-	2	2	3	9	12	-
100b	Nemoci il: jiné nemoci il	27	2	-	-	1	-	2	6	5	8	3	-
101	Nemoci soustavy mízní	9	4	1	-	-	-	-	-	-	2	2	-
102	Essentielní zvıšení tlaku krevního	10	-	-	-	-	-	-	2	4	3	1	-
103	Jiné nemoci ústrojí obìhu krevního	1	-	-	-	-	-	-	-	-	-	1	-
													
VIII	Nemoci ústrojù dıchacích	7216	2513	342	97	117	118	297	387	798	1330	1217	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	9	4	-	-	2	2	1	-	-	-	-	-
105	Nemoci hrtanu	14	3	7	1	-	-	1	1	1	-	-	-
106a	Zánìt prùdušek: prudkı	141	96	9	1	1	1	-	2	3	7	21	-
106b	Zánìt prùdušek: vleklı	209	4	1	-	1	1	7	15	40	74	66	-
106c	Zánìt prùdušek: blíe neoznaèenı	278	118	12	2	2	1	4	9	20	51	59	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	3118	1737	188	30	23	24	58	69	182	377	430	-
108	Lalokovı zánìt plic	1281	167	53	31	39	42	110	131	245	281	182	-
109	Zánìt plic blíe neoznaèenı	1037	324	50	13	19	21	46	63	101	213	187	-
110a	Zánìt pohrudnice: empyema thoracis	142	27	12	4	12	7	16	16	23	22	3	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	208	18	8	8	13	11	8	13	40	53	36	-
111a	Infarkt s krvácením, embolie a trombosa plic	47	-	-	1	-	1	3	5	13	19	5	-
111b	Hypostatickı zánìt a oedem plic	49	7	-	1	1	2	2	5	1	8	22	-
112	Záducha (asthma)	158	2	1	-	-	-	4	16	32	50	53	-
113	Rozedma plic	398	-	-	-	-	3	8	14	72	153	148	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	15	-	-	1	-	-	6	1	3	4	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	107	5	1	4	4	2	22	26	21	17	5	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	5	1	-	-	-	-	1	1	1	1	-	-
													
IX	Nemoci ústrojí zaívacího	3630	1473	108	77	98	114	269	398	439	414	240	-
115a	Nemoci mandlí a hltanu	71	23	9	6	8	9	5	5	1	5	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	24	3	2	1	2	2	5	1	1	6	1	-
116	Nemoci jícnu	9	1	-	-	-	-	-	1	3	2	2	-
117a	Vøed aludeèní	569	-	-	-	11	27	103	140	154	100	34	-
117b	Vøed dvanáctníkovı	122	-	-	-	4	11	29	35	26	14	3	-
118	Jiné nemoci aludku	35	-	-	1	1	-	6	3	4	7	13	-
119	Prùjem a katar støevní u dìtí do 2 let	1436	1387	49	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	85	-	13	12	1	2	4	8	10	15	20	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	19	-	-	2	2	1	3	2	2	6	1	-
121	Zánìt èervíkovitého pøívìsku	182	2	13	33	29	18	30	22	18	11	6	-
122a	Kıla	162	6	2	1	-	2	5	10	22	44	70	-
122b	Neprùchodnost støevní	200	18	7	5	15	8	15	30	28	46	28	-
123	Ostatní nemoci støevní	10	1	-	-	1	1	-	4	1	1	1	-
124a	Svraštìní jater: alkoholické	3	-	-	-	-	-	-	1	2	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	348	-	-	2	1	5	26	80	102	95	37	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	67	1	5	4	5	6	5	13	11	13	4	-
125b	Jiné nemoci jater: ostatní nemoci jater	41	4	1	-	3	-	7	7	6	9	4	-
126	Kaménky luèové	33	-	-	-	-	-	5	9	10	7	2	-
127	Jiné nemoci luèníku a luèovodù	40	-	-	-	2	2	2	5	11	13	5	-
128	Nemoci slinivky bøišní	15	-	1	-	-	3	2	5	4	-	-	-
129	Zánìt pobøišnice bez udání pøíèiny	159	27	6	10	13	17	17	17	23	20	9	-
													
X	Nemoci ústrojí moèového a pohlavního	1605	15	17	31	32	57	97	173	284	450	448	1
130	Prudkı zánìt ledvin	50	2	8	9	7	5	3	2	8	4	2	-
131	Vleklı zánìt ledvin	759	2	1	11	14	34	68	136	178	207	107	1
132	Zánìt ledvin nerozlišenı	113	3	4	8	8	10	10	13	18	27	12	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	43	5	-	1	-	1	6	2	9	8	11	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	14	-	2	1	1	2	2	1	1	1	3	-
134	Kaménky cest moèovıch	42	-	1	-	1	-	4	8	8	11	9	-
135a	Zánìt mìchıøe moèového	34	1	-	-	-	-	-	1	-	10	22	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	7	-	-	-	-	-	-	-	-	1	6	-
136	Nemoci roury moèové	47	2	1	1	1	2	-	3	5	10	22	-
137a	Nezhoubné nádory lázy pøedstojné	16	-	-	-	-	-	1	-	5	8	2	-
137b	Zbytnìní lázy pøedstojné	458	-	-	-	-	3	2	4	52	156	241	-
137c	Ostatní nemoci lázy pøedstojné	19	-	-	-	-	-	1	3	-	6	9	-
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	3	-	-	-	-	-	-	-	-	1	2	-
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	x	x	x	x	x	x	x	x	x	x	x	x
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x
142	Tìhotenství mimodìloní	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v tìhotenství: lùko vcestné	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v tìhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a pøíhody tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	x	x	x	x	x	x	x	x	x	x	x	x
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	x	x	x	x	x	x	x	x	x	x	x	x
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	x	x	x	x	x	x	x	x	x	x	x	x
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148a	Toxikosy ve stavu poporodním: eclampsie	x	x	x	x	x	x	x	x	x	x	x	x
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	x	x	x	x	x	x	x	x	x	x	x	x
