1948	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
20	Tuberkulosa ústrojí moèového a pohlavního	12	-	-	-	1	2	5	3	1	-	-	-	-
21a	Addisonova nemoc tuberkulosního pùvodu	-	-	-	-	-	-	-	-	-	-	-	-	-
21b	Addisonova nemoc tuberkulosního pùvodu ostatních orgánù	8	-	-	-	1	-	-	1	1	2	3	-	-
22	Tuberkulosa miliární	57	9	6	4	15	3	2	3	2	7	6	-	-
24a	Otrava krve	98	44	6	1	2	5	6	7	11	8	6	2	-
24b	Snì plynová	2	2	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	6	-	-	-	-	1	-	-	1	3	-	1	-
28	Støídavka (malarie)	3	2	-	1	-	-	-	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	37	-	-	-	-	-	3	7	10	13	3	1	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	58	-	1	-	-	1	11	19	19	3	3	-	1
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	48	-	-	-	1	1	3	7	13	16	7	-	-
30d	Pøíjice: pøíjice vrozená	66	63	1	-	2	-	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	98	-	-	-	6	3	17	26	24	15	6	1	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	-	-	-	-	-	-	-	-	-	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	110	48	7	2	2	1	2	4	7	13	22	2	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	57	20	3	-	-	-	-	2	-	10	18	4	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	96	44	44	7	1	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	56	9	13	10	11	6	2	2	3	-	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	14	-	-	-	1	-	6	3	3	1	-	-	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	11	1	1	2	-	-	1	4	1	1	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	8	7	1	-	-	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	1	-	-	-	-	-	-	-	1	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	-	-	-	-	-	-	-	-	-	-	-	-	-
43b	Jiné mykosy	1	-	-	-	-	1	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	46	-	1	2	6	2	7	10	13	3	2	-	-
44c	Epidemickı zánìt pøíušnic	1	-	1	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-	-
														
II	Rakovina a jiné nádory	7666	12	23	26	50	138	626	1308	1813	2248	1267	155	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	8	-	-	-	-	-	1	1	1	1	3	1	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	12	-	-	-	-	-	1	2	2	4	3	-	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	45	-	1	-	2	-	8	11	10	9	3	1	-
46a	Rakovina a jiné zhoubné nádory: jícnu	97	-	-	-	-	1	2	9	17	43	24	1	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2033	-	-	1	2	19	73	193	433	788	478	46	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	404	-	1	-	1	3	20	48	94	134	91	12	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	308	-	-	-	3	8	22	40	67	104	59	5	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	811	-	1	-	1	5	28	94	191	310	167	14	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	152	1	-	-	2	2	7	26	33	47	32	2	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	91	-	-	-	-	-	2	12	34	30	11	2	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	96	-	-	-	1	2	12	22	28	21	8	2	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	3	-	-	-	-	-	-	-	2	-	1	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	39	-	-	-	-	-	3	5	11	11	8	1	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	235	-	2	-	7	4	24	39	63	60	34	2	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	-	-	-	-	-	-	-	-	-	-	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	170	-	-	-	-	5	34	52	45	26	8	-	-
48b	Rakovina a jiné zhoubné nádory: dìlohy	1188	-	-	-	-	33	158	292	338	255	102	10	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	313	-	1	1	6	4	31	93	87	62	25	3	-
50	Rakovina a jiné zhoubné nádory: prsù	657	-	-	-	1	13	101	175	171	122	64	10	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	x	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	105	-	1	3	-	-	4	17	26	34	20	-	-
53	Rakovina a jiné zhoubné nádory: kùe	109	-	-	-	-	3	2	11	8	26	37	22	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	29	-	1	1	2	2	6	8	4	3	1	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	20	-	-	-	-	-	2	1	11	4	2	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	85	-	-	5	5	3	8	10	18	22	11	3	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	49	-	-	-	-	-	2	11	13	16	6	1	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	179	-	5	3	5	6	11	30	33	48	31	7	-
55	Carcinomatosy, sarkomatosy	61	2	-	1	1	4	7	21	8	12	5	-	-
55f	Metastasy bez udání prvotního místa	6	-	-	-	-	-	-	1	1	4	-	-	-
56a	Nádory nezhoubné: vajeèníku	21	-	-	-	-	2	3	6	4	2	4	-	-
56b	Nádory nezhoubné: dìlohy	39	-	-	-	-	2	11	20	3	2	1	-	-
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	-	-	-	-	-	-	-	-	-	-	-	-	-
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	6	-	-	-	1	1	-	1	2	1	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	10	1	-	-	-	1	3	1	2	2	-	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	9	-	-	-	-	1	2	3	1	1	-	1	-
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	47	-	-	-	1	-	-	4	11	11	14	6	-
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	-	-	-	-	-	-	-	-	-	-	-	-	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	139	4	9	10	9	11	32	33	22	6	2	1	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	90	4	1	1	-	3	6	16	19	27	12	1	-
														
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	897	51	15	24	24	11	30	78	185	310	153	16	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	30	-	3	17	8	2	-	-	-	-	-	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	5	-	-	1	1	-	-	1	-	-	2	-	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	154	-	-	-	2	2	9	6	13	49	63	10	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	555	-	2	4	8	1	9	52	145	249	80	5	-
62	Nemoci podvìsku mozkového	2	1	-	-	-	-	-	-	1	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	22	-	-	-	1	3	3	3	2	6	4	-	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	46	-	-	-	-	3	6	9	18	6	3	1	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	-	-	-	-	-	-	-	-	-	-	-	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	38	25	8	2	2	-	1	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	14	-	-	-	1	-	2	7	3	-	1	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	1	-	-	-	-	-	-	-	1	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	1	-	-	-	-	-	-	-	1	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	4	2	-	-	1	-	-	-	1	-	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	25	23	2	-	-	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-	-
														
IV	Nemoci krve a ústrojù krvetvornıch	330	7	17	16	13	22	35	40	76	69	35	-	-
72a	Stavy krvácivé: purpury prvotní	10	1	1	2	-	-	2	1	3	-	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	6	1	1	-	-	1	-	-	2	1	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	89	-	-	1	2	1	3	3	17	43	19	-	-
73b	Chudokrevnost: jiná anaemie	47	2	2	-	-	5	5	3	14	8	8	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	139	1	11	13	9	11	16	25	32	15	6	-	-
74b	Leukaemie a aleukaemie: aleukaemie	6	-	1	-	1	-	1	1	-	-	2	-	-
75	Nemoci sleziny	11	1	-	-	1	-	3	3	3	-	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	11	-	-	-	-	2	4	1	2	2	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	11	1	1	-	-	2	1	3	3	-	-	-	-
														
V	Otravy vleklé	3	-	-	-	-	-	-	-	-	-	3	-	-
77a	Alkoholismus prudkı	1	-	-	-	-	-	-	-	-	-	1	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	1	-	-	-	-	-	-	-	-	-	1	-	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	1	-	-	-	-	-	-	-	-	-	1	-	-
														
DU		70	0	4	3	2	7	8	12	17	8	9	0	0
														
VI	Nemoci soustavy nervové a smyslovıch ústrojù	4510	332	58	33	41	67	134	348	712	1385	1181	218	1
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	7	3	-	1	-	1	-	1	1	-	-	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	52	15	4	5	3	4	3	5	8	2	3	-	-
81	Zánìt plen mozkovıch prostı	141	48	25	11	6	4	11	12	15	7	1	1	-
82	Nemoci míchy	68	2	-	-	4	4	6	9	14	21	8	-	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	3221	-	1	2	11	15	51	218	542	1181	1010	189	1
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	77	-	-	-	1	-	4	6	21	20	22	3	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	97	-	-	1	-	1	1	6	15	40	28	5	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	192	-	1	-	2	4	7	16	26	55	64	17	-
84a	Duševní nemoci a vady: slabomyslnost	15	-	4	3	1	1	1	1	-	3	1	-	-
84b	Duševní nemoci a vady: schoizophrenie	21	-	-	-	1	5	3	5	1	4	2	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	5	-	-	-	-	-	-	1	1	1	2	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	27	-	-	-	-	1	4	5	15	-	2	-	-
85	Padoucnice	57	2	3	4	7	12	5	10	8	2	4	-	-
86	Køeèe u dìtí do 5 let	202	191	11	-	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	-	1	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	5	-	-	-	-	1	-	1	1	-	2	-	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	40	-	-	-	1	-	4	2	11	12	10	-	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	162	-	-	-	2	13	30	41	28	28	18	2	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	33	4	5	5	1	1	3	3	4	4	3	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	86	67	4	1	1	-	1	6	-	5	-	1	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	1	-	-	-	-	-	-	-	-	-	1	-	-
														
VII	Nemoci ústrojí obìhu krevního	14520	47	34	40	112	154	381	815	1858	4663	5038	1378	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	-	-	-	-	-	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	17	1	-	3	-	1	-	1	3	7	-	1	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	23	-	6	5	5	1	3	2	-	1	-	-	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	1145	-	2	7	38	58	139	160	211	306	195	29	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	130	-	-	1	14	4	17	24	33	25	11	1	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	51	7	7	-	-	1	-	4	6	13	11	2	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	205	-	-	-	-	2	8	12	31	76	63	13	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	7991	8	3	6	19	33	94	304	928	2657	3096	843	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1112	11	11	5	4	14	19	54	118	384	398	94	-
94a	Nemoci tepen vìnèitıch	67	-	-	-	-	-	-	6	15	31	11	4	-
94b	Angina srdeèní	148	-	-	-	-	3	4	19	30	55	35	2	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	69	-	-	-	4	-	5	4	18	24	12	2	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1939	15	4	11	25	32	78	176	324	695	499	80	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	10	-	-	-	-	-	1	3	3	2	1	-	-
97	Zkornatìní tepen	1399	-	-	-	-	1	2	26	91	341	647	291	-
98	Snì	46	-	-	-	1	-	-	-	3	8	26	8	-
99	Jiné nemoci tepen	65	-	-	-	1	1	5	10	15	15	14	4	-
100a	Nemoci il: mìstky	24	-	-	-	-	-	-	2	6	5	8	3	-
100b	Nemoci il: jiné nemoci il	57	-	-	1	1	2	6	6	18	14	9	-	-
101	Nemoci soustavy mízní	8	5	1	1	-	-	-	-	1	-	-	-	-
102	Essentielní zvıšení tlaku krevního	13	-	-	-	-	1	-	2	4	3	2	1	-
103	Jiné nemoci ústrojí obìhu krevního	1	-	-	-	-	-	-	-	-	1	-	-	-
														
VIII	Nemoci ústrojù dıchacích	4518	1568	183	39	48	44	101	155	323	808	958	291	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	-	-	-	-	-	-	-	-	-	-	-	-	-
105	Nemoci hrtanu	12	8	3	-	-	-	-	-	-	1	-	-	-
106a	Zánìt prùdušek: prudkı	65	39	6	-	-	-	-	-	1	3	9	7	-
106b	Zánìt prùdušek: vleklı	137	4	2	1	1	-	1	6	12	41	53	16	-
106c	Zánìt prùdušek: blíe neoznaèenı	138	59	10	-	1	-	-	2	2	16	30	18	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2301	1162	97	17	17	17	40	60	104	298	374	115	-
108	Lalokovı zánìt plic	580	100	19	8	10	12	15	21	69	154	143	29	-
109	Zánìt plic blíe neoznaèenı	578	169	30	9	5	4	17	27	40	97	143	37	-
110a	Zánìt pohrudnice: empyema thoracis	50	14	11	3	1	1	3	2	4	9	2	-	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	112	9	3	1	5	2	5	12	14	31	25	5	-
111a	Infarkt s krvácením, embolie a trombosa plic	104	-	-	-	5	4	8	17	28	28	10	4	-
111b	Hypostatickı zánìt a oedem plic	40	1	1	-	-	-	1	-	3	7	18	9	-
112	Záducha (asthma)	113	-	1	-	1	3	4	4	14	36	42	8	-
113	Rozedma plic	258	1	-	-	-	-	1	3	26	77	107	43	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	1	-	-	-	-	-	-	-	-	-	1	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	22	1	-	-	2	-	5	-	6	7	1	-	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	7	1	-	-	-	1	1	1	-	3	-	-	-
														
IX	Nemoci ústrojí zaívacího	2996	1404	94	49	53	67	127	235	305	375	238	49	-
115a	Nemoci mandlí a hltanu	22	4	2	2	2	3	6	1	1	1	-	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	20	9	2	-	-	-	1	1	2	3	2	-	-
116	Nemoci jícnu	3	-	-	-	-	-	-	-	-	3	-	-	-
117a	Vøed aludeèní	88	-	-	-	-	2	7	14	25	24	16	-	-
117b	Vøed dvanáctníkovı	20	-	-	-	-	-	1	6	1	7	5	-	-
118	Jiné nemoci aludku	30	1	-	1	1	-	1	2	-	11	6	7	-
119	Prùjem a katar støevní u dìtí do 2 let	1412	1361	51	-	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	67	-	11	7	-	2	1	8	6	10	17	5	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	11	-	-	-	-	1	2	-	2	3	3	-	-
121	Zánìt èervíkovitého pøívìsku	172	-	18	19	21	19	16	28	25	19	6	1	-
122a	Kıla	136	1	-	-	-	-	5	13	28	47	27	15	-
122b	Neprùchodnost støevní	206	15	3	4	8	7	11	26	32	49	45	6	-
123	Ostatní nemoci støevní	9	-	-	-	1	-	1	1	1	3	1	1	-
124a	Svraštìní jater: alkoholické	-	-	-	-	-	-	-	-	-	-	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	238	-	-	-	2	3	20	42	52	72	43	4	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	110	-	-	-	5	8	13	20	37	17	7	3	-
125b	Jiné nemoci jater: ostatní nemoci jater	45	2	-	3	1	2	5	8	8	11	4	1	-
126	Kaménky luèové	148	-	-	-	1	6	16	22	47	30	23	3	-
127	Jiné nemoci luèníku a luèovodù	125	-	-	1	3	3	5	24	14	47	25	3	-
128	Nemoci slinivky bøišní	22	1	-	-	-	1	2	5	8	4	1	-	-
129	Zánìt pobøišnice bez udání pøíèiny	112	10	7	12	8	10	14	14	16	14	7	-	-
														
X	Nemoci ústrojí moèového a pohlavního	984	10	7	20	30	51	96	159	203	261	124	23	-
130	Prudkı zánìt ledvin	21	3	-	2	3	3	4	2	2	1	1	-	-
131	Vleklı zánìt ledvin	748	-	3	6	18	32	70	127	162	212	100	18	-
132	Zánìt ledvin nerozlišenı	63	2	-	9	4	8	4	6	11	12	7	-	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	44	5	2	1	1	2	1	9	7	11	4	1	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	14	-	1	2	1	-	1	2	3	4	-	-	-
134	Kaménky cest moèovıch	27	-	1	-	-	2	3	4	10	5	2	-	-
135a	Zánìt mìchıøe moèového	10	-	-	-	-	-	1	-	-	3	4	2	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	8	-	-	-	-	-	-	1	-	4	2	1	-
136	Nemoci roury moèové	11	-	-	-	-	1	2	2	2	2	1	1	-
137a	Nezhoubné nádory lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnìní lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	x	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	25	-	-	-	2	3	9	5	4	2	-	-	-
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	13	-	-	-	1	-	1	1	2	5	3	-	-
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	-	-	-	-	-	-	-	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	-	-	-	-	-	-	-	-	-	-	-	-	-
														
XI	Nemoci tìhotenství, porodu a stavu poporodního	230	-	-	-	53	95	80	2	-	-	-	-	*
140	Potrat se sepsí	35	-	-	-	8	14	13	-	-	-	-	-	-
141	Potrat bez zmínky o sepsi	9	-	-	-	-	4	5	-	-	-	-	-	-
142	Tìhotenství mimodìloní	23	-	-	-	5	8	9	1	-	-	-	-	-
143a	Krvácení v tìhotenství: lùko vcestné	2	-	-	-	-	-	2	-	-	-	-	-	-
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	-	-	-	-	-	-	-	-	-	-	-	-	-
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	-	-	-	-	-	-	-	-	-	-	-	-	-
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	20	-	-	-	6	9	5	-	-	-	-	-	-
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	9	-	-	-	2	6	1	-	-	-	-	-	-
144c	Otrava krve v tìhotenství: jiné toxikosy	3	-	-	-	2	1	-	-	-	-	-	-	-
145	Jiné nemoci a pøíhody tìhotenství	5	-	-	-	-	4	1	-	-	-	-	-	-
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	11	-	-	-	1	4	6	-	-	-	-	-	-
