1958	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1955)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš-tìno
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný neoznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	23	-	-	-	-	-	-	5	13	4	1	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenského letadla	14	-	-	-	-	-	-	2	11	1	-	-	-	-	-	-
E861	Poranìní cestujících pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní cestujících pøi nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E865	Letecký úraz mimo letadlo jinde než na letišti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz	8	-	-	-	-	-	-	2	2	3	1	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	49	-	2	1	1	-	2	2	5	12	11	8	5	-	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	4	-	-	-	-	-	-	-	-	2	1	-	1	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E878	Náhodná otrava jinými a neurèenými léèivy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	2	-	-	-	-	-	-	-	-	-	1	1	-	-	-	-
E880	Náhodná otrava alkoholem	27	-	-	-	-	-	-	1	3	9	6	6	2	-	-	-
E881	Náhodná otrava naftovými produkty	2	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	2	-	-	-	-	-	-	1	-	-	-	-	1	-	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	2	-	-	-	-	-	-	-	1	1	-	-	-	-	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	9	-	2	-	1	-	1	-	-	-	3	1	1	-	-	-
																	
	Náhodné otravy plynem a parami	103	-	1	2	2	-	3	8	13	8	18	14	12	18	4	-
E890	Náhodná otrava svítiplynem	47	-	-	-	-	-	1	4	3	3	8	6	9	12	1	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	52	-	1	2	2	-	2	2	9	5	10	7	3	6	3	-
E893	Náhodná otrava kyanovodíkem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny nebo parami	2	-	-	-	-	-	-	1	1	-	-	-	-	-	-	-
E895	Náhodná otrava neurèenými plyny nebo parami	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
																	
	Náhodné pády	522	-	-	1	1	2	6	20	26	17	44	64	103	155	83	-
E900	Pád na schodech 	21	-	-	-	-	-	1	-	1	2	-	5	5	6	1	-
E901	Pád se žebøíku 	17	-	-	-	-	-	-	-	2	2	3	1	7	1	1	-
E902	Jiný pád do hloubky	193	-	-	1	1	2	5	19	20	11	34	41	30	23	6	-
E903	Pád na rovinì	78	-	-	-	-	-	-	-	1	-	3	6	18	34	16	-
E904	Neurèený pád 	213	-	-	-	-	-	-	1	2	2	4	11	43	91	59	-
																	
	Jiné náhodné úrazy	1222	125	31	27	20	12	130	222	146	117	136	123	74	49	10	-
E910	Náhodný úraz zpùsobený padajícími pøedmìty	57	1	-	-	3	-	10	5	8	12	8	6	2	2	-	-
E911	Náhodný úraz zpùsobený vozidly	22	-	-	1	-	1	1	2	1	4	5	2	4	1	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	52	-	-	1	-	-	4	8	8	6	15	6	3	1	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	6	-	-	-	-	-	2	2	-	-	2	-	-	-	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	66	-	-	1	-	1	9	14	16	9	8	7	1	-	-	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	54	-	3	1	-	1	4	9	5	8	5	5	3	7	3	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	18	-	3	3	1	3	-	-	1	1	2	1	-	2	1	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	48	-	-	1	1	-	17	16	5	1	4	3	-	-	-	-
E920	Cizí tìleso vniklé do oka a jeho adnexù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E921	Dušení potravou v hrtanu nebo jiných cestách dýchacích 	145	106	6	2	1	-	3	2	-	2	8	10	5	-	-	-
E922	Dušení jinými pøedmìty v hrtanu nebo jiných cestách dýchacích 	6	1	-	-	-	-	-	-	-	-	1	2	1	1	-	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	10	7	2	1	-	-	-	-	-	-	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	14	4	-	-	-	-	2	2	2	2	1	-	-	-	1	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	5	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Úraz kousnutím nebo uštknutím  živoèichy a hmyzem	2	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	22	-	-	-	-	-	2	-	1	2	6	4	6	1	-	-
E929	Náhodné tonutí	289	-	16	14	14	6	69	77	25	14	10	16	18	8	2	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E932	Nadmìrný chlad	12	-	-	-	-	-	-	2	2	-	-	2	2	3	1	-
E933	Hlad, žízeò a  jiné strádání 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	13	-	-	-	-	-	-	2	2	2	5	2	-	-	-	-
E936	Jiný a neurèený náhodný úraz	200	1	1	2	-	-	7	26	28	24	24	37	29	19	2	-
E937	Úraz v dolech, v lomech	178	-	-	-	-	-	-	54	41	30	31	18	-	4	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku povakcinaèní	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování proti neštovicím	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Hepatitis po profylaktické injekci a podobné imunisaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii u neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace neléèebných lékaøských zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	4	-	-	-	-	-	-	-	-	1	2	-	1	-	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	2	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-
E954	Léèebná nehoda pøi anestesii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E956	Pozdní komplikace chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E959	Pozdní komplikace jiných druhù léèení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Pozdní následky úrazù a otrav  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následek úrazù zpùsobených úmyslnì jinou osobou 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následek úrazù vzniklých váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	1582	-	-	-	-	-	21	112	167	210	383	338	192	129	30	-
E970	Sebevražda a sebepoškození analgetiky a uspávacími prostøedky	23	-	-	-	-	-	1	-	3	3	8	6	1	1	-	-
E971	Sebevražda a sebepoškození jinými pevnými látkami a tekutinami	41	-	-	-	-	-	-	3	6	6	11	6	5	3	1	-
E972	Sebevražda a sebepoškození plyny v domácím používání	126	-	-	-	-	-	1	8	26	18	35	14	10	10	4	-
E973	Sebevražda a sebepoškození jinými plyny	2	-	-	-	-	-	-	1	-	1	-	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	1048	-	-	-	-	-	17	32	87	138	252	249	149	102	22	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	41	-	-	-	-	-	-	2	6	9	5	9	3	5	2	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	141	-	-	-	-	-	-	51	24	12	28	18	6	2	-	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	39	-	-	-	-	-	-	1	4	7	12	9	5	-	1	-
E978	Sebevražda a sebepoškození  skokem s výše	45	-	-	-	-	-	-	2	2	6	13	13	4	5	-	-
E979	Sebevražda a sebepoškození  jinými prostøedky 	15	-	-	-	-	-	-	1	3	-	3	4	4	-	-	-
E97a	Sebevražda vlakem	61	-	-	-	-	-	2	11	6	10	16	10	5	1	-	-
																	
NA	Usmrcení a poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	48	3	1	1	-	-	3	8	7	8	9	7	1	-	-	-
E980	Úmyslné otrávení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	11	-	-	-	-	-	-	3	1	2	2	3	-	-	-	-
E982	Napadení  nástroji øeznými a bodnými	15	-	-	-	-	-	1	3	2	3	4	2	-	-	-	-
E983	Napadení  jinými prostøedky	21	3	1	1	-	-	2	1	4	3	3	2	1	-	-	-
E984	Zranìní zpùsobená zákrokem policie	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E985	Poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Poranìní vzniklá váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
