1934	Zemřelí muži podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	3563	-	-	1	4	31	145	446	1128	1808	-
46c	Rakovina a jiné zhoubné nádory: konečníku	517	-	-	-	-	10	21	45	148	293	-
46d	Rakovina a jiné zhoubné nádory: jater a žlučovodů	538	-	-	-	2	7	21	82	147	279	-
46	Rakovina a jiné zhoubné nádory: slinivky břišní	78	-	-	-	-	-	5	22	34	17	-
46f	Rakovina a jiné zhoubné nádory: pobřišnice	48	-	1	-	1	-	3	7	19	17	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice	375	-	1	-	2	11	17	41	111	192	-
47	Rakovina a jiné zhoubné nádory: ústrojí dýchacího	386	-	-	1	5	6	33	90	136	115	-
48	Rakovina a jiné zhoubné nádory: dělohy	x	x	x	x	x	x	x	x	x	x	x
49	Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsů	6	-	-	-	-	-	-	1	3	2	-
51	Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských	437	1	5	-	3	8	12	41	90	277	-
52	Rakovina a jiné zhoubné nádory: kůže	150	-	1	2	-	4	5	10	22	106	-
53	Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených	418	3	7	8	17	18	29	62	113	161	-
												
54a	Nádory nezhoubné: pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x
54b	Nádory nezhoubné: jiných ústrojů	8	-	-	-	1	-	-	-	2	5	-
												
55a	Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských	x	x	x	x	x	x	x	x	x	x	x
55b	Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů	296	6	7	17	20	24	36	59	64	63	-
												
III	Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové	986	100	27	54	42	37	40	90	225	371	-
56	Rheumatismus kloubní prudký, horečnatý	65	-	1	28	13	7	4	5	4	3	-
57	Rheumatismus vleklý, osteoarthritis	86	-	-	2	2	1	1	7	15	58	-
58	Dna	3	-	-	-	-	-	-	-	1	2	-
59	Úplavice cukrová	637	1	2	17	18	22	20	68	193	296	-
	Kurděje	-	-	-	-	-	-	-	-	-	-	-
60a	Dětské kurděje	2	1	1	-	-	-	-	-	-	-	-
60b	Kurděje	-	-	-	-	-	-	-	-	-	-	-
62	Pellagra	-	-	-	-	-	-	-	-	-	-	-
63	Křivice	79	55	17	1	3	-	3	-	-	-	-
64	Měknutí kostí	4	2	-	-	-	1	-	-	1	-	-
65	Nemoci podvěsku mozkového	4	-	-	-	-	2	-	-	1	1	-
												
66a	Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté	16	1	-	1	1	1	4	1	3	4	-
66b	Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické	18	-	-	1	1	-	1	6	6	3	-
66c	Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus	8	-	1	2	2	1	-	2	-	-	-
66d	Nemoci žlázy štítné a přídavných žlázek štítných: tetanie	29	25	2	1	-	-	1	-	-	-	-
66	Nemoci žlázy štítné a přídavných žlázek štítných: jiné	-	-	-	-	-	-	-	-	-	-	-
67	Nemoci brzlíku	18	14	2	1	1	-	-	-	-	-	-
68	Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní 	9	1	1	-	-	1	3	1	1	1	-
69	Jiné nemoci rheumatické, výživové, endokrinních žláz	8	-	-	-	1	1	3	-	-	3	-
												
IV 	Nemoci krve a ústrojů krvetvorných	310	16	16	29	25	28	31	43	68	54	-
												
70a	Stavy krvácivé: purpury prvotní	7	1	-	-	1	1	1	-	1	2	-
70b	Stavy krvácivé: vrozená krvácivost	5	2	1	-	1	-	-	-	1	-	-
71a	Postupná zhoubná chudokrevnost	84	1	7	7	7	5	9	11	21	16	-
71b	Jiné chudokrevnosti	16	7	2	-	-	-	2	1	1	3	-
72a	Bělokrevnost pravá	124	1	5	13	10	12	10	17	30	26	-
72b	Bělokrevnost nepravá	62	1	1	8	4	10	7	14	11	6	-
73	Nemoci sleziny	8	2	-	1	2	-	2	-	1	-	-
74	Jiné nemoci krve a ústrojů krvetvorných	4	1	-	-	-	-	-	-	2	1	-
												
V	Otravy vleklé a prudké	94	-	-	-	-	3	9	15	36	30	1
75	Alkoholismus vleklý nebo prudký	87	-	-	-	-	3	7	13	33	30	1
												
76a	Vleklé otravy látkami anorganickými: živnostenské	-	-	-	-	-	-	-	-	-	-	-
76b	Vleklé otravy látkami anorganickými: jiné	-	-	-	-	-	-	-	-	-	-	-
												
77a	Vleklé otravy látkami organickými: živnostenské	6	-	-	-	-	-	2	2	2	-	-
77b	Vleklé otravy látkami organickými: jiné	1	-	-	-	-	-	-	-	1	-	-
												
DU		153	0	0	0	7	15	14	27	46	43	1
												
VI	Nemoci soustavy nervové a čidel	6753	996	159	144	119	219	337	619	1183	2976	1
												
78a	Zánět mozku: hlíza mozková	23	-	1	4	-	7	4	3	2	2	-
78b	Zánět mozku: jiné záněty mozku	66	6	11	8	5	8	8	5	8	7	-
79	Prostý zánět plen mozkových	337	75	76	71	31	21	19	13	15	16	-
80	Úbyt míchy	180	-	-	-	-	4	17	45	65	49	-
81	Jiné nemoci míchy	186	1	1	4	9	12	22	34	43	60	-
82a	Krvácení mozkové 	3643	-	4	5	6	31	87	291	778	2440	1
82b	Vmetek nebo záhať mozková	201	1	-	1	2	7	9	18	52	111	-
82c	Jednostranná obrna těla a příčiny nerozlišené	244	1	-	-	3	8	5	21	51	155	-
83	Postupná obrna povšechná	357	-	-	-	6	27	89	105	90	40	-
84a	Předčasná zblbělost	10	-	-	-	4	-	1	1	3	1	-
84b	Jiné psychosy	56	-	-	-	3	12	6	13	10	12	-
85	Padoucnice	142	1	1	15	22	31	25	25	10	12	-
86	Křeče u dětí mladších 6 let	924	877	47	-	-	-	-	-	-	-	-
												
87b	Jiné nemoci soustavy nervové: neuritis	10	-	-	1	-	2	-	3	1	3	-
87c	Jiné nemoci soustavy nervové: obrna třesavá	46	3	3	4	2	5	2	3	5	19	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	97	-	-	5	4	16	17	12	21	22	-
87a,e	Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové	95	2	5	5	4	13	16	16	18	16	-
88	Nemoci oční	-	-	-	-	-	-	-	-	-	-	-
89a	Zánět ušní	130	28	10	20	16	15	9	11	11	10	-
89b	Jiné nemoci ucha a dutiny výčnělku soscovitého	6	1	-	1	2	-	1	-	-	1	-
												
VII	Nemoci ústrojí oběhu krevního	11705	72	57	138	156	279	540	1096	2431	6936	-
90	Zánět osrdečníku	18	1	2	1	3	1	-	1	5	4	-
91	Prudký zánět nitroblány srdeční	92	3	7	24	17	11	18	4	5	3	-
92	Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní	982	2	2	30	45	86	94	163	220	340	-
93a	Prudký zánět svalu srdečního	100	31	12	10	4	6	16	2	8	11	-
93b	Vleklý zánět svalu srdečního a zvrhlost svalu srdečního	4095	6	13	11	20	37	102	268	780	2858	-
93c	Nerozlišené nemoci svalu srdečního	786	-	-	-	-	-	-	67	190	529	-
94	Nemoci tepen věnčitých	724	-	-	-	-	13	51	111	215	334	-
95a	Funkcionální nemoci srdce	18	1	-	1	-	-	1	2	1	12	-
95b	Jiné a nerozlišené nemoci srdeční	2728	19	16	58	62	106	208	369	662	1228	-
96	Výduť, vyjma výduť srdeční	122	-	-	-	-	5	15	27	43	32	-
97	Zkornatění tepen, vyjma nemocí tepen věnčitých	1765	-	-	-	-	1	9	51	246	1458	-
98a	Sněť stařecká	75	-	-	-	-	-	-	-	5	70	-
98b	Jiné sněti	31	1	1	-	1	2	1	7	5	13	-
99	Jiné nemoci tepen	67	-	-	2	1	4	17	11	17	15	-
100	Nemoci žil: městky, městky konečníkové, zánět žil atd.	71	-	-	1	2	4	5	11	24	24	-
101	Nemoci soustavy mízní, zánět mízních cév atd.	23	8	4	-	-	1	1	-	5	4	-
102	Idiopathické anomalie tlaku krevního	1	-	-	-	-	-	-	-	-	1	-
103	Jiné nemoci ústrojí oběhu krevního	7	-	-	-	1	2	2	2	-	-	-
												
VIII	Nemoci ústrojí dýchacího	8052	2127	538	173	134	184	265	490	1008	3132	1
104	Nemoci dutin nosních a adnex	8	4	-	1	-	-	-	-	2	1	-
105	Nemoci hrtanu	24	11	2	7	1	-	1	-	1	1	-
106a	Zánět průdušek prudký	204	139	18	1	1	-	3	-	6	36	-
106b	Zánět průdušek vleklý	373	29	6	2	2	2	5	29	50	248	-
106c	Zánět průdušek nerozlišený	482	211	21	4	1	1	7	9	30	198	-
107	Lalůčkový zánět plic, počítaje v to zánět průdušinek	2186	1035	223	38	13	26	40	67	175	568	1
108	Lalokový zánět plic	1325	184	100	48	44	47	78	129	235	460	-
109	Zánět plic nerozlišený	1769	470	134	42	42	60	58	99	196	668	-
110	Zánět pohrudnice	404	28	29	27	24	27	31	50	62	126	-
111	Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic	184	9	2	1	1	6	9	11	27	118	-
112	Záducha	331	4	-	-	1	2	6	27	72	219	-
113	Rozedma plicní	619	-	-	-	2	3	8	37	110	459	-
114a	Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího	12	3	-	1	-	-	2	2	3	1	-
114b	Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu	131	-	3	1	2	10	17	30	39	29	-
												
IX	Nemoci ústrojí zažívacího	5494	2519	201	187	145	237	310	456	581	857	1
115	Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby	163	23	23	40	16	16	13	10	12	10	-
116	Nemoci požeráku	9	-	-	-	1	1	-	-	2	5	-
117a	Vřed žaludeční	528	-	-	2	13	61	84	131	134	102	1
117b	Vřed dvanáctníkový	123	-	-	-	3	14	36	31	26	13	-
118	Jiné nemoci žaludeční (vyjma rakovinu)	61	-	1	-	2	2	2	5	7	42	-
119	Průjem a katar střevní - u dětí do 2 roků	2531	2440	91	-	-	-	-	-	-	-	-
120a	Průjem, katar střevní (ve věku 2 roků a výše)	135	-	25	13	2	7	5	8	12	63	-
120b	Vředy střevní (ve věku 2 roků a výše)	18	-	-	1	4	4	1	3	4	1	-
121	Zánět červíkovitého přívěsku	425	1	29	77	69	64	57	48	38	42	-
122a	Kýla	235	23	5	-	3	4	3	20	28	149	-
122b	Neprůchodnost střeva	234	13	4	7	8	16	10	17	58	101	-
123	Jiné nemoci střevní	42	4	1	3	1	2	5	8	7	11	-
124a	Svraštění jater alkoholické	36	-	-	-	-	1	6	13	9	7	-
124b	Svraštění jater neoznačené za alkoholické	462	-	-	3	2	12	45	94	140	166	-
125	Jiné nemoci jater (počítaje v to náhlý úbyt jater)	137	2	4	8	8	13	11	20	34	37	-
126	Kaménky žlučové	63	-	-	-	-	1	9	9	16	28	-
127	Jiné nemoci žlučníku a žlučovodů	75	-	-	1	1	4	5	12	21	31	-
128	Nemoci slinivky břišní	23	-	-	-	-	2	4	6	9	2	-
129	Zánět pobřišnice, bez označené příčiny	194	13	18	32	12	13	14	21	24	47	-
												
X	Nemoci ústrojí močového a ústrojí pohlavního	2316	23	30	51	47	79	153	251	486	1196	-
130	Prudký zánět ledvin	110	10	19	30	5	12	8	9	9	8	-
131	Vleklý zánět ledvin	969	-	5	8	24	34	104	169	281	344	-
132	Nerozlišený zánět ledvin	255	-	-	10	11	21	22	42	64	85	-
133a	Zánět pánvice ledvinné	91	6	2	2	4	5	7	7	19	39	-
133b	Jiné nemoci ledvin a močovodů	21	4	1	1	1	-	4	1	4	5	-
134a	Kamének ledvin a horních cest močových	33	-	-	-	2	1	4	1	13	12	-
134b	Kamének měchýře močového	27	-	-	-	-	1	-	-	6	20	-
134c	Kamének bez jiného označení	2	-	-	-	-	-	1	-	-	1	-
135a	Zánět měchýře močového	82	-	1	-	-	-	1	5	9	66	-
135b	Jiné nemoci měchýře močového	19	-	1	-	-	4	-	-	1	13	-
136a	Zúžení roury močové	12	-	-	-	-	-	-	-	2	10	-
136b	Jiné nemoci roury močové, hlíza močová atd.	42	-	1	-	-	1	1	7	3	29	-
137	Nemoci žlázy předstojné (prostaty)	648	-	-	-	-	-	1	10	75	562	-
138	Nemoci pohlavních ústrojů mužských, neoznačené za venerické	5	3	-	-	-	-	-	-	-	2	-
												
139a	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní	-	-	-	-	-	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné	-	-	-	-	-	-	-	-	-	-	-
												
XI	Nemoci těhotenství, porodu a stavu poporodního	-	-	-	-	-	-	-	-	-	-	-
140	Potrat s hnilobou	x	x	x	x	x	x	x	x	x	x	x
141	Potrat beze zmínky o hnilobě, ale počítaje v to krvácení	x	x	x	x	x	x	x	x	x	x	x
142	Těhotenství mimoděložní	x	x	x	x	x	x	x	x	x	x	x
143	Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení)	x	x	x	x	x	x	x	x	x	x	x
144a	Lůžko vcestné	x	x	x	x	x	x	x	x	x	x	x
144b	Jiná krvácení poporodní	x	x	x	x	x	x	x	x	x	x	x
145a	Otrava krve a hniloba krve poporodní	x	x	x	x	x	x	x	x	x	x	x
145b	Ztrnutí poporodní	x	x	x	x	x	x	x	x	x	x	x
146	Močení bílkoviny a božec	x	x	x	x	x	x	x	x	x	x	x
147	Jiné toxaemie v těhotenství	x	x	x	x	x	x	x	x	x	x	x
148a	Bílý bolestný otok dolních končetin a záhať	x	x	x	x	x	x	x	x	x	x	x
148b	Vmetek nebo náhlá smrt poporodní	x	x	x	x	x	x	x	x	x	x	x
149	Jiné příhody při porodu	x	x	x	x	x	x	x	x	x	x	x
150	Jiné nerozlišené příhody stavu poporodního	x	x	x	x	x	x	x	x	x	x	x
												
XII	Nemoci kůže a vaziva podkožního	374	260	2	3	5	11	9	11	22	51	-
151	Nežitina	174	146	-	1	3	5	3	2	5	9	-
152	Zánět podkožního vaziva, teplá hlíza	66	28	2	1	2	3	5	6	7	12	-
153	Jiné nemoci kůže, jejich adnex a podkožního vaziva	134	86	-	1	-	3	1	3	10	30	-
												
XIII 	Nemoci kostí a ústrojí pohybu	153	6	9	26	10	11	14	13	15	49	-
154	Zánět dřeně kostní	80	4	6	22	7	6	11	9	8	7	-
155	Jiné nemoci kostí, vyjma tuberkulosu	44	-	1	2	2	2	1	2	4	30	-
												
156a	Nemoci kloubů, vyjma tuberkulosu a rheumatismus	25	2	1	2	1	3	2	2	2	10	-
156b	Nemoci jiných orgánů pohybu	4	-	1	-	-	-	-	-	1	2	-
												
XIV	Vrozené vady tvarové	239	227	9	3	-	-	-	-	-	-	-
157a	Vrozená vodnatelnost mozku	34	30	4	-	-	-	-	-	-	-	-
157b	Rozštěp páteře a kýla omozečnicová	33	33	-	-	-	-	-	-	-	-	-
157c	Vrozený nesprávný tvar srdce	97	91	3	3	-	-	-	-	-	-	-
157d	Zrůdnosti	4	3	1	-	-	-	-	-	-	-	-
157	Jiné vrozené vady tvarové 	71	70	1	-	-	-	-	-	-	-	-
												
XV	Zvláštní nemoci útlého věku	3329	3329	-	-	-	-	-	-	-	-	-
158	Vrozená slabost	1461	1461	-	-	-	-	-	-	-	-	-
159	Předčasné narození, nepočítaje v to mrtvě narozené	1166	1166	-	-	-	-	-	-	-	-	-
160a	Následky porodu s řezem císařským	2	2	-	-	-	-	-	-	-	-	-
160b	Následky porodu bez řezu císařského	261	261	-	-	-	-	-	-	-	-	-
												
161a	Bezevzduchost plicní	127	127	-	-	-	-	-	-	-	-	-
161b	Žloutenka novorozenců	77	77	-	-	-	-	-	-	-	-	-
161c	Skloerem a jiné	235	235	-	-	-	-	-	-	-	-	-
												
XVI 	Stařecká sešlost	5051	-	-	-	-	-	-	-	51	5000	-
162a	Stařecká sešlost se zblbělostí starobní	209	-	-	-	-	-	-	-	3	206	-
162b	Stařecká sešlost bez zblbělosti starobní	4842	-	-	-	-	-	-	-	48	4794	-
												
XVII	Smrti násilné a úrazové	5521	47	217	262	981	1031	777	720	652	825	9
SE		2942	0	0	28	571	575	422	417	406	518	5
163	Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých	106	-	-	-	22	26	19	17	13	9	-
164	Sebevražda jedovatými plyny	30	-	-	2	1	6	6	5	4	6	-
165	Sebevražda oběšením neb uškrcením	1638	-	-	18	194	267	227	274	278	378	2
166	Sebevražda utopením	116	-	-	2	17	16	15	13	18	34	1
167	Sebevražda střelnými zbraněmi	689	-	-	1	226	179	99	71	57	55	1
168	Sebevražda nástroji řeznými nebo bodnými	57	-	-	-	5	12	10	9	7	14	-
169	Sebevražda skokem s vyvýšeného místa	21	-	-	-	4	3	3	3	6	2	-
170	Sebevražda rozdrcením	211	-	-	5	87	54	27	14	14	9	1
171	Jiné sebevraždy	74	-	-	-	15	12	16	11	9	11	-
NA		121	22	9	10	16	24	10	15	7	7	1
172a	Vražda dítěte (dítě do 1 roku): přímo po narození	12	12	-	-	-	-	-	-	-	-	-
172b	Vražda dítěte (dítě do 1 roku): jiná do jednoho roku	10	10	-	-	-	-	-	-	-	-	-
173	Vražda nebo zabití střelnou zbraní (osoby starší 1 roku)	33	-	1	5	5	10	3	7	1	1	-
174	Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku)	26	-	1	1	8	10	3	3	-	-	-
175	Jiné vraždy nebo zabití osob starších 1 roku	40	-	7	4	3	4	4	5	6	6	1
176	Napadení jedovatými zvířaty	2	-	1	1	-	-	-	-	-	-	-
177	Otrava potravinami	23	-	5	1	3	5	4	2	2	1	-
178	Vdechování jedovatých plynů	49	1	1	-	7	9	14	8	3	6	-
179	Jiné nahodilé prudké otravy, vyjma otravy plynem	38	-	12	3	2	3	6	7	2	3	-
180	Následky ohně při požáru	13	-	-	2	1	4	2	-	1	3	-
181	Popálení úrazové (jiné než při požáru)	155	9	76	14	7	12	5	6	9	16	1
182	Nahodilé mechanické zadušení	45	5	4	8	6	3	6	5	5	3	-
183	Nahodilé utopení	286	2	54	52	82	34	17	15	11	19	-
184	Poranění střelnými zbraněmi, vyjma poranění válečná	50	-	3	4	23	8	7	3	2	-	-
185	Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná	17	-	2	1	1	5	2	3	1	2	-
186	Poranění pádem, rozdrcením, sřícením	717	1	25	55	98	141	139	101	66	90	1
187	Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom	-	-	-	-	-	-	-	-	-	-	-
188	Poranění způsobená zvířaty	24	-	1	2	4	1	2	5	6	3	-
189	Hlad a žízeň	1	-	-	-	-	-	-	-	-	1	-
190	Neobvyklá zima	30	-	1	-	2	2	4	3	11	7	-
191	Neobvyklé teplo	3	-	1	1	-	1	-	-	-	-	-
192	Blesk	18	-	-	1	3	5	4	3	1	1	-
193	Úrazy způsobené proudem elektrickým	78	-	-	13	25	20	13	4	1	2	-
194a	Jiné úrazy: cizí tělesa	9	1	2	-	1	3	-	-	-	2	-
194b	Jiné úrazy: jiné	889	6	20	66	125	175	119	122	115	140	1
195	Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma	11	-	-	-	4	1	1	1	3	1	-
	Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:											
A	v dolech a lomech	164	-	-	3	14	58	55	23	8	1	2
B	způsobených stroji	24	-	1	1	1	9	3	3	3	3	-
DN	prostředky dopravními	422	1	22	48	73	75	70	54	33	46	-
a	železnicemi a tramvajemi	126	-	3	8	19	18	30	29	6	13	-
b	automobily a motocykly	207	1	15	31	38	45	25	14	18	20	-
c	jinými pozemními prostředky dopravními	73	-	4	9	7	9	13	10	8	13	-
d	při dopravě po vodě	-	-	-	-	-	-	-	-	-	-	-
e	při dopravě vzduchem	16	-	-	-	9	3	2	1	1	-	-
198	Soudní poprava											
												
XVIII	Neurčité příčiny úmrtí	343	36	21	5	9	13	23	43	87	105	1
199	Náhlá smrt	44	1	-	2	2	1	5	7	14	12	-
200	Nerozlišené nebo nedostatečně určené příčiny	299	35	21	3	7	12	18	36	73	93	1
												
												
		V publikaci Pohyb obyvatelstva  u mužů za Čechy v kódu 109 nesouhlasí součet věkových skupina na celek										
		a proto byl údaj  ve věku 35-44 připočtením 10 a to ze 48 na 58.										
