1959	Zemøelí muži podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1955)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš-tìno
D3	Nedopravní úrazy motorovými vozidly 	113	-	1	1	-	-	6	30	20	16	15	18	6	-	-	-
E830	Nedopravní úraz   zpùsobený chodcùm	5	-	-	-	-	-	2	1	-	-	-	1	1	-	-	-
E831	Nedopravní úraz   zpùsobený cyklistùm	3	-	-	-	-	-	-	-	-	2	-	1	-	-	-	-
E832	Nedopravní úraz   zpùsobený posádce motocyklu	2	-	-	-	-	-	-	1	-	-	-	1	-	-	-	-
E833	Nedopravní úraz, jde-li o nìkolik motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E834	Nedopravní úraz    pøi nastupování a vystupování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E835	Nedopravní úraz    jiné nebo neurèené povahy	18	-	-	-	-	-	-	7	2	1	4	4	-	-	-	-
E836	Úraz zpùsobený traktorem	85	-	1	1	-	-	4	21	18	13	11	11	5	-	-	-
																	
D4	Úrazy jinými silnièními vozidly	56	-	1	-	-	-	4	6	7	1	11	11	11	4	-	-
E840	Úraz zpùsobený chodcùm vozy poulièní dopravy	12	-	-	-	-	-	1	1	2	-	2	3	3	-	-	-
E841	Jiný úraz poulièní drahou , mimo srážku s motorovým vozidlem 	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E842	Úraz zpùsobený chodcùm cyklisty	2	-	-	-	-	-	-	-	-	-	-	-	1	1	-	-
E843	Úraz zpùsobený cyklistùm, vyjma srážku  s motorovým  vozidlem 	26	-	-	-	-	-	3	3	4	-	5	4	4	3	-	-
E844	Úraz chodcù nemotorovými silnièními vozidly 	4	-	1	-	-	-	-	-	-	-	-	2	1	-	-	-
E845	Jiný úraz nemotorovými silnièními vozidly 	11	-	-	-	-	-	-	2	1	1	3	2	2	-	-	-
																	
D5	Úrazy pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E850	Úraz cestujících potopením na malých èlunech 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E851	Ostatní úrazy pøi vodní dopravì zpùsobené potopením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný neoznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	17	-	-	-	-	-	-	6	9	2	-	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenského letadla	13	-	-	-	-	-	-	5	6	2	-	-	-	-	-	-
E861	Poranìní cestujících pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní cestujících pøi nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz mimo letadlo jinde než na letišti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz	4	-	-	-	-	-	-	1	3	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	47	1	2	-	-	1	3	5	7	5	8	7	5	3	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	2	-	-	-	-	-	-	-	-	-	-	1	-	1	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	4	-	-	-	-	-	-	1	2	-	1	-	-	-	-	-
E875	Náhodná otrava sulfonamidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E878	Náhodná otrava jinými a neurèenými léèivy	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	5	-	-	-	-	1	2	-	-	-	1	-	1	-	-	-
E880	Náhodná otrava alkoholem	14	-	-	-	-	-	-	1	3	1	2	5	2	-	-	-
E881	Náhodná otrava naftovými produkty	3	-	1	-	-	-	-	1	-	-	-	1	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	3	-	-	-	-	-	1	2	-	-	-	-	-	-	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	13	-	1	-	-	-	-	-	2	3	4	-	1	2	-	-
																	
	Náhodné otravy plynem a parami	118	1	1	-	-	-	7	14	20	15	16	17	12	13	2	-
E890	Náhodná otrava svítiplynem	54	-	1	-	-	-	4	3	11	5	7	9	7	6	1	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	4	-	-	-	-	-	-	-	1	2	1	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	53	1	-	-	-	-	2	11	7	6	6	8	4	7	1	-
E893	Náhodná otrava kyanovodíkem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny nebo parami	4	-	-	-	-	-	-	-	1	2	-	-	1	-	-	-
E895	Náhodná otrava neurèenými plyny nebo parami	3	-	-	-	-	-	1	-	-	-	2	-	-	-	-	-
																	
	Náhodné pády	526	2	1	-	1	3	7	27	24	25	69	59	102	137	69	-
E900	Pád na schodech 	31	1	-	-	-	-	-	-	-	1	7	4	9	7	2	-
E901	Pád se žebøíku 	11	-	-	-	-	-	-	1	-	2	3	3	1	1	-	-
E902	Jiný pád do hloubky	205	1	1	-	-	3	6	23	22	20	48	36	32	11	2	-
E903	Pád na rovinì	97	-	-	-	-	-	1	1	2	1	4	7	20	37	24	-
E904	Neurèený pád 	182	-	-	-	1	-	-	2	-	1	7	9	40	81	41	-
																	
	Jiné náhodné úrazy	1112	77	30	21	11	9	109	186	159	120	137	115	73	50	15	-
E910	Náhodný úraz zpùsobený padajícími pøedmìty	58	-	-	-	-	-	8	7	10	7	11	8	5	1	1	-
E911	Náhodný úraz zpùsobený vozidly	22	-	-	1	-	-	-	3	2	2	6	4	3	1	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	41	-	-	1	-	-	1	4	7	7	9	9	3	-	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	6	-	-	-	-	-	1	1	-	-	2	1	1	-	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	68	-	2	-	-	-	11	15	17	7	11	4	-	-	1	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	3	-	-	-	-	-	-	1	-	-	1	1	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	55	-	1	2	-	1	2	9	8	6	5	7	5	5	4	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	20	-	-	6	3	-	-	1	-	1	3	1	1	2	2	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	24	-	1	-	-	-	4	11	7	1	-	-	-	-	-	-
E920	Cizí tìleso vniklé do oka a jeho adnexù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E921	Dušení potravou v hrtanu nebo jiných cestách dýchacích 	106	70	7	-	1	-	3	-	2	3	5	2	6	6	1	-
E922	Dušení jinými pøedmìty v hrtanu nebo jiných cestách dýchacích 	3	-	1	-	-	-	-	-	-	1	-	-	1	-	-	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	2	-	1	-	-	-	-	-	-	-	-	-	1	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	7	5	2	-	-	-	-	-	-	-	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	27	1	1	1	-	-	7	7	5	1	4	-	-	-	-	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Úraz kousnutím nebo uštknutím  živoèichy a hmyzem	5	-	-	-	-	1	-	-	-	-	2	-	2	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	28	-	-	-	-	-	3	-	3	3	1	6	8	4	-	-
E929	Náhodné tonutí	263	-	13	9	7	7	62	69	22	16	13	26	9	8	2	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E932	Nadmìrný chlad	12	-	-	-	-	-	-	1	3	-	2	2	2	2	-	-
E933	Hlad, žízeò a  jiné strádání 	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	11	-	-	-	-	-	1	4	1	1	3	-	1	-	-	-
E936	Jiný a neurèený náhodný úraz	198	-	1	-	-	-	5	23	30	31	29	33	22	20	4	-
E937	Úraz v dolech, v lomech	151	-	-	-	-	-	1	30	42	33	30	11	3	1	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku povakcinaèní	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování proti neštovicím	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Hepatitis po profylaktické injekci a podobné imunisaci	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii u neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace neléèebných lékaøských zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	3	-	-	-	-	1	-	-	1	-	-	1	-	-	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E954	Léèebná nehoda pøi anestesii	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	1	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-
E956	Pozdní komplikace chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E959	Pozdní komplikace jiných druhù léèení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Pozdní následky úrazù a otrav  	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následek úrazù zpùsobených úmyslnì jinou osobou 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následek úrazù vzniklých váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	1768	-	-	-	-	-	15	121	205	251	433	373	212	133	25	-
E970	Sebevražda a sebepoškození analgetiky a uspávacími prostøedky	28	-	-	-	-	-	-	6	4	6	6	6	-	-	-	-
E971	Sebevražda a sebepoškození jinými pevnými látkami a tekutinami	46	-	-	-	-	-	-	8	5	6	10	11	5	1	-	-
E972	Sebevražda a sebepoškození plyny v domácím používání	144	-	-	-	-	-	2	10	26	26	43	20	14	3	-	-
E973	Sebevražda a sebepoškození jinými plyny	2	-	-	-	-	-	-	-	-	1	1	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	1166	-	-	-	-	-	12	36	117	159	286	280	149	108	19	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	49	-	-	-	-	-	-	1	4	5	8	6	13	9	3	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	138	-	-	-	-	-	1	40	23	16	29	20	7	2	-	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	32	-	-	-	-	-	-	-	4	2	12	8	4	2	-	-
E978	Sebevražda a sebepoškození  skokem s výše	59	-	-	-	-	-	-	1	6	11	11	10	14	4	2	-
E979	Sebevražda a sebepoškození  jinými prostøedky 	20	-	-	-	-	-	-	-	6	2	6	2	3	-	1	-
E97a	Sebevražda vlakem	84	-	-	-	-	-	-	19	10	17	21	10	3	4	-	-
																	
NA	Usmrcení a poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	43	4	1	2	1	-	4	6	5	7	4	6	3	-	-	-
E980	Úmyslné otrávení	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	8	-	-	-	-	-	2	2	1	2	1	-	-	-	-	-
E982	Napadení  nástroji øeznými a bodnými	15	1	-	-	-	-	-	3	3	2	2	3	1	-	-	-
E983	Napadení  jinými prostøedky	18	3	1	2	1	-	1	1	1	2	1	3	2	-	-	-
E984	Zranìní zpùsobená zákrokem policie	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E985	Poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Poranìní vzniklá váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
