1944	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
44b	Lymphogranulomatosy	43	-	-	-	6	9	4	7	7	9	1	-
44c	Epidemickı zánìt pøíušnic	-	-	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	6115	8	15	13	49	124	491	1028	1555	1832	1000	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	5	-	-	-	-	-	-	-	-	-	5	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	13	-	-	-	-	-	-	5	4	3	1	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	27	-	-	-	-	1	1	4	9	10	2	-
46a	Rakovina a jiné zhoubné nádory: jícnu	92	-	-	-	-	-	4	10	30	27	21	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	1638	2	-	-	5	9	40	170	414	646	352	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	380	-	-	-	-	6	18	52	80	144	80	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	225	-	-	-	-	6	19	40	50	71	39	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	621	-	-	-	2	2	19	81	180	223	114	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	167	1	1	-	5	4	19	18	45	49	25	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	52	-	-	-	-	1	5	9	20	12	5	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	99	-	-	-	-	5	3	20	35	30	6	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	2	-	-	-	-	-	1	-	-	-	1	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	28	1	-	-	1	1	2	3	7	8	5	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	162	-	1	1	4	5	17	26	44	57	7	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	-	-	-	-	-	-	-	-	-	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	104	-	-	-	-	7	19	28	36	10	4	-
48b	Rakovina a jiné zhoubné nádory: dìlohy	981	-	-	-	-	24	140	250	270	201	96	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	221	-	-	-	1	3	30	58	58	46	25	-
50	Rakovina a jiné zhoubné nádory: prsù	460	-	-	-	-	10	68	107	116	107	52	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	83	-	1	-	-	2	7	8	23	29	13	-
53	Rakovina a jiné zhoubné nádory: kùe	111	-	-	-	-	-	1	9	12	25	64	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	25	-	-	1	2	1	6	7	1	6	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	14	-	-	-	-	-	2	5	4	3	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	82	1	1	1	8	6	10	17	12	16	10	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	47	-	-	-	-	1	3	9	19	11	4	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	156	-	2	1	5	9	12	19	35	39	34	-
55	Carcinomatosy, sarkomatosy	20	-	-	-	-	-	1	5	6	6	2	-
55f	Metastasy bez udání prvotního místa	4	-	-	-	-	-	-	2	1	-	1	-
56a	Nádory nezhoubné: vajeèníku	35	-	-	-	2	5	7	11	2	5	3	-
56b	Nádory nezhoubné: dìlohy	31	-	-	-	-	2	10	12	2	3	2	-
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	3	-	-	-	-	-	-	1	-	1	1	-
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	8	-	-	-	2	3	1	2	-	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	6	-	1	-	1	-	-	1	1	1	1	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	5	-	-	1	2	1	-	-	1	-	-	-
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	36	-	1	-	-	-	4	4	6	11	10	-
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	1	-	-	-	1	-	-	-	-	-	-	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	101	1	6	5	8	10	20	23	14	9	5	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	70	2	1	3	-	-	2	12	18	23	9	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	838	34	16	53	40	19	45	91	187	236	117	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	67	-	6	43	7	2	3	3	2	1	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	11	-	-	1	4	-	2	-	-	2	2	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	132	-	-	1	1	3	2	8	24	41	52	-
60	Dna	1	-	-	-	-	-	-	-	-	1	-	-
61	Úplavice cukrová	461	-	1	5	21	9	17	54	136	162	56	-
62	Nemoci podvìsku mozkového	1	-	-	-	-	-	-	-	1	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	18	1	-	-	1	-	6	-	3	3	4	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	81	-	-	-	3	4	6	21	20	24	3	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	6	-	-	2	1	-	1	1	1	-	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	22	16	6	-	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	12	-	-	-	-	1	7	2	-	2	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	1	-	-	-	1	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	2	1	1	-	-	-	-	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	1	1	-	-	-	-	-	-	-	-	-	-
67	Kurdìje	1	-	-	-	-	-	-	1	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	19	13	2	1	1	-	1	1	-	-	-	-
71	Jiné avitaminosy	2	2	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	265	10	4	10	23	16	30	37	55	57	23	-
72a	Stavy krvácivé: purpury prvotní	9	2	-	-	-	-	2	2	2	1	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	1	-	-	-	1	-	-	-	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	92	-	-	-	3	2	4	11	22	35	15	-
73b	Chudokrevnost: jiná anaemie	38	3	1	1	4	3	5	4	3	8	6	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	107	4	2	7	13	11	16	17	23	12	2	-
74b	Leukaemie a aleukaemie: aleukaemie	4	-	-	1	1	-	1	-	1	-	-	-
75	Nemoci sleziny	6	-	1	-	-	-	1	1	2	1	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	6	-	-	1	1	-	1	1	2	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	2	1	-	-	-	-	-	1	-	-	-	-
													
V	Otravy vleklé	7	-	-	-	-	-	-	2	3	2	-	-
77a	Alkoholismus prudkı	1	-	-	-	-	-	-	-	1	-	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	6	-	-	-	-	-	-	2	2	2	-	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	-	-	-	-	-	-	-	-	-	-	-	-
													
DU		65	0	0	3	4	4	7	14	20	10	3	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3989	404	70	55	60	68	144	315	660	1084	1129	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	7	-	-	-	2	-	2	-	2	1	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	49	9	6	8	6	4	7	4	2	3	-	-
81	Zánìt plen mozkovıch prostı	151	45	32	17	13	8	11	7	9	6	3	-
82	Nemoci míchy	66	2	-	1	5	4	9	16	13	16	-	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2591	-	-	1	5	11	42	202	507	901	922	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	57	-	-	-	3	1	2	6	17	9	19	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	87	-	-	-	-	-	-	1	11	27	48	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	192	-	-	-	1	5	6	13	34	53	80	-
84a	Duševní nemoci a vady: slabomyslnost	9	-	-	3	1	1	-	2	2	-	-	-
84b	Duševní nemoci a vady: schoizophrenie	12	-	-	-	1	1	2	3	-	3	2	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	5	-	-	-	-	-	1	-	1	2	1	-
84d	Duševní nemoci a vady: jiné duševní poruchy	32	-	-	-	2	2	4	7	14	3	-	-
85	Padoucnice	63	-	-	8	6	11	13	11	2	11	1	-
86	Køeèe u dìtí do 5 let	312	290	22	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	-	-	1	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	13	-	-	-	-	-	2	3	2	2	4	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	33	-	-	-	-	-	-	4	9	10	10	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	157	-	-	-	3	12	33	25	22	30	32	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	32	-	-	7	6	3	3	5	5	1	2	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	117	56	10	10	6	5	7	6	8	5	4	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	3	2	-	-	-	-	-	-	-	-	1	-
													
VII	Nemoci ústrojí obìhu krevního	13078	34	28	81	151	198	458	733	1772	4179	5444	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	1	-	-	1	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	9	-	-	1	1	1	1	-	1	3	1	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	37	2	4	15	9	2	4	1	-	-	-	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	1145	-	4	26	48	69	122	131	199	313	233	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	99	-	-	3	10	9	11	21	21	19	5	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	51	1	4	2	1	3	7	7	5	10	11	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	200	-	-	-	1	-	7	16	38	76	62	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	6357	11	6	3	20	37	121	266	803	2129	2961	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1397	6	5	5	8	18	28	60	190	463	614	-
94a	Nemoci tepen vìnèitıch	54	-	-	-	-	1	1	5	12	20	15	-
94b	Angina srdeèní	117	-	-	-	-	-	2	13	31	45	26	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	73	-	-	3	3	-	3	11	13	29	11	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1953	12	4	21	43	53	122	169	342	665	522	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	8	-	-	-	1	-	2	2	-	1	2	-
97	Zkornatìní tepen	1384	-	-	-	-	1	6	19	94	359	905	-
98	Snì	75	1	-	1	1	-	1	2	5	17	47	-
99	Jiné nemoci tepen	37	-	-	-	-	3	6	3	1	12	12	-
100a	Nemoci il: mìstky	28	-	-	-	-	-	4	2	3	5	14	-
100b	Nemoci il: jiné nemoci il	37	-	-	-	2	1	8	4	11	10	1	-
101	Nemoci soustavy mízní	8	1	-	-	2	-	-	-	2	1	2	-
102	Essentielní zvıšení tlaku krevního	5	-	-	-	-	-	1	1	1	2	-	-
103	Jiné nemoci ústrojí obìhu krevního	3	-	1	-	1	-	1	-	-	-	-	-
													
VIII	Nemoci ústrojù dıchacích	5739	1906	294	53	58	72	131	217	467	1094	1447	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	1	1	-	-	-	-	-	-	-	-	-	-
105	Nemoci hrtanu	7	4	1	-	1	-	-	1	-	-	-	-
106a	Zánìt prùdušek: prudkı	103	66	5	-	-	-	-	3	2	8	19	-
106b	Zánìt prùdušek: vleklı	178	6	2	1	1	2	7	4	17	59	79	-
106c	Zánìt prùdušek: blíe neoznaèenı	221	83	10	1	-	-	1	7	11	31	77	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2791	1358	167	20	14	19	44	58	145	357	609	-
108	Lalokovı zánìt plic	919	121	43	16	19	20	34	69	131	259	207	-
109	Zánìt plic blíe neoznaèenı	839	244	45	5	9	13	22	33	65	189	214	-
110a	Zánìt pohrudnice: empyema thoracis	68	13	13	2	4	4	7	6	11	4	4	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	135	9	6	5	3	7	4	12	19	39	31	-
111a	Infarkt s krvácením, embolie a trombosa plic	44	-	-	1	1	3	3	10	15	4	7	-
111b	Hypostatickı zánìt a oedem plic	43	1	1	1	1	-	3	3	6	10	17	-
112	Záducha (asthma)	112	-	-	-	-	1	2	4	14	47	44	-
113	Rozedma plic	237	-	1	1	1	1	-	2	20	77	134	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	1	-	-	-	-	-	-	-	-	1	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	35	-	-	-	3	2	4	4	9	8	5	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	5	-	-	-	1	-	-	1	2	1	-	-
													
IX	Nemoci ústrojí zaívacího	2797	1232	78	81	72	92	135	229	309	339	230	-
115a	Nemoci mandlí a hltanu	72	19	5	6	5	7	6	6	12	2	4	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	9	4	-	-	-	2	-	-	1	1	1	-
116	Nemoci jícnu	2	-	-	1	1	-	-	-	-	-	-	-
117a	Vøed aludeèní	118	-	-	-	1	5	8	28	30	36	10	-
117b	Vøed dvanáctníkovı	26	-	-	-	1	3	1	11	6	3	1	-
118	Jiné nemoci aludku	22	-	-	-	-	-	2	3	4	5	8	-
119	Prùjem a katar støevní u dìtí do 2 let	1227	1182	45	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	89	-	6	12	4	2	3	6	12	20	24	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	5	-	-	-	-	-	1	-	1	2	1	-
121	Zánìt èervíkovitého pøívìsku	146	2	10	25	27	13	13	18	20	13	5	-
122a	Kıla	116	2	-	-	-	2	1	9	26	47	29	-
122b	Neprùchodnost støevní	211	8	1	6	8	12	17	21	39	46	53	-
123	Ostatní nemoci støevní	9	-	-	1	-	-	2	-	1	1	4	-
124a	Svraštìní jater: alkoholické	-	-	-	-	-	-	-	-	-	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	251	-	1	1	3	7	17	46	68	71	37	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	67	-	-	4	8	9	13	12	7	11	3	-
125b	Jiné nemoci jater: ostatní nemoci jater	41	-	1	2	1	2	6	4	9	9	7	-
126	Kaménky luèové	101	-	-	-	2	3	8	19	26	25	18	-
127	Jiné nemoci luèníku a luèovodù	99	1	-	-	-	6	6	16	23	32	15	-
128	Nemoci slinivky bøišní	13	-	-	-	-	1	2	4	4	1	1	-
129	Zánìt pobøišnice bez udání pøíèiny	173	14	9	23	11	18	29	26	20	14	9	-
													
X	Nemoci ústrojí moèového a pohlavního	1065	18	11	16	44	47	101	166	226	277	159	-
130	Prudkı zánìt ledvin	43	3	1	5	3	4	6	2	11	7	1	-
131	Vleklı zánìt ledvin	737	-	6	8	16	18	54	123	176	218	118	-
132	Zánìt ledvin nerozlišenı	79	1	2	2	9	3	7	8	11	26	10	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	60	12	1	-	5	5	6	5	6	11	9	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	14	-	-	-	1	-	3	1	3	1	5	-
134	Kaménky cest moèovıch	24	-	1	-	-	-	6	6	4	6	1	-
135a	Zánìt mìchıøe moèového	11	1	-	1	-	-	1	2	2	1	3	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	4	1	-	-	-	-	-	-	-	-	3	-
136	Nemoci roury moèové	12	-	-	-	1	1	1	-	3	3	3	-
137a	Nezhoubné nádory lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnìní lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	54	-	-	-	7	13	10	15	7	1	1	-
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	22	-	-	-	1	1	6	4	3	2	5	-
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	3	-	-	-	1	1	1	-	-	-	-	-
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	2	-	-	-	-	1	-	-	-	1	-	-
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	311	-	-	-	68	159	83	1	-	-	-	-
140	Potrat se sepsí	52	-	-	-	15	25	12	-	-	-	-	-
141	Potrat bez zmínky o sepsi	6	-	-	-	-	5	1	-	-	-	-	-
142	Tìhotenství mimodìloní	20	-	-	-	1	12	7	-	-	-	-	-
143a	Krvácení v tìhotenství: lùko vcestné	1	-	-	-	-	1	-	-	-	-	-	-
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	-	-	-	-	-	-	-	-	-	-	-	-
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	1	-	-	-	-	-	1	-	-	-	-	-
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	8	-	-	-	1	6	1	-	-	-	-	-
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	7	-	-	-	2	3	2	-	-	-	-	-
144c	Otrava krve v tìhotenství: jiné toxikosy	-	-	-	-	-	-	-	-	-	-	-	-
145	Jiné nemoci a pøíhody tìhotenství	2	-	-	-	-	2	-	-	-	-	-	-
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	22	-	-	-	1	11	9	1	-	-	-	-
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	-	-	-	-	-	-	-	-	-	-	-	-
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	3	-	-	-	-	2	1	-	-	-	-	-
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	26	-	-	-	9	10	7	-	-	-	-	-
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	90	-	-	-	23	47	20	-	-	-	-	-
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	2	-	-	-	-	2	-	-	-	-	-	-
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	4	-	-	-	1	3	-	-	-	-	-	-
148a	Toxikosy ve stavu poporodním: eclampsie	23	-	-	-	6	13	4	-	-	-	-	-
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	2	-	-	-	-	1	1	-	-	-	-	-
