1950	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
E852	Pád se schodù nebo žebøíku pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E853	Jiný pád do hloubky pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E854	Pád na rovinì pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E855	Neoznaèený pád pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E856	Úraz stroji pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E857	Jiný oznaèený úraz pøi vodní dopravì	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E858	Úraz pøi vodní dopravì neurèené povahy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
D6	Letecké úrazy 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E860	Úraz zpùsobený posádce vojenské letadla	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E861	Poranìní zpùsobené cestujícím pøi nehodách dopravních letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E862	Jiné poranìní v dopravních letadlech	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E863	Poranìní zpùsobené cestujícím pøi nehodách jiných letadel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E864	Letecký úraz zpùsobený na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E865	Letecký úraz zpùsobený jinde než na letišti osobám mimo letadlo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E866	Jiný a blíže neoznaèený letecký úraz 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné otravy látkami pevnými a tekutinami	30	3	-	2	2	-	-	4	5	5	5	3	1	-	-	-
E870	Náhodná otrava morfiem a jinými deriváty opia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E871	Náhodná otrava kyselinou barbiturovou a jejími deriváty	4	1	-	-	-	-	-	1	1	-	-	1	-	-	-	-
E872	Náhodná otrava aspirinem a salicyláty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E873	Náhodná otrava bromidy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E874	Náhodná otrava jinými analgetiky a uspávacími prostøedky	1	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-
E875	Náhodná otrava sulfonamidy	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E876	Náhodná otrava strychninem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E877	Náhodná otrava belladonou, skopolaminem a atropinem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E878	Náhodná otrava jinými a neurèenými léèivy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	6	-	-	2	1	-	-	-	-	-	1	2	-	-	-	-
E880	Náhodná otrava alkoholem	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
E881	Náhodná otrava naftovými produkty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	2	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	13	2	-	-	-	-	-	2	4	5	-	-	-	-	-	-
																	
	Náhodné otravy plynem a parami	59	1	3	4	1	2	2	5	4	4	4	5	12	9	3	-
E890	Náhodná otrava svítiplynem	14	-	-	-	-	1	-	3	-	-	2	1	3	3	1	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	41	-	3	3	1	1	2	2	4	4	2	3	8	6	2	-
E893	Náhodná otrava kyanovodíkem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny a parami	2	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E895	Náhodná otrava neurèenými plyny a parami	2	-	-	-	-	-	-	-	-	-	-	1	1	-	-	-
																	
	Náhodné pády	79	-	1	-	-	2	3	2	2	2	4	10	17	26	10	-
E900	Pád na schodech 	10	-	-	-	-	-	-	-	-	-	-	2	2	4	2	-
E901	Pád se žebøíku 	4	-	-	-	-	-	-	1	-	-	-	1	1	1	-	-
E902	Jiný pád do hloubky	24	-	1	-	-	2	3	-	2	1	2	3	4	5	1	-
E903	Pád na rovinì	9	-	-	-	-	-	-	-	-	-	-	1	2	4	2	-
E904	Neurèený pád 	32	-	-	-	-	-	-	1	-	1	2	3	8	12	5	-
																	
	Jiné náhodné úrazy	547	27	30	32	11	8	50	41	33	41	55	57	67	72	23	-
E910	Náhodný úraz zpùsobený padajícími pøedmìty	5	-	1	-	-	-	2	-	-	-	-	1	1	-	-	-
E911	Náhodný úraz zpùsobený vozidly	3	-	-	1	-	-	-	-	-	-	-	-	1	1	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	6	-	-	-	-	-	-	1	1	-	1	1	2	-	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	3	-	-	-	-	-	-	-	2	1	-	-	-	-	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	12	-	-	1	-	-	5	3	1	-	2	-	-	-	-	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	63	-	2	5	1	-	3	6	3	7	6	3	10	12	5	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	42	5	8	11	6	2	2	-	-	-	1	2	4	1	-	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	9	-	-	-	-	-	2	1	2	-	4	-	-	-	-	-
E920	Cizí tìleso vniklé do oka a jeho adnexù	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E921	Vdechnutí nebo vniknutí potravy do hrtanu a jiných cest dýchacích pùsobící ucpání nebo udušení	11	4	2	-	-	-	-	1	-	-	3	1	-	-	-	-
E922	Vdechnutí nebo vniknutí jiných pøedmìtù do hrtanu pùsobící ucpání nebo udušení	2	-	-	-	-	-	-	-	-	-	-	-	-	1	1	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	9	7	1	-	-	-	-	-	1	-	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	12	5	1	-	1	-	-	-	1	-	1	1	-	2	-	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Náhodný úraz zpùsobený kousnutím nebo uštknutím  jedovatými  živoèichy a hmyzem	1	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	11	-	-	-	-	1	1	-	-	2	2	1	2	1	1	-
E929	Náhodné tonutí	81	4	12	13	1	1	16	6	3	8	3	6	2	4	2	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E932	Nadmìrný chlad	5	-	-	-	-	-	-	-	-	-	1	-	3	1	-	-
E933	Hlad, žízeò a  jiné strádání 	3	-	-	-	-	-	1	-	-	-	-	-	-	2	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	9	-	-	-	-	-	-	1	4	2	-	1	1	-	-	-
E936	Jiný a neurèený náhodný úraz	252	1	3	1	2	4	18	21	14	18	31	40	38	47	14	-
E937	Úraz v dolech, v lomech	4	-	-	-	-	-	-	1	-	2	-	-	1	-	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku (encephalitis) povakcinaèní	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování po neštovicích	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Žloutenka a hepatitis po profylaktické injekci sera a podobné imunisaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii v pøípadech neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace zpùsobené neléèebnými lékaøskými zákroky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E954	Léèebná nehoda pøi anestesii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E956	Pozdní komplikace chirurgických operací	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E959	Pozdní komplikace jiných druhù léèení	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Pozdní následky otrav a úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následky úrazù zpùsobených úmyslnì jinou osobou (ne ve válce)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následky úrazù vzniklých váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	572	-	-	-	-	-	1	54	60	103	128	94	77	53	2	-
E970	Sebevražda a sebepoškození otravou analgetiky a uspávacími prostøedky	9	-	-	-	-	-	-	-	1	2	4	2	-	-	-	-
E971	Sebevražda a sebepoškození otravou jinými pevnými látkami a tekutinami	52	-	-	-	-	-	-	13	8	11	11	7	2	-	-	-
E972	Sebevražda a sebepoškození otravou plyny v domácím používání	83	-	-	-	-	-	1	9	15	17	11	9	11	10	-	-
E973	Sebevražda a sebepoškození otravou jinými plyny	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	248	-	-	-	-	-	-	11	17	41	61	53	41	22	2	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	73	-	-	-	-	-	-	4	-	15	20	12	12	10	-	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	20	-	-	-	-	-	-	5	8	1	3	1	2	-	-	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	8	-	-	-	-	-	-	-	2	2	2	-	1	1	-	-
E978	Sebevražda a sebepoškození  skokem s vysokého místa	27	-	-	-	-	-	-	2	-	5	5	4	4	7	-	-
E979	Sebevražda a sebepoškození  jinými a blíže neurèenými prostøedky 	51	-	-	-	-	-	-	10	9	9	10	6	4	3	-	-
E97a	Sebevražda vlakem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
NA	Usmrcení nebo poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	79	13	-	1	-	2	12	17	6	9	13	2	3	1	-	-
E980	Úmyslné otrávení	1	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	28	1	-	-	-	1	6	8	5	6	1	-	-	-	-	-
E982	Napadení  nástroji øeznými a bodnými	9	-	-	1	-	-	1	3	-	1	3	-	-	-	-	-
E983	Napadení  jinými prostøedky	40	12	-	-	-	1	4	6	1	2	8	2	3	1	-	-
E984	Zranìní zpùsobená zákrokem policie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E985	Poprava	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
