1942	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	52	-	-	6	7	4	5	6	10	12	2	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	54	3	10	2	1	2	1	9	8	9	9	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	82	-	-	3	1	1	1	4	18	30	24	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	5099	3	7	18	18	45	165	362	867	1712	1902	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1093	-	4	8	11	14	24	67	202	364	399	-
94a	Nemoci tepen vìnèitıch	122	-	-	-	-	1	7	22	38	38	16	-
94b	Angina srdeèní	320	-	-	-	-	2	21	55	104	102	36	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	47	-	2	1	3	-	5	9	4	10	13	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1529	6	10	21	27	45	83	178	335	477	347	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	6	-	-	-	-	-	1	2	3	-	-	-
97	Zkornatìní tepen	1163	-	-	-	-	1	5	27	94	335	701	-
98	Snì	104	7	-	-	2	2	5	5	14	25	44	-
99	Jiné nemoci tepen	49	-	-	1	2	1	5	9	11	12	8	-
100a	Nemoci il: mìstky	32	-	-	-	-	1	-	-	4	12	15	-
100b	Nemoci il: jiné nemoci il	25	-	-	-	-	2	2	7	5	3	6	-
101	Nemoci soustavy mízní	10	1	2	1	1	1	-	-	1	2	1	-
102	Essentielní zvıšení tlaku krevního	7	-	-	-	-	-	-	-	1	5	1	-
103	Jiné nemoci ústrojí obìhu krevního	5	1	-	-	-	-	1	-	1	1	1	-
													
VIII	Nemoci ústrojù dıchacích	6742	1992	338	105	103	119	283	398	803	1284	1317	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	5	2	-	2	1	-	-	-	-	-	-	-
105	Nemoci hrtanu	13	4	3	2	-	-	-	2	1	-	1	-
106a	Zánìt prùdušek: prudkı	108	75	11	1	-	-	3	1	4	1	12	-
106b	Zánìt prùdušek: vleklı	235	4	-	1	1	-	2	18	46	72	91	-
106c	Zánìt prùdušek: blíe neoznaèenı	274	109	13	2	1	-	2	5	25	53	64	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2734	1314	186	25	28	24	69	78	186	360	464	-
108	Lalokovı zánìt plic	1175	150	53	29	29	48	101	121	201	269	174	-
109	Zánìt plic blíe neoznaèenı	1067	295	42	25	22	24	44	73	129	193	220	-
110a	Zánìt pohrudnice: empyema thoracis	140	20	15	8	12	11	15	20	15	18	6	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	207	14	11	6	6	3	11	24	40	52	40	-
111a	Infarkt s krvácením, embolie a trombosa plic	52	-	1	-	-	2	3	8	14	19	5	-
111b	Hypostatickı zánìt a oedem plic	31	-	1	-	1	1	2	1	2	9	14	-
112	Záducha (asthma)	178	1	-	-	-	1	8	6	38	65	59	-
113	Rozedma plic	388	2	1	-	-	2	5	15	61	143	159	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	16	-	-	-	-	-	2	2	7	4	1	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	112	2	1	3	2	2	15	23	32	26	6	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	7	-	-	1	-	1	1	1	2	-	1	-
													
IX	Nemoci ústrojí zaívacího	3532	1226	128	95	96	144	272	419	499	408	245	-
115a	Nemoci mandlí a hltanu	108	25	23	14	8	8	8	7	8	2	5	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	9	2	-	-	1	1	1	3	1	-	-	-
116	Nemoci jícnu	12	-	1	-	-	-	1	1	1	3	5	-
117a	Vøed aludeèní	594	-	1	-	6	35	98	165	181	82	26	-
117b	Vøed dvanáctníkovı	146	-	-	-	2	20	36	41	24	21	2	-
118	Jiné nemoci aludku	33	-	-	1	-	1	3	2	4	7	15	-
119	Prùjem a katar støevní u dìtí do 2 let	1203	1150	53	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	103	-	20	17	4	3	8	4	11	13	23	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	17	-	-	-	1	2	1	3	3	5	2	-
121	Zánìt èervíkovitého pøívìsku	217	2	17	43	34	29	25	27	18	17	5	-
122a	Kıla	158	11	-	-	1	2	8	9	24	51	52	-
122b	Neprùchodnost støevní	207	12	2	4	9	12	25	23	37	46	37	-
123	Ostatní nemoci støevní	14	1	-	1	1	1	2	2	-	3	3	-
124a	Svraštìní jater: alkoholické	8	-	-	-	-	-	-	4	2	2	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	372	-	1	2	2	8	20	78	116	109	36	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	62	-	1	3	6	7	8	10	14	6	7	-
125b	Jiné nemoci jater: ostatní nemoci jater	31	2	1	1	3	1	2	6	5	5	5	-
126	Kaménky luèové	26	-	-	-	-	1	1	4	7	8	5	-
127	Jiné nemoci luèníku a luèovodù	36	-	1	-	1	1	1	8	9	8	7	-
128	Nemoci slinivky bøišní	17	-	-	1	1	2	3	3	2	4	1	-
129	Zánìt pobøišnice bez udání pøíèiny	159	21	7	8	16	10	21	19	32	16	9	-
													
X	Nemoci ústrojí moèového a pohlavního	1766	14	16	20	32	53	98	195	316	527	495	-
130	Prudkı zánìt ledvin	48	2	6	7	7	4	6	4	6	4	2	-
131	Vleklı zánìt ledvin	811	1	3	5	20	36	64	146	204	233	99	-
132	Zánìt ledvin nerozlišenı	117	4	7	7	4	5	12	18	14	27	19	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	61	7	-	-	-	3	5	5	11	18	12	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	16	-	-	1	1	1	1	6	2	4	-	-
134	Kaménky cest moèovıch	46	-	-	-	-	3	4	2	13	12	12	-
135a	Zánìt mìchıøe moèového	35	-	-	-	-	1	-	1	2	12	19	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	7	-	-	-	-	-	-	1	-	-	6	-
136	Nemoci roury moèové	39	-	-	-	-	-	1	2	8	19	9	-
137a	Nezhoubné nádory lázy pøedstojné	24	-	-	-	-	-	1	-	3	11	9	-
137b	Zbytnìní lázy pøedstojné	531	-	-	-	-	-	-	8	51	177	295	-
137c	Ostatní nemoci lázy pøedstojné	23	-	-	-	-	-	2	1	2	7	11	-
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	8	-	-	-	-	-	2	1	-	3	2	-
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	x	x	x	x	x	x	x	x	x	x	x	x
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x
142	Tìhotenství mimodìloní	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v tìhotenství: lùko vcestné	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v tìhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a pøíhody tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	x	x	x	x	x	x	x	x	x	x	x	x
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	x	x	x	x	x	x	x	x	x	x	x	x
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	x	x	x	x	x	x	x	x	x	x	x	x
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148a	Toxikosy ve stavu poporodním: eclampsie	x	x	x	x	x	x	x	x	x	x	x	x
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	x	x	x	x	x	x	x	x	x	x	x	x
