21;Pøíjice získaná;13;-;-;-;-;-;-;-;-;-;3;1;4;5;-;-;"";"";"";"";"";"";""
22;Vıdu srdeènice;14;-;-;-;-;-;-;-;1;-;-;5;6;2;-;-;"";"";"";"";"";"";""
23;Ostatní druhy pøíjice soustavy cevní;46;-;-;-;-;-;-;-;-;-;5;24;10;6;1;-;"";"";"";"";"";"";""
24;Úbytì míchy;20;-;-;-;-;-;-;-;-;-;3;5;6;6;-;-;"";"";"";"";"";"";""
25;Progresivní paralysa;9;-;-;-;-;-;-;-;-;-;1;1;6;-;1;-;"";"";"";"";"";"";""
26;Ostatní druhy pøíjice centrálního nervstva;7;-;-;-;-;-;-;-;-;-;1;3;3;-;-;-;"";"";"";"";"";"";""
27;Jiné druhy pozdní pøíjice;4;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;"";"";"";"";"";"";""
28;Latentní pøíjice;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;"";"";"";"";"";"";""
29;Pøíjice blíe neurèená;3;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;"";"";"";"";"";"";""
30;Kapavka akutní nebo blíe neurèená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
31;Chronická gonokokové onemocnìní ústrojí moèového a pohlavního;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
32;Gonokokové onemocnìní kloubù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
33;Gonokokové onemocnìní oèní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
34;Gonokokové onemocnìní jinıch orgánù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
35;Pozdní následky gonokokové onemocnìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
36;Mìkkı vøed;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
37;Lymphogranuloma venereum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
38;Granuloma venereum;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
39;Jiné nebo blíe neurèené pohlavní nemoci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
40;Bøišní tyfus;5;-;-;-;-;1;-;-;-;-;-;2;1;1;-;-;"";"";"";"";"";"";""
41;Paratyfus;5;-;-;-;-;-;-;-;-;1;-;-;1;1;2;-;"";"";"";"";"";"";""
42;Jiné nakalivé nemoci zpùsobené salmonelami;5;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;"";"";"";"";"";"";""
43;Cholera;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
44;Horeèka vlnivá;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
45;Úplavice bacilární;10;1;1;1;-;-;-;-;-;-;-;3;2;2;-;-;"";"";"";"";"";"";""
46;Úplavice amoebová;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
47;Jiné úplavice protozoární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
48;Blíe neurèené formy úplavice;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
49;Otravy potravinami;3;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;"";"";"";"";"";"";""
50;Spála;3;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
51;Angina streptokoková;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
52;Rùe;29;1;-;-;-;-;-;-;-;-;3;2;8;12;3;-;"";"";"";"";"";"";""
53;Sepse prostá i s metastasami;11;2;-;-;-;-;-;-;1;2;1;2;3;-;-;-;"";"";"";"";"";"";""
54;Bakteriální otrava krve;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
55;Záškrt;18;1;1;-;-;1;6;1;3;3;-;1;1;-;-;-;"";"";"";"";"";"";""
56;Dávivı kašel;10;6;3;-;-;1;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
57;Meningokokové nákazy;5;-;2;1;1;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
58;Mor;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
59;Tularemie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
60;Malomocenství;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
61;Ztrnutí;16;-;-;-;-;1;-;-;-;-;3;4;5;2;1;-;"";"";"";"";"";"";""
62;Uhlák;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
63;Snì plynatá;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
64;Jiné bakteriální nemoci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
70;Vincentova angina;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;"";"";"";"";"";"";""
71;Návratná horeèka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
72;Weilova nemoc;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
73;Framboesia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
74;Jiná spirochaetová a leptospirová onemocnìní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
80;Prudká obrna dìtská;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
81;Pozdní následky prudké dìtské obrny;6;-;-;-;-;-;-;-;1;1;1;2;1;-;-;-;"";"";"";"";"";"";""
82;Prudkı infekèní zánìt mozku;14;1;1;-;-;-;-;-;-;1;5;3;2;1;-;-;"";"";"";"";"";"";""
83;Pozdní následky epidemického zánìtu mozku;9;-;-;-;-;-;-;-;-;-;4;1;4;-;-;-;"";"";"";"";"";"";""
84;Neštovice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
85;Spalnièky;32;5;12;8;3;1;2;1;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
86;Zardìnky;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
87;Plané neštovice;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
88;Pásovı opar;3;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;"";"";"";"";"";"";""
89;Epidemickı zánìt pøíušnic;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
90;Dengue;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
91;lutá zimnice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
92;Epidemickı zánìt jater;43;1;-;-;1;-;3;2;1;4;7;13;9;2;-;-;"";"";"";"";"";"";""
93;Infekèní mononucleosa;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
94;Vzteklina;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
95;Trachom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
96;Ostatní nemoci pøipisované virùm;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
100;Skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
101;Endemická skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
102;Americká skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
103;Mexická skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
104;Rocky-Mountainská skvrnivka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
105;Skvrnivka pøenášená roztoèi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
106;Volyòská zimnice;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
107;Skvrnivka blíe neurèená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
108;Ostatní rickettsiosy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
110;Malarie tøídenní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
111;Malarie ètvrtodenní;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
112;Malarie zhoubná;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
113;Malarie zpùsobená plasmodiem ovale;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
114;Smíšené malarické infekce;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
115;Biliosní haemoglobinurická horeèka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
116;Jiné a blíe neurèené formy malarie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
117;Recidivující malarie po naoèkování;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
120;Leishmaniosy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
121;Trypanosomiasy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
122;Ostatní nemoci zpùsobené protozoy;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
123;Schistosomiasis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
124;Nemoci zpùsobené ostatními trematody;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
125;Mìchoil;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
126;Jiné infekce cestody;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
127;Filariasis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
128;Trichinellosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
129;Ankylostomiasis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
130;Onemocnìní jinımi hlísty, smíšená nebo blíe neurèená;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
131;Dermatophytosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
132;Actinomycosis;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;"";"";"";"";"";"";""
133;Coccidiodomycosis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
134;Ostatní plísòová onemocnìní;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
135;Svrab;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
136;Zavšivení;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
137;Ostatní nemoci zpùsobené èlenovci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
138;Ostatní pøenosné a cizopasné nemoci;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
II;Novotvary;8 901;4;3;6;11;7;37;53;176;354;1 347;2 267;2 719;1 652;265;-;"";"";"";"";"";"";""
140;Zhoubnı novotvar rtu;4;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;"";"";"";"";"";"";""
141;Zhoubnı novotvar jazyka;10;-;-;-;-;-;-;-;-;-;1;3;1;4;1;-;"";"";"";"";"";"";""
142;Zhoubnı novotvar slinnıch láz;12;-;-;-;-;-;-;-;1;1;2;4;1;3;-;-;"";"";"";"";"";"";""
143;Zhoubnı novotvar spodiny ústní;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;"";"";"";"";"";"";""
144;Zhoubnı novotvar jinıch èástí úst a zhoubnı novotvar neurèené èásti dutiny ústní;20;-;-;-;-;-;-;-;1;1;2;5;4;6;1;-;"";"";"";"";"";"";""
145;Zhoubnı novotvar ústní èástí hltanu a mandlí;8;-;1;-;-;-;-;-;-;1;1;2;2;1;-;-;"";"";"";"";"";"";""
146;Zhoubnı novotvar nosohltanu;5;-;-;-;-;-;-;-;-;-;2;2;1;-;-;-;"";"";"";"";"";"";""
147;Zhoubnı novotvar hrtanové èásti hltanu;5;-;-;-;-;-;-;-;-;-;1;1;3;-;-;-;"";"";"";"";"";"";""
148;Zhoubnı novotvar neurèené èásti hltanu;2;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;"";"";"";"";"";"";""
150;Zhoubnı novotvar jícnu;52;-;-;-;-;-;-;-;1;-;2;10;24;13;2;-;"";"";"";"";"";"";""
151;Zhoubnı novotvar aludku;1 827;-;-;-;-;-;-;1;17;30;140;430;657;473;79;-;"";"";"";"";"";"";""
152;Zhoubnı novotvar tenkého støeva a dvanácterníku;17;-;-;-;-;-;-;-;-;-;4;1;7;5;-;-;"";"";"";"";"";"";""
153;Zhoubnı novotvar tlustého støeva vyjma koneèníku;407;-;-;-;-;-;-;-;2;13;49;86;137;102;18;-;"";"";"";"";"";"";""
154;Zhoubnı novotvar koneèníku;352;-;-;-;-;-;-;1;1;7;49;79;120;86;9;-;"";"";"";"";"";"";""
155;Zhoubnı novotvar luèovıch cest a jater (urèenı jako primární);858;1;-;-;1;-;2;1;1;8;68;217;334;194;31;-;"";"";"";"";"";"";""
156;Zhoubnı novotvar jater (sekundární nebo neurèenı);2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;"";"";"";"";"";"";""
157;Zhoubnı novotvar slinivky bøišní;249;-;-;-;-;-;-;-;3;2;31;75;96;39;3;-;"";"";"";"";"";"";""
158;Zhoubnı novotvar pobøišnice;62;-;1;-;-;-;-;-;-;3;5;16;22;14;1;-;"";"";"";"";"";"";""
159;Zhoubnı novotvar neurèené èásti trávicího ústrojí;192;-;-;1;-;-;-;-;3;2;15;41;67;51;12;-;"";"";"";"";"";"";""
160;Zhoubnı novotvar nosu, dutiny nosní, støedního ucha a vedlejších dutin;8;-;-;-;-;-;-;-;-;-;1;3;1;2;1;-;"";"";"";"";"";"";""
161;Zhoubnı novotvar hrtanu;20;-;-;-;-;-;-;-;-;-;3;5;6;3;3;-;"";"";"";"";"";"";""
162;Zhoubnı novotvar prùdušnice, prùdušek, plic, urèenı jako primární;435;-;-;-;-;-;-;2;6;17;55;109;161;76;9;-;"";"";"";"";"";"";""
163;Zhoubnı novotvar plic a prùdušek, neurèenı jako primární nebo sekundární;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
164;Zhoubnı novotvar mezihrudí;22;-;-;-;-;-;1;1;2;2;5;7;4;-;-;-;"";"";"";"";"";"";""
165;Zhoubnı novotvar hrudních orgánù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
170;Zhoubnı novotvar prsù;1 018;-;-;-;-;-;-;1;17;62;256;257;251;150;24;-;"";"";"";"";"";"";""
171;Zhoubnı novotvar hrdla dìloního;549;-;-;-;-;-;-;-;28;66;154;152;93;47;9;-;"";"";"";"";"";"";""
172;Zhoubnı novotvar tìla dìloního;100;-;-;-;-;-;-;-;-;2;15;41;28;14;-;-;"";"";"";"";"";"";""
173;Zhoubnı novotvar jinıch èástí dìlohy a chorioepitheliom;10;-;-;-;-;-;-;-;-;2;3;2;2;1;-;-;"";"";"";"";"";"";""
174;Zhoubnı novotvar neurèené èásti dìlohy;457;-;-;-;-;-;-;-;7;17;94;142;124;70;3;-;"";"";"";"";"";"";""
175;Zhoubnı novotvar vajeèníku, vejcovodu, širokého vazu;542;-;-;-;1;-;1;1;10;25;139;170;141;51;3;-;"";"";"";"";"";"";""
176;Zhoubnı novotvar jinıch nebo blíe neurèenıch enskıch orgánù pohlavních;145;1;-;-;-;-;-;-;5;3;27;37;46;25;1;-;"";"";"";"";"";"";""
177;Zhoubnı novotvar pøedstojné lázy;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
178;Zhoubnı novotvar varlat;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
179;Zhoubnı novotvar jinıch nebo blíe neurèenıch muskıch pohlavních orgánù;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
180;Zhoubnı novotvar ledvin;178;-;1;1;2;2;2;-;1;6;24;52;66;21;-;-;"";"";"";"";"";"";""
181;Zhoubnı novotvar moèového mìchıøe a ostatních moèovıch orgánù;75;-;-;-;-;-;-;-;2;-;3;17;21;29;3;-;"";"";"";"";"";"";""
190;Zhoubnı melanom kùe;18;-;-;-;-;-;-;1;1;2;4;4;3;-;3;-;"";"";"";"";"";"";""
191;Ostatní zhoubné novotvary kùe;94;-;-;-;-;-;-;2;5;4;7;17;15;22;22;-;"";"";"";"";"";"";""
192;Zhoubnı novotvar oka;11;-;-;-;-;-;-;1;-;-;1;3;1;4;1;-;"";"";"";"";"";"";""
193;Zhoubnı novotvar mozku a jinıch èástí ústrojí nervového;179;1;-;-;3;3;13;9;15;16;37;48;26;6;2;-;"";"";"";"";"";"";""
194;Zhoubnı novotvar štítné lázy;93;-;-;-;-;-;1;1;4;3;13;21;25;21;4;-;"";"";"";"";"";"";""
195;Zhoubnı novotvar ostatních láz s vnitøní sekrecí;12;-;-;-;-;-;-;2;-;3;-;4;3;-;-;-;"";"";"";"";"";"";""
196;Zhoubnı novotvar kostí (i èelistí);108;-;-;1;-;-;1;3;6;7;20;23;29;14;4;-;"";"";"";"";"";"";""
197;Zhoubnı novotvar pojiva;2;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;"";"";"";"";"";"";""
198;Zsekundární nebo blíe neurèené zhoubné novotvary mízních uzlin;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
199;Zhoubnı novotvar jiného nebo blíe neurèeného umístìní;175;-;-;1;1;-;1;2;6;11;20;36;56;35;6;-;"";"";"";"";"";"";""
200;Lymfosarkom a retikulosarkom;75;-;-;-;-;-;-;3;1;5;14;15;24;13;-;-;"";"";"";"";"";"";""
201;Hodgkinova nemoc;87;-;-;-;-;-;-;11;7;11;14;18;20;6;-;-;"";"";"";"";"";"";""
202;Jiné druhy lymfomù;8;-;-;-;-;-;1;1;-;1;2;-;2;1;-;-;"";"";"";"";"";"";""
203;Mnohoèetnı myelom;44;-;-;-;-;-;-;-;1;-;6;17;14;6;-;-;"";"";"";"";"";"";""
204;Leukaemie a aleukie;251;1;-;2;3;2;13;7;17;16;34;67;60;27;2;-;"";"";"";"";"";"";""
205;Mycosis fungoides;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
210;Nezhoubnı novotvar dutiny ústní a hltanu;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
211;Nezhoubnı novotvar ostatních èástí trávicího ústrojí;6;-;-;-;-;-;-;-;1;-;1;-;2;1;1;-;"";"";"";"";"";"";""
212;Nezhoubnı novotvar dıchacího ústrojí;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;"";"";"";"";"";"";""
213;Nezhoubnı novotvar prsù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
214;Fibromyom dìlohy;10;-;-;-;-;-;-;-;-;1;4;2;1;1;1;-;"";"";"";"";"";"";""
215;Ostatní nezhoubné novotvary dìlohy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
216;Nezhoubnı novotvar vajeèníku;9;-;-;-;-;-;-;-;-;1;1;2;2;2;1;-;"";"";"";"";"";"";""
217;Nezhoubnı novotvar ostatních enskıch pohlavních orgánù;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;"";"";"";"";"";"";""
218;Nezhoubnı novotvar muskıch pohlavních orgánù;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;"";"";"";"";"";"";""
219;Nezhoubnı novotvar ledvin a moèovıch cest;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
220;Nezhoubnı melanom kùe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
221;Pilonidální cysta;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
222;Ostatní nezhoubné novotvary kùe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
223;Nezhoubnı novotvar mozku a jinıch èástí ústrojí nervového;30;-;-;-;-;-;-;1;-;-;9;10;6;4;-;-;"";"";"";"";"";"";""
224;Nezhoubnı novotvar láz s vnitøní sekrecí;3;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;"";"";"";"";"";"";""
225;Nezhoubnı novotvar kostí a chrupek;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
226;Lipom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
227;Jiné nezhoubné novotvary svalù a vaziva;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
228;Haemangiom;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
229;Nezhoubné novotvary ostatních nebo blíe neurèenıch orgánù a tkání;3;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;"";"";"";"";"";"";""
230;Novotvar neurèené povahy trávicího ústrojí;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;"";"";"";"";"";"";""
231;Novotvar neurèené povahy dıchacího ústrojí;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;"";"";"";"";"";"";""
232;Novotvar neurèené povahy prsù;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
233;Novotvar neurèené povahy dìlohy;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;"";"";"";"";"";"";""
234;Novotvar neurèené povahy vajeèníkù;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;"";"";"";"";"";"";""
235;Novotvar neurèené povahy ostatních enskıch pohlavních orgánù;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
236;Novotvar neurèené povahy jinıch pohlavních a moèovıch orgánù;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;"";"";"";"";"";"";""
237;Novotvar neurèené povahy mozku a jinıch èástí ústrojí nervového;19;-;-;-;-;-;-;-;4;1;3;7;3;1;-;-;"";"";"";"";"";"";""
238;Novotvar neurèené povahy kùe,soustavy svalové a kosterní;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;"";"";"";"";"";"";""
239;Novotvar neurèené povahy ostatních nebo blíe neurèenıch orgánù;6;-;-;-;-;-;-;1;-;-;-;-;3;1;1;-;"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
III;Nemoci allergické, láz s vnitøní sekrecí, vımìny látkové a vıivy;1 307;10;2;-;1;-;2;3;10;23;84;308;554;284;26;-;"";"";"";"";"";"";""
