1931	Zemřelé ženy podle podrobného seznamu příčin smrti a věku											
MKN (1929)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65 a více	Nezjiš- těno
36c	Hnisavá nákaza a otrava krve nikoli poporodní: sněť plynová	2	-	-	-	-	-	-	1	1	-	-
38a	Zimnice malarická	-	-	-	-	-	-	-	-	-	-	-
38b	Kachexie malarická	-	-	-	-	-	-	-	-	-	-	-
39	Jiné nemoci, zaviněné cizopasnými prvoky	1	-	-	-	-	-	-	-	1	-	-
40	Ankylostomiasa	1	-	-	-	1	-	-	-	-	-	-
41a	Boubel měchožilová jater	1	-	-	-	-	1	-	-	-	-	-
41b	Boubel měchožilová jiných míst	1	-	-	-	-	-	-	-	-	1	-
42	Jiné nemoci zaviněné červy	1	-	1	-	-	-	-	-	-	-	-
43	Mykosy	5	1	-	-	-	2	1	1	-	-	-
44	Jiné nemoci nakažlivé nebo cizopasníky působené	7	4	2	1	-	-	-	-	-	-	-
												
II	Rakoviny a jiné nádory	8048	12	18	32	56	216	638	1383	2076	3614	3
45	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu	79	-	-	1	-	2	6	9	22	39	-
												
46a	Rakovina a jiné zhoubné nádory: požeráku	104	-	-	-	-	2	8	22	25	47	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	2925	1	-	-	2	21	102	367	778	1652	2
46c	Rakovina a jiné zhoubné nádory: konečníku	244	-	-	-	-	4	16	33	80	111	-
46d	Rakovina a jiné zhoubné nádory: jater a žlučovodů	778	-	-	-	3	6	39	101	233	396	-
46	Rakovina a jiné zhoubné nádory: slinivky břišní	36	-	-	-	1	-	2	10	8	15	-
46f	Rakovina a jiné zhoubné nádory: pobřišnice	109	-	-	1	1	5	11	22	31	38	-
46g	Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice	503	-	1	1	1	6	19	68	124	283	-
47	Rakovina a jiné zhoubné nádory: ústrojí dýchacího	110	-	1	-	4	4	10	13	39	39	-
48	Rakovina a jiné zhoubné nádory: dělohy	1308	-	-	1	1	54	205	353	364	330	-
49	Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských	255	-	1	2	4	15	32	66	58	77	-
50	Rakovina a jiné zhoubné nádory: prsů	510	-	-	-	2	18	73	130	125	162	-
51	Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: kůže	245	-	2	1	1	5	4	16	77	139	-
53	Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených	441	6	5	8	17	24	49	85	58	189	-
												
54a	Nádory nezhoubné: pohlavních ústrojů ženských	70	-	-	-	1	5	20	27	5	11	1
54b	Nádory nezhoubné: jiných ústrojů	24	2	-	1	1	3	3	4	4	6	-
												
55a	Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských	47	-	-	-	-	5	8	9	7	18	-
55b	Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů	260	3	8	16	17	37	31	48	38	62	-
												
III	Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové	1094	104	39	34	37	40	66	121	224	429	-
56	Rheumatismus kloubní prudký, horečnatý	39	-	-	9	8	6	7	2	2	5	-
57	Rheumatismus vleklý, osteoarthritis	157	-	-	1	2	-	7	12	30	105	-
58	Dna	18	-	-	-	-	-	-	2	5	11	-
59	Úplavice cukrová	611	-	4	19	19	17	35	77	159	281	-
	Kurděje	-	-	-	-	-	-	-	-	-	-	-
60a	Dětské kurděje	-	-	-	-	-	-	-	-	-	-	-
60b	Kurděje	1	-	-	-	-	-	-	1	-	-	-
62	Pellagra	-	-	-	-	-	-	-	-	-	-	-
63	Křivice	89	62	23	2	-	1	-	-	1	-	-
64	Měknutí kostí	3	-	1	-	-	-	-	1	1	-	-
65	Nemoci podvěsku mozkového	2	-	-	-	1	-	-	1	-	-	-
												
66a	Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté	22	-	-	1	-	2	3	3	4	9	-
66b	Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické	77	-	-	-	4	13	10	19	20	11	-
66c	Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus	5	1	1	-	1	-	1	1	-	-	-
66d	Nemoci žlázy štítné a přídavných žlázek štítných: tetanie	32	27	4	-	-	-	-	1	-	-	-
66	Nemoci žlázy štítné a přídavných žlázek štítných: jiné	4	-	1	-	-	1	1	-	1	-	-
67	Nemoci brzlíku	17	11	4	2	-	-	-	-	-	-	-
68	Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní 	4	-	-	-	2	-	-	-	-	2	-
69	Jiné nemoci rheumatické, výživové, endokrinních žláz	13	3	1	-	-	-	2	1	1	5	-
												
IV 	Nemoci krve a ústrojů krvetvorných	352	17	14	16	27	39	38	72	79	50	-
												
70a	Stavy krvácivé: purpury prvotní	13	1	2	1	-	2	2	2	2	1	-
70b	Stavy krvácivé: vrozená krvácivost	4	3	-	-	1	-	-	-	-	-	-
71a	Postupná zhoubná chudokrevnost	157	3	3	5	6	12	26	30	44	28	-
71b	Jiné chudokrevnosti	24	4	2	1	-	3	-	6	5	3	-
72a	Bělokrevnost pravá	106	1	4	9	10	15	9	26	20	12	-
72b	Bělokrevnost nepravá	29	2	1	-	9	5	-	2	6	4	-
73	Nemoci sleziny	17	2	2	-	1	2	1	5	2	2	-
74	Jiné nemoci krve a ústrojů krvetvorných	2	1	-	-	-	-	-	1	-	-	-
												
V	Otravy vleklé a prudké	28	-	-	-	-	4	3	4	6	11	-
75	Alkoholismus vleklý nebo prudký	24	-	-	-	-	3	2	3	6	10	-
												
76a	Vleklé otravy látkami anorganickými: živnostenské	-	-	-	-	-	-	-	-	-	-	-
76b	Vleklé otravy látkami anorganickými: jiné	4	-	-	-	-	1	1	1	-	1	-
												
77a	Vleklé otravy látkami organickými: živnostenské	-	-	-	-	-	-	-	-	-	-	-
77b	Vleklé otravy látkami organickými: jiné	-	-	-	-	-	-	-	-	-	-	-
												
DU		96	0	0	1	7	9	14	17	22	26	0
												
VI	Nemoci soustavy nervové a čidel	6530	950	180	133	130	184	231	529	1052	3141	-
												
78a	Zánět mozku: hlíza mozková	18	-	1	4	3	3	2	3	2	-	-
78b	Zánět mozku: jiné záněty mozku	77	10	7	9	12	10	7	6	9	7	-
79	Prostý zánět plen mozkových	347	77	109	68	29	19	13	9	12	11	-
80	Úbyt míchy	81	-	-	-	1	3	9	19	30	19	-
81	Jiné nemoci míchy	168	1	-	2	10	12	23	29	47	44	-
82a	Krvácení mozkové 	3834	3	2	3	12	26	58	306	779	2645	-
82b	Vmetek nebo záhať mozková	180	-	-	1	1	6	9	21	38	104	-
82c	Jednostranná obrna těla a příčiny nerozlišené	245	-	-	3	3	4	5	16	50	164	-
83	Postupná obrna povšechná	204	-	-	-	5	23	43	55	30	48	-
84a	Předčasná zblbělost	11	-	-	-	2	2	3	1	2	1	-
84b	Jiné psychosy	61	-	-	1	5	4	9	13	14	15	-
85	Padoucnice	142	2	2	18	26	31	26	16	10	11	-
86	Křeče u dětí mladších 6 let	882	839	43	-	-	-	-	-	-	-	-
												
87b	Jiné nemoci soustavy nervové: neuritis	13	-	-	-	-	-	1	2	3	7	-
87c	Jiné nemoci soustavy nervové: obrna třesavá	43	-	1	2	2	5	2	4	8	19	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	81	-	-	-	6	18	14	18	9	16	-
87a,e	Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové	48	1	5	5	3	7	4	5	4	14	-
88	Nemoci oční	-	-	-	-	-	-	-	-	-	-	-
89a	Zánět ušní	90	17	10	15	10	9	2	6	5	16	-
89b	Jiné nemoci ucha a dutiny výčnělku soscovitého	5	-	-	2	-	2	1	-	-	-	-
												
VII	Nemoci ústrojí oběhu krevního	13763	52	37	120	234	362	613	1152	2560	8631	2
90	Zánět osrdečníku	24	2	1	4	1	3	2	1	3	7	-
91	Prudký zánět nitroblány srdeční	71	-	6	11	13	14	15	5	4	3	-
92	Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní	1094	1	3	23	56	82	118	168	248	395	-
93a	Prudký zánět svalu srdečního	77	7	3	7	8	8	15	3	8	18	-
93b	Vleklý zánět svalu srdečního a zvrhlost svalu srdečního	4001	7	5	3	17	22	61	213	646	3026	1
93c	Nerozlišené nemoci svalu srdečního	927	-	-	-	-	-	-	53	168	706	-
94	Nemoci tepen věnčitých	248	-	-	1	-	1	13	19	71	143	-
95a	Funkcionální nemoci srdce	32	1	-	-	-	4	2	7	4	14	-
95b	Jiné a nerozlišené nemoci srdeční	4954	25	16	68	131	211	353	616	1146	2388	-
96	Výduť, vyjma výduť srdeční	46	-	-	-	-	1	8	5	9	23	-
97	Zkornatění tepen, vyjma nemocí tepen věnčitých	1995	-	-	-	-	2	6	26	199	1761	1
98a	Sněť stařecká	90	-	-	-	-	-	-	-	9	81	-
98b	Jiné sněti	30	2	-	1	1	1	4	6	6	9	-
99	Jiné nemoci tepen	58	-	1	-	3	6	4	7	11	26	-
100	Nemoci žil: městky, městky konečníkové, zánět žil atd.	96	-	-	1	4	5	11	21	25	29	-
101	Nemoci soustavy mízní, zánět mízních cév atd.	12	6	2	-	-	1	-	1	2	-	-
102	Idiopathické anomalie tlaku krevního	1	-	-	-	-	-	-	-	-	1	-
103	Jiné nemoci ústrojí oběhu krevního	7	1	-	1	-	1	1	1	1	1	-
												
VIII	Nemoci ústrojí dýchacího	8012	1956	572	140	134	191	234	337	898	3550	-
104	Nemoci dutin nosních a adnex	1	1	-	-	-	-	-	-	-	-	-
105	Nemoci hrtanu	28	17	3	2	2	-	1	3	-	-	-
106a	Zánět průdušek prudký	152	97	13	1	-	-	2	-	2	37	-
106b	Zánět průdušek vleklý	323	41	16	1	1	2	2	9	39	212	-
106c	Zánět průdušek nerozlišený	584	242	31	2	2	5	6	7	37	252	-
107	Lalůčkový zánět plic, počítaje v to zánět průdušinek	2041	863	225	27	21	44	31	54	126	650	-
108	Lalokový zánět plic	1178	155	79	35	40	48	56	99	193	473	-
109	Zánět plic nerozlišený	2149	503	178	47	37	55	75	95	261	898	-
110	Zánět pohrudnice	321	20	22	17	16	18	30	20	69	109	-
111	Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic	212	12	2	2	7	8	13	17	19	132	-
112	Záducha	237	2	-	-	1	3	3	13	41	174	-
113	Rozedma plicní	726	1	1	1	-	2	4	15	102	600	-
114a	Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího	11	2	1	1	-	1	-	1	1	4	-
114b	Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu	49	-	1	4	7	5	11	4	8	9	-
												
IX	Nemoci ústrojí zažívacího	4872	2388	234	162	121	185	236	309	455	782	-
115	Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby	146	24	18	42	10	13	13	7	12	7	-
116	Nemoci požeráku	5	-	-	-	1	-	1	-	1	2	-
117a	Vřed žaludeční	162	2	-	2	4	13	28	34	38	41	-
117b	Vřed dvanáctníkový	15	-	-	-	1	3	4	1	2	4	-
118	Jiné nemoci žaludeční (vyjma rakovinu)	57	1	-	-	-	-	1	9	9	37	-
119	Průjem a katar střevní - u dětí do 2 roků	2439	2310	129	-	-	-	-	-	-	-	-
120a	Průjem, katar střevní (ve věku 2 roků a výše)	197	-	32	15	4	8	9	11	18	100	-
120b	Vředy střevní (ve věku 2 roků a výše)	14	-	-	-	2	1	3	3	1	4	-
121	Zánět červíkovitého přívěsku	310	2	20	61	40	38	44	36	38	31	-
122a	Kýla	253	6	-	-	1	2	9	35	55	145	-
122b	Neprůchodnost střeva	250	22	2	3	5	13	18	28	55	104	-
123	Jiné nemoci střevní	45	3	1	-	-	2	6	7	8	18	-
124a	Svraštění jater alkoholické	-	-	-	-	-	-	-	-	-	-	-
124b	Svraštění jater neoznačené za alkoholické	227	-	-	1	2	10	15	43	75	81	-
125	Jiné nemoci jater (počítaje v to náhlý úbyt jater)	85	2	-	1	3	8	13	9	19	30	-
126	Kaménky žlučové	165	-	-	-	1	15	24	27	47	51	-
127	Jiné nemoci žlučníku a žlučovodů	152	1	-	-	8	5	10	23	36	69	-
128	Nemoci slinivky břišní	24	-	-	-	1	1	4	3	9	6	-
129	Zánět pobřišnice, bez označené příčiny	326	15	32	37	38	53	34	33	32	52	-
												
X	Nemoci ústrojí močového a ústrojí pohlavního	1535	38	24	39	66	129	148	257	314	520	-
130	Prudký zánět ledvin	87	14	20	17	4	4	4	7	7	10	-
131	Vleklý zánět ledvin	879	-	3	11	29	57	77	157	214	331	-
132	Nerozlišený zánět ledvin	266	-	-	8	15	23	23	42	58	97	-
133a	Zánět pánvice ledvinné	66	16	1	2	-	6	5	7	9	20	-
133b	Jiné nemoci ledvin a močovodů	28	-	-	-	1	1	3	6	4	13	-
134a	Kamének ledvin a horních cest močových	24	1	-	-	-	1	4	4	3	11	-
134b	Kamének měchýře močového	4	-	-	-	-	-	-	1	-	3	-
134c	Kamének bez jiného označení	1	-	-	-	-	-	-	-	-	1	-
135a	Zánět měchýře močového	17	2	-	-	-	-	-	-	3	12	-
135b	Jiné nemoci měchýře močového	3	1	-	-	-	-	-	-	1	1	-
136a	Zúžení roury močové	-	-	-	-	-	-	-	-	-	-	-
136b	Jiné nemoci roury močové, hlíza močová atd.	11	1	-	-	2	2	1	-	1	4	-
137	Nemoci žlázy předstojné (prostaty)	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojů mužských, neoznačené za venerické	x	x	x	x	x	x	x	x	x	x	x
												
139a	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria	76	-	-	-	9	21	20	16	5	5	-
139b	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy	58	-	-	-	5	11	8	14	8	12	-
139c	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní	5	3	-	-	1	1	-	-	-	-	-
139d	Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné	10	-	-	1	-	2	3	3	1	-	-
												
XI	Nemoci těhotenství, porodu a stavu poporodního	956	-	-	-	246	461	238	11	-	-	-
140	Potrat s hnilobou	263	-	-	-	81	122	55	5	-	-	-
141	Potrat beze zmínky o hnilobě, ale počítaje v to krvácení	46	-	-	-	13	15	18	-	-	-	-
142	Těhotenství mimoděložní	54	-	-	-	4	30	20	-	-	-	-
143	Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení)	3	-	-	-	-	2	1	-	-	-	-
144a	Lůžko vcestné	41	-	-	-	6	17	18	-	-	-	-
144b	Jiná krvácení poporodní	57	-	-	-	9	31	17	-	-	-	-
145a	Otrava krve a hniloba krve poporodní	276	-	-	-	91	133	50	2	-	-	-
145b	Ztrnutí poporodní	2	-	-	-	-	1	-	1	-	-	-
146	Močení bílkoviny a božec	83	-	-	-	21	40	21	1	-	-	-
147	Jiné toxaemie v těhotenství	5	-	-	-	2	3	-	-	-	-	-
148a	Bílý bolestný otok dolních končetin a záhať	-	-	-	-	-	-	-	-	-	-	-
148b	Vmetek nebo náhlá smrt poporodní	48	-	-	-	9	26	13	-	-	-	-
149	Jiné příhody při porodu	56	-	-	-	7	31	17	1	-	-	-
150	Jiné nerozlišené příhody stavu poporodního	22	-	-	-	3	10	8	1	-	-	-
												
XII	Nemoci kůže a vaziva podkožního	393	273	3	1	3	3	6	9	11	84	-
151	Nežitina	191	182	3	-	1	1	-	1	1	2	-
152	Zánět podkožního vaziva, teplá hlíza	35	17	-	-	1	1	-	3	1	12	-
153	Jiné nemoci kůže, jejich adnex a podkožního vaziva	167	74	-	1	1	1	6	5	9	70	-
												
XIII 	Nemoci kostí a ústrojí pohybu	191	4	8	24	6	7	13	10	18	101	-
154	Zánět dřeně kostní	59	2	7	21	3	3	4	4	6	9	-
155	Jiné nemoci kostí, vyjma tuberkulosu	104	1	1	-	1	4	7	5	6	79	-
												
156a	Nemoci kloubů, vyjma tuberkulosu a rheumatismus	27	1	-	3	2	-	2	1	6	12	-
156b	Nemoci jiných orgánů pohybu	1	-	-	-	-	-	-	-	-	1	-
												
XIV	Vrozené vady tvarové	184	168	16	-	-	-	-	-	-	-	-
157a	Vrozená vodnatelnost mozku	37	30	7	-	-	-	-	-	-	-	-
157b	Rozštěp páteře a kýla omozečnicová	34	32	2	-	-	-	-	-	-	-	-
157c	Vrozený nesprávný tvar srdce	53	48	5	-	-	-	-	-	-	-	-
157d	Zrůdnosti	16	15	1	-	-	-	-	-	-	-	-
157	Jiné vrozené vady tvarové 	44	43	1	-	-	-	-	-	-	-	-
												
XV	Zvláštní nemoci útlého věku	2972	2972	-	-	-	-	-	-	-	-	-
158	Vrozená slabost	1453	1453	-	-	-	-	-	-	-	-	-
159	Předčasné narození, nepočítaje v to mrtvě narozené	990	990	-	-	-	-	-	-	-	-	-
160a	Následky porodu s řezem císařským	-	-	-	-	-	-	-	-	-	-	-
160b	Následky porodu bez řezu císařského	139	139	-	-	-	-	-	-	-	-	-
												
161a	Bezevzduchost plicní	67	67	-	-	-	-	-	-	-	-	-
161b	Žloutenka novorozenců	55	55	-	-	-	-	-	-	-	-	-
161c	Skloerem a jiné	268	268	-	-	-	-	-	-	-	-	-
												
XVI 	Stařecká sešlost	8836	-	-	-	-	-	-	-	99	8735	2
162a	Stařecká sešlost se zblbělostí starobní	212	-	-	-	-	-	-	-	11	201	-
162b	Stařecká sešlost bez zblbělosti starobní	8624	-	-	-	-	-	-	-	88	8534	2
												
XVII	Smrti násilné a úrazové	2112	37	159	101	386	305	203	222	252	446	1
SE		1002	0	0	0	252	208	130	133	114	164	1
163	Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých	173	-	-	-	66	46	21	26	6	8	-
164	Sebevražda jedovatými plyny	49	-	-	-	13	12	6	5	8	5	-
165	Sebevražda oběšením neb uškrcením	396	-	-	-	52	68	58	52	77	89	-
166	Sebevražda utopením	167	-	-	-	36	33	15	27	12	43	1
167	Sebevražda střelnými zbraněmi	66	-	-	-	34	16	9	4	3	-	-
168	Sebevražda nástroji řeznými nebo bodnými	18	-	-	-	-	4	5	3	3	3	-
169	Sebevražda skokem s vyvýšeného místa	22	-	-	-	4	7	3	4	1	3	-
170	Sebevražda rozdrcením	65	-	-	-	38	11	7	3	2	4	-
171	Jiné sebevraždy	46	-	-	-	9	11	6	9	2	9	-
NA		132	17	0	6	47	28	10	9	9	6	0
172a	Vražda dítěte (dítě do 1 roku): přímo po narození	10	10	-	-	-	-	-	-	-	-	-
172b	Vražda dítěte (dítě do 1 roku): jiná do jednoho roku	7	7	-	-	-	-	-	-	-	-	-
173	Vražda nebo zabití střelnou zbraní (osoby starší 1 roku)	70	-	-	2	41	17	3	2	4	1	-
174	Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku)	12	-	-	-	2	2	3	4	-	1	-
175	Jiné vraždy nebo zabití osob starších 1 roku	33	-	-	4	4	9	4	3	5	4	-
176	Napadení jedovatými zvířaty	1	-	-	-	-	-	-	-	1	-	-
177	Otrava potravinami	19	-	1	2	3	5	1	4	1	2	-
178	Vdechování jedovatých plynů	28	1	2	-	6	6	1	5	4	3	-
179	Jiné nahodilé prudké otravy, vyjma otravy plynem	18	1	4	2	3	4	1	-	2	1	-
180	Následky ohně při požáru	6	-	1	-	-	-	2	1	1	1	-
181	Popálení úrazové (jiné než při požáru)	195	11	70	19	8	8	14	11	16	38	-
182	Nahodilé mechanické zadušení	15	3	1	4	3	1	-	-	3	-	-
183	Nahodilé utopení	114	2	49	17	7	6	8	4	6	15	-
184	Poranění střelnými zbraněmi, vyjma poranění válečná	8	-	-	1	3	2	2	-	-	-	-
185	Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná	6	-	1	1	-	-	1	-	1	2	-
186	Poranění pádem, rozdrcením, sřícením	178	-	15	20	19	5	12	16	28	63	-
187	Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom	-	-	-	-	-	-	-	-	-	-	-
188	Poranění způsobená zvířaty	7	-	-	1	-	1	-	2	-	3	-
189	Hlad a žízeň	-	-	-	-	-	-	-	-	-	-	-
190	Neobvyklá zima	12	1	-	-	1	1	1	3	1	4	-
191	Neobvyklé teplo	2	-	-	-	1	-	-	1	-	-	-
192	Blesk	8	-	-	1	3	3	-	-	1	-	-
193	Úrazy způsobené proudem elektrickým	9	-	1	-	2	2	-	2	1	1	-
194a	Jiné úrazy: cizí tělesa	8	-	4	-	-	-	-	1	2	1	-
194b	Jiné úrazy: jiné	337	1	10	27	26	21	20	30	61	141	-
195	Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma	7	-	-	-	2	4	-	-	-	1	-
	Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:											
A	v dolech a lomech	2	-	-	-	2	-	-	-	-	-	-
B	způsobených stroji	5	-	-	-	3	-	-	1	-	1	-
DN	prostředky dopravními	125	-	9	19	13	4	11	12	19	38	-
a	železnicemi a tramvajemi	23	-	2	1	3	-	-	2	3	12	-
b	automobily a motocykly	87	-	7	15	10	4	7	8	14	22	-
c	jinými pozemními prostředky dopravními	15	-	-	3	-	-	4	2	2	4	-
d	při dopravě po vodě	-	-	-	-	-	-	-	-	-	-	-
e	při dopravě vzduchem	-	-	-	-	-	-	-	-	-	-	-
198	Soudní poprava	-	-	-	-	-	-	-	-	-	-	-
												
XVIII	Neurčité příčiny úmrtí	459	48	28	12	12	19	25	65	96	153	1
199	Náhlá smrt	12	-	1	-	-	2	1	1	3	4	-
200	Nerozlišené nebo nedostatečně určené příčiny	447	48	27	12	12	17	24	64	93	149	1
