1919	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
33	Tuberkulosa støev neb pobøišnice 	288	3	28	31	19	31	35	37	76	28	-	-
34	Tuberkulosa obratlù	79	2	6	9	10	8	10	6	15	13	-	-
35	Tuberkulosa kloubù	68	2	-	5	11	6	12	4	19	9	-	-
36a	Tuberkulosa kùe nebo podkoního vaziva	69	13	17	5	8	8	4	3	3	7	1	-
36b	Tuberkulosa kostí	298	5	14	25	29	31	39	25	64	64	2	-
36c	Tuberkulosa lymfatického systému	26	3	3	5	1	-	5	1	5	3	-	-
36d	Tuberkulosa ústrojí urogenitálního	9	-	-	-	1	2	2	-	4	-	-	-
36	Tuberkulosa jinıch orgánù	26	1	2	-	2	5	4	2	10	-	-	-
37a	Tuberkulosa prudká	90	10	7	16	12	23	22	-	-	-	-	-
37b	Tuberkulosa vleklá	15	-	-	-	1	-	-	4	7	3	-	-
37c	Tuberkulosa bez blišího oznaèení	77	-	1	1	1	3	9	22	32	8	-	-
38	Pøíjice	68	40	1	2	-	1	3	4	15	2	-	-
40	Kapavka	2	-	-	-	-	-	1	-	-	1	-	-
41	Otrava krve	568	73	13	19	36	52	52	67	138	114	4	-
42	Ostatní nemoci epidemické a infekèní	10	5	1	-	1	-	-	-	3	-	-	-
													
RA		4716	13	6	15	9	17	33	125	1827	2569	101	1
KR		96	4	7	2	1	1	8	10	35	28	0	0
EN		841	143	231	26	28	22	36	44	141	165	4	1
DU		119	0	0	1	0	4	13	13	51	36	0	1
III	Celkové nemoci vıše nejmenované	5782	163	252	47	39	42	91	191	2053	2796	105	3
43	Rakovina neb jiné zhoubné nádory dutiny ústní	135	-	1	-	-	-	1	8	50	68	7	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3003	5	-	1	-	2	8	63	1211	1671	42	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	551	5	-	2	-	2	7	9	197	320	8	1
46	Rakovina neb jiné zhoubné nádory rodidel	x	x	x	x	x	x	x	x	x	x	x	x
47	Rakovina neb jiné zhoubné nádory prsu	x	x	x	x	x	x	x	x	x	x	x	x
48	Rakovina neb jiné zhoubné nádory kùe	64	-	-	-	-	-	1	-	18	34	11	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatatních nebo blíe neurèenıch	878	-	4	6	4	10	14	33	318	456	33	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikována	29	1	-	1	2	1	-	2	9	13	-	-
51	Prudkı horeènatı hostec kloubní	36	-	3	7	8	5	2	4	5	2	-	-
52	Vleklı hostec, dna	122	2	1	1	5	4	3	8	35	61	2	-
53	Kurdìje	15	1	-	-	2	2	1	4	4	1	-	-
56	Køivice	375	127	225	18	5	-	-	-	-	-	-	-
57	Cukrovka	270	-	-	-	7	11	29	27	93	100	2	1
58a	Nedokrevnost zhoubná	81	3	5	2	1	-	6	8	32	24	-	-
58b	Jiné nedokrevnosti a blednièka	11	1	2	-	-	1	-	1	2	4	-	-
59	Choroby hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	-	-	-	-	-	-	-	-	-	-	-	-
60b	Jiná onemocnìní štítné lázy	2	-	-	-	-	-	-	-	2	-	-	-
61	Nemoci lázek pøištítnıch	16	13	2	-	-	-	-	1	-	-	-	-
62	Nemoci brzlíku	-	-	-	-	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	5	-	-	-	1	-	1	-	2	1	-	-
64	Nemoci sleziny	4	-	-	-	-	-	2	1	1	-	-	-
65	Bìlokrevnost nebo  Hodgkinova nemoc	56	2	1	5	3	2	2	10	24	7	-	-
66	Alkoholismus	83	-	-	-	-	1	7	7	39	28	-	1
67	Vleklé otravy nerostnımi látkami	5	-	-	-	-	-	2	-	2	1	-	-
68	Vleklé otravy ústrojnımi látkami	2	-	-	-	-	-	-	-	2	-	-	-
69	Ostatní celkové nemoci	39	3	8	4	1	1	5	5	7	5	-	-
													
IV	Choroby systému nervového a smyslovıch orgánù	8617	2879	563	301	178	181	260	342	1446	2235	219	13
70	Zánìt mozku	147	22	32	17	17	14	8	5	20	12	-	-
71	Zánìt mozkovıch blan	1203	178	234	233	119	102	98	61	119	54	1	4
72	Úbytì míchy	155	-	-	1	1	-	6	18	86	43	-	-
73	Jiné choroby míchy	267	5	8	6	8	10	20	28	93	88	1	-
74a	Vılev krevní do mozku	2868	-	-	-	-	-	28	69	750	1817	203	1
74b	Záha il mozkovıch	47	-	-	-	-	-	9	8	10	19	1	-
75a	Jednostranná obrna tìla	54	-	-	-	-	-	2	2	12	35	3	-
75b	Paralysis progressiva	133	-	-	-	-	-	1	30	79	23	-	-
75c	Jiné obrny	70	-	2	-	1	3	3	5	28	28	-	-
76	Ochrnutí spojené s duševní chorobou	3	-	-	-	-	-	-	1	2	-	-	-
77	Jiné duševní choroby	33	-	-	1	-	3	6	5	10	8	-	-
78	Padoucnice	190	1	6	5	9	21	43	44	39	20	1	1
79	Boec nepuerperální	46	-	-	19	6	7	7	1	1	4	1	-
80	Køeèe u dìtí	2924	2654	266	-	-	-	-	-	-	-	-	4
81	Posunèina	5	1	-	-	1	2	-	-	-	1	-	-
82b	Zánìt nervù	8	-	-	-	1	-	-	1	1	5	-	-
83	Zmìknutí mozku	68	-	-	-	-	-	-	-	26	39	3	-
84	Ostatní choroby systému nervového	356	13	10	14	13	14	27	56	167	35	5	2
86	Choroby ucha nebo dutin mastoideu	40	5	5	5	2	5	2	8	3	4	-	1
													
V	Choroby obìhu krevního	7525	92	46	95	104	126	267	415	2132	3903	340	5
87	Zánìt osrdce	53	-	1	2	2	1	9	2	13	22	1	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1201	3	1	7	10	16	26	56	301	706	74	1
89	Srdeèní angina	24	-	-	-	-	-	-	1	13	10	-	-
90	Jiné nemoci srdce	4164	79	39	84	90	103	222	329	1452	1654	109	3
91a	Vıdu	44	-	-	-	-	-	1	1	26	16	-	-
91b	Zkornatìní a jiné choroby tepen	1914	-	-	1	-	-	2	11	284	1462	154	-
92	Záha (nikoliv mozková)	37	1	1	-	-	4	3	4	13	11	-	-
93	Choroby il	26	-	-	1	-	-	1	1	8	13	2	-
94	Choroby systému mízního	22	7	2	-	2	1	1	2	5	2	-	-
95	Ostatní choroby obìhu krevního	40	2	2	-	-	1	2	8	17	7	-	1
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	11113	2190	1120	301	113	236	477	468	1948	3937	317	6
97	Choroby dutin nosního a jejich adnex	8	1	1	-	-	-	-	1	3	2	-	-
98	Choroby hrtanu	57	20	13	7	4	-	-	2	9	2	-	-
99a	Zánìt prùdušek prudkı	359	253	59	6	-	-	-	1	2	31	7	-
99b	Zánìt prùdušek vleklı	216	15	15	1	1	2	-	3	32	139	8	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	860	641	219	-	-	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	268	-	-	17	6	7	5	4	42	178	9	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	758	297	156	34	7	14	20	13	85	117	15	-
101a	Zánìt plic lalokovı	280	24	16	4	5	8	19	28	70	96	10	-
101b	Zánìt plic bez blišího oznaèení	5255	907	607	198	75	162	322	293	995	1540	150	6
102	Zánìt pohrudnice	590	8	25	29	11	34	77	64	159	177	6	-
103	Pøekrvení nebo krvácení parenchymatosní plic	20	-	-	-	-	-	1	2	4	12	1	-
104	Snì plicní	35	-	-	-	-	2	3	7	13	10	-	-
105	Záducha	382	-	-	-	-	-	6	7	87	268	14	-
106	Rozedma plic	1737	2	2	-	1	3	8	21	375	1237	88	-
107	Ostatní choroby ústrojí dıchacího	288	22	7	5	3	4	16	22	72	128	9	-
													
VII	Choroby ústrojí zaívacího	6144	3330	440	137	88	102	203	208	779	809	40	8
108b	Choroby ústní dutiny a jejich adnex	10	5	-	1	-	-	-	-	1	3	-	-
109	Choroby hltanu nebo mandlí	49	21	3	5	-	-	2	-	10	8	-	-
110	Choroby jícnu	26	1	1	-	2	-	1	2	8	11	-	-
111a	Vøed aludeèní	265	5	-	2	5	8	14	34	115	78	3	1
111b	Vøed dvanácterníku	44	4	2	-	1	-	3	8	13	13	-	-
112	Jiné choroby aludeèní	63	10	4	3	-	1	2	3	21	19	-	-
113	Prùjem a zánìt støev (pod 2 roky)	3483	3239	239	-	-	-	-	-	-	-	-	5
114	Prùjem a zánìt støev (nad 2 roky)	665	-	152	64	28	13	50	37	131	178	12	-
115	Ankylostomiasis	1	-	-	-	-	-	-	-	-	1	-	-
116	Choroby zavinìné intestinálními cizopasníky	1	-	-	-	-	-	-	-	1	-	-	-
117	Zánìt èervu a jeho okolí	152	2	6	20	15	19	21	18	38	12	-	1
118a	Kıla 	54	2	3	1	2	1	4	3	17	19	2	-
118b	Záha støevní	322	13	7	2	2	9	21	21	87	147	13	-
119b	Jiné choroby støev	58	7	1	4	-	2	5	3	18	18	-	-
120	Prudká atrofie jater	11	1	-	-	-	1	3	-	5	1	-	-
121	Hydativní nádor jater	1	-	-	-	-	-	-	-	1	-	-	-
122a	Svraštìní jater alkoholické	4	-	-	-	-	-	-	-	1	3	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	197	-	-	1	1	-	6	6	78	104	1	-
123	luèové kaménky	37	-	-	-	1	-	3	6	12	14	1	-
124	Jiné choroby jater	220	9	2	3	2	5	15	18	85	79	2	-
125	Choroby mikteru	-	-	-	-	-	-	-	-	-	-	-	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	481	11	20	31	29	43	53	49	137	101	6	1
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	2457	39	64	71	52	54	137	212	806	955	63	4
128	Prudkı zánìt ledvin	196	24	43	48	15	4	8	10	26	16	1	1
129	Vleklı zánìt ledvin	1767	5	14	20	37	49	121	191	694	612	22	2
130	Chylurie	1	-	-	-	-	-	-	-	-	1	-	-
131	Jiné choroby ledvin a jejich adnex	119	2	3	1	-	1	7	9	33	62	1	-
132	Moèové kaménky	17	1	-	-	-	-	-	-	3	12	1	-
133	Choroby mìchıøe	223	7	2	1	-	-	1	2	32	150	28	-
134	Choroby moèové roury	8	-	2	1	-	-	-	-	4	1	-	-
135	Choroby lázy pøedstojné	121	-	-	-	-	-	-	-	14	96	10	1
136	Nevenerické choroby muskıch pohlavních orgánù	5	-	-	-	-	-	-	-	-	5	-	-
137	Boubel a jiné nezhoubné nádory vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x
138	Zánìt vejcovodu nebo vøed v pánvi	x	x	x	x	x	x	x	x	x	x	x	x
139	Nádory dìloní	x	x	x	x	x	x	x	x	x	x	x	x
140	Nepuerperální krvácení z dìlohy	x	x	x	x	x	x	x	x	x	x	x	x
141	Ostatní choroby rodidel	x	x	x	x	x	x	x	x	x	x	x	x
142	Nepuerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
IX	Puerperální stav	x	x	x	x	x	x	x	x	x	x	x	x
143a	Potrat 	x	x	x	x	x	x	x	x	x	x	x	x
143b	Mimodìloní tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
143c	Jiné nehody v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x
144	Krvácení tìhotnıch a v šestinedìlí	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nehody pøi porodu	x	x	x	x	x	x	x	x	x	x	x	x
146	Horeèka omladnic	x	x	x	x	x	x	x	x	x	x	x	x
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	x	x	x	x	x	x	x	x	x	x	x	x
148	Albuminurie nebo boec v šestinedìlí	x	x	x	x	x	x	x	x	x	x	x	x
149	Následky porodu (bez blišího oznaèení)	x	x	x	x	x	x	x	x	x	x	x	x
150	Puerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
X	Choroby kùe a vaziva	506	287	18	6	3	9	7	12	38	100	25	1
151	Snì	106	3	2	-	1	-	-	2	11	66	21	-
152	Neit	165	143	10	3	1	-	1	3	2	1	1	-
153	Zánìt podkoního vaziva, horeènatı vøed	109	35	5	1	-	7	5	4	23	27	2	-
155	Ostatní choroby kùe neb jejich adnex	126	106	1	2	1	2	1	3	2	6	1	1
													
XI	Choroby kostí a ústrojí pohybového	123	6	9	17	24	17	11	9	13	15	1	1
156	Choroby kostí	90	6	7	15	19	13	7	5	9	8	1	-
157	Choroby kloubù	24	-	1	2	2	4	3	2	4	5	-	1
158	Ostatní choroby kostí nebo ústrojí pohybového	9	-	1	-	3	-	1	2	-	2	-	-
													
XII	Zrùdnost vrozená	87	87	-	-	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	87	87	-	-	-	-	-	-	-	-	-	-
													
XIII	Ranı vìk	5123	5123	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	4067	4067	-	-	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	902	902	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	154	154	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péèe	-	-	-	-	-	-	-	-	-	-	-	-
													
XIV		11123	3	8	4	1	1	7	5	11	7035	4048	0
164	Stáøí	11077	-	-	-	-	-	-	-	-	7029	4048	-
													
XV	Zevní pøíèiny	4265	40	151	148	166	416	802	526	1154	731	82	49
SE		1793	0	0	0	22	135	288	213	607	464	57	7
165	Sebevrada otravou jedy	55	-	-	-	-	3	13	7	19	12	1	-
166	Sebevrada otravou poitím íravin	5	-	-	-	-	-	-	1	3	1	-	-
167	Sebevrada vdechováním jedovatıch plynù	8	-	-	-	-	-	2	2	2	2	-	-
168	Sebevrada obìšením neb uškrcením	1035	-	-	-	20	47	92	98	404	329	39	6
169	Sebevrada utopením	135	-	-	-	-	5	25	24	45	32	4	-
170	Sebevrada zastøelením	386	-	-	-	1	58	128	60	85	48	5	1
171	Sebevrada nástroji øeznımi neb bodnımi	24	-	-	-	-	1	5	2	7	7	2	-
172	Sebevrada skokem s vıše	8	-	-	-	-	-	3	1	1	3	-	-
173	Sebevrada rozdrcením	47	-	-	-	1	12	7	9	9	9	-	-
174	Sebevrada jinım zpùsobem	90	-	-	-	-	9	13	9	32	21	6	-
175	Otrava potravinami	13	3	1	-	1	-	-	2	4	2	-	-
176	Uštknutí neb štípnutí	2	-	-	1	1	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	32	1	4	-	2	5	5	4	5	2	4	-
178	Úraz pøi poáru	10	1	3	2	-	-	-	1	2	1	-	-
179	Náhodné popálení (vyjma pøi poáru)	124	-	53	10	5	10	15	7	16	7	-	1
180	Náhodné mechanické udušení (vyjma pøi poáru)	56	10	6	8	7	3	7	1	10	2	1	1
181	Vdechování plynù nedıchatelnıch neb jedovatıch	47	3	4	1	2	6	11	6	5	8	1	-
182	Náhodné utopení	373	3	57	69	53	61	54	16	30	21	1	8
183	Poranìní støelnou zbraní	277	1	1	8	13	44	115	41	34	7	1	12
184	Poranìní nástroji øeznımi neb bodnımi	27	-	-	3	1	3	7	6	4	1	1	1
185	Poranìní pádem	128	2	5	7	11	2	14	17	41	25	3	1
186	Poranìní v dolech neb lomech	158	-	-	-	1	19	49	30	54	2	-	3
187	Poranìní stroji	13	-	-	-	-	3	-	4	4	1	1	-
188	Poranìním pohmodìním jiného druhu	639	4	13	21	33	76	119	106	172	82	4	9
189	Poranìní zpùsobená zvíøaty	14	-	-	-	-	2	1	2	5	4	-	-
190	Zranìní váleèná	49	-	-	-	-	4	29	9	7	-	-	-
192b	Hlad nebo ízeò	4	1	-	-	1	-	-	1	-	1	-	-
193	Pøílišnı chlad	69	1	-	-	1	-	9	2	27	26	1	2
194	Pøílišnı ár	2	-	-	1	-	-	1	-	-	-	-	-
195	Blesk	41	-	-	2	3	4	10	6	9	7	-	-
196	Jiné úrazy elektrickım proudem	28	-	-	1	-	8	13	3	2	1	-	-
NA		140	9	2	2	4	9	22	25	43	20	2	2
197	Zabití støelnou zbraní	73	-	1	-	2	5	15	17	25	8	-	-
198	Zabití nástroji øeznımi neb bodnımi	11	-	-	-	1	1	3	2	3	1	-	-
199	Zabití jinımi prostøedky	49	9	1	1	-	2	4	5	13	11	1	2
201c	Zlomeniny (bez blišího oznaèení)	226	1	2	12	5	22	33	24	73	47	5	2
202a	Ostatní násilná zevní poranìní	2	-	-	1	-	-	-	1	-	-	-	-
202b	Poprava legální	2	-	-	-	-	1	-	-	-	-	1	-
203	Násilná smrt neznámé pøíèiny	3	-	-	-	1	-	-	-	2	-	-	-
													
XVI	Nemoci špatnì definované	1362	71	146	32	18	18	44	46	390	549	16	32
204	Náhlé úmrtí	33	-	-	-	2	1	5	5	13	6	-	1
205	Nemoci nespecifikované nebo špatnì definované	1329	71	146	32	16	17	39	41	377	543	16	31
