1955	Zemøelé ženy podle podrobného seznamu pøíèin smrti a vìku - úrazy a otravy podle vnìjší pøíèiny																
MKN (1948)	Název	Celkem	0	1	2	3	4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
E878	Náhodná otrava jinými a neurèenými léèivy	1	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-
E879	Náhodná otrava škodlivými potravinami	8	-	-	-	2	-	3	-	1	1	-	1	-	-	-	-
E880	Náhodná otrava alkoholem	8	-	-	-	-	-	-	-	1	1	2	4	-	-	-	-
E881	Náhodná otrava naftovými produkty	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E882	Náhodná otrava prùmyslovými rozpustidly	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E883	Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami	1	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E884	Náhodná otrava rtutí a jejími slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E885	Náhodná otrava olovem a jeho slouèeninami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E886	Náhodná otrava arsenem a antimonem a jejich slouèeninami	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E887	Náhodná otrava fluoridy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E888	Náhodná otrava jinými a neurèenými látkami pevnými a tekutými	5	-	-	-	-	-	-	2	-	1	2	-	-	-	-	-
																	
	Náhodné otravy plynem a parami	83	1	1	2	3	-	3	5	2	4	16	12	15	13	6	-
E890	Náhodná otrava svítiplynem	25	-	-	-	-	-	2	1	1	1	3	5	6	3	3	-
E891	Náhodná otrava výfukovým plynem motorových vozidel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E892	Náhodná otrava jiným kyslièníkem uhelnatým	57	1	1	2	3	-	1	3	1	3	13	7	9	10	3	-
E893	Náhodná otrava kyanovodíkem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E894	Náhodná otrava jinými urèenými plyny a parami	1	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-
E895	Náhodná otrava neurèenými plyny a parami	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Náhodné pády	600	-	1	1	3	2	4	2	2	7	15	39	132	282	110	-
E900	Pád na schodech 	11	-	-	-	-	-	-	-	-	-	-	-	3	7	1	-
E901	Pád se žebøíku 	10	-	-	-	-	-	-	-	-	1	-	5	4	-	-	-
E902	Jiný pád do hloubky	71	-	1	1	3	2	4	2	-	6	10	12	20	7	3	-
E903	Pád na rovinì	73	-	-	-	-	-	-	-	-	-	-	4	16	41	12	-
E904	Neurèený pád 	435	-	-	-	-	-	-	-	2	-	5	18	89	227	94	-
																	
	Jiné náhodné úrazy	458	84	23	20	16	11	37	14	20	24	41	38	67	52	11	-
E910	Náhodný úraz zpùsobený padajícími pøedmìty	5	-	-	-	-	-	-	-	1	1	2	-	-	1	-	-
E911	Náhodný úraz zpùsobený vozidly	3	-	1	-	-	-	-	1	1	-	-	-	-	-	-	-
E912	Náhodný úraz zpùsobený stroji a nástroji	5	-	-	-	-	-	-	-	1	2	2	-	-	-	-	-
E913	Náhodný úraz zpùsobený øeznými a bodnými nástroji	2	-	-	-	-	-	-	-	-	-	1	-	-	1	-	-
E914	Náhodný úraz zpùsobený elektrickým proudem	19	-	-	-	-	1	4	-	4	5	2	3	-	-	-	-
E915	Náhodný úraz zpùsobený výbuchem parního kotle	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E916	Náhodný úraz zpùsobený ohnìm a výbuchem hoølavých látek	48	-	-	1	-	1	4	1	3	3	5	3	12	11	4	-
E917	Náhodný úraz zpùsobený vøelou substancí, leptavou tekutinou nebo parou	31	1	1	2	2	2	1	2	-	2	-	6	4	5	3	-
E918	Náhodný úraz zpùsobený záøením	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E919	Náhodný úraz zpùsobený støelnou zbraní	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E920	Cizí tìleso vniklé do oka a jeho adnexù	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E921	Vdechnutí nebo vniknutí potravy do hrtanu a jiných cest dýchacích pùsobící ucpání nebo udušení	89	68	7	-	1	-	3	-	-	1	3	2	2	2	-	-
E922	Vdechnutí nebo vniknutí jiných pøedmìtù do hrtanu pùsobící ucpání nebo udušení	2	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
E923	Cizí tìleso vniklé do jiných otvorù tìla	1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-
E924	Náhodné mechanické udušení v posteli a koèárku	7	6	-	-	-	-	-	-	-	1	-	-	-	-	-	-
E925	Náhodné mechanické udušení za jiných nebo neoznaèených okolností	3	1	-	-	-	-	1	-	-	-	-	-	-	-	1	-
E926	Nedostatek péèe o dìti ve vìku do jednoho roku	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E927	Náhodný úraz zpùsobený kousnutím nebo uštknutím  jedovatými  živoèichy a hmyzem	1	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
E928	Jiný náhodný úraz zpùsobený zvíøaty	7	-	-	-	-	1	2	-	-	-	-	-	3	1	-	-
E929	Náhodné tonutí	89	-	8	15	12	3	17	4	4	-	8	3	7	8	-	-
E930	Vysoký a  nízký tlak vzduchu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E931	Nadmìrné horko, úžeh a úpal	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E932	Nadmìrný chlad	4	-	-	-	-	-	-	-	1	-	-	1	-	-	2	-
E933	Hlad, žízeò a  jiné strádání 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E934	Pøírodní katastrofa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E935	Blesk	20	-	-	-	-	-	-	3	1	5	8	2	1	-	-	-
E936	Jiný a neurèený náhodný úraz	112	3	3	2	1	3	5	2	3	4	7	18	37	23	1	-
E937	Úraz v dolech, v lomech	5	-	-	-	-	-	-	1	1	-	3	-	-	-	-	-
																	
	Komplikace zpùsobené neléèebnými lékaøskými zákroky	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E940	Generalisovaná vakcína po vakcinaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E941	Zánìt mozku (encephalitis) povakcinaèní	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E942	Jiné komplikace oèkování po neštovicích	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E943	Žloutenka a hepatitis po profylaktické injekci sera a podobné imunisaci	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E944	Jiné komplikace profylaktického oèkování 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E945	Komplikace pøi anestesii v pøípadech neléèebných zákrokù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E946	Jiné komplikace zpùsobené neléèebnými lékaøskými zákroky	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
	Léèebné  nehody a pozdní komplikace léèebných zákrokù	10	-	-	-	-	1	-	-	3	-	1	3	1	1	-	-
E950	Léèebná nehoda pøi chirurgickém ošetøení	3	-	-	-	-	-	-	-	2	-	-	-	1	-	-	-
E951	Léèebná nehoda pøi infusi nebo transfusi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E952	Léèebná nehoda pøi místní aplikaci	1	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-
E953	Léèebná nehoda pøi užívání léèiv a biologických látek	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E954	Léèebná nehoda pøi anestesii	1	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-
E955	Jiná nebo blíže neurèená léèebná nehoda 	2	-	-	-	-	-	-	-	1	-	-	1	-	-	-	-
E956	Pozdní komplikace chirurgických operací	1	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-
E957	Pozdní komplikace amputaèních pahýlù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E958	Pozdní komplikace po ozaøování	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E959	Pozdní komplikace jiných druhù léèení	2	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-
																	
	Pozdní následky otrav a úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E960	Pozdní následek náhodných úrazù motorovými vozidly	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E961	Pozdní následek náhodných otrav	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E962	Pozdní následek jiných náhodných úrazù	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E963	Pozdní následek sebepoškození	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E964	Pozdní následky úrazù zpùsobených úmyslnì jinou osobou (ne ve válce)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E965	Pozdní následky úrazù vzniklých váleènými operacemi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
SE	Sebevraždy a sebepoškození	673	-	-	-	-	-	4	37	82	85	154	134	104	62	11	-
E970	Sebevražda a sebepoškození otravou analgetiky a uspávacími prostøedky	23	-	-	-	-	-	-	3	7	2	3	6	2	-	-	-
E971	Sebevražda a sebepoškození otravou jinými pevnými látkami a tekutinami	54	-	-	-	-	-	-	6	15	11	11	7	2	2	-	-
E972	Sebevražda a sebepoškození otravou plyny v domácím používání	112	-	-	-	-	-	1	15	18	16	27	14	11	8	2	-
E973	Sebevražda a sebepoškození otravou jinými plyny	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E974	Sebevražda a sebepoškození vìšením a škrcením	306	-	-	-	-	-	1	3	22	35	78	69	59	32	7	-
E975	Sebevražda a sebepoškození  tonutím (utonutím)	84	-	-	-	-	-	1	2	3	9	22	20	19	7	1	-
E976	Sebevražda a sebepoškození  zbranìmi a výbušninami	9	-	-	-	-	-	-	3	4	1	1	-	-	-	-	-
E977	Sebevražda a sebepoškození  nástroji øeznými a bodnými	14	-	-	-	-	-	-	1	1	2	1	3	3	3	-	-
E978	Sebevražda a sebepoškození  skokem s vysokého místa	39	-	-	-	-	-	1	4	5	3	5	9	5	6	1	-
E979	Sebevražda a sebepoškození  jinými a blíže neurèenými prostøedky 	32	-	-	-	-	-	-	-	7	6	6	6	3	4	-	-
E97a	Sebevražda vlakem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																	
NA	Usmrcení nebo poranìní zpùsobená úmyslnì jinou osobou (ne ve válce)	50	7	1	1	1	-	8	4	14	4	4	4	1	1	-	-
E980	Úmyslné otrávení	2	-	-	1	-	-	1	-	-	-	-	-	-	-	-	-
E981	Napadení  støelnou zbraní a výbušninou	10	-	-	-	-	-	2	1	4	-	1	2	-	-	-	-
E982	Napadení  nástroji øeznými a bodnými	14	-	-	-	-	-	2	1	5	2	2	1	1	-	-	-
E983	Napadení  jinými prostøedky	24	7	1	-	1	-	3	2	5	2	1	1	-	1	-	-
E984	Zranìní zpùsobená zákrokem policie	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
E985	Poprava	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
