1920	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
30	Mykosy	3	-	-	-	-	-	1	1	1	-	-	-
31	Tuberkulosa ústrojí dıchacího	12053	323	254	348	529	1340	2983	2144	2834	1260	30	8
32	Tuberkulosa mozkovıch blan nebo centrálního systému nervového	493	67	103	116	59	46	40	22	28	12	-	-
33	Tuberkulosa støev neb pobøišnice 	300	15	18	14	29	30	42	36	87	29	-	-
34	Tuberkulosa obratlù	81	2	2	2	4	7	13	7	25	18	1	-
35	Tuberkulosa kloubù	77	2	1	2	2	5	8	4	22	31	-	-
36a	Tuberkulosa kùe nebo podkoního vaziva	65	20	10	11	7	1	2	4	4	5	1	-
36b	Tuberkulosa kostí	324	5	3	9	15	25	28	26	101	109	3	-
36c	Tuberkulosa lymfatického systému	22	6	3	1	-	4	3	-	1	4	-	-
36d	Tuberkulosa ústrojí urogenitálního	8	-	1	-	-	1	4	1	-	1	-	-
36	Tuberkulosa jinıch orgánù	29	4	-	2	3	4	6	4	3	3	-	-
37a	Tuberkulosa prudká	72	7	7	14	12	15	17	-	-	-	-	-
37b	Tuberkulosa vleklá	28	-	-	-	-	-	4	5	14	5	-	-
37c	Tuberkulosa bez blišího oznaèení	52	-	-	-	-	-	6	18	20	8	-	-
38	Pøíjice	114	71	2	1	-	4	8	7	15	6	-	-
40	Kapavka	-	-	-	-	-	-	-	-	-	-	-	-
41	Otrava krve	634	139	15	15	25	32	91	112	120	75	9	1
42	Ostatní nemoci epidemické a infekèní	7	3	1	-	-	-	-	2	1	-	-	-
													
RA		5671	35	5	10	9	8	70	277	2259	2848	149	1
KR		175	12	9	8	5	7	14	23	66	30	1	0
EN		848	150	115	28	25	13	45	45	207	215	5	0
DU		87	0	0	0	1	2	8	10	39	25	2	0
III	Celkové nemoci vıše nejmenované	6753	203	131	48	41	31	131	350	2552	3110	155	1
43	Rakovina neb jiné zhoubné nádory dutiny ústní	31	1	-	-	-	-	-	1	6	20	3	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	2573	14	1	1	2	1	12	67	899	1508	68	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	643	6	-	-	1	1	11	26	224	349	25	-
46	Rakovina neb jiné zhoubné nádory rodidel	1061	-	-	-	-	-	15	100	573	362	10	1
47	Rakovina neb jiné zhoubné nádory prsu	303	-	-	-	-	-	3	17	163	111	9	-
48	Rakovina neb jiné zhoubné nádory kùe	67	-	1	-	-	-	-	2	8	45	11	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatatních nebo blíe neurèenıch	912	8	3	6	3	3	23	56	350	437	23	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikována	30	4	-	-	-	1	1	2	14	8	-	-
51	Prudkı horeènatı hostec kloubní	26	1	-	-	7	3	5	2	5	3	-	-
52	Vleklı hostec, dna	258	-	-	4	2	2	10	16	102	118	4	-
53	Kurdìje	4	2	-	1	1	-	-	-	-	-	-	-
56	Køivice	270	133	115	19	3	-	-	-	-	-	-	-
57	Cukrovka	216	-	-	-	10	7	24	17	72	85	1	-
58a	Nedokrevnost zhoubná	165	12	8	8	3	6	12	23	65	27	1	-
58b	Jiné nedokrevnosti a blednièka	9	-	-	-	2	1	2	-	1	3	-	-
59	Choroby hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	25	-	-	-	-	-	3	6	10	6	-	-
60b	Jiná onemocnìní štítné lázy	20	-	-	-	1	1	2	2	12	2	-	-
61	Nemoci lázek pøištítnıch	18	12	-	1	-	-	1	2	2	-	-	-
62	Nemoci brzlíku	6	2	-	3	1	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	5	-	-	-	-	-	-	-	4	1	-	-
64	Nemoci sleziny	1	-	1	-	-	-	-	-	-	-	-	-
65	Bìlokrevnost nebo  Hodgkinova nemoc	51	2	-	3	3	2	5	6	22	8	-	-
66	Alkoholismus	26	-	-	-	-	-	1	3	12	10	-	-
67	Vleklé otravy nerostnımi látkami	1	-	-	-	-	-	-	-	-	1	-	-
68	Vleklé otravy ústrojnımi látkami	1	-	-	-	-	-	-	-	1	-	-	-
69	Ostatní celkové nemoci	31	6	2	2	2	3	1	2	7	6	-	-
													
IV	Choroby systému nervového a smyslovıch orgánù	8757	3279	349	221	167	138	287	344	1340	2325	303	4
70	Zánìt mozku	245	22	26	28	13	22	40	29	41	22	2	-
71	Zánìt mozkovıch blan	982	213	163	159	105	64	69	66	103	39	1	-
72	Úbytì míchy	123	-	-	1	-	1	6	10	59	46	-	-
73	Jiné choroby míchy	265	2	3	2	4	7	21	31	103	88	4	-
74a	Vılev krevní do mozku	3000	-	-	-	-	-	32	73	744	1876	274	1
74b	Záha il mozkovıch	74	1	-	1	2	2	8	9	24	24	3	-
75a	Jednostranná obrna tìla	94	-	-	-	-	-	-	3	27	58	6	-
75b	Paralysis progressiva	34	-	-	-	-	-	-	7	20	7	-	-
75c	Jiné obrny	30	-	-	-	-	-	-	4	9	16	1	-
76	Ochrnutí spojené s duševní chorobou	1	-	-	-	-	-	-	-	1	-	-	-
77	Jiné duševní choroby	60	-	-	-	1	2	7	7	26	15	2	-
78	Padoucnice	198	1	5	6	13	21	47	40	46	17	1	1
79	Boec nepuerperální	63	-	-	10	3	3	25	12	4	6	-	-
80	Køeèe u dìtí	3178	3026	150	-	-	-	-	-	-	-	-	2
81	Posunèina	9	-	-	2	2	3	1	-	1	-	-	-
82b	Zánìt nervù	24	-	1	-	-	-	-	1	11	10	1	-
83	Zmìknutí mozku	67	-	-	-	-	-	-	-	25	37	5	-
84	Ostatní choroby systému nervového	276	5	1	7	18	11	28	48	93	62	3	-
86	Choroby ucha nebo dutin mastoideu	34	9	-	5	6	2	3	4	3	2	-	-
													
V	Choroby obìhu krevního	9370	80	24	96	133	151	328	513	2466	5124	449	6
87	Zánìt osrdce	40	-	-	5	4	3	1	2	14	11	-	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1547	4	3	11	17	12	38	41	316	1002	100	3
89	Srdeèní angina	14	-	-	-	-	-	-	-	3	11	-	-
90	Jiné nemoci srdce	5922	64	17	77	108	130	277	436	1909	2755	148	1
91a	Vıdu	34	-	-	-	-	-	2	4	16	11	1	-
91b	Zkornatìní a jiné choroby tepen	1626	-	-	-	-	1	1	3	155	1269	196	1
92	Záha (nikoliv mozková)	78	1	-	-	2	1	7	18	27	20	2	-
93	Choroby il	47	-	-	-	-	-	-	3	13	29	1	1
94	Choroby systému mízního	18	9	3	1	-	-	1	-	2	2	-	-
95	Ostatní choroby obìhu krevního	44	2	1	2	2	4	1	6	11	14	1	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	10830	2852	818	259	119	180	450	404	1469	3899	373	7
97	Choroby dutin nosního a jejich adnex	5	2	-	1	-	-	-	-	1	1	-	-
98	Choroby hrtanu	31	15	5	4	-	2	1	-	2	2	-	-
99a	Zánìt prùdušek prudkı	317	234	25	5	1	-	1	4	13	33	1	-
99b	Zánìt prùdušek vleklı	163	19	12	3	4	-	3	3	33	81	5	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	888	725	163	-	-	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	268	-	-	19	3	6	3	11	35	161	30	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	853	398	122	20	7	8	17	22	62	177	19	1
101a	Zánìt plic lalokovı	291	37	14	4	1	7	25	18	58	116	11	-
101b	Zánìt plic bez blišího oznaèení	5680	1382	463	186	87	139	331	291	835	1765	197	4
102	Zánìt pohrudnice	387	17	9	11	14	11	39	29	110	141	6	-
103	Pøekrvení nebo krvácení parenchymatosní plic	26	-	-	-	-	1	1	-	6	16	2	-
104	Snì plicní	19	1	-	1	-	1	3	2	6	5	-	-
105	Záducha	319	-	-	-	-	-	1	5	65	234	14	-
106	Rozedma plic	1355	-	-	-	-	-	4	5	200	1065	81	-
107	Ostatní choroby ústrojí dıchacího	228	22	5	5	2	5	21	14	43	102	7	2
													
VII	Choroby ústrojí zaívacího	7203	4512	318	125	67	84	238	299	701	807	50	2
108b	Choroby ústní dutiny a jejich adnex	19	14	3	-	-	-	-	-	1	-	1	-
109	Choroby hltanu nebo mandlí	50	34	4	1	1	-	3	1	2	3	1	-
110	Choroby jícnu	12	1	2	1	-	-	1	-	5	2	-	-
111a	Vøed aludeèní	178	3	-	2	1	4	16	24	71	57	-	-
111b	Vøed dvanácterníku	39	3	-	1	1	2	2	4	13	12	1	-
112	Jiné choroby aludeèní	60	6	-	1	3	1	3	2	16	26	2	-
113	Prùjem a zánìt støev (pod 2 roky)	4607	4401	204	-	-	-	-	-	-	-	-	2
114	Prùjem a zánìt støev (nad 2 roky)	549	-	84	70	20	8	25	27	119	176	20	-
115	Ankylostomiasis	1	1	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	1	-	1	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	123	2	2	10	17	11	15	23	28	15	-	-
118a	Kıla 	30	-	-	1	-	-	-	1	7	19	2	-
118b	Záha støevní	306	8	1	1	2	2	8	14	87	172	11	-
119b	Jiné choroby støev	56	9	-	-	1	-	4	2	16	23	1	-
120	Prudká atrofie jater	8	-	-	-	-	1	3	1	2	1	-	-
121	Hydativní nádor jater	1	-	-	-	-	-	-	-	1	-	-	-
122a	Svraštìní jater alkoholické	-	-	-	-	-	-	-	-	-	-	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	115	1	-	1	-	3	4	10	45	50	1	-
123	luèové kaménky	96	-	-	1	-	-	4	12	40	37	2	-
124	Jiné choroby jater	179	6	1	1	-	2	11	21	60	74	3	-
125	Choroby mikteru	3	-	-	-	-	-	-	1	2	-	-	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	770	23	16	34	21	50	139	156	186	140	5	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1757	36	30	46	37	43	154	227	585	575	23	1
128	Prudkı zánìt ledvin	119	23	20	28	7	2	6	10	16	7	-	-
129	Vleklı zánìt ledvin	1376	10	8	17	26	39	114	158	486	497	20	1
130	Chylurie	-	-	-	-	-	-	-	-	-	-	-	-
131	Jiné choroby ledvin a jejich adnex	63	2	1	-	1	1	2	8	17	31	-	-
132	Moèové kaménky	6	-	-	-	-	-	1	1	-	4	-	-
133	Choroby mìchıøe	34	1	1	1	-	-	1	2	9	17	2	-
134	Choroby moèové roury	1	-	-	-	1	-	-	-	-	-	-	-
135	Choroby lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
136	Nevenerické choroby muskıch pohlavních orgánù	x	x	x	x	x	x	x	x	x	x	x	x
137	Boubel a jiné nezhoubné nádory vajeèníku	23	-	-	-	-	-	2	2	12	7	-	-
138	Zánìt vejcovodu nebo vøed v pánvi	14	-	-	-	1	-	2	4	7	-	-	-
139	Nádory dìloní	77	-	-	-	1	1	21	23	24	7	-	-
140	Nepuerperální krvácení z dìlohy	16	-	-	-	-	-	4	10	2	-	-	-
141	Ostatní choroby rodidel	26	-	-	-	-	-	1	8	12	4	1	-
142	Nepuerperální choroby prsu	2	-	-	-	-	-	-	1	-	1	-	-
													
IX	Puerperální stav	1086	-	-	-	-	38	480	471	97	-	-	-
143a	Potrat 	290	-	-	-	-	12	127	118	33	-	-	-
143b	Mimodìloní tìhotenství	17	-	-	-	-	-	9	8	-	-	-	-
143c	Jiné nehody v tìhotenství	9	-	-	-	-	-	3	4	2	-	-	-
144	Krvácení tìhotnıch a v šestinedìlí	62	-	-	-	-	-	21	32	9	-	-	-
145	Jiné nehody pøi porodu	63	-	-	-	-	3	17	37	6	-	-	-
146	Horeèka omladnic	529	-	-	-	-	20	250	220	39	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	7	-	-	-	-	1	1	5	-	-	-	-
148	Albuminurie nebo boec v šestinedìlí	85	-	-	-	-	2	45	34	4	-	-	-
149	Následky porodu (bez blišího oznaèení)	24	-	-	-	-	-	7	13	4	-	-	-
150	Puerperální choroby prsu	-	-	-	-	-	-	-	-	-	-		
													
X	Choroby kùe a vaziva	556	338	4	3	5	2	15	13	40	106	30	-
151	Snì	121	3	1	1	-	1	-	4	13	75	23	-
152	Neit	136	128	-	-	1	-	1	-	1	3	2	-
153	Zánìt podkoního vaziva, horeènatı vøed	162	81	3	1	4	1	13	8	23	23	5	-
155	Ostatní choroby kùe neb jejich adnex	137	126	-	1	-	-	1	1	3	5	-	-
													
XI	Choroby kostí a ústrojí pohybového	123	5	3	15	13	11	7	4	41	23	1	-
156	Choroby kostí	87	3	3	15	9	7	5	2	28	14	1	-
157	Choroby kloubù	34	2	-	-	4	4	1	2	12	9	-	-
158	Ostatní choroby kostí nebo ústrojí pohybového	2	-	-	-	-	-	1	-	1	-	-	-
													
XII	Zrùdnost vrozená	126	122	4	-	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	126	122	4	-	-	-	-	-	-	-	-	-
													
XIII	Ranı vìk	5199	5199	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	4108	4108	-	-	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1000	1000	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	89	89	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péèe	2	2	-	-	-	-	-	-	-	-	-	-
													
XIV		15227	6	2	2	2	3	1	2	17	9535	5644	13
164	Stáøí	15194	-	-	-	-	-	-	-	9	9528	5644	13
													
XV	Zevní pøíèiny 	1837	54	113	85	57	181	387	199	372	344	31	14
SE		853	0	0	0	4	102	240	119	188	180	15	5
165	Sebevrada otravou jedy	114	-	-	-	-	15	53	22	14	8	2	-
166	Sebevrada otravou poitím íravin	12	-	-	-	-	3	5	1	1	2	-	-
167	Sebevrada vdechováním jedovatıch plynù	10	-	-	-	-	-	6	4	-	-	-	-
168	Sebevrada obìšením neb uškrcením	348	-	-	-	-	19	66	47	107	100	8	1
169	Sebevrada utopením	201	-	-	-	3	30	53	20	34	55	4	2
170	Sebevrada zastøelením	66	-	-	-	1	24	26	11	2	1	-	1
171	Sebevrada nástroji øeznımi neb bodnımi	13	-	-	-	-	-	2	-	6	5	-	-
172	Sebevrada skokem s vıše	14	-	-	-	-	1	4	3	6	-	-	-
173	Sebevrada rozdrcením	31	-	-	-	-	7	14	3	5	1	1	-
174	Sebevrada jinım zpùsobem	44	-	-	-	-	3	11	8	13	8	-	1
175	Otrava potravinami	34	3	-	3	4	1	4	4	8	7	-	-
176	Uštknutí neb štípnutí	1	-	-	1	-	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	18	1	1	2	1	2	2	2	7	-	-	-
178	Úraz pøi poáru	2	-	-	-	-	-	-	-	1	1	-	-
179	Náhodné popálení (vyjma pøi poáru)	149	6	34	24	13	9	15	11	22	15	-	-
180	Náhodné mechanické udušení (vyjma pøi poáru)	38	5	5	4	2	-	9	2	10	1	-	-
181	Vdechování plynù nedıchatelnıch neb jedovatıch	30	-	2	1	1	2	5	7	6	5	1	-
182	Náhodné utopení	177	7	46	18	16	18	28	10	20	8	2	4
183	Poranìní støelnou zbraní	29	-	3	3	1	5	10	3	2	2	-	-
184	Poranìní nástroji øeznımi neb bodnımi	15	1	-	2	-	2	3	2	3	2	-	-
185	Poranìní pádem	31	2	-	-	2	1	-	5	8	12	1	-
186	Poranìní v dolech neb lomech	1	-	-	-	-	-	1	-	-	-	-	-
187	Poranìní stroji	-	-	-	-	-	-	-	-	-	-	-	-
188	Poranìním pohmodìním jiného druhu	212	5	17	21	8	21	32	16	47	41	3	1
189	Poranìní zpùsobená zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-
190	Zranìní váleèná	-	-	-	-	-	-	-	-	-	-	-	-
192b	Hlad nebo ízeò	13	-	-	-	-	-	-	-	6	6	-	1
193	Pøílišnı chlad	19	-	-	-	-	-	1	1	9	8	-	-
194	Pøílišnı ár	3	-	-	-	-	-	1	-	1	1	-	-
195	Blesk	27	-	-	1	3	2	7	2	7	5	-	-
196	Jiné úrazy elektrickım proudem	2	-	-	-	-	-	-	-	2	-	-	-
NA		86	23	1	0	0	12	19	6	7	14	1	3
197	Zabití støelnou zbraní	22	-	-	-	-	12	8	-	2	-	-	-
198	Zabití nástroji øeznımi neb bodnımi	7	-	-	-	-	-	4	1	1	1	-	-
199	Zabití jinımi prostøedky	57	23	1	-	-	-	7	5	4	13	1	3
201c	Zlomeniny (bez blišího oznaèení)	97	1	4	5	2	4	10	9	18	36	8	-
202a	Ostatní násilná zevní poranìní	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé pøíèiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XVI	Nemoci špatnì definované	1388	115	54	26	14	13	41	67	342	674	35	7
204	Náhlé úmrtí	3	-	1	-	-	-	-	1	1	-	-	-
205	Nemoci nespecifikované nebo špatnì definované	1385	115	53	26	14	13	41	66	341	674	35	7
