1947	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
24b	Snì plynová	-	-	-	-	-	-	-	-	-	-	-	-	-
25	Kapavka	1	1	-	-	-	-	-	-	-	-	-	-	-
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	2	-	1	-	-	-	-	1	-	-	-	-	-
28	Støídavka (malarie)	1	-	-	-	-	-	1	-	-	-	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	53	-	-	-	-	-	4	14	24	9	2	-	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	118	-	-	1	1	1	24	37	37	14	3	-	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	110	-	-	-	-	1	7	25	40	27	9	1	-
30d	Pøíjice: pøíjice vrozená	70	68	1	-	-	-	-	-	1	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	122	1	-	-	-	6	18	31	37	23	6	-	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	5	1	-	-	-	-	-	2	2	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	1	-	1	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	156	100	6	1	1	1	1	3	10	15	17	1	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	108	69	4	4	1	1	3	4	4	10	5	3	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	29	14	10	5	-	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	36	6	3	11	7	3	4	2	-	-	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	3	-	-	-	-	-	-	-	3	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	30	-	-	-	-	3	8	5	6	4	4	-	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	5	-	-	-	1	-	1	-	3	-	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	6	5	-	-	-	-	-	-	-	1	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	-	-	-	-	-	-	-	-	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	3	-	-	-	1	-	-	2	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	1	-	-	-	-	-	-	-	1	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	2	-	-	-	1	-	-	1	-	-	-	-	-
43b	Jiné mykosy	3	1	-	-	-	-	1	1	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	62	-	-	5	4	3	20	14	12	4	-	-	-
44c	Epidemickı zánìt pøíušnic	-	-	-	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-	-
														
II	Rakovina a jiné nádory	6924	7	21	26	41	89	353	1017	1905	2248	1130	86	1
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	34	-	-	-	-	1	-	-	4	12	16	1	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	45	-	-	-	-	-	3	3	15	14	6	4	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	71	-	-	1	1	1	1	13	16	26	11	1	-
46a	Rakovina a jiné zhoubné nádory: jícnu	324	-	-	-	-	-	7	27	78	130	71	11	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2551	-	-	1	-	17	98	332	713	921	448	20	1
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	404	-	1	-	2	8	22	54	114	130	71	2	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	410	-	-	1	2	4	22	52	102	133	87	7	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	541	-	-	2	-	2	24	75	137	200	97	4	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	160	1	1	2	2	1	8	30	40	49	23	3	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	127	-	-	-	-	1	7	27	44	42	6	-	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	49	-	1	-	-	1	4	9	15	15	4	-	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	30	-	-	1	3	2	2	7	5	9	-	1	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	158	-	-	-	-	2	11	22	54	49	20	-	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	669	-	-	-	3	5	37	163	246	169	45	1	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	1	-	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	x	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dìlohy	-	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	4	-	-	-	-	1	-	-	1	-	2	-	-
51a	Rakovina a jiné zhoubné nádory: šourku	2	-	-	-	-	-	-	1	-	1	-	-	-
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	296	-	-	-	1	1	4	12	54	117	97	10	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	27	-	1	-	1	1	6	1	4	8	4	1	-
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	173	-	-	1	-	1	5	26	49	54	31	6	-
53	Rakovina a jiné zhoubné nádory: kùe	89	-	-	-	-	1	4	9	14	24	25	12	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	32	-	-	2	1	2	8	12	6	-	1	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	43	-	-	-	-	2	5	15	11	7	3	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	92	-	1	1	7	6	12	14	29	12	10	-	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	53	-	-	-	-	1	2	7	27	12	4	-	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	161	-	2	5	4	4	11	37	33	41	22	2	-
55	Carcinomatosy, sarkomatosy	25	1	1	-	3	-	1	5	6	6	2	-	-
55f	Metastasy bez udání prvotního místa	-	-	-	-	-	-	-	-	-	-	-	-	-
56a	Nádory nezhoubné: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	8	1	-	-	-	-	1	-	4	2	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	18	-	2	-	2	-	2	1	4	6	1	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	156	1	7	7	7	20	34	43	26	9	2	-	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	171	3	4	2	2	4	12	20	53	50	21	-	-
														
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	620	90	19	22	22	15	23	49	116	183	71	10	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	36	-	3	17	11	1	1	1	1	1	-	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	-	-	-	-	-	-	-	-	-	-	-	-	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	52	-	-	-	2	-	3	3	10	15	15	4	-
60	Dna	1	-	-	-	-	-	-	-	-	1	-	-	-
61	Úplavice cukrová	386	-	1	4	5	12	17	37	94	160	50	6	-
62	Nemoci podvìsku mozkového	1	-	1	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	8	-	-	-	1	-	-	1	1	3	2	-	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	13	-	-	-	1	-	2	2	5	1	2	-	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	6	2	-	-	-	2	-	-	1	-	1	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	53	40	12	1	-	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	14	-	-	-	2	-	-	5	4	2	1	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	-	-	-	-	-	-	-	-	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	1	1	-	-	-	-	-	-	-	-	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	47	45	2	-	-	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	2	2	-	-	-	-	-	-	-	-	-	-	-
														
IV	Nemoci krve a ústrojù krvetvornıch	262	18	18	17	18	16	34	30	45	45	20	1	-
72a	Stavy krvácivé: purpury prvotní	5	2	1	-	1	-	1	-	-	-	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	7	2	1	-	1	1	-	1	-	1	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	49	1	1	1	1	-	4	4	11	16	9	1	-
73b	Chudokrevnost: jiná anaemie	24	1	1	1	-	1	4	1	6	5	4	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	144	4	11	15	14	8	25	16	23	21	7	-	-
74b	Leukaemie a aleukaemie: aleukaemie	7	1	-	-	-	2	-	1	2	1	-	-	-
75	Nemoci sleziny	12	2	2	-	-	1	-	4	2	1	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	5	-	-	-	-	2	-	3	-	-	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	9	5	1	-	1	1	-	-	1	-	-	-	-
														
V	Otravy vleklé	57	-	-	-	1	7	10	10	13	13	2	1	-
77a	Alkoholismus prudkı	11	-	-	-	1	1	3	4	1	1	-	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	39	-	-	-	-	6	5	4	11	10	2	1	-
78a	Otrava olovem: oznaèená jako z povolání	3	-	-	-	-	-	-	-	1	2	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	4	-	-	-	-	-	2	2	-	-	-	-	-
														
DU		98	1	1	3	6	14	16	15	20	17	4	1	0
														
VI	Nemoci soustavy nervové a smyslovıch ústrojù	4364	602	60	47	73	76	144	335	750	1194	949	134	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	23	2	2	2	3	2	5	5	1	1	-	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	44	15	10	4	2	1	4	3	3	2	-	-	-
81	Zánìt plen mozkovıch prostı	202	80	27	17	15	14	18	13	9	7	2	-	-
82	Nemoci míchy	73	-	1	1	4	2	8	14	20	18	5	-	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2839	-	-	-	12	15	55	203	603	1008	825	118	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	67	-	-	-	-	5	5	9	13	19	14	2	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	89	-	1	-	-	1	3	8	18	28	25	5	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	154	-	-	2	-	1	2	20	31	53	41	4	-
84a	Duševní nemoci a vady: slabomyslnost	16	1	1	3	1	3	2	1	2	1	1	-	-
84b	Duševní nemoci a vady: schoizophrenie	8	-	-	-	3	1	1	1	-	2	-	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	2	-	-	-	-	-	-	2	-	-	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	22	-	-	-	1	3	5	3	6	3	1	-	-
85	Padoucnice	82	3	4	9	20	13	15	6	4	5	3	-	-
86	Køeèe u dìtí do 5 let	396	387	9	-	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	-	-	-	-	-	-	-	-	-	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	4	-	-	-	-	-	-	2	1	-	1	-	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	26	-	-	1	1	1	2	4	4	6	7	-	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	150	-	-	-	2	12	15	33	30	33	20	5	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	24	2	1	5	4	-	-	3	2	4	3	-	-
88	Nemoci ústrojí zrakového	2	-	-	-	-	-	-	-	-	2	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	140	111	4	3	5	2	4	5	3	2	1	-	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	1	1	-	-	-	-	-	-	-	-	-	-	-
														
VII	Nemoci ústrojí obìhu krevního	13732	30	23	55	125	134	500	1269	2525	4295	3923	852	1
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	1	-	-	1	-	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	13	1	1	-	-	2	-	-	4	3	2	-	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	20	1	4	9	2	1	-	2	1	-	-	-	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	892	-	-	9	45	43	131	130	198	210	116	10	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	75	-	-	-	8	9	16	15	14	11	2	-	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	47	4	2	-	1	1	3	10	8	9	9	-	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	109	-	-	1	-	-	3	6	14	49	30	6	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	7490	8	4	4	20	34	148	573	1347	2479	2338	535	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1226	2	5	8	10	10	36	96	201	401	379	78	-
94a	Nemoci tepen vìnèitıch	147	-	-	-	-	2	14	24	47	47	11	2	-
94b	Angina srdeèní	447	-	-	-	1	2	24	93	142	138	45	2	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	35	-	-	1	2	1	7	6	11	5	2	-	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1724	6	5	20	34	26	95	237	360	546	354	41	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	1	-	-	-	-	-	-	-	1	-	-	-	-
97	Zkornatìní tepen	1278	-	-	-	-	1	7	39	133	341	585	171	1
98	Snì	61	1	-	-	1	-	-	5	6	19	24	5	-
99	Jiné nemoci tepen	82	-	-	1	-	1	8	19	20	20	11	2	-
100a	Nemoci il: mìstky	14	-	-	-	-	-	-	1	2	4	7	-	-
100b	Nemoci il: jiné nemoci il	43	1	-	1	-	1	6	9	10	7	8	-	-
101	Nemoci soustavy mízní	16	6	2	-	-	-	2	1	2	3	-	-	-
102	Essentielní zvıšení tlaku krevního	7	-	-	-	-	-	-	2	3	2	-	-	-
103	Jiné nemoci ústrojí obìhu krevního	4	-	-	-	1	-	-	1	1	1	-	-	-
														
VIII	Nemoci ústrojù dıchacích	5795	2355	176	34	43	47	138	278	556	1028	955	185	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	5	3	-	-	-	-	1	1	-	-	-	-	-
105	Nemoci hrtanu	11	8	1	-	-	-	-	-	1	1	-	-	-
106a	Zánìt prùdušek: prudkı	84	60	3	1	-	-	1	2	1	9	6	1	-
106b	Zánìt prùdušek: vleklı	231	7	1	-	-	-	5	16	45	69	72	16	-
106c	Zánìt prùdušek: blíe neoznaèenı	188	79	4	1	1	-	3	6	21	32	36	5	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2787	1712	111	16	17	16	23	65	123	302	324	78	-
108	Lalokovı zánìt plic	641	141	17	4	8	11	28	53	112	150	99	18	-
109	Zánìt plic blíe neoznaèenı	762	314	30	7	4	10	15	34	62	131	125	30	-
110a	Zánìt pohrudnice: empyema thoracis	85	20	4	-	3	3	10	19	14	9	2	1	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	159	7	2	2	4	3	14	17	30	50	29	1	-
111a	Infarkt s krvácením, embolie a trombosa plic	95	-	1	-	1	2	14	12	16	35	13	1	-
111b	Hypostatickı zánìt a oedem plic	36	-	-	1	-	-	-	1	7	12	14	1	-
112	Záducha (asthma)	242	1	-	-	-	-	7	20	51	77	79	7	-
113	Rozedma plic	386	-	-	-	-	-	5	15	52	137	151	26	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	22	-	-	-	-	-	2	8	4	6	2	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	54	2	1	1	5	2	9	8	16	8	2	-	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	7	1	1	1	-	-	1	1	1	-	1	-	-
														
IX	Nemoci ústrojí zaívacího	3647	1721	86	43	79	67	178	354	441	420	236	22	-
115a	Nemoci mandlí a hltanu	55	27	4	-	3	1	2	3	3	6	6	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	3	-	1	-	-	-	-	1	1	-	-	-	-
116	Nemoci jícnu	2	-	-	-	-	-	-	-	2	-	-	-	-
117a	Vøed aludeèní	391	-	-	-	5	16	38	95	117	93	27	-	-
117b	Vøed dvanáctníkovı	106	-	1	-	3	5	18	32	21	24	2	-	-
118	Jiné nemoci aludku	40	1	1	1	-	1	2	5	5	8	13	3	-
119	Prùjem a katar støevní u dìtí do 2 let	1677	1633	44	-	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	41	-	5	4	-	1	1	6	3	11	8	2	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	15	-	1	-	-	1	1	-	2	4	6	-	-
121	Zánìt èervíkovitého pøívìsku	202	5	16	21	38	15	30	25	29	14	8	1	-
122a	Kıla	143	10	1	1	1	1	4	12	12	51	47	3	-
122b	Neprùchodnost støevní	243	30	5	8	6	4	15	38	44	50	36	7	-
123	Ostatní nemoci støevní	9	-	-	-	1	1	1	1	3	1	1	-	-
124a	Svraštìní jater: alkoholické	9	-	-	-	-	1	1	3	1	3	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	369	-	-	-	2	4	29	72	126	91	43	2	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	83	-	-	4	10	8	9	17	14	11	9	1	-
125b	Jiné nemoci jater: ostatní nemoci jater	33	-	1	-	3	2	7	4	7	4	4	1	-
126	Kaménky luèové	59	-	-	-	1	1	6	7	20	14	10	-	-
127	Jiné nemoci luèníku a luèovodù	49	-	-	-	-	-	3	12	10	16	7	1	-
128	Nemoci slinivky bøišní	20	1	-	1	-	1	3	6	4	3	1	-	-
129	Zánìt pobøišnice bez udání pøíèiny	98	14	6	3	6	4	8	15	17	16	8	1	-
														
X	Nemoci ústrojí moèového a pohlavního	1585	11	10	5	29	37	92	179	279	491	384	68	-
130	Prudkı zánìt ledvin	25	4	-	-	2	-	1	4	-	8	6	-	-
131	Vleklı zánìt ledvin	788	-	3	1	19	28	69	139	197	230	95	7	-
132	Zánìt ledvin nerozlišenı	92	3	5	3	4	4	10	11	18	20	13	1	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	55	2	1	1	1	1	3	12	6	15	10	3	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	4	-	-	-	-	-	-	1	2	-	1	-	-
134	Kaménky cest moèovıch	45	-	-	-	2	1	5	6	13	9	9	-	-
135a	Zánìt mìchıøe moèového	26	1	-	-	-	2	3	-	2	7	8	3	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	8	1	-	-	-	1	-	-	-	1	5	-	-
136	Nemoci roury moèové	22	-	-	-	1	-	1	-	4	9	5	2	-
137a	Nezhoubné nádory lázy pøedstojné	18	-	-	-	-	-	-	-	-	11	7	-	-
137b	Zbytnìní lázy pøedstojné	488	-	-	-	-	-	-	5	37	175	220	51	-
137c	Ostatní nemoci lázy pøedstojné	10	-	-	-	-	-	-	1	-	4	4	1	-
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	4	-	1	-	-	-	-	-	-	2	1	-	-
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	x	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	x	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	x	x	x	x	x	x	x	x	x	x	x	x	x
														
XI	Nemoci tìhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x	x
142	Tìhotenství mimodìloní	x	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v tìhotenství: lùko vcestné	x	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	x	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v tìhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a pøíhody tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
