1921	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
60b	Jiná onemocnìní štítné lázy	8	1	-	-	1	-	1	-	2	2	1	-
61	Nemoci lázek pøištítnıch	14	11	1	-	-	-	1	1	-	-	-	-
62	Nemoci brzlíku	8	6	1	1	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	11	-	-	-	-	-	2	6	3	-	-	-
64	Nemoci sleziny	4	-	-	-	-	-	-	1	3	-	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	53	1	2	2	3	3	4	5	23	10	-	-
66	Alkoholismus	39	-	-	-	-	-	2	4	19	14	-	-
67	Vleklé otravy nerostnımi látkami	4	-	-	-	-	-	-	1	-	2	1	-
68	Vleklé otravy ústrojnımi látkami	-	-	-	-	-	-	-	-	-	-	-	-
69	Ostatní celkové nemoci	23	5	4	2	1	1	1	3	3	3	-	-
													
IV	Choroby systému nervového a smyslovıch orgánù	8431	3194	411	183	142	104	218	260	1201	2403	314	1
70	Zánìt mozku	186	31	23	14	13	12	25	18	37	12	1	-
71	Zánìt mozkovıch blan	938	223	198	145	88	53	71	38	80	41	1	-
72	Úbytì míchy	97	-	-	1	-	-	4	9	48	34	1	-
73	Jiné choroby míchy	230	2	1	2	4	5	17	30	89	75	5	-
74a	Vılev krevní do mozku	3016	1	-	-	-	1	31	59	645	2001	278	-
74b	Záha il mozkovıch	61	5	1	2	1	1	5	4	16	25	1	-
75a	Jednostranná obrna tìla	81	-	-	-	-	-	1	2	21	48	9	-
75b	Paralysis progressiva	56	-	-	-	1	-	1	9	31	14	-	-
75c	Jiné obrny	28	-	-	-	-	1	2	1	10	13	1	-
76	Ochrnutí spojené s duševní chorobou	2	-	-	-	-	-	-	1	-	1	-	-
77	Jiné duševní choroby	65	-	-	1	2	2	5	6	27	17	5	-
78	Padoucnice	180	7	3	6	14	15	21	41	55	17	1	-
79	Boec nepuerperální	43	-	-	3	3	1	13	9	9	4	1	-
80	Køeèe u dìtí	3085	2909	175	-	-	-	-	-	-	-	-	1
81	Posunèina	4	1	-	1	-	-	1	-	1	-	-	-
82b	Zánìt nervù	12	-	-	1	-	1	-	-	5	5	-	-
83	Zmìknutí mozku	74	-	-	-	-	-	-	4	21	44	5	-
84	Ostatní choroby systému nervového	253	8	10	6	12	10	19	28	103	52	5	-
86	Choroby ucha nebo dutin mastoideu	20	7	-	1	4	2	2	1	3	-	-	-
													
V	Choroby obìhu krevního	8811	75	38	75	129	138	328	503	2165	4885	474	1
87	Zánìt osrdce	30	-	2	3	4	3	1	1	7	9	-	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1521	2	3	9	12	16	41	72	312	954	100	-
89	Srdeèní angina	14	-	-	-	-	-	-	1	6	6	1	-
90	Jiné nemoci srdce	5473	66	33	61	111	118	264	400	1647	2607	165	1
91a	Vıdu	39	-	-	-	-	-	1	1	25	12	-	-
91b	Zkornatìní a jiné choroby tepen	1580	-	-	-	-	-	2	6	125	1243	204	-
92	Záha (nikoliv mozkovı)	75	-	-	1	-	1	12	13	25	22	1	-
93	Choroby il	40	-	-	-	-	-	2	-	11	25	2	-
94	Choroby systému mízního	12	6	-	1	1	-	1	-	1	1	1	-
95	Ostatní choroby obìhu krevního	27	1	-	-	1	-	4	9	6	6	-	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	10113	2953	899	137	100	87	228	319	1271	3712	406	1
97	Choroby dutin nosních a jejich adnex	7	-	2	-	-	-	-	1	3	1	-	-
98	Choroby hrtanu	33	19	10	1	-	1	-	-	2	-	-	-
99a	Zánìt prùdušek prudkı	878	772	67	2	-	-	1	2	6	27	1	-
99b	Zánìt prùdušek vleklı	217	27	20	-	3	-	3	6	33	115	10	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	384	258	126	-	-	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	245	-	-	13	3	3	5	9	29	154	29	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	983	489	160	21	3	8	11	21	66	171	32	1
101a	Zánìt plic lalokovı	336	40	18	5	6	8	14	17	69	152	7	-
101b	Zánìt plic bez blišího oznaèení	4977	1298	467	83	66	53	142	206	734	1721	207	-
102	Zánìt pohrudnice	329	19	13	8	8	8	29	34	73	126	11	-
103	Pøekrvení nebo krvácení parenchymatosní plic	105	12	4	1	2	1	4	5	15	49	12	-
104	Snì plicní	18	2	1	-	1	-	1	2	9	2	-	-
105	Záducha	256	-	-	-	-	1	-	4	47	189	15	-
106	Rozedma plic	1209	1	2	-	2	1	7	5	162	956	73	-
107	Ostatní choroby ústrojí dıchacího	136	16	9	3	6	3	11	7	23	49	9	-
													
VII	Choroby ústrojí zaívacího	7925	5302	470	100	66	66	245	287	607	731	51	-
108b	Choroby ústní dutiny a jejich adnex	13	13	-	-	-	-	-	-	-	-	-	-
109	Choroby hltanu nebo mandlí	46	18	6	2	1	2	3	5	3	6	-	-
110	Choroby jícnu	7	1	-	-	-	-	-	-	2	4	-	-
111a	Vøed aludeèní	161	3	1	2	2	2	11	29	57	53	1	-
111b	Vøed dvanácterníku	30	1	2	2	-	1	2	1	4	16	1	-
112	Jiné choroby aludeèní	57	5	3	-	1	1	5	6	13	21	2	-
113	Prùjem a zánìt støev (pod 2 roky)	5569	5224	345	-	-	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	468	-	89	48	14	13	12	22	79	181	10	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	125	1	5	10	18	11	28	14	23	14	1	-
118a	Kıla 	163	2	1	-	-	-	4	6	47	92	11	-
118b	Záha støevní	187	5	3	3	1	3	14	13	49	90	6	-
119b	Jiné choroby støev	40	-	1	1	1	3	1	6	10	15	2	-
120	Prudká atrofie jater	5	-	-	-	-	-	-	2	2	1	-	-
121	Hydativní nádor jater	6	-	-	-	-	-	-	-	5	1	-	-
122a	Svraštìní jater alkoholické	35	-	-	-	-	1	-	4	18	12	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	88	1	-	-	1	2	5	7	39	31	2	-
123	luèové kaménky	80	-	1	-	-	-	4	7	35	32	1	-
124	Jiné choroby jater	168	5	1	7	3	-	13	16	57	62	4	-
125	Choroby mikteru	8	1	-	-	-	-	2	2	3	-	-	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	669	22	12	25	24	27	141	147	161	100	10	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1563	32	27	47	32	34	157	197	491	522	23	1
128	Prudkı zánìt ledvin	125	25	22	33	4	3	9	13	9	5	2	-
129	Vleklı zánìt ledvin	1216	5	4	14	26	24	105	136	419	466	16	1
130	Chylurie	2	1	-	-	-	-	-	1	-	-	-	-
131	Jiné choroby ledvin a jejich adnex	52	-	1	-	1	1	5	8	16	19	1	-
132	Moèové kaménky	3	-	-	-	-	-	1	-	-	2	-	-
133	Choroby mìchıøe	24	1	-	-	1	-	2	-	4	14	2	-
134	Choroby moèové roury	5	-	-	-	-	-	-	-	-	4	1	-
135	Choroby lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
136	Nevenerické choroby muskıch pohlavních orgánù	x	x	x	x	x	x	x	x	x	x	x	x
137	Boubel a jiné nezhoubné nádory vajeèníku	14	-	-	-	-	-	-	4	6	4	-	-
138	Zánìt vejcovodu nebo vøed v pánvi	19	-	-	-	-	2	6	8	1	2	-	-
139	Nádory dìloní	17	-	-	-	-	-	1	3	12	1	-	-
140	Nepuerperální krvácení z dìlohy	15	-	-	-	-	-	4	2	7	2	-	-
141	Ostatní choroby rodidel	67	-	-	-	-	3	23	22	16	3	-	-
142	Nepuerperální choroby prsu	4	-	-	-	-	1	1	-	1	-	1	-
													
IX	Puerperální stav	1070	-	-	-	-	48	492	450	80	-	-	-
143a	Potrat 	198	-	-	-	-	9	89	84	16	-	-	-
143b	Mimodìloní tìhotenství	12	-	-	-	-	-	1	10	1	-	-	-
143c	Jiné nehody tìhotenské	6	-	-	-	-	-	2	4	-	-	-	-
144	Krvácení tìhotnıch a v šestinedìlí	71	-	-	-	-	-	28	30	13	-	-	-
145	Jiné nehody pøi porodu	67	-	-	-	-	2	18	41	6	-	-	-
146	Horeèka omladnic	577	-	-	-	-	30	288	220	39	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	33	-	-	-	-	2	15	16	-	-	-	-
148	Albuminurie nebo boec v šestinedìlí	100	-	-	-	-	4	49	43	4	-	-	-
149	Následky porodu (bez blišího oznaèení)	6	-	-	-	-	1	2	2	1	-	-	-
150	Puerperální choroby prsu	-	-	-	-	-	-	-	-	-	-	-	-
													
X	Choroby kùe a vaziva	515	354	10	2	3	2	8	9	24	76	27	-
151	Snì	90	2	1	1	-	-	-	2	11	52	21	-
152	Neit	157	151	3	-	-	-	-	-	1	1	1	-
153	Zánìt podkoního vaziva, horeènatı vøed	146	90	3	1	2	2	8	5	9	21	5	-
155	Ostatní choroby kùe neb jejich adnex	122	111	3	-	1	-	-	2	3	2	-	-
													
XI	Choroby kostí a ústrojí pohybového	109	16	4	4	11	8	5	8	21	30	2	-
156	Choroby kostí	69	7	3	2	9	6	3	5	13	21	-	-
157	Choroby kloubù	34	9	1	1	1	2	2	1	7	8	2	-
158	Ostatní choroby kostí nebo ústrojí pohybového	6	-	-	1	1	-	-	2	1	1	-	-
													
XII	Zrùdnost vrozená	157	153	4	-	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	157	153	4	-	-	-	-	-	-	-	-	-
													
XIII	Ranı vìk	5369	5369	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	4191	4191	-	-	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1149	1149	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	28	28	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péèe	1	1	-	-	-	-	-	-	-	-	-	-
													
XIV		13010	5	4	2	1	1	1	4	20	7745	5225	2
164	Stáøí	12983	-	-	-	-	-	-	-	17	7740	5224	2
													
XV	Zevní pøíèiny 	1630	35	136	61	53	159	338	168	331	297	46	6
SE		726	0	0	0	1	81	223	94	173	142	11	1
165	Sebevrada otravou jedy	118	-	-	-	-	17	61	14	16	9	1	-
166	Sebevrada otravou poitím íravin	10	-	-	-	-	-	5	1	2	2	-	-
167	Sebevrada vdechováním jedovatıch plynù	18	-	-	-	-	1	9	3	1	4	-	-
168	Sebevrada obìšením neb uškrcením	269	-	-	-	-	17	49	31	87	79	6	-
169	Sebevrada utopením	179	-	-	-	-	30	47	24	40	34	3	1
170	Sebevrada zastøelením	50	-	-	-	-	8	28	7	7	-	-	-
171	Sebevrada nástroji øeznımi neb bodnımi	8	-	-	-	-	-	1	3	2	2	-	-
172	Sebevrada skokem s vıše	17	-	-	-	-	1	5	1	4	6	-	-
173	Sebevrada rozdrcením	33	-	-	-	1	5	14	5	6	2	-	-
174	Sebevrada jinım zpùsobem	24	-	-	-	-	2	4	5	8	4	1	-
175	Otrava potravinami	12	3	3	-	-	-	2	1	2	1	-	-
176	Uštknutí neb štípnutí	1	-	-	1	-	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	13	1	2	1	2	1	-	2	1	3	-	-
178	Úraz pøi poáru	2	-	-	-	-	-	1	-	-	-	1	-
179	Náhodné popálení (vyjma pøi poáru)	178	9	59	22	10	8	15	11	22	21	1	-
180	Náhodné mechanické udušení (vyjma pøi poáru)	24	3	6	2	3	-	1	1	4	3	-	1
181	Vdechování plynù nedıchatelnıch neb jedovatıch	25	1	3	-	2	5	2	2	7	2	1	-
182	Náhodné utopení	147	4	46	11	15	22	18	8	10	9	3	1
183	Poranìní støelnou zbraní	25	1	-	5	3	3	7	4	1	1	-	-
184	Poranìní nástroji øeznımi neb bodnımi	6	-	-	1	-	-	-	1	3	1	-	-
185	Poranìní pádem	43	-	2	-	-	1	6	1	14	16	3	-
186	Poranìní v dolech neb lomech	-	-	-	-	-	-	-	-	-	-	-	-
187	Poranìní stroji	3	-	-	-	-	-	-	2	1	-	-	-
188	Poranìním pohmodìním jiného druhu	234	2	11	13	11	18	27	22	44	66	20	-
189	Poranìní zpùsobená zvíøaty	4	-	-	1	-	-	-	1	-	-	2	-
190	Zranìní váleèná	-	-	-	-	-	-	-	-	-	-	-	-
192b	Hlad nebo ízeò	2	-	-	-	-	-	-	-	-	2	-	-
193	Pøílišnı chlad	14	-	-	-	-	3	1	1	4	5	-	-
194	Pøílišnı ár	15	-	-	1	-	2	3	1	6	2	-	-
195	Blesk	17	-	-	-	3	2	3	1	6	2	-	-
196	Jiné úrazy elektrickım proudem	2	-	-	-	1	-	-	-	1	-	-	-
NA		98	11	4	3	1	12	23	12	23	6	0	3
197	Zabití støelnou zbraní	34	-	1	-	-	7	14	2	9	1	-	-
198	Zabití nástroji øeznımi neb bodnımi	20	-	1	2	1	1	4	4	5	2	-	-
199	Zabití jinımi prostøedky	44	11	2	1	-	4	5	6	9	3	-	3
201c	Zlomeniny (bez blišího oznaèení)	39	-	-	-	1	1	6	3	9	15	4	-
202a	Ostatní násilná zevní poranìní	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé pøíèiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XVI	Nemoci špatnì definované	1431	110	89	14	10	11	43	58	355	697	39	5
204	Náhlé úmrtí	2	-	-	1	-	-	-	-	-	1	-	-
205	Nemoci nespecifikované nebo špatnì definované	1429	110	89	13	10	11	43	58	355	696	39	5
