1945	Zemřelé ženy podle podrobného seznamu příčin smrti a věku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- těno
44d	Ostatní nemoci přenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	6572	5	11	17	50	128	531	1158	1585	1975	1104	8
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů	5	-	-	-	-	-	2	-	-	1	2	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	10	-	-	-	-	1	-	1	-	4	4	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst	30	-	-	-	-	-	2	7	7	7	7	-
46a	Rakovina a jiné zhoubné nádory: jícnu	73	-	-	-	-	-	3	4	19	24	23	-
46b	Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku	1876	-	-	-	2	15	65	212	400	759	420	3
46c	Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku	404	-	-	-	2	7	26	54	112	110	91	2
46d	Rakovina a jiné zhoubné nádory: konečníku	239	-	-	-	1	3	27	32	67	74	35	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů	711	-	-	-	1	3	27	102	182	264	131	1
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní	152	-	-	2	4	8	6	28	40	40	24	-
46g	Rakovina a jiné zhoubné nádory: slinivky břišní	48	-	-	-	-	1	3	9	13	20	2	-
46h	Rakovina a jiné zhoubné nádory: pobřišnice	82	-	-	-	-	1	8	14	33	21	5	-
46i	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích	3	-	-	-	-	-	-	1	-	2	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a průdušnice	37	-	-	-	-	1	7	6	7	11	5	-
47b	Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice	157	-	-	2	6	5	12	37	38	44	13	-
47c	Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených	1	-	-	-	-	-	-	-	-	-	1	-
48a	Rakovina a jiné zhoubné nádory: hrdla děložního	108	-	-	-	-	9	29	35	23	9	3	-
48b	Rakovina a jiné zhoubné nádory: dělohy	1002	-	-	-	4	18	135	258	265	228	93	1
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských	226	-	-	-	1	5	33	64	68	37	18	-
50	Rakovina a jiné zhoubné nádory: prsů	532	-	-	-	-	12	69	145	143	108	55	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: předstojné žlázy	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí močového	77	-	-	-	-	-	4	8	19	24	22	-
53	Rakovina a jiné zhoubné nádory: kůže	119	-	-	-	-	1	3	5	8	27	75	-
54	Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového	26	-	1	2	1	2	3	8	5	3	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	9	-	-	-	1	-	1	3	2	-	2	-
55b	Rakovina a jiné zhoubné nádory: kostí	97	-	2	1	11	3	7	19	14	28	12	-
55c	Rakovina a jiné zhoubné nádory: žlázy štítné	45	-	1	-	-	-	-	7	15	18	3	1
55d	Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů	191	2	5	3	2	8	10	31	48	53	29	-
55	Carcinomatosy, sarkomatosy	12	-	-	-	-	-	3	2	1	5	1	-
55f	Metastasy bez udání prvotního místa	5	-	-	-	-	-	1	2	2	-	-	-
56a	Nádory nezhoubné: vaječníku	14	-	-	-	-	2	2	2	4	3	1	-
56b	Nádory nezhoubné: dělohy	31	-	-	-	-	2	9	14	2	2	2	-
56c	Nádory nezhoubné: jiných pohlavních ústrojů ženských	-	-	-	-	-	-	-	-	-	-	-	-
56d	Nádory nezhoubné: mozku a jiných částí ústrojí nervového	5	-	-	-	-	1	-	2	2	-	-	-
56	Nádory nezhoubné: jiných a blíže neoznačených ústrojů	6	-	-	-	1	1	1	-	2	1	-	-
57a	Nádory, jejichž zhoubný ráz není rozlišen: vaječníku	2	-	-	-	-	1	-	-	-	1	-	-
57b	Nádory, jejichž zhoubný ráz není rozlišen: dělohy	43	-	-	-	1	-	2	7	11	14	8	-
57c	Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských	1	-	-	-	1	-	-	-	-	-	-	-
57d	Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového	109	2	2	7	7	16	26	26	12	8	3	-
57	Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů	84	1	-	-	4	2	5	13	21	25	13	-
													
III	Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos	875	45	16	28	41	20	45	81	200	260	139	-
58a	Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce	31	-	2	17	5	2	-	1	-	3	1	-
58b	Horečný rheumatismus kloubový prudký: jiné formy	8	-	-	-	-	-	-	-	1	2	5	-
59	Rheumatismus vleklý a jiné formy nemoci rheumatické	145	-	-	-	-	2	4	8	28	48	55	-
60	Dna	1	-	-	-	-	-	-	-	-	-	1	-
61	Úplavice cukrová	512	-	1	9	31	10	22	45	145	179	70	-
62	Nemoci podvěsku mozkového	3	-	-	-	-	-	1	1	-	1	-	-
63a	Nemoci žlázy štítné a žlázek přídatných: vole prosté	16	-	-	-	-	-	1	4	5	4	2	-
63b	Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova	68	-	-	-	-	6	6	18	16	18	4	-
63c	Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné	11	2	-	-	1	-	2	3	1	1	1	-
63d	Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	24	18	5	1	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)	11	-	-	-	2	-	7	-	2	-	-	-
65b	Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek	2	-	1	-	-	-	-	-	1	-	-	-
66a	Jiné nemoci celkové: měknutí kostí	5	-	-	-	-	-	-	1	1	3	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	4	3	1	-	-	-	-	-	-	-	-	-
67	Kurděje	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	2	-	-	-	-	-	2	-	-	-	-	-
70	Křivice	32	22	6	1	2	-	-	-	-	1	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojů krvetvorných	302	9	10	7	14	18	17	59	77	67	24	-
72a	Stavy krvácivé: purpury prvotní	9	2	2	-	1	-	-	4	-	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	5	1	1	1	-	1	-	1	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	126	-	1	-	-	2	4	23	33	47	16	-
73b	Chudokrevnost: jiná anaemie	36	5	1	-	1	-	1	8	8	8	4	-
74a	Leukaemie a aleukaemie: bělokrevnost pravá	105	-	5	5	11	12	10	18	29	11	4	-
74b	Leukaemie a aleukaemie: aleukaemie	5	-	-	-	-	-	1	2	2	-	-	-
75	Nemoci sleziny	7	-	-	1	1	2	-	1	2	-	-	-
76a	Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy	5	-	-	-	-	-	1	1	2	1	-	-
76b	Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných	4	1	-	-	-	1	-	1	1	-	-	-
													
V	Otravy vleklé	2	-	-	-	-	-	-	-	-	1	1	-
77a	Alkoholismus prudký	-	-	-	-	-	-	-	-	-	-	-	-
77b	Alkoholismus vleklý a bez bližšího označení	1	-	-	-	-	-	-	-	-	-	1	-
78a	Otrava olovem: označená jako z povolání	1	-	-	-	-	-	-	-	-	1	-	-
78b	Otrava olovem: neoznačená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinými látkami neústrojnými a ústrojnými	-	-	-	-	-	-	-	-	-	-	-	-
													
DU		77	0	1	2	7	5	9	23	11	13	5	1
													
VI	Nemoci soustavy nervové a smyslových ústrojů	4291	511	78	51	57	57	138	369	647	1214	1161	8
80a	Zánět mozku (nikoli epidemický): hlíza mozková	10	-	2	-	3	1	3	1	-	-	-	-
80b	Zánět mozku (nikoli epidemický): jiné formy	52	10	10	8	4	2	5	8	2	2	1	-
81	Zánět plen mozkových prostý	170	53	29	21	13	11	13	12	6	11	1	-
82	Nemoci míchy	66	1	2	1	2	5	10	11	14	18	2	-
83a	Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové	2783	-	-	1	3	11	41	223	509	995	994	6
83b	Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková	57	-	-	-	-	1	1	8	5	22	20	-
83c	Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku	76	-	-	-	-	-	1	6	11	26	32	-
83d	Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené	192	-	-	3	2	2	4	13	30	70	68	-
84a	Duševní nemoci a vady: slabomyslnost	11	-	1	2	3	-	1	-	1	1	1	1
84b	Duševní nemoci a vady: schoizophrenie	15	-	-	-	2	2	4	5	-	2	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	4	-	-	-	-	-	-	3	1	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	46	-	-	-	2	3	4	15	9	10	3	-
85	Padoucnice	61	-	3	3	13	6	9	13	5	6	3	-
86	Křeče u dětí do 5 let	404	387	17	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	1	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického	15	-	-	2	-	-	-	2	5	5	1	-
87c	Jiné nemoci soustavy nervové: obrna třesavá	40	-	1	1	1	2	2	3	10	13	7	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	173	-	-	-	5	8	33	38	34	29	25	1
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	18	3	5	4	2	-	-	3	1	-	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní	94	55	8	5	2	3	7	3	4	4	3	-
89b	Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha	3	2	-	-	-	-	-	1	-	-	-	-
		-	-	-	-	-	-	-	-	-	-	-	-
VII	Nemoci ústrojí oběhu krevního	13500	30	35	90	163	164	463	883	1942	4304	5409	17
90a	Zánět osrdečníku: rheumatický zánět osrdečníku vleklý	1	-	-	-	1	-	-	-	-	-	-	-
90b	Zánět osrdečníku: jiné nemoci osrdečníku	12	3	1	1	1	1	-	1	2	1	1	-
91	Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický)	21	1	4	9	5	1	-	-	1	-	-	-
92a	Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické	1069	-	2	29	48	51	115	155	224	265	180	-
92b	Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické	86	-	-	2	7	6	10	16	17	21	7	-
93a	Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický)	53	6	3	1	3	1	2	6	9	11	11	-
93b	Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický	205	-	-	1	4	2	3	16	48	78	53	-
93c	Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický	6453	5	7	14	22	25	121	318	852	2176	2901	12
93d	Nemoci svalu srdečního: zánět svalu srdečního nerozlišený	1388	5	5	5	18	19	59	84	186	444	562	1
94a	Nemoci tepen věnčitých	63	-	-	-	-	-	2	8	17	22	14	-
94b	Angina srdeční	139	-	-	-	-	1	5	15	35	49	34	-
95a	Jiné nemoci srdce: označené jako rheumatické	87	-	-	2	1	6	2	12	21	33	10	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	2178	1	9	26	49	44	125	208	396	748	571	1
96	Výduť, vyjma výduť srdeční a aneurysma aorty	6	-	-	-	-	1	2	1	-	1	1	-
97	Zkornatění tepen	1484	-	-	-	-	1	3	21	98	399	959	3
98	Sněť	95	3	1	-	1	-	2	7	8	17	56	-
99	Jiné nemoci tepen	44	-	-	-	2	2	6	6	7	11	10	-
100a	Nemoci žil: městky	50	-	-	-	-	-	1	3	1	17	28	-
100b	Nemoci žil: jiné nemoci žil	42	-	1	-	1	3	3	5	16	8	5	-
101	Nemoci soustavy mízní	12	6	1	-	-	-	1	-	1	-	3	-
102	Essentielní zvýšení tlaku krevního	7	-	-	-	-	-	1	1	3	1	1	-
103	Jiné nemoci ústrojí oběhu krevního	5	-	1	-	-	-	-	-	-	2	2	-
													
VIII	Nemoci ústrojů dýchacích	5284	1896	242	48	70	72	135	218	396	938	1261	8
104	Nemoci dutiny nosní a přídatných útvarů	4	-	-	-	1	-	-	1	1	1	-	-
105	Nemoci hrtanu	12	5	3	1	-	-	-	1	1	-	1	-
106a	Zánět průdušek: prudký	101	70	9	-	-	-	-	-	2	5	15	-
106b	Zánět průdušek: vleklý	146	2	1	-	2	1	3	7	8	40	82	-
106c	Zánět průdušek: blíže neoznačený	211	88	10	1	1	1	2	2	6	33	67	-
107	Lalůčkový zánět plic (bronchopneumonie)	2539	1267	137	24	18	25	37	79	125	313	514	-
108	Lalokový zánět plic	644	113	27	5	16	17	30	38	90	167	138	3
109	Zánět plic blíže neoznačený	892	316	44	11	16	10	26	41	67	168	189	4
110a	Zánět pohrudnice: empyema thoracis	51	15	7	-	3	1	2	8	4	8	3	-
110b	Zánět pohrudnice: jiné formy zánětu pohrudnice	148	17	3	3	5	8	6	12	27	42	25	-
111a	Infarkt s krvácením, embolie a trombosa plic	61	-	-	-	3	5	6	6	12	23	6	-
111b	Hypostatický zánět a oedem plic	55	1	-	1	2	1	6	4	3	12	25	-
112	Záducha (asthma)	134	1	1	1	-	-	8	5	22	44	52	-
113	Rozedma plic	246	-	-	-	-	1	2	4	21	75	142	1
114a	Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání	5	-	-	-	-	-	2	1	1	-	1	-
114b	Jiné nemoci ústrojí dýchacího: sněť a hlíza plic	28	1	-	-	3	1	4	8	6	4	1	-
114c	Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání	7	-	-	1	-	1	1	1	-	3	-	-
													
IX	Nemoci ústrojí zažívacího	3851	2010	143	52	75	62	160	229	347	457	312	4
115a	Nemoci mandlí a hltanu	73	20	6	4	8	1	7	12	10	4	1	-
115b	Jiné nemoci dutiny ústní a jejích ústrojů	16	8	1	-	3	-	1	1	2	-	-	-
116	Nemoci jícnu	2	-	-	-	-	-	-	-	-	2	-	-
117a	Vřed žaludeční	120	-	-	-	2	4	12	17	39	38	8	-
117b	Vřed dvanáctníkový	11	-	-	-	2	-	1	3	5	-	-	-
118	Jiné nemoci žaludku	34	-	1	-	-	2	2	-	2	17	10	-
119	Průjem a katar střevní u dětí do 2 let	2045	1958	87	-	-	-	-	-	-	-	-	-
120a	Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní	282	-	27	14	7	4	11	18	41	78	80	2
120b	Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku)	14	-	-	-	2	1	1	3	-	6	1	-
121	Zánět červíkovitého přívěsku	148	2	4	19	21	16	19	25	20	14	7	1
122a	Kýla	165	-	1	-	-	2	1	12	37	64	48	-
122b	Neprůchodnost střevní	234	4	7	5	1	5	16	28	36	71	60	1
123	Ostatní nemoci střevní	9	1	-	-	-	-	2	-	4	-	2	-
124a	Svraštění jater: alkoholické	2	-	-	-	-	1	1	-	-	-	-	-
124b	Svraštění jater: neoznačené za alkoholické	230	-	-	3	4	4	15	27	67	74	36	-
125a	Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního)	75	1	2	1	3	6	17	15	14	10	6	-
125b	Jiné nemoci jater: ostatní nemoci jater	44	-	-	-	-	1	7	4	14	13	5	-
126	Kaménky žlučové	86	-	-	-	1	-	13	21	20	15	16	-
127	Jiné nemoci žlučníku a žlučovodů	89	-	-	-	-	2	4	17	19	30	17	-
128	Nemoci slinivky břišní	13	-	-	-	-	1	-	4	3	3	2	-
129	Zánět pobřišnice bez udání příčiny	159	16	7	6	21	12	30	22	14	18	13	-
													
X	Nemoci ústrojí močového a pohlavního	994	20	8	18	61	41	98	150	203	260	135	-
130	Prudký zánět ledvin	38	3	1	6	8	2	2	7	5	3	1	-
131	Vleklý zánět ledvin	680	-	2	11	25	15	62	100	161	208	96	-
132	Zánět ledvin nerozlišený	90	2	3	-	8	7	5	14	18	24	9	-
133a	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis	50	8	-	-	3	1	5	5	8	8	12	-
133b	Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí	17	2	1	-	2	1	2	2	3	2	2	-
134	Kaménky cest močových	18	-	-	-	-	2	2	4	5	3	2	-
135a	Zánět měchýře močového	13	-	1	-	-	-	2	1	-	4	5	-
135b	Jiné nemoci močového měchýře a poruchy močení	3	-	-	-	-	-	-	-	-	1	2	-
136	Nemoci roury močové	9	5	-	-	1	-	-	-	-	2	1	-
137a	Nezhoubné nádory žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnění žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojů mužských neoznačené za venerické	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria	54	-	-	1	9	10	15	15	1	3	-	-
139b	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy	18	-	-	-	3	2	2	2	2	2	5	-
139c	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů	3	-	-	-	2	1	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních	1	-	-	-	-	-	1	-	-	-	-	-
													
XI	Nemoci těhotenství, porodu a stavu poporodního	377	-	-	-	82	165	127	3	-	-	-	-
140	Potrat se sepsí	59	-	-	-	15	23	21	-	-	-	-	-
141	Potrat bez zmínky o sepsi	10	-	-	-	2	2	6	-	-	-	-	-
142	Těhotenství mimoděložní	29	-	-	-	1	18	9	1	-	-	-	-
143a	Krvácení v těhotenství: lůžko vcestné	-	-	-	-	-	-	-	-	-	-	-	-
143b	Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu)	-	-	-	-	-	-	-	-	-	-	-	-
143c	Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství	-	-	-	-	-	-	-	-	-	-	-	-
144a	Otrava krve v těhotenství: křeče v těhotenství	13	-	-	-	3	6	4	-	-	-	-	-
144b	Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství	9	-	-	-	3	1	5	-	-	-	-	-
144c	Otrava krve v těhotenství: jiné toxikosy	1	-	-	-	-	1	-	-	-	-	-	-
145	Jiné nemoci a příhody těhotenství	5	-	-	-	-	3	2	-	-	-	-	-
146a	Krvácení při porodu a poporodní: lůžko vcestné při porodu	27	-	-	-	7	10	10	-	-	-	-	-
146b	Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu	-	-	-	-	-	-	-	-	-	-	-	-
146c	Krvácení při porodu a poporodní: jiné krvácení při porodu	5	-	-	-	1	3	1	-	-	-	-	-
146d	Krvácení při porodu a poporodní: krvácení po porodu	18	-	-	-	5	7	6	-	-	-	-	-
147a	Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	109	-	-	-	28	49	31	1	-	-	-	-
147b	Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis	6	-	-	-	1	4	1	-	-	-	-	-
147c	Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální	15	-	-	-	4	6	5	-	-	-	-	-
148a	Toxikosy ve stavu poporodním: eclampsie	17	-	-	-	4	7	6	-	-	-	-	-
148b	Toxikosy ve stavu poporodním: albuminurie a zánět ledvin	1	-	-	-	-	1	-	-	-	-	-	-
148c	Toxikosy ve stavu poporodním: jiné toxikosy	-	-	-	-	-	-	-	-	-	-	-	-
149a	Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení)	16	-	-	-	1	9	5	1	-	-	-	-
149b	Jiné příhody porodu: ostatní příhody	22	-	-	-	-	10	12	-	-	-	-	-
150	Jiné a blíže neoznačené nemoci porodu a stavu poporodního	15	-	-	-	7	5	3	-	-	-	-	-
													
XII	Nemoci kůže a vaziva podkožního	256	199	4	2	2	3	8	3	7	13	15	-
151	Nežitina (furunculosis)	152	137	1	1	1	-	2	3	2	3	2	-
152	Zánět podkožního vaziva	42	16	2	-	1	1	3	-	4	5	10	-
153	Jiné nemoci kůže a vaziva podkožního	62	46	1	1	-	2	3	-	1	5	3	-
													
