1948	Zemøelí mui podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
26	Jiné nemoci zpùsobené mikroby (vyjma úplavici)	-	-	-	-	-	-	-	-	-	-	-	-	-
27	Úplavice	2	1	-	-	-	-	-	1	-	-	-	-	-
28	Støídavka (malarie)	3	-	-	-	-	-	1	-	-	2	-	-	-
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	1	-	-	-	-	-	-	1	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	69	-	-	-	1	-	1	13	21	24	9	-	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	134	-	-	-	1	1	31	48	40	11	2	-	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	117	-	-	-	-	3	8	21	33	39	13	-	-
30d	Pøíjice: pøíjice vrozená	77	75	2	-	-	-	-	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	147	-	-	-	-	7	12	36	44	43	5	-	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	3	-	-	-	-	-	1	1	1	-	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	88	42	4	-	2	3	2	1	7	9	14	4	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	70	31	4	2	1	-	2	3	2	5	14	6	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	93	44	38	10	-	-	-	1	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	83	8	16	14	17	8	10	5	2	3	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	2	-	-	-	-	1	1	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	11	-	-	1	-	1	2	1	3	2	1	-	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	8	-	1	2	-	1	1	3	-	-	-	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	1	-	-	-	1	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	5	2	2	-	-	-	-	-	1	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	1	-	-	-	-	-	-	1	-	-	-	-	-
39a	Skvrnivka (tyf exanthem.)	-	-	-	-	-	-	-	-	-	-	-	-	-
39b	Jiné rickettsiosy	-	-	-	-	-	-	-	-	-	-	-	-	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	-	-	-	-	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	3	-	-	-	-	1	-	1	-	1	-	-	-
43b	Jiné mykosy	2	-	1	-	-	1	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	57	-	-	3	4	7	8	17	11	3	4	-	-
44c	Epidemickı zánìt pøíušnic	4	2	-	1	-	-	1	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-	-
														
II	Rakovina a jiné nádory	7366	7	30	23	69	81	389	1093	1906	2441	1210	117	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	40	-	-	-	-	1	-	2	6	15	10	6	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	47	-	-	-	-	-	1	4	10	17	13	2	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	90	-	1	-	2	-	8	11	17	34	15	2	-
46a	Rakovina a jiné zhoubné nádory: jícnu	294	-	-	-	1	1	7	26	57	105	87	10	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	2720	-	-	-	5	14	122	364	717	1014	447	37	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	391	-	-	-	1	6	13	43	105	154	68	1	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	484	-	-	-	1	6	19	60	113	183	97	5	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	560	-	1	1	-	2	27	73	126	204	117	9	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	153	3	1	2	1	4	14	18	42	37	31	-	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	96	-	-	-	2	1	8	26	27	27	5	-	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	47	-	1	-	-	1	-	6	16	14	9	-	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	26	-	-	-	-	-	2	3	4	13	4	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	154	-	-	-	-	2	7	33	48	44	19	1	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	767	-	-	1	7	7	44	208	266	190	42	2	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	1	-	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	x	x	x	x	x	x	x	x	x	x	x	x	x
48b	Rakovina a jiné zhoubné nádory: dìlohy	-	-	-	-	-	-	-	-	-	-	-	-	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
50	Rakovina a jiné zhoubné nádory: prsù	6	-	-	-	-	-	-	1	2	2	1	-	-
51a	Rakovina a jiné zhoubné nádory: šourku	3	-	-	-	-	1	1	-	1	-	-	-	-
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	356	-	-	1	1	-	3	9	64	161	104	13	-
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	26	-	-	-	3	1	7	5	3	5	1	1	-
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	191	-	-	-	1	2	8	37	52	54	33	4	-
53	Rakovina a jiné zhoubné nádory: kùe	92	-	-	-	-	-	6	11	13	16	35	11	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	35	-	1	1	-	-	9	12	9	3	-	-	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	36	-	2	-	-	1	3	11	10	6	2	1	-
55b	Rakovina a jiné zhoubné nádory: kostí	110	-	4	-	11	1	12	18	18	25	21	-	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	24	-	-	-	-	-	2	4	7	7	4	-	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	187	-	7	3	7	7	14	24	58	46	16	5	-
55	Carcinomatosy, sarkomatosy	58	1	3	2	7	5	4	12	11	7	6	-	-
55f	Metastasy bez udání prvotního místa	4	-	-	-	-	-	-	-	1	3	-	-	-
56a	Nádory nezhoubné: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x	x
56b	Nádory nezhoubné: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x	x
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	9	-	-	-	-	-	4	1	2	1	1	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	14	-	1	-	-	-	1	4	3	4	1	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	x	x	x	x	x	x	x	x	x	x	x	x	x
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	x	x	x	x	x	x	x	x	x	x	x	x	x
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	x	-	-	-	-	-	-	-	-	-	-	-	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	162	1	5	10	13	17	29	40	34	10	3	-	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	183	2	3	2	6	1	14	27	63	40	18	7	-
														
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	538	69	10	22	16	10	14	52	111	151	75	8	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	27	-	1	17	8	1	-	-	-	-	-	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	3	-	-	1	-	-	-	1	1	-	-	-	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	66	-	1	-	1	-	3	5	10	26	17	3	-
60	Dna	-	-	-	-	-	-	-	-	-	-	-	-	-
61	Úplavice cukrová	335	-	1	3	5	3	10	41	92	122	55	3	-
62	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	9	-	-	-	-	-	1	-	2	2	2	2	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	8	-	-	-	-	2	-	1	4	1	-	-	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	1	-	-	-	-	-	-	-	-	-	1	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	40	33	5	1	1	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	11	-	-	-	1	4	-	4	2	-	-	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	-	-	-	-	-	-	-	-	-	-	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	5	5	-	-	-	-	-	-	-	-	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	33	31	2	-	-	-	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-	-
														
IV	Nemoci krve a ústrojù krvetvornıch	295	20	18	19	17	13	30	42	58	57	21	-	-
72a	Stavy krvácivé: purpury prvotní	7	3	-	3	-	-	-	-	-	1	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	8	2	2	1	-	1	-	-	1	-	1	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	44	-	-	-	1	-	-	6	14	15	8	-	-
73b	Chudokrevnost: jiná anaemie	35	4	1	2	2	2	3	4	7	5	5	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	167	6	14	13	13	9	22	23	31	29	7	-	-
74b	Leukaemie a aleukaemie: aleukaemie	5	-	1	-	-	-	1	1	2	-	-	-	-
75	Nemoci sleziny	9	4	-	-	-	-	2	1	-	2	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	5	1	-	-	-	1	1	1	-	1	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	15	-	-	-	1	-	1	6	3	4	-	-	-
		-	-	-	-	-	-	-	-	-	-	-	-	-
V	Otravy vleklé	28	-	-	-	1	2	7	7	6	3	2	-	-
77a	Alkoholismus prudkı	2	-	-	-	-	-	2	-	-	-	-	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	24	-	-	-	1	1	4	7	6	3	2	-	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	1	-	-	-	-	-	1	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	1	-	-	-	-	1	-	-	-	-	-	-	-
														
DU		70	0	0	5	5	8	12	17	14	6	3	0	0
														
VI	Nemoci soustavy nervové a smyslovıch ústrojù	4238	490	74	47	76	49	155	311	718	1232	936	150	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	18	-	2	1	1	3	3	4	2	1	1	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	45	16	7	7	3	2	3	3	3	1	-	-	-
81	Zánìt plen mozkovıch prostı	173	64	32	17	21	7	6	14	6	5	-	1	-
82	Nemoci míchy	69	-	3	3	2	2	6	9	23	9	10	2	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2838	-	-	1	15	5	73	189	560	1043	819	133	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	54	-	-	-	2	1	4	8	9	19	9	2	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	94	-	-	-	-	-	2	6	20	42	19	5	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	181	-	-	1	2	2	6	12	40	64	50	4	-
84a	Duševní nemoci a vady: slabomyslnost	11	-	-	5	2	2	-	1	1	-	-	-	-
84b	Duševní nemoci a vady: schoizophrenie	12	-	-	-	1	2	3	4	1	1	-	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	5	-	-	-	-	1	1	2	-	1	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	16	-	-	-	1	2	2	3	6	1	1	-	-
85	Padoucnice	73	2	2	4	15	9	15	10	4	7	3	2	-
86	Køeèe u dìtí do 5 let	281	268	13	-	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	1	-	-	-	-	-	-	-	-	-	1	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	6	-	-	-	-	-	-	3	-	2	1	-	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	19	-	-	-	-	-	2	4	7	5	1	-	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	132	-	-	1	3	9	21	27	32	23	15	1	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	36	1	7	5	3	-	2	9	3	3	3	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	173	139	8	2	5	2	6	3	1	5	2	-	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	1	-	-	-	-	-	-	-	-	-	1	-	-
														
VII	Nemoci ústrojí obìhu krevního	13798	64	29	55	117	121	487	1317	2475	4188	4052	893	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	-	-	-	-	-	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	23	2	1	1	3	-	1	4	7	3	1	-	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	34	6	6	11	4	1	2	3	-	1	-	-	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	829	-	1	9	48	54	93	129	169	215	95	16	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	68	-	-	2	7	9	10	13	11	9	7	-	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	40	10	1	3	1	-	2	2	5	7	7	2	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	114	-	-	1	1	-	5	13	24	42	23	5	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	7832	12	2	6	17	24	187	636	1372	2522	2518	536	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1101	12	8	5	9	8	27	98	191	310	357	76	-
94a	Nemoci tepen vìnèitıch	141	-	-	-	-	1	10	32	40	42	14	2	-
94b	Angina srdeèní	473	-	-	-	-	2	35	109	143	136	45	3	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	34	-	-	3	2	1	2	2	9	9	6	-	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1599	16	9	12	24	18	97	198	327	478	359	61	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	3	-	-	-	-	-	-	1	1	1	-	-	-
97	Zkornatìní tepen	1303	-	-	-	-	1	3	45	131	367	571	185	-
98	Snì	53	1	-	-	-	-	3	2	3	12	27	5	-
99	Jiné nemoci tepen	94	-	-	-	-	1	7	21	31	22	12	-	-
100a	Nemoci il: mìstky	19	-	-	1	1	-	1	1	3	4	6	2	-
100b	Nemoci il: jiné nemoci il	23	-	-	-	-	1	1	7	5	6	3	-	-
101	Nemoci soustavy mízní	8	5	1	1	-	-	-	-	-	-	1	-	-
102	Essentielní zvıšení tlaku krevního	6	-	-	-	-	-	1	1	2	2	-	-	-
103	Jiné nemoci ústrojí obìhu krevního	1	-	-	-	-	-	-	-	1	-	-	-	-
														
VIII	Nemoci ústrojù dıchacích	5433	1941	174	44	43	49	156	312	498	1044	964	208	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	3	1	-	-	1	-	-	-	1	-	-	-	-
105	Nemoci hrtanu	13	8	4	-	-	-	-	-	1	-	-	-	-
106a	Zánìt prùdušek: prudkı	77	55	5	1	1	-	-	-	1	5	7	2	-
106b	Zánìt prùdušek: vleklı	234	7	1	-	1	1	7	28	35	66	71	17	-
106c	Zánìt prùdušek: blíe neoznaèenı	152	56	5	-	-	-	2	4	10	32	37	6	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2532	1411	106	24	10	14	51	66	123	322	316	89	-
108	Lalokovı zánìt plic	623	115	15	3	11	7	32	47	87	174	119	13	-
109	Zánìt plic blíe neoznaèenı	690	245	29	9	10	9	18	41	53	110	132	34	-
110a	Zánìt pohrudnice: empyema thoracis	96	27	3	2	4	4	5	15	16	14	5	1	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	126	9	3	3	1	2	7	16	18	32	32	3	-
111a	Infarkt s krvácením, embolie a trombosa plic	105	-	1	-	1	3	12	14	20	39	14	1	-
111b	Hypostatickı zánìt a oedem plic	54	3	1	1	-	3	4	7	3	12	15	5	-
112	Záducha (asthma)	222	-	-	-	1	2	3	13	42	85	68	8	-
113	Rozedma plic	391	-	-	-	-	1	4	26	61	129	141	29	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	27	-	-	-	-	-	3	11	4	8	1	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	72	2	-	-	-	2	7	22	19	16	4	-	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	16	2	1	1	2	1	1	2	4	-	2	-	-
														
IX	Nemoci ústrojí zaívacího	3768	1820	109	40	52	63	167	344	458	434	245	36	-
115a	Nemoci mandlí a hltanu	21	7	5	-	3	-	-	2	1	1	-	2	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	12	2	2	-	1	2	-	2	-	-	3	-	-
116	Nemoci jícnu	10	-	1	-	1	-	-	-	3	3	2	-	-
117a	Vøed aludeèní	433	-	-	-	3	10	31	114	134	112	28	1	-
117b	Vøed dvanáctníkovı	148	-	1	-	4	5	29	44	38	24	2	1	-
118	Jiné nemoci aludku	44	1	-	1	1	1	4	8	7	9	10	2	-
119	Prùjem a katar støevní u dìtí do 2 let	1834	1780	54	-	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	67	-	7	5	1	2	3	9	8	13	15	4	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	7	-	-	1	-	2	-	1	-	1	2	-	-
121	Zánìt èervíkovitého pøívìsku	178	3	29	17	15	17	23	17	25	24	7	1	-
122a	Kıla	153	2	1	-	1	-	6	10	19	41	62	11	-
122b	Neprùchodnost støevní	198	10	1	6	3	6	13	26	46	47	35	5	-
123	Ostatní nemoci støevní	9	1	-	-	-	-	2	1	4	1	-	-	-
124a	Svraštìní jater: alkoholické	1	-	-	-	-	-	1	-	-	-	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	326	-	2	4	5	7	27	53	98	94	32	4	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	79	-	1	3	7	4	6	13	17	20	7	1	-
125b	Jiné nemoci jater: ostatní nemoci jater	45	-	2	1	-	2	3	9	10	6	10	2	-
126	Kaménky luèové	53	-	-	-	-	-	3	10	16	11	11	2	-
127	Jiné nemoci luèníku a luèovodù	42	-	-	-	-	1	4	6	10	9	12	-	-
128	Nemoci slinivky bøišní	22	-	-	-	2	-	3	5	6	6	-	-	-
129	Zánìt pobøišnice bez udání pøíèiny	86	14	3	2	5	4	9	14	16	12	7	-	-
														
X	Nemoci ústrojí moèového a pohlavního	1591	6	5	11	18	45	81	169	316	452	402	86	-
130	Prudkı zánìt ledvin	24	4	1	1	1	6	-	2	3	4	2	-	-
131	Vleklı zánìt ledvin	728	1	-	2	13	26	59	128	215	186	90	8	-
132	Zánìt ledvin nerozlišenı	65	-	-	5	4	4	9	5	13	15	10	-	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	51	-	-	-	-	3	4	9	5	11	15	4	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	21	-	3	1	-	3	1	3	8	2	-	-	-
134	Kaménky cest moèovıch	48	-	-	-	-	2	6	8	12	11	8	1	-
135a	Zánìt mìchıøe moèového	17	1	1	-	-	-	-	4	2	6	3	-	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	5	-	-	-	-	-	-	1	-	3	-	1	-
136	Nemoci roury moèové	30	-	-	2	-	-	1	3	8	9	6	1	-
137a	Nezhoubné nádory lázy pøedstojné	16	-	-	-	-	1	-	1	4	5	4	1	-
137b	Zbytnìní lázy pøedstojné	582	-	-	-	-	-	1	5	45	198	264	69	-
137c	Ostatní nemoci lázy pøedstojné	2	-	-	-	-	-	-	-	-	2	-	-	-
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	2	-	-	-	-	-	-	-	1	-	-	1	-
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	x	x	x	x	x	x	x	x	x	x	x	x	x
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	x	x	x	x	x	x	x	x	x	x	x	x	x
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	x	x	x	x	x	x	x	x	x	x	x	x	x
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	x	x	x	x	x	x	x	x	x	x	x	x	x
														
XI	Nemoci tìhotenství, porodu a stavu poporodního	x	x	x	x	x	x	x	x	x	x	x	x	x
140	Potrat se sepsí	x	x	x	x	x	x	x	x	x	x	x	x	x
141	Potrat bez zmínky o sepsi	x	x	x	x	x	x	x	x	x	x	x	x	x
142	Tìhotenství mimodìloní	x	x	x	x	x	x	x	x	x	x	x	x	x
143a	Krvácení v tìhotenství: lùko vcestné	x	x	x	x	x	x	x	x	x	x	x	x	x
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	x	x	x	x	x	x	x	x	x	x	x	x	x
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
144c	Otrava krve v tìhotenství: jiné toxikosy	x	x	x	x	x	x	x	x	x	x	x	x	x
145	Jiné nemoci a pøíhody tìhotenství	x	x	x	x	x	x	x	x	x	x	x	x	x
