1923	Zemřelé ženy podle podrobného seznamu příčin smrti a věku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- těno
66	Alkoholismus	27	-	-	-	-	1	-	1	15	10	-	-
67	Vleklé otravy nerostnými látkami	2	-	-	-	-	-	-	1	-	-	1	-
68	Vleklé otravy ústrojnými látkami	2	-	-	1	-	-	-	-	1	-	-	-
69	Ostatní celkové nemoci	32	6	1	-	-	2	1	3	11	8	-	-
													
IV	Choroby systému nervového a smyslových orgánů	7421	2276	434	100	105	104	231	302	1228	2341	299	1
70	Zánět mozku	168	18	15	9	12	9	20	25	35	21	4	-
71	Zánět mozkových blan	757	179	226	64	60	43	63	36	63	20	3	-
72	Úbytě míchy	94	-	-	-	1	-	3	9	45	35	1	-
73	Jiné choroby míchy	223	7	4	1	6	6	15	27	93	63	1	-
74a	Výlev krevní do mozku	3015	-	-	-	1	4	28	65	705	1939	272	1
74b	Záhať žil mozkových	75	3	-	-	2	2	7	11	28	21	1	-
75a	Jednostranná obrna těla	92	-	-	-	-	-	1	2	17	67	5	-
75b	Paralysis progressiva	54	-	-	-	-	-	1	7	32	13	1	-
75c	Jiné obrny	25	-	1	-	1	-	1	3	10	8	1	-
76	Ochrnutí spojené s duševní chorobou	1	-	-	-	-	-	-	-	-	1	-	-
77	Jiné duševní choroby	50	-	-	-	1	1	3	3	16	24	2	-
78	Padoucnice	175	6	3	13	5	13	38	40	42	15	-	-
79	Božec nepuerperální	41	-	-	7	2	4	7	7	4	9	1	-
80	Křeče u dětí	2207	2045	162	-	-	-	-	-	-	-	-	-
81	Posunčina	7	1	-	-	2	2	1	-	1	-	-	-
82b	Zánět nervů	10	-	-	-	1	-	-	2	2	5	-	-
83	Změknutí mozku	62	-	-	-	-	-	1	7	17	32	5	-
84	Ostatní choroby systému nervového	328	6	15	6	8	15	41	57	116	62	2	-
86	Choroby ucha nebo dutin mastoideu	37	11	8	-	3	5	1	1	2	6	-	-
													
V	Choroby oběhu krevního	9002	76	33	55	99	115	332	510	2266	4985	524	7
87	Zánět osrdce	30	1	1	2	4	-	2	3	9	7	1	-
88	Prudký zánět nitroblány nebo svalu srdečního	1653	4	5	13	15	14	38	60	346	1032	124	2
89	Srdeční angina	26	-	-	-	-	-	1	1	7	17	-	-
90	Jiné nemoci srdce	5354	58	26	40	78	98	263	413	1668	2528	178	4
91a	Výduť	35	1	-	-	-	-	1	2	14	16	1	-
91b	Zkornatění a jiné choroby tepen	1735	1	-	-	1	-	4	11	167	1331	219	1
92	Záhať (nikoliv mozkový)	79	1	-	-	-	2	12	14	29	21	-	-
93	Choroby žil	47	-	1	-	1	-	2	2	17	24	-	-
94	Choroby systému mízního	16	7	-	-	-	-	3	-	4	2	-	-
95	Ostatní choroby oběhu krevního	27	3	-	-	-	1	6	4	5	7	1	-
96	Ostatní choroby oběhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dýchacího	8095	2379	744	56	53	65	181	214	1043	3017	340	3
97	Choroby dutin nosních a jejich adnex	4	1	-	-	-	1	-	-	1	1	-	-
98	Choroby hrtanu	20	11	4	1	-	-	-	-	3	1	-	-
99a	Zánět průdušek prudký	752	641	76	-	-	-	1	1	5	24	4	-
99b	Zánět průdušek vleklý	117	19	10	-	-	1	2	2	14	62	7	-
99c	Zánět průdušek bez bližšího označení (pod 5 let)	142	74	68	-	-	-	-	-	-	-	-	-
99d	Zánět průdušek bez bližšího označení (v 5 a více letech)	154	-	-	5	1	2	1	6	24	95	19	1
100	Lalůčkový zánět plic včetně zánětu průdušinek	817	406	130	3	5	5	13	7	52	166	30	-
101a	Zánět plic lalokový	298	51	23	6	2	2	10	19	54	120	11	-
101b	Zánět plic bez bližšího označení	3984	1133	404	31	42	45	117	130	580	1337	163	2
102	Zánět pohrudnice	295	20	20	5	2	3	24	29	69	116	7	-
103	Překrvení nebo krvácení parenchymatosní plic	116	13	4	2	-	3	2	2	24	57	9	-
104	Sněť plicní	21	-	-	-	-	-	-	2	11	8	-	-
105	Záducha	286	1	-	-	-	-	1	4	51	202	27	-
106	Rozedma plic	1009	3	1	1	-	-	2	6	135	801	60	-
107	Ostatní choroby ústrojí dýchacího	80	6	4	2	1	3	8	6	20	27	3	-
													
VII	Choroby ústrojí zažívacího	5762	3438	347	52	58	73	203	222	604	721	42	2
108b	Choroby ústní dutiny a jejich adnex	7	4	-	-	-	-	-	-	1	2	-	-
109	Choroby hltanu nebo mandlí	53	20	5	3	-	3	5	5	8	4	-	-
110	Choroby jícnu	7	1	1	-	-	-	1	-	-	4	-	-
111a	Vřed žaludeční	172	2	3	1	1	8	13	19	67	55	2	1
111b	Vřed dvanácterníku	28	1	-	-	2	-	2	3	11	9	-	-
112	Jiné choroby žaludeční	28	2	-	-	-	1	-	3	13	9	-	-
113	Průjem a zánět střev (pod 2 roky)	3616	3365	251	-	-	-	-	-	-	-	-	-
114	Průjem a zánět střev (nad 2 roky)	316	-	53	17	10	6	10	19	58	135	7	1
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
116	Choroby zaviněné intestinálními cizopasníky	1	-	1	-	-	-	-	-	-	-	-	-
117	Zánět červu a jeho okolí	134	-	7	11	11	16	25	13	37	11	3	-
118a	Kýla 	176	7	-	1	-	-	9	5	44	105	5	-
118b	Záhať střevní	191	6	2	4	1	3	6	9	52	99	9	-
119b	Jiné choroby střev	32	5	3	-	1	1	-	-	12	10	-	-
120	Prudká atrofie jater	6	-	-	-	-	-	2	2	-	2	-	-
121	Hydativní nádor jater	2	-	-	-	-	-	-	-	-	2	-	-
122a	Svraštění jater alkoholické	-	-	-	-	-	-	-	-	-	-	-	-
122b	Svraštění jater neoznačené jako alkoholické	119	2	-	-	-	1	3	9	53	51	-	-
123	Žlučové kaménky	115	1	-	-	-	1	3	13	42	52	3	-
124	Jiné choroby jater	177	3	-	1	1	2	9	14	66	73	8	-
125	Choroby mikteru	8	2	-	-	-	-	-	2	2	2	-	-
126	Zánět pobřišnice bez označení příčiny	574	17	21	14	31	31	115	106	138	96	5	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1368	21	29	23	35	35	131	171	468	435	20	-
128	Prudký zánět ledvin	94	10	16	16	10	5	3	9	13	11	1	-
129	Vleklý zánět ledvin	1049	8	13	7	23	27	100	119	365	374	13	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	67	1	-	-	1	-	5	12	23	23	2	-
132	Močové kaménky	4	-	-	-	-	-	-	-	2	2	-	-
133	Choroby měchýře	38	2	-	-	-	-	1	3	12	17	3	-
134	Choroby močové roury	-	-	-	-	-	-	-	-	-	-	-	-
135	Choroby žlázy předstojné	x	x	x	x	x	x	x	x	x	x	x	x
136	Nevenerické choroby mužských pohlavních orgánů	x	x	x	x	x	x	x	x	x	x	x	x
137	Boubel a jiné nezhoubné nádory vaječníku	15	-	-	-	-	1	1	4	8	1	-	-
138	Zánět vejcovodu nebo vřed v pánvi	9	-	-	-	-	1	3	2	3	-	-	-
139	Nádory děložní	27	-	-	-	-	-	2	4	18	2	1	-
140	Nepuerperální krvácení z dělohy	6	-	-	-	-	-	-	1	4	1	-	-
141	Ostatní choroby rodidel	58	-	-	-	1	1	16	17	19	4	-	-
142	Nepuerperální choroby prsu	1	-	-	-	-	-	-	-	1	-	-	-
													
IX	Puerperální stav	853	-	-	-	-	33	380	358	82	-	-	-
143a	Potrat 	215	-	-	-	-	13	82	95	25	-	-	-
143b	Mimoděložní těhotenství	24	-	-	-	-	-	10	11	3	-	-	-
143c	Jiné nehody těhotenské	8	-	-	-	-	2	5	-	1	-	-	-
144	Krvácení těhotných a v šestinedělí	64	-	-	-	-	-	29	26	9	-	-	-
145	Jiné nehody při porodu	72	-	-	-	-	-	27	35	10	-	-	-
146	Horečka omladnic	360	-	-	-	-	13	174	150	23	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	19	-	-	-	-	1	9	9	-	-	-	-
148	Albuminurie nebo božec v šestinedělí	72	-	-	-	-	3	41	21	7	-	-	-
149	Následky porodu (bez bližšího označení)	19	-	-	-	-	1	3	11	4	-	-	-
150	Puerperální choroby prsu	-	-	-	-	-	-	-	-	-	-	-	-
													
X	Choroby kůže a vaziva	449	297	14	1	2	2	7	10	36	66	14	-
151	Sněť	91	4	2	-	-	-	2	-	20	49	14	-
152	Nežit	173	159	7	1	1	-	1	-	1	3	-	-
153	Zánět podkožního vaziva, horečnatý vřed	92	52	3	-	1	2	2	8	12	12	-	-
155	Ostatní choroby kůže neb jejich adnex	93	82	2	-	-	-	2	2	3	2	-	-
													
XI	Choroby kostí a ústrojí pohybového	72	6	5	4	9	4	3	4	12	25	-	-
156	Choroby kostí	53	6	5	4	8	2	2	2	6	18	-	-
157	Choroby kloubů	17	-	-	-	1	2	1	1	5	7	-	-
158	Ostatní choroby kostí nebo ústrojí pohybového	2	-	-	-	-	-	-	1	1	-	-	-
													
XII	Zrůdnost vrozená	116	110	6	-	-	-	-	-	-	-	-	-
159	Zrůdnost vrozená	116	110	6	-	-	-	-	-	-	-	-	-
													
XIII	Raný věk	4346	4346	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, žloutenka a skleroma	3290	3290	-	-	-	-	-	-	-	-	-	-
161	Předčasné narození nebo různé následky porodu	1011	1011	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného věku	41	41	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péče	4	4	-	-	-	-	-	-	-	-	-	-
													
XIV		11721	6	1	1	0	2	1	4	46	6868	4785	7
164	Stáří	11685	-	-	-	-	-	-	-	34	6860	4784	7
													
XV	Zevní příčiny 	1524	58	149	31	27	150	308	151	317	288	40	5
SE		803	0	0	0	2	90	233	100	204	156	15	3
165	Sebevražda otravou jedy	98	-	-	-	1	15	38	16	18	9	1	-
166	Sebevražda otravou požitím žíravin	17	-	-	-	-	2	5	2	5	3	-	-
167	Sebevražda vdechováním jedovatých plynů	19	-	-	-	-	3	12	-	3	1	-	-
168	Sebevražda oběšením neb uškrcením	330	-	-	-	-	16	57	42	119	82	12	2
169	Sebevražda utopením	183	-	-	-	-	27	60	19	27	47	2	1
170	Sebevražda zastřelením	48	-	-	-	-	9	25	7	5	2	-	-
171	Sebevražda nástroji řeznými neb bodnými	12	-	-	-	-	-	4	2	4	2	-	-
172	Sebevražda skokem s výše	14	-	-	-	-	2	7	1	2	2	-	-
173	Sebevražda rozdrcením	46	-	-	-	1	12	14	8	9	2	-	-
174	Sebevražda jiným způsobem	36	-	-	-	-	4	11	3	12	6	-	-
175	Otrava potravinami	27	17	3	-	-	-	3	1	2	1	-	-
176	Uštknutí neb štípnutí	1	-	1	-	-	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	9	-	3	1	-	1	2	-	1	1	-	-
178	Úraz při požáru	4	1	1	-	1	-	-	1	-	-	-	-
179	Náhodné popálení (vyjma při požáru)	121	5	66	3	2	9	6	2	13	13	2	-
180	Náhodné mechanické udušení (vyjma při požáru)	32	7	6	3	-	2	3	3	2	6	-	-
181	Vdechování plynů nedýchatelných neb jedovatých	8	1	2	-	-	1	2	1	1	-	-	-
182	Náhodné utopení	140	5	50	10	6	13	16	10	11	17	1	1
183	Poranění střelnou zbraní	15	-	1	1	1	5	4	-	-	3	-	-
184	Poranění nástroji řeznými neb bodnými	3	-	-	-	-	-	1	-	1	1	-	-
185	Poranění pádem	37	-	-	2	3	2	3	3	6	12	5	1
186	Poranění v dolech neb lomech	-	-	-	-	-	-	-	-	-	-	-	-
187	Poranění stroji	2	-	-	-	-	1	-	1	-	-	-	-
188	Poraněním pohmožděním jiného druhu	154	4	10	8	8	8	10	14	38	45	9	-
189	Poranění způsobená zvířaty	2	-	-	-	-	-	-	-	-	1	1	-
190	Zranění válečná	-	-	-	-	-	-	-	-	-	-	-	-
192b	Hlad nebo žízeň	-	-	-	-	-	-	-	-	-	-	-	-
193	Přílišný chlad	16	-	-	-	-	-	2	1	7	5	1	-
194	Přílišný žár	3	-	-	-	-	-	-	1	1	1	-	-
195	Blesk	16	-	-	-	3	4	-	2	4	3	-	-
196	Jiné úrazy elektrickým proudem	1	-	-	-	-	1	-	-	-	-	-	-
NA		88	18	4	1	1	11	21	9	14	9	0	0
197	Zabití střelnou zbraní	31	1	-	-	-	8	15	5	1	1	-	-
198	Zabití nástroji řeznými neb bodnými	10	-	-	-	-	3	2	1	3	1	-	-
199	Zabití jinými prostředky	47	17	4	1	1	-	4	3	10	7	-	-
201c	Zlomeniny (bez bližšího označení)	42	-	2	2	-	2	2	2	12	14	6	-
202a	Ostatní násilná zevní poranění	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé příčiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XV	Nemoci špatně definované	970	110	77	13	7	7	39	56	228	407	19	7
204	Náhlé úmrtí	3	-	-	-	-	-	-	-	2	1	-	-
205	Nemoci nespecifikované nebo špatně definované	967	110	77	13	7	7	39	56	226	406	19	7
