1930	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
192b	Hlad nebo ízeò	1	-	-	-	-	-	1	-	-	-
193	Pøílišnı chlad	9	-	-	-	3	1	-	3	2	-
194	Pøílišnı ár	5	1	1	1	1	1	-	-	-	-
195	Blesk	13	-	-	-	5	1	4	3	-	-
196	Jiné úrazy elektrickım proudem	15	-	-	2	6	2	4	1	-	-
NA		154	27	8	5	34	33	10	20	17	0
197	Zabití støelnou zbraní	33	-	-	-	16	14	1	1	1	-
198	Zabití nástroji øeznımi neb bodnımi	9	-	-	1	3	2	1	2	-	-
199	Zabití jinımi prostøedky	41	-	4	4	12	8	3	7	3	-
200	Zabití dítìte do 1 roku	24	24	-	-	-	-	-	-	-	-
201c	Zlomeniny (bez blišího oznaèení)	145	-	5	7	8	8	14	28	75	-
202a	Ostatní násilná zevní poranìní	46	3	4	-	3	9	5	9	13	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznáme pøíèiny	1	-	-	-	-	-	-	1	-	-
											
XVI	Nemoci špatnì definované	455	47	20	9	7	39	46	118	169	-
204	Náhlé úmrtí	7	2	-	-	-	1	1	3	-	-
205	Nemoci nespecifikované nebo špatnì definované	448	45	20	9	7	38	45	115	169	-
