1926	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku										
MKN (1920)	Název	Celkem	0	1-4	5-14	15-24	25-39	40-49	50-64	65 a více	Nezjiš- tìno
42	Ostatní nemoci a infekèní	1	-	1	-	-	-	-	-	-	-
											
RA		7199	8	14	12	50	378	915	2778	3044	0
KR		225	12	9	3	10	42	47	73	29	0
EN		889	100	62	15	36	62	86	244	284	0
DU		113	0	3	0	6	15	22	33	34	0
III	Celkové nemoci vıše nejmenované	8372	126	89	33	101	488	1057	3109	3369	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	38	-	-	-	-	4	4	12	18	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	3483	1	-	-	4	73	281	1384	1740	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	751	-	2	-	1	32	85	274	357	-
46	Rakovina neb jiné zhoubné nádory rodidel	1423	-	-	-	6	151	339	559	368	-
47	Rakovina neb jiné zhoubné nádory prsu	425	-	-	-	3	24	89	189	120	-
48	Rakovina neb jiné zhoubné nádory kùe	125	-	-	-	1	2	4	22	96	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	734	-	8	3	22	59	89	278	275	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	139	3	1	4	5	17	9	36	64	-
51	Prudkı horeèatı hostec kloubní	17	-	2	3	8	2	1	1	-	-
52	Vleklı hostec, dna	168	-	2	1	4	4	15	45	97	-
53	Kurdìje	-	-	-	-	-	-	-	-	-	-
56	Køivice	138	83	54	1	-	-	-	-	-	-
57	Cukrovka	418	-	1	7	14	27	37	165	167	-
59	Nedokrevnost zhoubná	193	8	6	3	8	36	41	65	26	-
58a	Jiné nedokrevnosti a blednièka	27	4	1	-	2	6	4	7	3	-
58b	Nemoci hypophysy	6	-	-	-	-	-	6	-	-	-
60a	Basedowova nemoc	84	-	-	2	8	19	17	26	12	-
60b	Jiná onemocnìní štítné lázy	27	-	1	1	2	6	5	7	5	-
61	Nemoci lázek pøištítnıch	14	13	1	-	-	-	-	-	-	-
62	Nemoci brzlíku	5	4	1	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	12	-	-	-	-	4	5	-	3	-
64	Nemoci sleziny	5	-	2	-	-	-	2	1	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	81	4	3	5	8	16	15	24	6	-
66	Alkoholismus	27	-	-	-	-	3	5	11	8	-
67	Vleklé otravy nerostnımi látkami	1	-	-	-	1	-	-	-	-	-
68	Vleklé otravy ústrojnımi látkami	2	-	-	-	-	-	1	-	1	-
69	Ostatní celkové nemoci	29	6	4	3	4	3	3	3	3	-
											
IV	Choroby systému nervového a smyslovıch orgánù	6786	1498	287	144	160	345	382	1246	2724	-
70	Zánìt mozku	119	13	13	18	16	23	12	16	8	-
71	Zánìt mozkovıch blan	540	148	173	81	48	36	13	26	15	-
72	Úbytì míchy	87	-	-	-	-	14	17	38	18	-
73	Jiné choroby míchy	209	1	3	5	8	36	32	64	60	-
74a	Vılev krevní do mozku	3389	-	-	-	7	61	154	872	2295	-
74b	Záha il mozkovıch	57	-	-	-	-	7	12	12	26	-
75a	Jednostranná obrna tìla	147	-	-	-	1	3	5	32	106	-
75b	Paralysis progressiva	182	-	-	-	-	36	45	53	48	-
75c	Jiné obrny	30	-	-	-	2	1	3	12	12	-
76	Ochrnutí spojené s duševní chorobou	3	-	-	-	-	-	1	2	-	-
77	Jiné duševní choroby	83	-	3	-	6	12	16	20	26	-
78	Padoucnice	149	3	3	11	28	44	25	23	12	-
79	Boec nepuerperální	10	-	-	1	3	4	1	-	1	-
80	Køeèe u dìtí	1381	1313	68	-	-	-	-	-	-	-
81	Posunèina	4	-	-	-	1	2	-	-	1	-
82b	Zánìt nervù	19	-	-	1	1	1	1	6	9	-
83	Zmìknutí mozku	62	-	-	1	1	1	2	14	43	-
84	Ostatní choroby systému nervového	247	3	14	20	26	58	39	50	37	-
86	Choroby ucha nebo dutin mastoideu	68	17	10	6	12	6	4	6	7	-
											
V	Choroby obìhu krevního	11785	66	40	150	232	644	791	3066	6796	-
87	Zánìt osrdce	24	1	2	2	2	5	2	6	4	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	187	3	9	21	36	79	39	-	-	-
89	Srdeèní angina	78	-	-	-	-	4	5	20	49	-
90	Jiné nemoci srdce	9306	56	23	126	183	529	702	2697	4990	-
91a	Vıdu	51	-	-	-	-	2	7	22	20	-
91b	Zkornatìní a jiné choroby tepen	1941	-	-	-	1	3	13	259	1665	-
92	Záha (nikoliv mozkovı)	125	1	1	1	5	18	17	42	40	-
93	Choroby il	49	-	1	-	2	1	6	16	23	-
94	Choroby systému mízního	19	5	4	-	1	1	-	3	5	-
95	Ostatní choroby obìhu krevního	5	-	-	-	2	2	-	1	-	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-
											
VI	Choroby ústrojí dıchacího	9364	2595	939	125	139	312	282	1227	3745	-
97	Choroby dutin nosních a jejich adnex	3	2	-	-	-	-	-	-	1	-
98	Choroby hrtanu	19	12	5	-	-	1	-	-	1	-
99a	Zánìt prùdušek prudkı	494	425	25	3	1	1	-	8	31	-
99b	Zánìt prùdušek vleklı	364	33	22	3	-	5	5	59	237	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	330	229	101	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	476	-	-	5	5	9	8	74	375	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1744	815	269	18	16	36	31	112	447	-
101a	Zánìt plic lalokovı	812	122	86	21	26	58	63	150	286	-
101b	Zánìt plic bez blišího oznaèení	3491	916	407	61	65	157	136	508	1241	-
102	Zánìt pohrudnice	281	19	14	8	16	25	18	79	102	-
103	Pøekrvení nebo krvácení parenchymatosní plic	183	16	6	1	4	8	5	20	123	-
104	Snì plicní	20	-	-	2	3	3	2	7	3	-
105	Záducha	227	-	-	-	-	1	5	49	172	-
106	Rozedma plic	873	-	1	2	-	4	6	152	708	-
107	Ostatní choroby ústrojí dıchacího	47	6	3	1	3	4	3	9	18	-
											
VII	Choroby ústrojí zaívacího	6099	3564	374	138	156	303	280	553	731	-
108b	Choroby ústní dutiny a jejich adnex	19	9	2	-	2	1	1	1	3	-
109	Choroby hltanu nebo mandlí	70	11	12	12	13	5	6	7	4	-
110	Choroby jícnu	5	-	-	-	-	2	2	-	1	-
111a	Vøed aludeèní	166	-	2	-	12	29	33	51	39	-
111b	Vøed dvanácterníku	34	-	-	1	2	7	9	9	6	-
112	Jiné choroby aludeèní	80	1	1	1	-	1	8	10	58	-
113	Prùjem a zánìt støev (pod 2 roky)	3743	3501	242	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	254	-	55	21	12	15	16	36	99	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	2	-	-	-	-	-	-	2	-	-
117	Zánìt èervu a jeho okolí	265	-	25	61	51	56	26	28	18	-
118a	Kıla 	258	7	-	-	1	4	27	79	140	-
118b	Záha støevní	240	11	8	2	4	21	20	70	104	-
119b	Jiné choroby støev	34	2	1	1	-	3	5	8	14	-
120	Prudká atrofie jater	29	-	1	1	-	8	2	11	6	-
121	Hydativní nádor jater	1	-	-	-	-	-	1	-	-	-
122a	Svraštìní jater alkoholické	2	-	-	-	-	-	-	2	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	138	-	1	-	2	6	18	55	56	-
123	luèové kaménky	135	-	-	-	-	11	22	48	54	-
124	Jiné choroby jater	179	2	3	1	4	15	22	58	74	-
125	Choroby mikteru	21	1	-	-	1	1	6	10	2	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	424	19	21	37	52	118	56	68	53	-
											
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1827	32	36	44	101	245	276	554	539	-
128	Prudkı zánìt ledvin	112	24	29	22	8	9	6	9	5	-
129	Vleklı zánìt ledvin	1357	-	5	21	68	149	198	475	441	-
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	67	7	2	1	2	8	6	21	20	-
132	Moèové kaménky	12	-	-	-	-	-	4	4	4	-
133	Choroby mìchıøe	45	1	-	-	-	3	3	6	32	-
134	Choroby moèové roury	3	-	-	-	-	1	-	-	2	-
135	Choroby lázy pøedstojné	x	x	x	x	x	x	x	x	x	x
136	Nevenerické choroby muskıch pohlavních orgánù	x	x	x	x	x	x	x	x	x	x
137	Boubel a jiné nezhoubné nádory vajeèníku	41	-	-	-	1	6	10	11	13	-
138	Zánìt vejcovodu nebo vøed v pánvi	23	-	-	-	3	10	8	2	-	-
139	Nádory dìloní	49	-	-	-	3	9	17	14	6	-
140	Nepuerperální krvácení z dìlohy	12	-	-	-	3	4	4	1	-	-
141	Ostatní choroby rodidel	102	-	-	-	13	43	20	11	15	-
142	Nepuerperální choroby prsu	4	-	-	-	-	3	-	-	1	-
											
IX	Puerperální stav	972	-	-	1	244	637	89	1	-	-
143a	Potrat 	41	-	-	-	4	32	5	-	-	-
143b	Mimodìloní tìhotenství	40	-	-	-	4	31	5	-	-	-
143c	Jiné nehody tìhotenské	-	-	-	-	-	-	-	-	-	-
144	Krvácení tìhotnıch a v šestinedìlí	107	-	-	-	15	81	11	-	-	-
145	Jiné nehody pøi porodu	72	-	-	-	10	49	13	-	-	-
146	Horeèka omladnic	581	-	-	1	169	364	47	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	24	-	-	-	7	14	3	-	-	-
148	Albuminurie nebo boec v šestinedìlí	88	-	-	-	32	54	1	1	-	-
149	Následky porodu (bez blišího oznaèení)	18	-	-	-	3	11	4	-	-	-
150	Puerperální choroby prsu	1	-	-	-	-	1	-	-	-	-
											
X	Choroby kùe a vaziva	606	352	8	5	6	13	8	37	177	-
151	Snì	129	7	-	-	-	1	4	12	105	-
152	Neit	265	233	5	2	2	4	-	6	13	-
153	Zánìt podkoního vaziva, horeènatı vøed	68	32	2	2	3	6	2	9	12	-
155	Ostatní choroby kùe neb jejich adnex	144	80	1	1	1	2	2	10	47	-
											
XI	Choroby kostí a ústrojí pohybového	132	4	13	14	8	9	12	25	47	-
156	Choroby kostí	97	3	10	12	7	8	9	16	32	-
157	Choroby kloubù	29	1	3	2	1	1	2	6	13	-
158	Ostatní choroby kostí nebo ústrojí pohybového	6	-	-	-	-	-	1	3	2	-
											
XII	Zrùdnost vrozená	181	175	6	-	-	-	-	-	-	-
159	Zrùdnost vrozená	181	175	6	-	-	-	-	-	-	-
											
XIII	Ranı vìk	3232	3232	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	1919	1919	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1030	1030	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	280	280	-	-	-	-	-	-	-	-
163	Nedostatek péèe	3	3	-	-	-	-	-	-	-	-
											
XIV		9406	6	4	3	5	3	4	136	9244	1
164	Stáøí	9374	-	-	-	-	-	-	133	9240	1
											
XV	Zevní pøíèiny 	2026	51	192	104	433	345	209	284	400	8
SE		961	0	0	3	292	227	137	171	128	3
165	Sebevrada otravou jedy	91	 -	 -	 -	34	32	12	11	2	 -
166	Sebevrada otravou poitím íravin	73	 -	 -	 -	35	23	9	4	2	 -
167	Sebevrada vdechováním jedovatıch plynù	15	 -	 -	 -	6	2	4	1	2	 -
168	Sebevrada obìšením neb uškrcením	368	 -	 -	2	62	74	65	90	75	 -
169	Sebevrada utopením	229	 -	 -	1	78	50	25	39	33	3
170	Sebevrada zastøelením	49	 -	 -	 -	29	15	2	2	1	 -
171	Sebevrada nástroji øeznımi neb bodnımi	17	 -	 -	 -	 -	4	6	5	2	 -
172	Sebevrada skokem s vıše	14	 -	 -	 -	3	2	2	2	5	 -
173	Sebevrada rozdrcením	71	 -	 -	 -	36	17	7	7	4	 -
174	Sebevrada jinım zpùsobem	34	 -	 -	 -	9	8	5	10	2	 -
175	Otrava potravinami	8	 -	1	1	 -	2	1	3	 -	 -
176	Uštknutí neb štípnutí	2	1	 -	 -	 -	 -	 -	 -	1	 -
177	Jiné prudké otravy náhodné (vyjma plyny)	12	 -	2	1	1	3	3	2	 -	 -
178	Úraz pøi poáru	4	 -	 -	1	 -	2	 -	 -	1	 -
179	Náhodné popálení (vyjma pøi poáru)	166	14	67	25	13	13	8	5	21	 -
180	Náhodné mechanické udušení (vyjma pøi poáru)	21	7	4	1	 -	4	2	1	2	 -
181	Vdechování plynù nedıchatelnıch neb jedovatıch	18	 -	1	 -	3	3	2	3	6	 -
182	Náhodné utopení	159	 -	75	17	23	11	6	10	14	3
183	Poranìní støelnou zbraní	13	 -	3	3	1	4	 -	1	 -	1
184	Poranìní nástroji øeznımi neb bodnımi	6	 -	 -	 -	 -	 -	 -	4	2	 -
185	Poranìní pádem	51	2	2	 -	4	5	5	7	26	 -
186	Poranìní v dolech neb lomech	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
187	Poranìní stroji	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
DN		89	0	4	20	7	10	13	14	20	1
188a	Poranìní eleznicemi a tramvajemi	24	 -	 -	2	3	4	2	4	8	1
188b	Poranìní automobily	53	 -	3	17	4	3	10	8	8	 -
188c	Poranìní motocykly	1	 -	 -	 -	 -	 -	 -	 -	1	 -
188d	Poranìní aeroplány a balony	1	 -	 -	 -	 -	1	 -	 -	 -	 -
188	Poranìní jinımi dopravními prostøedky	10	 -	1	1	 -	2	1	2	3	 -
188f	Poranìní jinım zhmodìním	121	3	10	10	19	14	14	16	35	 -
189	Poranìní zpùsobená zvíøaty	7	 -	1	3	 -	1	 -	 -	2	 -
192b	Hlad nebo ízeò	1	 -	 -	 -	 -	 -	 -	 -	1	 -
193	Pøílišnı chlad	17	 -	 -	 -	 -	4	4	8	1	 -
194	Pøílišnı ár	4	 -	 -	1	1	1	 -	 -	1	 -
195	Blesk	29	 -	 -	3	8	8	4	3	3	 -
196	Jiné úrazy elektrickım proudem	4	 -	 -	 -	2	2	 -	 -	 -	 -
NA		149	24	15	6	48	20	6	9	21	0
197	Zabití støelnou zbraní	51	 -	2	1	31	11	2	2	2	 -
198	Zabití nástroji øeznımi neb bodnımi	13	 -	1	2	8	1	 -	1	 -	 -
199	Zabití jinımi prostøedky	29	 -	4	2	8	4	2	3	6	 -
200	Zabití dítìte do 1 roku	24	24	 -	 -	 -	 -	 -	 -	 -	 -
201c	Zlomeniny (bez blišího oznaèení)	184	 -	7	9	11	11	4	27	115	 -
202a	Ostatní násilná zevní poranìní	32	 -	8	1	1	4	2	3	13	 -
202b	Poprava legální	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
203	Násilná smrt neznáme pøíèiny	-	-	-	-	-	-	-	-	-	-
											
XVI	Nemoci špatnì definované	835	111	42	10	18	54	64	279	256	1
204	Náhlé úmrtí	4	-	-	-	-	-	-	1	3	-
205	Nemoci nespecifikované nebo špatnì definované	831	111	42	10	18	54	64	278	253	1
