1921	Zemřelí muži podle podrobného seznamu příčin smrti a věku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- těno
149	Následky porodu (bez bližšího označení)	x	x	x	x	x	x	x	x	x	x	x	x
150	Puerperální choroby prsu	x	x	x	x	x	x	x	x	x	x	x	x
													
X	Choroby kůže a vaziva	613	433	12	3	1	-	5	7	43	89	20	-
151	Sněť	106	6	1	1	-	-	-	2	13	66	17	-
152	Nežit	233	217	7	-	1	-	2	1	1	3	1	-
153	Zánět podkožního vaziva, horečnatý vřed	141	84	3	2	-	-	3	3	26	18	2	-
155	Ostatní choroby kůže neb jejich adnex	133	126	1	-	-	-	-	1	3	2	-	-
													
XI	Choroby kostí a ústrojí pohybového	117	8	7	19	22	15	13	5	12	16	-	-
156	Choroby kostí	91	6	6	17	20	13	10	3	6	10	-	-
157	Choroby kloubů	21	2	1	2	1	2	3	1	4	5	-	-
158	Ostatní choroby kostí nebo ústrojí pohybového	5	-	-	-	1	-	-	1	2	1	-	-
													
XII	Zrůdnost vrozená	163	158	4	1	-	-	-	-	-	-	-	-
159	Zrůdnost vrozená	163	158	4	1	-	-	-	-	-	-	-	-
													
XIII	Raný věk	6904	6904	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, žloutenka a skleroma	5280	5280	-	-	-	-	-	-	-	-	-	-
161	Předčasné narození nebo různé následky porodu	1591	1591	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného věku	30	30	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péče	3	3	-	-	-	-	-	-	-	-	-	-
													
XIV		8542	5	4	2	1	3	2	3	13	5204	3304	1
164	Stáří	8509	-	-	-	-	-	-	-	8	5198	3302	1
													
XV	Zevní příčiny 	4375	69	176	124	156	407	893	524	1212	723	73	18
SE		1993	0	0	0	14	181	445	233	639	423	51	7
165	Sebevražda otravou jedy	87	-	-	-	-	8	28	7	35	8	1	-
166	Sebevražda otravou požitím žíravin	12	-	-	-	-	-	1	2	5	3	1	-
167	Sebevražda vdechováním jedovatých plynů	16	-	-	-	-	1	3	1	3	6	2	-
168	Sebevražda oběšením neb uškrcením	1141	-	-	-	9	74	157	129	423	307	38	4
169	Sebevražda utopením	137	-	-	-	-	13	33	14	42	29	5	1
170	Sebevražda zastřelením	409	-	-	-	3	57	175	54	76	40	3	1
171	Sebevražda nástroji řeznými neb bodnými	34	-	-	-	-	1	4	7	13	9	-	-
172	Sebevražda skokem s výše	12	-	-	-	-	1	4	1	4	2	-	-
173	Sebevražda rozdrcením	75	-	-	-	2	17	24	10	14	7	-	1
174	Sebevražda jiným způsobem	70	-	-	-	-	9	16	8	24	12	1	-
175	Otrava potravinami	22	10	2	1	-	1	3	3	1	1	-	-
176	Uštknutí neb štípnutí	-	-	-	-	-	-	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	17	-	4	3	-	-	-	-	8	2	-	-
178	Úraz při požáru	7	-	2	-	-	-	1	-	2	2	-	-
179	Náhodné popálení (vyjma při požáru)	134	13	58	4	6	2	7	10	19	14	-	1
180	Náhodné mechanické udušení (vyjma při požáru)	61	12	7	3	6	3	8	5	9	7	-	1
181	Vdechování plynů nedýchatelných neb jedovatých	40	1	-	-	3	4	9	7	12	2	1	1
182	Náhodné utopení	473	6	70	62	50	65	115	33	44	24	1	3
183	Poranění střelnou zbraní	131	2	4	5	26	18	38	19	12	6	-	1
184	Poranění nástroji řeznými neb bodnými	11	-	1	-	-	1	3	1	4	1	-	-
185	Poranění pádem	128	2	6	3	3	8	18	11	35	39	3	-
186	Poranění v dolech neb lomech	76	-	-	-	-	11	19	20	23	3	-	-
187	Poranění stroji	13	-	-	-	2	1	6	-	4	-	-	-
188	Poraněním pohmožděním jiného druhu	883	3	16	35	33	85	149	128	269	154	10	1
189	Poranění způsobená zvířaty	18	-	-	2	-	1	3	1	6	5	-	-
190	Zranění válečná	2	-	-	-	-	-	1	1	-	-	-	-
192b	Hlad nebo žízeň	1	-	-	-	-	-	-	1	-	-	-	-
193	Přílišný chlad	54	-	-	-	-	-	-	4	32	15	2	1
194	Přílišný žár	19	-	-	-	2	1	2	4	5	5	-	-
195	Blesk	36	-	-	1	1	3	11	4	13	3	-	-
196	Jiné úrazy elektrickým proudem	45	-	1	-	3	9	16	8	6	1	1	-
NA		115	19	1	3	3	3	25	20	32	5	2	2
197	Zabití střelnou zbraní	47	1	-	1	1	1	11	14	14	3	-	1
198	Zabití nástroji řeznými neb bodnými	23	-	-	1	-	1	10	4	6	-	-	1
199	Zabití jinými prostředky	45	18	1	1	2	1	4	2	12	2	2	-
201c	Zlomeniny (bez bližšího označení)	96	1	4	2	4	10	14	11	37	11	2	-
202a	Ostatní násilná zevní poranění	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé příčiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XVI	Nemoci špatně definované	1217	156	102	21	14	17	43	52	284	481	35	12
204	Náhlé úmrtí	2	1	-	-	-	-	-	-	1	-	-	-
205	Nemoci nespecifikované nebo špatně definované	1215	155	102	21	14	17	43	52	283	481	35	12
