1922	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1920)	Název	Celkem	0	1-4	5-9	10-14	15-19	20-29	30-39	40-59	60-79	80+	Nezjiš- tìno
DU		68	0	0	0	1	1	2	9	31	22	2	0
III	Celkové nemoci vıše nejmenované	6811	142	109	25	33	36	139	373	2559	3214	181	-
43	Rakovina neb jiné zhoubné nádory dutiny ústní	31	-	-	-	-	-	-	2	10	16	3	-
44	Rakovina neb jiné zhoubné nádory aludku, jater	2581	2	1	2	-	2	15	70	867	1542	80	-
45	Rakovina neb jiné zhoubné nádory pobøišnice, støev neb koneèníku	641	1	1	-	-	1	3	25	230	360	20	-
46	Rakovina neb jiné zhoubné nádory rodidel	1069	-	-	-	-	1	13	92	601	354	8	-
47	Rakovina neb jiné zhoubné nádory prsu	299	-	-	-	-	-	4	20	133	132	10	-
48	Rakovina neb jiné zhoubné nádory kùe	76	-	-	-	-	-	1	1	11	48	15	-
49	Rakovina neb jiné zhoubné nádory orgánù ostatních nebo blíe neurèenıch	980	1	2	1	6	6	22	62	392	454	34	-
50	Nádory, je nejsou zhoubné, neb jich zhoubná povaha není specifikovaná	18	2	1	-	1	1	-	1	7	4	1	-
51	Prudkı horeèatı hostec kloubní	12	-	1	1	2	-	1	-	4	3	-	-
52	Vleklı hostec, dna	268	-	2	2	8	5	12	15	87	132	5	-
53	Kurdìje	6	2	1	-	1	-	1	-	-	1	-	-
56	Køivice	196	108	83	4	-	1	-	-	-	-	-	-
57	Cukrovka	259	-	1	5	7	6	20	21	83	113	3	-
58a	Nedokrevnost zhoubná	153	10	8	3	3	2	24	26	57	19	1	-
58b	Jiné nedokrevnosti a blednièka	29	5	2	-	1	3	3	6	6	3	-	-
59	Nemoci hypophysy	-	-	-	-	-	-	-	-	-	-	-	-
60a	Basedowova nemoc	62	-	-	-	1	4	13	10	22	12	-	-
60b	Jiná onemocnìní štítné lázy	2	-	-	-	1	-	-	-	-	1	-	-
61	Nemoci lázek pøištítnıch	11	7	-	1	-	-	-	2	-	1	-	-
62	Nemoci brzlíku	5	2	2	1	-	-	-	-	-	-	-	-
63	Nemoci nadledvinek (nemoc Addisonova)	5	-	-	-	-	-	-	1	3	1	-	-
64	Nemoci sleziny	3	-	-	-	-	-	-	1	2	-	-	-
65	Bìlokrevnost neb Hodgkinova nemoc	66	2	4	3	2	3	4	13	29	6	-	-
66	Alkoholismus	26	-	-	-	-	-	-	2	14	9	1	-
67	Vleklé otravy nerostnımi látkami	1	-	-	1	-	-	-	-	-	-	-	-
68	Vleklé otravy ústrojnımi látkami	-	-	-	-	-	-	-	-	-	-	-	-
69	Ostatní celkové nemoci	12	-	-	1	-	1	3	3	1	3	-	-
													
IV	Choroby systému nervového a smyslovıch orgánù	8328	2841	479	159	131	115	214	280	1263	2520	325	1
70	Zánìt mozku	188	27	28	15	9	15	15	15	45	19	-	-
71	Zánìt mozkovıch blan	982	255	254	120	81	54	70	30	76	37	5	-
72	Úbytì míchy	101	-	-	-	-	-	5	8	52	36	-	-
73	Jiné choroby míchy	229	5	4	3	4	4	17	24	86	79	3	-
74a	Vılev krevní do mozku	3166	-	-	-	-	-	25	61	684	2102	293	1
74b	Záha il mozkovıch	74	9	1	-	1	5	2	12	22	22	-	-
75a	Jednostranná obrna tìla	91	-	-	-	-	1	-	4	19	53	14	-
75b	Paralysis progressiva	46	-	-	-	-	-	-	6	27	13	-	-
75c	Jiné obrny	28	1	-	-	1	1	2	2	7	14	-	-
76	Ochrnutí spojené s duševní chorobou	2	-	-	-	-	-	-	-	1	1	-	-
77	Jiné duševní choroby	40	-	-	-	1	1	2	7	16	12	1	-
78	Padoucnice	160	2	2	5	14	17	27	37	46	10	-	-
79	Boec nepuerperální	39	-	-	2	2	1	15	7	8	4	-	-
80	Køeèe u dìtí	2683	2512	171	-	-	-	-	-	-	-	-	-
81	Posunèina	5	-	-	-	1	2	2	-	-	-	-	-
82b	Zánìt nervù	9	1	-	-	-	-	-	2	2	4	-	-
83	Zmìknutí mozku	101	-	-	-	1	-	5	4	33	53	5	-
84	Ostatní choroby systému nervového	350	18	18	13	14	14	23	57	131	59	3	-
86	Choroby ucha nebo dutin mastoideu	34	11	1	1	2	-	4	4	8	2	1	-
													
V	Choroby obìhu krevního	9260	86	31	68	94	150	326	522	2358	5059	562	4
87	Zánìt osrdce	23	-	-	4	-	-	2	2	6	9	-	-
88	Prudkı zánìt nitroblány nebo svalu srdeèního	1656	1	3	11	15	16	40	50	339	1044	135	2
89	Srdeèní angina	15	-	-	-	-	-	-	1	6	8	-	-
90	Jiné nemoci srdce	5643	76	28	51	77	130	265	438	1778	2635	164	1
91a	Vıdu	40	-	-	-	-	-	1	4	15	17	3	-
91b	Zkornatìní a jiné choroby tepen	1732	-	-	-	-	2	3	3	164	1304	255	1
92	Záha (nikoliv mozkovı)	68	2	-	1	1	1	10	14	27	11	1	-
93	Choroby il	46	-	-	-	-	-	2	4	14	22	4	-
94	Choroby systému mízního	17	7	-	1	1	-	1	-	3	4	-	-
95	Ostatní choroby obìhu krevního	20	-	-	-	-	1	2	6	6	5	-	-
96	Ostatní choroby obìhu krevního	-	-	-	-	-	-	-	-	-	-	-	-
													
VI	Choroby ústrojí dıchacího	11410	3378	1172	121	89	91	260	325	1364	4138	470	2
97	Choroby dutin nosních a jejich adnex	6	2	1	-	-	-	-	-	-	3	-	-
98	Choroby hrtanu	29	20	4	1	1	-	1	-	1	1	-	-
99a	Zánìt prùdušek prudkı	1450	1177	204	1	1	-	1	2	12	45	7	-
99b	Zánìt prùdušek vleklı	236	35	19	2	3	2	5	5	29	125	11	-
99c	Zánìt prùdušek bez blišího oznaèení (pod 5 let)	119	42	77	-	-	-	-	-	-	-	-	-
99d	Zánìt prùdušek bez blišího oznaèení (v 5 a více letech)	314	-	-	2	1	2	7	8	44	211	39	-
100	Lalùèkovı zánìt plic vèetnì zánìtu prùdušinek	1149	532	186	11	4	8	15	8	86	257	41	1
101a	Zánìt plic lalokovı	361	53	24	6	6	5	14	22	81	139	11	-
101b	Zánìt plic bez blišího oznaèení	5382	1476	624	84	62	65	166	227	717	1755	205	1
102	Zánìt pohrudnice	354	20	20	11	4	4	23	24	100	138	10	-
103	Pøekrvení nebo krvácení parenchymatosní plic	150	9	5	2	1	3	10	9	27	73	11	-
104	Snì plicní	22	-	1	-	3	1	4	1	5	7	-	-
105	Záducha	327	-	-	-	-	-	3	3	59	240	22	-
106	Rozedma plic	1424	-	2	-	2	-	5	7	188	1108	112	-
107	Ostatní choroby ústrojí dıchacího	87	12	5	1	1	1	6	9	15	36	1	-
													
VII	Choroby ústrojí zaívacího	6405	3970	347	76	68	68	226	258	615	720	57	-
108b	Choroby ústní dutiny a jejich adnex	8	6	-	-	-	-	-	-	1	1	-	-
109	Choroby hltanu nebo mandlí	50	25	4	5	3	1	-	4	6	2	-	-
110	Choroby jícnu	6	2	1	-	1	-	-	-	2	-	-	-
111a	Vøed aludeèní	147	-	3	1	-	7	17	14	57	47	1	-
111b	Vøed dvanácterníku	23	-	-	1	-	1	-	2	10	9	-	-
112	Jiné choroby aludeèní	59	-	6	-	1	-	5	3	16	27	1	-
113	Prùjem a zánìt støev (pod 2 roky)	4129	3896	233	-	-	-	-	-	-	-	-	-
114	Prùjem a zánìt støev (nad 2 roky)	322	-	62	22	11	6	9	17	61	114	20	-
115	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
116	Choroby zavinìné intestinálními cizopasníky	-	-	-	-	-	-	-	-	-	-	-	-
117	Zánìt èervu a jeho okolí	150	1	6	12	20	14	23	17	31	24	2	-
118a	Kıla 	158	1	1	-	1	1	4	8	55	80	7	-
118b	Záha støevní	198	4	5	2	3	2	8	9	63	90	12	-
119b	Jiné choroby støev	45	6	2	2	-	2	-	6	15	12	-	-
120	Prudká atrofie jater	10	-	-	-	1	-	3	1	2	2	1	-
121	Hydativní nádor jater	-	-	-	-	-	-	-	-	-	-	-	-
122a	Svraštìní jater alkoholické	6	-	1	-	1	-	-	-	3	1	-	-
122b	Svraštìní jater neoznaèené jako alkoholické	115	2	-	1	-	-	-	6	42	61	3	-
123	luèové kaménky	95	-	-	-	-	1	3	13	40	37	1	-
124	Jiné choroby jater	219	9	3	4	3	2	22	12	76	86	2	-
125	Choroby mikteru	6	-	-	-	-	-	-	5	-	1	-	-
126	Zánìt pobøišnice bez oznaèení pøíèiny	659	18	20	26	23	31	132	141	135	126	7	-
													
VIII	Nevenerické choroby ústrojí urogenitálního a jejich adnex	1547	29	52	32	40	49	113	191	520	493	27	1
128	Prudkı zánìt ledvin	109	13	32	13	4	5	6	8	16	10	2	-
129	Vleklı zánìt ledvin	1217	14	18	18	34	39	85	147	422	419	20	1
130	Chylurie	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -	 -
131	Jiné choroby ledvin a jejich adnex	70	2	1	1	1	1	4	7	30	22	1	-
132	Moèové kaménky	15	-	-	-	-	-	1	-	9	5	-	-
133	Choroby mìchıøe	38	-	1	-	1	-	-	2	9	21	4	-
134	Choroby moèové roury	8	-	-	-	-	-	-	2	4	2	-	-
135	Choroby lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
136	Nevenerické choroby muskıch pohlavních orgánù	x	x	x	x	x	x	x	x	x	x	x	x
137	Boubel a jiné nezhoubné nádory vajeèníku	14	-	-	-	-	-	-	1	7	6	-	-
138	Zánìt vejcovodu nebo vøed v pánvi	3	-	-	-	-	-	1	1	1	-	-	-
139	Nádory dìloní	13	-	-	-	-	-	2	2	8	1	-	-
140	Nepuerperální krvácení z dìlohy	8	-	-	-	-	1	-	2	3	2	-	-
141	Ostatní choroby rodidel	46	-	-	-	-	3	11	16	11	5	-	-
142	Nepuerperální choroby prsu	6	-	-	-	-	-	3	3	-	-	-	-
													
IX	Puerperální stav	920	-	-	-	-	39	392	378	111	-	-	-
143a	Potrat 	122	-	-	-	-	3	58	53	8	-	-	-
143b	Mimodìloní tìhotenství	23	-	-	-	-	-	5	17	1	-	-	-
143c	Jiné nehody tìhotenské	-	-	-	-	-	-	-	-	-	-	-	-
144	Krvácení tìhotnıch a v šestinedìlí	80	-	-	-	-	-	26	39	15	-	-	-
145	Jiné nehody pøi porodu	37	-	-	-	-	-	12	18	7	-	-	-
146	Horeèka omladnic	535	-	-	-	-	30	236	212	57	-	-	-
147	Phlegmasia albadolens, embolie nebo náhlá smrt puerperální	15	-	-	-	-	-	1	10	4	-	-	-
148	Albuminurie nebo boec v šestinedìlí	87	-	-	-	-	5	49	20	13	-	-	-
149	Následky porodu (bez blišího oznaèení)	21	-	-	-	-	1	5	9	6	-	-	-
150	Puerperální choroby prsu	-	-	-	-	-	-	-	-	-	-	-	-
													
X	Choroby kùe a vaziva	543	359	15	3	3	3	6	9	29	90	26	-
151	Snì	110	4	-	-	-	1	1	1	10	72	21	-
152	Neit	171	162	4	-	-	1	-	1	1	-	2	-
153	Zánìt podkoního vaziva, horeènatı vøed	161	103	11	2	3	1	5	6	12	15	3	-
155	Ostatní choroby kùe neb jejich adnex	101	90	-	1	-	-	-	1	6	3	-	-
													
XI	Choroby kostí a ústrojí pohybového	101	9	3	7	10	5	3	5	25	33	1	-
156	Choroby kostí	80	9	3	6	10	4	2	4	19	22	1	-
157	Choroby kloubù	18	-	-	1	-	1	1	1	4	10	-	-
158	Ostatní choroby kostí nebo ústrojí pohybového	3	-	-	-	-	-	-	-	2	1	-	-
													
XII	Zrùdnost vrozená	88	88	-	-	-	-	-	-	-	-	-	-
159	Zrùdnost vrozená	88	88	-	-	-	-	-	-	-	-	-	-
													
XIII	Ranı vìk	4495	4495	-	-	-	-	-	-	-	-	-	-
160b	Vrozená slabost, loutenka a skleroma	3312	3312	-	-	-	-	-	-	-	-	-	-
161	Pøedèasné narození nebo rùzné následky porodu	1175	1175	-	-	-	-	-	-	-	-	-	-
162	Ostatní zvláštní choroby raného vìku	8	8	-	-	-	-	-	-	-	-	-	-
163	Nedostatek péèe	-	-	-	-	-	-	-	-	-	-	-	-
													
XIV		14072	0	0	2	0	1	3	3	25	8383	5654	1
164	Stáøí	14059	-	-	-	-	-	-	-	24	8380	5654	1
													
XV	Zevní pøíèiny 	1536	49	130	28	31	136	317	177	326	284	53	5
SE		780	0	0	0	3	78	207	118	205	147	21	1
165	Sebevrada otravou jedy	114	-	-	-	-	10	41	26	30	6	1	-
166	Sebevrada otravou poitím íravin	1	-	-	-	-	-	1	-	-	-	-	-
167	Sebevrada vdechováním jedovatıch plynù	14	-	-	-	-	3	5	1	5	-	-	-
168	Sebevrada obìšením neb uškrcením	316	-	-	-	2	13	39	46	107	95	14	-
169	Sebevrada utopením	173	-	-	-	1	24	51	22	41	31	3	-
170	Sebevrada zastøelením	68	-	-	-	-	20	28	12	6	2	-	-
171	Sebevrada nástroji øeznımi neb bodnımi	10	-	-	-	-	1	1	2	4	2	-	-
172	Sebevrada skokem s vıše	14	-	-	-	-	-	7	1	2	4	-	-
173	Sebevrada rozdrcením	49	-	-	-	-	6	25	7	5	3	2	1
174	Sebevrada jinım zpùsobem	21	-	-	-	-	1	9	1	5	4	1	-
175	Otrava potravinami	16	3	4	1	-	-	2	1	4	1	-	-
176	Uštknutí neb štípnutí	1	-	-	-	-	1	-	-	-	-	-	-
177	Jiné prudké otravy náhodné (vyjma plyny)	19	3	4	-	-	-	6	2	2	2	-	-
178	Úraz pøi poáru	6	-	1	-	1	-	-	1	1	2	-	-
179	Náhodné popálení (vyjma pøi poáru)	107	9	43	3	2	10	11	3	8	14	4	-
180	Náhodné mechanické udušení (vyjma pøi poáru)	18	7	3	-	1	1	-	-	4	-	2	-
181	Vdechování plynù nedıchatelnıch neb jedovatıch	29	1	2	-	-	3	13	2	2	5	1	-
182	Náhodné utopení	144	3	51	12	13	15	10	9	13	11	6	1
183	Poranìní støelnou zbraní	15	1	3	-	-	2	2	2	4	1	-	-
184	Poranìní nástroji øeznımi neb bodnımi	2	-	-	-	-	-	-	-	-	2	-	-
185	Poranìní pádem	27	-	1	1	1	-	6	1	8	8	1	-
186	Poranìní v dolech neb lomech	-	-	-	-	-	-	-	-	-	-	-	-
187	Poranìní stroji	2	-	1	-	-	-	-	-	1	-	-	-
188	Poranìním pohmodìním jiného druhu	209	3	13	7	7	12	25	21	45	58	17	1
189	Poranìní zpùsobená zvíøaty	-	-	-	-	-	-	-	-	-	-	-	-
190	Zranìní váleèná	-	-	-	-	-	-	-	-	-	-	-	-
192b	Hlad nebo ízeò	4	-	-	-	-	-	-	-	-	2	1	1
193	Pøílišnı chlad	20	-	-	-	1	-	-	1	3	15	-	-
194	Pøílišnı ár	1	-	-	-	-	-	-	-	-	1	-	-
195	Blesk	19	-	-	1	-	1	5	2	8	2	-	-
196	Jiné úrazy elektrickım proudem	3	-	-	1	-	1	1	-	-	-	-	-
NA		113	19	4	2	2	11	29	14	18	13	0	1
197	Zabití støelnou zbraní	38	1	1	-	-	8	18	4	4	2	-	-
198	Zabití nástroji øeznımi neb bodnımi	17	1	-	1	-	1	4	3	3	4	-	-
199	Zabití jinımi prostøedky	58	17	3	1	2	2	7	7	11	7	-	1
201c	Zlomeniny (bez blišího oznaèení)	1	-	-	-	-	1	-	-	-	-	-	-
202a	Ostatní násilná zevní poranìní	-	-	-	-	-	-	-	-	-	-	-	-
202b	Poprava legální	-	-	-	-	-	-	-	-	-	-	-	-
203	Násilná smrt neznámé pøíèiny	-	-	-	-	-	-	-	-	-	-	-	-
													
XVI	Nemoci špatnì definované	1612	117	65	5	18	14	62	68	362	851	41	9
204	Náhlé úmrtí	-	-	-	-	-	-	-	-	-	-	-	-
205	Nemoci nespecifikované nebo špatnì definované	1612	117	65	5	18	14	62	68	362	851	41	9
