1946	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku													
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75-84	85+	Nezjiš- tìno
44b	Lymphogranulomatosy	39	-	-	2	5	3	2	11	7	7	2	-	-
44c	Epidemickı zánìt pøíušnic	1	1	-	-	-	-	-	-	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-	-
														
II	Rakovina a jiné nádory	6779	8	26	27	55	136	526	1159	1689	2011	1031	108	3
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	6	-	-	-	-	-	-	-	2	2	2	-	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	11	-	-	-	-	-	-	2	2	5	1	1	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	35	-	1	-	1	1	1	10	4	8	9	-	-
46a	Rakovina a jiné zhoubné nádory: jícnu	80	-	-	-	-	-	5	11	22	22	17	3	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	1833	-	-	-	4	18	64	203	441	666	404	31	2
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	429	-	-	-	2	6	15	45	87	174	90	10	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	265	-	-	-	3	5	24	24	72	94	40	3	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	719	-	-	-	1	3	24	101	187	272	125	6	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	136	-	2	3	2	2	10	14	35	39	26	3	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	63	-	-	-	-	2	4	12	25	17	3	-	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	75	-	1	-	-	-	6	10	31	22	5	-	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	3	-	-	1	-	-	-	2	-	-	-	-	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	38	-	-	-	-	1	4	7	11	9	5	1	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	187	-	-	-	6	5	13	32	56	62	13	-	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	-	-	1	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	126	-	-	-	-	5	23	37	31	23	7	-	-
48b	Rakovina a jiné zhoubné nádory: dìlohy	1079	-	1	-	3	31	139	279	282	247	88	9	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	223	-	1	-	1	6	30	57	75	41	11	1	-
50	Rakovina a jiné zhoubné nádory: prsù	532	-	-	-	1	12	73	146	133	104	54	9	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	x	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	83	-	4	-	-	2	4	11	23	24	14	1	-
53	Rakovina a jiné zhoubné nádory: kùe	114	-	-	-	-	-	3	2	12	30	45	22	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	26	-	3	1	-	-	7	7	5	1	1	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	22	-	1	-	-	-	2	6	8	5	-	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	96	2	-	5	6	4	7	16	29	17	8	1	1
55c	Rakovina a jiné zhoubné nádory: lázy štítné	56	-	-	-	1	1	4	10	14	18	8	-	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	161	-	3	2	4	5	15	31	35	38	25	3	-
55	Carcinomatosy, sarkomatosy	12	-	-	-	1	1	2	1	4	3	-	-	-
55f	Metastasy bez udání prvotního místa	6	-	-	-	-	-	-	-	2	1	3	-	-
56a	Nádory nezhoubné: vajeèníku	32	-	-	-	1	1	6	8	7	5	4	-	-
56b	Nádory nezhoubné: dìlohy	32	-	-	-	-	1	10	14	3	4	-	-	-
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	2	-	-	-	-	-	-	1	1	-	-	-	-
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	13	1	-	1	2	3	2	2	2	-	-	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	10	1	-	-	-	1	1	3	1	2	1	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	10	-	-	-	-	2	2	1	1	4	-	-	-
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	47	1	1	-	-	2	-	6	7	17	11	2	-
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	3	-	-	-	-	1	1	1	-	-	-	-	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	123	1	6	11	15	12	17	34	20	6	1	-	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	90	2	2	3	1	3	8	13	19	29	9	1	-
														
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	818	69	5	30	19	22	38	80	173	232	128	21	1
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	25	-	1	16	2	1	-	2	-	3	-	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	1	-	-	-	-	-	-	-	1	-	-	-	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	137	-	-	1	-	2	8	11	21	35	45	13	1
60	Dna	3	-	-	-	-	-	-	-	-	2	-	1	-
61	Úplavice cukrová	467	1	-	10	10	8	14	49	129	161	78	7	-
62	Nemoci podvìsku mozkového	-	-	-	-	-	-	-	-	-	-	-	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	13	-	-	-	-	2	1	3	3	4	-	-	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	72	-	-	-	5	5	8	11	18	22	3	-	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	13	1	-	-	2	1	3	1	-	4	1	-	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	1	-	1	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	32	27	1	3	-	1	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	9	-	-	-	-	1	3	3	1	1	-	-	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	-	-	-	-	-	-	-	-	-	-	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	2	-	-	-	-	-	1	-	-	-	1	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	4	4	-	-	-	-	-	-	-	-	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	-	-	-	-	-	-	-	-	-	-	-	-	-
70	Køivice	39	36	2	-	-	1	-	-	-	-	-	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-	-
														
IV	Nemoci krve a ústrojù krvetvornıch	270	13	9	14	11	17	23	44	60	54	24	1	-
72a	Stavy krvácivé: purpury prvotní	14	2	-	2	-	1	1	2	4	-	2	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	6	4	-	-	-	1	1	-	-	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	88	1	1	-	-	1	4	13	24	28	15	1	-
73b	Chudokrevnost: jiná anaemie	30	1	1	1	1	3	1	5	5	9	3	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	114	4	6	9	7	8	14	23	23	16	4	-	-
74b	Leukaemie a aleukaemie: aleukaemie	4	-	-	1	1	1	1	-	-	-	-	-	-
75	Nemoci sleziny	5	-	1	-	1	-	1	-	1	1	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	7	-	-	1	-	2	-	1	3	-	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	2	1	-	-	1	-	-	-	-	-	-	-	-
														
V	Otravy vleklé	6	-	-	-	-	-	1	-	4	1	-	-	-
77a	Alkoholismus prudkı	1	-	-	-	-	-	1	-	-	-	-	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	5	-	-	-	-	-	-	-	4	1	-	-	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	-	-	-	-	-	-	-	-	-	-	-	-	-
														
DU		67	2	1	2	1	9	9	9	18	13	2	1	0
														
VI	Nemoci soustavy nervové a smyslovıch ústrojù	4386	535	62	38	52	49	138	333	692	1211	1067	203	6
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	7	-	-	-	-	-	3	2	2	-	-	-	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	47	14	7	3	2	1	5	4	6	5	-	-	-
81	Zánìt plen mozkovıch prostı	176	61	21	19	19	5	13	17	13	6	1	-	1
82	Nemoci míchy	58	1	1	1	2	-	7	8	14	13	10	1	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2968	-	1	1	5	13	41	226	536	1030	939	171	5
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	63	-	-	-	2	4	2	6	14	21	13	1	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	87	-	-	-	-	-	3	4	17	30	18	15	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	156	-	1	2	3	-	5	10	28	43	51	13	-
84a	Duševní nemoci a vady: slabomyslnost	14	2	1	2	-	2	-	4	-	3	-	-	-
84b	Duševní nemoci a vady: schoizophrenie	10	-	-	-	1	3	2	1	1	2	-	-	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	1	-	-	-	-	1	-	-	-	-	-	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	36	-	-	-	-	3	6	4	13	7	2	1	-
85	Padoucnice	64	2	6	6	8	5	10	9	11	4	3	-	-
86	Køeèe u dìtí do 5 let	381	367	14	-	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	-	-	-	-	-	-	-	-	-	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	8	-	-	-	1	-	2	-	1	-	3	1	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	30	-	-	-	-	-	3	2	6	11	8	-	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	154	-	-	-	4	12	30	32	28	32	16	-	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	8	-	2	3	2	-	1	-	-	-	-	-	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	115	86	8	-	3	-	5	4	2	4	3	-	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	3	2	-	1	-	-	-	-	-	-	-	-	-
														
VII	Nemoci ústrojí obìhu krevního	13965	51	42	65	131	171	417	901	1951	4301	4703	1226	6
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	-	-	-	-	-	-	-	-	-	-	-	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	10	2	-	-	2	-	1	2	-	1	-	2	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	29	2	1	10	3	7	2	1	-	2	-	1	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	1189	-	3	13	51	50	119	206	255	296	166	30	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	130	-	-	3	12	17	16	36	21	17	8	-	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	44	2	7	3	1	-	1	1	10	7	11	1	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	201	-	-	1	-	2	3	18	43	71	52	11	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	6960	13	6	6	17	33	111	293	867	2262	2661	689	2
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1328	9	13	5	15	17	25	71	174	421	478	100	-
94a	Nemoci tepen vìnèitıch	77	-	-	-	-	2	2	6	22	30	12	3	-
94b	Angina srdeèní	175	-	-	-	-	-	4	20	43	69	34	5	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	92	-	-	1	1	4	7	7	19	32	18	3	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	2045	16	9	18	28	29	113	189	378	684	498	83	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	7	-	-	-	-	1	-	3	1	2	-	-	-
97	Zkornatìní tepen	1392	-	-	-	-	-	5	18	67	349	683	266	4
98	Snì	100	3	2	1	-	-	-	5	8	14	45	22	-
99	Jiné nemoci tepen	47	-	1	1	1	2	3	9	14	10	4	2	-
100a	Nemoci il: mìstky	53	-	-	-	-	1	-	3	9	12	21	7	-
100b	Nemoci il: jiné nemoci il	66	1	-	-	-	3	5	11	17	18	11	-	-
101	Nemoci soustavy mízní	10	3	-	2	-	1	-	-	-	2	1	1	-
102	Essentielní zvıšení tlaku krevního	5	-	-	-	-	-	-	2	1	2	-	-	-
103	Jiné nemoci ústrojí obìhu krevního	5	-	-	1	-	2	-	-	2	-	-	-	-
														
VIII	Nemoci ústrojù dıchacích	4981	2182	203	48	49	50	93	153	303	753	905	239	3
104	Nemoci dutiny nosní a pøídatnıch útvarù	2	1	-	-	-	-	1	-	-	-	-	-	-
105	Nemoci hrtanu	10	5	2	-	2	-	-	1	-	-	-	-	-
106a	Zánìt prùdušek: prudkı	94	68	5	-	-	-	-	-	1	7	11	2	-
106b	Zánìt prùdušek: vleklı	140	4	1	2	-	-	1	9	13	36	51	23	-
106c	Zánìt prùdušek: blíe neoznaèenı	215	108	4	4	-	1	1	2	7	26	42	20	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2553	1533	130	17	12	17	29	38	90	238	353	95	1
108	Lalokovı zánìt plic	559	123	18	9	11	14	17	26	64	142	116	19	-
109	Zánìt plic blíe neoznaèenı	764	318	37	11	8	5	13	25	51	129	129	38	-
110a	Zánìt pohrudnice: empyema thoracis	41	12	1	2	2	2	2	4	5	6	5	-	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	102	8	2	1	4	3	7	12	15	29	17	3	1
111a	Infarkt s krvácením, embolie a trombosa plic	68	1	-	-	5	3	8	13	17	13	7	1	-
111b	Hypostatickı zánìt a oedem plic	41	-	1	-	-	-	1	3	5	12	12	6	1
112	Záducha (asthma)	125	-	-	-	-	3	6	7	17	35	51	6	-
113	Rozedma plic	223	-	1	1	2	-	1	9	12	69	102	26	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	-	-	-	-	-	-	-	-	-	-	-	-	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	33	1	-	1	2	2	3	4	5	11	4	-	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	11	-	1	-	1	-	3	-	1	-	5	-	-
														
IX	Nemoci ústrojí zaívacího	2835	1337	81	43	65	64	144	191	295	362	214	39	-
115a	Nemoci mandlí a hltanu	61	26	7	2	3	4	4	-	6	6	3	-	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	11	3	2	1	-	-	1	1	-	2	1	-	-
116	Nemoci jícnu	5	-	1	-	1	-	-	-	-	1	2	-	-
117a	Vøed aludeèní	95	-	-	-	1	4	10	14	24	32	9	1	-
117b	Vøed dvanáctníkovı	19	-	-	-	-	1	-	6	5	5	2	-	-
118	Jiné nemoci aludku	26	-	-	-	-	1	4	2	2	9	4	4	-
119	Prùjem a katar støevní u dìtí do 2 let	1312	1269	43	-	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	84	-	8	1	3	3	4	12	9	20	19	5	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	8	-	-	-	1	2	1	-	1	2	1	-	-
121	Zánìt èervíkovitého pøívìsku	156	1	11	23	24	11	23	16	26	12	8	1	-
122a	Kıla	125	1	-	-	-	-	4	10	20	45	36	9	-
122b	Neprùchodnost støevní	207	19	2	7	10	8	18	18	35	50	34	6	-
123	Ostatní nemoci støevní	15	2	-	-	-	-	1	4	1	3	3	1	-
124a	Svraštìní jater: alkoholické	1	-	-	-	-	-	-	1	-	-	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	242	-	1	3	4	4	25	32	58	73	38	4	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	88	1	1	1	5	10	12	11	19	20	6	2	-
125b	Jiné nemoci jater: ostatní nemoci jater	35	-	2	-	1	5	3	2	9	7	6	-	-
126	Kaménky luèové	117	-	-	-	1	3	10	22	35	32	12	2	-
127	Jiné nemoci luèníku a luèovodù	95	-	-	-	-	1	5	17	27	25	18	2	-
128	Nemoci slinivky bøišní	32	-	-	-	-	1	5	15	5	5	1	-	-
129	Zánìt pobøišnice bez udání pøíèiny	101	15	3	5	11	6	14	8	13	13	11	2	-
														
X	Nemoci ústrojí moèového a pohlavního	1023	21	9	5	37	56	106	152	208	279	132	17	1
130	Prudkı zánìt ledvin	25	2	2	3	1	2	4	2	3	2	4	-	-
131	Vleklı zánìt ledvin	731	1	2	1	14	33	61	114	168	234	93	10	-
132	Zánìt ledvin nerozlišenı	80	2	4	1	5	6	12	10	12	15	12	1	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	59	11	1	-	1	5	6	5	10	10	7	2	1
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	21	1	-	-	3	1	2	4	4	6	-	-	-
134	Kaménky cest moèovıch	19	-	-	-	-	-	2	6	6	4	1	-	-
135a	Zánìt mìchıøe moèového	11	2	-	-	1	-	-	1	1	1	5	-	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	2	1	-	-	-	-	-	-	-	-	1	-	-
136	Nemoci roury moèové	13	1	-	-	1	-	1	-	1	3	4	2	-
137a	Nezhoubné nádory lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnìní lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	x	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	41	-	-	-	8	7	14	6	2	2	2	-	-
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	20	-	-	-	2	2	4	4	1	2	3	2	-
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	1	-	-	-	1	-	-	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	-	-	-	-	-	-	-	-	-	-	-	-	-
														
XI	Nemoci tìhotenství, porodu a stavu poporodního	323	-	-	-	77	132	112	2	-	-	-	-	-
140	Potrat se sepsí	53	-	-	-	15	20	17	1	-	-	-	-	-
141	Potrat bez zmínky o sepsi	6	-	-	-	-	4	2	-	-	-	-	-	-
142	Tìhotenství mimodìloní	23	-	-	-	3	9	11	-	-	-	-	-	-
143a	Krvácení v tìhotenství: lùko vcestné	2	-	-	-	-	-	2	-	-	-	-	-	-
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	1	-	-	-	-	1	-	-	-	-	-	-	-
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	-	-	-	-	-	-	-	-	-	-	-	-	-
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	13	-	-	-	4	4	5	-	-	-	-	-	-
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	6	-	-	-	1	2	3	-	-	-	-	-	-
144c	Otrava krve v tìhotenství: jiné toxikosy	-	-	-	-	-	-	-	-	-	-	-	-	-
145	Jiné nemoci a pøíhody tìhotenství	3	-	-	-	-	1	2	-	-	-	-	-	-
