1943	Zemøelé eny podle podrobného seznamu pøíèin smrti a vìku												
MKN (1938)	Název	Celkem	0	1-4	5-14	15-24	25-34	35-44	45-54	55-64	65-74	75 a více	Nezjiš- tìno
29	Jiné nemoci zpùsobené prvoky cizopasnımi (vyjma spirochaetami)	-	-	-	-	-	-	-	-	-	-	-	-
30a	Pøíjice: úbyt míchy (tabes dorsalis)	35	-	-	-	-	1	4	8	12	6	4	-
30b	Pøíjice: postupná obrna povšechná (progresivní paralysa)	86	-	-	-	2	2	17	31	23	8	3	-
30c	Pøíjice: vıdu srdeènice (aneurysma aorty)	60	-	-	-	-	1	3	11	13	19	13	-
30d	Pøíjice: pøíjice vrozená	24	22	-	1	-	1	-	-	-	-	-	-
30	Pøíjice: jiné druhy pøíjice	81	-	-	-	2	5	10	25	26	13	-	-
31	Tyf zvratnı	-	-	-	-	-	-	-	-	-	-	-	-
32a	Infekèní loutenka	1	-	-	-	-	-	-	-	1	-	-	-
32b	Ostatní nemoci zpùsobené spirochaetami	-	-	-	-	-	-	-	-	-	-	-	-
33a	Chøipka neboli influenza s onemocnìním dıchydel	107	44	5	3	2	2	4	1	7	21	18	-
33b	Chøipka neboli influenza bez údaje takového onemocnìní	72	24	2	2	-	1	3	1	4	11	24	-
34	Neštovice	-	-	-	-	-	-	-	-	-	-	-	-
35	Spalnièky	66	18	34	14	-	-	-	-	-	-	-	-
36	Prudkı zánìt šedé hmoty míšní nebo mozkové	34	2	9	9	7	3	4	-	-	-	-	-
37a	Zánìt mozku epidemickı (lethargickı): prudkı	-	-	-	-	-	-	-	-	-	-	-	-
37b	Zánìt mozku epidemickı (lethargickı): následky epidemického zánìtu mozku	33	1	-	-	1	4	8	7	6	5	1	-
37c	Zánìt mozku epidemickı (lethargickı): zánìt mozku epidemickı bez blišího oznaèení	7	-	1	1	1	-	2	1	-	1	-	-
38a	Jiné nemoci pøipisované virùm: lutá zimnice	-	-	-	-	-	-	-	-	-	-	-	-
38b	Jiné nemoci pøipisované virùm: vzteklina	-	-	-	-	-	-	-	-	-	-	-	-
38c	Jiné nemoci pøipisované virùm: plané neštovice (varicella)	5	2	2	1	-	-	-	-	-	-	-	-
38d	Jiné nemoci pøipisované virùm: ostatní nemoci pøipisované virùm	3	-	-	-	-	-	-	-	-	1	2	-
39a	Skvrnivka (tyf exanthem.)	1	-	-	-	-	1	-	-	-	-	-	-
39b	Jiné rickettsiosy	1	-	-	-	-	-	-	-	-	-	1	-
40	Ankylostomiasis	-	-	-	-	-	-	-	-	-	-	-	-
41	Boubel mìchoilová (echinococcus)	-	-	-	-	-	-	-	-	-	-	-	-
42	Jiné nemoci zpùsobené hlísty	1	-	1	-	-	-	-	-	-	-	-	-
43a	Actinomykosy	2	-	-	-	-	-	2	-	-	-	-	-
43b	Jiné mykosy	-	-	-	-	-	-	-	-	-	-	-	-
44a	nemoci pohlavní vyjma pøíjici a kapavku	-	-	-	-	-	-	-	-	-	-	-	-
44b	Lymphogranulomatosy	51	-	1	-	8	3	6	13	13	2	5	-
44c	Epidemickı zánìt pøíušnic	1	-	-	-	-	-	1	-	-	-	-	-
44d	Ostatní nemoci pøenosné	-	-	-	-	-	-	-	-	-	-	-	-
													
II	Rakovina a jiné nádory	5952	5	18	22	44	127	468	980	1549	1794	945	-
45a	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtù	5	-	-	-	-	-	-	-	-	2	3	-
45b	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka	8	-	-	-	-	-	1	-	3	3	1	-
45c	Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jinıch a blíe neoznaèenıch míst	31	-	-	-	-	1	3	6	5	13	3	-
46a	Rakovina a jiné zhoubné nádory: jícnu	79	-	-	-	-	-	1	8	21	36	13	-
46b	Rakovina a jiné zhoubné nádory: aludku a dvanáctníku	1646	-	-	1	1	15	62	168	411	649	339	-
46c	Rakovina a jiné zhoubné nádory: støev, vyjma dvanáctníku a koneèníku	328	-	-	-	3	1	21	39	81	116	67	-
46d	Rakovina a jiné zhoubné nádory: koneèníku	226	-	-	-	1	4	11	28	69	74	39	-
46	Rakovina a jiné zhoubné nádory: jater (pokud jsou oznaèeny jako pùvodní) a luèovodù	641	-	-	-	2	2	11	78	196	233	119	-
46f	Rakovina a jiné zhoubné nádory: jater, pokud nejsou oznaèeny  jako  pùvodní	147	1	2	4	1	1	8	22	13	67	28	-
46g	Rakovina a jiné zhoubné nádory: slinivky bøišní	43	-	-	-	-	2	2	9	16	11	3	-
46h	Rakovina a jiné zhoubné nádory: pobøišnice	74	-	-	2	1	1	9	15	21	12	13	-
46i	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù zaívacích	2	-	-	-	-	-	-	-	1	-	1	-
47a	Rakovina a jiné zhoubné nádory: hrtanu a prùdušnice	25	-	-	-	-	1	5	1	6	10	2	-
47b	Rakovina a jiné zhoubné nádory: prùdušek, plic a pohrudnice	174	-	-	-	2	6	14	36	41	60	15	-
47c	Rakovina a jiné zhoubné nádory: dıchacích ústrojù blíe neoznaèenıch	1	-	-	-	-	-	-	-	1	-	-	-
48a	Rakovina a jiné zhoubné nádory: hrdla dìloního	112	-	-	-	-	5	27	38	29	10	3	-
48b	Rakovina a jiné zhoubné nádory: dìlohy	905	-	-	-	3	32	135	228	248	186	73	-
49	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù enskıch	180	-	-	-	3	5	15	48	55	35	19	-
50	Rakovina a jiné zhoubné nádory: prsù	486	-	-	-	-	9	66	126	149	84	52	-
51a	Rakovina a jiné zhoubné nádory: šourku	x	x	x	x	x	x	x	x	x	x	x	x
51b	Rakovina a jiné zhoubné nádory: pøedstojné lázy	x	x	x	x	x	x	x	x	x	x	x	x
51c	Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojù muskıch	x	x	x	x	x	x	x	x	x	x	x	x
52	Rakovina a jiné zhoubné nádory: ústrojí moèového	78	-	2	-	-	-	3	18	21	27	7	-
53	Rakovina a jiné zhoubné nádory: kùe	112	-	-	-	-	2	3	2	10	37	58	-
54	Rakovina a jiné zhoubné nádory: mozku a jinıch èástí ústrojí nervového	22	1	-	1	-	2	6	6	4	1	1	-
55a	Rakovina a jiné zhoubné nádory: nadledvinek	11	-	2	-	-	2	-	-	5	2	-	-
55b	Rakovina a jiné zhoubné nádory: kostí	76	-	2	3	5	6	7	10	24	12	7	-
55c	Rakovina a jiné zhoubné nádory: lázy štítné	67	-	-	-	-	2	3	10	23	18	11	-
55d	Rakovina a jiné zhoubné nádory: jinıch a blíe neoznaèenıch ústrojù	177	2	2	2	6	10	7	17	44	54	33	-
55	Carcinomatosy, sarkomatosy	14	-	-	-	-	2	3	2	4	2	1	-
55f	Metastasy bez udání prvotního místa	8	-	-	-	-	-	1	2	2	2	1	-
56a	Nádory nezhoubné: vajeèníku	18	-	-	-	1	1	5	4	4	-	3	-
56b	Nádory nezhoubné: dìlohy	45	-	-	-	-	2	15	19	6	3	-	-
56c	Nádory nezhoubné: jinıch pohlavních ústrojù enskıch	2	-	-	-	-	-	-	-	1	1	-	-
56d	Nádory nezhoubné: mozku a jinıch èástí ústrojí nervového	6	-	-	-	2	-	1	1	1	1	-	-
56	Nádory nezhoubné: jinıch a blíe neoznaèenıch ústrojù	7	-	2	-	-	1	1	1	-	2	-	-
57a	Nádory, jejich zhoubnı ráz není rozlišen: vajeèníku	7	-	-	-	1	-	-	1	-	2	3	-
57b	Nádory, jejich zhoubnı ráz není rozlišen: dìlohy	36	-	-	-	-	-	4	4	8	8	12	-
57c	Nádory, jejich zhoubnı ráz není rozlišen: jinıch pohlavních ústrojù enskıch	6	-	-	-	-	2	-	2	1	-	1	-
57d	Nádory, jejich zhoubnı ráz není rozlišen: mozku a jinıch èástí ústrojí nervového	93	-	4	7	12	8	15	26	12	7	2	-
57	Nádory, jejich zhoubnı ráz není rozlišen: jinıch a blíe neoznaèenıch ústrojù	54	1	2	2	-	2	3	5	13	14	12	-
													
III	Nemoci rheumatické, vıivové, láz s vnitøním vymìšováním, jiné nemoci celkové a avitaminos	879	47	30	58	36	23	51	77	176	250	131	-
58a	Horeènı rheumatismus kloubovı prudkı: prudké rheumatické choroby srdce	64	1	3	40	14	4	-	1	-	1	-	-
58b	Horeènı rheumatismus kloubovı prudkı: jiné formy	15	-	1	2	1	1	1	1	1	3	4	-
59	Rheumatismus vleklı a jiné formy nemoci rheumatické	119	-	-	-	1	1	6	5	18	37	51	-
60	Dna	3	-	-	-	-	-	-	-	-	1	2	-
61	Úplavice cukrová	457	1	-	4	10	9	19	47	124	180	63	-
62	Nemoci podvìsku mozkového	2	-	1	-	-	-	-	-	-	1	-	-
63a	Nemoci lázy štítné a lázek pøídatnıch: vole prosté	15	-	-	-	2	-	-	2	4	4	3	-
63b	Nemoci lázy štítné a lázek pøídatnıch: nemoc Basedowova	97	-	-	-	6	5	19	19	23	19	6	-
63c	Nemoci lázy štítné a lázek pøídatnıch: jiné nemoci lázy štítné	11	-	1	-	1	-	4	-	3	1	1	-
63d	Nemoci lázy štítné a lázek pøídatnıch: nemoci lázek pøíštítnıch	-	-	-	-	-	-	-	-	-	-	-	-
64	Nemoci brzlíku	23	19	3	1	-	-	-	-	-	-	-	-
65a	Nemoci nadledvinek, neoznaèené za tuberkulosní: nemoc Addisonova (neoznaèená za tuberkulosní)	8	-	-	1	-	2	1	2	-	1	1	-
65b	Nemoci nadledvinek, neoznaèené za tuberkulosní: jiné nemoci nadledvinek	1	-	-	-	-	-	-	-	1	-	-	-
66a	Jiné nemoci celkové: mìknutí kostí	2	1	-	-	-	-	-	-	1	-	-	-
66b	Jiné nemoci celkové: ostatní nemoci celkové	33	6	16	10	-	-	-	-	1	-	-	-
67	Kurdìje	-	-	-	-	-	-	-	-	-	-	-	-
68	Beri-beri	-	-	-	-	-	-	-	-	-	-	-	-
69	Pellagra	1	-	-	-	-	-	-	-	-	1	-	-
70	Køivice	28	19	5	-	1	1	1	-	-	1	-	-
71	Jiné avitaminosy	-	-	-	-	-	-	-	-	-	-	-	-
													
IV	Nemoci krve a ústrojù krvetvornıch	229	5	11	12	14	15	26	39	41	54	12	-
72a	Stavy krvácivé: purpury prvotní	9	1	1	-	1	-	3	1	2	-	-	-
72b	Stavy krvácivé: nemoci krve (haemophilie)	4	1	-	-	2	-	-	1	-	-	-	-
73a	Chudokrevnost: zhoubná chudokrevnost	72	-	1	2	2	2	-	14	15	27	9	-
73b	Chudokrevnost: jiná anaemie	20	3	1	1	2	2	1	1	2	7	-	-
74a	Leukaemie a aleukaemie: bìlokrevnost pravá	98	-	7	8	5	6	17	16	19	18	2	-
74b	Leukaemie a aleukaemie: aleukaemie	5	-	-	-	1	1	-	1	1	1	-	-
75	Nemoci sleziny	5	-	-	1	-	1	1	2	-	-	-	-
76a	Jiné nemoci krve a ústrojù krvetvornıch: agranulocytosy	14	-	1	-	1	3	4	3	2	-	-	-
76b	Jiné nemoci krve a ústrojù krvetvornıch: ostatní nemoci krve a ústrojù krvetvornıch	2	-	-	-	-	-	-	-	-	1	1	-
													
V	Otravy vleklé	-	-	-	-	-	-	-	-	-	-	-	-
77a	Alkoholismus prudkı	-	-	-	-	-	-	-	-	-	-	-	-
77b	Alkoholismus vleklı a bez blišího oznaèení	-	-	-	-	-	-	-	-	-	-	-	-
78a	Otrava olovem: oznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
78b	Otrava olovem: neoznaèená jako z povolání	-	-	-	-	-	-	-	-	-	-	-	-
79	Vleklé otravy jinımi látkami neústrojnımi a ústrojnımi	-	-	-	-	-	-	-	-	-	-	-	-
													
DU		67	1	1	0	5	8	9	16	14	9	4	0
													
VI	Nemoci soustavy nervové a smyslovıch ústrojù	3795	410	72	59	69	68	137	296	608	1024	1052	-
80a	Zánìt mozku (nikoli epidemickı): hlíza mozková	11	1	-	1	2	-	2	2	2	-	1	-
80b	Zánìt mozku (nikoli epidemickı): jiné formy	38	7	7	6	5	4	3	2	-	4	-	-
81	Zánìt plen mozkovıch prostı	148	34	24	28	26	6	9	6	8	3	4	-
82	Nemoci míchy	87	-	1	3	2	8	13	13	25	20	2	-
83a	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: krvácení mozkové	2455	-	1	1	6	5	39	193	475	859	876	-
83b	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: vmetek a záha mozková	63	-	3	-	-	2	2	7	10	22	17	-
83c	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: mìknutí mozku	76	-	1	-	-	-	1	1	11	20	42	-
83d	Krvácení mozkové a ostatní poruchy mozkové pùvodu cévního: jedostranná obrna tìla a jiné obrny blíe neoznaèené	171	-	-	2	3	7	2	10	29	51	67	-
84a	Duševní nemoci a vady: slabomyslnost	14	1	1	-	3	1	-	2	2	4	-	-
84b	Duševní nemoci a vady: schoizophrenie	16	-	-	-	1	4	4	2	2	2	1	-
84c	Duševní nemoci a vady: manio-depresivní psychosy	2	-	-	-	-	1	-	-	-	1	-	-
84d	Duševní nemoci a vady: jiné duševní poruchy	35	-	-	-	1	2	5	12	10	2	3	-
85	Padoucnice	55	2	5	3	6	10	10	6	8	1	4	-
86	Køeèe u dìtí do 5 let	330	311	19	-	-	-	-	-	-	-	-	-
87a	Jiné nemoci soustavy nervové: chorea	3	-	1	2	-	-	-	-	-	-	-	-
87b	Jiné nemoci soustavy nervové: neuritis pùvodu nikoli rheumatického	12	1	1	1	1	1	2	-	1	1	3	-
87c	Jiné nemoci soustavy nervové: obrna tøesavá	32	-	-	-	-	2	6	5	5	8	6	-
87d	Jiné nemoci soustavy nervové: sklerosa roztroušená	128	-	-	1	3	11	30	28	16	16	23	-
87	Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové	18	1	-	3	4	-	4	1	1	3	1	-
88	Nemoci ústrojí zrakového	-	-	-	-	-	-	-	-	-	-	-	-
89a	Nemoci ucha a dutiny vıènìlku soscovitého: zánìt ušní	96	49	8	6	6	4	5	6	3	7	2	-
89b	Nemoci ucha a dutiny vıènìlku soscovitého: jiné nemoci ucha	5	3	-	2	-	-	-	-	-	-	-	-
													
VII	Nemoci ústrojí obìhu krevního	12369	37	27	113	143	199	406	690	1759	3849	5146	-
90a	Zánìt osrdeèníku: rheumatickı zánìt osrdeèníku vleklı	1	-	-	-	-	-	-	-	-	1	-	-
90b	Zánìt osrdeèníku: jiné nemoci osrdeèníku	17	2	-	2	2	4	1	2	2	1	1	-
91	Prudkı zánìt nitroblány srdeèní a chlopní (nikoli rheumatickı)	26	1	4	8	4	1	4	1	2	-	1	-
92a	Vleklé onemocnìní nitroblány srdeèní a chlopní: oznaèené jako rheumatické	1174	-	6	30	65	71	126	131	214	326	205	-
92b	Vleklé onemocnìní nitroblány srdeèní a chlopní: neoznaèené jako rheumatické	111	-	1	10	11	10	11	22	22	17	7	-
93a	Nemoci svalu srdeèního: prudkı zánìt svalu srdeèního (nikoli rheumatickı)	56	6	4	5	1	3	3	2	7	15	10	-
93b	Nemoci svalu srdeèního: vleklı zánìt svalu srdeèního oznaèenı jako rheumatickı	188	-	-	3	1	1	5	9	41	77	51	-
93c	Nemoci svalu srdeèního: degenerace a infarkt srdeèní, sklerosa svalu srdeèního nebo jeho vleklı zánìt neoznaèenı jako rheumatickı	5712	8	3	9	15	36	111	247	725	1850	2708	-
93d	Nemoci svalu srdeèního: zánìt svalu srdeèního nerozlišenı	1255	3	4	12	3	14	32	57	157	408	565	-
94a	Nemoci tepen vìnèitıch	68	-	-	-	-	1	1	7	19	25	15	-
94b	Angina srdeèní	122	-	-	-	-	1	3	14	37	47	20	-
95a	Jiné nemoci srdce: oznaèené jako rheumatické	77	-	-	3	3	2	3	8	20	24	14	-
95b	Jiné nemoci srdce: ostatní nemoci srdce	1974	4	4	29	35	44	90	164	398	644	562	-
96	Vıdu, vyjma vıdu srdeèní a aneurysma aorty	7	-	-	-	-	-	2	3	1	1	-	-
97	Zkornatìní tepen	1343	-	-	-	-	-	2	12	81	347	901	-
98	Snì	98	5	-	-	2	1	5	2	12	22	49	-
99	Jiné nemoci tepen	33	-	-	2	1	5	-	4	5	10	6	-
100a	Nemoci il: mìstky	50	-	-	-	-	1	-	1	6	19	23	-
100b	Nemoci il: jiné nemoci il	36	1	-	-	-	4	4	-	9	11	7	-
101	Nemoci soustavy mízní	15	7	1	-	-	-	1	3	-	2	1	-
102	Essentielní zvıšení tlaku krevního	5	-	-	-	-	-	1	1	1	2	-	-
103	Jiné nemoci ústrojí obìhu krevního	1	-	-	-	-	-	1	-	-	-	-	-
													
VIII	Nemoci ústrojù dıchacích	6045	1976	350	119	72	96	177	234	509	1121	1391	-
104	Nemoci dutiny nosní a pøídatnıch útvarù	8	6	1	-	-	1	-	-	-	-	-	-
105	Nemoci hrtanu	10	2	6	-	2	-	-	-	-	-	-	-
106a	Zánìt prùdušek: prudkı	121	82	12	1	-	-	1	1	3	8	13	-
106b	Zánìt prùdušek: vleklı	161	7	1	2	-	1	3	4	22	53	68	-
106c	Zánìt prùdušek: blíe neoznaèenı	259	104	9	4	1	1	4	5	11	32	88	-
107	Lalùèkovı zánìt plic (bronchopneumonie)	2785	1358	206	43	17	24	54	52	135	343	553	-
108	Lalokovı zánìt plic	1039	136	48	25	30	32	56	75	140	273	224	-
109	Zánìt plic blíe neoznaèenı	914	243	36	23	12	17	23	35	100	205	220	-
110a	Zánìt pohrudnice: empyema thoracis	98	22	20	8	4	4	11	7	10	10	2	-
110b	Zánìt pohrudnice: jiné formy zánìtu pohrudnice	179	11	9	9	4	4	12	20	29	41	40	-
111a	Infarkt s krvácením, embolie a trombosa plic	51	1	-	-	-	5	1	14	14	10	6	-
111b	Hypostatickı zánìt a oedem plic	38	2	-	-	-	1	2	4	5	5	19	-
112	Záducha (asthma)	113	2	1	2	-	2	2	8	12	41	43	-
113	Rozedma plic	220	-	-	-	-	-	-	3	21	88	108	-
114a	Jiné nemoci ústrojí dıchacího: prašnost plic a jiné onemocnìní ústrojí dıchacího z povolání	7	-	-	-	-	-	-	1	-	4	2	-
114b	Jiné nemoci ústrojí dıchacího: snì a hlíza plic	40	-	1	2	2	3	7	5	7	8	5	-
114c	Jiné nemoci ústrojí dıchacího: ostatní nemoci ústrojí dıchacího neoznaèené jako z povolání	2	-	-	-	-	1	1	-	-	-	-	-
													
IX	Nemoci ústrojí zaívacího	2866	1079	111	88	107	98	199	240	321	346	276	1
115a	Nemoci mandlí a hltanu	87	24	12	9	15	4	8	6	4	4	1	-
115b	Jiné nemoci dutiny ústní a jejích ústrojù	23	8	1	1	3	3	-	1	2	2	2	-
116	Nemoci jícnu	7	-	-	1	-	-	2	1	-	1	2	-
117a	Vøed aludeèní	145	-	-	-	-	5	14	37	39	39	11	-
117b	Vøed dvanáctníkovı	14	-	-	-	-	3	1	3	5	2	-	-
118	Jiné nemoci aludku	32	-	1	3	-	-	1	1	5	6	15	-
119	Prùjem a katar støevní u dìtí do 2 let	1068	1014	54	-	-	-	-	-	-	-	-	-
120a	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): prùjem a katar støevní	88	-	7	11	4	4	5	8	7	19	23	-
120b	Prùjem katar a vøedy støevní (ve vìku 2 let a vıše): vøedy støevní (vyjma vøedy dvanáctníku)	13	-	-	-	3	2	2	1	2	2	1	-
121	Zánìt èervíkovitého pøívìsku	189	2	14	38	33	20	31	19	17	11	3	1
122a	Kıla	152	2	-	-	-	-	4	17	32	49	48	-
122b	Neprùchodnost støevní	237	8	4	2	5	8	22	35	33	52	68	-
123	Ostatní nemoci støevní	8	-	-	-	1	1	1	1	-	-	4	-
124a	Svraštìní jater: alkoholické	-	-	-	-	-	-	-	-	-	-	-	-
124b	Svraštìní jater: neoznaèené za alkoholické	272	-	1	1	5	13	29	38	67	71	47	-
125a	Jiné nemoci jater: lutá atrofie jater prudká (kromì pøípadù z tìhotenství a stavu poporodního)	99	2	2	6	12	4	18	20	18	12	5	-
125b	Jiné nemoci jater: ostatní nemoci jater	50	-	2	2	1	5	7	10	10	7	6	-
126	Kaménky luèové	83	-	-	-	1	4	12	14	17	21	14	-
127	Jiné nemoci luèníku a luèovodù	96	-	-	-	1	2	8	9	27	31	18	-
128	Nemoci slinivky bøišní	15	-	-	-	-	-	1	3	7	2	2	-
129	Zánìt pobøišnice bez udání pøíèiny	188	19	13	14	23	20	33	16	29	15	6	-
													
X	Nemoci ústrojí moèového a pohlavního	1070	14	24	21	28	71	105	173	217	240	177	-
130	Prudkı zánìt ledvin	40	1	14	6	1	2	3	5	4	2	2	-
131	Vleklı zánìt ledvin	724	2	2	6	15	33	52	119	163	194	138	-
132	Zánìt ledvin nerozlišenı	117	2	7	8	5	5	15	19	21	21	14	-
133a	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: pyelitis, pyelonephritis, pyelocystitis	45	6	-	-	-	3	1	7	11	10	7	-
133b	Jiné nemoci ledvin, pánvièky ledvinné a moèovodù: ostatní onemocnìní tìchto ústrojí	20	-	1	-	-	3	1	1	8	5	1	-
134	Kaménky cest moèovıch	16	-	-	-	-	-	3	6	2	2	3	-
135a	Zánìt mìchıøe moèového	9	2	-	-	-	-	1	-	-	3	3	-
135b	Jiné nemoci moèového mìchıøe a poruchy moèení	2	1	-	-	-	-	-	-	-	-	1	-
136	Nemoci roury moèové	6	-	-	-	-	1	-	1	1	1	2	-
137a	Nezhoubné nádory lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137b	Zbytnìní lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
137c	Ostatní nemoci lázy pøedstojné	x	x	x	x	x	x	x	x	x	x	x	x
138	Nemoci pohlavních ústrojù muskıch neoznaèené za venerické	x	x	x	x	x	x	x	x	x	x	x	x
139a	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): nemoci vajeèníku, vejcovodu a parametria	58	-	-	-	5	12	20	13	6	1	1	-
139b	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): dìlohy	28	-	-	-	1	10	9	2	1	-	5	-
139c	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): prsù	3	-	-	-	1	2	-	-	-	-	-	-
139d	Nemoci pohlavních ústrojù enskıch neoznaèené za venerické (kromì pøípadù z tìhotenství a puerperia): jiné nemoci enskıch ústrojù pohlavních	2	-	-	1	-	-	-	-	-	1	-	-
													
XI	Nemoci tìhotenství, porodu a stavu poporodního	316	-	-	1	77	141	94	3	-	-	-	-
140	Potrat se sepsí	59	-	-	-	14	24	20	1	-	-	-	-
141	Potrat bez zmínky o sepsi	9	-	-	-	3	1	5	-	-	-	-	-
142	Tìhotenství mimodìloní	24	-	-	-	2	11	10	1	-	-	-	-
143a	Krvácení v tìhotenství: lùko vcestné	2	-	-	-	-	1	1	-	-	-	-	-
143b	Krvácení v tìhotenství: krvácení pøedèasnım odlouèením lùka a jiná krvácení krátce pøed porodem (nikoliv pøi potratu)	-	-	-	-	-	-	-	-	-	-	-	-
143c	Krvácení v tìhotenství: jiná a blíe neoznaèená krvácení v tìhotenství	1	-	-	-	-	1	-	-	-	-	-	-
144a	Otrava krve v tìhotenství: køeèe v tìhotenství	20	-	-	-	7	9	4	-	-	-	-	-
144b	Otrava krve v tìhotenství: albuminutrie a zánìt ledvin v tìhotenství	6	-	-	-	2	-	4	-	-	-	-	-
144c	Otrava krve v tìhotenství: jiné toxikosy	2	-	-	-	-	2	-	-	-	-	-	-
145	Jiné nemoci a pøíhody tìhotenství	4	-	-	-	1	1	2	-	-	-	-	-
146a	Krvácení pøi porodu a poporodní: lùko vcestné pøi porodu	16	-	-	-	1	9	6	-	-	-	-	-
146b	Krvácení pøi porodu a poporodní: krvácení pøedèasnım odlouèením lùka pøi porodu	1	-	-	-	1	-	-	-	-	-	-	-
146c	Krvácení pøi porodu a poporodní: jiné krvácení pøi porodu	-	-	-	-	-	-	-	-	-	-	-	-
146d	Krvácení pøi porodu a poporodní: krvácení po porodu	27	-	-	-	4	12	11	-	-	-	-	-
147a	Otrava krve pøi porodu a pøi stavu poporodním: horeèka omladnic a ztrnutí poporodní (všeobecná  a místní infekce)	68	-	-	-	25	28	15	-	-	-	-	-
147b	Otrava krve pøi porodu a pøi stavu poporodním: thrombophlebitis puerperalis	3	-	-	-	1	2	-	-	-	-	-	-
147c	Otrava krve pøi porodu a pøi stavu poporodním: embolie a náhlá smrt puerperální	11	-	-	-	3	7	1	-	-	-	-	-
148a	Toxikosy ve stavu poporodním: eclampsie	21	-	-	1	6	10	4	-	-	-	-	-
148b	Toxikosy ve stavu poporodním: albuminurie a zánìt ledvin	2	-	-	-	2	-	-	-	-	-	-	-
