1941,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
97,Zkornatění tepen,1311,-,-,-,-,-,4,19,80,358,850,-
98,Sněť,94,2,-,-,-,1,2,3,11,16,59,-
99,Jiné nemoci tepen,31,-,-,-,2,1,-,5,10,7,6,-
100a,Nemoci žil: městky,57,-,-,-,-,1,2,2,9,12,31,-
100b,Nemoci žil: jiné nemoci žil,62,-,-,-,1,5,7,8,20,13,8,-
101,Nemoci soustavy mízní,9,1,3,-,-,-,1,-,-,3,1,-
102,Essentielní zvýšení tlaku krevního,3,-,-,1,-,-,-,-,-,2,-,-
103,Jiné nemoci ústrojí oběhu krevního,5,-,-,-,-,-,1,1,-,1,2,-
,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,5887,1548,315,87,61,104,154,266,536,1176,1640,-
104,Nemoci dutiny nosní a přídatných útvarů,2,1,-,-,-,-,-,-,-,-,1,-
105,Nemoci hrtanu,5,3,-,1,-,1,-,-,-,-,-,-
106a,Zánět průdušek: prudký,135,77,5,2,-,1,-,4,2,11,33,-
106b,Zánět průdušek: vleklý,205,3,5,1,2,1,1,5,18,66,103,-
106c,Zánět průdušek: blíže neoznačený,281,90,10,2,-,1,4,2,15,34,123,-
107,Lalůčkový zánět plic (bronchopneumonie),2464,1009,160,26,15,28,45,78,142,368,593,-
108,Lalokový zánět plic,1049,111,55,24,15,30,52,83,166,271,242,-
109,Zánět plic blíže neoznačený,944,219,57,19,17,16,22,45,91,202,256,-
110a,Zánět pohrudnice: empyema thoracis,73,16,16,7,2,7,5,2,7,6,5,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,163,16,6,5,4,6,11,18,23,44,30,-
111a,"Infarkt s krvácením, embolie a trombosa plic",50,1,-,-,-,4,4,10,15,13,3,-
111b,Hypostatický zánět a oedem plic,23,1,-,-,-,-,1,1,-,5,15,-
112,Záducha (asthma),138,-,-,-,-,1,1,4,11,61,60,-
113,Rozedma plic,305,-,-,-,-,1,4,6,30,91,173,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,4,-,-,-,1,1,1,1,-,-,-,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,44,1,1,-,5,5,3,7,15,4,3,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,2,-,-,-,-,1,-,-,1,-,-,-
,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,2412,897,74,70,69,75,152,185,276,349,265,-
115a,Nemoci mandlí a hltanu,75,12,4,10,12,5,6,8,9,5,4,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,9,3,-,-,2,1,1,2,-,-,-,-
116,Nemoci jícnu,5,-,-,-,-,1,-,1,2,-,1,-
117a,Vřed žaludeční,98,-,-,1,-,6,6,10,29,37,9,-
117b,Vřed dvanáctníkový,19,-,-,-,1,2,4,1,5,3,3,-
118,Jiné nemoci žaludku,32,-,2,-,1,-,-,1,3,11,14,-
119,Průjem a katar střevní u dětí do 2 let,897,863,34,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,66,-,7,2,2,3,4,7,3,12,26,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),9,-,-,-,3,-,3,-,1,1,1,-
121,Zánět červíkovitého přívěsku,161,1,12,33,20,16,18,17,23,16,5,-
122a,Kýla,184,-,-,-,1,2,3,12,41,64,61,-
122b,Neprůchodnost střevní,191,7,2,3,5,7,20,19,26,48,54,-
123,Ostatní nemoci střevní,7,-,-,-,-,1,1,-,2,-,3,-
124a,Svraštění jater: alkoholické,2,-,-,-,-,-,-,1,-,-,1,-
124b,Svraštění jater: neoznačené za alkoholické,230,1,-,-,4,7,19,34,54,79,32,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),55,-,2,2,3,3,10,11,11,8,5,-
125b,Jiné nemoci jater: ostatní nemoci jater,35,-,1,1,2,1,5,4,7,10,4,-
126,Kaménky žlučové,88,-,-,-,1,1,16,20,21,19,10,-
127,Jiné nemoci žlučníku a žlučovodů,86,-,-,-,1,4,4,13,18,25,21,-
128,Nemoci slinivky břišní,18,-,-,1,-,1,4,5,3,2,2,-
129,Zánět pobřišnice bez udání příčiny,145,10,10,17,11,14,28,19,18,9,9,-
,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1186,7,16,21,28,70,125,176,265,300,178,-
130,Prudký zánět ledvin,39,2,5,2,3,6,6,1,6,4,4,-
131,Vleklý zánět ledvin,790,-,1,7,10,36,63,127,206,222,118,-
132,Zánět ledvin nerozlišený,118,-,7,4,4,8,14,20,21,24,16,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",66,4,2,3,3,1,9,4,14,17,9,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",22,-,1,-,-,1,5,4,4,7,-,-
134,Kaménky cest močových,29,-,-,1,-,1,-,6,6,8,7,-
135a,Zánět měchýře močového,13,1,-,-,-,-,-,-,2,4,6,-
135b,Jiné nemoci močového měchýře a poruchy močení,3,-,-,-,-,-,-,-,-,2,1,-
136,Nemoci roury močové,22,-,-,2,-,-,2,2,2,5,9,-
137a,Nezhoubné nádory žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137b,Zbytnění žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137c,Ostatní nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,x,x,x,x,x,x,x,x,x,x,x,x
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",44,-,-,1,5,10,17,8,3,-,-,-
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,39,-,-,1,3,6,9,4,1,7,8,-
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,1,-,-,-,-,1,-,-,-,-,-,-
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",342,-,-,-,67,167,103,5,-,-,-,-
140,Potrat se sepsí,74,-,-,-,14,30,29,1,-,-,-,-
141,Potrat bez zmínky o sepsi,10,-,-,-,2,4,4,-,-,-,-,-
142,Těhotenství mimoděložní,23,-,-,-,3,12,7,1,-,-,-,-
143a,Krvácení v těhotenství: lůžko vcestné,3,-,-,-,-,1,2,-,-,-,-,-
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),-,-,-,-,-,-,-,-,-,-,-,-
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,1,-,-,-,-,1,-,-,-,-,-,-
144a,Otrava krve v těhotenství: křeče v těhotenství,26,-,-,-,8,10,7,1,-,-,-,-
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,10,-,-,-,2,6,1,1,-,-,-,-
144c,Otrava krve v těhotenství: jiné toxikosy,3,-,-,-,1,2,-,-,-,-,-,-
145,Jiné nemoci a příhody těhotenství,2,-,-,-,-,1,1,-,-,-,-,-
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,17,-,-,-,-,10,7,-,-,-,-,-
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,1,-,-,-,-,-,1,-,-,-,-,-
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,3,-,-,-,-,2,1,-,-,-,-,-
146d,Krvácení při porodu a poporodní: krvácení po porodu,19,-,-,-,1,11,7,-,-,-,-,-
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),83,-,-,-,24,43,16,-,-,-,-,-
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,3,-,-,-,-,2,1,-,-,-,-,-
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,10,-,-,-,3,5,2,-,-,-,-,-
148a,Toxikosy ve stavu poporodním: eclampsie,16,-,-,-,2,7,6,1,-,-,-,-
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,3,-,-,-,-,2,1,-,-,-,-,-
148c,Toxikosy ve stavu poporodním: jiné toxikosy,1,-,-,-,-,1,-,-,-,-,-,-
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),14,-,-,-,3,7,4,-,-,-,-,-
149b,Jiné příhody porodu: ostatní příhody,9,-,-,-,2,5,2,-,-,-,-,-
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,11,-,-,-,2,5,4,-,-,-,-,-
,,,,,,,,,,,,,
