1923,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
60a,Basedowova nemoc,14,-,-,-,1,1,2,1,6,3,-,-
60b,Jiná onemocnění štítné žlázy,3,-,-,-,-,-,-,1,1,1,-,-
61,Nemoci žlázek přištítných,29,28,1,-,-,-,-,-,-,-,-,-
62,Nemoci brzlíku,9,7,1,-,1,-,-,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),11,-,-,1,-,-,1,2,5,1,1,-
64,Nemoci sleziny,10,1,3,-,-,-,-,2,1,3,-,-
65,Bělokrevnost neb Hodgkinova nemoc,82,3,9,2,6,7,9,10,23,13,-,-
66,Alkoholismus,188,-,-,-,-,-,8,13,108,59,-,-
67,Vleklé otravy nerostnými látkami,-,-,-,-,-,-,-,-,-,-,-,-
68,Vleklé otravy ústrojnými látkami,4,1,-,-,-,-,-,-,3,-,-,-
69,Ostatní celkové nemoci,30,3,3,2,2,3,1,1,8,6,1,-
,,,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,8702,3238,481,97,134,129,229,322,1503,2309,258,2
70,Zánět mozku,196,28,23,9,9,15,17,19,51,23,2,-
71,Zánět mozkových blan,912,239,231,64,76,57,82,35,91,36,1,-
72,Úbytě míchy,135,-,-,-,-,-,-,11,76,47,1,-
73,Jiné choroby míchy,212,-,10,1,4,6,16,20,86,68,1,-
74a,Výlev krevní do mozku,2986,-,-,1,5,3,20,74,773,1881,227,2
74b,Záhať žil mozkových,55,2,-,-,1,2,4,5,17,22,2,-
75a,Jednostranná obrna těla,68,-,-,1,-,-,3,6,16,40,2,-
75b,Paralysis progressiva,163,-,-,-,-,-,2,29,102,26,4,-
75c,Jiné obrny,42,-,-,-,-,1,1,5,23,10,2,-
76,Ochrnutí spojené s duševní chorobou,2,-,-,-,-,-,-,-,1,1,-,-
77,Jiné duševní choroby,42,-,-,2,1,6,5,3,12,12,1,-
78,Padoucnice,175,10,3,6,18,17,37,30,36,18,-,-
79,Božec nepuerperální,15,-,-,5,4,-,1,-,3,2,-,-
80,Křeče u dětí,3129,2938,191,-,-,-,-,-,-,-,-,-
81,Posunčina,2,1,1,-,-,-,-,-,-,-,-,-
82b,Zánět nervů,8,1,-,-,1,1,-,-,3,1,1,-
83,Změknutí mozku,86,-,-,-,-,1,1,1,30,49,4,-
84,Ostatní choroby systému nervového,427,9,17,7,9,15,34,82,177,67,10,-
86,Choroby ucha nebo dutin mastoideu,47,10,5,1,6,5,6,2,6,6,-,-
,,,,,,,,,,,,,
V,Choroby oběhu krevního,7699,121,44,36,77,155,267,359,2169,4068,402,1
87,Zánět osrdce,25,-,-,3,1,2,3,2,5,8,1,-
88,Prudký zánět nitroblány nebo svalu srdečního,1231,6,4,8,10,14,48,45,291,734,71,-
89,Srdeční angina,28,-,-,-,-,-,1,-,16,11,-,-
90,Jiné nemoci srdce,4092,100,35,24,64,130,202,281,1438,1690,128,-
91a,Výduť,74,1,-,-,-,1,2,6,49,15,-,-
91b,Zkornatění a jiné choroby tepen,2117,-,-,1,-,-,4,15,341,1561,194,1
92,Záhať (nikoliv mozkový),47,1,-,-,2,1,2,3,13,21,4,-
93,Choroby žil,26,1,-,-,-,2,2,1,6,13,1,-
94,Choroby systému mízního,24,9,4,-,-,1,1,2,2,5,-,-
95,Ostatní choroby oběhu krevního,35,3,1,-,-,4,2,4,8,10,3,-
96,Ostatní choroby oběhu krevního,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,8787,2907,830,59,63,82,158,211,1230,2971,276,-
97,Choroby dutin nosních a jejich adnex,2,-,-,-,-,-,-,-,-,2,-,-
98,Choroby hrtanu,21,11,8,-,-,-,-,-,1,1,-,-
99a,Zánět průdušek prudký,933,811,84,1,1,-,3,-,8,20,5,-
99b,Zánět průdušek vleklý,124,22,10,-,-,-,2,2,16,68,4,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),158,82,76,-,-,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),154,-,-,2,-,3,-,3,29,107,10,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,877,513,122,7,3,5,5,8,62,127,25,-
101a,Zánět plic lalokový,283,52,19,3,7,9,14,11,60,100,8,-
101b,Zánět plic bez bližšího označení,3990,1370,489,40,41,42,92,126,555,1116,119,-
102,Zánět pohrudnice,341,23,19,5,5,18,26,27,94,120,4,-
103,Překrvení nebo krvácení parenchymatosní plic,121,9,-,-,2,-,3,6,33,57,11,-
104,Sněť plicní,42,-,-,-,1,-,3,3,17,18,-,-
105,Záducha,282,1,-,-,-,2,-,4,65,192,18,-
106,Rozedma plic,1378,2,3,-,1,2,4,17,269,1009,71,-
107,Ostatní choroby ústrojí dýchacího,81,11,-,1,2,1,6,4,21,34,1,-
,,,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,6915,4456,412,48,79,80,193,183,720,708,35,1
108b,Choroby ústní dutiny a jejich adnex,11,7,3,-,-,-,-,-,1,-,-,-
109,Choroby hltanu nebo mandlí,73,41,14,1,2,1,5,1,6,2,-,-
110,Choroby jícnu,12,2,-,-,1,-,-,-,5,4,-,-
111a,Vřed žaludeční,311,1,1,1,6,4,18,55,150,74,1,-
111b,Vřed dvanácterníku,50,5,1,1,-,1,8,3,18,13,-,-
112,Jiné choroby žaludeční,44,5,-,-,-,-,2,3,19,15,-,-
113,Průjem a zánět střev (pod 2 roky),4602,4346,256,-,-,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),306,-,93,18,9,3,13,7,56,100,7,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,1,-,1,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,212,-,16,8,29,27,36,21,53,20,1,1
118a,Kýla ,162,8,2,1,1,-,13,9,41,76,11,-
118b,Záhať střevní,218,11,3,2,6,4,10,15,54,107,6,-
119b,Jiné choroby střev,37,2,2,-,-,1,4,4,14,9,1,-
120,Prudká atrofie jater,10,-,-,-,-,2,3,2,2,1,-,-
121,Hydativní nádor jater,-,-,-,-,-,-,-,-,-,-,-,-
122a,Svraštění jater alkoholické,3,-,-,-,-,-,-,-,2,1,-,-
122b,Svraštění jater neoznačené jako alkoholické,194,3,1,-,-,1,4,13,82,88,2,-
123,Žlučové kaménky,35,-,1,-,1,-,2,3,10,17,1,-
124,Jiné choroby jater,183,7,4,2,2,-,7,11,65,82,3,-
125,Choroby mikteru,12,1,-,-,1,-,1,1,6,2,-,-
126,Zánět pobřišnice bez označení příčiny,439,17,14,14,21,36,67,35,136,97,2,-
,,,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,1831,20,48,31,24,37,107,134,561,788,81,-
128,Prudký zánět ledvin,114,12,36,23,6,4,8,10,7,8,-,-
129,Vleklý zánět ledvin,1201,3,10,5,17,30,88,110,476,435,27,-
130,Chylurie, -, -, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,99,1,1,2,-,3,6,9,42,32,3,-
132,Močové kaménky,9,-,-,-,-,-,-,-,3,6,-,-
133,Choroby měchýře,202,4,-,-,1,-,1,3,20,150,23,-
134,Choroby močové roury,9,-,1,1,-,-,1,-,2,4,-,-
135,Choroby žlázy předstojné,196,-,-,-,-,-,2,2,11,153,28,-
136,Nevenerické choroby mužských pohlavních orgánů,1,-,-,-,-,-,1,-,-,-,-,-
137,Boubel a jiné nezhoubné nádory vaječníku,x,x,x,x,x,x,x,x,x,x,x,x
138,Zánět vejcovodu nebo vřed v pánvi,x,x,x,x,x,x,x,x,x,x,x,x
139,Nádory děložní,x,x,x,x,x,x,x,x,x,x,x,x
140,Nepuerperální krvácení z dělohy,x,x,x,x,x,x,x,x,x,x,x,x
141,Ostatní choroby rodidel,x,x,x,x,x,x,x,x,x,x,x,x
142,Nepuerperální choroby prsu,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,
IX,Puerperální stav,x,x,x,x,x,x,x,x,x,x,x,x
143a,Potrat ,x,x,x,x,x,x,x,x,x,x,x,x
143b,Mimoděložní těhotenství,x,x,x,x,x,x,x,x,x,x,x,x
143c,Jiné nehody těhotenské,x,x,x,x,x,x,x,x,x,x,x,x
144,Krvácení těhotných a v šestinedělí,x,x,x,x,x,x,x,x,x,x,x,x
145,Jiné nehody při porodu,x,x,x,x,x,x,x,x,x,x,x,x
146,Horečka omladnic,x,x,x,x,x,x,x,x,x,x,x,x
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",x,x,x,x,x,x,x,x,x,x,x,x
148,Albuminurie nebo božec v šestinedělí,x,x,x,x,x,x,x,x,x,x,x,x
149,Následky porodu (bez bližšího označení),x,x,x,x,x,x,x,x,x,x,x,x
150,Puerperální choroby prsu,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,
X,Choroby kůže a vaziva,544,363,14,1,3,4,11,7,32,79,30,-
151,Sněť,109,4,-,-,-,1,1,2,14,57,30,-
152,Nežit,216,199,6,1,2,1,1,1,2,3,-,-
153,"Zánět podkožního vaziva, horečnatý vřed",118,71,7,-,1,2,7,2,12,16,-,-
155,Ostatní choroby kůže neb jejich adnex,101,89,1,-,-,-,2,2,4,3,-,-
,,,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,104,9,9,13,22,10,11,5,15,10,-,-
156,Choroby kostí,77,7,9,12,19,6,9,2,6,7,-,-
157,Choroby kloubů,21,2,-,1,3,3,2,2,7,1,-,-
158,Ostatní choroby kostí nebo ústrojí pohybového,6,-,-,-,-,1,-,1,2,2,-,-
,,,,,,,,,,,,,
XII,Zrůdnost vrozená,148,136,12,-,-,-,-,-,-,-,-,-
159,Zrůdnost vrozená,148,136,12,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XIII,Raný věk,5574,5574,-,-,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",4126,4126,-,-,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1397,1397,-,-,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,48,48,-,-,-,-,-,-,-,-,-,-
163,Nedostatek péče,3,3,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XIV,,8023,4,3,2,2,3,1,1,38,4742,3226,1
164,Stáří,7989,-,-,-,-,-,-,-,27,4736,3225,1
,,,,,,,,,,,,,
XV,Zevní příčiny ,4123,64,211,75,128,407,875,483,1090,708,72,10
SE,,2160,0,0,0,24,224,539,250,626,451,44,2
165,Sebevražda otravou jedy,91,-,-,-,-,9,30,16,26,10,-,-
166,Sebevražda otravou požitím žíravin,10,-,-,-,-,1,3,-,3,3,-,-
167,Sebevražda vdechováním jedovatých plynů,7,-,-,-,-,-,1,2,3,1,-,-
168,Sebevražda oběšením neb uškrcením,1116,-,-,-,15,75,163,126,369,329,37,2
169,Sebevražda utopením,179,-,-,-,1,16,41,23,62,34,2,-
170,Sebevražda zastřelením,533,-,-,-,3,90,233,57,111,38,1,-
171,Sebevražda nástroji řeznými neb bodnými,30,-,-,-,-,-,7,5,10,7,1,-
172,Sebevražda skokem s výše,7,-,-,-,-,-,2,3,1,1,-,-
173,Sebevražda rozdrcením,111,-,-,-,4,23,39,10,23,12,-,-
174,Sebevražda jiným způsobem,76,-,-,-,1,10,20,8,18,16,3,-
175,Otrava potravinami,31,18,6,1,-,1,-,2,-,3,-,-
176,Uštknutí neb štípnutí,-,-,-,-,-,-,-,-,-,-,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),21,1,7,-,1,1,-,1,6,4,-,-
178,Úraz při požáru,2,-,1,-,-,-,1,-,-,-,-,-
179,Náhodné popálení (vyjma při požáru),133,7,59,2,3,9,10,15,11,13,3,1
180,Náhodné mechanické udušení (vyjma při požáru),56,9,10,-,6,7,6,4,9,5,-,-
181,Vdechování plynů nedýchatelných neb jedovatých,23,-,2,-,-,3,3,5,8,2,-,-
182,Náhodné utopení,403,6,85,28,45,56,86,14,45,33,3,2
183,Poranění střelnou zbraní,78,1,5,6,8,14,22,9,12,1,-,-
184,Poranění nástroji řeznými neb bodnými,8,-,-,-,-,1,-,2,3,1,1,-
185,Poranění pádem,108,3,2,1,6,8,16,14,26,28,4,-
186,Poranění v dolech neb lomech,45,-,-,-,1,7,9,11,14,3,-,-
187,Poranění stroji,5,-,-,-,-,-,3,-,2,-,-,-
188,Poraněním pohmožděním jiného druhu,679,7,22,28,28,41,108,105,227,98,12,3
189,Poranění způsobená zvířaty,19,-,1,1,2,-,3,1,4,7,-,-
190,Zranění válečná,5,-,-,-,-,-,-,2,3,-,-,-
192b,Hlad nebo žízeň,2,-,-,1,-,1,-,-,-,-,-,-
193,Přílišný chlad,61,-,-,-,-,-,3,7,26,21,3,1
194,Přílišný žár,5,-,1,-,1,1,1,-,-,1,-,-
195,Blesk,26,-,-,1,1,5,8,2,6,3,-,-
196,Jiné úrazy elektrickým proudem,51,-,-,3,1,12,20,6,7,2,-,-
NA,,92,12,5,1,1,7,17,16,22,10,0,1
197,Zabití střelnou zbraní,30,-,-,-,1,3,7,8,8,3,-,-
198,Zabití nástroji řeznými neb bodnými,22,-,1,-,-,1,8,4,7,1,-,-
199,Zabití jinými prostředky,37,12,4,-,-,3,1,3,7,6,-,1
201c,Zlomeniny (bez bližšího označení),110,-,5,2,-,9,20,17,33,22,2,-
202a,Ostatní násilná zevní poranění,-,-,-,-,-,-,-,-,-,-,-,-
202b,Poprava legální,2,-,-,-,-,-,1,1,-,-,-,-
203,Násilná smrt neznámé příčiny,1,-,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XV,Nemoci špatně definované,642,94,58,10,10,14,28,24,138,243,9,14
204,Náhlé úmrtí,4,-,1,-,-,-,-,-,1,2,-,-
205,Nemoci nespecifikované nebo špatně definované,638,94,57,10,10,14,28,24,137,241,9,14
