1940,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
66a,Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté,4,-,-,-,-,-,-,1,2,1,-
66b,Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické,26,-,-,-,1,-,4,7,9,5,-
66c,Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus,7,-,-,-,1,-,2,1,1,2,-
66d,Nemoci žlázy štítné a přídavných žlázek štítných: tetanie,36,31,5,-,-,-,-,-,-,-,-
66,Nemoci žlázy štítné a přídavných žlázek štítných: jiné,2,-,-,-,-,1,-,-,1,-,-
67,Nemoci brzlíku,19,17,1,-,1,-,-,-,-,-,-
68,"Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní ",12,-,-,-,3,1,-,2,3,3,-
69,"Jiné nemoci rheumatické, výživové, endokrinních žláz",4,-,-,-,-,-,-,1,1,2,-
,,,,,,,,,,,,
IV ,Nemoci krve a ústrojů krvetvorných,284,9,12,20,22,21,37,38,61,64,-
,,,,,,,,,,,,
70a,Stavy krvácivé: purpury prvotní,14,3,2,-,2,1,1,1,1,3,-
70b,Stavy krvácivé: vrozená krvácivost,7,3,-,-,2,-,-,2,-,-,-
71a,Postupná zhoubná chudokrevnost,46,-,1,1,-,-,2,4,14,24,-
71b,Jiné chudokrevnosti,18,3,3,1,4,1,1,-,2,3,-
72a,Bělokrevnost pravá,120,-,5,12,7,7,17,19,29,24,-
72b,Bělokrevnost nepravá,70,-,1,5,6,10,16,10,14,8,-
73,Nemoci sleziny,7,-,-,1,1,2,-,2,1,-,-
74,Jiné nemoci krve a ústrojů krvetvorných,2,-,-,-,-,-,-,-,-,2,-
,,,,,,,,,,,,
V,Otravy vleklé a prudké,86,-,-,-,1,9,14,9,22,31,-
75,Alkoholismus vleklý nebo prudký,83,-,-,-,1,7,14,8,22,31,-
,,,,,,,,,,,,
76a,Vleklé otravy látkami anorganickými: živnostenské,1,-,-,-,-,1,-,-,-,-,-
76b,Vleklé otravy látkami anorganickými: jiné,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
77a,Vleklé otravy látkami organickými: živnostenské,2,-,-,-,-,1,-,1,-,-,-
77b,Vleklé otravy látkami organickými: jiné,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
DU,,148,0,0,1,4,22,25,19,32,45,0
,,,,,,,,,,,,
VI,Nemoci soustavy nervové a čidel,4601,497,83,64,85,130,235,411,880,2216,-
,,,,,,,,,,,,
78a,Zánět mozku: hlíza mozková,15,2,2,3,1,1,2,2,2,-,-
78b,Zánět mozku: jiné záněty mozku,45,7,6,3,3,10,3,2,7,4,-
79,Prostý zánět plen mozkových,193,43,38,31,24,14,15,13,10,5,-
80,Úbyt míchy,112,-,-,-,1,1,9,25,40,36,-
81,Jiné nemoci míchy,110,-,-,1,7,12,7,20,34,29,-
82a,Krvácení mozkové ,2621,-,1,1,3,18,52,181,584,1781,-
82b,Vmetek nebo záhať mozková,174,-,-,-,3,1,3,10,31,126,-
82c,Jednostranná obrna těla a příčiny nerozlišené,181,-,-,-,2,3,4,15,37,120,-
83,Postupná obrna povšechná,254,-,-,1,-,12,68,86,59,28,-
84a,Předčasná zblbělost,22,-,-,-,1,8,8,4,-,1,-
84b,Jiné psychosy,43,-,-,1,2,7,3,7,10,13,-
85,Padoucnice,110,1,4,6,21,24,17,15,10,12,-
86,Křeče u dětí mladších 6 let,394,379,15,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
87b,Jiné nemoci soustavy nervové: neuritis,4,-,-,-,1,-,-,-,-,3,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,50,1,3,4,3,2,5,5,11,16,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,126,1,-,2,2,10,25,20,34,32,-
"87a,e",Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové,17,2,-,2,2,-,2,3,5,1,-
88,Nemoci oční,-,-,-,-,-,-,-,-,-,-,-
89a,Zánět ušní,127,60,13,9,9,6,12,3,6,9,-
89b,Jiné nemoci ucha a dutiny výčnělku soscovitého,3,1,1,-,-,1,-,-,-,-,-
,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,10844,25,12,71,78,165,468,983,2145,6895,2
90,Zánět osrdečníku,19,-,-,2,2,1,4,6,-,4,-
91,Prudký zánět nitroblány srdeční,54,2,3,13,6,10,8,4,4,4,-
92,"Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní",1293,-,-,25,29,60,133,180,318,548,-
93a,Prudký zánět svalu srdečního,83,6,2,8,2,11,21,12,9,12,-
93b,Vleklý zánět svalu srdečního a zvrhlost svalu srdečního,4517,4,2,8,20,30,129,347,870,3105,2
93c,Nerozlišené nemoci svalu srdečního,948,-,-,-,-,-,3,74,197,674,-
94,Nemoci tepen věnčitých,492,-,-,-,-,2,36,93,159,202,-
95a,Funkcionální nemoci srdce,2,1,-,-,-,-,-,-,1,-,-
95b,Jiné a nerozlišené nemoci srdeční,1708,2,4,14,15,42,106,200,376,949,-
96,"Výduť, vyjma výduť srdeční",98,-,-,-,-,4,11,18,29,36,-
97,"Zkornatění tepen, vyjma nemocí tepen věnčitých",1451,-,-,-,-,1,9,32,145,1264,-
98a,Sněť stařecká,53,-,-,-,-,-,-,-,4,49,-
98b,Jiné sněti,33,4,-,-,1,1,1,4,17,5,-
99,Jiné nemoci tepen,39,-,-,-,-,1,4,9,5,20,-
100,"Nemoci žil: městky, městky konečníkové, zánět žil atd.",31,-,-,-,1,2,1,4,5,18,-
101,"Nemoci soustavy mízní, zánět mízních cév atd.",12,6,1,1,1,-,-,-,3,-,-
102,Idiopathické anomalie tlaku krevního,3,-,-,-,1,-,1,-,1,-,-
103,Jiné nemoci ústrojí oběhu krevního,8,-,-,-,-,-,1,-,2,5,-
,,,,,,,,,,,,
VIII,Nemoci ústrojí dýchacího,6602,1667,296,75,92,142,254,397,829,2849,1
104,Nemoci dutin nosních a adnex,4,-,-,-,2,-,1,1,-,-,-
105,Nemoci hrtanu,21,12,2,1,-,1,1,-,1,3,-
106a,Zánět průdušek prudký,120,77,4,-,-,1,3,1,2,32,-
106b,Zánět průdušek vleklý,327,3,-,2,-,3,4,12,55,248,-
106c,Zánět průdušek nerozlišený,351,95,11,2,1,2,7,11,39,183,-
107,"Lalůčkový zánět plic, počítaje v to zánět průdušinek",2357,1043,141,26,19,37,56,77,178,780,-
108,Lalokový zánět plic,1125,148,54,20,27,51,91,123,206,405,-
109,Zánět plic nerozlišený,1059,261,52,20,21,22,35,65,133,449,1
110,Zánět pohrudnice,294,23,32,3,16,18,19,36,44,103,-
111,"Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic",85,3,-,-,-,2,3,5,11,61,-
112,Záducha,214,-,-,-,-,-,4,15,46,149,-
113,Rozedma plicní,530,-,-,-,1,-,5,23,87,414,-
114a,"Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího",9,-,-,-,-,-,2,2,4,1,-
114b,"Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu",106,2,-,1,5,5,23,26,23,21,-
,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,3334,1149,88,81,73,136,282,340,464,721,-
115,"Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby",83,14,8,11,11,10,6,6,6,11,-
116,Nemoci požeráku,8,-,1,-,-,-,-,-,1,6,-
117a,Vřed žaludeční,450,1,-,-,5,28,91,104,118,103,-
117b,Vřed dvanáctníkový,126,-,1,1,2,9,35,27,34,17,-
118,Jiné nemoci žaludeční (vyjma rakovinu),48,-,-,1,2,1,2,2,4,36,-
119,Průjem a katar střevní - u dětí do 2 roků,1130,1089,41,-,-,-,-,-,-,-,-
120a,"Průjem, katar střevní (ve věku 2 roků a výše)",68,-,5,2,1,2,8,7,13,30,-
120b,Vředy střevní (ve věku 2 roků a výše),12,-,-,1,-,2,3,3,2,1,-
121,Zánět červíkovitého přívěsku,248,4,14,43,30,38,29,32,28,30,-
122a,Kýla,186,11,3,1,1,2,5,13,28,122,-
122b,Neprůchodnost střeva,187,17,8,5,4,11,15,19,38,70,-
123,Jiné nemoci střevní,30,1,-,1,2,-,3,7,-,16,-
124a,Svraštění jater alkoholické,30,-,-,-,-,-,5,8,9,8,-
124b,Svraštění jater neoznačené za alkoholické,401,-,-,3,5,6,54,65,120,148,-
125,Jiné nemoci jater (počítaje v to náhlý úbyt jater),101,1,3,3,4,13,8,14,20,35,-
126,Kaménky žlučové,45,-,-,-,1,1,4,5,10,24,-
127,Jiné nemoci žlučníku a žlučovodů,53,-,-,-,1,3,1,6,12,30,-
128,Nemoci slinivky břišní,20,-,-,-,1,1,3,8,5,2,-
129,"Zánět pobřišnice, bez označené příčiny",108,11,4,9,3,9,10,14,16,32,-
,,,,,,,,,,,,
X,Nemoci ústrojí močového a ústrojí pohlavního,1853,9,11,20,34,64,124,203,349,1039,-
130,Prudký zánět ledvin,53,6,7,8,2,5,6,7,5,7,-
131,Vleklý zánět ledvin,807,1,3,9,16,44,85,136,219,294,-
132,Nerozlišený zánět ledvin,165,-,-,2,14,10,17,23,41,58,-
133a,Zánět pánvice ledvinné,53,-,-,1,-,3,3,9,10,27,-
133b,Jiné nemoci ledvin a močovodů,-,-,-,-,-,-,-,-,-,-,-
134a,Kamének ledvin a horních cest močových,29,-,-,-,-,1,3,9,9,7,-
134b,Kamének měchýře močového,23,-,-,-,1,-,-,2,4,16,-
134c,Kamének bez jiného označení,3,-,-,-,-,1,1,-,1,-,-
135a,Zánět měchýře močového,44,-,1,-,1,-,1,2,3,36,-
135b,Jiné nemoci měchýře močového,10,-,-,-,-,-,-,-,1,9,-
136a,Zúžení roury močové,7,-,-,-,-,-,1,1,2,3,-
136b,"Jiné nemoci roury močové, hlíza močová atd.",36,1,-,-,-,-,4,2,5,24,-
137,Nemoci žlázy předstojné (prostaty),621,-,-,-,-,-,3,12,49,557,-
138,"Nemoci pohlavních ústrojů mužských, neoznačené za venerické",2,1,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,
139a,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria",x, x,x, x, x, x, x, x, x, x, x
139b,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy",x, x,x, x, x, x, x, x, x, x, x
139c,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní",-,-,-,-,-,-,-,-,-,-,-
139d,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné",-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",x,x,x,x,x,x,x,x,x,x,x
140,Potrat s hnilobou,x,x,x,x,x,x,x,x,x,x,x
141,"Potrat beze zmínky o hnilobě, ale počítaje v to krvácení",x,x,x,x,x,x,x,x,x,x,x
142,Těhotenství mimoděložní,x,x,x,x,x,x,x,x,x,x,x
143,Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení),x,x,x,x,x,x,x,x,x,x,x
144a,Lůžko vcestné,x,x,x,x,x,x,x,x,x,x,x
144b,Jiná krvácení poporodní,x,x,x,x,x,x,x,x,x,x,x
145a,Otrava krve a hniloba krve poporodní,x,x,x,x,x,x,x,x,x,x,x
145b,Ztrnutí poporodní,x,x,x,x,x,x,x,x,x,x,x
146,Močení bílkoviny a božec,x,x,x,x,x,x,x,x,x,x,x
147,Jiné toxaemie v těhotenství,x,x,x,x,x,x,x,x,x,x,x
148a,Bílý bolestný otok dolních končetin a záhať,x,x,x,x,x,x,x,x,x,x,x
148b,Vmetek nebo náhlá smrt poporodní,x,x,x,x,x,x,x,x,x,x,x
149,Jiné příhody při porodu,x,x,x,x,x,x,x,x,x,x,x
150,Jiné nerozlišené příhody stavu poporodního,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,275,189,-,2,7,3,5,10,12,47,-
151,Nežitina,100,78,-,-,4,1,2,3,4,8,-
152,"Zánět podkožního vaziva, teplá hlíza",25,13,-,1,3,1,2,-,-,5,-
153,"Jiné nemoci kůže, jejich adnex a podkožního vaziva",150,98,-,1,-,1,1,7,8,34,-
,,,,,,,,,,,,
XIII ,Nemoci kostí a ústrojí pohybu,135,4,7,23,11,5,7,9,16,53,-
154,Zánět dřeně kostní,63,4,5,19,6,4,5,7,6,7,-
155,"Jiné nemoci kostí, vyjma tuberkulosu",47,-,1,1,1,-,-,-,5,39,-
,,,,,,,,,,,,
156a,"Nemoci kloubů, vyjma tuberkulosu a rheumatismus",22,-,1,3,4,1,2,2,4,5,-
156b,Nemoci jiných orgánů pohybu,3,-,-,-,-,-,-,-,1,2,-
,,,,,,,,,,,,
XIV,Vrozené vady tvarové,178,170,5,3,-,-,-,-,-,-,-
157a,Vrozená vodnatelnost mozku,21,18,3,-,-,-,-,-,-,-,-
157b,Rozštěp páteře a kýla omozečnicová,24,24,-,-,-,-,-,-,-,-,-
157c,Vrozený nesprávný tvar srdce,86,82,1,3,-,-,-,-,-,-,-
157d,Zrůdnosti,3,3,-,-,-,-,-,-,-,-,-
157,Jiné vrozené vady tvarové ,44,43,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,2144,2144,-,-,-,-,-,-,-,-,-
158,Vrozená slabost,641,641,-,-,-,-,-,-,-,-,-
159,"Předčasné narození, nepočítaje v to mrtvě narozené",1011,1011,-,-,-,-,-,-,-,-,-
160a,Následky porodu s řezem císařským,2,2,-,-,-,-,-,-,-,-,-
160b,Následky porodu bez řezu císařského,202,202,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
161a,Bezevzduchost plicní,83,83,-,-,-,-,-,-,-,-,-
161b,Žloutenka novorozenců,53,53,-,-,-,-,-,-,-,-,-
161c,Skloerem a jiné,152,152,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XVI ,Stařecká sešlost,3352,-,-,-,-,-,-,-,31,3321,-
162a,Stařecká sešlost se zblbělostí starobní,107,-,-,-,-,-,-,-,5,102,-
162b,Stařecká sešlost bez zblbělosti starobní,3245,-,-,-,-,-,-,-,26,3219,-
,,,,,,,,,,,,
XVII,Smrti násilné a úrazové,2854,34,110,146,325,456,478,389,362,554,-
SE,,1193,0,0,10,98,190,210,184,189,312,0
163,"Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých",62,-,-,1,2,15,13,10,10,11,-
164,Sebevražda jedovatými plyny,19,-,-,-,4,1,5,5,-,4,-
165,Sebevražda oběšením neb uškrcením,817,-,-,8,53,108,141,132,136,239,-
166,Sebevražda utopením,59,-,-,-,10,6,11,3,14,15,-
167,Sebevražda střelnými zbraněmi,85,-,-,-,6,28,16,14,8,13,-
168,Sebevražda nástroji řeznými nebo bodnými,27,-,-,-,-,6,2,6,6,7,-
169,Sebevražda skokem s vyvýšeného místa,20,-,-,-,-,3,4,3,2,8,-
170,Sebevražda rozdrcením,77,-,-,1,22,20,9,9,7,9,-
171,Jiné sebevraždy,27,-,-,-,1,3,9,2,6,6,-
NA,,39,12,5,5,3,4,4,3,1,2,0
172a,Vražda dítěte (dítě do 1 roku): přímo po narození,7,7,-,-,-,-,-,-,-,-,-
172b,Vražda dítěte (dítě do 1 roku): jiná do jednoho roku,5,5,-,-,-,-,-,-,-,-,-
173,Vražda nebo zabití střelnou zbraní (osoby starší 1 roku),3,-,-,1,-,1,-,1,-,-,-
174,Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku),3,-,-,1,1,-,1,-,-,-,-
175,Jiné vraždy nebo zabití osob starších 1 roku,17,-,5,3,2,2,1,1,1,2,-
176,Napadení jedovatými zvířaty,2,-,-,-,-,1,-,1,-,-,-
177,Otrava potravinami,7,-,-,3,-,1,-,3,-,-,-
178,Vdechování jedovatých plynů,63,-,4,10,13,9,8,5,4,10,-
179,"Jiné nahodilé prudké otravy, vyjma otravy plynem",23,1,6,1,4,1,2,2,2,4,-
180,Následky ohně při požáru,9,-,4,3,-,-,1,-,-,1,-
181,Popálení úrazové (jiné než při požáru),91,8,41,6,7,3,8,3,3,12,-
182,Nahodilé mechanické zadušení,25,5,1,1,2,5,5,2,1,3,-
183,Nahodilé utopení,204,1,26,34,54,22,15,12,16,24,-
184,"Poranění střelnými zbraněmi, vyjma poranění válečná",14,-,2,1,4,2,3,1,1,-,-
185,"Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná",18,-,-,3,3,4,4,2,-,2,-
186,"Poranění pádem, rozdrcením, sřícením",609,3,10,43,76,124,125,94,68,66,-
187,"Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom",4,-,-,1,1,-,-,1,-,1,-
188,Poranění způsobená zvířaty,20,-,-,-,2,2,5,2,7,2,-
189,Hlad a žízeň,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,78,2,-,1,4,8,7,16,7,33,-
191,Neobvyklé teplo,-,-,-,-,-,-,-,-,-,-,-
192,Blesk,24,-,-,2,6,4,6,3,-,3,-
193,Úrazy způsobené proudem elektrickým,45,-,1,5,14,13,9,1,-,2,-
194a,Jiné úrazy: cizí tělesa,4,1,1,-,-,1,-,-,-,1,-
194b,Jiné úrazy: jiné,381,1,9,17,34,62,65,54,63,76,-
195,"Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma",1,-,-,-,-,-,1,-,-,-,-
,"Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:",,,,,,,,,,,
A,v dolech a lomech,84,-,-,-,12,21,27,19,5,-,-
B,způsobených stroji,27,-,2,1,6,6,8,2,-,2,-
DN,prostředky dopravními,329,-,9,26,38,66,68,45,44,33,-
a,železnicemi a tramvajemi,135,-,1,4,18,39,34,22,13,4,-
b,automobily a motocykly,121,-,3,17,8,20,22,10,21,20,-
c,jinými pozemními prostředky dopravními,70,-,5,4,12,7,12,13,10,7,-
d,při dopravě po vodě,1,-,-,-,-,-,-,-,-,1,-
e,při dopravě vzduchem,2,-,-,1,-,-,-,-,-,1,-
198,Soudní poprava,4,-,-,-,-,1,2,1,-,-,-
,,,,,,,,,,,,
XVIII,Neurčité příčiny úmrtí,121,3,4,3,3,6,15,21,31,35,-
199,Náhlá smrt,26,1,-,1,-,1,1,7,9,6,-
200,Nerozlišené nebo nedostatečně určené příčiny,95,2,4,2,3,5,14,14,22,29,-
