1920,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
73,Jiné choroby míchy,265,2,3,2,4,7,21,31,103,88,4,-
74a,Výlev krevní do mozku,3000,-,-,-,-,-,32,73,744,1876,274,1
74b,Záhať žil mozkových,74,1,-,1,2,2,8,9,24,24,3,-
75a,Jednostranná obrna těla,94,-,-,-,-,-,-,3,27,58,6,-
75b,Paralysis progressiva,34,-,-,-,-,-,-,7,20,7,-,-
75c,Jiné obrny,30,-,-,-,-,-,-,4,9,16,1,-
76,Ochrnutí spojené s duševní chorobou,1,-,-,-,-,-,-,-,1,-,-,-
77,Jiné duševní choroby,60,-,-,-,1,2,7,7,26,15,2,-
78,Padoucnice,198,1,5,6,13,21,47,40,46,17,1,1
79,Božec nepuerperální,63,-,-,10,3,3,25,12,4,6,-,-
80,Křeče u dětí,3178,3026,150,-,-,-,-,-,-,-,-,2
81,Posunčina,9,-,-,2,2,3,1,-,1,-,-,-
82b,Zánět nervů,24,-,1,-,-,-,-,1,11,10,1,-
83,Změknutí mozku,67,-,-,-,-,-,-,-,25,37,5,-
84,Ostatní choroby systému nervového,276,5,1,7,18,11,28,48,93,62,3,-
86,Choroby ucha nebo dutin mastoideu,34,9,-,5,6,2,3,4,3,2,-,-
,,,,,,,,,,,,,
V,Choroby oběhu krevního,9370,80,24,96,133,151,328,513,2466,5124,449,6
87,Zánět osrdce,40,-,-,5,4,3,1,2,14,11,-,-
88,Prudký zánět nitroblány nebo svalu srdečního,1547,4,3,11,17,12,38,41,316,1002,100,3
89,Srdeční angina,14,-,-,-,-,-,-,-,3,11,-,-
90,Jiné nemoci srdce,5922,64,17,77,108,130,277,436,1909,2755,148,1
91a,Výduť,34,-,-,-,-,-,2,4,16,11,1,-
91b,Zkornatění a jiné choroby tepen,1626,-,-,-,-,1,1,3,155,1269,196,1
92,Záhať (nikoliv mozková),78,1,-,-,2,1,7,18,27,20,2,-
93,Choroby žil,47,-,-,-,-,-,-,3,13,29,1,1
94,Choroby systému mízního,18,9,3,1,-,-,1,-,2,2,-,-
95,Ostatní choroby oběhu krevního,44,2,1,2,2,4,1,6,11,14,1,-
96,Ostatní choroby oběhu krevního,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,10830,2852,818,259,119,180,450,404,1469,3899,373,7
97,Choroby dutin nosního a jejich adnex,5,2,-,1,-,-,-,-,1,1,-,-
98,Choroby hrtanu,31,15,5,4,-,2,1,-,2,2,-,-
99a,Zánět průdušek prudký,317,234,25,5,1,-,1,4,13,33,1,-
99b,Zánět průdušek vleklý,163,19,12,3,4,-,3,3,33,81,5,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),888,725,163,-,-,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),268,-,-,19,3,6,3,11,35,161,30,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,853,398,122,20,7,8,17,22,62,177,19,1
101a,Zánět plic lalokový,291,37,14,4,1,7,25,18,58,116,11,-
101b,Zánět plic bez bližšího označení,5680,1382,463,186,87,139,331,291,835,1765,197,4
102,Zánět pohrudnice,387,17,9,11,14,11,39,29,110,141,6,-
103,Překrvení nebo krvácení parenchymatosní plic,26,-,-,-,-,1,1,-,6,16,2,-
104,Sněť plicní,19,1,-,1,-,1,3,2,6,5,-,-
105,Záducha,319,-,-,-,-,-,1,5,65,234,14,-
106,Rozedma plic,1355,-,-,-,-,-,4,5,200,1065,81,-
107,Ostatní choroby ústrojí dýchacího,228,22,5,5,2,5,21,14,43,102,7,2
,,,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,7203,4512,318,125,67,84,238,299,701,807,50,2
108b,Choroby ústní dutiny a jejich adnex,19,14,3,-,-,-,-,-,1,-,1,-
109,Choroby hltanu nebo mandlí,50,34,4,1,1,-,3,1,2,3,1,-
110,Choroby jícnu,12,1,2,1,-,-,1,-,5,2,-,-
111a,Vřed žaludeční,178,3,-,2,1,4,16,24,71,57,-,-
111b,Vřed dvanácterníku,39,3,-,1,1,2,2,4,13,12,1,-
112,Jiné choroby žaludeční,60,6,-,1,3,1,3,2,16,26,2,-
113,Průjem a zánět střev (pod 2 roky),4607,4401,204,-,-,-,-,-,-,-,-,2
114,Průjem a zánět střev (nad 2 roky),549,-,84,70,20,8,25,27,119,176,20,-
115,Ankylostomiasis,1,1,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,1,-,1,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,123,2,2,10,17,11,15,23,28,15,-,-
118a,Kýla ,30,-,-,1,-,-,-,1,7,19,2,-
118b,Záhať střevní,306,8,1,1,2,2,8,14,87,172,11,-
119b,Jiné choroby střev,56,9,-,-,1,-,4,2,16,23,1,-
120,Prudká atrofie jater,8,-,-,-,-,1,3,1,2,1,-,-
121,Hydativní nádor jater,1,-,-,-,-,-,-,-,1,-,-,-
122a,Svraštění jater alkoholické,-,-,-,-,-,-,-,-,-,-,-,-
122b,Svraštění jater neoznačené jako alkoholické,115,1,-,1,-,3,4,10,45,50,1,-
123,Žlučové kaménky,96,-,-,1,-,-,4,12,40,37,2,-
124,Jiné choroby jater,179,6,1,1,-,2,11,21,60,74,3,-
125,Choroby mikteru,3,-,-,-,-,-,-,1,2,-,-,-
126,Zánět pobřišnice bez označení příčiny,770,23,16,34,21,50,139,156,186,140,5,-
,,,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,1757,36,30,46,37,43,154,227,585,575,23,1
128,Prudký zánět ledvin,119,23,20,28,7,2,6,10,16,7,-,-
129,Vleklý zánět ledvin,1376,10,8,17,26,39,114,158,486,497,20,1
130,Chylurie,-,-,-,-,-,-,-,-,-,-,-,-
131,Jiné choroby ledvin a jejich adnex,63,2,1,-,1,1,2,8,17,31,-,-
132,Močové kaménky,6,-,-,-,-,-,1,1,-,4,-,-
133,Choroby měchýře,34,1,1,1,-,-,1,2,9,17,2,-
134,Choroby močové roury,1,-,-,-,1,-,-,-,-,-,-,-
135,Choroby žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
136,Nevenerické choroby mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x
137,Boubel a jiné nezhoubné nádory vaječníku,23,-,-,-,-,-,2,2,12,7,-,-
138,Zánět vejcovodu nebo vřed v pánvi,14,-,-,-,1,-,2,4,7,-,-,-
139,Nádory děložní,77,-,-,-,1,1,21,23,24,7,-,-
140,Nepuerperální krvácení z dělohy,16,-,-,-,-,-,4,10,2,-,-,-
141,Ostatní choroby rodidel,26,-,-,-,-,-,1,8,12,4,1,-
142,Nepuerperální choroby prsu,2,-,-,-,-,-,-,1,-,1,-,-
,,,,,,,,,,,,,
IX,Puerperální stav,1086,-,-,-,-,38,480,471,97,-,-,-
143a,Potrat ,290,-,-,-,-,12,127,118,33,-,-,-
143b,Mimoděložní těhotenství,17,-,-,-,-,-,9,8,-,-,-,-
143c,Jiné nehody v těhotenství,9,-,-,-,-,-,3,4,2,-,-,-
144,Krvácení těhotných a v šestinedělí,62,-,-,-,-,-,21,32,9,-,-,-
145,Jiné nehody při porodu,63,-,-,-,-,3,17,37,6,-,-,-
146,Horečka omladnic,529,-,-,-,-,20,250,220,39,-,-,-
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",7,-,-,-,-,1,1,5,-,-,-,-
148,Albuminurie nebo božec v šestinedělí,85,-,-,-,-,2,45,34,4,-,-,-
149,Následky porodu (bez bližšího označení),24,-,-,-,-,-,7,13,4,-,-,-
150,Puerperální choroby prsu,-,-,-,-,-,-,-,-,-,-,,
,,,,,,,,,,,,,
X,Choroby kůže a vaziva,556,338,4,3,5,2,15,13,40,106,30,-
151,Sněť,121,3,1,1,-,1,-,4,13,75,23,-
152,Nežit,136,128,-,-,1,-,1,-,1,3,2,-
153,"Zánět podkožního vaziva, horečnatý vřed",162,81,3,1,4,1,13,8,23,23,5,-
155,Ostatní choroby kůže neb jejich adnex,137,126,-,1,-,-,1,1,3,5,-,-
,,,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,123,5,3,15,13,11,7,4,41,23,1,-
156,Choroby kostí,87,3,3,15,9,7,5,2,28,14,1,-
157,Choroby kloubů,34,2,-,-,4,4,1,2,12,9,-,-
158,Ostatní choroby kostí nebo ústrojí pohybového,2,-,-,-,-,-,1,-,1,-,-,-
,,,,,,,,,,,,,
XII,Zrůdnost vrozená,126,122,4,-,-,-,-,-,-,-,-,-
159,Zrůdnost vrozená,126,122,4,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XIII,Raný věk,5199,5199,-,-,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",4108,4108,-,-,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1000,1000,-,-,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,89,89,-,-,-,-,-,-,-,-,-,-
163,Nedostatek péče,2,2,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XIV,,15227,6,2,2,2,3,1,2,17,9535,5644,13
164,Stáří,15194,-,-,-,-,-,-,-,9,9528,5644,13
,,,,,,,,,,,,,
XV,Zevní příčiny ,1837,54,113,85,57,181,387,199,372,344,31,14
SE,,853,0,0,0,4,102,240,119,188,180,15,5
165,Sebevražda otravou jedy,114,-,-,-,-,15,53,22,14,8,2,-
166,Sebevražda otravou požitím žíravin,12,-,-,-,-,3,5,1,1,2,-,-
167,Sebevražda vdechováním jedovatých plynů,10,-,-,-,-,-,6,4,-,-,-,-
168,Sebevražda oběšením neb uškrcením,348,-,-,-,-,19,66,47,107,100,8,1
169,Sebevražda utopením,201,-,-,-,3,30,53,20,34,55,4,2
170,Sebevražda zastřelením,66,-,-,-,1,24,26,11,2,1,-,1
171,Sebevražda nástroji řeznými neb bodnými,13,-,-,-,-,-,2,-,6,5,-,-
172,Sebevražda skokem s výše,14,-,-,-,-,1,4,3,6,-,-,-
173,Sebevražda rozdrcením,31,-,-,-,-,7,14,3,5,1,1,-
174,Sebevražda jiným způsobem,44,-,-,-,-,3,11,8,13,8,-,1
175,Otrava potravinami,34,3,-,3,4,1,4,4,8,7,-,-
176,Uštknutí neb štípnutí,1,-,-,1,-,-,-,-,-,-,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),18,1,1,2,1,2,2,2,7,-,-,-
178,Úraz při požáru,2,-,-,-,-,-,-,-,1,1,-,-
179,Náhodné popálení (vyjma při požáru),149,6,34,24,13,9,15,11,22,15,-,-
180,Náhodné mechanické udušení (vyjma při požáru),38,5,5,4,2,-,9,2,10,1,-,-
181,Vdechování plynů nedýchatelných neb jedovatých,30,-,2,1,1,2,5,7,6,5,1,-
182,Náhodné utopení,177,7,46,18,16,18,28,10,20,8,2,4
183,Poranění střelnou zbraní,29,-,3,3,1,5,10,3,2,2,-,-
184,Poranění nástroji řeznými neb bodnými,15,1,-,2,-,2,3,2,3,2,-,-
185,Poranění pádem,31,2,-,-,2,1,-,5,8,12,1,-
186,Poranění v dolech neb lomech,1,-,-,-,-,-,1,-,-,-,-,-
187,Poranění stroji,-,-,-,-,-,-,-,-,-,-,-,-
188,Poraněním pohmožděním jiného druhu,212,5,17,21,8,21,32,16,47,41,3,1
189,Poranění způsobená zvířaty,-,-,-,-,-,-,-,-,-,-,-,-
190,Zranění válečná,-,-,-,-,-,-,-,-,-,-,-,-
192b,Hlad nebo žízeň,13,-,-,-,-,-,-,-,6,6,-,1
193,Přílišný chlad,19,-,-,-,-,-,1,1,9,8,-,-
194,Přílišný žár,3,-,-,-,-,-,1,-,1,1,-,-
195,Blesk,27,-,-,1,3,2,7,2,7,5,-,-
196,Jiné úrazy elektrickým proudem,2,-,-,-,-,-,-,-,2,-,-,-
NA,,86,23,1,0,0,12,19,6,7,14,1,3
197,Zabití střelnou zbraní,22,-,-,-,-,12,8,-,2,-,-,-
198,Zabití nástroji řeznými neb bodnými,7,-,-,-,-,-,4,1,1,1,-,-
199,Zabití jinými prostředky,57,23,1,-,-,-,7,5,4,13,1,3
201c,Zlomeniny (bez bližšího označení),97,1,4,5,2,4,10,9,18,36,8,-
202a,Ostatní násilná zevní poranění,-,-,-,-,-,-,-,-,-,-,-,-
202b,Poprava legální,-,-,-,-,-,-,-,-,-,-,-,-
203,Násilná smrt neznámé příčiny,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XVI,Nemoci špatně definované,1388,115,54,26,14,13,41,67,342,674,35,7
204,Náhlé úmrtí,3,-,1,-,-,-,-,1,1,-,-,-
205,Nemoci nespecifikované nebo špatně definované,1385,115,53,26,14,13,41,66,341,674,35,7
