1986,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
14,"Tuberkulóza střev, pobřišnice a uzlin okruží",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,,-,-,-,1,
15,Tuberkulóza kostí a kloubů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
16,Tuberkulóza močového a pohlavního ústrojí,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
17,Tuberkulóza jiných orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
18,"Miliární, diseminovaná tuberkulóza",19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,2,2,7,4,
20,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21,Tularémie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
22,"Uhlák, sněť slezinná",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
23,Vlnivá horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
24,Vozhřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
25,Melioidosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
26,Horečka z krysího kousnutí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
27,Jiné zoonotické bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
30,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
31,Nemoci způsobené jinými mykobakteriemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
32,Záškrt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
33,Dávivý kašel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
34,Streptokoková angína a spála,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
35,Růže,6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2,2,
36,Meningokové infekce,4,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
37,Tetanus,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
38,Septikémie,39,3,-,-,-,-,-,-,-,1,-,-,2,-,1,-,2,4,4,4,2,11,5,
39,Aktinomykotické infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
40,Jiné bakteriální nemoci,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,
41,Bakteriální infekce při onemocněních zařazených jinde nebo s blíže neurčenou lokalizací,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
42,Syndrom získaného selhání imunity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
45,Akutní dětská obrna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
46,Pomalá virová infekce centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
47,Meningitis způsobené enterovirem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
48,Jiné enterovirové nemoci centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
49,"Jiné virové nemoci centrální nervové soustavy, nepřenášené členovci",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
50,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
51,Kravské neštovice a paravakcinie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
52,Plané neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
53,Pásový opar,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,
54,Prostý opar,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
55,Spalničky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
56,Zarděnky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
57,Jiné virové nemoci s vyrážkou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
60,Žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
61,Dengue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
62,Virový zánět mozku přenášený komáry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
63,Virový zánět mozku přenášený klíšťaty,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
64,Virový zánět mozku přenášený jinými nebo blíže neurčenými členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
65,Hemoragická horečka přenášená členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
66,Jiné virové nemoci přenášené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
70,Virový zánět jater,34,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,2,6,5,3,8,5,2,
71,Vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
72,Epidemický zánět příušnic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
73,"Ornithosis, psittacosis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
74,Specifické nemoci působené virem Coxsackie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
75,Infekční mononukleóza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
76,Trachom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
77,Jiné nemoci spojivky působené viry a chlamydiemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78,Jiné nemoci působené viry a chlamydiemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
79,Virové infekce při onemocněních zařazených jinde nebo s blíže neurčenou lokalizací,10,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,4,2,
80,Epidemická skvrnivka - přenášená vešmi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
81,Jiná skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
82,Rickettsiózy přenášené klíšťaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
83,Jiné rickettsiózy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
84,Malárie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
85,Leishmaniosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
86,Trypanosomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
87,Návratná horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
88,Jiné nemoci přenášené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
90,Vrozená syfilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
91,Čerstvá syfilis s příznaky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
92,Čerstvá syfilis latentní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
93,Kardiovaskulární syfilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
94,Neurosyfilis,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,
95,Jiné formy pozdní syfilidy s příznaky,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
96,Pozdní syfilid latentní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
97,Jiná nebo blíže neurčená syfilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
98,Gonokoková onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
99,Jiné pohlavní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
100,Leptospirosis,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,
101,Vincentova angína,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
102,Frambézie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
103,Pinta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
104,Jiné spirochétové infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
110,Dermatophytosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
111,"Dermatomycosis, jiná nebo blíže neurčená",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
112,"Candidosis, moniliasis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
114,Coccidioidomycosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
115,Histoplasmosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
116,Blastomykotické infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
117,Jiné mykózy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
118,Dermatomykózy působené potenciálně parazitárními houbami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
120,Schistosomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
121,Jiné infekce trematody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
122,"Echinococcosis, hydatidosis - měchožil",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
123,Jiné infekce cestody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
124,Trichinosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
125,Filariasis a dracontiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
126,Ankylostomiasis a necatoriasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
127,Jiné střevní helmintiázy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
128,Jiné a blíže neurčené helmintiázy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
129,Střevní parazitismus blíže neurčený,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
130,Toxoplasmosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
131,Trichomoniasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
132,Zavšivení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
133,Acariasis (svrab),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
134,Jiná napadení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
135,Sarcoidosis,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,2,1,-,1,1,-,
136,Jiné a blíže neoznačené infekční a parazitární nemoci,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
137,Pozdní následky tuberkulózy,23,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,6,1,3,4,3,5,
138,Pozdní následky akutní poliomyelitidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
139,Pozdní následky jiných infekčních a parazitárních nemocí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,,,,,,,,,,
II,Novotvary,12 268,3,4,3,5,5,21,16,19,22,31,109,208,315,347,590,1 070,1 449,1 334,2 074,2 190,1 540,913,
140,Zhoubný novotvar rtu,13,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,2,3,4,
141,Zhoubný novotvar jazyka,10,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,2,2,1,1,
142,Zhoubný novotvar slinné žlázy,21,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,6,1,2,1,4,-,5,
143,Zhoubný novotvar dásně,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,-,
144,Zhoubný novotvar ústní spodiny,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2,-,1,2,
145,Zhoubný novotvar jiné nebo blíže neurčené části úst,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,
146,Zhoubný novotvar ústní částí hltanu,14,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,3,1,-,1,3,2,-,
147,Zhoubný novotvar nosohltanu,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,1,-,-,
148,Zhoubný novotvar hypofaryngu,7,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,1,-,2,
149,"Zhoubný novotvar jiné nebo nepřesně určené lokalizace v oblasti rtu, ústní dutiny nebo hltanu",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,
150,Zhoubný novotvar jícnu,52,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,5,3,9,12,11,9,
151,Zhoubný novotvar žaludku,1 067,-,-,-,-,-,-,-,-,-,1,7,9,20,19,29,56,77,114,203,222,207,103,
152,Zhoubný novotvar tenkého střeva včetně dvanáctníku,33,-,-,-,-,-,-,-,-,-,-,-,-,2,3,2,4,1,8,4,5,3,1,
153,Zhoubný novotvar tlustého střeva,1 027,-,-,-,-,-,-,-,-,-,2,6,8,18,18,42,69,108,114,175,219,149,99,
154,"Zhoubný novotvar konečníku, rektosigmoidálního spojení nebo řiti",779,-,-,-,-,-,-,-,-,-,1,4,7,5,17,28,56,79,76,144,179,122,61,
155,Zhoubný novotvar jater a intrahepatálních žlučových cest,319,-,1,-,-,-,-,-,,-,1,2,3,5,4,11,29,31,32,70,63,43,24,
156,Zhoubný novotvar žlučníku a extrahepatálních žlučových cest,755,-,-,-,-,-,-,-,-,-,-,-,5,5,9,17,49,74,96,157,166,115,62,
157,Zhoubný novotvar slinivky břišní,594,-,-,-,-,-,-,-,-,-,-,1,6,10,12,24,40,84,72,118,135,56,36,
158,Zhoubný novotvar retroperitonea nebo pobřišnice,53,-,-,-,-,-,-,-,-,-,1,1,1,1,2,4,6,7,9,6,7,6,2,
159,Zhoubný novotvar jiné nebo nepřesně určené lokalizace v oblasti trávicího ústrojí nebo pobřišnice,246,-,-,-,-,-,-,1,-,1,-,1,1,-,2,5,4,12,19,42,52,65,41,
160,"Zhoubný novotvar nosních dutin, středního ucha nebo obličejových dutin",18,-,-,-,-,1,-,-,-,-,-,1,-,-,-,2,1,-,2,1,3,5,2,
161,Zhoubný novotvar hrtanu,20,-,-,-,-,-,-,-,-,-,-,-,3,-,-,2,2,1,2,4,3,2,1,
162,"Zhoubný novotvar průdušnice, průdušek a plic",767,-,-,-,-,-,-,-,-,-,-,3,11,28,25,46,75,126,98,124,122,67,42,
163,Zhoubný novotvar pohrudnice,22,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,2,5,1,3,4,3,1,
164,"Zhoubný novotvar brzlíku, srdce nebo mezihrudí",16,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,5,2,-,1,4,1,1,
165,Zhoubný novotvar jiné nebo nepřesně určené lokalizace v oblasti dýchacích ústrojí nebo nitrohrudn,7,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,2,1,1,-,
170,Zhoubný novotvar kosti nebo kloubní chrupavky,63,-,-,-,-,-,-,-,2,5,2,1,-,1,2,6,3,10,2,7,11,6,5,
171,Zhoubný novotvar pojivové nebo jiné měkké tkáně,48,-,-,-,-,-,3,-,-,1,1,-,2,3,2,2,6,6,3,3,7,4,5,
172,Zhoubný melanom kůže,119,-,-,-,-,-,-,-,-,-,1,4,9,7,3,8,10,14,14,18,15,9,7,
173,Jiný zhoubný novotvar kůže,110,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,4,4,10,14,31,43,
174,Zhoubný novotvar ženského prsu,1 899,-,-,-,-,-,-,-,1,-,1,22,46,81,79,137,204,268,193,294,271,183,119,
175,Zhoubný novotvar mužského prsu,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
179,Zhoubný novotvar neurčené části dělohy,189,-,-,-,-,-,-,-,-,-,-,1,2,4,6,9,26,17,23,36,27,23,15,
180,Zhoubný novotvar děložního čípku,510,-,-,-,-,-,-,-,-,2,8,16,36,41,26,27,44,67,56,58,71,40,18,
181,Zhoubný novotvar lůžka - placenty,4,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,2,-,-,-,-,
182,Zhoubný novotvar děložního těla,396,-,-,-,-,-,-,-,-,-,-,-,4,3,6,14,38,63,51,65,77,52,23,
183,Zhoubný novotvar vaječníku nebo jiných adnex dělohy,789,-,-,-,-,-,-,2,1,1,2,6,12,22,46,59,111,124,104,134,82,60,23,
184,Zhoubný novotvar jiného nebo blíže neoznačeného ženského pohlavního orgánu,177,-,-,-,-,-,-,-,-,-,1,2,-,-,5,5,16,20,16,32,40,25,15,
185,Zhoubný novotvar předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
186,Zhoubný novotvar varlete,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
187,Zhoubný novotvar pyje nebo jiného mužského pohlavního orgánu,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
188,Zhoubný novotvar močového měchýře,162,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,15,19,13,35,32,26,20,
189,Zhoubný novotvar ledviny nebo jiného nebo blíže neurčeného močového orgánu,372,-,-,1,-,-,-,1,1,-,-,-,3,9,15,27,43,56,48,71,59,24,14,
190,Zhoubný novotvar oka,21,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,2,2,2,4,3,3,
191,Zhoubný novotvar mozku,189,-,1,1,-,1,6,6,4,4,3,5,13,8,8,11,31,27,20,19,13,6,2,
192,Zhoubný novotvar jiné nebo blíže neurčené části nervové soustavy,11,1,-,-,-,-,-,-,-,-,-,1,-,2,-,1,-,-,-,1,1,2,2,
193,Zhoubný novotvar štítné žlázy,69,-,-,-,-,-,-,-,-,-,-,1,-,2,-,4,4,5,6,13,20,11,3,
194,Zhoubný novotvar jiné žlázy s vnitřní sekrecí nebo příbuzné tkáně,22,1,-,-,3,-,1,-,-,-,-,-,-,2,2,1,3,3,2,3,-,-,1,
195,Zhoubný novotvar jiné nebo nepřesně určené lokalizace,106,-,-,-,-,-,-,-,-,-,-,2,-,2,-,7,4,9,9,14,18,21,20,
196,Sekundární nebo blíže neurčený zhoubný novotvar mízních uzlin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
197,Sekundární zhoubný novotvar dýchací nebo trávicí soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
198,Sekundární zhoubný novotvar jiné určené lokalizace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
199,Zhoubný novotvar bez určení lokalizace,199,-,-,-,-,-,-,-,-,1,-,-,4,3,6,4,16,11,17,49,38,26,24,
200,Lymforarkom a retikulosarkom,53,-,-,-,-,-,-,-,-,-,-,-,1,-,1,5,7,8,3,8,10,9,1,
201,Hodgkinova nemoc,82,-,-,-,-,-,-,1,1,2,1,4,4,3,1,4,6,12,7,13,9,9,5,
202,Jiný zhoubný novotvar mízní nebo histiocytární tkáně,146,1,-,-,-,-,1,2,1,1,2,4,2,5,3,5,7,17,25,17,34,16,3,
203,Mnohočetný myelom a imunoproliferativní novotvary,134,-,-,-,-,-,-,-,-,-,-,-,-,4,1,8,16,11,17,21,32,17,7,
204,Lymfatická leukémie,159,-,-,1,1,3,9,1,2,-,-,2,-,2,3,5,6,14,11,33,31,25,10,
205,Myeloidní leukémie,157,-,1,-,-,-,-,1,5,2,1,4,6,11,10,8,21,14,12,21,21,16,3,
206,Monocytární leukémie,6,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,,1,2,-,-,
207,Jiná určená leukémie,13,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,3,2,1,2,1,-,
208,Leukémie blíže neurčeného buněčného typu,44,-,-,-,-,-,-,1,1,-,1,2,1,-,1,1,4,8,1,4,9,6,4,
210,"Nezhoubný novotvar rtu, ústní dutiny a hltanu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
211,Nezhoubný novotvar jiné části trávicí soustavy,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,
212,Nezhoubný novotvar dýchacích nebo nitrohrudních orgánů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,
213,Nezhoubný novotvar kosti nebo kloubní chrupavky,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
214,Lipom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
215,Jiný nezhoubný novotvar pojivové nebo jiné měkké tkáně,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
216,Nezhoubný novotvar kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
217,Nezhoubný novotvar prsu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
218,Leiomyom dělohy,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,
219,Jiný nezhoubný novotvar dělohy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,
220,Nezhoubný novotvar vaječníku,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,1,1,1,-,
221,Nezhoubný novotvar jiného ženského pohlavního orgánu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
222,Nezhoubný novotvar mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
223,Nezhoubný novotvar ledviny nebo jiného močového orgánu,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
224,Nezhoubný novotvar oka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
225,Nezhoubný novotvar mozku nebo jiné části nervové soustavy,45,-,-,-,1,-,-,-,-,-,-,2,2,1,2,6,5,7,4,7,7,-,1,
226,Nezhoubný novotvar štítné žlázy,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,
227,Nezhoubný novotvar jiné žlázy s vnitřní sekrecí nebo příbuzné tkáně,12,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,1,4,1,2,-,-,
