1942,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
25,Kapavka,1,-,-,-,-,-,-,-,1,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,3,-,-,-,-,-,-,1,1,1,-,-
28,Střídavka (malarie),3,-,-,-,-,-,-,-,2,1,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),94,-,-,-,-,-,10,22,32,23,7,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),194,-,-,-,-,9,46,72,46,21,-,-
30c,Příjice: výduť srdečnice (aneurysma aorty),114,-,-,-,-,2,8,31,33,28,12,-
30d,Příjice: příjice vrozená,29,22,3,-,3,-,-,-,-,1,-,-
30,Příjice: jiné druhy příjice,158,-,-,-,1,7,24,44,59,18,5,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,2,-,-,-,-,-,2,-,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,1,-,-,1,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,111,58,8,5,3,1,3,6,5,11,11,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,40,24,1,-,-,-,1,3,2,5,4,-
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,42,10,27,5,-,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,26,2,4,12,1,4,1,2,-,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,-,-,-,-,-,-,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,44,-,-,-,1,11,9,5,12,4,2,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,4,-,-,-,-,2,-,-,2,-,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,1,-,-,-,-,1,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),10,5,4,1,-,-,-,-,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,-,-,-,-,-,-,-,-,-,-,-,-
39a,Skvrnivka (tyf exanthem.),-,-,-,-,-,-,-,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),1,-,-,-,-,-,-,1,-,-,-,-
42,Jiné nemoci způsobené hlísty,3,-,1,-,-,-,-,-,1,1,-,-
43a,Actinomykosy,2,-,-,1,-,-,-,1,-,-,-,-
43b,Jiné mykosy,1,-,-,-,-,-,1,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,1,1,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,67,-,2,2,5,8,12,11,15,10,2,-
44c,Epidemický zánět příušnic,2,1,-,1,-,-,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,1,-,-,-,-,-,1,-,-,-,-,-
,,,,,,,,,,,,,
II,Rakovina a jiné nádory,5715,5,11,27,42,96,300,808,1628,1929,869,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,35,-,-,-,-,-,-,1,5,13,16,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,56,-,-,-,-,-,2,15,18,12,9,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,72,-,-,-,1,1,2,10,12,33,13,-
46a,Rakovina a jiné zhoubné nádory: jícnu,309,-,-,-,-,-,4,23,79,136,67,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2246,-,-,1,1,15,95,284,687,834,329,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",312,-,-,-,1,11,20,40,82,110,48,-
46d,Rakovina a jiné zhoubné nádory: konečníku,368,-,-,-,-,3,19,34,107,143,62,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,407,-,-,-,-,1,17,61,123,149,56,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",119,-,2,3,6,3,7,14,25,37,22,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,59,-,-,-,-,-,2,15,22,18,2,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,36,-,-,1,1,1,4,6,12,8,3,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,23,-,-,-,-,1,1,1,6,12,2,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,119,-,-,-,-,-,7,24,39,34,15,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",445,-,-,-,4,8,31,109,175,99,19,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,2,-,-,-,-,-,-,-,1,1,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,x,x,x,x,x,x,x,x,x,x,x,x
48b,Rakovina a jiné zhoubné nádory: dělohy,-,-,-,-,-,-,-,-,-,-,-,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,x
50,Rakovina a jiné zhoubné nádory: prsů,6,-,-,-,-,-,-,-,1,2,3,-
51a,Rakovina a jiné zhoubné nádory: šourku,1,-,-,-,-,1,-,-,-,-,-,-
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,191,-,-,-,-,-,-,8,40,75,68,-
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,27,-,-,-,-,4,2,3,5,8,5,-
52,Rakovina a jiné zhoubné nádory: ústrojí močového,168,-,2,-,-,-,10,24,35,60,37,-
53,Rakovina a jiné zhoubné nádory: kůže,97,-,-,-,-,1,1,9,14,24,48,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,23,-,1,2,1,4,6,7,1,1,-,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,26,-,-,-,-,-,3,7,7,9,-,-
55b,Rakovina a jiné zhoubné nádory: kostí,83,-,-,5,4,5,7,18,17,19,8,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,26,-,-,-,-,3,3,9,3,5,3,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,179,1,3,2,6,13,13,32,47,42,20,-
55,"Carcinomatosy, sarkomatosy",13,1,-,-,1,-,4,1,4,1,1,-
55f,Metastasy bez udání prvotního místa,8,-,-,-,-,-,1,1,4,2,-,-
56a,Nádory nezhoubné: vaječníku,x,x,x,x,x,x,x,x,x,x,x,x
56b,Nádory nezhoubné: dělohy,x,x,x,x,x,x,x,x,x,x,x,x
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,x
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,4,-,-,1,1,1,-,-,1,-,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,13,1,-,1,1,-,1,2,3,3,1,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",x,x,x,x,x,x,x,x,x,x,x,x
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",x,x,x,x,x,x,x,x,x,x,x,x
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",x,x,x,x,x,x,x,x,x,x,x,x
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",111,1,1,10,11,15,27,27,14,5,-,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",131,1,2,1,3,5,11,23,39,34,12,-
,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",611,62,20,51,13,14,32,52,126,163,78,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,57,-,5,36,7,1,4,2,-,1,1,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,13,-,1,3,-,-,-,-,3,4,2,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,45,-,-,-,1,-,1,3,8,19,13,-
60,Dna,1,-,-,-,-,-,-,-,-,1,-,-
61,Úplavice cukrová,374,-,2,7,5,9,18,38,101,133,61,-
62,Nemoci podvěsku mozkového,-,-,-,-,-,-,-,-,-,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,5,-,-,-,-,-,-,2,2,1,-,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,14,-,-,-,-,1,2,1,7,3,-,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,10,-,2,1,-,2,2,1,2,-,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,29,25,3,1,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",13,-,-,-,-,1,5,4,2,1,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",-,-,-,-,-,-,-,-,-,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,1,-,-,-,-,-,-,-,1,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,3,1,-,1,-,-,-,1,-,-,-,-
67,Kurděje,1,-,-,-,-,-,-,-,-,-,1,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-
70,Křivice,45,36,7,2,-,-,-,-,-,-,-,-
71,Jiné avitaminosy,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,218,10,10,12,21,16,29,22,58,32,8,-
72a,Stavy krvácivé: purpury prvotní,8,-,1,-,-,-,-,1,4,1,1,-
72b,Stavy krvácivé: nemoci krve (haemophilie),12,4,-,1,3,2,2,-,-,-,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,37,2,-,1,1,-,3,4,14,8,4,-
73b,Chudokrevnost: jiná anaemie,20,2,2,1,4,4,1,-,3,2,1,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,120,2,5,7,10,10,20,13,34,17,2,-
74b,Leukaemie a aleukaemie: aleukaemie,2,-,-,-,-,-,1,-,1,-,-,-
75,Nemoci sleziny,8,-,-,1,2,-,1,2,-,2,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,8,-,2,1,1,-,1,1,2,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,3,-,-,-,-,-,-,1,-,2,-,-
,,,,,,,,,,,,,
V,Otravy vleklé,17,-,-,-,-,-,1,7,4,1,4,-
77a,Alkoholismus prudký,3,-,-,-,-,-,-,2,-,-,1,-
77b,Alkoholismus vleklý a bez bližšího označení,12,-,-,-,-,-,-,5,3,1,3,-
78a,Otrava olovem: označená jako z povolání,1,-,-,-,-,-,1,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,1,-,-,-,-,-,-,-,1,-,-,-
,,,,,,,,,,,,,
DU,,87,0,2,3,7,8,17,17,18,7,8,0
,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,3610,465,64,67,83,96,167,288,590,975,815,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,12,2,1,1,2,2,3,1,-,-,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,41,7,5,5,6,5,3,2,5,2,1,-
81,Zánět plen mozkových prostý,160,42,22,21,18,17,8,12,15,3,2,-
82,Nemoci míchy,103,1,2,4,6,8,16,18,22,20,6,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2141,-,1,4,6,17,58,177,426,792,660,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,56,-,-,1,2,2,3,3,9,20,16,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,107,-,-,-,-,-,2,6,13,37,49,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,142,-,-,-,2,-,4,8,33,44,51,-
84a,Duševní nemoci a vady: slabomyslnost,19,-,2,1,5,4,1,4,-,2,-,-
84b,Duševní nemoci a vady: schoizophrenie,16,-,-,-,-,3,4,1,4,2,2,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,4,-,-,1,1,-,-,1,-,1,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,33,-,-,1,1,1,12,4,11,1,2,-
85,Padoucnice,84,1,-,7,15,17,16,9,9,4,6,-
86,Křeče u dětí do 5 let,377,361,16,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,-,-,-,-,-,-,-,-,-,-,-,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,4,-,-,-,-,-,-,-,-,3,1,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,19,-,1,-,-,1,-,7,2,5,3,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,130,-,-,-,1,12,17,21,32,31,16,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,22,-,2,6,3,2,3,3,2,1,-,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,136,50,11,15,15,5,16,11,6,7,-,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,4,1,1,-,-,-,1,-,1,-,-,-
,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,10737,24,47,100,117,189,437,918,1902,3355,3648,-
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,2,-,-,1,1,-,-,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,11,-,1,2,-,2,1,1,1,2,1,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),35,3,7,6,5,5,4,2,1,2,-,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,890,-,4,30,38,60,101,153,180,202,122,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,52,-,-,6,7,4,5,6,10,12,2,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),54,3,10,2,1,2,1,9,8,9,9,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,82,-,-,3,1,1,1,4,18,30,24,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",5099,3,7,18,18,45,165,362,867,1712,1902,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1093,-,4,8,11,14,24,67,202,364,399,-
94a,Nemoci tepen věnčitých,122,-,-,-,-,1,7,22,38,38,16,-
94b,Angina srdeční,320,-,-,-,-,2,21,55,104,102,36,-
95a,Jiné nemoci srdce: označené jako rheumatické,47,-,2,1,3,-,5,9,4,10,13,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,1529,6,10,21,27,45,83,178,335,477,347,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",6,-,-,-,-,-,1,2,3,-,-,-
97,Zkornatění tepen,1163,-,-,-,-,1,5,27,94,335,701,-
98,Sněť,104,7,-,-,2,2,5,5,14,25,44,-
99,Jiné nemoci tepen,49,-,-,1,2,1,5,9,11,12,8,-
100a,Nemoci žil: městky,32,-,-,-,-,1,-,-,4,12,15,-
100b,Nemoci žil: jiné nemoci žil,25,-,-,-,-,2,2,7,5,3,6,-
101,Nemoci soustavy mízní,10,1,2,1,1,1,-,-,1,2,1,-
102,Essentielní zvýšení tlaku krevního,7,-,-,-,-,-,-,-,1,5,1,-
103,Jiné nemoci ústrojí oběhu krevního,5,1,-,-,-,-,1,-,1,1,1,-
,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,6742,1992,338,105,103,119,283,398,803,1284,1317,-
104,Nemoci dutiny nosní a přídatných útvarů,5,2,-,2,1,-,-,-,-,-,-,-
105,Nemoci hrtanu,13,4,3,2,-,-,-,2,1,-,1,-
106a,Zánět průdušek: prudký,108,75,11,1,-,-,3,1,4,1,12,-
106b,Zánět průdušek: vleklý,235,4,-,1,1,-,2,18,46,72,91,-
106c,Zánět průdušek: blíže neoznačený,274,109,13,2,1,-,2,5,25,53,64,-
107,Lalůčkový zánět plic (bronchopneumonie),2734,1314,186,25,28,24,69,78,186,360,464,-
108,Lalokový zánět plic,1175,150,53,29,29,48,101,121,201,269,174,-
109,Zánět plic blíže neoznačený,1067,295,42,25,22,24,44,73,129,193,220,-
110a,Zánět pohrudnice: empyema thoracis,140,20,15,8,12,11,15,20,15,18,6,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,207,14,11,6,6,3,11,24,40,52,40,-
111a,"Infarkt s krvácením, embolie a trombosa plic",52,-,1,-,-,2,3,8,14,19,5,-
111b,Hypostatický zánět a oedem plic,31,-,1,-,1,1,2,1,2,9,14,-
112,Záducha (asthma),178,1,-,-,-,1,8,6,38,65,59,-
113,Rozedma plic,388,2,1,-,-,2,5,15,61,143,159,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,16,-,-,-,-,-,2,2,7,4,1,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,112,2,1,3,2,2,15,23,32,26,6,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,7,-,-,1,-,1,1,1,2,-,1,-
,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,3532,1226,128,95,96,144,272,419,499,408,245,-
115a,Nemoci mandlí a hltanu,108,25,23,14,8,8,8,7,8,2,5,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,9,2,-,-,1,1,1,3,1,-,-,-
116,Nemoci jícnu,12,-,1,-,-,-,1,1,1,3,5,-
117a,Vřed žaludeční,594,-,1,-,6,35,98,165,181,82,26,-
117b,Vřed dvanáctníkový,146,-,-,-,2,20,36,41,24,21,2,-
118,Jiné nemoci žaludku,33,-,-,1,-,1,3,2,4,7,15,-
119,Průjem a katar střevní u dětí do 2 let,1203,1150,53,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,103,-,20,17,4,3,8,4,11,13,23,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),17,-,-,-,1,2,1,3,3,5,2,-
121,Zánět červíkovitého přívěsku,217,2,17,43,34,29,25,27,18,17,5,-
122a,Kýla,158,11,-,-,1,2,8,9,24,51,52,-
122b,Neprůchodnost střevní,207,12,2,4,9,12,25,23,37,46,37,-
123,Ostatní nemoci střevní,14,1,-,1,1,1,2,2,-,3,3,-
124a,Svraštění jater: alkoholické,8,-,-,-,-,-,-,4,2,2,-,-
124b,Svraštění jater: neoznačené za alkoholické,372,-,1,2,2,8,20,78,116,109,36,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),62,-,1,3,6,7,8,10,14,6,7,-
125b,Jiné nemoci jater: ostatní nemoci jater,31,2,1,1,3,1,2,6,5,5,5,-
126,Kaménky žlučové,26,-,-,-,-,1,1,4,7,8,5,-
127,Jiné nemoci žlučníku a žlučovodů,36,-,1,-,1,1,1,8,9,8,7,-
128,Nemoci slinivky břišní,17,-,-,1,1,2,3,3,2,4,1,-
129,Zánět pobřišnice bez udání příčiny,159,21,7,8,16,10,21,19,32,16,9,-
,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1766,14,16,20,32,53,98,195,316,527,495,-
130,Prudký zánět ledvin,48,2,6,7,7,4,6,4,6,4,2,-
131,Vleklý zánět ledvin,811,1,3,5,20,36,64,146,204,233,99,-
132,Zánět ledvin nerozlišený,117,4,7,7,4,5,12,18,14,27,19,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",61,7,-,-,-,3,5,5,11,18,12,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",16,-,-,1,1,1,1,6,2,4,-,-
134,Kaménky cest močových,46,-,-,-,-,3,4,2,13,12,12,-
135a,Zánět měchýře močového,35,-,-,-,-,1,-,1,2,12,19,-
135b,Jiné nemoci močového měchýře a poruchy močení,7,-,-,-,-,-,-,1,-,-,6,-
136,Nemoci roury močové,39,-,-,-,-,-,1,2,8,19,9,-
137a,Nezhoubné nádory žlázy předstojné,24,-,-,-,-,-,1,-,3,11,9,-
137b,Zbytnění žlázy předstojné,531,-,-,-,-,-,-,8,51,177,295,-
137c,Ostatní nemoci žlázy předstojné,23,-,-,-,-,-,2,1,2,7,11,-
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,8,-,-,-,-,-,2,1,-,3,2,-
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",x,x,x,x,x,x,x,x,x,x,x,x
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,x,x,x,x,x,x,x,x,x,x,x,x
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,x,x,x,x,x,x,x,x,x,x,x,x
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",x,x,x,x,x,x,x,x,x,x,x,x
140,Potrat se sepsí,x,x,x,x,x,x,x,x,x,x,x,x
141,Potrat bez zmínky o sepsi,x,x,x,x,x,x,x,x,x,x,x,x
142,Těhotenství mimoděložní,x,x,x,x,x,x,x,x,x,x,x,x
143a,Krvácení v těhotenství: lůžko vcestné,x,x,x,x,x,x,x,x,x,x,x,x
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),x,x,x,x,x,x,x,x,x,x,x,x
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x
144a,Otrava krve v těhotenství: křeče v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x
144c,Otrava krve v těhotenství: jiné toxikosy,x,x,x,x,x,x,x,x,x,x,x,x
145,Jiné nemoci a příhody těhotenství,x,x,x,x,x,x,x,x,x,x,x,x
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,x,x,x,x,x,x,x,x,x,x,x,x
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,x,x,x,x,x,x,x,x,x,x,x,x
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,x,x,x,x,x,x,x,x,x,x,x,x
146d,Krvácení při porodu a poporodní: krvácení po porodu,x,x,x,x,x,x,x,x,x,x,x,x
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),x,x,x,x,x,x,x,x,x,x,x,x
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,x,x,x,x,x,x,x,x,x,x,x,x
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,x,x,x,x,x,x,x,x,x,x,x,x
148a,Toxikosy ve stavu poporodním: eclampsie,x,x,x,x,x,x,x,x,x,x,x,x
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,x,x,x,x,x,x,x,x,x,x,x,x
148c,Toxikosy ve stavu poporodním: jiné toxikosy,x,x,x,x,x,x,x,x,x,x,x,x
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),x,x,x,x,x,x,x,x,x,x,x,x
149b,Jiné příhody porodu: ostatní příhody,x,x,x,x,x,x,x,x,x,x,x,x
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,
