1934,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,73,-,-,-,2,12,19,15,12,13,-
"87a,e",Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové,49,1,4,6,4,3,2,11,9,9,-
88,Nemoci oční,-,-,-,-,-,-,-,-,-,-,-
89a,Zánět ušní,81,20,11,15,8,5,5,7,4,6,-
89b,Jiné nemoci ucha a dutiny výčnělku soscovitého,3,-,-,1,-,-,-,-,2,-,-
,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,13956,56,49,146,135,320,568,1089,2418,9175,-
90,Zánět osrdečníku,22,1,-,3,-,2,2,1,5,8,-
91,Prudký zánět nitroblány srdeční,99,3,5,23,14,21,18,4,5,6,-
92,"Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní",1553,-,5,36,47,103,172,218,362,610,-
93a,Prudký zánět svalu srdečního,92,22,10,12,3,6,19,3,8,9,-
93b,Vleklý zánět svalu srdečního a zvrhlost svalu srdečního,5077,9,8,15,13,33,89,255,753,3902,-
93c,Nerozlišené nemoci svalu srdečního,912,-,-,-,-,-,-,62,150,700,-
94,Nemoci tepen věnčitých,344,-,-,-,1,6,7,31,78,221,-
95a,Funkcionální nemoci srdce,23,-,-,2,-,3,3,2,4,9,-
95b,Jiné a nerozlišené nemoci srdeční,3610,14,17,52,49,135,220,438,795,1890,-
96,"Výduť, vyjma výduť srdeční",77,-,-,1,1,1,10,5,22,37,-
97,"Zkornatění tepen, vyjma nemocí tepen věnčitých",1830,-,-,-,-,-,5,35,163,1627,-
98a,Sněť stařecká,76,-,-,-,-,-,-,-,7,69,-
98b,Jiné sněti,22,1,-,2,-,1,3,3,3,9,-
99,Jiné nemoci tepen,80,-,-,-,1,5,11,13,17,33,-
100,"Nemoci žil: městky, městky konečníkové, zánět žil atd.",111,-,-,-,2,2,9,17,41,40,-
101,"Nemoci soustavy mízní, zánět mízních cév atd.",18,5,4,-,4,1,-,2,2,-,-
102,Idiopathické anomalie tlaku krevního,3,-,-,-,-,-,-,-,2,1,-
103,Jiné nemoci ústrojí oběhu krevního,7,1,-,-,-,1,-,-,1,4,-
,,,,,,,,,,,,
VIII,Nemoci ústrojí dýchacího,7023,1649,487,119,79,185,211,354,714,3225,-
104,Nemoci dutin nosních a adnex,4,2,-,1,-,-,-,-,-,1,-
105,Nemoci hrtanu,23,10,5,2,-,1,2,1,-,2,-
106a,Zánět průdušek prudký,164,106,10,-,-,1,1,2,4,40,-
106b,Zánět průdušek vleklý,278,23,10,1,2,2,7,6,25,202,-
106c,Zánět průdušek nerozlišený,432,152,32,4,-,1,-,3,20,220,-
107,"Lalůčkový zánět plic, počítaje v to zánět průdušinek",1936,796,178,23,8,36,34,70,130,661,-
108,Lalokový zánět plic,1195,146,88,39,27,60,66,98,174,497,-
109,Zánět plic nerozlišený,1682,382,130,31,30,52,54,102,186,715,-
110,Zánět pohrudnice,258,15,27,15,8,17,17,21,39,99,-
111,"Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic",261,9,1,2,3,6,20,28,26,166,-
112,Záducha,197,1,1,-,-,1,1,8,28,157,-
113,Rozedma plicní,528,-,1,-,-,1,4,6,70,446,-
114a,"Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího",14,3,-,-,-,1,1,3,1,5,-
114b,"Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu",51,4,4,1,1,6,4,6,11,14,-
,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,4349,1819,205,183,110,188,219,301,432,892,-
115,"Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby",165,25,23,38,15,13,13,11,10,17,-
116,Nemoci požeráku,6,-,2,-,-,-,-,-,1,3,-
117a,Vřed žaludeční,163,-,-,1,2,11,17,30,47,55,-
117b,Vřed dvanáctníkový,27,-,-,1,-,3,6,11,4,2,-
118,Jiné nemoci žaludeční (vyjma rakovinu),65,1,1,1,1,1,4,1,11,44,-
119,Průjem a katar střevní - u dětí do 2 roků,1834,1746,88,-,-,-,-,-,-,-,-
120a,"Průjem, katar střevní (ve věku 2 roků a výše)",159,-,30,11,4,4,3,7,20,80,-
120b,Vředy střevní (ve věku 2 roků a výše),7,-,-,-,-,1,2,-,1,3,-
121,Zánět červíkovitého přívěsku,351,1,27,68,49,49,39,45,41,32,-
122a,Kýla,259,7,2,-,-,4,7,24,53,162,-
122b,Neprůchodnost střeva,239,16,3,6,5,13,22,15,35,124,-
123,Jiné nemoci střevní,31,3,1,-,-,1,3,3,3,17,-
124a,Svraštění jater alkoholické,3,-,-,-,-,-,-,1,2,-,-
124b,Svraštění jater neoznačené za alkoholické,240,-,1,2,3,6,13,36,59,120,-
125,Jiné nemoci jater (počítaje v to náhlý úbyt jater),138,6,1,12,6,14,8,24,23,44,-
126,Kaménky žlučové,170,-,-,-,2,2,21,30,48,67,-
127,Jiné nemoci žlučníku a žlučovodů,132,-,-,-,-,6,6,22,32,66,-
128,Nemoci slinivky břišní,33,-,1,1,1,3,2,8,10,7,-
129,"Zánět pobřišnice, bez označené příčiny",327,14,25,42,22,57,53,33,32,49,-
,,,,,,,,,,,,
X,Nemoci ústrojí močového a ústrojí pohlavního,1620,20,30,60,77,143,175,235,348,531,1
130,Prudký zánět ledvin,109,8,20,31,8,5,10,6,7,14,-
131,Vleklý zánět ledvin,944,-,5,12,28,62,82,141,252,362,-
132,Nerozlišený zánět ledvin,190,-,-,8,15,17,26,29,38,56,1
133a,Zánět pánvice ledvinné,90,9,5,6,6,4,4,9,21,26,-
133b,Jiné nemoci ledvin a močovodů,13,-,-,-,1,4,2,4,-,2,-
134a,Kamének ledvin a horních cest močových,27,-,-,-,1,2,1,5,6,12,-
134b,Kamének měchýře močového,1,-,-,-,-,-,-,-,-,1,-
134c,Kamének bez jiného označení,-,-,-,-,-,-,-,-,-,-,-
135a,Zánět měchýře močového,30,2,-,2,1,1,1,-,3,20,-
135b,Jiné nemoci měchýře močového,3,1,-,-,-,-,-,-,-,2,-
136a,Zúžení roury močové,-,-,-,-,-,-,-,-,-,-,-
136b,"Jiné nemoci roury močové, hlíza močová atd.",17,-,-,-,1,1,2,1,5,7,-
137,Nemoci žlázy předstojné (prostaty),x,x,x,x,x,x,x,x,x,x,x
138,"Nemoci pohlavních ústrojů mužských, neoznačené za venerické",x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,
139a,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria",126,-,-,1,12,35,28,26,10,14,-
139b,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy",61,-,-,-,3,12,17,13,4,12,-
139c,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní",5,-,-,-,1,-,1,-,1,2,-
139d,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné",4,-,-,-,-,-,1,1,1,1,-
,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",994,-,-,-,239,519,229,7,-,-,-
140,Potrat s hnilobou,291,-,-,-,67,137,85,2,-,-,-
141,"Potrat beze zmínky o hnilobě, ale počítaje v to krvácení",31,-,-,-,7,17,7,-,-,-,-
142,Těhotenství mimoděložní,53,-,-,-,6,31,16,-,-,-,-
143,Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení),5,-,-,-,1,3,1,-,-,-,-
144a,Lůžko vcestné,32,-,-,-,5,14,12,1,-,-,-
144b,Jiná krvácení poporodní,54,-,-,-,13,26,15,-,-,-,-
145a,Otrava krve a hniloba krve poporodní,306,-,-,-,97,162,43,4,-,-,-
145b,Ztrnutí poporodní,5,-,-,-,-,4,1,-,-,-,-
146,Močení bílkoviny a božec,96,-,-,-,22,54,20,-,-,-,-
147,Jiné toxaemie v těhotenství,4,-,-,-,3,1,-,-,-,-,-
148a,Bílý bolestný otok dolních končetin a záhať,2,-,-,-,-,1,1,-,-,-,-
148b,Vmetek nebo náhlá smrt poporodní,37,-,-,-,6,23,8,-,-,-,-
149,Jiné příhody při porodu,63,-,-,-,9,38,16,-,-,-,-
150,Jiné nerozlišené příhody stavu poporodního,15,-,-,-,3,8,4,-,-,-,-
,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,408,228,6,2,4,2,9,8,23,126,-
151,Nežitina,132,113,4,-,1,-,1,2,4,7,-
152,"Zánět podkožního vaziva, teplá hlíza",53,24,1,1,2,-,5,2,2,16,-
153,"Jiné nemoci kůže, jejich adnex a podkožního vaziva",223,91,1,1,1,2,3,4,17,103,-
,,,,,,,,,,,,
XIII ,Nemoci kostí a ústrojí pohybu,196,9,10,25,2,7,6,6,15,116,-
154,Zánět dřeně kostní,63,5,6,21,1,2,2,4,9,13,-
155,"Jiné nemoci kostí, vyjma tuberkulosu",102,1,1,1,-,3,2,2,4,88,-
,,,,,,,,,,,,
156a,"Nemoci kloubů, vyjma tuberkulosu a rheumatismus",26,3,3,3,1,1,2,-,1,12,-
156b,Nemoci jiných orgánů pohybu,5,-,-,-,-,1,-,-,1,3,-
,,,,,,,,,,,,
XIV,Vrozené vady tvarové,169,156,13,-,-,-,-,-,-,-,-
157a,Vrozená vodnatelnost mozku,18,14,4,-,-,-,-,-,-,-,-
157b,Rozštěp páteře a kýla omozečnicová,41,39,2,-,-,-,-,-,-,-,-
157c,Vrozený nesprávný tvar srdce,49,45,4,-,-,-,-,-,-,-,-
157d,Zrůdnosti,7,6,1,-,-,-,-,-,-,-,-
157,Jiné vrozené vady tvarové ,54,52,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,2611,2611,-,-,-,-,-,-,-,-,-
158,Vrozená slabost,1205,1205,-,-,-,-,-,-,-,-,-
159,"Předčasné narození, nepočítaje v to mrtvě narozené",936,936,-,-,-,-,-,-,-,-,-
160a,Následky porodu s řezem císařským,3,3,-,-,-,-,-,-,-,-,-
160b,Následky porodu bez řezu císařského,187,187,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
161a,Bezevzduchost plicní,69,69,-,-,-,-,-,-,-,-,-
161b,Žloutenka novorozenců,41,41,-,-,-,-,-,-,-,-,-
161c,Skloerem a jiné,170,170,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XVI ,Stařecká sešlost,7682,-,-,-,-,-,-,-,75,7607,-
162a,Stařecká sešlost se zblbělostí starobní,311,-,-,-,-,-,-,-,9,302,-
162b,Stařecká sešlost bez zblbělosti starobní,7371,-,-,-,-,-,-,-,66,7305,-
,,,,,,,,,,,,
XVII,Smrti násilné a úrazové,2095,39,143,106,335,300,282,243,228,418,1
SE,,1065,0,0,6,220,186,187,163,133,170,0
163,"Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých",175,-,-,-,59,52,32,13,13,6,-
164,Sebevražda jedovatými plyny,51,-,-,-,13,12,12,6,4,4,-
165,Sebevražda oběšením neb uškrcením,459,-,-,1,55,58,72,93,75,105,-
166,Sebevražda utopením,163,-,-,-,26,25,30,24,20,38,-
167,Sebevražda střelnými zbraněmi,52,-,-,-,26,11,10,2,2,1,-
168,Sebevražda nástroji řeznými nebo bodnými,31,-,-,-,5,4,3,10,4,5,-
169,Sebevražda skokem s vyvýšeného místa,29,-,-,1,4,5,10,2,4,3,-
170,Sebevražda rozdrcením,69,-,-,4,25,13,9,6,6,6,-
171,Jiné sebevraždy,36,-,-,-,7,6,9,7,5,2,-
NA,,145,21,7,10,42,27,20,9,4,5,0
172a,Vražda dítěte (dítě do 1 roku): přímo po narození,9,9,-,-,-,-,-,-,-,-,-
172b,Vražda dítěte (dítě do 1 roku): jiná do jednoho roku,12,12,-,-,-,-,-,-,-,-,-
173,Vražda nebo zabití střelnou zbraní (osoby starší 1 roku),74,-,-,3,34,18,12,5,2,-,-
174,Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku),16,-,-,1,3,7,2,1,1,1,-
175,Jiné vraždy nebo zabití osob starších 1 roku,34,-,7,6,5,2,6,3,1,4,-
176,Napadení jedovatými zvířaty,1,-,-,-,-,-,-,-,-,1,-
177,Otrava potravinami,13,-,-,3,2,-,-,1,6,1,-
178,Vdechování jedovatých plynů,20,1,4,-,5,2,3,2,1,2,-
179,"Jiné nahodilé prudké otravy, vyjma otravy plynem",13,-,2,2,1,2,2,2,-,2,-
180,Následky ohně při požáru,9,-,-,2,-,1,2,1,-,3,-
181,Popálení úrazové (jiné než při požáru),151,3,49,19,10,11,10,13,13,23,-
182,Nahodilé mechanické zadušení,21,11,1,2,3,2,-,-,1,1,-
183,Nahodilé utopení,105,2,44,13,12,8,5,2,6,13,-
184,"Poranění střelnými zbraněmi, vyjma poranění válečná",10,-,-,1,1,4,2,-,-,2,-
185,"Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná",6,-,2,-,-,1,1,-,-,2,-
186,"Poranění pádem, rozdrcením, sřícením",186,-,17,20,21,22,14,12,18,62,-
187,"Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom",-,-,-,-,-,-,-,-,-,-,-
188,Poranění způsobená zvířaty,7,-,1,1,-,-,-,1,1,3,-
189,Hlad a žízeň,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,6,-,-,-,-,-,-,-,2,4,-
191,Neobvyklé teplo,-,-,-,-,-,-,-,-,-,-,-
192,Blesk,13,-,-,2,-,4,3,1,1,2,-
193,Úrazy způsobené proudem elektrickým,8,-,-,4,1,2,-,1,-,-,-
194a,Jiné úrazy: cizí tělesa,6,-,2,-,-,1,2,-,-,1,-
194b,Jiné úrazy: jiné,301,1,14,21,15,25,28,34,42,120,1
195,"Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma",9,-,-,-,2,2,3,1,-,1,-
,"Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:",,,,,,,,,,,
A,v dolech a lomech,2,-,-,-,1,-,1,-,-,-,-
B,způsobených stroji,5,-,1,1,1,1,-,1,-,-,-
DN,prostředky dopravními,119,-,16,12,18,21,8,11,9,24,-
a,železnicemi a tramvajemi,31,-,2,3,4,8,3,4,2,5,-
b,automobily a motocykly,72,-,10,8,12,11,5,4,6,16,-
c,jinými pozemními prostředky dopravními,15,-,4,1,1,-,2,1,3,3,-
d,při dopravě po vodě,-,-,-,-,-,-,-,-,-,-,-
e,při dopravě vzduchem,1,-,-,-,1,-,-,-,-,-,-
198,Soudní poprava,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XVIII,Neurčité příčiny úmrtí,324,39,10,12,9,18,14,34,78,110,-
199,Náhlá smrt,24,4,-,-,2,1,2,4,4,7,-
200,Nerozlišené nebo nedostatečně určené příčiny,300,35,10,12,7,17,12,30,74,103,-
