1937,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno,
43,Mykosy,6,-,-,-,1,2,1,1,1,-,-,
44,Jiné nemoci nakažlivé nebo cizopasníky působené,7,3,2,1,-,1,-,-,-,-,-,
,,,,,,,,,,,,,
II,Rakoviny a jiné nádory,7920,6,19,39,44,115,372,1001,2236,4088,-,
45,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu,279,-,1,-,1,4,9,21,71,172,-,
,,,,,,,,,,,,,
46a,Rakovina a jiné zhoubné nádory: požeráku,532,-,-,-,-,1,11,48,154,318,-,
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,3490,-,-,-,1,27,158,429,1031,1844,-,
46c,Rakovina a jiné zhoubné nádory: konečníku,507,-,-,1,3,7,8,57,153,278,-,
46d,Rakovina a jiné zhoubné nádory: jater a žlučovodů,558,-,-,-,-,1,24,53,167,313,-,
46,Rakovina a jiné zhoubné nádory: slinivky břišní,96,-,-,-,2,1,3,18,37,35,-,
46f,Rakovina a jiné zhoubné nádory: pobřišnice,39,-,-,-,-,1,3,8,11,16,-,
46g,Rakovina a jiné zhoubné nádory: jiné nádory roury zažívací a pobřišnice,454,-,-,3,2,10,21,45,120,253,-,
47,Rakovina a jiné zhoubné nádory: ústrojí dýchacího,477,-,-,-,2,5,33,124,168,145,-,
48,Rakovina a jiné zhoubné nádory: dělohy,x,x,x,x,x,x,x,x,x,x,x,
49,Rakovina a jiné zhoubné nádory: jiných pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,
50,Rakovina a jiné zhoubné nádory: prsů,5,-,-,-,-,-,-,2,-,3,-,
51,Rakovina a jiné zhoubné nádory: pohlavních a močových ústrojů mužských,506,-,3,4,1,10,11,33,118,326,-,
52,Rakovina a jiné zhoubné nádory: kůže,137,1,1,-,-,-,3,13,20,99,-,
53,Rakovina a jiné zhoubné nádory: jiných ústrojů neb ústrojů nerozlišených,480,1,4,10,19,26,40,78,112,190,-,
,,,,,,,,,,,,,
54a,Nádory nezhoubné: pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,
54b,Nádory nezhoubné: jiných ústrojů,9,-,2,-,1,-,-,3,1,2,-,
,,,,,,,,,,,,,
55a,"Nádory, jichž zhoubný ráz není rozlišen: pohlavních ústrojů ženských", x,x,x,x,x,x,x,x,x,x,x,
55b,"Nádory, jichž zhoubný ráz není rozlišen: jiných ústrojů",351,4,8,21,12,22,48,69,73,94,-,
,,,,,,,,,,,,,
III,"Nemoci rheumatické, nemoci výživové, nemoci endokrinních žláz a jiné nemoci celkové",1123,116,31,44,43,41,58,98,234,458,-,
56,"Rheumatismus kloubní prudký, horečnatý",73,-,5,28,11,9,8,6,2,4,-,
57,"Rheumatismus vleklý, osteoarthritis",110,-,-,1,1,1,7,6,17,77,-,
58,Dna,5,-,-,-,-,-,-,-,-,5,-,
59,Úplavice cukrová,716,3,2,10,20,24,32,72,199,354,-,
,Kurděje,-,-,-,-,-,-,-,-,-,-,-,
60a,Dětské kurděje,1,1,-,-,-,-,-,-,-,-,-,
60b,Kurděje,-,-,-,-,-,-,-,-,-,-,-,
62,Pellagra,1,-,-,-,-,-,1,-,-,-,-,
63,Křivice,74,53,15,2,-,1,2,-,1,-,-,
64,Měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,
65,Nemoci podvěsku mozkového,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,
66a,Nemoci žlázy štítné a přídavných žlázek štítných: vole prosté,15,-,-,-,2,2,-,3,2,6,-,
66b,Nemoci žlázy štítné a přídavných žlázek štítných: vole exopthalmické,25,-,1,-,3,4,2,4,5,6,-,
66c,Nemoci žlázy štítné a přídavných žlázek štítných: myxoedem a kretismus,16,-,4,1,3,-,-,3,5,-,-,
66d,Nemoci žlázy štítné a přídavných žlázek štítných: tetanie,49,46,1,1,1,-,-,-,-,-,-,
66,Nemoci žlázy štítné a přídavných žlázek štítných: jiné,-,-,-,-,-,-,-,-,-,-,-,
67,Nemoci brzlíku,17,13,3,-,1,-,-,-,-,-,-,
68,"Nemoci nadledvinek (nemoc Addisonova), neoznačené za tuberkulosní ",9,-,-,-,1,-,4,2,1,1,-,
69,"Jiné nemoci rheumatické, výživové, endokrinních žláz",12,-,-,1,-,-,2,2,2,5,-,
,,,,,,,,,,,,,
IV ,Nemoci krve a ústrojů krvetvorných,402,18,13,30,28,46,47,53,70,97,-,
,,,,,,,,,,,,,
70a,Stavy krvácivé: purpury prvotní,5,1,-,1,1,-,1,-,1,-,-,
70b,Stavy krvácivé: vrozená krvácivost,11,4,-,1,2,2,-,1,-,1,-,
71a,Postupná zhoubná chudokrevnost,96,4,-,2,4,5,8,12,25,36,-,
71b,Jiné chudokrevnosti,17,6,1,-,1,2,-,1,2,4,-,
72a,Bělokrevnost pravá,175,1,9,19,11,21,23,25,27,39,-,
72b,Bělokrevnost nepravá,83,-,2,6,9,14,13,11,12,16,-,
73,Nemoci sleziny,8,2,1,-,-,-,2,1,2,-,-,
74,Jiné nemoci krve a ústrojů krvetvorných,7,-,-,1,-,2,-,2,1,1,-,
,,,,,,,,,,,,,
V,Otravy vleklé a prudké,106,-,-,-,2,4,13,17,29,41,-,
75,Alkoholismus vleklý nebo prudký,96,-,-,-,2,4,9,15,27,39,-,
,,,,,,,,,,,,,
76a,Vleklé otravy látkami anorganickými: živnostenské,-,-,-,-,-,-,-,-,-,-,-,
76b,Vleklé otravy látkami anorganickými: jiné,4,-,-,-,-,-,3,-,1,-,-,
,,,,,,,,,,,,,
77a,Vleklé otravy látkami organickými: živnostenské,5,-,-,-,-,-,1,2,1,1,-,
77b,Vleklé otravy látkami organickými: jiné,1,-,-,-,-,-,-,-,-,1,-,
,,,,,,,,,,,,,
DU,,168,0,0,2,9,13,24,28,39,53,0,
,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a čidel,6839,840,131,140,141,178,398,589,1148,3274,-,
,,,,,,,,,,,,,
78a,Zánět mozku: hlíza mozková,26,1,3,3,4,6,2,5,-,2,-,
78b,Zánět mozku: jiné záněty mozku,64,8,8,8,7,2,7,12,6,6,-,
79,Prostý zánět plen mozkových,343,66,68,67,30,23,26,32,16,15,-,
80,Úbyt míchy,137,-,-,-,2,2,23,26,48,36,-,
81,Jiné nemoci míchy,165,1,-,6,12,12,16,35,35,48,-,
82a,Krvácení mozkové ,3880,-,1,1,12,22,89,268,780,2707,-,
82b,Vmetek nebo záhať mozková,223,-,-,2,-,4,10,16,55,136,-,
82c,Jednostranná obrna těla a příčiny nerozlišené,264,4,4,-,2,5,11,16,51,171,-,
83,Postupná obrna povšechná,358,-,-,2,2,16,124,100,72,42,-,
84a,Předčasná zblbělost,11,-,-,-,1,2,2,3,2,1,-,
84b,Jiné psychosy,61,-,-,2,6,7,13,10,10,13,-,
85,Padoucnice,174,1,-,15,34,37,33,17,22,15,-,
86,Křeče u dětí mladších 6 let,721,692,29,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,
87b,Jiné nemoci soustavy nervové: neuritis,4,-,1,-,-,-,2,-,1,-,-,
87c,Jiné nemoci soustavy nervové: obrna třesavá,54,2,1,2,-,4,3,4,12,26,-,
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,128,1,4,3,6,17,16,27,17,37,-,
"87a,e",Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové,53,1,2,6,4,8,5,11,10,6,-,
88,Nemoci oční,-,-,-,-,-,-,-,-,-,-,-,
89a,Zánět ušní,167,62,10,22,18,11,15,7,10,12,-,
89b,Jiné nemoci ucha a dutiny výčnělku soscovitého,6,1,-,1,1,-,1,-,1,1,-,
,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,13943,59,32,118,148,285,582,1247,2849,8623,-,
90,Zánět osrdečníku,20,1,1,4,-,1,1,3,4,5,-,
91,Prudký zánět nitroblány srdeční,75,3,3,15,16,16,13,3,2,4,-,
92,"Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní",1227,2,2,37,41,89,125,187,288,456,-,
93a,Prudký zánět svalu srdečního,109,5,4,10,6,19,32,8,5,20,-,
93b,Vleklý zánět svalu srdečního a zvrhlost svalu srdečního,5343,13,9,6,15,36,129,324,964,3847,-,
93c,Nerozlišené nemoci svalu srdečního,992,-,-,-,-,-,2,111,212,667,-,
94,Nemoci tepen věnčitých,913,-,-,-,-,6,50,144,309,404,-,
95a,Funkcionální nemoci srdce,2,-,-,-,-,-,1,-,-,1,-,
95b,Jiné a nerozlišené nemoci srdeční,2969,21,13,43,67,104,187,358,729,1447,-,
96,"Výduť, vyjma výduť srdeční",123,-,-,-,-,3,12,22,48,38,-,
97,"Zkornatění tepen, vyjma nemocí tepen věnčitých",1854,-,-,-,-,2,10,45,227,1570,-,
98a,Sněť stařecká,99,-,-,-,-,-,-,-,8,91,-,
98b,Jiné sněti,33,1,-,-,-,1,5,5,14,7,-,
99,Jiné nemoci tepen,76,1,-,1,-,1,8,16,19,30,-,
100,"Nemoci žil: městky, městky konečníkové, zánět žil atd.",72,-,-,1,2,4,7,18,16,24,-,
101,"Nemoci soustavy mízní, zánět mízních cév atd.",23,12,-,-,1,3,-,1,3,3,-,
102,Idiopathické anomalie tlaku krevního,2,-,-,-,-,-,-,2,-,-,-,
103,Jiné nemoci ústrojí oběhu krevního,11,-,-,1,-,-,-,-,1,9,-,
,,,,,,,,,,,,,
VIII,Nemoci ústrojí dýchacího,8651,2154,474,140,139,205,301,540,1072,3625,1,
104,Nemoci dutin nosních a adnex,11,4,2,-,1,2,-,2,-,-,-,
105,Nemoci hrtanu,26,12,6,3,-,-,2,-,2,1,-,
106a,Zánět průdušek prudký,181,107,14,1,-,-,1,2,9,47,-,
106b,Zánět průdušek vleklý,446,20,6,1,1,4,5,25,78,306,-,
106c,Zánět průdušek nerozlišený,477,172,16,1,2,2,6,18,35,225,-,
107,"Lalůčkový zánět plic, počítaje v to zánět průdušinek",2587,1204,187,28,17,42,50,102,191,765,1,
108,Lalokový zánět plic,1372,192,99,46,47,59,94,121,215,499,-,
109,Zánět plic nerozlišený,1748,406,109,32,34,58,71,100,214,724,-,
110,Zánět pohrudnice,430,29,29,22,23,18,28,61,84,136,-,
111,"Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic",214,7,4,2,3,3,8,15,32,140,-,
112,Záducha,355,-,-,-,-,2,6,22,73,252,-,
113,Rozedma plicní,635,-,-,-,1,3,8,28,94,501,-,
114a,"Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího",11,-,-,-,-,-,-,3,6,2,-,
114b,"Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu",158,1,2,4,10,12,22,41,39,27,-,
,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,4750,1649,166,143,152,206,344,458,638,994,-,
115,"Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby",136,22,10,18,21,16,11,11,11,16,-,
116,Nemoci požeráku,13,1,-,-,1,-,2,2,4,3,-,
117a,Vřed žaludeční,535,-,-,1,11,45,113,113,148,104,-,
117b,Vřed dvanáctníkový,142,-,-,1,4,15,32,47,26,17,-,
118,Jiné nemoci žaludeční (vyjma rakovinu),73,1,1,-,1,2,5,6,15,42,-,
119,Průjem a katar střevní - u dětí do 2 roků,1627,1557,70,-,-,-,-,-,-,-,-,
120a,"Průjem, katar střevní (ve věku 2 roků a výše)",126,-,19,14,4,6,5,8,13,57,-,
120b,Vředy střevní (ve věku 2 roků a výše),14,-,-,1,1,3,2,2,1,4,-,
121,Zánět červíkovitého přívěsku,422,3,35,70,76,51,56,51,37,43,-,
122a,Kýla,260,17,5,2,1,1,7,13,44,170,-,
122b,Neprůchodnost střeva,260,17,8,10,8,13,16,28,49,111,-,
123,Jiné nemoci střevní,38,1,2,3,-,1,-,5,9,17,-,
124a,Svraštění jater alkoholické,29,-,-,-,-,-,2,5,11,11,-,
124b,Svraštění jater neoznačené za alkoholické,552,-,-,1,5,15,57,89,157,228,-,
125,Jiné nemoci jater (počítaje v to náhlý úbyt jater),134,4,1,5,8,12,7,19,24,54,-,
126,Kaménky žlučové,64,-,-,-,-,1,6,11,21,25,-,
127,Jiné nemoci žlučníku a žlučovodů,93,1,-,-,-,4,7,10,23,48,-,
128,Nemoci slinivky břišní,35,1,-,-,2,4,4,6,11,7,-,
129,"Zánět pobřišnice, bez označené příčiny",197,24,15,17,9,17,12,32,34,37,-,
,,,,,,,,,,,,,
X,Nemoci ústrojí močového a ústrojí pohlavního,2489,14,18,41,54,101,165,244,442,1410,-,
130,Prudký zánět ledvin,73,3,14,20,7,5,9,2,9,4,-,
131,Vleklý zánět ledvin,1048,1,2,9,25,56,114,179,276,386,-,
132,Nerozlišený zánět ledvin,203,-,-,8,10,18,24,20,42,81,-,
133a,Zánět pánvice ledvinné,106,4,2,1,6,8,7,13,14,51,-,
133b,Jiné nemoci ledvin a močovodů,22,-,-,1,1,2,2,3,6,7,-,
134a,Kamének ledvin a horních cest močových,27,-,-,-,1,6,1,6,2,11,-,
134b,Kamének měchýře močového,39,-,-,1,-,3,1,4,4,26,-,
134c,Kamének bez jiného označení,2,-,-,-,-,1,-,1,-,-,-,
135a,Zánět měchýře močového,65,3,-,-,-,-,1,-,6,55,-,
135b,Jiné nemoci měchýře močového,18,-,-,-,-,-,-,-,-,18,-,
136a,Zúžení roury močové,13,-,-,1,-,-,3,1,2,6,-,
136b,"Jiné nemoci roury močové, hlíza močová atd.",52,-,-,-,3,1,-,2,10,36,-,
137,Nemoci žlázy předstojné (prostaty),809,-,-,-,-,-,1,12,70,726,-,
138,"Nemoci pohlavních ústrojů mužských, neoznačené za venerické",11,2,-,-,1,1,2,1,1,3,-,
,,,,,,,,,,,,,
139a,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria",x,x,x,x,x,x,x,x,x,x,x,
139b,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy",x,x,x,x,x,x,x,x,x,x,x,
139c,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní",1,1,-,-,-,-,-,-,-,-,-,
139d,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné",-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",x,x,x,x,x,x,x,x,x,x,x,
140,Potrat s hnilobou,x,x,x,x,x,x,x,x,x,x,x,
141,"Potrat beze zmínky o hnilobě, ale počítaje v to krvácení",x,x,x,x,x,x,x,x,x,x,x,
142,Těhotenství mimoděložní,x,x,x,x,x,x,x,x,x,x,x,
143,Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení),x,x,x,x,x,x,x,x,x,x,x,
144a,Lůžko vcestné,x,x,x,x,x,x,x,x,x,x,x,
144b,Jiná krvácení poporodní,x,x,x,x,x,x,x,x,x,x,x,
145a,Otrava krve a hniloba krve poporodní,x,x,x,x,x,x,x,x,x,x,x,
145b,Ztrnutí poporodní,x,x,x,x,x,x,x,x,x,x,x,
146,Močení bílkoviny a božec,x,x,x,x,x,x,x,x,x,x,x,
147,Jiné toxaemie v těhotenství,x,x,x,x,x,x,x,x,x,x,x,
148a,Bílý bolestný otok dolních končetin a záhať,x,x,x,x,x,x,x,x,x,x,x,
148b,Vmetek nebo náhlá smrt poporodní,x,x,x,x,x,x,x,x,x,x,x,
149,Jiné příhody při porodu,x,x,x,x,x,x,x,x,x,x,x,
150,Jiné nerozlišené příhody stavu poporodního,x,x,x,x,x,x,x,x,x,x,x,
,,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,342,211,3,2,7,3,13,11,21,71,-,
151,Nežitina,138,106,2,1,4,1,8,4,4,8,-,
152,"Zánět podkožního vaziva, teplá hlíza",36,15,-,-,1,-,1,4,5,10,-,
153,"Jiné nemoci kůže, jejich adnex a podkožního vaziva",168,90,1,1,2,2,4,3,12,53,-,
,,,,,,,,,,,,,
XIII ,Nemoci kostí a ústrojí pohybu,186,1,7,51,15,10,13,17,11,61,-,
154,Zánět dřeně kostní,114,1,5,51,11,8,8,12,6,12,-,
155,"Jiné nemoci kostí, vyjma tuberkulosu",55,-,2,-,2,-,1,3,1,46,-,
,,,,,,,,,,,,,
156a,"Nemoci kloubů, vyjma tuberkulosu a rheumatismus",16,-,-,-,2,2,3,2,4,3,-,
156b,Nemoci jiných orgánů pohybu,1,-,-,-,-,-,1,-,-,-,-,
,,,,,,,,,,,,,
XIV,Vrozené vady tvarové,260,243,16,1,-,-,-,-,-,-,-,
157a,Vrozená vodnatelnost mozku,33,25,8,-,-,-,-,-,-,-,-,
157b,Rozštěp páteře a kýla omozečnicová,24,24,-,-,-,-,-,-,-,-,-,
157c,Vrozený nesprávný tvar srdce,114,107,6,1,-,-,-,-,-,-,-,
157d,Zrůdnosti,8,8,-,-,-,-,-,-,-,-,-,
157,Jiné vrozené vady tvarové ,81,79,2,-,-,-,-,-,-,-,-,0
,,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,2949,2949,-,-,-,-,-,-,-,-,-,
158,Vrozená slabost,1147,1147,-,-,-,-,-,-,-,-,-,
159,"Předčasné narození, nepočítaje v to mrtvě narozené",1162,1162,-,-,-,-,-,-,-,-,-,
160a,Následky porodu s řezem císařským,1,1,-,-,-,-,-,-,-,-,-,
160b,Následky porodu bez řezu císařského,278,278,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,
161a,Bezevzduchost plicní,86,86,-,-,-,-,-,-,-,-,-,
161b,Žloutenka novorozenců,71,71,-,-,-,-,-,-,-,-,-,
161c,Skloerem a jiné,204,204,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,
XVI ,Stařecká sešlost,5121,-,-,-,-,-,-,-,45,5076,-,
162a,Stařecká sešlost se zblbělostí starobní,178,-,-,-,-,-,-,-,9,169,-,
162b,Stařecká sešlost bez zblbělosti starobní,4943,-,-,-,-,-,-,-,36,4907,-,
,,,,,,,,,,,,,
XVII,Smrti násilné a úrazové,5197,39,180,247,824,974,768,696,621,845,3,
SE,,2540,0,0,19,405,460,399,391,361,505,0,
163,"Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých",100,-,-,-,18,24,18,19,12,9,-,
164,Sebevražda jedovatými plyny,33,-,-,-,2,12,6,6,6,1,-,
165,Sebevražda oběšením neb uškrcením,1481,-,-,15,131,224,228,243,255,385,-,
166,Sebevražda utopením,134,-,-,-,23,21,26,18,15,31,-,
167,Sebevražda střelnými zbraněmi,499,-,-,2,153,113,86,62,41,42,-,
168,Sebevražda nástroji řeznými nebo bodnými,55,-,-,-,3,14,8,10,11,9,-,
169,Sebevražda skokem s vyvýšeného místa,19,-,-,1,-,1,1,3,5,8,-,
170,Sebevražda rozdrcením,159,-,-,1,62,40,21,14,10,11,-,
171,Jiné sebevraždy,60,-,-,-,13,11,5,16,6,9,-,
NA,,84,19,5,8,3,16,17,8,7,1,0,
172a,Vražda dítěte (dítě do 1 roku): přímo po narození,13,13,-,-,-,-,-,-,-,-,-,
172b,Vražda dítěte (dítě do 1 roku): jiná do jednoho roku,6,6,-,-,-,-,-,-,-,-,-,
173,Vražda nebo zabití střelnou zbraní (osoby starší 1 roku),19,-,1,1,1,4,6,3,3,-,-,
174,Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku),19,-,1,2,1,9,3,3,-,-,-,
175,Jiné vraždy nebo zabití osob starších 1 roku,25,-,3,5,1,3,6,2,4,1,-,
176,Napadení jedovatými zvířaty,2,-,1,-,-,-,1,-,-,-,-,
177,Otrava potravinami,13,-,-,2,2,-,4,-,2,3,-,
178,Vdechování jedovatých plynů,43,1,1,1,8,7,8,3,9,5,-,
179,"Jiné nahodilé prudké otravy, vyjma otravy plynem",30,-,8,2,1,4,5,3,3,4,-,
180,Následky ohně při požáru,7,-,1,-,-,-,-,1,1,3,1,
181,Popálení úrazové (jiné než při požáru),110,8,54,4,6,10,10,7,3,8,-,
182,Nahodilé mechanické zadušení,39,6,4,4,5,4,4,6,4,2,-,
183,Nahodilé utopení,334,1,46,73,91,37,18,15,26,26,1,
184,"Poranění střelnými zbraněmi, vyjma poranění válečná",39,-,-,9,13,7,4,3,2,1,-,
185,"Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná",19,-,1,3,3,6,2,2,1,1,-,
186,"Poranění pádem, rozdrcením, sřícením",692,-,13,43,115,175,123,92,51,80,-,
187,"Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom",-,-,-,-,-,-,-,-,-,-,-,
188,Poranění způsobená zvířaty,28,-,-,1,-,7,1,10,4,5,-,
189,Hlad a žízeň,1,-,-,-,-,1,-,-,-,-,-,
190,Neobvyklá zima,37,-,-,1,3,-,2,9,1,21,-,
191,Neobvyklé teplo,10,1,1,1,-,1,1,-,3,2,-,
192,Blesk,43,-,1,5,5,10,8,5,4,5,-,
193,Úrazy způsobené proudem elektrickým,68,-,3,10,17,19,11,5,3,-,-,
194a,Jiné úrazy: cizí tělesa,10,2,4,-,1,-,-,1,2,-,-,
194b,Jiné úrazy: jiné,1044,1,37,61,146,209,150,135,131,173,1,
195,"Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma",4,-,-,-,-,1,-,-,3,-,-,
,"Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:",,,,,,,,,,,,
A,v dolech a lomech,120,-,-,-,5,36,43,26,10,-,-,
B,způsobených stroji,30,-,2,-,4,7,6,5,4,2,-,
DN,prostředky dopravními,1729,11,107,111,262,358,236,206,177,260,1,
a,železnicemi a tramvajemi,125,-,3,6,13,39,21,23,10,10,-,
b,automobily a motocykly,244,-,8,30,55,64,33,24,13,17,-,
c,jinými pozemními prostředky dopravními,62,-,2,7,12,7,5,8,7,14,-,
d,při dopravě po vodě,-,-,-,-,-,-,-,-,-,-,-,
e,při dopravě vzduchem,37,-,-,-,22,12,2,1,-,-,-,
198,Soudní poprava,2,-,-,-,-,-,2,-,-,-,-,
,,,,,,,,,,,,,
XVIII,Neurčité příčiny úmrtí,284,21,7,8,5,9,19,40,84,90,1,
199,Náhlá smrt,32,2,-,-,1,-,3,9,9,8,-,
200,Nerozlišené nebo nedostatečně určené příčiny,252,19,7,8,4,9,16,31,75,82,1,
