1929,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",844,1,2,3,9,53,66,301,409,-
46,Rakovina neb jiné zhoubné nádory rodidel,1507,-,-,-,16,167,319,642,363,x
47,Rakovina neb jiné zhoubné nádory prsu,489,-,-,-,2,39,105,184,159,-
48,Rakovina neb jiné zhoubné nádory kůže,92,-,-,-,1,3,4,15,69,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,769,4,6,2,16,63,83,267,328,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",157,5,4,2,6,15,25,37,63,-
51,Prudký horečatý hostec kloubní,33,2,3,10,7,9,-,1,1,-
52,"Vleklý hostec, dna",194,-,-,-,1,2,14,43,134,-
53,Kurděje,1,-,-,-,1,-,-,-,-,-
56,Křivice,81,51,29,1,-,-,-,-,-,-
57,Cukrovka,502,-,1,11,21,32,39,201,197,-
59,Nedokrevnost zhoubná,162,-,8,1,12,25,27,49,40,-
58a,Jiné nedokrevnosti a blednička,24,4,-,1,1,4,7,4,3,-
58b,Nemoci hypophysy,3,-,-,-,-,-,-,2,1,-
60a,Basedowova nemoc,99,-,-,-,3,20,18,41,17,-
60b,Jiná onemocnění štítné žlázy,24,-,1,5,3,3,1,7,4,-
61,Nemoci žlázek přištítných,32,27,2,-,-,1,1,1,-,-
62,Nemoci brzlíku,21,17,2,1,1,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),8,-,-,-,2,5,-,-,1,-
64,Nemoci sleziny,8,1,1,-,-,1,-,3,2,-
65,Bělokrevnost neb Hodgkinova nemoc,102,3,5,8,5,18,12,34,17,-
66,Alkoholismus,25,-,-,-,-,-,3,16,6,-
67,Vleklé otravy nerostnými látkami,-,-,-,-,-,-,-,-,-,-
68,Vleklé otravy ústrojnými látkami,-,-,-,-,-,-,-,-,-,-
69,Ostatní celkové nemoci,37,7,2,2,7,5,3,4,7,-
,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,7024,1223,218,139,133,340,401,1367,3203,-
70,Zánět mozku,73,5,11,6,15,18,7,5,6,-
71,Zánět mozkových blan,411,100,109,83,37,33,18,23,8,-
72,Úbytě míchy,116,-,-,-,1,11,22,52,30,-
73,Jiné choroby míchy,225,-,3,6,13,32,40,70,61,-
74a,Výlev krevní do mozku,3879,-,2,1,9,50,162,954,2701,-
74b,Záhať žil mozkových,39,-,-,-,2,7,4,8,18,-
75a,Jednostranná obrna těla,169,-,1,1,-,4,11,34,118,-
75b,Paralysis progressiva,155,-,-,-,-,42,34,51,28,-
75c,Jiné obrny,68,-,3,2,1,7,5,17,33,-
76,Ochrnutí spojené s duševní chorobou,2,-,-,-,-,-,-,-,2,-
77,Jiné duševní choroby,94,-,-,2,5,12,12,27,36,-
78,Padoucnice,127,1,4,5,22,47,22,13,13,-
79,Božec nepuerperální,12,-,-,3,3,4,1,-,1,-
80,Křeče u dětí,1165,1099,66,-,-,-,-,-,-,-
81,Posunčina,1,-,-,-,-,-,1,-,-,-
82b,Zánět nervů,21,-,-,1,-,2,4,7,7,-
83,Změknutí mozku,87,-,-,-,-,3,5,20,59,-
84,Ostatní choroby systému nervového,299,7,8,16,13,57,51,75,72,-
86,Choroby ucha nebo dutin mastoideu,81,11,11,13,12,11,2,11,10,-
,,,,,,,,,,,
V,Choroby oběhu krevního,13834,55,41,151,248,607,913,3450,8369,-
87,Zánět osrdce,18,-,-,3,-,3,-,3,9,-
88,Prudký zánět nitroblány nebo svalu srdečního,163,3,6,22,34,57,37,2,2,-
89,Srdeční angina,136,-,-,-,-,3,8,37,88,-
90,Jiné nemoci srdce,11218,37,33,125,205,509,807,3075,6427,-
91a,Výduť,52,-,-,-,2,4,4,24,18,-
91b,Zkornatění a jiné choroby tepen,2009,-,-,-,-,5,15,234,1755,-
92,Záhať (nikoliv mozkový),133,-,-,1,3,15,25,45,44,-
93,Choroby žil,79,2,-,-,4,10,15,28,20,-
94,Choroby systému mízního,21,13,2,-,-,-,1,2,3,-
95,Ostatní choroby oběhu krevního,5,-,-,-,-,1,1,-,3,-
96,Ostatní choroby oběhu krevního,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,9693,2392,736,171,155,362,295,1307,4275,-
97,Choroby dutin nosních a jejich adnex,5,-,2,1,-,-,1,-,1,-
98,Choroby hrtanu,28,12,9,-,1,1,-,2,3,-
99a,Zánět průdušek prudký,372,281,16,3,-,1,4,7,60,-
99b,Zánět průdušek vleklý,406,22,10,2,2,3,6,58,303,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),253,193,60,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),525,-,-,10,2,5,9,66,433,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,2245,959,271,32,22,58,47,180,676,-
101a,Zánět plic lalokový,1085,155,66,27,31,83,60,239,424,-
101b,Zánět plic bez bližšího označení,3160,739,265,85,63,157,122,456,1273,-
102,Zánět pohrudnice,330,16,34,10,27,30,24,68,121,-
103,Překrvení nebo krvácení parenchymatosní plic,177,5,2,-,3,3,5,22,137,-
104,Sněť plicní,33,-,-,1,3,6,2,12,9,-
105,Záducha,206,3,-,-,-,5,6,50,142,-
106,Rozedma plic,817,-,-,-,1,3,3,137,673,-
107,Ostatní choroby ústrojí dýchacího,51,7,1,-,-,7,6,10,20,-
,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,5691,3024,282,180,160,369,239,614,823,-
108b,Choroby ústní dutiny a jejich adnex,14,7,2,1,-,2,-,2,-,-
109,Choroby hltanu nebo mandlí,127,16,23,38,16,19,6,3,6,-
110,Choroby jícnu,4,-,-,-,1,1,-,1,1,-
111a,Vřed žaludeční,184,2,-,2,7,28,25,69,51,-
111b,Vřed dvanácterníku,32,-,1,-,2,5,8,7,9,-
112,Jiné choroby žaludeční,52,2,2,1,2,4,4,17,20,-
113,Průjem a zánět střev (pod 2 roky),3127,2959,168,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),248,-,43,34,8,8,13,30,112,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,-,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,295,3,12,57,48,69,26,48,32,-
118a,Kýla ,267,2,1,1,2,7,16,79,159,-
118b,Záhať střevní,250,11,3,2,6,27,20,52,129,-
119b,Jiné choroby střev,51,3,-,-,1,17,3,9,18,-
120,Prudká atrofie jater,44,-,-,2,3,12,6,11,10,-
121,Hydativní nádor jater,1,-,-,-,-,1,-,-,-,-
122a,Svraštění jater alkoholické,2,-,-,-,-,1,-,1,-,-
122b,Svraštění jater neoznačené jako alkoholické,238,-,-,1,5,13,23,99,97,-
123,Žlučové kaménky,147,-,-,-,3,18,22,56,48,-
124,Jiné choroby jater,174,-,2,-,-,18,17,65,72,-
125,Choroby mikteru,29,1,-,-,2,5,3,15,3,-
126,Zánět pobřišnice bez označení příčiny,405,18,25,41,54,114,47,50,56,-
,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,1984,35,29,48,102,294,310,567,599,-
128,Prudký zánět ledvin,98,13,19,22,10,11,7,5,11,-
129,Vleklý zánět ledvin,1463,1,7,21,60,187,219,488,480,-
130,Chylurie, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,86,18,2,2,3,8,7,22,24,-
132,Močové kaménky,11,-,-,-,-,1,2,3,5,-
133,Choroby měchýře,40,1,1,1,-,4,2,7,24,-
134,Choroby močové roury,7,1,-,-,-,1,-,-,5,-
135,Choroby žlázy předstojné,x,x,x,x,x,x,x,x,x,-
136,Nevenerické choroby mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,-
137,Boubel a jiné nezhoubné nádory vaječníku,46,-,-,1,4,13,6,6,16,-
138,Zánět vejcovodu nebo vřed v pánvi,47,-,-,1,11,21,11,2,1,-
139,Nádory děložní,85,-,-,-,2,11,41,19,12,-
140,Nepuerperální krvácení z dělohy,10,-,-,-,1,2,1,6,-,-
141,Ostatní choroby rodidel,86,-,-,-,10,35,14,9,18,-
142,Nepuerperální choroby prsu,5,1,-,-,1,-,-,-,3,-
,,,,,,,,,,,
IX,Puerperální stav,1026,-,-,1,251,672,102,-,-,-
143a,Potrat ,66,-,-,-,16,43,7,-,-,-
143b,Mimoděložní těhotenství,52,-,-,-,5,40,7,-,-,-
143c,Jiné nehody těhotenské,2,-,-,-,-,2,-,-,-,-
144,Krvácení těhotných a v šestinedělí,100,-,-,-,17,70,13,-,-,-
145,Jiné nehody při porodu,89,-,-,-,11,61,17,-,-,-
146,Horečka omladnic,606,-,-,1,166,386,53,-,-,-
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",13,-,-,-,3,10,-,-,-,-
148,Albuminurie nebo božec v šestinedělí,84,-,-,-,31,48,5,-,-,-
149,Následky porodu (bez bližšího označení),14,-,-,-,2,12,-,-,-,-
150,Puerperální choroby prsu,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
X,Choroby kůže a vaziva,578,340,6,3,3,14,12,35,165,-
151,Sněť,122,6,-,1,-,3,5,14,93,-
152,Nežit,222,202,3,2,1,3,-,6,5,-
153,"Zánět podkožního vaziva, horečnatý vřed",78,47,3,-,2,4,4,4,14,-
155,Ostatní choroby kůže neb jejich adnex,156,85,-,-,-,4,3,11,53,-
,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,146,7,4,24,7,17,8,31,48,-
156,Choroby kostí,104,7,4,13,3,13,4,24,36,-
157,Choroby kloubů,36,-,-,11,2,3,4,6,10,-
158,Ostatní choroby kostí nebo ústrojí pohybového,6,-,-,-,2,1,-,1,2,-
,,,,,,,,,,,
XII,Zrůdnost vrozená,172,164,7,1,-,-,-,-,-,-
159,Zrůdnost vrozená,172,164,7,1,-,-,-,-,-,-
,,,,,,,,,,,
XIII,Raný věk,3075,3075,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",1704,1704,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1135,1135,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,236,236,-,-,-,-,-,-,-,-
163,Nedostatek péče,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XIV,,9763,7,2,2,7,5,3,171,9566,0
164,Stáří,9726,-,-,-,-,-,-,167,9559,-
,,,,,,,,,,,
XV,Zevní příčiny ,2219,58,191,118,390,380,209,346,527,-
SE,,968,0,0,9,258,246,127,178,150,0
165,Sebevražda otravou jedy,75,-,-,1,23,18,15,13,5,-
166,Sebevražda otravou požitím žíravin,92,-,-,1,32,29,12,13,5,-
167,Sebevražda vdechováním jedovatých plynů,45,-,-,-,21,9,6,5,4,-
168,Sebevražda oběšením neb uškrcením,354,-,-,2,38,86,51,94,83,-
169,Sebevražda utopením,174,-,-,4,44,36,23,29,38,-
170,Sebevražda zastřelením,56,-,-,-,27,19,2,6,2,-
171,Sebevražda nástroji řeznými neb bodnými,18,-,-,-,3,6,4,-,5,-
172,Sebevražda skokem s výše,11,-,-,-,1,3,2,3,2,-
173,Sebevražda rozdrcením,104,-,-,-,59,31,6,5,3,-
174,Sebevražda jiným způsobem,39,-,-,1,10,9,6,10,3,-
175,Otrava potravinami,12,1,1,1,2,4,2,-,1,-
176,Uštknutí neb štípnutí,1,-,-,-,-,1,-,-,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),21,1,6,1,2,5,3,2,1,-
178,Úraz při požáru,6,-,1,1,-,-,1,-,3,-
179,Náhodné popálení (vyjma při požáru),196,6,79,22,10,19,10,7,43,-
180,Náhodné mechanické udušení (vyjma při požáru),34,14,5,2,1,3,2,4,3,-
181,Vdechování plynů nedýchatelných neb jedovatých,51,2,6,5,7,7,7,4,13,-
182,Náhodné utopení,129,2,46,22,18,13,3,13,12,-
183,Poranění střelnou zbraní,18,-,-,1,8,3,2,3,1,-
184,Poranění nástroji řeznými neb bodnými,12,1,-,-,-,3,-,6,2,-
185,Poranění pádem,43,-,2,-,1,1,3,12,24,-
186,Poranění v dolech neb lomech,2,-,-,-,-,1,-,1,-,-
187,Poranění stroji,1,-,-,1,-,-,-,-,-,-
DN,,111,0,16,9,17,10,11,23,25,0
188a,Poranění železnicemi a tramvajemi,43,-,5,2,8,2,8,8,10,-
188b,Poranění automobily,51,-,9,5,6,5,2,11,13,-
188c,Poranění motocykly,6,-,-,-,2,2,-,2,-,-
188d,Poranění aeroplány a balony,-,-,-,-,-,-,-,-,-,-
188,Poranění jinými dopravními prostředky,11,-,2,2,1,1,1,2,2,-
188f,Poranění jiným zhmožděním,143,2,9,18,8,16,9,29,52,-
189,Poranění způsobená zvířaty,3,-,-,-,-,-,1,1,1,-
192b,Hlad nebo žízeň,-,-,-,-,-,-,-,-,-,-
193,Přílišný chlad,34,1,-,2,-,4,4,8,15,-
194,Přílišný žár,8,-,4,-,-,1,-,3,-,-
195,Blesk,19,-,-,-,4,4,6,5,-,-
196,Jiné úrazy elektrickým proudem,14,-,1,2,3,4,1,2,1,-
NA,,153,28,8,17,38,19,8,15,20,0
197,Zabití střelnou zbraní,42,-,1,4,26,9,1,1,-,-
198,Zabití nástroji řeznými neb bodnými,12,-,-,1,2,2,2,3,2,-
199,Zabití jinými prostředky,35,-,2,6,6,3,4,8,6,-
200,Zabití dítěte do 1 roku,24,24,-,-,-,-,-,-,-,-
201c,Zlomeniny (bez bližšího označení),240,-,7,5,13,16,9,30,160,-
202a,Ostatní násilná zevní poranění,40,4,5,6,4,5,1,3,12,-
202b,Poprava legální,-,-,-,-,-,-,-,-,-,-
203,Násilná smrt neznáme příčiny,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XVI,Nemoci špatně definované,566,70,25,10,19,43,30,163,206,-
204,Náhlé úmrtí,4,2,-,-,-,-,-,-,2,-
205,Nemoci nespecifikované nebo špatně definované,562,68,25,10,19,43,30,163,204,-
