1930,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
IV,Choroby systému nervového a smyslových orgánů,7322,1488,238,174,177,428,488,1634,2695,-
70,Zánět mozku,82,11,9,5,11,14,7,19,6,-
71,Zánět mozkových blan,537,140,124,96,48,53,31,30,15,-
72,Úbytě míchy,166,-,-,-,1,10,22,86,47,-
73,Jiné choroby míchy,187,4,3,6,20,27,27,57,43,-
74a,Výlev krevní do mozku,3540,-,-,-,6,60,171,1029,2274,-
74b,Záhať žil mozkových,45,-,-,1,-,3,8,15,18,-
75a,Jednostranná obrna těla,142,-,-,1,-,3,8,45,85,-
75b,Paralysis progressiva,358,-,-,-,2,87,101,140,28,-
75c,Jiné obrny,57,2,1,-,2,4,4,18,26,-
76,Ochrnutí spojené s duševní chorobou,3,-,-,-,-,1,2,-,-,-
77,Jiné duševní choroby,68,-,-,2,5,12,11,24,14,-
78,Padoucnice,176,-,5,19,36,54,24,21,17,-
79,Božec nepuerperální,7,-,-,6,-,1,-,-,-,-
80,Křeče u dětí,1352,1288,64,-,-,-,-,-,-,-
81,Posunčina,1,1,-,-,-,-,-,-,-,-
82b,Zánět nervů,15,-,-,-,1,2,-,4,8,-
83,Změknutí mozku,104,-,-,1,1,3,8,36,55,-
84,Ostatní choroby systému nervového,335,9,16,21,24,71,52,95,47,-
86,Choroby ucha nebo dutin mastoideu,147,33,16,16,20,23,12,15,12,-
,,,,,,,,,,,
V,Choroby oběhu krevního,10845,77,47,120,214,514,736,3094,6043,-
87,Zánět osrdce,21,2,-,5,2,3,3,4,2,-
88,Prudký zánět nitroblány nebo svalu srdečního,160,10,11,23,19,58,36,3,-,-
89,Srdeční angina,257,-,-,1,-,12,33,101,110,-
90,Jiné nemoci srdce,8035,51,31,87,188,412,592,2497,4177,-
91a,Výduť,116,-,-,-,2,8,14,66,26,-
91b,Zkornatění a jiné choroby tepen,2058,-,-,-,1,11,35,347,1664,-
92,Záhať (nikoliv mozkový),123,-,1,-,1,7,15,55,44,-
93,Choroby žil,42,1,1,3,-,1,6,16,14,-
94,Choroby systému mízního,28,12,3,1,-,1,1,5,5,-
95,Ostatní choroby oběhu krevního,4,1,-,-,1,1,1,-,-,-
96,Ostatní choroby oběhu krevního,1,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,8965,2879,724,151,182,306,351,1328,3044,-
97,Choroby dutin nosních a jejich adnex,2,-,-,-,2,-,-,-,-,-
98,Choroby hrtanu,50,29,10,1,1,3,-,4,2,-
99a,Zánět průdušek prudký,381,329,9,1,-,-,3,6,33,-
99b,Zánět průdušek vleklý,354,19,15,1,1,6,14,83,215,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),259,198,61,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),302,-,-,5,4,5,10,55,223,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,2334,1252,248,34,18,43,54,167,518,-
101a,Zánět plic lalokový,1059,204,97,21,42,79,75,221,320,-
101b,Zánět plic bez bližšího označení,2530,802,237,69,72,100,108,360,782,-
102,Zánět pohrudnice,399,19,43,13,28,34,34,105,123,-
103,Překrvení nebo krvácení parenchymatosní plic,122,21,-,2,2,4,3,11,79,-
104,Sněť plicní,91,-,2,1,3,10,17,35,23,-
105,Záducha,214,1,1,3,1,2,12,56,138,-
106,Rozedma plic,790,-,1,-,1,10,13,192,573,-
107,Ostatní choroby ústrojí dýchacího,78,5,-,-,7,10,8,33,15,-
,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,6841,3860,281,144,188,371,367,867,763,-
108b,Choroby ústní dutiny a jejich adnex,24,7,2,1,1,6,3,2,2,-
109,Choroby hltanu nebo mandlí,148,25,26,42,10,14,7,14,10,-
110,Choroby jícnu,9,-,-,-,-,1,2,2,4,-
111a,Vřed žaludeční,481,1,1,-,26,116,91,166,80,-
111b,Vřed dvanácterníku,91,1,-,1,6,19,30,25,9,-
112,Jiné choroby žaludeční,63,-,3,1,-,10,5,12,32,-
113,Průjem a zánět střev (pod 2 roky),3900,3746,154,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),175,-,38,13,3,12,14,25,70,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,-,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,388,6,28,48,78,79,45,71,33,-
118a,Kýla ,239,14,3,1,4,3,15,45,154,-
118b,Záhať střevní,261,31,11,7,10,14,17,76,95,-
119b,Jiné choroby střev,56,4,-,1,2,9,5,20,15,-
120,Prudká atrofie jater,42,-,1,3,7,5,5,14,7,-
121,Hydativní nádor jater,1,-,-,-,-,-,-,1,-,-
122a,Svraštění jater alkoholické,13,-,-,-,-,1,3,6,3,-
122b,Svraštění jater neoznačené jako alkoholické,456,-,1,-,3,32,78,219,123,-
123,Žlučové kaménky,64,-,-,-,-,3,8,27,26,-
124,Jiné choroby jater,156,2,2,1,3,16,13,66,53,-
125,Choroby mikteru,26,-,-,-,1,4,3,14,4,-
126,Zánět pobřišnice bez označení příčiny,248,23,11,25,34,27,23,62,43,-
,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,2410,30,41,40,61,184,250,700,1104,-
128,Prudký zánět ledvin,103,18,30,20,8,9,5,4,9,-
129,Vleklý zánět ledvin,1454,1,4,17,48,148,214,542,480,-
130,Chylurie, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,121,5,6,2,3,18,15,24,48,-
132,Močové kaménky,46,-,1,1,-,2,5,18,19,-
133,Choroby měchýře,113,4,-,-,1,1,4,17,86,-
134,Choroby močové roury,61,-,-,-,-,1,2,22,36,-
135,Choroby žlázy předstojné,506,-,-,-,-,5,5,72,424,-
136,Nevenerické choroby mužských pohlavních orgánů,6,2,-,-,1,-,-,1,2,-
137,Boubel a jiné nezhoubné nádory vaječníku,x,x,x,x,x,x,x,x,x,x
138,Zánět vejcovodu nebo vřed v pánvi,x,x,x,x,x,x,x,x,x,x
139,Nádory děložní,x,x,x,x,x,x,x,x,x,x
140,Nepuerperální krvácení z dělohy,x,x,x,x,x,x,x,x,x,x
141,Ostatní choroby rodidel,x,x,x,x,x,x,x,x,x,x
142,Nepuerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
IX,Puerperální stav,x,x,x,x,x,x,x,x,x,x
143a,Potrat ,x,x,x,x,x,x,x,x,x,x
143b,Mimoděložní těhotenství,x,x,x,x,x,x,x,x,x,x
143c,Jiné nehody těhotenské,x,x,x,x,x,x,x,x,x,x
144,Krvácení těhotných a v šestinedělí,x,x,x,x,x,x,x,x,x,x
145,Jiné nehody při porodu,x,x,x,x,x,x,x,x,x,x
146,Horečka omladnic,x,x,x,x,x,x,x,x,x,x
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",x,x,x,x,x,x,x,x,x,x
148,Albuminurie nebo božec v šestinedělí,x,x,x,x,x,x,x,x,x,x
149,Následky porodu (bez bližšího označení),x,x,x,x,x,x,x,x,x,x
150,Puerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
X,Choroby kůže a vaziva,583,351,12,4,10,16,10,50,130,-
151,Sněť,114,5,1,1,-,8,4,24,71,-
152,Nežit,237,204,2,1,3,5,2,9,11,-
153,"Zánět podkožního vaziva, horečnatý vřed",87,42,6,2,7,3,3,10,14,-
155,Ostatní choroby kůže neb jejich adnex,145,100,3,-,-,-,1,7,34,-
,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,191,7,11,32,27,24,14,15,61,-
156,Choroby kostí,167,6,11,29,25,21,13,12,50,-
157,Choroby kloubů,22,1,-,3,1,3,-,3,11,-
158,Ostatní choroby kostí nebo ústrojí pohybového,2,-,-,-,1,-,1,-,-,-
,,,,,,,,,,,
XII,Zrůdnost vrozená,242,235,6,1,-,-,-,-,-,-
159,Zrůdnost vrozená,242,235,6,1,-,-,-,-,-,-
,,,,,,,,,,,
XIII,Raný věk,3931,3931,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",2072,2072,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1408,1408,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,449,449,-,-,-,-,-,-,-,-
163,Nedostatek péče,2,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XIV,,5126,17,1,3,3,4,1,90,5007,0
164,Stáří,5090,-,-,-,-,-,-,86,5004,-
,,,,,,,,,,,
XV,Zevní příčiny ,5713,54,229,236,1270,1376,683,1115,750,-
SE,,2836,0,0,24,705,686,344,619,458,0
165,Sebevražda otravou jedy,54,-,-,-,14,20,6,9,5,-
166,Sebevražda otravou požitím žíravin,69,-,-,-,14,19,12,20,4,-
167,Sebevražda vdechováním jedovatých plynů,27,-,-,-,6,8,4,6,3,-
168,Sebevražda oběšením neb uškrcením,1451,-,-,16,198,283,221,404,329,-
169,Sebevražda utopením,153,-,-,-,26,38,15,35,39,-
170,Sebevražda zastřelením,720,-,-,1,310,229,51,88,41,-
171,Sebevražda nástroji řeznými neb bodnými,43,-,-,-,3,11,7,12,10,-
172,Sebevražda skokem s výše,15,-,-,-,1,6,2,2,4,-
173,Sebevražda rozdrcením,223,-,-,7,109,53,15,26,13,-
174,Sebevražda jiným způsobem,81,-,-,-,24,19,11,17,10,-
175,Otrava potravinami,23,-,1,1,5,5,3,5,3,-
176,Uštknutí neb štípnutí,1,-,-,-,-,-,1,-,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),25,-,7,-,6,5,2,4,1,-
178,Úraz při požáru,7,-,1,-,3,1,-,2,-,-
179,Náhodné popálení (vyjma při požáru),153,9,69,10,13,20,2,17,13,-
180,Náhodné mechanické udušení (vyjma při požáru),41,6,7,3,2,8,3,6,6,-
181,Vdechování plynů nedýchatelných neb jedovatých,65,-,6,2,18,19,4,11,5,-
182,Náhodné utopení,395,4,70,68,131,45,20,33,24,-
183,Poranění střelnou zbraní,64,-,4,10,24,15,3,7,1,-
184,Poranění nástroji řeznými neb bodnými,45,-,2,5,8,10,4,11,5,-
185,Poranění pádem,122,-,2,6,12,24,14,31,33,-
186,Poranění v dolech neb lomech,114,-,1,1,29,38,29,16,-,-
187,Poranění stroji,26,-,1,1,7,9,6,2,-,-
DN,,408,0,19,33,82,119,63,67,25,0
188a,Poranění železnicemi a tramvajemi,142,-,1,6,23,48,24,30,10,-
188b,Poranění automobily,152,-,12,20,27,35,27,22,9,-
188c,Poranění motocykly,56,-,3,4,15,22,6,4,2,-
188d,Poranění aeroplány a balony,25,-,-,-,12,10,1,1,1,-
188,Poranění jinými dopravními prostředky,33,-,3,3,5,4,5,10,3,-
188f,Poranění jiným zhmožděním,635,1,16,30,113,188,87,138,62,-
189,Poranění způsobená zvířaty,19,-,1,2,6,2,1,4,3,-
192b,Hlad nebo žízeň,1,-,-,-,-,-,1,-,-,-
193,Přílišný chlad,41,-,-,-,4,5,5,21,6,-
194,Přílišný žár,7,-,-,1,3,-,2,-,1,-
195,Blesk,17,-,-,2,1,7,3,1,3,-
196,Jiné úrazy elektrickým proudem,94,-,1,7,30,34,13,8,1,-
NA,,218,34,12,21,36,39,20,34,22,0
197,Zabití střelnou zbraní,27,-,1,2,3,10,2,5,4,-
198,Zabití nástroji řeznými neb bodnými,21,-,-,3,4,7,3,3,1,-
199,Zabití jinými prostředky,31,-,6,5,1,8,4,3,4,-
200,Zabití dítěte do 1 roku,32,32,-,-,-,-,-,-,-,-
201c,Zlomeniny (bez bližšího označení),356,-,9,9,32,97,53,78,78,-
202a,Ostatní násilná zevní poranění,105,2,5,11,28,13,10,23,13,-
202b,Poprava legální,2,-,-,-,-,1,1,-,-,-
203,Násilná smrt neznáme příčiny,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XVI,Nemoci špatně definované,399,50,35,9,13,31,49,85,127,-
204,Náhlé úmrtí,10,1,-,-,2,1,1,2,3,-
205,Nemoci nespecifikované nebo špatně definované,389,49,35,9,11,30,48,83,124,-
