1959,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
31,Chronická gonokokové onemocnění ústrojí močového a pohlavního,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
32,Gonokokové onemocnění kloubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
33,Gonokokové onemocnění oční,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
34,Gonokokové onemocnění jiných orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
35,Pozdní následky gonokokové onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
36,Měkký vřed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
37,Lymphogranuloma venereum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
38,Granuloma venereum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
39,Jiné nebo blíže neurčené pohlavní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
40,Břišní tyfus,5,-,-,-,-,1,-,-,-,-,-,2,1,1,-,-,,,,,,,
41,Paratyfus,5,-,-,-,-,-,-,-,-,1,-,-,1,1,2,-,,,,,,,
42,Jiné nakažlivé nemoci způsobené salmonelami,5,-,-,-,-,-,-,-,-,-,-,2,3,-,-,-,,,,,,,
43,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
44,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
45,Úplavice bacilární,10,1,1,1,-,-,-,-,-,-,-,3,2,2,-,-,,,,,,,
46,Úplavice amoebová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
47,Jiné úplavice protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
48,Blíže neurčené formy úplavice,2,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
49,Otravy potravinami,3,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,,,,,,,
50,Spála,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,,,,,,,
51,Angina streptokoková,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
52,Růže,29,1,-,-,-,-,-,-,-,-,3,2,8,12,3,-,,,,,,,
53,Sepse prostá i s metastasami,11,2,-,-,-,-,-,-,1,2,1,2,3,-,-,-,,,,,,,
54,Bakteriální otrava krve,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
55,Záškrt,18,1,1,-,-,1,6,1,3,3,-,1,1,-,-,-,,,,,,,
56,Dávivý kašel,10,6,3,-,-,1,-,-,-,-,-,-,-,-,-,-,,,,,,,
57,Meningokokové nákazy,5,-,2,1,1,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
58,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
59,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
60,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
61,Ztrnutí,16,-,-,-,-,1,-,-,-,-,3,4,5,2,1,-,,,,,,,
62,Uhlák,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
63,Sněť plynatá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
64,Jiné bakteriální nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
70,Vincentova angina,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
71,Návratná horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
72,Weilova nemoc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
73,Framboesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
74,Jiná spirochaetová a leptospirová onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
80,Prudká obrna dětská,2,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
81,Pozdní následky prudké dětské obrny,6,-,-,-,-,-,-,-,1,1,1,2,1,-,-,-,,,,,,,
82,Prudký infekční zánět mozku,14,1,1,-,-,-,-,-,-,1,5,3,2,1,-,-,,,,,,,
83,Pozdní následky epidemického zánětu mozku,9,-,-,-,-,-,-,-,-,-,4,1,4,-,-,-,,,,,,,
84,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
85,Spalničky,32,5,12,8,3,1,2,1,-,-,-,-,-,-,-,-,,,,,,,
86,Zarděnky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
87,Plané neštovice,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
88,Pásový opar,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
89,Epidemický zánět příušnic,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
90,Dengue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
91,Žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
92,Epidemický zánět jater,43,1,-,-,1,-,3,2,1,4,7,13,9,2,-,-,,,,,,,
93,Infekční mononucleosa,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,
94,Vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
95,Trachom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
96,Ostatní nemoci připisované virům,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
100,Skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
101,Endemická skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
102,Americká skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
103,Mexická skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
104,Rocky-Mountainská skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
105,Skvrnivka přenášená roztoči,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
106,Volyňská zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
107,Skvrnivka blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
108,Ostatní rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
110,Malarie třídenní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
111,Malarie čtvrtodenní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
112,Malarie zhoubná,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
113,Malarie způsobená plasmodiem ovale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
114,Smíšené malarické infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
115,Biliosní haemoglobinurická horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
116,Jiné a blíže neurčené formy malarie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
117,Recidivující malarie po naočkování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
120,Leishmaniosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
121,Trypanosomiasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
122,Ostatní nemoci způsobené protozoy,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
123,Schistosomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
124,Nemoci způsobené ostatními trematody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
125,Měchožil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
126,Jiné infekce cestody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
127,Filariasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
128,Trichinellosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
129,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
130,"Onemocnění jinými hlísty, smíšená nebo blíže neurčená",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
131,Dermatophytosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
132,Actinomycosis,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
133,Coccidiodomycosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
134,Ostatní plísňová onemocnění,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,,,,,,,
135,Svrab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
136,Zavšivení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
137,Ostatní nemoci způsobené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
138,Ostatní přenosné a cizopasné nemoci,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
II,Novotvary,8 901,4,3,6,11,7,37,53,176,354,1 347,2 267,2 719,1 652,265,-,,,,,,,
140,Zhoubný novotvar rtu,4,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,,,,,,,
141,Zhoubný novotvar jazyka,10,-,-,-,-,-,-,-,-,-,1,3,1,4,1,-,,,,,,,
142,Zhoubný novotvar slinných žláz,12,-,-,-,-,-,-,-,1,1,2,4,1,3,-,-,,,,,,,
143,Zhoubný novotvar spodiny ústní,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,,,,,,,
144,Zhoubný novotvar jiných částí úst a zhoubný novotvar neurčené části dutiny ústní,20,-,-,-,-,-,-,-,1,1,2,5,4,6,1,-,,,,,,,
145,Zhoubný novotvar ústní částí hltanu a mandlí,8,-,1,-,-,-,-,-,-,1,1,2,2,1,-,-,,,,,,,
146,Zhoubný novotvar nosohltanu,5,-,-,-,-,-,-,-,-,-,2,2,1,-,-,-,,,,,,,
147,Zhoubný novotvar hrtanové části hltanu,5,-,-,-,-,-,-,-,-,-,1,1,3,-,-,-,,,,,,,
148,Zhoubný novotvar neurčené části hltanu,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,,,,,,,
150,Zhoubný novotvar jícnu,52,-,-,-,-,-,-,-,1,-,2,10,24,13,2,-,,,,,,,
151,Zhoubný novotvar žaludku,1 827,-,-,-,-,-,-,1,17,30,140,430,657,473,79,-,,,,,,,
152,Zhoubný novotvar tenkého střeva a dvanácterníku,17,-,-,-,-,-,-,-,-,-,4,1,7,5,-,-,,,,,,,
153,Zhoubný novotvar tlustého střeva vyjma konečníku,407,-,-,-,-,-,-,-,2,13,49,86,137,102,18,-,,,,,,,
154,Zhoubný novotvar konečníku,352,-,-,-,-,-,-,1,1,7,49,79,120,86,9,-,,,,,,,
155,Zhoubný novotvar žlučových cest a jater (určený jako primární),858,1,-,-,1,-,2,1,1,8,68,217,334,194,31,-,,,,,,,
156,Zhoubný novotvar jater (sekundární nebo neurčený),2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,,,,,,,
157,Zhoubný novotvar slinivky břišní,249,-,-,-,-,-,-,-,3,2,31,75,96,39,3,-,,,,,,,
158,Zhoubný novotvar pobřišnice,62,-,1,-,-,-,-,-,-,3,5,16,22,14,1,-,,,,,,,
159,Zhoubný novotvar neurčené části trávicího ústrojí,192,-,-,1,-,-,-,-,3,2,15,41,67,51,12,-,,,,,,,
160,"Zhoubný novotvar nosu, dutiny nosní, středního ucha a vedlejších dutin",8,-,-,-,-,-,-,-,-,-,1,3,1,2,1,-,,,,,,,
161,Zhoubný novotvar hrtanu,20,-,-,-,-,-,-,-,-,-,3,5,6,3,3,-,,,,,,,
162,"Zhoubný novotvar průdušnice, průdušek, plic, určený jako primární",435,-,-,-,-,-,-,2,6,17,55,109,161,76,9,-,,,,,,,
163,"Zhoubný novotvar plic a průdušek, neurčený jako primární nebo sekundární",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
164,Zhoubný novotvar mezihrudí,22,-,-,-,-,-,1,1,2,2,5,7,4,-,-,-,,,,,,,
165,Zhoubný novotvar hrudních orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
170,Zhoubný novotvar prsů,1 018,-,-,-,-,-,-,1,17,62,256,257,251,150,24,-,,,,,,,
171,Zhoubný novotvar hrdla děložního,549,-,-,-,-,-,-,-,28,66,154,152,93,47,9,-,,,,,,,
172,Zhoubný novotvar těla děložního,100,-,-,-,-,-,-,-,-,2,15,41,28,14,-,-,,,,,,,
173,Zhoubný novotvar jiných částí dělohy a chorioepitheliom,10,-,-,-,-,-,-,-,-,2,3,2,2,1,-,-,,,,,,,
174,Zhoubný novotvar neurčené části dělohy,457,-,-,-,-,-,-,-,7,17,94,142,124,70,3,-,,,,,,,
175,"Zhoubný novotvar vaječníku, vejcovodu, širokého vazu",542,-,-,-,1,-,1,1,10,25,139,170,141,51,3,-,,,,,,,
176,Zhoubný novotvar jiných nebo blíže neurčených ženských orgánů pohlavních,145,1,-,-,-,-,-,-,5,3,27,37,46,25,1,-,,,,,,,
177,Zhoubný novotvar předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
178,Zhoubný novotvar varlat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
179,Zhoubný novotvar jiných nebo blíže neurčených mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
180,Zhoubný novotvar ledvin,178,-,1,1,2,2,2,-,1,6,24,52,66,21,-,-,,,,,,,
181,Zhoubný novotvar močového měchýře a ostatních močových orgánů,75,-,-,-,-,-,-,-,2,-,3,17,21,29,3,-,,,,,,,
190,Zhoubný melanom kůže,18,-,-,-,-,-,-,1,1,2,4,4,3,-,3,-,,,,,,,
191,Ostatní zhoubné novotvary kůže,94,-,-,-,-,-,-,2,5,4,7,17,15,22,22,-,,,,,,,
192,Zhoubný novotvar oka,11,-,-,-,-,-,-,1,-,-,1,3,1,4,1,-,,,,,,,
193,Zhoubný novotvar mozku a jiných částí ústrojí nervového,179,1,-,-,3,3,13,9,15,16,37,48,26,6,2,-,,,,,,,
194,Zhoubný novotvar štítné žlázy,93,-,-,-,-,-,1,1,4,3,13,21,25,21,4,-,,,,,,,
195,Zhoubný novotvar ostatních žláz s vnitřní sekrecí,12,-,-,-,-,-,-,2,-,3,-,4,3,-,-,-,,,,,,,
196,Zhoubný novotvar kostí (i čelistí),108,-,-,1,-,-,1,3,6,7,20,23,29,14,4,-,,,,,,,
197,Zhoubný novotvar pojiva,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,,,,,,,
198,Zsekundární nebo blíže neurčené zhoubné novotvary mízních uzlin,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
199,Zhoubný novotvar jiného nebo blíže neurčeného umístění,175,-,-,1,1,-,1,2,6,11,20,36,56,35,6,-,,,,,,,
200,Lymfosarkom a retikulosarkom,75,-,-,-,-,-,-,3,1,5,14,15,24,13,-,-,,,,,,,
201,Hodgkinova nemoc,87,-,-,-,-,-,-,11,7,11,14,18,20,6,-,-,,,,,,,
202,Jiné druhy lymfomů,8,-,-,-,-,-,1,1,-,1,2,-,2,1,-,-,,,,,,,
203,Mnohočetný myelom,44,-,-,-,-,-,-,-,1,-,6,17,14,6,-,-,,,,,,,
204,Leukaemie a aleukie,251,1,-,2,3,2,13,7,17,16,34,67,60,27,2,-,,,,,,,
205,Mycosis fungoides,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
210,Nezhoubný novotvar dutiny ústní a hltanu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
211,Nezhoubný novotvar ostatních částí trávicího ústrojí,6,-,-,-,-,-,-,-,1,-,1,-,2,1,1,-,,,,,,,
212,Nezhoubný novotvar dýchacího ústrojí,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,,,,,,,
213,Nezhoubný novotvar prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
214,Fibromyom dělohy,10,-,-,-,-,-,-,-,-,1,4,2,1,1,1,-,,,,,,,
215,Ostatní nezhoubné novotvary dělohy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
216,Nezhoubný novotvar vaječníku,9,-,-,-,-,-,-,-,-,1,1,2,2,2,1,-,,,,,,,
217,Nezhoubný novotvar ostatních ženských pohlavních orgánů,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
218,Nezhoubný novotvar mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
219,Nezhoubný novotvar ledvin a močových cest,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
220,Nezhoubný melanom kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
221,Pilonidální cysta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
222,Ostatní nezhoubné novotvary kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
223,Nezhoubný novotvar mozku a jiných částí ústrojí nervového,30,-,-,-,-,-,-,1,-,-,9,10,6,4,-,-,,,,,,,
224,Nezhoubný novotvar žláz s vnitřní sekrecí,3,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,,,,,,,
225,Nezhoubný novotvar kostí a chrupek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
226,Lipom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
227,Jiné nezhoubné novotvary svalů a vaziva,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
228,Haemangiom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
229,Nezhoubné novotvary ostatních nebo blíže neurčených orgánů a tkání,3,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,,,,,,,
230,Novotvar neurčené povahy trávicího ústrojí,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,,,,,,,
231,Novotvar neurčené povahy dýchacího ústrojí,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
232,Novotvar neurčené povahy prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
233,Novotvar neurčené povahy dělohy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
234,Novotvar neurčené povahy vaječníků,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,,,,,,,
235,Novotvar neurčené povahy ostatních ženských pohlavních orgánů,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
236,Novotvar neurčené povahy jiných pohlavních a močových orgánů,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
237,Novotvar neurčené povahy mozku a jiných částí ústrojí nervového,19,-,-,-,-,-,-,-,4,1,3,7,3,1,-,-,,,,,,,
238,"Novotvar neurčené povahy kůže,soustavy svalové a kosterní",1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
239,Novotvar neurčené povahy ostatních nebo blíže neurčených orgánů,6,-,-,-,-,-,-,1,-,-,-,-,3,1,1,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
III,"Nemoci allergické, žláz s vnitřní sekrecí, výměny látkové a výživy",1 307,10,2,-,1,-,2,3,10,23,84,308,554,284,26,-,,,,,,,
240,Senná rýma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
241,Astma,74,-,-,-,-,-,-,1,2,3,8,13,19,19,9,-,,,,,,,
242,Angioneurotický oedem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
243,Kopřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
244,Allergický ekzém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
245,Ostatní allergické poruchy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
250,Vole prosté,7,-,-,-,-,-,-,-,-,-,-,1,2,4,-,-,,,,,,,
251,Vole uzlovité netoxické,11,-,-,-,-,-,-,-,-,-,-,4,3,4,-,-,,,,,,,
252,Thyreotoxikosa s voletem nebo bez něho,147,-,-,-,-,-,-,-,-,3,21,50,61,11,1,-,,,,,,,
253,Myxoedema a kretenismus,14,-,-,-,-,-,-,-,-,-,2,5,6,-,1,-,,,,,,,
254,Ostatní nemoci štítné žlázy,7,-,-,-,-,-,-,-,-,2,-,1,3,1,-,-,,,,,,,
260,Úplavice cukrová,1 004,-,1,-,-,-,1,1,7,9,46,227,455,243,14,-,,,,,,,
270,Poruchy vnitřní sekrece slinivky břišní-jiné než úplavice cukrová,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,
271,Nemoci příštítných tělísek,4,-,-,-,-,-,-,-,1,-,-,2,1,-,-,-,,,,,,,
272,Nemoci hypofysy,6,1,-,-,-,-,-,-,-,1,1,2,1,-,-,-,,,,,,,
273,Nemoci brzlíku,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
274,Nemoci nadledvinek,17,4,-,-,1,-,1,-,-,1,3,1,3,2,1,-,,,,,,,
275,Poruchy činnosti vaječníků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
276,Poruchy činnosti varlat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
277,Poruchy činnosti několika žláz s vnitřní sekrecí a ostatní nemoci žláz s vnitřní sekrecí,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,,,,,,,
280,Beri-Beri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
281,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
282,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
283,Aktivní křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
284,Pozdní následky křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
285,Měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
286,Jiné avitaminosy a stavy z nedostatku výživy,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,,,,,,,
287,"Otylost, není-li vnitřně sekretorického původu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
288,Dna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
289,Ostatní nemoci výměny látkové,7,1,1,-,-,-,-,-,-,2,2,1,-,-,-,-,,,,,,,
