1928,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
41,Otrava krve,334,127,11,30,30,26,25,52,33,-
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
RA,,6649,12,19,22,52,181,549,2717,3097,0
KR,,117,11,9,2,7,7,16,50,15,0
EN,,837,144,58,25,25,39,63,229,254,0
DU,,223,0,1,1,5,11,42,99,64,0
III,Celkové nemoci výše nejmenované,7814,176,89,53,89,238,666,3088,3415,-
43,Rakovina neb jiné zhoubné nádory dutiny ústní,183,-,1,-,-,6,12,66,98,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",4157,-,1,1,2,75,327,1798,1953,-
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",839,-,-,2,5,17,56,311,448,-
46,Rakovina neb jiné zhoubné nádory rodidel,x,x,x,x,x,x,x,x,x,x
47,Rakovina neb jiné zhoubné nádory prsu,4,-,-,-,-,1,-,2,1,-
48,Rakovina neb jiné zhoubné nádory kůže,79,-,-,-,3,3,7,20,46,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,1112,4,7,8,20,59,109,424,481,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",158,5,4,3,10,12,23,48,53,-
51,Prudký horečatý hostec kloubní,25,2,3,11,1,4,-,3,1,-
52,"Vleklý hostec, dna",83,-,-,2,3,6,2,22,48,-
53,Kurděje,2,-,1,-,1,-,-,-,-,-
56,Křivice,149,101,44,4,-,-,-,-,-,-
57,Cukrovka,488,1,2,8,15,25,54,185,198,-
59,Nedokrevnost zhoubná,91,5,7,2,5,4,14,41,13,-
58a,Jiné nedokrevnosti a blednička,17,5,2,-,1,3,-,5,1,-
58b,Nemoci hypophysy,1,-,-,-,-,1,-,-,-,-
60a,Basedowova nemoc,13,-,1,-,-,-,1,9,2,-
60b,Jiná onemocnění štítné žlázy,15,1,1,-,2,1,2,4,4,-
61,Nemoci žlázek přištítných,29,26,3,-,-,-,-,-,-,-
62,Nemoci brzlíku,19,13,3,-,3,-,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),13,-,-,-,-,2,4,6,1,-
64,Nemoci sleziny,9,1,-,-,1,-,2,4,1,-
65,Bělokrevnost neb Hodgkinova nemoc,117,3,6,8,12,8,15,48,17,-
66,Alkoholismus,175,-,-,-,1,8,37,84,45,-
67,Vleklé otravy nerostnými látkami,6,-,-,-,1,-,-,3,2,-
68,Vleklé otravy ústrojnými látkami,3,-,-,-,-,1,1,-,1,-
69,Ostatní celkové nemoci,27,9,3,4,3,2,-,5,1,-
,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,7688,1843,261,162,215,408,459,1568,2770,2
70,Zánět mozku,113,17,17,11,20,17,9,14,8,-
71,Zánět mozkových blan,529,130,145,78,48,42,27,37,22,-
72,Úbytě míchy,191,-,-,-,3,16,37,89,46,-
73,Jiné choroby míchy,199,1,1,3,17,31,23,67,56,-
74a,Výlev krevní do mozku,3543,-,2,3,9,69,172,1004,2282,2
74b,Záhať žil mozkových,54,-,-,-,2,3,3,16,30,-
75a,Jednostranná obrna těla,136,-,-,-,1,7,8,41,79,-
75b,Paralysis progressiva,332,-,-,1,7,80,92,110,42,-
75c,Jiné obrny,95,-,4,4,3,8,3,23,50,-
76,Ochrnutí spojené s duševní chorobou,4,-,-,-,-,-,1,2,1,-
77,Jiné duševní choroby,44,-,1,1,4,3,4,13,18,-
78,Padoucnice,167,5,3,13,50,52,14,21,9,-
79,Božec nepuerperální,9,-,-,6,2,-,-,-,1,-
80,Křeče u dětí,1703,1647,56,-,-,-,-,-,-,-
81,Posunčina,4,2,-,1,1,-,-,-,-,-
82b,Zánět nervů,15,-,-,-,-,4,1,4,6,-
83,Změknutí mozku,85,-,-,-,-,5,1,22,57,-
84,Ostatní choroby systému nervového,323,12,13,21,23,54,52,95,53,-
86,Choroby ucha nebo dutin mastoideu,142,29,19,20,25,17,12,10,10,-
,,,,,,,,,,,
V,Choroby oběhu krevního,10348,64,51,132,237,492,815,3004,5553,-
87,Zánět osrdce,19,1,2,2,3,1,3,3,4,-
88,Prudký zánět nitroblány nebo svalu srdečního,169,3,6,32,24,61,37,3,3,-
89,Srdeční angina,214,-,-,-,-,5,29,105,75,-
90,Jiné nemoci srdce,7687,48,38,94,203,395,677,2405,3827,-
91a,Výduť,117,-,-,-,-,8,24,59,26,-
91b,Zkornatění a jiné choroby tepen,1995,-,-,-,-,8,34,377,1576,-
92,Záhať (nikoliv mozkový),90,1,1,1,4,8,8,39,28,-
93,Choroby žil,17,-,-,1,1,1,2,5,7,-
94,Choroby systému mízního,35,11,3,1,2,4,-,7,7,-
95,Ostatní choroby oběhu krevního,5,-,1,1,-,1,1,1,-,-
96,Ostatní choroby oběhu krevního,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,10125,3008,892,175,228,339,426,1562,3495,-
97,Choroby dutin nosních a jejich adnex,-,-,-,-,-,-,-,-,-,-
98,Choroby hrtanu,42,23,12,1,-,-,2,3,1,-
99a,Zánět průdušek prudký,494,438,18,-,-,1,1,6,30,-
99b,Zánět průdušek vleklý,426,19,13,1,3,6,25,98,261,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),302,224,78,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),409,-,-,7,7,5,15,66,309,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,2002,1025,286,26,18,28,41,154,424,-
101a,Zánět plic lalokový,1036,158,95,30,63,79,81,237,293,-
101b,Zánět plic bez bližšího označení,3588,1078,351,85,95,148,149,552,1130,-
102,Zánět pohrudnice,434,28,30,23,36,43,40,109,125,-
103,Překrvení nebo krvácení parenchymatosní plic,105,13,2,2,-,1,2,6,79,-
104,Sněť plicní,86,-,-,-,4,11,24,35,12,-
105,Záducha,245,1,-,-,1,3,10,75,155,-
106,Rozedma plic,901,-,1,-,1,10,27,201,661,-
107,Ostatní choroby ústrojí dýchacího,55,1,6,-,-,4,9,20,15,-
,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,6905,4039,305,153,207,320,356,764,761,-
108b,Choroby ústní dutiny a jejich adnex,19,15,1,-,-,2,-,-,1,-
109,Choroby hltanu nebo mandlí,110,12,22,32,10,12,4,9,9,-
110,Choroby jícnu,12,-,1,1,-,1,3,2,4,-
111a,Vřed žaludeční,421,-,1,-,30,90,110,124,66,-
111b,Vřed dvanácterníku,93,-,1,-,11,27,21,22,11,-
112,Jiné choroby žaludeční,41,2,-,-,1,6,-,12,20,-
113,Průjem a zánět střev (pod 2 roky),4115,3938,177,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),259,-,53,24,17,9,12,36,108,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,-,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,325,3,24,58,75,47,43,46,29,-
118a,Kýla ,238,9,3,-,5,12,9,58,142,-
118b,Záhať střevní,269,19,3,11,18,24,19,71,104,-
119b,Jiné choroby střev,63,3,1,2,5,10,5,21,16,-
120,Prudká atrofie jater,42,-,1,3,1,7,5,10,15,-
121,Hydativní nádor jater,1,-,-,-,-,1,-,-,-,-
122a,Svraštění jater alkoholické,20,-,-,-,-,2,2,15,1,-
122b,Svraštění jater neoznačené jako alkoholické,417,1,-,1,1,26,73,190,125,-
123,Žlučové kaménky,53,-,-,-,-,7,7,22,17,-
124,Jiné choroby jater,158,6,-,3,5,11,15,70,48,-
125,Choroby mikteru,20,-,1,-,1,1,2,11,4,-
126,Zánět pobřišnice bez označení příčiny,229,31,16,18,27,25,26,45,41,-
,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,2413,22,34,51,80,181,242,738,1065,-
128,Prudký zánět ledvin,101,16,18,26,10,8,8,9,6,-
129,Vleklý zánět ledvin,1599,-,10,23,68,162,216,605,515,-
130,Chylurie, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,100,4,6,1,2,6,6,36,39,-
132,Močové kaménky,39,-,-,1,-,1,5,12,20,-
133,Choroby měchýře,129,2,-,-,-,2,2,10,113,-
134,Choroby močové roury,37,-,-,-,-,1,2,10,24,-
135,Choroby žlázy předstojné,406,-,-,-,-,1,3,56,346,-
136,Nevenerické choroby mužských pohlavních orgánů,2,-,-,-,-,-,-,-,2,-
137,Boubel a jiné nezhoubné nádory vaječníku,x,x,x,x,x,x,x,x,x,x
138,Zánět vejcovodu nebo vřed v pánvi,x,x,x,x,x,x,x,x,x,x
139,Nádory děložní,x,x,x,x,x,x,x,x,x,x
140,Nepuerperální krvácení z dělohy,x,x,x,x,x,x,x,x,x,x
141,Ostatní choroby rodidel,x,x,x,x,x,x,x,x,x,x
142,Nepuerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
IX,Puerperální stav,x,x,x,x,x,x,x,x,x,x
143a,Potrat ,x,x,x,x,x,x,x,x,x,x
143b,Mimoděložní těhotenství,x,x,x,x,x,x,x,x,x,x
143c,Jiné nehody těhotenské,x,x,x,x,x,x,x,x,x,x
144,Krvácení těhotných a v šestinedělí,x,x,x,x,x,x,x,x,x,x
145,Jiné nehody při porodu,x,x,x,x,x,x,x,x,x,x
146,Horečka omladnic,x,x,x,x,x,x,x,x,x,x
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",x,x,x,x,x,x,x,x,x,x
148,Albuminurie nebo božec v šestinedělí,x,x,x,x,x,x,x,x,x,x
149,Následky porodu (bez bližšího označení),x,x,x,x,x,x,x,x,x,x
150,Puerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
X,Choroby kůže a vaziva,588,361,10,1,7,24,14,56,115,-
151,Sněť,126,9,-,-,1,9,7,21,79,-
152,Nežit,263,228,6,-,3,8,2,7,9,-
153,"Zánět podkožního vaziva, horečnatý vřed",71,32,3,1,1,6,4,16,8,-
155,Ostatní choroby kůže neb jejich adnex,128,92,1,-,2,1,1,12,19,-
,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,186,6,11,33,39,23,16,21,37,-
156,Choroby kostí,154,4,11,30,35,21,11,15,27,-
157,Choroby kloubů,28,2,-,3,4,2,3,5,9,-
158,Ostatní choroby kostí nebo ústrojí pohybového,4,-,-,-,-,-,2,1,1,-
,,,,,,,,,,,
XII,Zrůdnost vrozená,192,186,5,1,-,-,-,-,-,-
159,Zrůdnost vrozená,192,186,5,1,-,-,-,-,-,-
,,,,,,,,,,,
XIII,Raný věk,4140,4140,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",2254,2254,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1567,1567,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,318,318,-,-,-,-,-,-,-,-
163,Nedostatek péče,1,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XIV,,6027,9,3,4,4,3,1,91,5912,0
164,Stáří,5991,-,-,-,-,-,-,83,5908,-
,,,,,,,,,,,
XV,Zevní příčiny ,5504,59,273,244,1243,1210,652,995,821,7
SE,,2561,0,0,26,651,590,323,531,433,7
165,Sebevražda otravou jedy,49,-,-,-,7,17,9,13,3,-
166,Sebevražda otravou požitím žíravin,51,-,-,-,15,8,8,17,3,-
167,Sebevražda vdechováním jedovatých plynů,10,-,-,-,4,3,-,1,2,-
168,Sebevražda oběšením neb uškrcením,1392,-,-,17,201,259,204,377,328,6
169,Sebevražda utopením,153,-,-,1,35,26,27,32,32,-
170,Sebevražda zastřelením,604,-,-,3,284,186,44,51,35,1
171,Sebevražda nástroji řeznými neb bodnými,37,-,-,-,2,14,3,10,8,-
172,Sebevražda skokem s výše,16,-,-,-,4,6,2,1,3,-
173,Sebevražda rozdrcením,185,-,-,5,82,51,15,17,15,-
174,Sebevražda jiným způsobem,64,-,-,-,17,20,11,12,4,-
175,Otrava potravinami,9,-,-,-,3,1,-,4,1,-
176,Uštknutí neb štípnutí,-,-,-,-,-,-,-,-,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),27,2,7,-,2,7,1,5,3,-
178,Úraz při požáru,10,1,2,-,1,1,2,2,1,-
179,Náhodné popálení (vyjma při požáru),177,17,90,9,8,13,8,18,14,-
180,Náhodné mechanické udušení (vyjma při požáru),66,12,11,4,12,8,8,8,3,-
181,Vdechování plynů nedýchatelných neb jedovatých,35,-,5,2,10,9,3,1,5,-
182,Náhodné utopení,446,2,72,78,150,63,22,25,34,-
183,Poranění střelnou zbraní,69,-,3,6,28,16,9,5,2,-
184,Poranění nástroji řeznými neb bodnými,36,-,1,5,9,9,2,8,2,-
185,Poranění pádem,122,1,2,4,17,17,17,26,38,-
186,Poranění v dolech neb lomech,137,-,-,-,30,50,33,20,4,-
187,Poranění stroji,11,-,-,1,4,6,-,-,-,-
DN,,355,1,19,39,73,88,45,58,32,
188a,Poranění železnicemi a tramvajemi,145,-,4,5,28,50,18,26,14,-
188b,Poranění automobily,125,-,10,29,19,21,21,16,9,-
188c,Poranění motocykly,14,-,1,-,5,3,-,3,2,-
188d,Poranění aeroplány a balony,14,-,-,-,10,4,-,-,-,-
188,Poranění jinými dopravními prostředky,57,1,4,5,11,10,6,13,7,-
188f,Poranění jiným zhmožděním,595,-,27,30,107,143,85,123,80,-
189,Poranění způsobená zvířaty,37,1,3,3,7,6,2,8,7,-
192b,Hlad nebo žízeň,-,-,-,-,-,-,-,-,-,-
193,Přílišný chlad,41,-,-,-,2,2,7,19,11,-
194,Přílišný žár,7,2,-,1,2,1,1,-,-,-
195,Blesk,22,-,-,1,4,7,4,5,1,-
196,Jiné úrazy elektrickým proudem,65,-,-,4,23,24,8,5,1,-
NA,,220,20,20,13,41,41,24,35,26,0
197,Zabití střelnou zbraní,27,-,-,3,6,8,7,3,-,-
198,Zabití nástroji řeznými neb bodnými,15,-,2,1,4,6,2,-,-,-
199,Zabití jinými prostředky,44,-,12,2,7,8,3,8,4,-
200,Zabití dítěte do 1 roku,19,19,-,-,-,-,-,-,-,-
201c,Zlomeniny (bez bližšího označení),456,-,11,18,59,108,48,89,123,-
202a,Ostatní násilná zevní poranění,115,1,6,7,24,19,12,24,22,-
202b,Poprava legální,-,-,-,-,-,-,-,-,-,-
203,Násilná smrt neznáme příčiny,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XVI,Nemoci špatně definované,582,88,22,16,21,38,44,188,164,1
204,Náhlé úmrtí,7,-,-,-,2,-,-,3,2,-
205,Nemoci nespecifikované nebo špatně definované,575,88,22,16,19,38,44,185,162,1
