1943,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
30,Příjice: jiné druhy příjice,81,-,-,-,2,5,10,25,26,13,-,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,1,-,-,-,-,-,-,-,1,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,-,-,-,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,107,44,5,3,2,2,4,1,7,21,18,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,72,24,2,2,-,1,3,1,4,11,24,-
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,66,18,34,14,-,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,34,2,9,9,7,3,4,-,-,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,-,-,-,-,-,-,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,33,1,-,-,1,4,8,7,6,5,1,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,7,-,1,1,1,-,2,1,-,1,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,-,-,-,-,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),5,2,2,1,-,-,-,-,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,3,-,-,-,-,-,-,-,-,1,2,-
39a,Skvrnivka (tyf exanthem.),1,-,-,-,-,1,-,-,-,-,-,-
39b,Jiné rickettsiosy,1,-,-,-,-,-,-,-,-,-,1,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),-,-,-,-,-,-,-,-,-,-,-,-
42,Jiné nemoci způsobené hlísty,1,-,1,-,-,-,-,-,-,-,-,-
43a,Actinomykosy,2,-,-,-,-,-,2,-,-,-,-,-
43b,Jiné mykosy,-,-,-,-,-,-,-,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,51,-,1,-,8,3,6,13,13,2,5,-
44c,Epidemický zánět příušnic,1,-,-,-,-,-,1,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Rakovina a jiné nádory,5952,5,18,22,44,127,468,980,1549,1794,945,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,5,-,-,-,-,-,-,-,-,2,3,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,8,-,-,-,-,-,1,-,3,3,1,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,31,-,-,-,-,1,3,6,5,13,3,-
46a,Rakovina a jiné zhoubné nádory: jícnu,79,-,-,-,-,-,1,8,21,36,13,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,1646,-,-,1,1,15,62,168,411,649,339,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",328,-,-,-,3,1,21,39,81,116,67,-
46d,Rakovina a jiné zhoubné nádory: konečníku,226,-,-,-,1,4,11,28,69,74,39,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,641,-,-,-,2,2,11,78,196,233,119,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",147,1,2,4,1,1,8,22,13,67,28,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,43,-,-,-,-,2,2,9,16,11,3,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,74,-,-,2,1,1,9,15,21,12,13,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,2,-,-,-,-,-,-,-,1,-,1,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,25,-,-,-,-,1,5,1,6,10,2,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",174,-,-,-,2,6,14,36,41,60,15,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,1,-,-,-,-,-,-,-,1,-,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,112,-,-,-,-,5,27,38,29,10,3,-
48b,Rakovina a jiné zhoubné nádory: dělohy,905,-,-,-,3,32,135,228,248,186,73,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,180,-,-,-,3,5,15,48,55,35,19,-
50,Rakovina a jiné zhoubné nádory: prsů,486,-,-,-,-,9,66,126,149,84,52,-
51a,Rakovina a jiné zhoubné nádory: šourku,x,x,x,x,x,x,x,x,x,x,x,x
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: ústrojí močového,78,-,2,-,-,-,3,18,21,27,7,-
53,Rakovina a jiné zhoubné nádory: kůže,112,-,-,-,-,2,3,2,10,37,58,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,22,1,-,1,-,2,6,6,4,1,1,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,11,-,2,-,-,2,-,-,5,2,-,-
55b,Rakovina a jiné zhoubné nádory: kostí,76,-,2,3,5,6,7,10,24,12,7,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,67,-,-,-,-,2,3,10,23,18,11,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,177,2,2,2,6,10,7,17,44,54,33,-
55,"Carcinomatosy, sarkomatosy",14,-,-,-,-,2,3,2,4,2,1,-
55f,Metastasy bez udání prvotního místa,8,-,-,-,-,-,1,2,2,2,1,-
56a,Nádory nezhoubné: vaječníku,18,-,-,-,1,1,5,4,4,-,3,-
56b,Nádory nezhoubné: dělohy,45,-,-,-,-,2,15,19,6,3,-,-
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,2,-,-,-,-,-,-,-,1,1,-,-
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,6,-,-,-,2,-,1,1,1,1,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,7,-,2,-,-,1,1,1,-,2,-,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",7,-,-,-,1,-,-,1,-,2,3,-
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",36,-,-,-,-,-,4,4,8,8,12,-
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",6,-,-,-,-,2,-,2,1,-,1,-
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",93,-,4,7,12,8,15,26,12,7,2,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",54,1,2,2,-,2,3,5,13,14,12,-
,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",879,47,30,58,36,23,51,77,176,250,131,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,64,1,3,40,14,4,-,1,-,1,-,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,15,-,1,2,1,1,1,1,1,3,4,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,119,-,-,-,1,1,6,5,18,37,51,-
60,Dna,3,-,-,-,-,-,-,-,-,1,2,-
61,Úplavice cukrová,457,1,-,4,10,9,19,47,124,180,63,-
62,Nemoci podvěsku mozkového,2,-,1,-,-,-,-,-,-,1,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,15,-,-,-,2,-,-,2,4,4,3,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,97,-,-,-,6,5,19,19,23,19,6,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,11,-,1,-,1,-,4,-,3,1,1,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,23,19,3,1,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",8,-,-,1,-,2,1,2,-,1,1,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",1,-,-,-,-,-,-,-,1,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,2,1,-,-,-,-,-,-,1,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,33,6,16,10,-,-,-,-,1,-,-,-
67,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,1,-,-,-,-,-,-,-,-,1,-,-
70,Křivice,28,19,5,-,1,1,1,-,-,1,-,-
71,Jiné avitaminosy,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,229,5,11,12,14,15,26,39,41,54,12,-
72a,Stavy krvácivé: purpury prvotní,9,1,1,-,1,-,3,1,2,-,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),4,1,-,-,2,-,-,1,-,-,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,72,-,1,2,2,2,-,14,15,27,9,-
73b,Chudokrevnost: jiná anaemie,20,3,1,1,2,2,1,1,2,7,-,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,98,-,7,8,5,6,17,16,19,18,2,-
74b,Leukaemie a aleukaemie: aleukaemie,5,-,-,-,1,1,-,1,1,1,-,-
75,Nemoci sleziny,5,-,-,1,-,1,1,2,-,-,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,14,-,1,-,1,3,4,3,2,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,2,-,-,-,-,-,-,-,-,1,1,-
,,,,,,,,,,,,,
V,Otravy vleklé,-,-,-,-,-,-,-,-,-,-,-,-
77a,Alkoholismus prudký,-,-,-,-,-,-,-,-,-,-,-,-
77b,Alkoholismus vleklý a bez bližšího označení,-,-,-,-,-,-,-,-,-,-,-,-
78a,Otrava olovem: označená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
DU,,67,1,1,0,5,8,9,16,14,9,4,0
,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,3795,410,72,59,69,68,137,296,608,1024,1052,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,11,1,-,1,2,-,2,2,2,-,1,-
80b,Zánět mozku (nikoli epidemický): jiné formy,38,7,7,6,5,4,3,2,-,4,-,-
81,Zánět plen mozkových prostý,148,34,24,28,26,6,9,6,8,3,4,-
82,Nemoci míchy,87,-,1,3,2,8,13,13,25,20,2,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2455,-,1,1,6,5,39,193,475,859,876,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,63,-,3,-,-,2,2,7,10,22,17,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,76,-,1,-,-,-,1,1,11,20,42,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,171,-,-,2,3,7,2,10,29,51,67,-
84a,Duševní nemoci a vady: slabomyslnost,14,1,1,-,3,1,-,2,2,4,-,-
84b,Duševní nemoci a vady: schoizophrenie,16,-,-,-,1,4,4,2,2,2,1,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,2,-,-,-,-,1,-,-,-,1,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,35,-,-,-,1,2,5,12,10,2,3,-
85,Padoucnice,55,2,5,3,6,10,10,6,8,1,4,-
86,Křeče u dětí do 5 let,330,311,19,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,3,-,1,2,-,-,-,-,-,-,-,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,12,1,1,1,1,1,2,-,1,1,3,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,32,-,-,-,-,2,6,5,5,8,6,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,128,-,-,1,3,11,30,28,16,16,23,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,18,1,-,3,4,-,4,1,1,3,1,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,96,49,8,6,6,4,5,6,3,7,2,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,5,3,-,2,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,12369,37,27,113,143,199,406,690,1759,3849,5146,-
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,1,-,-,-,-,-,-,-,-,1,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,17,2,-,2,2,4,1,2,2,1,1,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),26,1,4,8,4,1,4,1,2,-,1,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,1174,-,6,30,65,71,126,131,214,326,205,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,111,-,1,10,11,10,11,22,22,17,7,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),56,6,4,5,1,3,3,2,7,15,10,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,188,-,-,3,1,1,5,9,41,77,51,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",5712,8,3,9,15,36,111,247,725,1850,2708,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1255,3,4,12,3,14,32,57,157,408,565,-
94a,Nemoci tepen věnčitých,68,-,-,-,-,1,1,7,19,25,15,-
94b,Angina srdeční,122,-,-,-,-,1,3,14,37,47,20,-
95a,Jiné nemoci srdce: označené jako rheumatické,77,-,-,3,3,2,3,8,20,24,14,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,1974,4,4,29,35,44,90,164,398,644,562,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",7,-,-,-,-,-,2,3,1,1,-,-
97,Zkornatění tepen,1343,-,-,-,-,-,2,12,81,347,901,-
98,Sněť,98,5,-,-,2,1,5,2,12,22,49,-
99,Jiné nemoci tepen,33,-,-,2,1,5,-,4,5,10,6,-
100a,Nemoci žil: městky,50,-,-,-,-,1,-,1,6,19,23,-
100b,Nemoci žil: jiné nemoci žil,36,1,-,-,-,4,4,-,9,11,7,-
101,Nemoci soustavy mízní,15,7,1,-,-,-,1,3,-,2,1,-
102,Essentielní zvýšení tlaku krevního,5,-,-,-,-,-,1,1,1,2,-,-
103,Jiné nemoci ústrojí oběhu krevního,1,-,-,-,-,-,1,-,-,-,-,-
,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,6045,1976,350,119,72,96,177,234,509,1121,1391,-
104,Nemoci dutiny nosní a přídatných útvarů,8,6,1,-,-,1,-,-,-,-,-,-
105,Nemoci hrtanu,10,2,6,-,2,-,-,-,-,-,-,-
106a,Zánět průdušek: prudký,121,82,12,1,-,-,1,1,3,8,13,-
106b,Zánět průdušek: vleklý,161,7,1,2,-,1,3,4,22,53,68,-
106c,Zánět průdušek: blíže neoznačený,259,104,9,4,1,1,4,5,11,32,88,-
107,Lalůčkový zánět plic (bronchopneumonie),2785,1358,206,43,17,24,54,52,135,343,553,-
108,Lalokový zánět plic,1039,136,48,25,30,32,56,75,140,273,224,-
109,Zánět plic blíže neoznačený,914,243,36,23,12,17,23,35,100,205,220,-
110a,Zánět pohrudnice: empyema thoracis,98,22,20,8,4,4,11,7,10,10,2,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,179,11,9,9,4,4,12,20,29,41,40,-
111a,"Infarkt s krvácením, embolie a trombosa plic",51,1,-,-,-,5,1,14,14,10,6,-
111b,Hypostatický zánět a oedem plic,38,2,-,-,-,1,2,4,5,5,19,-
112,Záducha (asthma),113,2,1,2,-,2,2,8,12,41,43,-
113,Rozedma plic,220,-,-,-,-,-,-,3,21,88,108,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,7,-,-,-,-,-,-,1,-,4,2,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,40,-,1,2,2,3,7,5,7,8,5,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,2,-,-,-,-,1,1,-,-,-,-,-
,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,2866,1079,111,88,107,98,199,240,321,346,276,1
115a,Nemoci mandlí a hltanu,87,24,12,9,15,4,8,6,4,4,1,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,23,8,1,1,3,3,-,1,2,2,2,-
116,Nemoci jícnu,7,-,-,1,-,-,2,1,-,1,2,-
117a,Vřed žaludeční,145,-,-,-,-,5,14,37,39,39,11,-
117b,Vřed dvanáctníkový,14,-,-,-,-,3,1,3,5,2,-,-
118,Jiné nemoci žaludku,32,-,1,3,-,-,1,1,5,6,15,-
119,Průjem a katar střevní u dětí do 2 let,1068,1014,54,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,88,-,7,11,4,4,5,8,7,19,23,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),13,-,-,-,3,2,2,1,2,2,1,-
121,Zánět červíkovitého přívěsku,189,2,14,38,33,20,31,19,17,11,3,1
122a,Kýla,152,2,-,-,-,-,4,17,32,49,48,-
122b,Neprůchodnost střevní,237,8,4,2,5,8,22,35,33,52,68,-
123,Ostatní nemoci střevní,8,-,-,-,1,1,1,1,-,-,4,-
124a,Svraštění jater: alkoholické,-,-,-,-,-,-,-,-,-,-,-,-
124b,Svraštění jater: neoznačené za alkoholické,272,-,1,1,5,13,29,38,67,71,47,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),99,2,2,6,12,4,18,20,18,12,5,-
125b,Jiné nemoci jater: ostatní nemoci jater,50,-,2,2,1,5,7,10,10,7,6,-
126,Kaménky žlučové,83,-,-,-,1,4,12,14,17,21,14,-
127,Jiné nemoci žlučníku a žlučovodů,96,-,-,-,1,2,8,9,27,31,18,-
128,Nemoci slinivky břišní,15,-,-,-,-,-,1,3,7,2,2,-
129,Zánět pobřišnice bez udání příčiny,188,19,13,14,23,20,33,16,29,15,6,-
,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1070,14,24,21,28,71,105,173,217,240,177,-
130,Prudký zánět ledvin,40,1,14,6,1,2,3,5,4,2,2,-
131,Vleklý zánět ledvin,724,2,2,6,15,33,52,119,163,194,138,-
132,Zánět ledvin nerozlišený,117,2,7,8,5,5,15,19,21,21,14,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",45,6,-,-,-,3,1,7,11,10,7,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",20,-,1,-,-,3,1,1,8,5,1,-
134,Kaménky cest močových,16,-,-,-,-,-,3,6,2,2,3,-
135a,Zánět měchýře močového,9,2,-,-,-,-,1,-,-,3,3,-
135b,Jiné nemoci močového měchýře a poruchy močení,2,1,-,-,-,-,-,-,-,-,1,-
136,Nemoci roury močové,6,-,-,-,-,1,-,1,1,1,2,-
137a,Nezhoubné nádory žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137b,Zbytnění žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137c,Ostatní nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,x,x,x,x,x,x,x,x,x,x,x,x
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",58,-,-,-,5,12,20,13,6,1,1,-
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,28,-,-,-,1,10,9,2,1,-,5,-
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,3,-,-,-,1,2,-,-,-,-,-,-
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,2,-,-,1,-,-,-,-,-,1,-,-
,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",316,-,-,1,77,141,94,3,-,-,-,-
140,Potrat se sepsí,59,-,-,-,14,24,20,1,-,-,-,-
141,Potrat bez zmínky o sepsi,9,-,-,-,3,1,5,-,-,-,-,-
142,Těhotenství mimoděložní,24,-,-,-,2,11,10,1,-,-,-,-
143a,Krvácení v těhotenství: lůžko vcestné,2,-,-,-,-,1,1,-,-,-,-,-
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),-,-,-,-,-,-,-,-,-,-,-,-
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,1,-,-,-,-,1,-,-,-,-,-,-
144a,Otrava krve v těhotenství: křeče v těhotenství,20,-,-,-,7,9,4,-,-,-,-,-
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,6,-,-,-,2,-,4,-,-,-,-,-
144c,Otrava krve v těhotenství: jiné toxikosy,2,-,-,-,-,2,-,-,-,-,-,-
145,Jiné nemoci a příhody těhotenství,4,-,-,-,1,1,2,-,-,-,-,-
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,16,-,-,-,1,9,6,-,-,-,-,-
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,1,-,-,-,1,-,-,-,-,-,-,-
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,-,-,-,-,-,-,-,-,-,-,-,-
146d,Krvácení při porodu a poporodní: krvácení po porodu,27,-,-,-,4,12,11,-,-,-,-,-
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),68,-,-,-,25,28,15,-,-,-,-,-
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,3,-,-,-,1,2,-,-,-,-,-,-
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,11,-,-,-,3,7,1,-,-,-,-,-
148a,Toxikosy ve stavu poporodním: eclampsie,21,-,-,1,6,10,4,-,-,-,-,-
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,2,-,-,-,2,-,-,-,-,-,-,-
148c,Toxikosy ve stavu poporodním: jiné toxikosy,1,-,-,-,1,-,-,-,-,-,-,-
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),11,-,-,-,1,7,3,-,-,-,-,-
149b,Jiné příhody porodu: ostatní příhody,14,-,-,-,1,8,5,-,-,-,-,-
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,14,-,-,-,2,8,3,1,-,-,-,-
,,,,,,,,,,,,,
