1990,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,,
MKN (1976),Název,Celkem,0,1,2,3,4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,
48,Jiné enterovirové nemoci centrální nervové soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
49,"Jiné virové nemoci centrální nervové soustavy, nepřenášené členovci",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
50,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
51,Kravské neštovice a paravakcinie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
52,Plané neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
53,Pásový opar,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,
54,Prostý opar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
55,Spalničky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
56,Zarděnky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
57,Jiné virové nemoci s vyrážkou,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
60,Žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
61,Dengue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
62,Virový zánět mozku přenášený komáry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
63,Virový zánět mozku přenášený klíšťaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
64,Virový zánět mozku přenášený jinými nebo blíže neurčenými členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
65,Hemoragická horečka přenášená členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
66,Jiné virové nemoci přenášené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
70,Virový zánět jater,14,-,-,-,-,-,-,-,-,-,1,-,-,2,2,1,-,2,3,-,2,-,1,
71,Vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
72,Epidemický zánět příušnic,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,
73,"Ornithosis, psittacosis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
74,Specifické nemoci působené virem Coxsackie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
75,Infekční mononukleóza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
76,Trachom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
77,Jiné nemoci spojivky působené viry a chlamydiemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
78,Jiné nemoci působené viry a chlamydiemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
79,Virové infekce při onemocněních zařazených jinde nebo s blíže neurčenou lokalizací,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,
80,Epidemická skvrnivka - přenášená vešmi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
81,Jiná skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
82,Rickettsiózy přenášené klíšťaty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
83,Jiné rickettsiózy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
84,Malárie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
85,Leishmaniosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
86,Trypanosomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
87,Návratná horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
88,Jiné nemoci přenášené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
90,Vrozená syfilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
91,Čerstvá syfilis s příznaky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
92,Čerstvá syfilis latentní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
93,Kardiovaskulární syfilis,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,
94,Neurosyfilis,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,
95,Jiné formy pozdní syfilidy s příznaky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
96,Pozdní syfilid latentní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
97,Jiná nebo blíže neurčená syfilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
98,Gonokoková onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
99,Jiné pohlavní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
100,Leptospirosis,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,
101,Vincentova angína,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
102,Frambézie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
103,Pinta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
104,Jiné spirochétové infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
110,Dermatophytosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
111,"Dermatomycosis, jiná nebo blíže neurčená",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
112,"Candidosis, moniliasis",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
114,Coccidioidomycosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
115,Histoplasmosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
116,Blastomykotické infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
117,Jiné mykózy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
118,Dermatomykózy působené potenciálně parazitárními houbami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
120,Schistosomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
121,Jiné infekce trematody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
122,"Echinococcosis, hydatidosis - měchožil",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
123,Jiné infekce cestody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
124,Trichinosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
125,Filariasis a dracontiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
126,Ankylostomiasis a necatoriasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
127,Jiné střevní helmintiázy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
128,Jiné a blíže neurčené helmintiázy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
129,Střevní parazitismus blíže neurčený,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
130,Toxoplasmosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
131,Trichomoniasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
132,Zavšivení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
133,Acariasis (svrab),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
134,Jiná napadení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
135,Sarcoidosis,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,1,-,1,-,-,
136,Jiné a blíže neoznačené infekční a parazitární nemoci,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,
137,Pozdní následky tuberkulózy,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,1,1,
138,Pozdní následky akutní poliomyelitidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
139,Pozdní následky jiných infekčních a parazitárních nemocí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,,,,,,,,,,,
II,Novotvary,12 530,10,4,9,5,4,16,21,24,21,41,84,175,329,479,512,937,1 389,1 951,1 330,2 322,1 774,1 093,
140,Zhoubný novotvar rtu,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,2,3,2,
141,Zhoubný novotvar jazyka,23,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,2,2,1,5,3,3,
142,Zhoubný novotvar slinné žlázy,17,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,5,3,5,
143,Zhoubný novotvar dásně,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,
144,Zhoubný novotvar ústní spodiny,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,
145,Zhoubný novotvar jiné nebo blíže neurčené části úst,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,1,
146,Zhoubný novotvar ústní částí hltanu,8,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,1,4,-,-,
147,Zhoubný novotvar nosohltanu,10,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,-,1,-,2,1,
148,Zhoubný novotvar hypofaryngu,9,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,3,1,1,1,1,-,
149,"Zhoubný novotvar jiné nebo nepřesně určené lokalizace v oblasti rtu, ústní dutiny nebo hltanu",5,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,-,1,1,
150,Zhoubný novotvar jícnu,57,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,5,5,4,3,15,12,9,
151,Zhoubný novotvar žaludku,938,-,-,-,-,-,-,-,-,-,3,5,13,20,23,30,42,67,121,114,192,200,108,
152,Zhoubný novotvar tenkého střeva včetně dvanáctníku,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,6,3,11,4,2,
153,Zhoubný novotvar tlustého střeva,1 107,-,-,-,-,-,-,-,-,-,2,3,5,13,32,27,66,95,154,122,253,204,131,
154,"Zhoubný novotvar konečníku, rektosigmoidálního spojení nebo řiti",787,-,-,-,-,-,-,-,1,-,1,1,4,8,18,22,49,79,123,98,159,144,80,
155,Zhoubný novotvar jater a intrahepatálních žlučových cest,344,2,-,1,-,-,1,-,-,-,-,-,4,5,6,6,34,43,62,41,68,50,21,
156,Zhoubný novotvar žlučníku a extrahepatálních žlučových cest,658,-,-,-,-,-,-,-,-,-,-,1,2,3,16,17,40,59,116,81,145,119,59,
157,Zhoubný novotvar slinivky břišní,656,-,-,-,-,-,-,-,1,1,1,3,2,10,16,19,34,73,130,74,154,90,48,
158,Zhoubný novotvar retroperitonea nebo pobřišnice,55,-,-,2,-,-,-,-,-,-,-,-,-,-,-,5,10,6,8,6,10,7,1,
159,Zhoubný novotvar jiné nebo nepřesně určené lokalizace v oblasti trávicího ústrojí nebo pobřišnice,258,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,9,19,40,19,57,65,46,
160,"Zhoubný novotvar nosních dutin, středního ucha nebo obličejových dutin",23,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,2,5,2,2,-,3,6,
161,Zhoubný novotvar hrtanu,27,-,-,-,-,-,-,-,-,-,-,1,-,1,3,-,3,2,6,2,2,2,5,
162,"Zhoubný novotvar průdušnice, průdušek a plic",851,-,-,-,-,-,-,-,-,-,2,1,5,23,42,38,90,134,153,91,147,77,48,
163,Zhoubný novotvar pohrudnice,20,-,-,-,-,-,-,-,-,1,-,-,-,2,1,2,4,4,2,2,2,-,-,
164,"Zhoubný novotvar brzlíku, srdce nebo mezihrudí",12,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,3,-,1,2,1,1,1,
165,Zhoubný novotvar jiné nebo nepřesně určené lokalizace v oblasti dýchacích ústrojí nebo nitrohrudn,9,-,-,-,-,1,-,-,1,-,-,-,1,-,-,-,1,-,1,2,1,1,-,
170,Zhoubný novotvar kosti nebo kloubní chrupavky,49,-,-,2,1,-,-,5,2,1,1,4,3,2,1,-,4,5,3,5,5,4,1,
171,Zhoubný novotvar pojivové nebo jiné měkké tkáně,53,1,-,-,-,-,-,-,-,-,-,1,3,2,2,4,4,6,4,6,10,3,7,
172,Zhoubný melanom kůže,173,-,-,-,-,-,-,-,-,2,1,3,8,12,11,9,8,18,20,18,30,24,9,
173,Jiný zhoubný novotvar kůže,93,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,4,2,3,5,15,22,38,
174,Zhoubný novotvar ženského prsu,1 907,-,-,-,-,-,-,-,-,1,2,18,31,70,113,137,180,266,283,170,289,212,135,
175,Zhoubný novotvar mužského prsu,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
179,Zhoubný novotvar neurčené části dělohy,152,-,-,-,-,-,-,-,-,-,1,2,3,3,7,2,15,15,30,14,24,24,12,
180,Zhoubný novotvar děložního čípku,417,-,-,-,-,-,-,-,-,-,7,17,24,39,26,19,36,51,53,33,53,41,18,
181,Zhoubný novotvar lůžka - placenty,3,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,
182,Zhoubný novotvar děložního těla,423,-,-,-,-,-,-,-,-,-,-,-,7,5,11,14,31,36,91,55,79,68,26,
183,Zhoubný novotvar vaječníku nebo jiných adnex dělohy,794,-,-,-,-,-,-,-,1,2,2,6,22,37,50,49,91,119,131,81,109,60,34,
184,Zhoubný novotvar jiného nebo blíže neoznačeného ženského pohlavního orgánu,203,-,-,-,-,-,-,-,-,-,-,-,2,3,6,5,8,15,32,19,47,38,28,
185,Zhoubný novotvar předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
186,Zhoubný novotvar varlete,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
187,Zhoubný novotvar pyje nebo jiného mužského pohlavního orgánu,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
188,Zhoubný novotvar močového měchýře,172,-,-,-,-,-,-,-,-,-,-,-,1,1,-,5,8,8,26,21,44,31,27,
189,Zhoubný novotvar ledviny nebo jiného nebo blíže neurčeného močového orgánu,437,-,-,-,-,-,-,-,-,1,-,2,2,1,18,22,44,58,94,52,78,33,32,
190,Zhoubný novotvar oka,14,1,-,-,-,-,-,1,-,-,-,-,-,1,1,-,1,1,2,-,1,1,4,
191,Zhoubný novotvar mozku,209,2,2,2,-,1,6,5,8,1,4,4,9,18,15,16,24,30,28,11,17,5,1,
192,Zhoubný novotvar jiné nebo blíže neurčené části nervové soustavy,9,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,1,-,2,2,1,-,
193,Zhoubný novotvar štítné žlázy,97,-,-,-,-,-,-,-,-,-,-,-,3,2,2,2,2,11,11,8,30,18,8,
194,Zhoubný novotvar jiné žlázy s vnitřní sekrecí nebo příbuzné tkáně,15,-,-,-,-,-,-,-,-,-,-,-,-,3,2,2,1,2,2,1,1,1,-,
195,Zhoubný novotvar jiné nebo nepřesně určené lokalizace,126,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,4,16,17,17,24,22,21,
196,Sekundární nebo blíže neurčený zhoubný novotvar mízních uzlin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
197,Sekundární zhoubný novotvar dýchací nebo trávicí soustavy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
198,Sekundární zhoubný novotvar jiné určené lokalizace,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
199,Zhoubný novotvar bez určení lokalizace,275,-,-,-,-,-,-,-,-,1,1,-,3,3,10,7,14,25,40,32,59,45,35,
200,Lymforarkom a retikulosarkom,47,-,-,-,1,-,-,-,2,-,1,-,1,1,-,1,6,8,6,4,8,5,3,
201,Hodgkinova nemoc,66,-,-,-,-,-,-,1,1,4,1,1,1,5,5,4,5,5,6,10,7,5,5,
202,Jiný zhoubný novotvar mízní nebo histiocytární tkáně,166,-,1,-,-,-,2,1,1,1,-,2,2,2,10,4,9,14,24,22,33,24,14,
203,Mnohočetný myelom a imunoproliferativní novotvary,168,-,-,-,-,-,-,-,-,-,-,-,1,6,7,7,8,23,29,25,30,23,9,
204,Lymfatická leukémie,159,1,1,1,1,1,6,2,4,3,3,1,2,1,3,2,5,13,25,16,24,34,10,
205,Myeloidní leukémie,161,-,-,-,-,1,-,5,-,2,6,3,3,11,5,6,16,16,23,18,28,12,6,
206,Monocytární leukémie,13,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,5,-,1,1,2,
207,Jiná určená leukémie,10,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,1,-,3,1,1,
208,Leukémie blíže neurčeného buněčného typu,43,-,-,1,-,-,1,1,2,-,-,-,1,2,4,2,1,5,6,3,8,2,4,
210,"Nezhoubný novotvar rtu, ústní dutiny a hltanu",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
211,Nezhoubný novotvar jiné části trávicí soustavy,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,
212,Nezhoubný novotvar dýchacích nebo nitrohrudních orgánů,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,
213,Nezhoubný novotvar kosti nebo kloubní chrupavky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
214,Lipom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
215,Jiný nezhoubný novotvar pojivové nebo jiné měkké tkáně,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
216,Nezhoubný novotvar kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
217,Nezhoubný novotvar prsu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
218,Leiomyom dělohy,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,
219,Jiný nezhoubný novotvar dělohy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
220,Nezhoubný novotvar vaječníku,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,2,1,-,
221,Nezhoubný novotvar jiného ženského pohlavního orgánu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
222,Nezhoubný novotvar mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
223,Nezhoubný novotvar ledviny nebo jiného močového orgánu,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,
224,Nezhoubný novotvar oka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
225,Nezhoubný novotvar mozku nebo jiné části nervové soustavy,45,-,-,-,-,-,-,-,-,-,-,1,2,1,3,5,3,5,11,6,3,4,1,
226,Nezhoubný novotvar štítné žlázy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
227,Nezhoubný novotvar jiné žlázy s vnitřní sekrecí nebo příbuzné tkáně,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,
