1958,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš-těno
E851,Ostatní úrazy při vodní dopravě způsobené potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný neoznačený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,23,-,-,-,-,-,-,5,13,4,1,-,-,-,-,-
E860,Úraz způsobený posádce vojenského letadla,14,-,-,-,-,-,-,2,11,1,-,-,-,-,-,-
E861,Poranění cestujících při nehodách dopravních letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E862,Jiné poranění v dopravních letadlech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Poranění cestujících při nehodách jiných letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Letecký úraz způsobený na letišti osobám mimo letadlo,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E865,Letecký úraz mimo letadlo jinde než na letišti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E866,Jiný a blíže neoznačený letecký úraz,8,-,-,-,-,-,-,2,2,3,1,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy látkami pevnými a tekutinami,49,-,2,1,1,-,2,2,5,12,11,8,5,-,-,-
E870,Náhodná otrava morfiem a jinými deriváty opia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E871,Náhodná otrava kyselinou barbiturovou a jejími deriváty,4,-,-,-,-,-,-,-,-,2,1,-,1,-,-,-
E872,Náhodná otrava aspirinem a salicyláty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Náhodná otrava bromidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E874,Náhodná otrava jinými analgetiky a uspávacími prostředky,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E875,Náhodná otrava sulfonamidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E876,Náhodná otrava strychninem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E877,"Náhodná otrava belladonou, skopolaminem a atropinem",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E878,Náhodná otrava jinými a neurčenými léčivy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E879,Náhodná otrava škodlivými potravinami,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
E880,Náhodná otrava alkoholem,27,-,-,-,-,-,-,1,3,9,6,6,2,-,-,-
E881,Náhodná otrava naftovými produkty,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-
E882,Náhodná otrava průmyslovými rozpustidly,2,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-
E883,"Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami",2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-
E884,Náhodná otrava rtutí a jejími sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E885,Náhodná otrava olovem a jeho sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E886,Náhodná otrava arsenem a antimonem a jejich sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E887,Náhodná otrava fluoridy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E888,Náhodná otrava jinými a neurčenými látkami pevnými a tekutými,9,-,2,-,1,-,1,-,-,-,3,1,1,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy plynem a parami,103,-,1,2,2,-,3,8,13,8,18,14,12,18,4,-
E890,Náhodná otrava svítiplynem,47,-,-,-,-,-,1,4,3,3,8,6,9,12,1,-
E891,Náhodná otrava výfukovým plynem motorových vozidel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E892,Náhodná otrava jiným kysličníkem uhelnatým,52,-,1,2,2,-,2,2,9,5,10,7,3,6,3,-
E893,Náhodná otrava kyanovodíkem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E894,Náhodná otrava jinými určenými plyny nebo parami,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
E895,Náhodná otrava neurčenými plyny nebo parami,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné pády,522,-,-,1,1,2,6,20,26,17,44,64,103,155,83,-
E900,Pád na schodech ,21,-,-,-,-,-,1,-,1,2,-,5,5,6,1,-
E901,Pád se žebříku ,17,-,-,-,-,-,-,-,2,2,3,1,7,1,1,-
E902,Jiný pád do hloubky,193,-,-,1,1,2,5,19,20,11,34,41,30,23,6,-
E903,Pád na rovině,78,-,-,-,-,-,-,-,1,-,3,6,18,34,16,-
E904,Neurčený pád ,213,-,-,-,-,-,-,1,2,2,4,11,43,91,59,-
,,,,,,,,,,,,,,,,,
,Jiné náhodné úrazy,1222,125,31,27,20,12,130,222,146,117,136,123,74,49,10,-
E910,Náhodný úraz způsobený padajícími předměty,57,1,-,-,3,-,10,5,8,12,8,6,2,2,-,-
E911,Náhodný úraz způsobený vozidly,22,-,-,1,-,1,1,2,1,4,5,2,4,1,-,-
E912,Náhodný úraz způsobený stroji a nástroji,52,-,-,1,-,-,4,8,8,6,15,6,3,1,-,-
E913,Náhodný úraz způsobený řeznými a bodnými nástroji,6,-,-,-,-,-,2,2,-,-,2,-,-,-,-,-
E914,Náhodný úraz způsobený elektrickým proudem,66,-,-,1,-,1,9,14,16,9,8,7,1,-,-,-
E915,Náhodný úraz způsobený výbuchem parního kotle,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E916,Náhodný úraz způsobený ohněm a výbuchem hořlavých látek,54,-,3,1,-,1,4,9,5,8,5,5,3,7,3,-
E917,"Náhodný úraz způsobený vřelou substancí, leptavou tekutinou nebo parou",18,-,3,3,1,3,-,-,1,1,2,1,-,2,1,-
E918,Náhodný úraz způsobený zářením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E919,Náhodný úraz způsobený střelnou zbraní,48,-,-,1,1,-,17,16,5,1,4,3,-,-,-,-
E920,Cizí těleso vniklé do oka a jeho adnexů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E921,Dušení potravou v hrtanu nebo jiných cestách dýchacích ,145,106,6,2,1,-,3,2,-,2,8,10,5,-,-,-
E922,Dušení jinými předměty v hrtanu nebo jiných cestách dýchacích ,6,1,-,-,-,-,-,-,-,-,1,2,1,1,-,-
E923,Cizí těleso vniklé do jiných otvorů těla,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E924,Náhodné mechanické udušení v posteli a kočárku,10,7,2,1,-,-,-,-,-,-,-,-,-,-,-,-
E925,Náhodné mechanické udušení za jiných nebo neoznačených okolností,14,4,-,-,-,-,2,2,2,2,1,-,-,-,1,-
E926,Nedostatek péče o děti ve věku do jednoho roku,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E927,Úraz kousnutím nebo uštknutím  živočichy a hmyzem,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
E928,Jiný náhodný úraz způsobený zvířaty,22,-,-,-,-,-,2,-,1,2,6,4,6,1,-,-
E929,Náhodné tonutí,289,-,16,14,14,6,69,77,25,14,10,16,18,8,2,-
E930,Vysoký a  nízký tlak vzduchu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E931,"Nadměrné horko, úžeh a úpal",1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E932,Nadměrný chlad,12,-,-,-,-,-,-,2,2,-,-,2,2,3,1,-
E933,"Hlad, žízeň a  jiné strádání ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E934,Přírodní katastrofa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E935,Blesk,13,-,-,-,-,-,-,2,2,2,5,2,-,-,-,-
E936,Jiný a neurčený náhodný úraz,200,1,1,2,-,-,7,26,28,24,24,37,29,19,2,-
E937,"Úraz v dolech, v lomech",178,-,-,-,-,-,-,54,41,30,31,18,-,4,-,-
,,,,,,,,,,,,,,,,,
,Komplikace způsobené neléčebnými lékařskými zákroky,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E940,Generalisovaná vakcína po vakcinaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E941,Zánět mozku povakcinační,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E942,Jiné komplikace očkování proti neštovicím,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E943,Hepatitis po profylaktické injekci a podobné imunisaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E944,Jiné komplikace profylaktického očkování ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E945,Komplikace při anestesii u neléčebných zákroků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E946,Jiné komplikace neléčebných lékařských zákroků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Léčebné  nehody a pozdní komplikace léčebných zákroků,4,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-
E950,Léčebná nehoda při chirurgickém ošetření,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E951,Léčebná nehoda při infusi nebo transfusi,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E952,Léčebná nehoda při místní aplikaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E953,Léčebná nehoda při užívání léčiv a biologických látek,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
E954,Léčebná nehoda při anestesii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E955,Jiná nebo blíže neurčená léčebná nehoda ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E956,Pozdní komplikace chirurgických operací,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E957,Pozdní komplikace amputačních pahýlů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E958,Pozdní komplikace po ozařování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E959,Pozdní komplikace jiných druhů léčení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Pozdní následky úrazů a otrav  ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E960,Pozdní následek náhodných úrazů motorovými vozidly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E961,Pozdní následek náhodných otrav,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E962,Pozdní následek jiných náhodných úrazů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E963,Pozdní následek sebepoškození,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E964,Pozdní následek úrazů způsobených úmyslně jinou osobou ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E965,Pozdní následek úrazů vzniklých válečnými operacemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
SE,Sebevraždy a sebepoškození,1582,-,-,-,-,-,21,112,167,210,383,338,192,129,30,-
E970,Sebevražda a sebepoškození analgetiky a uspávacími prostředky,23,-,-,-,-,-,1,-,3,3,8,6,1,1,-,-
E971,Sebevražda a sebepoškození jinými pevnými látkami a tekutinami,41,-,-,-,-,-,-,3,6,6,11,6,5,3,1,-
E972,Sebevražda a sebepoškození plyny v domácím používání,126,-,-,-,-,-,1,8,26,18,35,14,10,10,4,-
E973,Sebevražda a sebepoškození jinými plyny,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
E974,Sebevražda a sebepoškození věšením a škrcením,1048,-,-,-,-,-,17,32,87,138,252,249,149,102,22,-
E975,Sebevražda a sebepoškození  tonutím (utonutím),41,-,-,-,-,-,-,2,6,9,5,9,3,5,2,-
E976,Sebevražda a sebepoškození  zbraněmi a výbušninami,141,-,-,-,-,-,-,51,24,12,28,18,6,2,-,-
E977,Sebevražda a sebepoškození  nástroji řeznými a bodnými,39,-,-,-,-,-,-,1,4,7,12,9,5,-,1,-
E978,Sebevražda a sebepoškození  skokem s výše,45,-,-,-,-,-,-,2,2,6,13,13,4,5,-,-
E979,Sebevražda a sebepoškození  jinými prostředky ,15,-,-,-,-,-,-,1,3,-,3,4,4,-,-,-
E97a,Sebevražda vlakem,61,-,-,-,-,-,2,11,6,10,16,10,5,1,-,-
,,,,,,,,,,,,,,,,,
NA,Usmrcení a poranění způsobená úmyslně jinou osobou (ne ve válce),48,3,1,1,-,-,3,8,7,8,9,7,1,-,-,-
E980,Úmyslné otrávení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E981,Napadení  střelnou zbraní a výbušninou,11,-,-,-,-,-,-,3,1,2,2,3,-,-,-,-
E982,Napadení  nástroji řeznými a bodnými,15,-,-,-,-,-,1,3,2,3,4,2,-,-,-,-
E983,Napadení  jinými prostředky,21,3,1,1,-,-,2,1,4,3,3,2,1,-,-,-
E984,Zranění způsobená zákrokem policie,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E985,Poprava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Poranění vzniklá válečnými operacemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
