1922,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-9,10-14,15-19,20-29,30-39,40-59,60-79,80+,Nezjiš- těno
106,Rozedma plic,1424,-,2,-,2,-,5,7,188,1108,112,-
107,Ostatní choroby ústrojí dýchacího,87,12,5,1,1,1,6,9,15,36,1,-
,,,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,6405,3970,347,76,68,68,226,258,615,720,57,-
108b,Choroby ústní dutiny a jejich adnex,8,6,-,-,-,-,-,-,1,1,-,-
109,Choroby hltanu nebo mandlí,50,25,4,5,3,1,-,4,6,2,-,-
110,Choroby jícnu,6,2,1,-,1,-,-,-,2,-,-,-
111a,Vřed žaludeční,147,-,3,1,-,7,17,14,57,47,1,-
111b,Vřed dvanácterníku,23,-,-,1,-,1,-,2,10,9,-,-
112,Jiné choroby žaludeční,59,-,6,-,1,-,5,3,16,27,1,-
113,Průjem a zánět střev (pod 2 roky),4129,3896,233,-,-,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),322,-,62,22,11,6,9,17,61,114,20,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,-,-,-,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,150,1,6,12,20,14,23,17,31,24,2,-
118a,Kýla ,158,1,1,-,1,1,4,8,55,80,7,-
118b,Záhať střevní,198,4,5,2,3,2,8,9,63,90,12,-
119b,Jiné choroby střev,45,6,2,2,-,2,-,6,15,12,-,-
120,Prudká atrofie jater,10,-,-,-,1,-,3,1,2,2,1,-
121,Hydativní nádor jater,-,-,-,-,-,-,-,-,-,-,-,-
122a,Svraštění jater alkoholické,6,-,1,-,1,-,-,-,3,1,-,-
122b,Svraštění jater neoznačené jako alkoholické,115,2,-,1,-,-,-,6,42,61,3,-
123,Žlučové kaménky,95,-,-,-,-,1,3,13,40,37,1,-
124,Jiné choroby jater,219,9,3,4,3,2,22,12,76,86,2,-
125,Choroby mikteru,6,-,-,-,-,-,-,5,-,1,-,-
126,Zánět pobřišnice bez označení příčiny,659,18,20,26,23,31,132,141,135,126,7,-
,,,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,1547,29,52,32,40,49,113,191,520,493,27,1
128,Prudký zánět ledvin,109,13,32,13,4,5,6,8,16,10,2,-
129,Vleklý zánět ledvin,1217,14,18,18,34,39,85,147,422,419,20,1
130,Chylurie, -, -, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,70,2,1,1,1,1,4,7,30,22,1,-
132,Močové kaménky,15,-,-,-,-,-,1,-,9,5,-,-
133,Choroby měchýře,38,-,1,-,1,-,-,2,9,21,4,-
134,Choroby močové roury,8,-,-,-,-,-,-,2,4,2,-,-
135,Choroby žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
136,Nevenerické choroby mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x
137,Boubel a jiné nezhoubné nádory vaječníku,14,-,-,-,-,-,-,1,7,6,-,-
138,Zánět vejcovodu nebo vřed v pánvi,3,-,-,-,-,-,1,1,1,-,-,-
139,Nádory děložní,13,-,-,-,-,-,2,2,8,1,-,-
140,Nepuerperální krvácení z dělohy,8,-,-,-,-,1,-,2,3,2,-,-
141,Ostatní choroby rodidel,46,-,-,-,-,3,11,16,11,5,-,-
142,Nepuerperální choroby prsu,6,-,-,-,-,-,3,3,-,-,-,-
,,,,,,,,,,,,,
IX,Puerperální stav,920,-,-,-,-,39,392,378,111,-,-,-
143a,Potrat ,122,-,-,-,-,3,58,53,8,-,-,-
143b,Mimoděložní těhotenství,23,-,-,-,-,-,5,17,1,-,-,-
143c,Jiné nehody těhotenské,-,-,-,-,-,-,-,-,-,-,-,-
144,Krvácení těhotných a v šestinedělí,80,-,-,-,-,-,26,39,15,-,-,-
145,Jiné nehody při porodu,37,-,-,-,-,-,12,18,7,-,-,-
146,Horečka omladnic,535,-,-,-,-,30,236,212,57,-,-,-
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",15,-,-,-,-,-,1,10,4,-,-,-
148,Albuminurie nebo božec v šestinedělí,87,-,-,-,-,5,49,20,13,-,-,-
149,Následky porodu (bez bližšího označení),21,-,-,-,-,1,5,9,6,-,-,-
150,Puerperální choroby prsu,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
X,Choroby kůže a vaziva,543,359,15,3,3,3,6,9,29,90,26,-
151,Sněť,110,4,-,-,-,1,1,1,10,72,21,-
152,Nežit,171,162,4,-,-,1,-,1,1,-,2,-
153,"Zánět podkožního vaziva, horečnatý vřed",161,103,11,2,3,1,5,6,12,15,3,-
155,Ostatní choroby kůže neb jejich adnex,101,90,-,1,-,-,-,1,6,3,-,-
,,,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,101,9,3,7,10,5,3,5,25,33,1,-
156,Choroby kostí,80,9,3,6,10,4,2,4,19,22,1,-
157,Choroby kloubů,18,-,-,1,-,1,1,1,4,10,-,-
158,Ostatní choroby kostí nebo ústrojí pohybového,3,-,-,-,-,-,-,-,2,1,-,-
,,,,,,,,,,,,,
XII,Zrůdnost vrozená,88,88,-,-,-,-,-,-,-,-,-,-
159,Zrůdnost vrozená,88,88,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XIII,Raný věk,4495,4495,-,-,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",3312,3312,-,-,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1175,1175,-,-,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,8,8,-,-,-,-,-,-,-,-,-,-
163,Nedostatek péče,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XIV,,14072,0,0,2,0,1,3,3,25,8383,5654,1
164,Stáří,14059,-,-,-,-,-,-,-,24,8380,5654,1
,,,,,,,,,,,,,
XV,Zevní příčiny ,1536,49,130,28,31,136,317,177,326,284,53,5
SE,,780,0,0,0,3,78,207,118,205,147,21,1
165,Sebevražda otravou jedy,114,-,-,-,-,10,41,26,30,6,1,-
166,Sebevražda otravou požitím žíravin,1,-,-,-,-,-,1,-,-,-,-,-
167,Sebevražda vdechováním jedovatých plynů,14,-,-,-,-,3,5,1,5,-,-,-
168,Sebevražda oběšením neb uškrcením,316,-,-,-,2,13,39,46,107,95,14,-
169,Sebevražda utopením,173,-,-,-,1,24,51,22,41,31,3,-
170,Sebevražda zastřelením,68,-,-,-,-,20,28,12,6,2,-,-
171,Sebevražda nástroji řeznými neb bodnými,10,-,-,-,-,1,1,2,4,2,-,-
172,Sebevražda skokem s výše,14,-,-,-,-,-,7,1,2,4,-,-
173,Sebevražda rozdrcením,49,-,-,-,-,6,25,7,5,3,2,1
174,Sebevražda jiným způsobem,21,-,-,-,-,1,9,1,5,4,1,-
175,Otrava potravinami,16,3,4,1,-,-,2,1,4,1,-,-
176,Uštknutí neb štípnutí,1,-,-,-,-,1,-,-,-,-,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),19,3,4,-,-,-,6,2,2,2,-,-
178,Úraz při požáru,6,-,1,-,1,-,-,1,1,2,-,-
179,Náhodné popálení (vyjma při požáru),107,9,43,3,2,10,11,3,8,14,4,-
180,Náhodné mechanické udušení (vyjma při požáru),18,7,3,-,1,1,-,-,4,-,2,-
181,Vdechování plynů nedýchatelných neb jedovatých,29,1,2,-,-,3,13,2,2,5,1,-
182,Náhodné utopení,144,3,51,12,13,15,10,9,13,11,6,1
183,Poranění střelnou zbraní,15,1,3,-,-,2,2,2,4,1,-,-
184,Poranění nástroji řeznými neb bodnými,2,-,-,-,-,-,-,-,-,2,-,-
185,Poranění pádem,27,-,1,1,1,-,6,1,8,8,1,-
186,Poranění v dolech neb lomech,-,-,-,-,-,-,-,-,-,-,-,-
187,Poranění stroji,2,-,1,-,-,-,-,-,1,-,-,-
188,Poraněním pohmožděním jiného druhu,209,3,13,7,7,12,25,21,45,58,17,1
189,Poranění způsobená zvířaty,-,-,-,-,-,-,-,-,-,-,-,-
190,Zranění válečná,-,-,-,-,-,-,-,-,-,-,-,-
192b,Hlad nebo žízeň,4,-,-,-,-,-,-,-,-,2,1,1
193,Přílišný chlad,20,-,-,-,1,-,-,1,3,15,-,-
194,Přílišný žár,1,-,-,-,-,-,-,-,-,1,-,-
195,Blesk,19,-,-,1,-,1,5,2,8,2,-,-
196,Jiné úrazy elektrickým proudem,3,-,-,1,-,1,1,-,-,-,-,-
NA,,113,19,4,2,2,11,29,14,18,13,0,1
197,Zabití střelnou zbraní,38,1,1,-,-,8,18,4,4,2,-,-
198,Zabití nástroji řeznými neb bodnými,17,1,-,1,-,1,4,3,3,4,-,-
199,Zabití jinými prostředky,58,17,3,1,2,2,7,7,11,7,-,1
201c,Zlomeniny (bez bližšího označení),1,-,-,-,-,1,-,-,-,-,-,-
202a,Ostatní násilná zevní poranění,-,-,-,-,-,-,-,-,-,-,-,-
202b,Poprava legální,-,-,-,-,-,-,-,-,-,-,-,-
203,Násilná smrt neznámé příčiny,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
XVI,Nemoci špatně definované,1612,117,65,5,18,14,62,68,362,851,41,9
204,Náhlé úmrtí,-,-,-,-,-,-,-,-,-,-,-,-
205,Nemoci nespecifikované nebo špatně definované,1612,117,65,5,18,14,62,68,362,851,41,9
