1942,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,42,15,20,6,1,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,23,1,4,6,5,1,1,1,1,1,2,-
37a,Zánět mozku epidemický (lethargický): prudký,-,-,-,-,-,-,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,46,-,-,-,1,3,14,7,9,7,5,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,5,-,1,-,-,2,-,-,1,1,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,-,-,-,-,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),5,2,3,-,-,-,-,-,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,-,-,-,-,-,-,-,-,-,-,-,-
39a,Skvrnivka (tyf exanthem.),-,-,-,-,-,-,-,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),-,-,-,-,-,-,-,-,-,-,-,-
42,Jiné nemoci způsobené hlísty,1,-,-,-,-,-,-,1,-,-,-,-
43a,Actinomykosy,-,-,-,-,-,-,-,-,-,-,-,-
43b,Jiné mykosy,2,-,-,-,-,-,-,-,-,1,1,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,57,-,1,2,10,8,13,5,9,6,3,-
44c,Epidemický zánět příušnic,1,1,-,-,-,-,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
II,Rakovina a jiné nádory,6012,5,25,25,42,143,489,1015,1540,1763,965,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,9,-,-,-,-,-,-,3,-,2,4,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,14,-,-,-,-,-,1,1,5,4,3,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,36,-,-,1,-,3,3,5,11,9,4,-
46a,Rakovina a jiné zhoubné nádory: jícnu,81,-,-,-,-,2,-,10,21,27,21,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,1718,-,1,-,2,16,66,167,449,685,332,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",342,-,-,-,2,4,17,41,80,130,68,-
46d,Rakovina a jiné zhoubné nádory: konečníku,204,-,-,-,-,4,14,32,51,62,41,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,592,1,-,-,-,9,22,65,162,213,120,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",138,-,4,4,1,2,12,20,29,42,24,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,45,-,-,-,-,-,-,9,19,12,5,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,62,-,-,-,-,2,5,14,14,18,9,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,3,-,-,-,-,1,-,-,1,-,1,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,35,-,-,-,-,1,7,4,7,13,3,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",127,-,-,-,1,2,20,21,39,34,10,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,1,-,-,-,-,-,-,-,-,-,1,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,135,-,-,-,-,9,32,50,24,18,2,-
48b,Rakovina a jiné zhoubné nádory: dělohy,953,-,-,-,-,27,129,238,279,193,87,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,219,-,-,1,5,10,24,64,55,39,21,-
50,Rakovina a jiné zhoubné nádory: prsů,462,-,-,-,-,13,58,116,134,90,51,-
51a,Rakovina a jiné zhoubné nádory: šourku,x,x,x,x,x,x,x,x,x,x,x,x
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: ústrojí močového,71,-,1,1,-,-,1,10,21,25,12,-
53,Rakovina a jiné zhoubné nádory: kůže,109,-,-,-,-,2,4,2,10,27,64,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,21,1,2,3,2,2,6,1,2,2,-,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,16,-,-,-,1,-,2,4,3,3,3,-
55b,Rakovina a jiné zhoubné nádory: kostí,61,-,1,1,4,3,4,14,12,9,13,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,43,-,-,-,1,-,3,4,20,7,8,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,158,-,6,1,7,4,10,26,30,40,34,-
55,"Carcinomatosy, sarkomatosy",15,-,1,-,-,-,1,8,3,-,2,-
55f,Metastasy bez udání prvotního místa,7,-,-,-,-,-,-,2,-,5,-,-
56a,Nádory nezhoubné: vaječníku,24,1,-,-,1,3,5,5,4,4,1,-
56b,Nádory nezhoubné: dělohy,55,-,-,-,1,2,11,27,6,6,2,-
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,-,-,-,-,-,-,-,-,-,-,-,-
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,2,-,-,-,-,-,1,1,-,-,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,7,-,-,-,1,-,1,1,2,1,1,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",8,-,-,-,-,3,-,1,-,4,-,-
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",37,-,-,-,-,-,1,8,4,16,8,-
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",6,-,-,-,1,1,1,2,-,1,-,-
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",116,-,7,11,10,12,19,28,22,6,1,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",80,2,2,2,2,6,9,11,21,16,9,-
,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",961,40,19,40,24,18,51,99,218,304,148,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,52,1,5,30,9,1,1,3,2,-,-,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,22,-,-,2,-,1,1,4,2,2,10,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,154,-,-,-,-,-,4,11,24,54,61,-
60,Dna,1,-,-,-,-,-,-,-,-,1,-,-
61,Úplavice cukrová,531,-,-,5,5,4,21,53,153,219,71,-
62,Nemoci podvěsku mozkového,-,-,-,-,-,-,-,-,-,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,19,-,-,-,2,4,3,3,4,-,3,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,94,-,-,1,5,2,13,18,29,24,2,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,10,-,-,1,2,1,-,1,2,3,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,14,12,2,-,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",16,-,-,-,1,3,7,3,1,1,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",1,-,-,-,-,-,-,-,1,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,2,-,-,-,-,1,-,1,-,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,4,-,3,-,-,1,-,-,-,-,-,-
67,Kurděje,2,-,-,-,-,-,-,1,-,-,1,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,1,-,-,-,-,-,1,-,-,-,-,-
70,Křivice,37,27,8,1,-,-,-,1,-,-,-,-
71,Jiné avitaminosy,1,-,1,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,237,7,9,11,11,16,24,30,68,51,10,-
72a,Stavy krvácivé: purpury prvotní,5,1,-,-,1,1,1,-,1,-,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),3,2,-,-,-,-,-,-,-,-,1,-
73a,Chudokrevnost: zhoubná chudokrevnost,89,-,-,1,1,6,4,12,29,30,6,-
73b,Chudokrevnost: jiná anaemie,20,3,1,1,3,1,1,3,4,2,1,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,104,1,8,9,5,7,14,12,28,18,2,-
74b,Leukaemie a aleukaemie: aleukaemie,5,-,-,-,1,-,1,1,1,1,-,-
75,Nemoci sleziny,2,-,-,-,-,-,1,1,-,-,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,6,-,-,-,-,1,1,1,3,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,3,-,-,-,-,-,1,-,2,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-
V,Otravy vleklé,4,-,-,-,-,-,1,1,-,1,1,-
77a,Alkoholismus prudký,2,-,-,-,-,-,-,1,-,1,-,-
77b,Alkoholismus vleklý a bez bližšího označení,1,-,-,-,-,-,-,-,-,-,1,-
78a,Otrava olovem: označená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,1,-,-,-,-,-,1,-,-,-,-,-
,,,,,,,,,,,,,
DU,,68,0,2,0,3,6,11,12,13,17,4,0
,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,3922,369,49,60,50,63,141,288,642,1117,1143,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,10,-,-,2,3,1,2,-,1,1,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,31,8,1,3,3,2,3,1,6,2,2,-
81,Zánět plen mozkových prostý,145,33,23,30,13,3,13,15,10,2,3,-
82,Nemoci míchy,88,1,-,2,1,8,11,10,28,21,6,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2581,-,1,4,3,10,38,185,486,910,944,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,71,-,-,1,1,1,2,6,13,25,22,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,130,-,-,-,-,1,-,14,10,40,65,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,145,-,1,-,1,3,6,3,31,50,50,-
84a,Duševní nemoci a vady: slabomyslnost,8,-,1,-,-,-,3,2,-,2,-,-
84b,Duševní nemoci a vady: schoizophrenie,17,-,-,-,2,3,2,4,4,2,-,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,3,-,-,-,-,-,-,1,1,1,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,37,-,1,-,1,3,6,4,8,11,3,-
85,Padoucnice,65,-,3,8,12,8,9,5,12,6,2,-
86,Křeče u dětí do 5 let,306,299,7,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,11,-,-,-,1,-,2,-,2,5,1,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,7,-,-,-,-,-,-,1,2,2,2,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,22,-,-,-,-,2,2,4,4,5,5,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,155,-,-,1,4,11,33,29,17,29,31,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,20,-,3,2,4,-,2,2,2,1,4,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,69,28,8,7,1,7,7,1,5,2,3,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,1,-,-,-,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,12175,26,33,117,110,200,382,724,1709,3849,5024,1
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,2,-,-,1,-,-,1,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,19,-,1,1,-,3,4,1,2,5,2,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),52,2,2,19,11,6,6,2,1,2,1,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,1166,-,4,36,38,65,111,152,212,321,227,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,82,-,-,3,7,4,15,16,21,6,10,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),62,2,4,7,3,2,5,4,8,12,15,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,179,-,-,-,1,3,6,16,24,59,70,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",5503,5,7,5,14,37,90,224,676,1855,2590,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1220,-,4,11,5,17,36,58,176,394,519,-
94a,Nemoci tepen věnčitých,49,-,-,-,-,-,1,6,20,12,10,-
94b,Angina srdeční,145,-,-,-,1,1,4,15,26,65,33,-
95a,Jiné nemoci srdce: označené jako rheumatické,80,-,1,3,3,2,3,7,20,19,22,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,2021,8,9,29,24,52,85,187,406,705,516,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",11,-,-,-,-,-,2,3,2,1,3,-
97,Zkornatění tepen,1362,-,-,-,-,-,1,21,84,345,910,1
98,Sněť,97,6,1,-,-,2,5,3,8,15,57,-
99,Jiné nemoci tepen,27,-,-,-,-,2,3,4,5,6,7,-
100a,Nemoci žil: městky,46,-,-,-,1,-,-,1,5,12,27,-
100b,Nemoci žil: jiné nemoci žil,40,1,-,1,2,3,3,3,13,11,3,-
101,Nemoci soustavy mízní,8,2,-,1,-,1,-,-,-,3,1,-
102,Essentielní zvýšení tlaku krevního,3,-,-,-,-,-,1,1,-,1,-,-
103,Jiné nemoci ústrojí oběhu krevního,1,-,-,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,5578,1546,291,64,85,108,163,224,511,1082,1504,-
104,Nemoci dutiny nosní a přídatných útvarů,5,1,-,-,1,-,-,2,1,-,-,-
105,Nemoci hrtanu,12,5,1,2,-,1,-,1,-,1,1,-
106a,Zánět průdušek: prudký,103,64,5,-,1,-,-,-,1,11,21,-
106b,Zánět průdušek: vleklý,189,5,2,-,-,2,4,5,17,62,92,-
106c,Zánět průdušek: blíže neoznačený,229,61,10,-,-,4,4,4,4,38,104,-
107,Lalůčkový zánět plic (bronchopneumonie),2385,1051,153,21,21,28,47,57,131,329,547,-
108,Lalokový zánět plic,958,117,37,17,19,36,54,71,162,245,200,-
109,Zánět plic blíže neoznačený,922,212,48,15,21,13,26,38,86,193,270,-
110a,Zánět pohrudnice: empyema thoracis,92,19,29,4,11,4,4,6,5,7,3,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,136,6,4,3,5,6,7,13,23,37,32,-
111a,"Infarkt s krvácením, embolie a trombosa plic",56,-,-,-,2,5,7,11,16,10,5,-
111b,Hypostatický zánět a oedem plic,40,1,1,-,-,-,1,2,5,5,25,-
112,Záducha (asthma),137,1,-,1,-,2,1,7,21,51,53,-
113,Rozedma plic,266,1,-,-,-,1,2,4,26,83,149,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,5,-,-,-,1,1,-,-,1,2,-,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,36,1,1,-,3,5,6,3,10,6,1,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,7,1,-,1,-,-,-,-,2,2,1,-
,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,2748,1043,114,98,96,86,146,217,316,365,267,-
115a,Nemoci mandlí a hltanu,84,17,13,13,11,7,5,3,7,6,2,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,17,2,1,1,4,-,-,1,2,3,3,-
116,Nemoci jícnu,4,1,-,-,-,-,-,-,2,-,1,-
117a,Vřed žaludeční,117,1,-,-,1,8,7,28,35,30,7,-
117b,Vřed dvanáctníkový,13,1,-,-,-,-,1,4,4,2,1,-
118,Jiné nemoci žaludku,45,-,5,-,1,2,1,4,4,13,15,-
119,Průjem a katar střevní u dětí do 2 let,1052,997,55,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,86,-,15,12,1,3,4,6,7,21,17,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),10,-,1,-,-,1,4,1,2,-,1,-
121,Zánět červíkovitého přívěsku,158,-,5,31,34,17,26,14,14,12,5,-
122a,Kýla,195,2,-,-,-,1,7,14,58,58,55,-
122b,Neprůchodnost střevní,229,12,6,6,8,9,15,28,37,43,65,-
123,Ostatní nemoci střevní,12,-,-,-,-,1,1,-,2,2,6,-
124a,Svraštění jater: alkoholické,-,-,-,-,-,-,-,-,-,-,-,-
124b,Svraštění jater: neoznačené za alkoholické,227,-,-,1,4,7,12,38,54,72,39,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),81,-,3,5,7,6,15,12,15,10,8,-
125b,Jiné nemoci jater: ostatní nemoci jater,28,1,1,2,1,1,3,6,3,4,6,-
126,Kaménky žlučové,99,-,-,-,2,8,11,16,28,24,10,-
127,Jiné nemoci žlučníku a žlučovodů,107,1,-,-,1,2,7,15,26,43,12,-
128,Nemoci slinivky břišní,18,-,-,-,1,1,2,7,2,1,4,-
129,Zánět pobřišnice bez udání příčiny,166,8,9,27,20,12,25,20,14,21,10,-
,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1134,14,10,24,31,67,116,178,219,283,192,-
130,Prudký zánět ledvin,30,2,3,4,4,2,3,4,4,3,1,-
131,Vleklý zánět ledvin,775,-,1,7,5,32,55,128,176,230,141,-
132,Zánět ledvin nerozlišený,116,4,6,10,3,6,15,17,17,24,14,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",45,5,-,-,4,5,5,8,6,5,7,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",22,1,-,3,2,1,3,4,5,2,1,-
134,Kaménky cest močových,29,-,-,-,-,3,5,4,3,7,7,-
135a,Zánět měchýře močového,17,2,-,-,-,-,-,1,1,3,10,-
135b,Jiné nemoci močového měchýře a poruchy močení,4,-,-,-,-,-,-,-,1,-,3,-
136,Nemoci roury močové,8,-,-,-,-,1,-,1,2,4,-,-
137a,Nezhoubné nádory žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137b,Zbytnění žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137c,Ostatní nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,x,x,x,x,x,x,x,x,x,x,x,x
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",52,-,-,-,8,12,21,8,1,2,-,-
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,33,-,-,-,4,4,9,3,3,2,8,-
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,2,-,-,-,1,1,-,-,-,-,-,-
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,1,-,-,-,-,-,-,-,-,1,-,-
,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",365,-,-,-,74,192,95,4,-,-,-,-
140,Potrat se sepsí,70,-,-,-,15,37,17,1,-,-,-,-
141,Potrat bez zmínky o sepsi,9,-,-,-,4,2,2,1,-,-,-,-
142,Těhotenství mimoděložní,21,-,-,-,1,10,10,-,-,-,-,-
143a,Krvácení v těhotenství: lůžko vcestné,-,-,-,-,-,-,-,-,-,-,-,-
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),-,-,-,-,-,-,-,-,-,-,-,-
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,2,-,-,-,-,2,-,-,-,-,-,-
144a,Otrava krve v těhotenství: křeče v těhotenství,17,-,-,-,8,6,3,-,-,-,-,-
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,18,-,-,-,-,13,5,-,-,-,-,-
144c,Otrava krve v těhotenství: jiné toxikosy,2,-,-,-,1,-,1,-,-,-,-,-
145,Jiné nemoci a příhody těhotenství,1,-,-,-,-,-,1,-,-,-,-,-
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,20,-,-,-,4,9,7,-,-,-,-,-
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,-,-,-,-,-,-,-,-,-,-,-,-
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,1,-,-,-,-,1,-,-,-,-,-,-
146d,Krvácení při porodu a poporodní: krvácení po porodu,24,-,-,-,3,18,3,-,-,-,-,-
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),110,-,-,-,29,54,26,1,-,-,-,-
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,2,-,-,-,-,-,2,-,-,-,-,-
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,9,-,-,-,1,5,3,-,-,-,-,-
148a,Toxikosy ve stavu poporodním: eclampsie,15,-,-,-,5,5,5,-,-,-,-,-
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,4,-,-,-,2,1,1,-,-,-,-,-
148c,Toxikosy ve stavu poporodním: jiné toxikosy,-,-,-,-,-,-,-,-,-,-,-,-
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),17,-,-,-,-,12,5,-,-,-,-,-
149b,Jiné příhody porodu: ostatní příhody,9,-,-,-,-,7,2,-,-,-,-,-
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,14,-,-,-,1,10,2,1,-,-,-,-
,,,,,,,,,,,,,
