1948,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
51a,Rakovina a jiné zhoubné nádory: šourku,3,-,-,-,-,1,1,-,1,-,-,-,-
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,356,-,-,1,1,-,3,9,64,161,104,13,-
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,26,-,-,-,3,1,7,5,3,5,1,1,-
52,Rakovina a jiné zhoubné nádory: ústrojí močového,191,-,-,-,1,2,8,37,52,54,33,4,-
53,Rakovina a jiné zhoubné nádory: kůže,92,-,-,-,-,-,6,11,13,16,35,11,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,35,-,1,1,-,-,9,12,9,3,-,-,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,36,-,2,-,-,1,3,11,10,6,2,1,-
55b,Rakovina a jiné zhoubné nádory: kostí,110,-,4,-,11,1,12,18,18,25,21,-,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,24,-,-,-,-,-,2,4,7,7,4,-,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,187,-,7,3,7,7,14,24,58,46,16,5,-
55,"Carcinomatosy, sarkomatosy",58,1,3,2,7,5,4,12,11,7,6,-,-
55f,Metastasy bez udání prvotního místa,4,-,-,-,-,-,-,-,1,3,-,-,-
56a,Nádory nezhoubné: vaječníku,x,x,x,x,x,x,x,x,x,x,x,x,x
56b,Nádory nezhoubné: dělohy,x,x,x,x,x,x,x,x,x,x,x,x,x
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,x,x
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,9,-,-,-,-,-,4,1,2,1,1,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,14,-,1,-,-,-,1,4,3,4,1,-,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",x,x,x,x,x,x,x,x,x,x,x,x,x
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",x,x,x,x,x,x,x,x,x,x,x,x,x
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",x,-,-,-,-,-,-,-,-,-,-,-,-
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",162,1,5,10,13,17,29,40,34,10,3,-,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",183,2,3,2,6,1,14,27,63,40,18,7,-
,,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",538,69,10,22,16,10,14,52,111,151,75,8,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,27,-,1,17,8,1,-,-,-,-,-,-,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,3,-,-,1,-,-,-,1,1,-,-,-,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,66,-,1,-,1,-,3,5,10,26,17,3,-
60,Dna,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Úplavice cukrová,335,-,1,3,5,3,10,41,92,122,55,3,-
62,Nemoci podvěsku mozkového,-,-,-,-,-,-,-,-,-,-,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,9,-,-,-,-,-,1,-,2,2,2,2,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,8,-,-,-,-,2,-,1,4,1,-,-,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,1,-,-,-,-,-,-,-,-,-,1,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,40,33,5,1,1,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",11,-,-,-,1,4,-,4,2,-,-,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",-,-,-,-,-,-,-,-,-,-,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,5,5,-,-,-,-,-,-,-,-,-,-,-
67,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-
70,Křivice,33,31,2,-,-,-,-,-,-,-,-,-,-
71,Jiné avitaminosy,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,295,20,18,19,17,13,30,42,58,57,21,-,-
72a,Stavy krvácivé: purpury prvotní,7,3,-,3,-,-,-,-,-,1,-,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),8,2,2,1,-,1,-,-,1,-,1,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,44,-,-,-,1,-,-,6,14,15,8,-,-
73b,Chudokrevnost: jiná anaemie,35,4,1,2,2,2,3,4,7,5,5,-,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,167,6,14,13,13,9,22,23,31,29,7,-,-
74b,Leukaemie a aleukaemie: aleukaemie,5,-,1,-,-,-,1,1,2,-,-,-,-
75,Nemoci sleziny,9,4,-,-,-,-,2,1,-,2,-,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,5,1,-,-,-,1,1,1,-,1,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,15,-,-,-,1,-,1,6,3,4,-,-,-
,,-,-,-,-,-,-,-,-,-,-,-,-,-
V,Otravy vleklé,28,-,-,-,1,2,7,7,6,3,2,-,-
77a,Alkoholismus prudký,2,-,-,-,-,-,2,-,-,-,-,-,-
77b,Alkoholismus vleklý a bez bližšího označení,24,-,-,-,1,1,4,7,6,3,2,-,-
78a,Otrava olovem: označená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,1,-,-,-,-,-,1,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,1,-,-,-,-,1,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
DU,,70,0,0,5,5,8,12,17,14,6,3,0,0
,,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,4238,490,74,47,76,49,155,311,718,1232,936,150,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,18,-,2,1,1,3,3,4,2,1,1,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,45,16,7,7,3,2,3,3,3,1,-,-,-
81,Zánět plen mozkových prostý,173,64,32,17,21,7,6,14,6,5,-,1,-
82,Nemoci míchy,69,-,3,3,2,2,6,9,23,9,10,2,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2838,-,-,1,15,5,73,189,560,1043,819,133,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,54,-,-,-,2,1,4,8,9,19,9,2,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,94,-,-,-,-,-,2,6,20,42,19,5,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,181,-,-,1,2,2,6,12,40,64,50,4,-
84a,Duševní nemoci a vady: slabomyslnost,11,-,-,5,2,2,-,1,1,-,-,-,-
84b,Duševní nemoci a vady: schoizophrenie,12,-,-,-,1,2,3,4,1,1,-,-,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,5,-,-,-,-,1,1,2,-,1,-,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,16,-,-,-,1,2,2,3,6,1,1,-,-
85,Padoucnice,73,2,2,4,15,9,15,10,4,7,3,2,-
86,Křeče u dětí do 5 let,281,268,13,-,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,1,-,-,-,-,-,-,-,-,-,1,-,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,6,-,-,-,-,-,-,3,-,2,1,-,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,19,-,-,-,-,-,2,4,7,5,1,-,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,132,-,-,1,3,9,21,27,32,23,15,1,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,36,1,7,5,3,-,2,9,3,3,3,-,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,173,139,8,2,5,2,6,3,1,5,2,-,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,1,-,-,-,-,-,-,-,-,-,1,-,-
,,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,13798,64,29,55,117,121,487,1317,2475,4188,4052,893,-
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,-,-,-,-,-,-,-,-,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,23,2,1,1,3,-,1,4,7,3,1,-,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),34,6,6,11,4,1,2,3,-,1,-,-,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,829,-,1,9,48,54,93,129,169,215,95,16,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,68,-,-,2,7,9,10,13,11,9,7,-,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),40,10,1,3,1,-,2,2,5,7,7,2,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,114,-,-,1,1,-,5,13,24,42,23,5,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",7832,12,2,6,17,24,187,636,1372,2522,2518,536,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1101,12,8,5,9,8,27,98,191,310,357,76,-
94a,Nemoci tepen věnčitých,141,-,-,-,-,1,10,32,40,42,14,2,-
94b,Angina srdeční,473,-,-,-,-,2,35,109,143,136,45,3,-
95a,Jiné nemoci srdce: označené jako rheumatické,34,-,-,3,2,1,2,2,9,9,6,-,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,1599,16,9,12,24,18,97,198,327,478,359,61,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",3,-,-,-,-,-,-,1,1,1,-,-,-
97,Zkornatění tepen,1303,-,-,-,-,1,3,45,131,367,571,185,-
98,Sněť,53,1,-,-,-,-,3,2,3,12,27,5,-
99,Jiné nemoci tepen,94,-,-,-,-,1,7,21,31,22,12,-,-
100a,Nemoci žil: městky,19,-,-,1,1,-,1,1,3,4,6,2,-
100b,Nemoci žil: jiné nemoci žil,23,-,-,-,-,1,1,7,5,6,3,-,-
101,Nemoci soustavy mízní,8,5,1,1,-,-,-,-,-,-,1,-,-
102,Essentielní zvýšení tlaku krevního,6,-,-,-,-,-,1,1,2,2,-,-,-
103,Jiné nemoci ústrojí oběhu krevního,1,-,-,-,-,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,5433,1941,174,44,43,49,156,312,498,1044,964,208,-
104,Nemoci dutiny nosní a přídatných útvarů,3,1,-,-,1,-,-,-,1,-,-,-,-
105,Nemoci hrtanu,13,8,4,-,-,-,-,-,1,-,-,-,-
106a,Zánět průdušek: prudký,77,55,5,1,1,-,-,-,1,5,7,2,-
106b,Zánět průdušek: vleklý,234,7,1,-,1,1,7,28,35,66,71,17,-
106c,Zánět průdušek: blíže neoznačený,152,56,5,-,-,-,2,4,10,32,37,6,-
107,Lalůčkový zánět plic (bronchopneumonie),2532,1411,106,24,10,14,51,66,123,322,316,89,-
108,Lalokový zánět plic,623,115,15,3,11,7,32,47,87,174,119,13,-
109,Zánět plic blíže neoznačený,690,245,29,9,10,9,18,41,53,110,132,34,-
110a,Zánět pohrudnice: empyema thoracis,96,27,3,2,4,4,5,15,16,14,5,1,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,126,9,3,3,1,2,7,16,18,32,32,3,-
111a,"Infarkt s krvácením, embolie a trombosa plic",105,-,1,-,1,3,12,14,20,39,14,1,-
111b,Hypostatický zánět a oedem plic,54,3,1,1,-,3,4,7,3,12,15,5,-
112,Záducha (asthma),222,-,-,-,1,2,3,13,42,85,68,8,-
113,Rozedma plic,391,-,-,-,-,1,4,26,61,129,141,29,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,27,-,-,-,-,-,3,11,4,8,1,-,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,72,2,-,-,-,2,7,22,19,16,4,-,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,16,2,1,1,2,1,1,2,4,-,2,-,-
,,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,3768,1820,109,40,52,63,167,344,458,434,245,36,-
115a,Nemoci mandlí a hltanu,21,7,5,-,3,-,-,2,1,1,-,2,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,12,2,2,-,1,2,-,2,-,-,3,-,-
116,Nemoci jícnu,10,-,1,-,1,-,-,-,3,3,2,-,-
117a,Vřed žaludeční,433,-,-,-,3,10,31,114,134,112,28,1,-
117b,Vřed dvanáctníkový,148,-,1,-,4,5,29,44,38,24,2,1,-
118,Jiné nemoci žaludku,44,1,-,1,1,1,4,8,7,9,10,2,-
119,Průjem a katar střevní u dětí do 2 let,1834,1780,54,-,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,67,-,7,5,1,2,3,9,8,13,15,4,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),7,-,-,1,-,2,-,1,-,1,2,-,-
121,Zánět červíkovitého přívěsku,178,3,29,17,15,17,23,17,25,24,7,1,-
122a,Kýla,153,2,1,-,1,-,6,10,19,41,62,11,-
122b,Neprůchodnost střevní,198,10,1,6,3,6,13,26,46,47,35,5,-
123,Ostatní nemoci střevní,9,1,-,-,-,-,2,1,4,1,-,-,-
124a,Svraštění jater: alkoholické,1,-,-,-,-,-,1,-,-,-,-,-,-
124b,Svraštění jater: neoznačené za alkoholické,326,-,2,4,5,7,27,53,98,94,32,4,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),79,-,1,3,7,4,6,13,17,20,7,1,-
125b,Jiné nemoci jater: ostatní nemoci jater,45,-,2,1,-,2,3,9,10,6,10,2,-
126,Kaménky žlučové,53,-,-,-,-,-,3,10,16,11,11,2,-
127,Jiné nemoci žlučníku a žlučovodů,42,-,-,-,-,1,4,6,10,9,12,-,-
128,Nemoci slinivky břišní,22,-,-,-,2,-,3,5,6,6,-,-,-
129,Zánět pobřišnice bez udání příčiny,86,14,3,2,5,4,9,14,16,12,7,-,-
,,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1591,6,5,11,18,45,81,169,316,452,402,86,-
130,Prudký zánět ledvin,24,4,1,1,1,6,-,2,3,4,2,-,-
131,Vleklý zánět ledvin,728,1,-,2,13,26,59,128,215,186,90,8,-
132,Zánět ledvin nerozlišený,65,-,-,5,4,4,9,5,13,15,10,-,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",51,-,-,-,-,3,4,9,5,11,15,4,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",21,-,3,1,-,3,1,3,8,2,-,-,-
134,Kaménky cest močových,48,-,-,-,-,2,6,8,12,11,8,1,-
135a,Zánět měchýře močového,17,1,1,-,-,-,-,4,2,6,3,-,-
135b,Jiné nemoci močového měchýře a poruchy močení,5,-,-,-,-,-,-,1,-,3,-,1,-
136,Nemoci roury močové,30,-,-,2,-,-,1,3,8,9,6,1,-
137a,Nezhoubné nádory žlázy předstojné,16,-,-,-,-,1,-,1,4,5,4,1,-
137b,Zbytnění žlázy předstojné,582,-,-,-,-,-,1,5,45,198,264,69,-
137c,Ostatní nemoci žlázy předstojné,2,-,-,-,-,-,-,-,-,2,-,-,-
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,2,-,-,-,-,-,-,-,1,-,-,1,-
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",x,x,x,x,x,x,x,x,x,x,x,x,x
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,x,x,x,x,x,x,x,x,x,x,x,x,x
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,x,x,x,x,x,x,x,x,x,x,x,x,x
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,x,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",x,x,x,x,x,x,x,x,x,x,x,x,x
140,Potrat se sepsí,x,x,x,x,x,x,x,x,x,x,x,x,x
141,Potrat bez zmínky o sepsi,x,x,x,x,x,x,x,x,x,x,x,x,x
142,Těhotenství mimoděložní,x,x,x,x,x,x,x,x,x,x,x,x,x
143a,Krvácení v těhotenství: lůžko vcestné,x,x,x,x,x,x,x,x,x,x,x,x,x
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),x,x,x,x,x,x,x,x,x,x,x,x,x
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
144a,Otrava krve v těhotenství: křeče v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
144c,Otrava krve v těhotenství: jiné toxikosy,x,x,x,x,x,x,x,x,x,x,x,x,x
145,Jiné nemoci a příhody těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
146d,Krvácení při porodu a poporodní: krvácení po porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
