1948,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
30b,Příjice: postupná obrna povšechná (progresivní paralysa),58,-,1,-,-,1,11,19,19,3,3,-,1
30c,Příjice: výduť srdečnice (aneurysma aorty),48,-,-,-,1,1,3,7,13,16,7,-,-
30d,Příjice: příjice vrozená,66,63,1,-,2,-,-,-,-,-,-,-,-
30,Příjice: jiné druhy příjice,98,-,-,-,6,3,17,26,24,15,6,1,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,-,-,-,-,-,-,-,-,-,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,-,-,-,-,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,110,48,7,2,2,1,2,4,7,13,22,2,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,57,20,3,-,-,-,-,2,-,10,18,4,-
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,96,44,44,7,1,-,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,56,9,13,10,11,6,2,2,3,-,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,-,-,-,-,-,-,-,-,-,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,14,-,-,-,1,-,6,3,3,1,-,-,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,11,1,1,2,-,-,1,4,1,1,-,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),8,7,1,-,-,-,-,-,-,-,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,-,-,-,-,-,-,-,-,-,-,-,-,-
39a,Skvrnivka (tyf exanthem.),-,-,-,-,-,-,-,-,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),1,-,-,-,-,-,-,-,1,-,-,-,-
42,Jiné nemoci způsobené hlísty,-,-,-,-,-,-,-,-,-,-,-,-,-
43a,Actinomykosy,-,-,-,-,-,-,-,-,-,-,-,-,-
43b,Jiné mykosy,1,-,-,-,-,1,-,-,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,46,-,1,2,6,2,7,10,13,3,2,-,-
44c,Epidemický zánět příušnic,1,-,1,-,-,-,-,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
II,Rakovina a jiné nádory,7666,12,23,26,50,138,626,1308,1813,2248,1267,155,-
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,8,-,-,-,-,-,1,1,1,1,3,1,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,12,-,-,-,-,-,1,2,2,4,3,-,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,45,-,1,-,2,-,8,11,10,9,3,1,-
46a,Rakovina a jiné zhoubné nádory: jícnu,97,-,-,-,-,1,2,9,17,43,24,1,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2033,-,-,1,2,19,73,193,433,788,478,46,-
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",404,-,1,-,1,3,20,48,94,134,91,12,-
46d,Rakovina a jiné zhoubné nádory: konečníku,308,-,-,-,3,8,22,40,67,104,59,5,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,811,-,1,-,1,5,28,94,191,310,167,14,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",152,1,-,-,2,2,7,26,33,47,32,2,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,91,-,-,-,-,-,2,12,34,30,11,2,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,96,-,-,-,1,2,12,22,28,21,8,2,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,3,-,-,-,-,-,-,-,2,-,1,-,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,39,-,-,-,-,-,3,5,11,11,8,1,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",235,-,2,-,7,4,24,39,63,60,34,2,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,-,-,-,-,-,-,-,-,-,-,-,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,170,-,-,-,-,5,34,52,45,26,8,-,-
48b,Rakovina a jiné zhoubné nádory: dělohy,1188,-,-,-,-,33,158,292,338,255,102,10,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,313,-,1,1,6,4,31,93,87,62,25,3,-
50,Rakovina a jiné zhoubné nádory: prsů,657,-,-,-,1,13,101,175,171,122,64,10,-
51a,Rakovina a jiné zhoubné nádory: šourku,x,x,x,x,x,x,x,x,x,x,x,x,x
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,x,x,x,x,x,x,x,x,x,x,x,x,x
52,Rakovina a jiné zhoubné nádory: ústrojí močového,105,-,1,3,-,-,4,17,26,34,20,-,-
53,Rakovina a jiné zhoubné nádory: kůže,109,-,-,-,-,3,2,11,8,26,37,22,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,29,-,1,1,2,2,6,8,4,3,1,1,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,20,-,-,-,-,-,2,1,11,4,2,-,-
55b,Rakovina a jiné zhoubné nádory: kostí,85,-,-,5,5,3,8,10,18,22,11,3,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,49,-,-,-,-,-,2,11,13,16,6,1,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,179,-,5,3,5,6,11,30,33,48,31,7,-
55,"Carcinomatosy, sarkomatosy",61,2,-,1,1,4,7,21,8,12,5,-,-
55f,Metastasy bez udání prvotního místa,6,-,-,-,-,-,-,1,1,4,-,-,-
56a,Nádory nezhoubné: vaječníku,21,-,-,-,-,2,3,6,4,2,4,-,-
56b,Nádory nezhoubné: dělohy,39,-,-,-,-,2,11,20,3,2,1,-,-
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,-,-,-,-,-,-,-,-,-,-,-,-,-
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,6,-,-,-,1,1,-,1,2,1,-,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,10,1,-,-,-,1,3,1,2,2,-,-,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",9,-,-,-,-,1,2,3,1,1,-,1,-
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",47,-,-,-,1,-,-,4,11,11,14,6,-
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",-,-,-,-,-,-,-,-,-,-,-,-,-
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",139,4,9,10,9,11,32,33,22,6,2,1,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",90,4,1,1,-,3,6,16,19,27,12,1,-
,,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",897,51,15,24,24,11,30,78,185,310,153,16,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,30,-,3,17,8,2,-,-,-,-,-,-,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,5,-,-,1,1,-,-,1,-,-,2,-,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,154,-,-,-,2,2,9,6,13,49,63,10,-
60,Dna,-,-,-,-,-,-,-,-,-,-,-,-,-
61,Úplavice cukrová,555,-,2,4,8,1,9,52,145,249,80,5,-
62,Nemoci podvěsku mozkového,2,1,-,-,-,-,-,-,1,-,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,22,-,-,-,1,3,3,3,2,6,4,-,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,46,-,-,-,-,3,6,9,18,6,3,1,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,-,-,-,-,-,-,-,-,-,-,-,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,38,25,8,2,2,-,1,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",14,-,-,-,1,-,2,7,3,-,1,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",1,-,-,-,-,-,-,-,1,-,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,1,-,-,-,-,-,-,-,1,-,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,4,2,-,-,1,-,-,-,1,-,-,-,-
67,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-
70,Křivice,25,23,2,-,-,-,-,-,-,-,-,-,-
71,Jiné avitaminosy,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,330,7,17,16,13,22,35,40,76,69,35,-,-
72a,Stavy krvácivé: purpury prvotní,10,1,1,2,-,-,2,1,3,-,-,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),6,1,1,-,-,1,-,-,2,1,-,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,89,-,-,1,2,1,3,3,17,43,19,-,-
73b,Chudokrevnost: jiná anaemie,47,2,2,-,-,5,5,3,14,8,8,-,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,139,1,11,13,9,11,16,25,32,15,6,-,-
74b,Leukaemie a aleukaemie: aleukaemie,6,-,1,-,1,-,1,1,-,-,2,-,-
75,Nemoci sleziny,11,1,-,-,1,-,3,3,3,-,-,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,11,-,-,-,-,2,4,1,2,2,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,11,1,1,-,-,2,1,3,3,-,-,-,-
,,,,,,,,,,,,,,
V,Otravy vleklé,3,-,-,-,-,-,-,-,-,-,3,-,-
77a,Alkoholismus prudký,1,-,-,-,-,-,-,-,-,-,1,-,-
77b,Alkoholismus vleklý a bez bližšího označení,1,-,-,-,-,-,-,-,-,-,1,-,-
78a,Otrava olovem: označená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,1,-,-,-,-,-,-,-,-,-,1,-,-
,,,,,,,,,,,,,,
DU,,70,0,4,3,2,7,8,12,17,8,9,0,0
,,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,4510,332,58,33,41,67,134,348,712,1385,1181,218,1
80a,Zánět mozku (nikoli epidemický): hlíza mozková,7,3,-,1,-,1,-,1,1,-,-,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,52,15,4,5,3,4,3,5,8,2,3,-,-
81,Zánět plen mozkových prostý,141,48,25,11,6,4,11,12,15,7,1,1,-
82,Nemoci míchy,68,2,-,-,4,4,6,9,14,21,8,-,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,3221,-,1,2,11,15,51,218,542,1181,1010,189,1
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,77,-,-,-,1,-,4,6,21,20,22,3,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,97,-,-,1,-,1,1,6,15,40,28,5,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,192,-,1,-,2,4,7,16,26,55,64,17,-
84a,Duševní nemoci a vady: slabomyslnost,15,-,4,3,1,1,1,1,-,3,1,-,-
84b,Duševní nemoci a vady: schoizophrenie,21,-,-,-,1,5,3,5,1,4,2,-,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,5,-,-,-,-,-,-,1,1,1,2,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,27,-,-,-,-,1,4,5,15,-,2,-,-
85,Padoucnice,57,2,3,4,7,12,5,10,8,2,4,-,-
86,Křeče u dětí do 5 let,202,191,11,-,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,1,-,-,-,-,-,-,-,1,-,-,-,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,5,-,-,-,-,1,-,1,1,-,2,-,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,40,-,-,-,1,-,4,2,11,12,10,-,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,162,-,-,-,2,13,30,41,28,28,18,2,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,33,4,5,5,1,1,3,3,4,4,3,-,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,86,67,4,1,1,-,1,6,-,5,-,1,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,1,-,-,-,-,-,-,-,-,-,1,-,-
,,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,14520,47,34,40,112,154,381,815,1858,4663,5038,1378,-
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,-,-,-,-,-,-,-,-,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,17,1,-,3,-,1,-,1,3,7,-,1,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),23,-,6,5,5,1,3,2,-,1,-,-,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,1145,-,2,7,38,58,139,160,211,306,195,29,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,130,-,-,1,14,4,17,24,33,25,11,1,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),51,7,7,-,-,1,-,4,6,13,11,2,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,205,-,-,-,-,2,8,12,31,76,63,13,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",7991,8,3,6,19,33,94,304,928,2657,3096,843,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1112,11,11,5,4,14,19,54,118,384,398,94,-
94a,Nemoci tepen věnčitých,67,-,-,-,-,-,-,6,15,31,11,4,-
94b,Angina srdeční,148,-,-,-,-,3,4,19,30,55,35,2,-
95a,Jiné nemoci srdce: označené jako rheumatické,69,-,-,-,4,-,5,4,18,24,12,2,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,1939,15,4,11,25,32,78,176,324,695,499,80,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",10,-,-,-,-,-,1,3,3,2,1,-,-
97,Zkornatění tepen,1399,-,-,-,-,1,2,26,91,341,647,291,-
98,Sněť,46,-,-,-,1,-,-,-,3,8,26,8,-
99,Jiné nemoci tepen,65,-,-,-,1,1,5,10,15,15,14,4,-
100a,Nemoci žil: městky,24,-,-,-,-,-,-,2,6,5,8,3,-
100b,Nemoci žil: jiné nemoci žil,57,-,-,1,1,2,6,6,18,14,9,-,-
101,Nemoci soustavy mízní,8,5,1,1,-,-,-,-,1,-,-,-,-
102,Essentielní zvýšení tlaku krevního,13,-,-,-,-,1,-,2,4,3,2,1,-
103,Jiné nemoci ústrojí oběhu krevního,1,-,-,-,-,-,-,-,-,1,-,-,-
,,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,4518,1568,183,39,48,44,101,155,323,808,958,291,-
104,Nemoci dutiny nosní a přídatných útvarů,-,-,-,-,-,-,-,-,-,-,-,-,-
105,Nemoci hrtanu,12,8,3,-,-,-,-,-,-,1,-,-,-
106a,Zánět průdušek: prudký,65,39,6,-,-,-,-,-,1,3,9,7,-
106b,Zánět průdušek: vleklý,137,4,2,1,1,-,1,6,12,41,53,16,-
106c,Zánět průdušek: blíže neoznačený,138,59,10,-,1,-,-,2,2,16,30,18,-
107,Lalůčkový zánět plic (bronchopneumonie),2301,1162,97,17,17,17,40,60,104,298,374,115,-
108,Lalokový zánět plic,580,100,19,8,10,12,15,21,69,154,143,29,-
109,Zánět plic blíže neoznačený,578,169,30,9,5,4,17,27,40,97,143,37,-
110a,Zánět pohrudnice: empyema thoracis,50,14,11,3,1,1,3,2,4,9,2,-,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,112,9,3,1,5,2,5,12,14,31,25,5,-
111a,"Infarkt s krvácením, embolie a trombosa plic",104,-,-,-,5,4,8,17,28,28,10,4,-
111b,Hypostatický zánět a oedem plic,40,1,1,-,-,-,1,-,3,7,18,9,-
112,Záducha (asthma),113,-,1,-,1,3,4,4,14,36,42,8,-
113,Rozedma plic,258,1,-,-,-,-,1,3,26,77,107,43,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,1,-,-,-,-,-,-,-,-,-,1,-,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,22,1,-,-,2,-,5,-,6,7,1,-,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,7,1,-,-,-,1,1,1,-,3,-,-,-
,,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,2996,1404,94,49,53,67,127,235,305,375,238,49,-
115a,Nemoci mandlí a hltanu,22,4,2,2,2,3,6,1,1,1,-,-,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,20,9,2,-,-,-,1,1,2,3,2,-,-
116,Nemoci jícnu,3,-,-,-,-,-,-,-,-,3,-,-,-
117a,Vřed žaludeční,88,-,-,-,-,2,7,14,25,24,16,-,-
117b,Vřed dvanáctníkový,20,-,-,-,-,-,1,6,1,7,5,-,-
118,Jiné nemoci žaludku,30,1,-,1,1,-,1,2,-,11,6,7,-
119,Průjem a katar střevní u dětí do 2 let,1412,1361,51,-,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,67,-,11,7,-,2,1,8,6,10,17,5,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),11,-,-,-,-,1,2,-,2,3,3,-,-
121,Zánět červíkovitého přívěsku,172,-,18,19,21,19,16,28,25,19,6,1,-
122a,Kýla,136,1,-,-,-,-,5,13,28,47,27,15,-
122b,Neprůchodnost střevní,206,15,3,4,8,7,11,26,32,49,45,6,-
123,Ostatní nemoci střevní,9,-,-,-,1,-,1,1,1,3,1,1,-
124a,Svraštění jater: alkoholické,-,-,-,-,-,-,-,-,-,-,-,-,-
124b,Svraštění jater: neoznačené za alkoholické,238,-,-,-,2,3,20,42,52,72,43,4,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),110,-,-,-,5,8,13,20,37,17,7,3,-
125b,Jiné nemoci jater: ostatní nemoci jater,45,2,-,3,1,2,5,8,8,11,4,1,-
126,Kaménky žlučové,148,-,-,-,1,6,16,22,47,30,23,3,-
127,Jiné nemoci žlučníku a žlučovodů,125,-,-,1,3,3,5,24,14,47,25,3,-
128,Nemoci slinivky břišní,22,1,-,-,-,1,2,5,8,4,1,-,-
129,Zánět pobřišnice bez udání příčiny,112,10,7,12,8,10,14,14,16,14,7,-,-
,,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,984,10,7,20,30,51,96,159,203,261,124,23,-
130,Prudký zánět ledvin,21,3,-,2,3,3,4,2,2,1,1,-,-
131,Vleklý zánět ledvin,748,-,3,6,18,32,70,127,162,212,100,18,-
132,Zánět ledvin nerozlišený,63,2,-,9,4,8,4,6,11,12,7,-,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",44,5,2,1,1,2,1,9,7,11,4,1,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",14,-,1,2,1,-,1,2,3,4,-,-,-
134,Kaménky cest močových,27,-,1,-,-,2,3,4,10,5,2,-,-
135a,Zánět měchýře močového,10,-,-,-,-,-,1,-,-,3,4,2,-
135b,Jiné nemoci močového měchýře a poruchy močení,8,-,-,-,-,-,-,1,-,4,2,1,-
136,Nemoci roury močové,11,-,-,-,-,1,2,2,2,2,1,1,-
137a,Nezhoubné nádory žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x
137b,Zbytnění žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x
137c,Ostatní nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x,x
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,x,x,x,x,x,x,x,x,x,x,x,x,x
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",25,-,-,-,2,3,9,5,4,2,-,-,-
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,13,-,-,-,1,-,1,1,2,5,3,-,-
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,-,-,-,-,-,-,-,-,-,-,-,-,-
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",230,-,-,-,53,95,80,2,-,-,-,-,*
140,Potrat se sepsí,35,-,-,-,8,14,13,-,-,-,-,-,-
141,Potrat bez zmínky o sepsi,9,-,-,-,-,4,5,-,-,-,-,-,-
142,Těhotenství mimoděložní,23,-,-,-,5,8,9,1,-,-,-,-,-
143a,Krvácení v těhotenství: lůžko vcestné,2,-,-,-,-,-,2,-,-,-,-,-,-
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),-,-,-,-,-,-,-,-,-,-,-,-,-
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,-,-,-,-,-,-,-,-,-,-,-,-,-
144a,Otrava krve v těhotenství: křeče v těhotenství,20,-,-,-,6,9,5,-,-,-,-,-,-
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,9,-,-,-,2,6,1,-,-,-,-,-,-
144c,Otrava krve v těhotenství: jiné toxikosy,3,-,-,-,2,1,-,-,-,-,-,-,-
145,Jiné nemoci a příhody těhotenství,5,-,-,-,-,4,1,-,-,-,-,-,-
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,11,-,-,-,1,4,6,-,-,-,-,-,-
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,1,-,-,-,-,1,-,-,-,-,-,-,-
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,4,-,-,-,2,2,-,-,-,-,-,-,-
146d,Krvácení při porodu a poporodní: krvácení po porodu,11,-,-,-,1,7,3,-,-,-,-,-,-
