1947,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno
21b,Addisonova nemoc tuberkulosního původu ostatních orgánů,7,-,-,-,-,-,1,2,-,3,1,-,-
22,Tuberkulosa miliární,52,8,4,4,14,3,5,6,1,6,1,-,-
24a,Otrava krve,119,69,6,3,1,2,6,6,8,14,4,-,-
24b,Sněť plynová,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Kapavka,1,1,-,-,-,-,-,-,-,-,-,-,-
26,Jiné nemoci způsobené mikroby (vyjma úplavici),-,-,-,-,-,-,-,-,-,-,-,-,-
27,Úplavice,2,-,1,-,-,-,-,1,-,-,-,-,-
28,Střídavka (malarie),1,-,-,-,-,-,1,-,-,-,-,-,-
29,Jiné nemoci způsobené prvoky cizopasnými (vyjma spirochaetami),-,-,-,-,-,-,-,-,-,-,-,-,-
30a,Příjice: úbyt míchy (tabes dorsalis),53,-,-,-,-,-,4,14,24,9,2,-,-
30b,Příjice: postupná obrna povšechná (progresivní paralysa),118,-,-,1,1,1,24,37,37,14,3,-,-
30c,Příjice: výduť srdečnice (aneurysma aorty),110,-,-,-,-,1,7,25,40,27,9,1,-
30d,Příjice: příjice vrozená,70,68,1,-,-,-,-,-,1,-,-,-,-
30,Příjice: jiné druhy příjice,122,1,-,-,-,6,18,31,37,23,6,-,-
31,Tyf zvratný,-,-,-,-,-,-,-,-,-,-,-,-,-
32a,Infekční žloutenka,5,1,-,-,-,-,-,2,2,-,-,-,-
32b,Ostatní nemoci způsobené spirochaetami,1,-,1,-,-,-,-,-,-,-,-,-,-
33a,Chřipka neboli influenza s onemocněním dýchydel,156,100,6,1,1,1,1,3,10,15,17,1,-
33b,Chřipka neboli influenza bez údaje takového onemocnění,108,69,4,4,1,1,3,4,4,10,5,3,-
34,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Spalničky,29,14,10,5,-,-,-,-,-,-,-,-,-
36,Prudký zánět šedé hmoty míšní nebo mozkové,36,6,3,11,7,3,4,2,-,-,-,-,-
37a,Zánět mozku epidemický (lethargický): prudký,3,-,-,-,-,-,-,-,3,-,-,-,-
37b,Zánět mozku epidemický (lethargický): následky epidemického zánětu mozku,30,-,-,-,-,3,8,5,6,4,4,-,-
37c,Zánět mozku epidemický (lethargický): zánět mozku epidemický bez bližšího označení,5,-,-,-,1,-,1,-,3,-,-,-,-
38a,Jiné nemoci připisované virům: žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-
38b,Jiné nemoci připisované virům: vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-
38c,Jiné nemoci připisované virům: plané neštovice (varicella),6,5,-,-,-,-,-,-,-,1,-,-,-
38d,Jiné nemoci připisované virům: ostatní nemoci připisované virům,-,-,-,-,-,-,-,-,-,-,-,-,-
39a,Skvrnivka (tyf exanthem.),3,-,-,-,1,-,-,2,-,-,-,-,-
39b,Jiné rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-,-
40,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Boubel měchožilová (echinococcus),1,-,-,-,-,-,-,-,1,-,-,-,-
42,Jiné nemoci způsobené hlísty,-,-,-,-,-,-,-,-,-,-,-,-,-
43a,Actinomykosy,2,-,-,-,1,-,-,1,-,-,-,-,-
43b,Jiné mykosy,3,1,-,-,-,-,1,1,-,-,-,-,-
44a,nemoci pohlavní vyjma příjici a kapavku,-,-,-,-,-,-,-,-,-,-,-,-,-
44b,Lymphogranulomatosy,62,-,-,5,4,3,20,14,12,4,-,-,-
44c,Epidemický zánět příušnic,-,-,-,-,-,-,-,-,-,-,-,-,-
44d,Ostatní nemoci přenosné,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
II,Rakovina a jiné nádory,6924,7,21,26,41,89,353,1017,1905,2248,1130,86,1
45a,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: rtů,34,-,-,-,-,1,-,-,4,12,16,1,-
45b,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jazyka,45,-,-,-,-,-,3,3,15,14,6,4,-
45c,Rakovina a jiné zhoubné nádory dutiny ústní a hltanu: jiných a blíže neoznačených míst,71,-,-,1,1,1,1,13,16,26,11,1,-
46a,Rakovina a jiné zhoubné nádory: jícnu,324,-,-,-,-,-,7,27,78,130,71,11,-
46b,Rakovina a jiné zhoubné nádory: žaludku a dvanáctníku,2551,-,-,1,-,17,98,332,713,921,448,20,1
46c,"Rakovina a jiné zhoubné nádory: střev, vyjma dvanáctníku a konečníku",404,-,1,-,2,8,22,54,114,130,71,2,-
46d,Rakovina a jiné zhoubné nádory: konečníku,410,-,-,1,2,4,22,52,102,133,87,7,-
46,Rakovina a jiné zhoubné nádory: jater (pokud jsou označeny jako původní) a žlučovodů,541,-,-,2,-,2,24,75,137,200,97,4,-
46f,"Rakovina a jiné zhoubné nádory: jater, pokud nejsou označeny  jako  původní",160,1,1,2,2,1,8,30,40,49,23,3,-
46g,Rakovina a jiné zhoubné nádory: slinivky břišní,127,-,-,-,-,1,7,27,44,42,6,-,-
46h,Rakovina a jiné zhoubné nádory: pobřišnice,49,-,1,-,-,1,4,9,15,15,4,-,-
46i,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů zažívacích,30,-,-,1,3,2,2,7,5,9,-,1,-
47a,Rakovina a jiné zhoubné nádory: hrtanu a průdušnice,158,-,-,-,-,2,11,22,54,49,20,-,-
47b,"Rakovina a jiné zhoubné nádory: průdušek, plic a pohrudnice",669,-,-,-,3,5,37,163,246,169,45,1,-
47c,Rakovina a jiné zhoubné nádory: dýchacích ústrojů blíže neoznačených,1,-,-,-,-,-,-,-,1,-,-,-,-
48a,Rakovina a jiné zhoubné nádory: hrdla děložního,x,x,x,x,x,x,x,x,x,x,x,x,x
48b,Rakovina a jiné zhoubné nádory: dělohy,-,-,-,-,-,-,-,-,-,-,-,-,-
49,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,x,x
50,Rakovina a jiné zhoubné nádory: prsů,4,-,-,-,-,1,-,-,1,-,2,-,-
51a,Rakovina a jiné zhoubné nádory: šourku,2,-,-,-,-,-,-,1,-,1,-,-,-
51b,Rakovina a jiné zhoubné nádory: předstojné žlázy,296,-,-,-,1,1,4,12,54,117,97,10,-
51c,Rakovina a jiné zhoubné nádory: ostatních pohlavních ústrojů mužských,27,-,1,-,1,1,6,1,4,8,4,1,-
52,Rakovina a jiné zhoubné nádory: ústrojí močového,173,-,-,1,-,1,5,26,49,54,31,6,-
53,Rakovina a jiné zhoubné nádory: kůže,89,-,-,-,-,1,4,9,14,24,25,12,-
54,Rakovina a jiné zhoubné nádory: mozku a jiných částí ústrojí nervového,32,-,-,2,1,2,8,12,6,-,1,-,-
55a,Rakovina a jiné zhoubné nádory: nadledvinek,43,-,-,-,-,2,5,15,11,7,3,-,-
55b,Rakovina a jiné zhoubné nádory: kostí,92,-,1,1,7,6,12,14,29,12,10,-,-
55c,Rakovina a jiné zhoubné nádory: žlázy štítné,53,-,-,-,-,1,2,7,27,12,4,-,-
55d,Rakovina a jiné zhoubné nádory: jiných a blíže neoznačených ústrojů,161,-,2,5,4,4,11,37,33,41,22,2,-
55,"Carcinomatosy, sarkomatosy",25,1,1,-,3,-,1,5,6,6,2,-,-
55f,Metastasy bez udání prvotního místa,-,-,-,-,-,-,-,-,-,-,-,-,-
56a,Nádory nezhoubné: vaječníku,x,x,x,x,x,x,x,x,x,x,x,x,x
56b,Nádory nezhoubné: dělohy,x,x,x,x,x,x,x,x,x,x,x,x,x
56c,Nádory nezhoubné: jiných pohlavních ústrojů ženských,x,x,x,x,x,x,x,x,x,x,x,x,x
56d,Nádory nezhoubné: mozku a jiných částí ústrojí nervového,8,1,-,-,-,-,1,-,4,2,-,-,-
56,Nádory nezhoubné: jiných a blíže neoznačených ústrojů,18,-,2,-,2,-,2,1,4,6,1,-,-
57a,"Nádory, jejichž zhoubný ráz není rozlišen: vaječníku",x,x,x,x,x,x,x,x,x,x,x,x,x
57b,"Nádory, jejichž zhoubný ráz není rozlišen: dělohy",x,x,x,x,x,x,x,x,x,x,x,x,x
57c,"Nádory, jejichž zhoubný ráz není rozlišen: jiných pohlavních ústrojů ženských",x,x,x,x,x,x,x,x,x,x,x,x,x
57d,"Nádory, jejichž zhoubný ráz není rozlišen: mozku a jiných částí ústrojí nervového",156,1,7,7,7,20,34,43,26,9,2,-,-
57,"Nádory, jejichž zhoubný ráz není rozlišen: jiných a blíže neoznačených ústrojů",171,3,4,2,2,4,12,20,53,50,21,-,-
,,,,,,,,,,,,,,
III,"Nemoci rheumatické, výživové, žláz s vnitřním vyměšováním, jiné nemoci celkové a avitaminos",620,90,19,22,22,15,23,49,116,183,71,10,-
58a,Horečný rheumatismus kloubový prudký: prudké rheumatické choroby srdce,36,-,3,17,11,1,1,1,1,1,-,-,-
58b,Horečný rheumatismus kloubový prudký: jiné formy,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,52,-,-,-,2,-,3,3,10,15,15,4,-
60,Dna,1,-,-,-,-,-,-,-,-,1,-,-,-
61,Úplavice cukrová,386,-,1,4,5,12,17,37,94,160,50,6,-
62,Nemoci podvěsku mozkového,1,-,1,-,-,-,-,-,-,-,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,8,-,-,-,1,-,-,1,1,3,2,-,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,13,-,-,-,1,-,2,2,5,1,2,-,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,6,2,-,-,-,2,-,-,1,-,1,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,53,40,12,1,-,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",14,-,-,-,2,-,-,5,4,2,1,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",-,-,-,-,-,-,-,-,-,-,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,1,1,-,-,-,-,-,-,-,-,-,-,-
67,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-
70,Křivice,47,45,2,-,-,-,-,-,-,-,-,-,-
71,Jiné avitaminosy,2,2,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,262,18,18,17,18,16,34,30,45,45,20,1,-
72a,Stavy krvácivé: purpury prvotní,5,2,1,-,1,-,1,-,-,-,-,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),7,2,1,-,1,1,-,1,-,1,-,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,49,1,1,1,1,-,4,4,11,16,9,1,-
73b,Chudokrevnost: jiná anaemie,24,1,1,1,-,1,4,1,6,5,4,-,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,144,4,11,15,14,8,25,16,23,21,7,-,-
74b,Leukaemie a aleukaemie: aleukaemie,7,1,-,-,-,2,-,1,2,1,-,-,-
75,Nemoci sleziny,12,2,2,-,-,1,-,4,2,1,-,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,5,-,-,-,-,2,-,3,-,-,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,9,5,1,-,1,1,-,-,1,-,-,-,-
,,,,,,,,,,,,,,
V,Otravy vleklé,57,-,-,-,1,7,10,10,13,13,2,1,-
77a,Alkoholismus prudký,11,-,-,-,1,1,3,4,1,1,-,-,-
77b,Alkoholismus vleklý a bez bližšího označení,39,-,-,-,-,6,5,4,11,10,2,1,-
78a,Otrava olovem: označená jako z povolání,3,-,-,-,-,-,-,-,1,2,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,4,-,-,-,-,-,2,2,-,-,-,-,-
,,,,,,,,,,,,,,
DU,,98,1,1,3,6,14,16,15,20,17,4,1,0
,,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,4364,602,60,47,73,76,144,335,750,1194,949,134,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,23,2,2,2,3,2,5,5,1,1,-,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,44,15,10,4,2,1,4,3,3,2,-,-,-
81,Zánět plen mozkových prostý,202,80,27,17,15,14,18,13,9,7,2,-,-
82,Nemoci míchy,73,-,1,1,4,2,8,14,20,18,5,-,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2839,-,-,-,12,15,55,203,603,1008,825,118,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,67,-,-,-,-,5,5,9,13,19,14,2,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,89,-,1,-,-,1,3,8,18,28,25,5,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,154,-,-,2,-,1,2,20,31,53,41,4,-
84a,Duševní nemoci a vady: slabomyslnost,16,1,1,3,1,3,2,1,2,1,1,-,-
84b,Duševní nemoci a vady: schoizophrenie,8,-,-,-,3,1,1,1,-,2,-,-,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,2,-,-,-,-,-,-,2,-,-,-,-,-
84d,Duševní nemoci a vady: jiné duševní poruchy,22,-,-,-,1,3,5,3,6,3,1,-,-
85,Padoucnice,82,3,4,9,20,13,15,6,4,5,3,-,-
86,Křeče u dětí do 5 let,396,387,9,-,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,-,-,-,-,-,-,-,-,-,-,-,-,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,4,-,-,-,-,-,-,2,1,-,1,-,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,26,-,-,1,1,1,2,4,4,6,7,-,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,150,-,-,-,2,12,15,33,30,33,20,5,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,24,2,1,5,4,-,-,3,2,4,3,-,-
88,Nemoci ústrojí zrakového,2,-,-,-,-,-,-,-,-,2,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,140,111,4,3,5,2,4,5,3,2,1,-,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,1,1,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,13732,30,23,55,125,134,500,1269,2525,4295,3923,852,1
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,1,-,-,1,-,-,-,-,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,13,1,1,-,-,2,-,-,4,3,2,-,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),20,1,4,9,2,1,-,2,1,-,-,-,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,892,-,-,9,45,43,131,130,198,210,116,10,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,75,-,-,-,8,9,16,15,14,11,2,-,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),47,4,2,-,1,1,3,10,8,9,9,-,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,109,-,-,1,-,-,3,6,14,49,30,6,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",7490,8,4,4,20,34,148,573,1347,2479,2338,535,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1226,2,5,8,10,10,36,96,201,401,379,78,-
94a,Nemoci tepen věnčitých,147,-,-,-,-,2,14,24,47,47,11,2,-
94b,Angina srdeční,447,-,-,-,1,2,24,93,142,138,45,2,-
95a,Jiné nemoci srdce: označené jako rheumatické,35,-,-,1,2,1,7,6,11,5,2,-,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,1724,6,5,20,34,26,95,237,360,546,354,41,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",1,-,-,-,-,-,-,-,1,-,-,-,-
97,Zkornatění tepen,1278,-,-,-,-,1,7,39,133,341,585,171,1
98,Sněť,61,1,-,-,1,-,-,5,6,19,24,5,-
99,Jiné nemoci tepen,82,-,-,1,-,1,8,19,20,20,11,2,-
100a,Nemoci žil: městky,14,-,-,-,-,-,-,1,2,4,7,-,-
100b,Nemoci žil: jiné nemoci žil,43,1,-,1,-,1,6,9,10,7,8,-,-
101,Nemoci soustavy mízní,16,6,2,-,-,-,2,1,2,3,-,-,-
102,Essentielní zvýšení tlaku krevního,7,-,-,-,-,-,-,2,3,2,-,-,-
103,Jiné nemoci ústrojí oběhu krevního,4,-,-,-,1,-,-,1,1,1,-,-,-
,,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,5795,2355,176,34,43,47,138,278,556,1028,955,185,-
104,Nemoci dutiny nosní a přídatných útvarů,5,3,-,-,-,-,1,1,-,-,-,-,-
105,Nemoci hrtanu,11,8,1,-,-,-,-,-,1,1,-,-,-
106a,Zánět průdušek: prudký,84,60,3,1,-,-,1,2,1,9,6,1,-
106b,Zánět průdušek: vleklý,231,7,1,-,-,-,5,16,45,69,72,16,-
106c,Zánět průdušek: blíže neoznačený,188,79,4,1,1,-,3,6,21,32,36,5,-
107,Lalůčkový zánět plic (bronchopneumonie),2787,1712,111,16,17,16,23,65,123,302,324,78,-
108,Lalokový zánět plic,641,141,17,4,8,11,28,53,112,150,99,18,-
109,Zánět plic blíže neoznačený,762,314,30,7,4,10,15,34,62,131,125,30,-
110a,Zánět pohrudnice: empyema thoracis,85,20,4,-,3,3,10,19,14,9,2,1,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,159,7,2,2,4,3,14,17,30,50,29,1,-
111a,"Infarkt s krvácením, embolie a trombosa plic",95,-,1,-,1,2,14,12,16,35,13,1,-
111b,Hypostatický zánět a oedem plic,36,-,-,1,-,-,-,1,7,12,14,1,-
112,Záducha (asthma),242,1,-,-,-,-,7,20,51,77,79,7,-
113,Rozedma plic,386,-,-,-,-,-,5,15,52,137,151,26,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,22,-,-,-,-,-,2,8,4,6,2,-,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,54,2,1,1,5,2,9,8,16,8,2,-,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,7,1,1,1,-,-,1,1,1,-,1,-,-
,,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,3647,1721,86,43,79,67,178,354,441,420,236,22,-
115a,Nemoci mandlí a hltanu,55,27,4,-,3,1,2,3,3,6,6,-,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,3,-,1,-,-,-,-,1,1,-,-,-,-
116,Nemoci jícnu,2,-,-,-,-,-,-,-,2,-,-,-,-
117a,Vřed žaludeční,391,-,-,-,5,16,38,95,117,93,27,-,-
117b,Vřed dvanáctníkový,106,-,1,-,3,5,18,32,21,24,2,-,-
118,Jiné nemoci žaludku,40,1,1,1,-,1,2,5,5,8,13,3,-
119,Průjem a katar střevní u dětí do 2 let,1677,1633,44,-,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,41,-,5,4,-,1,1,6,3,11,8,2,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),15,-,1,-,-,1,1,-,2,4,6,-,-
121,Zánět červíkovitého přívěsku,202,5,16,21,38,15,30,25,29,14,8,1,-
122a,Kýla,143,10,1,1,1,1,4,12,12,51,47,3,-
122b,Neprůchodnost střevní,243,30,5,8,6,4,15,38,44,50,36,7,-
123,Ostatní nemoci střevní,9,-,-,-,1,1,1,1,3,1,1,-,-
124a,Svraštění jater: alkoholické,9,-,-,-,-,1,1,3,1,3,-,-,-
124b,Svraštění jater: neoznačené za alkoholické,369,-,-,-,2,4,29,72,126,91,43,2,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),83,-,-,4,10,8,9,17,14,11,9,1,-
125b,Jiné nemoci jater: ostatní nemoci jater,33,-,1,-,3,2,7,4,7,4,4,1,-
126,Kaménky žlučové,59,-,-,-,1,1,6,7,20,14,10,-,-
127,Jiné nemoci žlučníku a žlučovodů,49,-,-,-,-,-,3,12,10,16,7,1,-
128,Nemoci slinivky břišní,20,1,-,1,-,1,3,6,4,3,1,-,-
129,Zánět pobřišnice bez udání příčiny,98,14,6,3,6,4,8,15,17,16,8,1,-
,,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1585,11,10,5,29,37,92,179,279,491,384,68,-
130,Prudký zánět ledvin,25,4,-,-,2,-,1,4,-,8,6,-,-
131,Vleklý zánět ledvin,788,-,3,1,19,28,69,139,197,230,95,7,-
132,Zánět ledvin nerozlišený,92,3,5,3,4,4,10,11,18,20,13,1,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",55,2,1,1,1,1,3,12,6,15,10,3,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",4,-,-,-,-,-,-,1,2,-,1,-,-
134,Kaménky cest močových,45,-,-,-,2,1,5,6,13,9,9,-,-
135a,Zánět měchýře močového,26,1,-,-,-,2,3,-,2,7,8,3,-
135b,Jiné nemoci močového měchýře a poruchy močení,8,1,-,-,-,1,-,-,-,1,5,-,-
136,Nemoci roury močové,22,-,-,-,1,-,1,-,4,9,5,2,-
137a,Nezhoubné nádory žlázy předstojné,18,-,-,-,-,-,-,-,-,11,7,-,-
137b,Zbytnění žlázy předstojné,488,-,-,-,-,-,-,5,37,175,220,51,-
137c,Ostatní nemoci žlázy předstojné,10,-,-,-,-,-,-,1,-,4,4,1,-
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,4,-,1,-,-,-,-,-,-,2,1,-,-
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",x,x,x,x,x,x,x,x,x,x,x,x,x
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,x,x,x,x,x,x,x,x,x,x,x,x,x
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,x,x,x,x,x,x,x,x,x,x,x,x,x
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,x,x,x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",x,x,x,x,x,x,x,x,x,x,x,x,x
140,Potrat se sepsí,x,x,x,x,x,x,x,x,x,x,x,x,x
141,Potrat bez zmínky o sepsi,x,x,x,x,x,x,x,x,x,x,x,x,x
142,Těhotenství mimoděložní,x,x,x,x,x,x,x,x,x,x,x,x,x
143a,Krvácení v těhotenství: lůžko vcestné,x,x,x,x,x,x,x,x,x,x,x,x,x
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),x,x,x,x,x,x,x,x,x,x,x,x,x
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
144a,Otrava krve v těhotenství: křeče v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
144c,Otrava krve v těhotenství: jiné toxikosy,x,x,x,x,x,x,x,x,x,x,x,x,x
145,Jiné nemoci a příhody těhotenství,x,x,x,x,x,x,x,x,x,x,x,x,x
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
146d,Krvácení při porodu a poporodní: krvácení po porodu,x,x,x,x,x,x,x,x,x,x,x,x,x
