1929,Zemřelí muži podle podrobného seznamu příčin smrti a věku,,,,,,,,,,
MKN (1920),Název,Celkem,0,1-4,5-14,15-24,25-39,40-49,50-64,65 a více,Nezjiš- těno
42,Ostatní nemoci a infekční,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
RA,,6801,10,15,18,57,230,544,2749,3178,0
KR,,141,5,5,6,5,17,27,49,27,0
EN,,883,148,49,23,38,49,43,226,307,0
DU,,205,0,1,0,4,18,44,83,55,0
III,Celkové nemoci výše nejmenované,8013,169,73,51,104,316,654,3094,3552,-
43,Rakovina neb jiné zhoubné nádory dutiny ústní,149,-,-,-,-,2,12,56,79,-
44,"Rakovina neb jiné zhoubné nádory žaludku, jater",4267,-,-,-,3,96,331,1802,2035,-
45,"Rakovina neb jiné zhoubné nádory pobřišnice, střev neb konečníku",880,-,1,1,4,19,61,343,451,-
46,Rakovina neb jiné zhoubné nádory rodidel,x,x,x,x,x,x,x,x,x,x
47,Rakovina neb jiné zhoubné nádory prsu,2,-,-,-,-,-,-,1,1,-
48,Rakovina neb jiné zhoubné nádory kůže,106,-,-,2,-,4,8,26,66,-
49,Rakovina neb jiné zhoubné nádory orgánů ostatních nebo blíže neurčených,1096,2,7,10,33,62,102,408,472,-
50,"Nádory, jež nejsou zhoubné, neb jichž zhoubná povaha není specifikovaná",188,6,2,1,12,24,14,72,57,-
51,Prudký horečatý hostec kloubní,24,1,1,8,6,4,-,3,1,-
52,"Vleklý hostec, dna",82,-,-,-,1,2,6,16,57,-
53,Kurděje,2,-,1,1,-,-,-,-,-,-
56,Křivice,125,88,36,1,-,-,-,-,-,-
57,Cukrovka,544,2,7,10,27,32,32,194,240,-
59,Nedokrevnost zhoubná,112,3,3,3,2,10,22,45,24,-
58a,Jiné nedokrevnosti a blednička,16,1,1,1,2,4,2,2,3,-
58b,Nemoci hypophysy,-,-,-,-,-,-,-,-,-,-
60a,Basedowova nemoc,26,-,-,1,1,7,4,8,5,-
60b,Jiná onemocnění štítné žlázy,15,-,2,1,3,1,-,4,4,-
61,Nemoci žlázek přištítných,31,30,-,1,-,-,-,-,-,-
62,Nemoci brzlíku,30,27,2,-,-,1,-,-,-,-
63,Nemoci nadledvinek (nemoc Addisonova),4,-,-,-,-,2,1,1,-,-
64,Nemoci sleziny,13,1,1,2,1,3,3,2,-,-
65,Bělokrevnost neb Hodgkinova nemoc,113,2,5,4,5,23,16,41,17,-
66,Alkoholismus,145,-,-,-,-,12,33,64,36,-
67,Vleklé otravy nerostnými látkami,6,-,-,-,-,2,2,1,1,-
68,Vleklé otravy ústrojnými látkami,2,-,-,-,-,-,-,2,-,-
69,Ostatní celkové nemoci,35,6,4,4,4,6,5,3,3,-
,,,,,,,,,,,
IV,Choroby systému nervového a smyslových orgánů,7690,1620,258,151,193,403,520,1648,2897,-
70,Zánět mozku,100,9,19,8,13,17,10,16,8,-
71,Zánět mozkových blan,546,146,120,90,60,61,28,32,9,-
72,Úbytě míchy,184,-,-,-,1,11,38,87,47,-
73,Jiné choroby míchy,178,1,4,3,10,26,22,60,52,-
74a,Výlev krevní do mozku,3732,-,-,3,10,60,175,1072,2412,-
74b,Záhať žil mozkových,31,-,-,-,1,3,4,9,14,-
75a,Jednostranná obrna těla,155,-,-,-,-,2,6,42,105,-
75b,Paralysis progressiva,362,-,-,-,2,92,108,113,47,-
75c,Jiné obrny,56,-,1,3,1,3,12,14,22,-
76,Ochrnutí spojené s duševní chorobou,6,-,-,-,-,-,2,2,2,-
77,Jiné duševní choroby,54,-,1,-,4,6,9,17,17,-
78,Padoucnice,180,4,6,13,45,37,27,28,20,-
79,Božec nepuerperální,5,-,-,4,-,-,1,-,-,-
80,Křeče u dětí,1493,1417,76,-,-,-,-,-,-,-
81,Posunčina,5,1,-,-,-,1,1,-,2,-
82b,Zánět nervů,18,-,-,1,1,1,2,5,8,-
83,Změknutí mozku,112,-,-,-,2,4,2,42,62,-
84,Ostatní choroby systému nervového,320,4,14,12,22,61,55,91,61,-
86,Choroby ucha nebo dutin mastoideu,153,38,17,14,21,18,18,18,9,-
,,,,,,,,,,,
V,Choroby oběhu krevního,11705,81,50,116,246,530,860,3233,6589,-
87,Zánět osrdce,23,2,-,1,4,3,2,4,7,-
88,Prudký zánět nitroblány nebo svalu srdečního,153,5,10,16,32,61,27,-,2,-
89,Srdeční angina,246,-,-,-,-,10,30,95,111,-
90,Jiné nemoci srdce,8742,52,34,93,203,431,722,2640,4567,-
91a,Výduť,121,-,-,-,-,12,21,52,36,-
91b,Zkornatění a jiné choroby tepen,2254,-,-,-,1,8,44,385,1816,-
92,Záhať (nikoliv mozkový),92,1,1,1,5,3,9,34,38,-
93,Choroby žil,33,1,-,-,1,2,4,17,8,-
94,Choroby systému mízního,35,19,4,3,-,-,1,5,3,-
95,Ostatní choroby oběhu krevního,5,1,1,1,-,-,-,1,1,-
96,Ostatní choroby oběhu krevního,1,-,-,1,-,-,-,-,-,-
,,,,,,,,,,,
VI,Choroby ústrojí dýchacího,11275,3040,878,184,251,448,517,1730,4227,-
97,Choroby dutin nosních a jejich adnex,2,1,-,-,-,-,-,-,1,-
98,Choroby hrtanu,37,16,7,3,-,2,3,2,4,-
99a,Zánět průdušek prudký,411,344,15,4,2,1,1,6,38,-
99b,Zánět průdušek vleklý,487,31,15,-,5,10,12,102,312,-
99c,Zánět průdušek bez bližšího označení (pod 5 let),298,226,72,-,-,-,-,-,-,-
99d,Zánět průdušek bez bližšího označení (v 5 a více letech),550,-,-,8,3,8,14,80,437,-
100,Lalůčkový zánět plic včetně zánětu průdušinek,2527,1203,306,35,42,52,85,209,595,-
101a,Zánět plic lalokový,1227,197,99,27,73,115,97,259,360,-
101b,Zánět plic bez bližšího označení,3421,968,315,87,80,160,160,526,1125,-
102,Zánět pohrudnice,508,32,42,17,31,63,55,121,147,-
103,Překrvení nebo krvácení parenchymatosní plic,135,7,3,-,3,3,5,18,96,-
104,Sněť plicní,71,-,-,1,3,11,12,28,16,-
105,Záducha,371,6,-,1,1,8,24,105,226,-
106,Rozedma plic,1155,-,1,1,1,7,39,258,848,-
107,Ostatní choroby ústrojí dýchacího,75,9,3,-,7,8,10,16,22,-
,,,,,,,,,,,
VII,Choroby ústrojí zažívacího,7126,4001,376,192,214,357,381,811,794,-
108b,Choroby ústní dutiny a jejich adnex,21,13,2,-,3,1,1,-,1,-
109,Choroby hltanu nebo mandlí,127,5,18,40,17,13,10,15,9,-
110,Choroby jícnu,15,-,-,2,-,2,2,3,6,-
111a,Vřed žaludeční,445,1,-,1,21,83,102,160,77,-
111b,Vřed dvanácterníku,106,-,-,1,5,32,20,35,13,-
112,Jiné choroby žaludeční,68,3,2,2,1,4,2,22,32,-
113,Průjem a zánět střev (pod 2 roky),4144,3908,236,-,-,-,-,-,-,-
114,Průjem a zánět střev (nad 2 roky),249,-,66,23,14,11,9,40,86,-
115,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-
116,Choroby zaviněné intestinálními cizopasníky,-,-,-,-,-,-,-,-,-,-
117,Zánět červu a jeho okolí,383,1,24,71,81,81,33,60,32,-
118a,Kýla ,248,17,7,6,3,7,17,39,152,-
118b,Záhať střevní,229,15,3,7,12,20,21,74,77,-
119b,Jiné choroby střev,54,8,3,1,3,2,7,12,18,-
120,Prudká atrofie jater,38,-,1,5,6,4,4,7,11,-
121,Hydativní nádor jater,3,-,-,-,-,1,1,-,1,-
122a,Svraštění jater alkoholické,16,-,-,-,-,3,2,4,7,-
122b,Svraštění jater neoznačené jako alkoholické,463,-,-,4,4,33,80,201,141,-
123,Žlučové kaménky,62,-,-,-,-,4,13,20,25,-
124,Jiné choroby jater,158,2,1,4,4,16,19,54,58,-
125,Choroby mikteru,15,-,-,-,-,3,1,7,4,-
126,Zánět pobřišnice bez označení příčiny,282,28,13,25,40,37,37,58,44,-
,,,,,,,,,,,
VIII,Nevenerické choroby ústrojí urogenitálního a jejich adnex,2553,31,36,55,88,220,258,755,1110,-
128,Prudký zánět ledvin,110,20,25,32,8,9,9,3,4,-
129,Vleklý zánět ledvin,1636,1,8,21,76,196,220,610,504,-
130,Chylurie, -, -, -, -, -, -, -, -, -, -
131,Jiné choroby ledvin a jejich adnex,112,5,2,2,2,6,13,37,45,-
132,Močové kaménky,40,-,-,-,-,3,6,16,15,-
133,Choroby měchýře,125,1,-,-,2,-,1,16,105,-
134,Choroby močové roury,49,-,-,-,-,5,6,8,30,-
135,Choroby žlázy předstojné,474,-,-,-,-,1,2,64,407,-
136,Nevenerické choroby mužských pohlavních orgánů,7,4,1,-,-,-,1,1,-,-
137,Boubel a jiné nezhoubné nádory vaječníku,x,x,x,x,x,x,x,x,x,x
138,Zánět vejcovodu nebo vřed v pánvi,x,x,x,x,x,x,x,x,x,x
139,Nádory děložní,x,x,x,x,x,x,x,x,x,x
140,Nepuerperální krvácení z dělohy,x,x,x,x,x,x,x,x,x,x
141,Ostatní choroby rodidel,x,x,x,x,x,x,x,x,x,x
142,Nepuerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
IX,Puerperální stav,x,x,x,x,x,x,x,x,x,x
143a,Potrat ,x,x,x,x,x,x,x,x,x,x
143b,Mimoděložní těhotenství,x,x,x,x,x,x,x,x,x,x
143c,Jiné nehody těhotenské,x,x,x,x,x,x,x,x,x,x
144,Krvácení těhotných a v šestinedělí,x,x,x,x,x,x,x,x,x,x
145,Jiné nehody při porodu,x,x,x,x,x,x,x,x,x,x
146,Horečka omladnic,x,x,x,x,x,x,x,x,x,x
147,"Phlegmasia albadolens, embolie nebo náhlá smrt puerperální",x,x,x,x,x,x,x,x,x,x
148,Albuminurie nebo božec v šestinedělí,x,x,x,x,x,x,x,x,x,x
149,Následky porodu (bez bližšího označení),x,x,x,x,x,x,x,x,x,x
150,Puerperální choroby prsu,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,
X,Choroby kůže a vaziva,559,320,8,5,11,11,16,51,137,-
151,Sněť,130,6,1,2,2,6,5,19,89,-
152,Nežit,242,205,4,-,3,-,3,13,14,-
153,"Zánět podkožního vaziva, horečnatý vřed",71,27,2,2,6,3,7,13,11,-
155,Ostatní choroby kůže neb jejich adnex,116,82,1,1,-,2,1,6,23,-
,,,,,,,,,,,
XI,Choroby kostí a ústrojí pohybového,159,7,16,32,23,26,14,19,22,-
156,Choroby kostí,131,5,16,26,21,23,8,16,16,-
157,Choroby kloubů,20,2,-,6,1,2,3,2,4,-
158,Ostatní choroby kostí nebo ústrojí pohybového,8,-,-,-,1,1,3,1,2,-
,,,,,,,,,,,
XII,Zrůdnost vrozená,218,209,8,1,-,-,-,-,-,-
159,Zrůdnost vrozená,218,209,8,1,-,-,-,-,-,-
,,,,,,,,,,,
XIII,Raný věk,3963,3963,-,-,-,-,-,-,-,-
160b,"Vrozená slabost, žloutenka a skleroma",2171,2171,-,-,-,-,-,-,-,-
161,Předčasné narození nebo různé následky porodu,1450,1450,-,-,-,-,-,-,-,-
162,Ostatní zvláštní choroby raného věku,342,342,-,-,-,-,-,-,-,-
163,Nedostatek péče,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XIV,,6551,6,4,4,4,8,7,102,6416,0
164,Stáří,6508,-,-,-,-,-,-,96,6412,-
,,,,,,,,,,,
XV,Zevní příčiny ,5749,64,228,255,1217,1313,684,1135,848,5
SE,,2559,0,0,20,593,611,325,566,442,2
165,Sebevražda otravou jedy,49,-,-,-,14,17,5,10,3,-
166,Sebevražda otravou požitím žíravin,47,-,-,-,14,15,5,13,-,-
167,Sebevražda vdechováním jedovatých plynů,16,-,-,-,3,7,3,2,1,-
168,Sebevražda oběšením neb uškrcením,1409,-,-,9,166,283,211,402,336,2
169,Sebevražda utopením,122,-,-,3,14,33,10,33,29,-
170,Sebevražda zastřelením,608,-,-,4,259,179,57,69,40,-
171,Sebevražda nástroji řeznými neb bodnými,39,-,-,-,7,8,8,7,9,-
172,Sebevražda skokem s výše,9,-,-,1,2,2,1,2,1,-
173,Sebevražda rozdrcením,182,-,-,3,91,42,17,15,14,-
174,Sebevražda jiným způsobem,78,-,-,-,23,25,8,13,9,-
175,Otrava potravinami,21,-,2,4,2,6,3,3,1,-
176,Uštknutí neb štípnutí,1,-,-,-,-,-,-,1,-,-
177,Jiné prudké otravy náhodné (vyjma plyny),30,1,9,2,2,5,3,3,5,-
178,Úraz při požáru,16,1,2,-,-,4,4,1,3,1
179,Náhodné popálení (vyjma při požáru),174,14,80,16,14,15,10,15,10,-
180,Náhodné mechanické udušení (vyjma při požáru),64,12,5,4,10,13,6,11,3,-
181,Vdechování plynů nedýchatelných neb jedovatých,68,-,3,4,19,14,6,12,10,-
182,Náhodné utopení,418,2,70,71,145,49,19,37,24,1
183,Poranění střelnou zbraní,63,-,1,12,18,20,4,8,-,-
184,Poranění nástroji řeznými neb bodnými,46,-,2,2,9,12,5,10,6,-
185,Poranění pádem,106,-,3,4,14,17,13,24,31,-
186,Poranění v dolech neb lomech,124,-,-,2,22,55,22,17,6,-
187,Poranění stroji,16,-,-,1,6,5,3,1,-,-
DN,,425,1,16,39,85,124,56,69,35,0
188a,Poranění železnicemi a tramvajemi,169,-,4,1,36,59,31,23,15,-
188b,Poranění automobily,153,-,10,26,23,35,18,28,13,-
188c,Poranění motocykly,26,-,1,1,11,8,1,4,-,-
188d,Poranění aeroplány a balony,12,-,-,-,9,3,-,-,-,-
188,Poranění jinými dopravními prostředky,65,1,1,11,6,19,6,14,7,-
188f,Poranění jiným zhmožděním,635,6,20,32,118,163,85,144,67,-
189,Poranění způsobená zvířaty,23,-,-,2,4,3,2,7,5,-
192b,Hlad nebo žízeň,1,-,1,-,-,-,-,-,-,-
193,Přílišný chlad,128,-,1,-,6,8,20,52,41,-
194,Přílišný žár,11,2,1,1,-,1,2,4,-,-
195,Blesk,26,1,-,3,6,5,5,5,1,-
196,Jiné úrazy elektrickým proudem,104,-,3,6,42,42,5,6,-,-
NA,,250,22,7,19,44,57,31,49,21,0
197,Zabití střelnou zbraní,26,-,2,3,5,5,3,7,1,-
198,Zabití nástroji řeznými neb bodnými,33,-,-,1,10,12,6,4,-,-
199,Zabití jinými prostředky,45,-,3,5,9,11,4,9,4,-
200,Zabití dítěte do 1 roku,20,20,-,-,-,-,-,-,-,-
201c,Zlomeniny (bez bližšího označení),440,2,2,11,58,84,55,90,137,1
202a,Ostatní násilná zevní poranění,126,2,2,10,20,29,18,29,16,-
202b,Poprava legální,-,-,-,-,-,-,-,-,-,-
203,Násilná smrt neznáme příčiny,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,
XVI,Nemoci špatně definované,529,65,26,10,16,37,51,159,165,-
204,Náhlé úmrtí,8,-,-,-,-,1,-,4,3,-
205,Nemoci nespecifikované nebo špatně definované,521,65,26,10,16,36,51,155,162,-
