1958,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš- těno,,,,,,,
29,Příjice blíže neurčená,5,-,-,-,-,-,-,-,-,-,1,-,3,1,-,-,,,,,,,
30,Kapavka akutní nebo blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
31,Chronická gonokokové onemocnění ústrojí močového a pohlavního,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
32,Gonokokové onemocnění kloubů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
33,Gonokokové onemocnění oční,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
34,Gonokokové onemocnění jiných orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
35,Pozdní následky gonokokové onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
36,Měkký vřed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
37,Lymphogranuloma venereum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
38,Granuloma venereum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
39,Jiné nebo blíže neurčené pohlavní nemoci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
40,Břišní tyfus,13,-,-,-,-,-,-,-,-,4,2,2,4,1,-,-,,,,,,,
41,Paratyfus,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
42,Jiné nakažlivé nemoci způsobené salmonelami,4,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,,,,,,,
43,Cholera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
44,Horečka vlnivá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
45,Úplavice bacilární,17,-,-,1,-,-,1,-,1,-,1,2,4,5,2,-,,,,,,,
46,Úplavice amoebová,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
47,Jiné úplavice protozoární,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
48,Blíže neurčené formy úplavice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
49,Otravy potravinami,4,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,,,,,,,
50,Spála,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
51,Angina streptokoková,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,
52,Růže,18,-,-,-,-,-,-,-,1,-,1,2,4,7,3,-,,,,,,,
53,Sepse prostá i s metastasami,7,1,-,-,-,-,1,-,-,-,-,1,4,-,-,-,,,,,,,
54,Bakteriální otrava krve,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
55,Záškrt,22,-,-,2,-,-,14,-,3,1,2,-,-,-,-,-,,,,,,,
56,Dávivý kašel,10,4,2,1,2,1,-,-,-,-,-,-,-,-,-,-,,,,,,,
57,Meningokokové nákazy,11,5,1,1,-,1,1,-,-,-,-,1,-,1,-,-,,,,,,,
58,Mor,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
59,Tularemie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
60,Malomocenství,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
61,Ztrnutí,27,-,-,-,-,-,2,-,1,4,6,7,3,3,1,-,,,,,,,
62,Uhlák,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,,,,,,,
63,Sněť plynatá,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
64,Jiné bakteriální nemoci,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
70,Vincentova angina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
71,Návratná horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
72,Weilova nemoc,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
73,Framboesia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
74,Jiná spirochaetová a leptospirová onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
80,Prudká obrna dětská,2,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,,,,,,,
81,Pozdní následky prudké dětské obrny,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,,,,,,,
82,Prudký infekční zánět mozku,14,-,1,1,-,-,4,1,-,-,3,1,2,-,1,-,,,,,,,
83,Pozdní následky epidemického zánětu mozku,8,-,-,-,-,-,-,1,-,-,1,4,2,-,-,-,,,,,,,
84,Neštovice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
85,Spalničky,31,9,8,4,1,1,8,-,-,-,-,-,-,-,-,-,,,,,,,
86,Zarděnky,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
87,Plané neštovice,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
88,Pásový opar,3,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,,,,,,,
89,Epidemický zánět příušnic,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
90,Dengue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
91,Žlutá zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
92,Epidemický zánět jater,32,1,-,1,-,-,1,1,1,-,9,8,5,5,-,-,,,,,,,
93,Infekční mononucleosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
94,Vzteklina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
95,Trachom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
96,Ostatní nemoci připisované virům,2,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
100,Skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
101,Endemická skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
102,Americká skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
103,Mexická skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
104,Rocky-Mountainská skvrnivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
105,Skvrnivka přenášená roztoči,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
106,Volyňská zimnice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
107,Skvrnivka blíže neurčená,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
108,Ostatní rickettsiosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
110,Malarie třídenní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
111,Malarie čtvrtodenní,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
112,Malarie zhoubná,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
113,Malarie způsobená plasmodiem ovale,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
114,Smíšené malarické infekce,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
115,Biliosní haemoglobinurická horečka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
116,Jiné a blíže neurčené formy malarie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
117,Recidivující malarie po naočkování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
120,Leishmaniosy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
121,Trypanosomiasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
122,Ostatní nemoci způsobené protozoy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
123,Schistosomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
124,Nemoci způsobené ostatními trematody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
125,Měchožil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
126,Jiné infekce cestody,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
127,Filariasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
128,Trichinellosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
129,Ankylostomiasis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
130,"Onemocnění jinými hlísty, smíšená nebo blíže neurčená",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
131,Dermatophytosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
132,Actinomycosis,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
133,Coccidiodomycosis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
134,Ostatní plísňová onemocnění,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
135,Svrab,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
136,Zavšivení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
137,Ostatní nemoci způsobené členovci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
138,Ostatní přenosné a cizopasné nemoci,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
II,Novotvary,8 678,3,5,10,8,8,48,42,147,410,1 327,2 189,2 620,1 651,210,-,,,,,,,
140,Zhoubný novotvar rtu,3,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,,,,,,,
141,Zhoubný novotvar jazyka,15,-,-,-,-,-,-,-,1,1,-,2,6,4,1,-,,,,,,,
142,Zhoubný novotvar slinných žláz,9,-,-,-,-,-,-,-,-,-,2,2,2,3,-,-,,,,,,,
143,Zhoubný novotvar spodiny ústní,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
144,Zhoubný novotvar jiných částí úst a zhoubný novotvar neurčené části dutiny ústní,26,-,-,-,-,-,-,-,-,1,2,7,7,6,3,-,,,,,,,
145,Zhoubný novotvar ústní částí hltanu a mandlí,5,-,-,-,-,-,-,-,-,-,1,2,-,2,-,-,,,,,,,
146,Zhoubný novotvar nosohltanu,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,
147,Zhoubný novotvar hrtanové části hltanu,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,,,,,,,
148,Zhoubný novotvar neurčené části hltanu,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,,,,,,,
150,Zhoubný novotvar jícnu,39,-,-,-,-,-,-,-,-,1,2,10,15,9,2,-,,,,,,,
151,Zhoubný novotvar žaludku,1 893,-,-,-,-,-,-,2,8,41,163,430,718,471,60,-,,,,,,,
152,Zhoubný novotvar tenkého střeva a dvanácterníku,16,-,-,-,-,-,-,-,-,-,1,3,7,4,1,-,,,,,,,
153,Zhoubný novotvar tlustého střeva vyjma konečníku,406,-,-,-,1,-,-,-,6,6,37,103,131,105,17,-,,,,,,,
154,Zhoubný novotvar konečníku,376,-,-,-,-,-,-,2,5,14,61,91,115,82,6,-,,,,,,,
155,Zhoubný novotvar žlučových cest a jater (určený jako primární),845,-,-,-,-,-,-,-,1,12,78,220,309,202,23,-,,,,,,,
156,Zhoubný novotvar jater (sekundární nebo neurčený),3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,,,,,,,
157,Zhoubný novotvar slinivky břišní,267,-,-,-,-,-,-,-,2,10,34,67,103,49,2,-,,,,,,,
158,Zhoubný novotvar pobřišnice,75,1,-,-,-,-,-,-,-,3,7,21,27,15,1,-,,,,,,,
159,Zhoubný novotvar neurčené části trávicího ústrojí,179,-,-,1,-,-,-,-,2,4,20,30,59,60,3,-,,,,,,,
160,"Zhoubný novotvar nosu, dutiny nosní, středního ucha a vedlejších dutin",12,-,-,-,-,-,-,-,1,1,-,3,3,3,1,-,,,,,,,
161,Zhoubný novotvar hrtanu,10,-,-,-,-,-,-,-,-,-,1,3,1,4,1,-,,,,,,,
162,"Zhoubný novotvar průdušnice, průdušek, plic, určený jako primární",404,-,-,-,-,-,-,-,5,11,50,101,135,97,5,-,,,,,,,
163,"Zhoubný novotvar plic a průdušek, neurčený jako primární nebo sekundární",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
164,Zhoubný novotvar mezihrudí,21,-,-,1,-,-,1,-,-,1,8,1,6,3,-,-,,,,,,,
165,Zhoubný novotvar hrudních orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
170,Zhoubný novotvar prsů,948,-,-,-,-,-,-,-,11,81,244,275,209,112,16,-,,,,,,,
171,Zhoubný novotvar hrdla děložního,390,-,-,-,-,-,-,-,16,56,103,109,70,32,4,-,,,,,,,
172,Zhoubný novotvar těla děložního,66,-,-,-,-,-,-,-,-,5,6,21,21,11,2,-,,,,,,,
173,Zhoubný novotvar jiných částí dělohy a chorioepitheliom,7,-,-,-,-,-,-,-,-,1,2,-,1,2,1,-,,,,,,,
174,Zhoubný novotvar neurčené části dělohy,488,-,-,-,-,-,-,1,12,28,110,135,122,71,9,-,,,,,,,
175,"Zhoubný novotvar vaječníku, vejcovodu, širokého vazu",519,1,-,-,-,-,2,1,10,19,147,178,118,41,2,-,,,,,,,
176,Zhoubný novotvar jiných nebo blíže neurčených ženských orgánů pohlavních,119,-,-,-,-,-,-,1,-,4,11,29,42,30,2,-,,,,,,,
177,Zhoubný novotvar předstojné žlázy,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
178,Zhoubný novotvar varlat,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
179,Zhoubný novotvar jiných nebo blíže neurčených mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
180,Zhoubný novotvar ledvin,145,-,-,1,2,-,3,-,2,10,22,40,46,15,4,-,,,,,,,
181,Zhoubný novotvar močového měchýře a ostatních močových orgánů,76,-,1,-,-,-,1,-,-,1,10,17,29,15,2,-,,,,,,,
190,Zhoubný melanom kůže,27,-,-,-,-,-,-,-,1,3,5,5,2,8,3,-,,,,,,,
191,Ostatní zhoubné novotvary kůže,103,-,-,-,-,-,-,-,-,-,5,10,26,41,21,-,,,,,,,
192,Zhoubný novotvar oka,13,-,-,-,1,-,-,-,-,2,-,2,5,2,1,-,,,,,,,
193,Zhoubný novotvar mozku a jiných částí ústrojí nervového,188,-,2,1,-,6,11,8,9,19,53,49,20,8,2,-,,,,,,,
194,Zhoubný novotvar štítné žlázy,68,-,-,-,-,-,-,-,-,2,7,18,23,17,1,-,,,,,,,
195,Zhoubný novotvar ostatních žláz s vnitřní sekrecí,18,-,-,-,-,-,-,-,1,2,1,8,6,-,-,-,,,,,,,
196,Zhoubný novotvar kostí (i čelistí),103,-,-,1,-,-,7,3,1,5,13,19,33,17,4,-,,,,,,,
197,Zhoubný novotvar pojiva,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
198,Zsekundární nebo blíže neurčené zhoubné novotvary mízních uzlin,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
199,Zhoubný novotvar jiného nebo blíže neurčeného umístění,210,-,1,-,1,-,2,2,8,13,27,41,64,47,4,-,,,,,,,
200,Lymfosarkom a retikulosarkom,76,-,-,1,-,-,2,2,7,5,6,26,16,10,1,-,,,,,,,
201,Hodgkinova nemoc,75,-,-,-,-,-,1,5,15,11,19,10,8,6,-,-,,,,,,,
202,Jiné druhy lymfomů,6,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,,,,,,,
203,Mnohočetný myelom,45,-,-,-,-,-,-,-,-,2,6,20,12,5,-,-,,,,,,,
204,Leukaemie a aleukie,231,-,1,4,2,2,15,13,16,21,27,51,55,22,2,-,,,,,,,
205,Mycosis fungoides,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
210,Nezhoubný novotvar dutiny ústní a hltanu,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,,,,,,,
211,Nezhoubný novotvar ostatních částí trávicího ústrojí,9,-,-,-,-,-,-,-,-,-,1,2,5,1,-,-,,,,,,,
212,Nezhoubný novotvar dýchacího ústrojí,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,,,,,,,
213,Nezhoubný novotvar prsů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
214,Fibromyom dělohy,17,-,-,-,-,-,-,-,-,4,11,2,-,-,-,-,,,,,,,
215,Ostatní nezhoubné novotvary dělohy,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
216,Nezhoubný novotvar vaječníku,11,-,-,-,-,-,-,-,1,1,1,1,4,1,2,-,,,,,,,
217,Nezhoubný novotvar ostatních ženských pohlavních orgánů,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,,,,,,,
218,Nezhoubný novotvar mužských pohlavních orgánů,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,
219,Nezhoubný novotvar ledvin a močových cest,3,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,,,,,,,
220,Nezhoubný melanom kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
221,Pilonidální cysta,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,,,,,,,
222,Ostatní nezhoubné novotvary kůže,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
223,Nezhoubný novotvar mozku a jiných částí ústrojí nervového,34,-,-,-,1,-,1,-,2,3,8,3,9,6,1,-,,,,,,,
224,Nezhoubný novotvar žláz s vnitřní sekrecí,3,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,,,,,,,
225,Nezhoubný novotvar kostí a chrupek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
226,Lipom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
227,Jiné nezhoubné novotvary svalů a vaziva,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
228,Haemangiom,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
229,Nezhoubné novotvary ostatních nebo blíže neurčených orgánů a tkání,4,-,-,-,-,-,-,-,1,-,-,1,1,1,-,-,,,,,,,
230,Novotvar neurčené povahy trávicího ústrojí,12,-,-,-,-,-,-,-,-,1,-,4,4,3,-,-,,,,,,,
231,Novotvar neurčené povahy dýchacího ústrojí,3,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,,,,,,,
232,Novotvar neurčené povahy prsů,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,,,,,,,
233,Novotvar neurčené povahy dělohy,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,,,,,,,
234,Novotvar neurčené povahy vaječníků,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,,,,,,,
235,Novotvar neurčené povahy ostatních ženských pohlavních orgánů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
236,Novotvar neurčené povahy jiných pohlavních a močových orgánů,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,,,,,,,
237,Novotvar neurčené povahy mozku a jiných částí ústrojí nervového,23,1,-,-,-,-,1,1,1,2,7,5,5,-,-,-,,,,,,,
238,"Novotvar neurčené povahy kůže,soustavy svalové a kosterní",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
239,Novotvar neurčené povahy ostatních nebo blíže neurčených orgánů,9,-,-,-,-,-,1,-,1,-,-,4,1,2,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
III,"Nemoci allergické, žláz s vnitřní sekrecí, výměny látkové a výživy",1 171,8,1,2,-,-,3,5,16,22,72,272,511,241,18,-,,,,,,,
240,Senná rýma,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
241,Astma,82,-,-,-,-,-,-,-,4,4,7,13,23,29,2,-,,,,,,,
242,Angioneurotický oedem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
243,Kopřivka,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
244,Allergický ekzém,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
245,Ostatní allergické poruchy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
250,Vole prosté,14,-,-,-,-,-,-,-,-,-,-,3,7,4,-,-,,,,,,,
251,Vole uzlovité netoxické,13,-,-,-,-,-,-,-,-,1,1,2,5,4,-,-,,,,,,,
252,Thyreotoxikosa s voletem nebo bez něho,165,-,-,-,-,-,-,-,3,6,15,51,74,15,1,-,,,,,,,
253,Myxoedema a kretenismus,8,-,-,-,-,-,-,-,-,1,2,3,1,1,-,-,,,,,,,
254,Ostatní nemoci štítné žlázy,5,-,-,-,-,-,-,-,-,-,-,3,1,1,-,-,,,,,,,
260,Úplavice cukrová,833,-,-,-,-,-,1,5,7,8,34,188,395,181,14,-,,,,,,,
270,Poruchy vnitřní sekrece slinivky břišní-jiné než úplavice cukrová,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
271,Nemoci příštítných tělísek,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
272,Nemoci hypofysy,7,-,-,-,-,-,-,-,2,1,2,1,-,1,-,-,,,,,,,
273,Nemoci brzlíku,7,3,-,1,-,-,1,-,-,-,2,-,-,-,-,-,,,,,,,
274,Nemoci nadledvinek,19,4,1,-,-,-,-,-,-,-,5,6,-,3,-,-,,,,,,,
275,Poruchy činnosti vaječníků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
276,Poruchy činnosti varlat,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
277,Poruchy činnosti několika žláz s vnitřní sekrecí a ostatní nemoci žláz s vnitřní sekrecí,2,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,,,,,,,
280,Beri-Beri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
281,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
282,Kurděje,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
283,Aktivní křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
284,Pozdní následky křivice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
285,Měknutí kostí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
286,Jiné avitaminosy a stavy z nedostatku výživy,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,,,,,,,
287,"Otylost, není-li vnitřně sekretorického původu",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,,,,,,,
288,Dna,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,,,,,,,
289,Ostatní nemoci výměny látkové,9,-,-,-,-,-,-,-,-,-,4,1,2,1,1,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
