1959,Zemřelé ženy podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš-těno
E841,"Jiný úraz pouliční drahou , mimo srážku s motorovým vozidlem ",4,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-
E842,Úraz způsobený chodcům cyklisty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E843,"Úraz způsobený cyklistům, vyjma srážku  s motorovým  vozidlem ",2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
E844,Úraz chodců nemotorovými silničními vozidly ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E845,Jiný úraz nemotorovými silničními vozidly ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících potopením na malých člunech ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní úrazy při vodní dopravě způsobené potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný neoznačený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
E860,Úraz způsobený posádce vojenského letadla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E861,Poranění cestujících při nehodách dopravních letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E862,Jiné poranění v dopravních letadlech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Poranění cestujících při nehodách jiných letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Letecký úraz způsobený na letišti osobám mimo letadlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E865,Letecký úraz mimo letadlo jinde než na letišti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E866,Jiný a blíže neoznačený letecký úraz,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy látkami pevnými a tekutinami,34,-,3,-,2,1,3,-,2,8,4,5,4,2,-,-
E870,Náhodná otrava morfiem a jinými deriváty opia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E871,Náhodná otrava kyselinou barbiturovou a jejími deriváty,4,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-
E872,Náhodná otrava aspirinem a salicyláty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Náhodná otrava bromidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E874,Náhodná otrava jinými analgetiky a uspávacími prostředky,3,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-
E875,Náhodná otrava sulfonamidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E876,Náhodná otrava strychninem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E877,"Náhodná otrava belladonou, skopolaminem a atropinem",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E878,Náhodná otrava jinými a neurčenými léčivy,3,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-
E879,Náhodná otrava škodlivými potravinami,7,-,-,-,-,1,-,-,1,1,1,2,1,-,-,-
E880,Náhodná otrava alkoholem,3,-,-,-,-,-,-,-,-,2,-,-,1,-,-,-
E881,Náhodná otrava naftovými produkty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E882,Náhodná otrava průmyslovými rozpustidly,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
E883,"Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami",2,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
E884,Náhodná otrava rtutí a jejími sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E885,Náhodná otrava olovem a jeho sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E886,Náhodná otrava arsenem a antimonem a jejich sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E887,Náhodná otrava fluoridy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E888,Náhodná otrava jinými a neurčenými látkami pevnými a tekutými,11,-,2,-,1,-,2,-,1,-,2,1,1,1,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy plynem a parami,109,-,3,1,2,-,4,8,6,7,9,15,22,30,2,-
E890,Náhodná otrava svítiplynem,68,-,-,-,2,-,1,6,5,3,6,10,17,16,2,-
E891,Náhodná otrava výfukovým plynem motorových vozidel,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E892,Náhodná otrava jiným kysličníkem uhelnatým,40,-,3,1,-,-,3,2,-,4,3,5,5,14,-,-
E893,Náhodná otrava kyanovodíkem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E894,Náhodná otrava jinými určenými plyny nebo parami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E895,Náhodná otrava neurčenými plyny nebo parami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné pády,709,2,3,3,1,2,5,2,4,4,19,43,144,318,159,-
E900,Pád na schodech ,29,-,-,-,-,-,1,1,-,-,2,3,5,15,2,-
E901,Pád se žebříku ,8,-,-,-,-,-,-,-,-,1,1,-,4,2,-,-
E902,Jiný pád do hloubky,76,2,3,3,1,1,2,1,3,2,9,13,16,11,9,-
E903,Pád na rovině,215,-,-,-,-,1,1,-,-,-,2,9,41,109,52,-
E904,Neurčený pád ,381,-,-,-,-,-,1,-,1,1,5,18,78,181,96,-
,,,,,,,,,,,,,,,,,
,Jiné náhodné úrazy,353,61,21,9,11,5,30,12,22,18,35,33,31,54,11,-
E910,Náhodný úraz způsobený padajícími předměty,10,-,-,-,-,-,5,-,1,1,2,1,-,-,-,-
E911,Náhodný úraz způsobený vozidly,8,-,-,1,-,-,1,-,-,1,1,2,1,1,-,-
E912,Náhodný úraz způsobený stroji a nástroji,10,-,-,-,-,-,1,-,2,2,2,2,1,-,-,-
E913,Náhodný úraz způsobený řeznými a bodnými nástroji,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E914,Náhodný úraz způsobený elektrickým proudem,15,-,-,-,-,-,1,1,3,3,4,2,-,1,-,-
E915,Náhodný úraz způsobený výbuchem parního kotle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E916,Náhodný úraz způsobený ohněm a výbuchem hořlavých látek,63,1,-,-,1,1,3,2,3,3,8,5,9,23,4,-
E917,"Náhodný úraz způsobený vřelou substancí, leptavou tekutinou nebo parou",15,-,1,1,-,-,1,-,-,1,-,1,2,6,2,-
E918,Náhodný úraz způsobený zářením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E919,Náhodný úraz způsobený střelnou zbraní,2,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
E920,Cizí těleso vniklé do oka a jeho adnexů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E921,Dušení potravou v hrtanu nebo jiných cestách dýchacích ,72,52,3,-,2,-,1,-,2,-,1,3,3,4,1,-
E922,Dušení jinými předměty v hrtanu nebo jiných cestách dýchacích ,3,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-
E923,Cizí těleso vniklé do jiných otvorů těla,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E924,Náhodné mechanické udušení v posteli a kočárku,5,3,2,-,-,-,-,-,-,-,-,-,-,-,-,-
E925,Náhodné mechanické udušení za jiných nebo neoznačených okolností,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-
E926,Nedostatek péče o děti ve věku do jednoho roku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E927,Úraz kousnutím nebo uštknutím  živočichy a hmyzem,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E928,Jiný náhodný úraz způsobený zvířaty,4,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-
E929,Náhodné tonutí,74,3,14,5,8,3,12,4,7,2,5,5,1,3,2,-
E930,Vysoký a  nízký tlak vzduchu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E931,"Nadměrné horko, úžeh a úpal",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E932,Nadměrný chlad,4,-,-,-,-,-,-,-,1,-,1,-,-,2,-,-
E933,"Hlad, žízeň a  jiné strádání ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E934,Přírodní katastrofa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E935,Blesk,11,-,-,-,-,-,-,3,1,2,3,2,-,-,-,-
E936,Jiný a neurčený náhodný úraz,50,1,-,-,-,-,3,1,-,2,7,9,12,13,2,-
E937,"Úraz v dolech, v lomech",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Komplikace způsobené neléčebnými lékařskými zákroky,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
E940,Generalisovaná vakcína po vakcinaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E941,Zánět mozku povakcinační,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E942,Jiné komplikace očkování proti neštovicím,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E943,Hepatitis po profylaktické injekci a podobné imunisaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E944,Jiné komplikace profylaktického očkování ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E945,Komplikace při anestesii u neléčebných zákroků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E946,Jiné komplikace neléčebných lékařských zákroků,2,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,,,,,
,Léčebné  nehody a pozdní komplikace léčebných zákroků,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-
E950,Léčebná nehoda při chirurgickém ošetření,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E951,Léčebná nehoda při infusi nebo transfusi,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E952,Léčebná nehoda při místní aplikaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E953,Léčebná nehoda při užívání léčiv a biologických látek,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E954,Léčebná nehoda při anestesii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E955,Jiná nebo blíže neurčená léčebná nehoda ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E956,Pozdní komplikace chirurgických operací,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E957,Pozdní komplikace amputačních pahýlů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E958,Pozdní komplikace po ozařování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E959,Pozdní komplikace jiných druhů léčení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Pozdní následky úrazů a otrav  ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E960,Pozdní následek náhodných úrazů motorovými vozidly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E961,Pozdní následek náhodných otrav,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E962,Pozdní následek jiných náhodných úrazů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E963,Pozdní následek sebepoškození,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E964,Pozdní následek úrazů způsobených úmyslně jinou osobou ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E965,Pozdní následek úrazů vzniklých válečnými operacemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
SE,Sebevraždy a sebepoškození,745,-,-,-,-,-,6,46,61,100,172,171,107,73,9,-
E970,Sebevražda a sebepoškození analgetiky a uspávacími prostředky,23,-,-,-,-,-,-,2,3,2,7,5,3,1,-,-
E971,Sebevražda a sebepoškození jinými pevnými látkami a tekutinami,39,-,-,-,-,-,-,3,5,8,8,5,6,4,-,-
E972,Sebevražda a sebepoškození plyny v domácím používání,165,-,-,-,-,-,5,18,15,30,36,27,18,15,1,-
E973,Sebevražda a sebepoškození jinými plyny,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
E974,Sebevražda a sebepoškození věšením a škrcením,359,-,-,-,-,-,-,6,22,44,87,99,57,38,6,-
E975,Sebevražda a sebepoškození  tonutím (utonutím),71,-,-,-,-,-,-,3,6,6,15,16,14,9,2,-
E976,Sebevražda a sebepoškození  zbraněmi a výbušninami,3,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
E977,Sebevražda a sebepoškození  nástroji řeznými a bodnými,6,-,-,-,-,-,-,1,-,-,1,3,1,-,-,-
E978,Sebevražda a sebepoškození  skokem s výše,38,-,-,-,-,-,1,4,3,5,9,8,5,3,-,-
E979,Sebevražda a sebepoškození  jinými prostředky ,6,-,-,-,-,-,-,1,1,1,-,-,1,2,-,-
E97a,Sebevražda vlakem,33,-,-,-,-,-,-,8,4,4,7,7,2,1,-,-
,,,,,,,,,,,,,,,,,
NA,Usmrcení a poranění způsobená úmyslně jinou osobou (ne ve válce),43,6,-,-,-,-,8,7,8,7,2,2,2,1,-,-
E980,Úmyslné otrávení,4,-,-,-,-,-,3,-,1,-,-,-,-,-,-,-
E981,Napadení  střelnou zbraní a výbušninou,7,-,-,-,-,-,-,3,1,2,1,-,-,-,-,-
E982,Napadení  nástroji řeznými a bodnými,13,-,-,-,-,-,3,1,3,3,-,1,1,1,-,-
E983,Napadení  jinými prostředky,19,6,-,-,-,-,2,3,3,2,1,1,1,-,-,-
E984,Zranění způsobená zákrokem policie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E985,Poprava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Poranění vzniklá válečnými operacemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
