1944,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,,
MKN (1938),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75 a více,Nezjiš- těno
58b,Horečný rheumatismus kloubový prudký: jiné formy,11,-,-,1,4,-,2,-,-,2,2,-
59,Rheumatismus vleklý a jiné formy nemoci rheumatické,132,-,-,1,1,3,2,8,24,41,52,-
60,Dna,1,-,-,-,-,-,-,-,-,1,-,-
61,Úplavice cukrová,461,-,1,5,21,9,17,54,136,162,56,-
62,Nemoci podvěsku mozkového,1,-,-,-,-,-,-,-,1,-,-,-
63a,Nemoci žlázy štítné a žlázek přídatných: vole prosté,18,1,-,-,1,-,6,-,3,3,4,-
63b,Nemoci žlázy štítné a žlázek přídatných: nemoc Basedowova,81,-,-,-,3,4,6,21,20,24,3,-
63c,Nemoci žlázy štítné a žlázek přídatných: jiné nemoci žlázy štítné,6,-,-,2,1,-,1,1,1,-,-,-
63d,Nemoci žlázy štítné a žlázek přídatných: nemoci žlázek příštítných,-,-,-,-,-,-,-,-,-,-,-,-
64,Nemoci brzlíku,22,16,6,-,-,-,-,-,-,-,-,-
65a,"Nemoci nadledvinek, neoznačené za tuberkulosní: nemoc Addisonova (neoznačená za tuberkulosní)",12,-,-,-,-,1,7,2,-,2,-,-
65b,"Nemoci nadledvinek, neoznačené za tuberkulosní: jiné nemoci nadledvinek",1,-,-,-,1,-,-,-,-,-,-,-
66a,Jiné nemoci celkové: měknutí kostí,2,1,1,-,-,-,-,-,-,-,-,-
66b,Jiné nemoci celkové: ostatní nemoci celkové,1,1,-,-,-,-,-,-,-,-,-,-
67,Kurděje,1,-,-,-,-,-,-,1,-,-,-,-
68,Beri-beri,-,-,-,-,-,-,-,-,-,-,-,-
69,Pellagra,-,-,-,-,-,-,-,-,-,-,-,-
70,Křivice,19,13,2,1,1,-,1,1,-,-,-,-
71,Jiné avitaminosy,2,2,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
IV,Nemoci krve a ústrojů krvetvorných,265,10,4,10,23,16,30,37,55,57,23,-
72a,Stavy krvácivé: purpury prvotní,9,2,-,-,-,-,2,2,2,1,-,-
72b,Stavy krvácivé: nemoci krve (haemophilie),1,-,-,-,1,-,-,-,-,-,-,-
73a,Chudokrevnost: zhoubná chudokrevnost,92,-,-,-,3,2,4,11,22,35,15,-
73b,Chudokrevnost: jiná anaemie,38,3,1,1,4,3,5,4,3,8,6,-
74a,Leukaemie a aleukaemie: bělokrevnost pravá,107,4,2,7,13,11,16,17,23,12,2,-
74b,Leukaemie a aleukaemie: aleukaemie,4,-,-,1,1,-,1,-,1,-,-,-
75,Nemoci sleziny,6,-,1,-,-,-,1,1,2,1,-,-
76a,Jiné nemoci krve a ústrojů krvetvorných: agranulocytosy,6,-,-,1,1,-,1,1,2,-,-,-
76b,Jiné nemoci krve a ústrojů krvetvorných: ostatní nemoci krve a ústrojů krvetvorných,2,1,-,-,-,-,-,1,-,-,-,-
,,,,,,,,,,,,,
V,Otravy vleklé,7,-,-,-,-,-,-,2,3,2,-,-
77a,Alkoholismus prudký,1,-,-,-,-,-,-,-,1,-,-,-
77b,Alkoholismus vleklý a bez bližšího označení,6,-,-,-,-,-,-,2,2,2,-,-
78a,Otrava olovem: označená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
78b,Otrava olovem: neoznačená jako z povolání,-,-,-,-,-,-,-,-,-,-,-,-
79,Vleklé otravy jinými látkami neústrojnými a ústrojnými,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,
DU,,65,0,0,3,4,4,7,14,20,10,3,0
,,,,,,,,,,,,,
VI,Nemoci soustavy nervové a smyslových ústrojů,3989,404,70,55,60,68,144,315,660,1084,1129,-
80a,Zánět mozku (nikoli epidemický): hlíza mozková,7,-,-,-,2,-,2,-,2,1,-,-
80b,Zánět mozku (nikoli epidemický): jiné formy,49,9,6,8,6,4,7,4,2,3,-,-
81,Zánět plen mozkových prostý,151,45,32,17,13,8,11,7,9,6,3,-
82,Nemoci míchy,66,2,-,1,5,4,9,16,13,16,-,-
83a,Krvácení mozkové a ostatní poruchy mozkové původu cévního: krvácení mozkové,2591,-,-,1,5,11,42,202,507,901,922,-
83b,Krvácení mozkové a ostatní poruchy mozkové původu cévního: vmetek a záhať mozková,57,-,-,-,3,1,2,6,17,9,19,-
83c,Krvácení mozkové a ostatní poruchy mozkové původu cévního: měknutí mozku,87,-,-,-,-,-,-,1,11,27,48,-
83d,Krvácení mozkové a ostatní poruchy mozkové původu cévního: jedostranná obrna těla a jiné obrny blíže neoznačené,192,-,-,-,1,5,6,13,34,53,80,-
84a,Duševní nemoci a vady: slabomyslnost,9,-,-,3,1,1,-,2,2,-,-,-
84b,Duševní nemoci a vady: schoizophrenie,12,-,-,-,1,1,2,3,-,3,2,-
84c,Duševní nemoci a vady: manio-depresivní psychosy,5,-,-,-,-,-,1,-,1,2,1,-
84d,Duševní nemoci a vady: jiné duševní poruchy,32,-,-,-,2,2,4,7,14,3,-,-
85,Padoucnice,63,-,-,8,6,11,13,11,2,11,1,-
86,Křeče u dětí do 5 let,312,290,22,-,-,-,-,-,-,-,-,-
87a,Jiné nemoci soustavy nervové: chorea,1,-,-,-,-,-,-,-,-,1,-,-
87b,Jiné nemoci soustavy nervové: neuritis původu nikoli rheumatického,13,-,-,-,-,-,2,3,2,2,4,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,33,-,-,-,-,-,-,4,9,10,10,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,157,-,-,-,3,12,33,25,22,30,32,-
87,Jiné nemoci soustavy nervové: ostatní nemoci soustavy nervové,32,-,-,7,6,3,3,5,5,1,2,-
88,Nemoci ústrojí zrakového,-,-,-,-,-,-,-,-,-,-,-,-
89a,Nemoci ucha a dutiny výčnělku soscovitého: zánět ušní,117,56,10,10,6,5,7,6,8,5,4,-
89b,Nemoci ucha a dutiny výčnělku soscovitého: jiné nemoci ucha,3,2,-,-,-,-,-,-,-,-,1,-
,,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,13078,34,28,81,151,198,458,733,1772,4179,5444,-
90a,Zánět osrdečníku: rheumatický zánět osrdečníku vleklý,1,-,-,1,-,-,-,-,-,-,-,-
90b,Zánět osrdečníku: jiné nemoci osrdečníku,9,-,-,1,1,1,1,-,1,3,1,-
91,Prudký zánět nitroblány srdeční a chlopní (nikoli rheumatický),37,2,4,15,9,2,4,1,-,-,-,-
92a,Vleklé onemocnění nitroblány srdeční a chlopní: označené jako rheumatické,1145,-,4,26,48,69,122,131,199,313,233,-
92b,Vleklé onemocnění nitroblány srdeční a chlopní: neoznačené jako rheumatické,99,-,-,3,10,9,11,21,21,19,5,-
93a,Nemoci svalu srdečního: prudký zánět svalu srdečního (nikoli rheumatický),51,1,4,2,1,3,7,7,5,10,11,-
93b,Nemoci svalu srdečního: vleklý zánět svalu srdečního označený jako rheumatický,200,-,-,-,1,-,7,16,38,76,62,-
93c,"Nemoci svalu srdečního: degenerace a infarkt srdeční, sklerosa svalu srdečního nebo jeho vleklý zánět neoznačený jako rheumatický",6357,11,6,3,20,37,121,266,803,2129,2961,-
93d,Nemoci svalu srdečního: zánět svalu srdečního nerozlišený,1397,6,5,5,8,18,28,60,190,463,614,-
94a,Nemoci tepen věnčitých,54,-,-,-,-,1,1,5,12,20,15,-
94b,Angina srdeční,117,-,-,-,-,-,2,13,31,45,26,-
95a,Jiné nemoci srdce: označené jako rheumatické,73,-,-,3,3,-,3,11,13,29,11,-
95b,Jiné nemoci srdce: ostatní nemoci srdce,1953,12,4,21,43,53,122,169,342,665,522,-
96,"Výduť, vyjma výduť srdeční a aneurysma aorty",8,-,-,-,1,-,2,2,-,1,2,-
97,Zkornatění tepen,1384,-,-,-,-,1,6,19,94,359,905,-
98,Sněť,75,1,-,1,1,-,1,2,5,17,47,-
99,Jiné nemoci tepen,37,-,-,-,-,3,6,3,1,12,12,-
100a,Nemoci žil: městky,28,-,-,-,-,-,4,2,3,5,14,-
100b,Nemoci žil: jiné nemoci žil,37,-,-,-,2,1,8,4,11,10,1,-
101,Nemoci soustavy mízní,8,1,-,-,2,-,-,-,2,1,2,-
102,Essentielní zvýšení tlaku krevního,5,-,-,-,-,-,1,1,1,2,-,-
103,Jiné nemoci ústrojí oběhu krevního,3,-,1,-,1,-,1,-,-,-,-,-
,,,,,,,,,,,,,
VIII,Nemoci ústrojů dýchacích,5739,1906,294,53,58,72,131,217,467,1094,1447,-
104,Nemoci dutiny nosní a přídatných útvarů,1,1,-,-,-,-,-,-,-,-,-,-
105,Nemoci hrtanu,7,4,1,-,1,-,-,1,-,-,-,-
106a,Zánět průdušek: prudký,103,66,5,-,-,-,-,3,2,8,19,-
106b,Zánět průdušek: vleklý,178,6,2,1,1,2,7,4,17,59,79,-
106c,Zánět průdušek: blíže neoznačený,221,83,10,1,-,-,1,7,11,31,77,-
107,Lalůčkový zánět plic (bronchopneumonie),2791,1358,167,20,14,19,44,58,145,357,609,-
108,Lalokový zánět plic,919,121,43,16,19,20,34,69,131,259,207,-
109,Zánět plic blíže neoznačený,839,244,45,5,9,13,22,33,65,189,214,-
110a,Zánět pohrudnice: empyema thoracis,68,13,13,2,4,4,7,6,11,4,4,-
110b,Zánět pohrudnice: jiné formy zánětu pohrudnice,135,9,6,5,3,7,4,12,19,39,31,-
111a,"Infarkt s krvácením, embolie a trombosa plic",44,-,-,1,1,3,3,10,15,4,7,-
111b,Hypostatický zánět a oedem plic,43,1,1,1,1,-,3,3,6,10,17,-
112,Záducha (asthma),112,-,-,-,-,1,2,4,14,47,44,-
113,Rozedma plic,237,-,1,1,1,1,-,2,20,77,134,-
114a,Jiné nemoci ústrojí dýchacího: prašnost plic a jiné onemocnění ústrojí dýchacího z povolání,1,-,-,-,-,-,-,-,-,1,-,-
114b,Jiné nemoci ústrojí dýchacího: sněť a hlíza plic,35,-,-,-,3,2,4,4,9,8,5,-
114c,Jiné nemoci ústrojí dýchacího: ostatní nemoci ústrojí dýchacího neoznačené jako z povolání,5,-,-,-,1,-,-,1,2,1,-,-
,,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,2797,1232,78,81,72,92,135,229,309,339,230,-
115a,Nemoci mandlí a hltanu,72,19,5,6,5,7,6,6,12,2,4,-
115b,Jiné nemoci dutiny ústní a jejích ústrojů,9,4,-,-,-,2,-,-,1,1,1,-
116,Nemoci jícnu,2,-,-,1,1,-,-,-,-,-,-,-
117a,Vřed žaludeční,118,-,-,-,1,5,8,28,30,36,10,-
117b,Vřed dvanáctníkový,26,-,-,-,1,3,1,11,6,3,1,-
118,Jiné nemoci žaludku,22,-,-,-,-,-,2,3,4,5,8,-
119,Průjem a katar střevní u dětí do 2 let,1227,1182,45,-,-,-,-,-,-,-,-,-
120a,Průjem katar a vředy střevní (ve věku 2 let a výše): průjem a katar střevní,89,-,6,12,4,2,3,6,12,20,24,-
120b,Průjem katar a vředy střevní (ve věku 2 let a výše): vředy střevní (vyjma vředy dvanáctníku),5,-,-,-,-,-,1,-,1,2,1,-
121,Zánět červíkovitého přívěsku,146,2,10,25,27,13,13,18,20,13,5,-
122a,Kýla,116,2,-,-,-,2,1,9,26,47,29,-
122b,Neprůchodnost střevní,211,8,1,6,8,12,17,21,39,46,53,-
123,Ostatní nemoci střevní,9,-,-,1,-,-,2,-,1,1,4,-
124a,Svraštění jater: alkoholické,-,-,-,-,-,-,-,-,-,-,-,-
124b,Svraštění jater: neoznačené za alkoholické,251,-,1,1,3,7,17,46,68,71,37,-
125a,Jiné nemoci jater: žlutá atrofie jater prudká (kromě případů z těhotenství a stavu poporodního),67,-,-,4,8,9,13,12,7,11,3,-
125b,Jiné nemoci jater: ostatní nemoci jater,41,-,1,2,1,2,6,4,9,9,7,-
126,Kaménky žlučové,101,-,-,-,2,3,8,19,26,25,18,-
127,Jiné nemoci žlučníku a žlučovodů,99,1,-,-,-,6,6,16,23,32,15,-
128,Nemoci slinivky břišní,13,-,-,-,-,1,2,4,4,1,1,-
129,Zánět pobřišnice bez udání příčiny,173,14,9,23,11,18,29,26,20,14,9,-
,,,,,,,,,,,,,
X,Nemoci ústrojí močového a pohlavního,1065,18,11,16,44,47,101,166,226,277,159,-
130,Prudký zánět ledvin,43,3,1,5,3,4,6,2,11,7,1,-
131,Vleklý zánět ledvin,737,-,6,8,16,18,54,123,176,218,118,-
132,Zánět ledvin nerozlišený,79,1,2,2,9,3,7,8,11,26,10,-
133a,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: pyelitis, pyelonephritis, pyelocystitis",60,12,1,-,5,5,6,5,6,11,9,-
133b,"Jiné nemoci ledvin, pánvičky ledvinné a močovodů: ostatní onemocnění těchto ústrojí",14,-,-,-,1,-,3,1,3,1,5,-
134,Kaménky cest močových,24,-,1,-,-,-,6,6,4,6,1,-
135a,Zánět měchýře močového,11,1,-,1,-,-,1,2,2,1,3,-
135b,Jiné nemoci močového měchýře a poruchy močení,4,1,-,-,-,-,-,-,-,-,3,-
136,Nemoci roury močové,12,-,-,-,1,1,1,-,3,3,3,-
137a,Nezhoubné nádory žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137b,Zbytnění žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
137c,Ostatní nemoci žlázy předstojné,x,x,x,x,x,x,x,x,x,x,x,x
138,Nemoci pohlavních ústrojů mužských neoznačené za venerické,x,x,x,x,x,x,x,x,x,x,x,x
139a,"Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): nemoci vaječníku, vejcovodu a parametria",54,-,-,-,7,13,10,15,7,1,1,-
139b,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): dělohy,22,-,-,-,1,1,6,4,3,2,5,-
139c,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): prsů,3,-,-,-,1,1,1,-,-,-,-,-
139d,Nemoci pohlavních ústrojů ženských neoznačené za venerické (kromě případů z těhotenství a puerperia): jiné nemoci ženských ústrojů pohlavních,2,-,-,-,-,1,-,-,-,1,-,-
,,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",311,-,-,-,68,159,83,1,-,-,-,-
140,Potrat se sepsí,52,-,-,-,15,25,12,-,-,-,-,-
141,Potrat bez zmínky o sepsi,6,-,-,-,-,5,1,-,-,-,-,-
142,Těhotenství mimoděložní,20,-,-,-,1,12,7,-,-,-,-,-
143a,Krvácení v těhotenství: lůžko vcestné,1,-,-,-,-,1,-,-,-,-,-,-
143b,Krvácení v těhotenství: krvácení předčasným odloučením lůžka a jiná krvácení krátce před porodem (nikoliv při potratu),-,-,-,-,-,-,-,-,-,-,-,-
143c,Krvácení v těhotenství: jiná a blíže neoznačená krvácení v těhotenství,1,-,-,-,-,-,1,-,-,-,-,-
144a,Otrava krve v těhotenství: křeče v těhotenství,8,-,-,-,1,6,1,-,-,-,-,-
144b,Otrava krve v těhotenství: albuminutrie a zánět ledvin v těhotenství,7,-,-,-,2,3,2,-,-,-,-,-
144c,Otrava krve v těhotenství: jiné toxikosy,-,-,-,-,-,-,-,-,-,-,-,-
145,Jiné nemoci a příhody těhotenství,2,-,-,-,-,2,-,-,-,-,-,-
146a,Krvácení při porodu a poporodní: lůžko vcestné při porodu,22,-,-,-,1,11,9,1,-,-,-,-
146b,Krvácení při porodu a poporodní: krvácení předčasným odloučením lůžka při porodu,-,-,-,-,-,-,-,-,-,-,-,-
146c,Krvácení při porodu a poporodní: jiné krvácení při porodu,3,-,-,-,-,2,1,-,-,-,-,-
146d,Krvácení při porodu a poporodní: krvácení po porodu,26,-,-,-,9,10,7,-,-,-,-,-
147a,Otrava krve při porodu a při stavu poporodním: horečka omladnic a ztrnutí poporodní (všeobecná  a místní infekce),90,-,-,-,23,47,20,-,-,-,-,-
147b,Otrava krve při porodu a při stavu poporodním: thrombophlebitis puerperalis,2,-,-,-,-,2,-,-,-,-,-,-
147c,Otrava krve při porodu a při stavu poporodním: embolie a náhlá smrt puerperální,4,-,-,-,1,3,-,-,-,-,-,-
148a,Toxikosy ve stavu poporodním: eclampsie,23,-,-,-,6,13,4,-,-,-,-,-
148b,Toxikosy ve stavu poporodním: albuminurie a zánět ledvin,2,-,-,-,-,1,1,-,-,-,-,-
148c,Toxikosy ve stavu poporodním: jiné toxikosy,-,-,-,-,-,-,-,-,-,-,-,-
149a,Jiné příhody porodu: ruptura a jiné poranění porodních ústrojí při porodu (bez krvácení),21,-,-,-,2,8,11,-,-,-,-,-
149b,Jiné příhody porodu: ostatní příhody,11,-,-,-,1,7,3,-,-,-,-,-
150,Jiné a blíže neoznačené nemoci porodu a stavu poporodního,10,-,-,-,6,1,3,-,-,-,-,-
,,,,,,,,,,,,,
