1959,Zemřelí muži podle podrobného seznamu příčin smrti a věku - úrazy a otravy podle vnější příčiny,,,,,,,,,,,,,,,,
MKN (1955),Název,Celkem,0,1,2,3,4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Nezjiš-těno
D4,Úrazy jinými silničními vozidly,56,-,1,-,-,-,4,6,7,1,11,11,11,4,-,-
E840,Úraz způsobený chodcům vozy pouliční dopravy,12,-,-,-,-,-,1,1,2,-,2,3,3,-,-,-
E841,"Jiný úraz pouliční drahou , mimo srážku s motorovým vozidlem ",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
E842,Úraz způsobený chodcům cyklisty,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
E843,"Úraz způsobený cyklistům, vyjma srážku  s motorovým  vozidlem ",26,-,-,-,-,-,3,3,4,-,5,4,4,3,-,-
E844,Úraz chodců nemotorovými silničními vozidly ,4,-,1,-,-,-,-,-,-,-,-,2,1,-,-,-
E845,Jiný úraz nemotorovými silničními vozidly ,11,-,-,-,-,-,-,2,1,1,3,2,2,-,-,-
,,,,,,,,,,,,,,,,,
D5,Úrazy při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E850,Úraz cestujících potopením na malých člunech ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E851,Ostatní úrazy při vodní dopravě způsobené potopením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E852,Pád se schodů nebo žebříku při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E853,Jiný pád do hloubky při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E854,Pád na rovině při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E855,Neoznačený pád při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E856,Úraz stroji při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E857,Jiný neoznačený úraz při vodní dopravě,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E858,Úraz při vodní dopravě neurčené povahy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
D6,Letecké úrazy ,17,-,-,-,-,-,-,6,9,2,-,-,-,-,-,-
E860,Úraz způsobený posádce vojenského letadla,13,-,-,-,-,-,-,5,6,2,-,-,-,-,-,-
E861,Poranění cestujících při nehodách dopravních letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E862,Jiné poranění v dopravních letadlech,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E863,Poranění cestujících při nehodách jiných letadel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E864,Letecký úraz způsobený na letišti osobám mimo letadlo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E865,Letecký úraz mimo letadlo jinde než na letišti,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E866,Jiný a blíže neoznačený letecký úraz,4,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy látkami pevnými a tekutinami,47,1,2,-,-,1,3,5,7,5,8,7,5,3,-,-
E870,Náhodná otrava morfiem a jinými deriváty opia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E871,Náhodná otrava kyselinou barbiturovou a jejími deriváty,2,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
E872,Náhodná otrava aspirinem a salicyláty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E873,Náhodná otrava bromidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E874,Náhodná otrava jinými analgetiky a uspávacími prostředky,4,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-
E875,Náhodná otrava sulfonamidy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E876,Náhodná otrava strychninem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E877,"Náhodná otrava belladonou, skopolaminem a atropinem",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E878,Náhodná otrava jinými a neurčenými léčivy,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E879,Náhodná otrava škodlivými potravinami,5,-,-,-,-,1,2,-,-,-,1,-,1,-,-,-
E880,Náhodná otrava alkoholem,14,-,-,-,-,-,-,1,3,1,2,5,2,-,-,-
E881,Náhodná otrava naftovými produkty,3,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-
E882,Náhodná otrava průmyslovými rozpustidly,3,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-
E883,"Náhodná otrava leptavými aromatickými látkami, kyselinami a žíravinami",1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E884,Náhodná otrava rtutí a jejími sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E885,Náhodná otrava olovem a jeho sloučeninami,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E886,Náhodná otrava arsenem a antimonem a jejich sloučeninami,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E887,Náhodná otrava fluoridy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E888,Náhodná otrava jinými a neurčenými látkami pevnými a tekutými,13,-,1,-,-,-,-,-,2,3,4,-,1,2,-,-
,,,,,,,,,,,,,,,,,
,Náhodné otravy plynem a parami,118,1,1,-,-,-,7,14,20,15,16,17,12,13,2,-
E890,Náhodná otrava svítiplynem,54,-,1,-,-,-,4,3,11,5,7,9,7,6,1,-
E891,Náhodná otrava výfukovým plynem motorových vozidel,4,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-
E892,Náhodná otrava jiným kysličníkem uhelnatým,53,1,-,-,-,-,2,11,7,6,6,8,4,7,1,-
E893,Náhodná otrava kyanovodíkem,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E894,Náhodná otrava jinými určenými plyny nebo parami,4,-,-,-,-,-,-,-,1,2,-,-,1,-,-,-
E895,Náhodná otrava neurčenými plyny nebo parami,3,-,-,-,-,-,1,-,-,-,2,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Náhodné pády,526,2,1,-,1,3,7,27,24,25,69,59,102,137,69,-
E900,Pád na schodech ,31,1,-,-,-,-,-,-,-,1,7,4,9,7,2,-
E901,Pád se žebříku ,11,-,-,-,-,-,-,1,-,2,3,3,1,1,-,-
E902,Jiný pád do hloubky,205,1,1,-,-,3,6,23,22,20,48,36,32,11,2,-
E903,Pád na rovině,97,-,-,-,-,-,1,1,2,1,4,7,20,37,24,-
E904,Neurčený pád ,182,-,-,-,1,-,-,2,-,1,7,9,40,81,41,-
,,,,,,,,,,,,,,,,,
,Jiné náhodné úrazy,1112,77,30,21,11,9,109,186,159,120,137,115,73,50,15,-
E910,Náhodný úraz způsobený padajícími předměty,58,-,-,-,-,-,8,7,10,7,11,8,5,1,1,-
E911,Náhodný úraz způsobený vozidly,22,-,-,1,-,-,-,3,2,2,6,4,3,1,-,-
E912,Náhodný úraz způsobený stroji a nástroji,41,-,-,1,-,-,1,4,7,7,9,9,3,-,-,-
E913,Náhodný úraz způsobený řeznými a bodnými nástroji,6,-,-,-,-,-,1,1,-,-,2,1,1,-,-,-
E914,Náhodný úraz způsobený elektrickým proudem,68,-,2,-,-,-,11,15,17,7,11,4,-,-,1,-
E915,Náhodný úraz způsobený výbuchem parního kotle,3,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-
E916,Náhodný úraz způsobený ohněm a výbuchem hořlavých látek,55,-,1,2,-,1,2,9,8,6,5,7,5,5,4,-
E917,"Náhodný úraz způsobený vřelou substancí, leptavou tekutinou nebo parou",20,-,-,6,3,-,-,1,-,1,3,1,1,2,2,-
E918,Náhodný úraz způsobený zářením,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E919,Náhodný úraz způsobený střelnou zbraní,24,-,1,-,-,-,4,11,7,1,-,-,-,-,-,-
E920,Cizí těleso vniklé do oka a jeho adnexů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E921,Dušení potravou v hrtanu nebo jiných cestách dýchacích ,106,70,7,-,1,-,3,-,2,3,5,2,6,6,1,-
E922,Dušení jinými předměty v hrtanu nebo jiných cestách dýchacích ,3,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-
E923,Cizí těleso vniklé do jiných otvorů těla,2,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
E924,Náhodné mechanické udušení v posteli a kočárku,7,5,2,-,-,-,-,-,-,-,-,-,-,-,-,-
E925,Náhodné mechanické udušení za jiných nebo neoznačených okolností,27,1,1,1,-,-,7,7,5,1,4,-,-,-,-,-
E926,Nedostatek péče o děti ve věku do jednoho roku,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E927,Úraz kousnutím nebo uštknutím  živočichy a hmyzem,5,-,-,-,-,1,-,-,-,-,2,-,2,-,-,-
E928,Jiný náhodný úraz způsobený zvířaty,28,-,-,-,-,-,3,-,3,3,1,6,8,4,-,-
E929,Náhodné tonutí,263,-,13,9,7,7,62,69,22,16,13,26,9,8,2,-
E930,Vysoký a  nízký tlak vzduchu,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E931,"Nadměrné horko, úžeh a úpal",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E932,Nadměrný chlad,12,-,-,-,-,-,-,1,3,-,2,2,2,2,-,-
E933,"Hlad, žízeň a  jiné strádání ",1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
E934,Přírodní katastrofa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E935,Blesk,11,-,-,-,-,-,1,4,1,1,3,-,1,-,-,-
E936,Jiný a neurčený náhodný úraz,198,-,1,-,-,-,5,23,30,31,29,33,22,20,4,-
E937,"Úraz v dolech, v lomech",151,-,-,-,-,-,1,30,42,33,30,11,3,1,-,-
,,,,,,,,,,,,,,,,,
,Komplikace způsobené neléčebnými lékařskými zákroky,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E940,Generalisovaná vakcína po vakcinaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E941,Zánět mozku povakcinační,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E942,Jiné komplikace očkování proti neštovicím,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E943,Hepatitis po profylaktické injekci a podobné imunisaci,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
E944,Jiné komplikace profylaktického očkování ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E945,Komplikace při anestesii u neléčebných zákroků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E946,Jiné komplikace neléčebných lékařských zákroků,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Léčebné  nehody a pozdní komplikace léčebných zákroků,3,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-
E950,Léčebná nehoda při chirurgickém ošetření,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E951,Léčebná nehoda při infusi nebo transfusi,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
E952,Léčebná nehoda při místní aplikaci,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E953,Léčebná nehoda při užívání léčiv a biologických látek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E954,Léčebná nehoda při anestesii,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
E955,Jiná nebo blíže neurčená léčebná nehoda ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
E956,Pozdní komplikace chirurgických operací,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E957,Pozdní komplikace amputačních pahýlů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E958,Pozdní komplikace po ozařování,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E959,Pozdní komplikace jiných druhů léčení,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Pozdní následky úrazů a otrav  ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E960,Pozdní následek náhodných úrazů motorovými vozidly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E961,Pozdní následek náhodných otrav,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E962,Pozdní následek jiných náhodných úrazů,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E963,Pozdní následek sebepoškození,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E964,Pozdní následek úrazů způsobených úmyslně jinou osobou ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
E965,Pozdní následek úrazů vzniklých válečnými operacemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
SE,Sebevraždy a sebepoškození,1768,-,-,-,-,-,15,121,205,251,433,373,212,133,25,-
E970,Sebevražda a sebepoškození analgetiky a uspávacími prostředky,28,-,-,-,-,-,-,6,4,6,6,6,-,-,-,-
E971,Sebevražda a sebepoškození jinými pevnými látkami a tekutinami,46,-,-,-,-,-,-,8,5,6,10,11,5,1,-,-
E972,Sebevražda a sebepoškození plyny v domácím používání,144,-,-,-,-,-,2,10,26,26,43,20,14,3,-,-
E973,Sebevražda a sebepoškození jinými plyny,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-
E974,Sebevražda a sebepoškození věšením a škrcením,1166,-,-,-,-,-,12,36,117,159,286,280,149,108,19,-
E975,Sebevražda a sebepoškození  tonutím (utonutím),49,-,-,-,-,-,-,1,4,5,8,6,13,9,3,-
E976,Sebevražda a sebepoškození  zbraněmi a výbušninami,138,-,-,-,-,-,1,40,23,16,29,20,7,2,-,-
E977,Sebevražda a sebepoškození  nástroji řeznými a bodnými,32,-,-,-,-,-,-,-,4,2,12,8,4,2,-,-
E978,Sebevražda a sebepoškození  skokem s výše,59,-,-,-,-,-,-,1,6,11,11,10,14,4,2,-
E979,Sebevražda a sebepoškození  jinými prostředky ,20,-,-,-,-,-,-,-,6,2,6,2,3,-,1,-
E97a,Sebevražda vlakem,84,-,-,-,-,-,-,19,10,17,21,10,3,4,-,-
,,,,,,,,,,,,,,,,,
NA,Usmrcení a poranění způsobená úmyslně jinou osobou (ne ve válce),43,4,1,2,1,-,4,6,5,7,4,6,3,-,-,-
E980,Úmyslné otrávení,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
E981,Napadení  střelnou zbraní a výbušninou,8,-,-,-,-,-,2,2,1,2,1,-,-,-,-,-
E982,Napadení  nástroji řeznými a bodnými,15,1,-,-,-,-,-,3,3,2,2,3,1,-,-,-
E983,Napadení  jinými prostředky,18,3,1,2,1,-,1,1,1,2,1,3,2,-,-,-
E984,Zranění způsobená zákrokem policie,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
E985,Poprava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
,Poranění vzniklá válečnými operacemi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
