1940,Zemřelé ženy podle podrobného seznamu příčin smrti a věku,,,,,,,,,,,
MKN (1929),Název,Celkem,0,1-4,5-14,15-24,25-34,35-44,45-54,55-64,65 a více,Nezjiš- těno
82c,Jednostranná obrna těla a příčiny nerozlišené,197,1,-,-,3,2,2,17,23,149,-
83,Postupná obrna povšechná,102,-,-,-,1,6,20,34,26,15,-
84a,Předčasná zblbělost,20,-,-,-,1,2,8,7,-,2,-
84b,Jiné psychosy,54,-,-,1,1,2,5,8,13,24,-
85,Padoucnice,66,1,-,5,6,12,14,7,10,11,-
86,Křeče u dětí mladších 6 let,285,270,15,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
87b,Jiné nemoci soustavy nervové: neuritis,7,-,-,-,-,-,-,2,3,2,-
87c,Jiné nemoci soustavy nervové: obrna třesavá,41,-,3,2,-,4,7,6,4,15,-
87d,Jiné nemoci soustavy nervové: sklerosa roztroušená,128,-,2,2,5,9,27,24,17,41,1
"87a,e",Jiné nemoci soustavy nervové: chorea a jiné nemoci nervové,22,-,1,3,-,1,2,4,4,7,-
88,Nemoci oční,-,-,-,-,-,-,-,-,-,-,-
89a,Zánět ušní,81,37,11,3,4,3,5,5,4,9,-
89b,Jiné nemoci ucha a dutiny výčnělku soscovitého,2,2,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
VII,Nemoci ústrojí oběhu krevního,11809,15,19,60,89,211,371,748,1827,8468,1
90,Zánět osrdečníku,14,-,1,1,-,1,1,1,5,4,-
91,Prudký zánět nitroblány srdeční,51,1,-,6,13,11,9,5,2,4,-
92,"Vleklý zánět nitroblány srdeční, počítaje v to choroby chlopenní",1840,-,2,27,43,94,138,241,399,895,1
93a,Prudký zánět svalu srdečního,79,6,5,3,5,9,27,6,9,9,-
93b,Vleklý zánět svalu srdečního a zvrhlost svalu srdečního,4856,-,4,6,6,35,70,193,657,3885,-
93c,Nerozlišené nemoci svalu srdečního,973,-,-,-,-,-,-,53,154,766,-
94,Nemoci tepen věnčitých,221,-,-,-,-,2,9,13,55,142,-
95a,Funkcionální nemoci srdce,1,-,-,-,-,-,-,-,-,1,-
95b,Jiné a nerozlišené nemoci srdeční,1988,-,7,17,19,53,99,195,392,1206,-
96,"Výduť, vyjma výduť srdeční",53,-,-,-,3,-,5,7,12,26,-
97,"Zkornatění tepen, vyjma nemocí tepen věnčitých",1580,-,-,-,-,1,4,16,111,1448,-
98a,Sněť stařecká,29,-,-,-,-,-,-,-,-,29,-
98b,Jiné sněti,14,4,-,-,-,-,1,2,4,3,-
99,Jiné nemoci tepen,30,-,-,-,-,-,1,3,11,15,-
100,"Nemoci žil: městky, městky konečníkové, zánět žil atd.",61,2,-,-,-,4,7,10,11,27,-
101,"Nemoci soustavy mízní, zánět mízních cév atd.",5,2,-,-,-,1,-,1,1,-,-
102,Idiopathické anomalie tlaku krevního,10,-,-,-,-,-,-,1,4,5,-
103,Jiné nemoci ústrojí oběhu krevního,4,-,-,-,-,-,-,1,-,3,-
,,,,,,,,,,,,
VIII,Nemoci ústrojí dýchacího,5583,1274,257,64,36,101,133,249,553,2916,-
104,Nemoci dutin nosních a adnex,2,2,-,-,-,-,-,-,-,-,-
105,Nemoci hrtanu,9,6,1,-,1,-,-,-,-,1,-
106a,Zánět průdušek prudký,93,46,9,1,-,-,-,1,5,31,-
106b,Zánět průdušek vleklý,239,3,1,1,1,-,4,4,24,201,-
106c,Zánět průdušek nerozlišený,304,84,10,3,-,-,3,3,19,182,-
107,"Lalůčkový zánět plic, počítaje v to zánět průdušinek",2137,811,113,18,11,19,29,59,137,940,-
108,Lalokový zánět plic,962,102,56,23,8,32,41,76,152,472,-
109,Zánět plic nerozlišený,950,202,47,11,7,26,23,52,112,470,-
110,Zánět pohrudnice,221,17,18,6,5,15,15,20,29,96,-
111,"Překrvení plic, zbubření, vmetek, červená záhať s krvácením a obyčejná záhať plic",100,-,1,1,2,3,10,15,14,54,-
112,Záducha,159,-,-,-,-,1,2,7,19,130,-
113,Rozedma plicní,361,-,-,-,-,1,1,5,28,326,-
114a,"Vleklý, intersticiální zánět plic, počítaje v to živnostenské nemoci ústrojí dýchacího",5,-,-,-,-,-,-,1,1,3,-
114b,"Jiné nemoci ústrojí dýchacího, vyjma tuberkulosu",41,1,1,-,1,4,5,6,13,10,-
,,,,,,,,,,,,
IX,Nemoci ústrojí zažívacího,2398,860,72,85,51,91,136,217,272,614,-
115,"Nemoci dutiny ústní, jejich adnex, hltanu a mandlí, počítaje v to adenoidní choroby",75,14,7,8,6,13,6,4,5,12,-
116,Nemoci požeráku,2,-,-,-,-,1,-,1,-,-,-
117a,Vřed žaludeční,115,-,-,-,-,4,17,18,35,41,-
117b,Vřed dvanáctníkový,11,-,-,-,-,-,2,4,3,2,-
118,Jiné nemoci žaludeční (vyjma rakovinu),40,-,-,-,1,-,1,2,2,34,-
119,Průjem a katar střevní - u dětí do 2 roků,852,823,29,-,-,-,-,-,-,-,-
120a,"Průjem, katar střevní (ve věku 2 roků a výše)",65,-,7,6,3,6,1,2,7,33,-
120b,Vředy střevní (ve věku 2 roků a výše),5,-,-,-,-,-,2,-,3,-,-
121,Zánět červíkovitého přívěsku,183,1,15,41,22,17,23,23,17,24,-
122a,Kýla,219,1,1,-,-,1,11,34,46,125,-
122b,Neprůchodnost střeva,160,10,3,3,3,8,12,14,16,91,-
123,Jiné nemoci střevní,21,1,-,-,-,3,2,4,4,7,-
124a,Svraštění jater alkoholické,1,-,-,-,-,-,-,-,1,-,-
124b,Svraštění jater neoznačené za alkoholické,215,-,-,2,2,10,7,39,42,113,-
125,Jiné nemoci jater (počítaje v to náhlý úbyt jater),103,1,1,3,4,11,11,29,17,26,-
126,Kaménky žlučové,98,-,-,-,-,1,5,21,29,42,-
127,Jiné nemoci žlučníku a žlučovodů,87,-,-,-,1,5,8,8,23,42,-
128,Nemoci slinivky břišní,14,-,-,1,1,-,3,2,3,4,-
129,"Zánět pobřišnice, bez označené příčiny",132,9,9,21,8,11,25,12,19,18,-
,,,,,,,,,,,,
X,Nemoci ústrojí močového a ústrojí pohlavního,1129,13,2,19,17,72,117,187,225,477,-
130,Prudký zánět ledvin,28,3,1,6,-,2,1,3,5,7,-
131,Vleklý zánět ledvin,765,1,-,10,6,28,73,131,175,341,-
132,Nerozlišený zánět ledvin,107,-,-,1,2,12,11,15,21,45,-
133a,Zánět pánvice ledvinné,49,4,-,-,1,2,8,6,6,22,-
133b,Jiné nemoci ledvin a močovodů,4,-,-,-,1,1,-,1,-,1,-
134a,Kamének ledvin a horních cest močových,15,-,1,1,-,-,2,3,4,4,-
134b,Kamének měchýře močového,10,-,-,-,-,-,2,-,1,7,-
134c,Kamének bez jiného označení,1,-,-,-,-,-,1,-,-,-,-
135a,Zánět měchýře močového,23,5,-,-,2,-,1,1,1,13,-
135b,Jiné nemoci měchýře močového,7,-,-,-,-,-,-,-,-,7,-
136a,Zúžení roury močové,-,-,-,-,-,-,-,-,-,-,-
136b,"Jiné nemoci roury močové, hlíza močová atd.",16,-,-,-,-,-,-,3,5,8,-
137,Nemoci žlázy předstojné (prostaty),x,x,x,x,x,x,x,x,x,x,x
138,"Nemoci pohlavních ústrojů mužských, neoznačené za venerické",x,x,x,x,x,x,x,x,x,x,x
,,,,,,,,,,,,
139a,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: vaječníku, vejcovodu a parametria",58,-,-,1,-,16,11,16,5,9,-
139b,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: dělohy",45,-,-,-,4,11,7,8,2,13,-
139c,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: bradavky prsní",1,-,-,-,1,-,-,-,-,-,-
139d,"Nemoci pohlavních ústrojů ženských, neoznačené za venerické: jiné",-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XI,"Nemoci těhotenství, porodu a stavu poporodního",412,-,-,-,78,213,116,5,-,-,-
140,Potrat s hnilobou,85,-,-,-,12,32,41,-,-,-,-
141,"Potrat beze zmínky o hnilobě, ale počítaje v to krvácení",12,-,-,-,3,3,5,1,-,-,-
142,Těhotenství mimoděložní,25,-,-,-,4,11,10,-,-,-,-
143,Jiné chorobné zjevy těhotenství (nepočítaje v to krvácení),6,-,-,-,-,4,2,-,-,-,-
144a,Lůžko vcestné,18,-,-,-,-,8,9,1,-,-,-
144b,Jiná krvácení poporodní,37,-,-,-,7,23,6,1,-,-,-
145a,Otrava krve a hniloba krve poporodní,128,-,-,-,31,72,24,1,-,-,-
145b,Ztrnutí poporodní,-,-,-,-,-,-,-,-,-,-,-
146,Močení bílkoviny a božec,39,-,-,-,14,20,5,-,-,-,-
147,Jiné toxaemie v těhotenství,3,-,-,-,1,1,1,-,-,-,-
148a,Bílý bolestný otok dolních končetin a záhať,2,-,-,-,-,1,-,1,-,-,-
148b,Vmetek nebo náhlá smrt poporodní,19,-,-,-,3,14,2,-,-,-,-
149,Jiné příhody při porodu,32,-,-,-,3,19,10,-,-,-,-
150,Jiné nerozlišené příhody stavu poporodního,6,-,-,-,-,5,1,-,-,-,-
,,,,,,,,,,,,
XII,Nemoci kůže a vaziva podkožního,311,180,3,1,2,3,7,11,12,92,-
151,Nežitina,75,66,2,-,1,-,1,2,-,3,-
152,"Zánět podkožního vaziva, teplá hlíza",23,13,-,1,-,-,2,1,2,4,-
153,"Jiné nemoci kůže, jejich adnex a podkožního vaziva",213,101,1,-,1,3,4,8,10,85,-
,,,,,,,,,,,,
XIII ,Nemoci kostí a ústrojí pohybu,148,1,6,20,2,3,1,3,13,99,-
154,Zánět dřeně kostní,37,1,4,16,1,-,1,1,6,7,-
155,"Jiné nemoci kostí, vyjma tuberkulosu",92,-,1,-,-,1,-,-,6,84,-
,,,,,,,,,,,,
156a,"Nemoci kloubů, vyjma tuberkulosu a rheumatismus",17,-,-,4,1,2,-,2,1,7,-
156b,Nemoci jiných orgánů pohybu,2,-,1,-,-,-,-,-,-,1,-
,,,,,,,,,,,,
XIV,Vrozené vady tvarové,175,165,8,2,-,-,-,-,-,-,-
157a,Vrozená vodnatelnost mozku,19,17,2,-,-,-,-,-,-,-,-
157b,Rozštěp páteře a kýla omozečnicová,37,37,-,-,-,-,-,-,-,-,-
157c,Vrozený nesprávný tvar srdce,77,70,5,2,-,-,-,-,-,-,-
157d,Zrůdnosti,3,3,-,-,-,-,-,-,-,-,-
157,Jiné vrozené vady tvarové ,39,38,1,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XV,Zvláštní nemoci útlého věku,1524,1524,-,-,-,-,-,-,-,-,-
158,Vrozená slabost,512,512,-,-,-,-,-,-,-,-,-
159,"Předčasné narození, nepočítaje v to mrtvě narozené",728,728,-,-,-,-,-,-,-,-,-
160a,Následky porodu s řezem císařským,2,2,-,-,-,-,-,-,-,-,-
160b,Následky porodu bez řezu císařského,123,123,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
161a,Bezevzduchost plicní,42,42,-,-,-,-,-,-,-,-,-
161b,Žloutenka novorozenců,24,24,-,-,-,-,-,-,-,-,-
161c,Skloerem a jiné,93,93,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XVI ,Stařecká sešlost,4734,-,-,-,-,-,-,-,45,4689,-
162a,Stařecká sešlost se zblbělostí starobní,189,-,-,-,-,-,-,-,14,175,-
162b,Stařecká sešlost bez zblbělosti starobní,4545,-,-,-,-,-,-,-,31,4514,-
,,,,,,,,,,,,
XVII,Smrti násilné a úrazové,1194,18,75,62,105,151,145,153,146,339,-
SE,,552,0,0,0,55,93,96,106,82,120,0
163,"Sebevražda požitím jedů pevných a tekutých, nebo látek žíravých",88,-,-,-,17,20,18,18,9,6,-
164,Sebevražda jedovatými plyny,41,-,-,-,3,10,12,8,4,4,-
165,Sebevražda oběšením neb uškrcením,236,-,-,-,10,27,44,51,39,65,-
166,Sebevražda utopením,90,-,-,-,8,13,6,15,16,32,-
167,Sebevražda střelnými zbraněmi,4,-,-,-,1,2,1,-,-,-,-
168,Sebevražda nástroji řeznými nebo bodnými,18,-,-,-,1,5,2,2,2,6,-
169,Sebevražda skokem s vyvýšeného místa,26,-,-,-,1,6,4,6,7,2,-
170,Sebevražda rozdrcením,27,-,-,-,11,4,6,2,2,2,-
171,Jiné sebevraždy,22,-,-,-,3,6,3,4,3,3,-
NA,,41,5,0,5,4,9,7,3,4,4,0
172a,Vražda dítěte (dítě do 1 roku): přímo po narození,3,3,-,-,-,-,-,-,-,-,-
172b,Vražda dítěte (dítě do 1 roku): jiná do jednoho roku,2,2,-,-,-,-,-,-,-,-,-
173,Vražda nebo zabití střelnou zbraní (osoby starší 1 roku),8,-,-,-,1,2,1,2,2,-,-
174,Vražda nebo zabití nástroji řeznými nebo bodnými (osoby starší 1 roku),4,-,-,1,-,2,-,-,1,-,-
175,Jiné vraždy nebo zabití osob starších 1 roku,24,-,-,4,3,5,6,1,1,4,-
176,Napadení jedovatými zvířaty,-,-,-,-,-,-,-,-,-,-,-
177,Otrava potravinami,5,-,-,2,1,-,-,1,-,1,-
178,Vdechování jedovatých plynů,30,-,4,2,7,5,2,2,2,6,-
179,"Jiné nahodilé prudké otravy, vyjma otravy plynem",16,1,2,2,-,2,4,2,1,2,-
180,Následky ohně při požáru,2,-,-,-,-,-,-,-,-,2,-
181,Popálení úrazové (jiné než při požáru),121,2,34,8,13,12,5,6,8,33,-
182,Nahodilé mechanické zadušení,12,6,-,-,-,1,2,2,-,1,-
183,Nahodilé utopení,55,2,19,6,2,5,3,2,6,10,-
184,"Poranění střelnými zbraněmi, vyjma poranění válečná",1,-,-,1,-,-,-,-,-,-,-
185,"Poranění nástroji řeznými nebo bodnými, vyjma poranění válečná",4,-,1,-,1,-,-,-,1,1,-
186,"Poranění pádem, rozdrcením, sřícením",130,-,10,17,11,11,9,14,14,44,-
187,"Živelná pohroma (veškerá úmrtí jakéhokoli rázu, přičítaná živelní pohrom",2,-,-,-,-,-,-,-,1,1,-
188,Poranění způsobená zvířaty,6,-,-,1,-,-,3,-,-,2,-
189,Hlad a žízeň,-,-,-,-,-,-,-,-,-,-,-
190,Neobvyklá zima,23,1,-,-,-,1,4,2,5,10,-
191,Neobvyklé teplo,2,-,-,-,2,-,-,-,-,-,-
192,Blesk,12,-,-,-,2,3,1,2,3,1,-
193,Úrazy způsobené proudem elektrickým,2,-,-,-,1,-,-,1,-,-,-
194a,Jiné úrazy: cizí tělesa,2,-,1,-,-,-,-,-,-,1,-
194b,Jiné úrazy: jiné,176,1,4,18,6,9,9,10,19,100,-
195,"Násilná smrt, jejíž příčina (úraz, vražda, sebevražda) je neznáma",-,-,-,-,-,-,-,-,-,-,-
,"Z úmrtí pod č.181,185,186,194,195 nastala smrt následkem úrazů:",,,,,,,,,,,
A,v dolech a lomech,2,-,-,-,-,1,1,-,-,-,-
B,způsobených stroji,2,-,-,-,-,-,-,1,1,-,-
DN,prostředky dopravními,72,-,6,16,6,8,6,7,6,17,-
a,železnicemi a tramvajemi,24,-,1,-,2,3,3,4,3,8,-
b,automobily a motocykly,36,-,4,13,1,5,2,3,2,6,-
c,jinými pozemními prostředky dopravními,11,-,1,2,3,-,1,-,1,3,-
d,při dopravě po vodě,-,-,-,-,-,-,-,-,-,-,-
e,při dopravě vzduchem,1,-,-,1,-,-,-,-,-,-,-
198,Soudní poprava,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,
XVIII,Neurčité příčiny úmrtí,99,4,5,2,4,4,7,13,24,36,-
199,Náhlá smrt,21,2,1,-,-,1,1,3,5,8,-
200,Nerozlišené nebo nedostatečně určené příčiny,78,2,4,2,4,3,6,10,19,28,-
